sequence,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBuhB1iB6?jB8rB3sB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBfjB6jBV?nBUsBurB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Jex7IvhFXdB6jBmgBz?iBlrBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Jei7IvhFzdB+jBRhB/?rBFnBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFZhBfjB6jBu?mBUiBVxB,v115@zgB8HeB8HeD8FeD8CeH8CeB8Je2AJvhFRcBCeBTjB/?rBFnBUsB,v115@zgB8HeB8HeD8FeD8CeH8CeB8JeT7IvhFxdBihBGjB0?hBlrB3sB
TZOSJLI,O,O,O,X,X,X,O
TOILJSZ,X,X,O,X,O,X,O
TOILJZS,X,X,O,X,O,X,O
TOILSJZ,X,X,O,X,O,X,O
TOILSZJ,X,O,O,X,O,X,X
TOILZJS,O,X,X,X,O,X,X
TOILZSJ,O,O,X,X,O,X,X
TOIJLSZ,X,X,O,X,O,X,O
TOIJLZS,X,X,O,X,O,X,O
TOIJSLZ,X,X,O,X,O,X,O
TOIJSZL,X,X,O,X,O,X,O
TOIJZLS,X,X,O,X,O,X,O
TOIJZSL,X,X,O,X,O,X,O
TOISLJZ,X,X,O,X,O,X,O
TOISLZJ,X,O,O,X,O,X,X
TOISJLZ,X,X,O,X,O,X,O
TOISJZL,X,X,O,X,O,X,O
TOISZLJ,X,O,O,X,O,X,X
TOISZJL,X,O,X,X,O,X,X
TOIZLJS,O,X,X,X,O,X,X
TOIZLSJ,O,O,X,X,O,X,X
TOIZJLS,O,X,X,X,O,X,X
TOIZJSL,O,O,X,X,O,X,X
TOIZSLJ,O,O,X,X,O,X,X
TOIZSJL,O,O,X,X,O,X,X
TOLIJSZ,X,X,O,X,O,X,O
TOLIJZS,X,X,O,X,O,X,O
TOLISJZ,X,X,O,X,O,X,O
TOLISZJ,X,O,O,X,O,X,X
TOLIZJS,O,X,X,X,O,X,X
TOLIZSJ,O,O,X,X,O,X,X
TOLJISZ,X,X,O,O,X,O,O
TOLJIZS,X,X,O,X,X,X,O
TOLJSIZ,X,X,O,O,X,O,O
TOLJSZI,X,X,O,O,X,O,O
TOLJZIS,X,X,O,X,X,X,O
TOLJZSI,X,X,O,O,X,X,O
TOLSIJZ,X,X,O,O,O,O,O
TOLSIZJ,X,O,O,X,O,X,X
TOLSJIZ,X,X,O,O,X,O,O
TOLSJZI,X,X,O,O,X,O,O
TOLSZIJ,X,O,O,X,X,X,X
TOLSZJI,X,O,O,X,X,O,O
TOLZIJS,O,X,X,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X
TOLZJIS,O,X,O,X,X,X,O
TOLZJSI,O,X,O,X,X,X,O
TOLZSIJ,O,O,O,X,X,X,X
TOLZSJI,O,O,O,X,X,X,O
TOJILSZ,X,X,O,O,X,O,O
TOJILZS,X,X,O,X,X,X,O
TOJISLZ,X,X,O,X,X,X,O
TOJISZL,X,X,O,X,X,X,O
TOJIZLS,X,X,O,X,X,X,O
TOJIZSL,X,X,O,X,X,X,O
TOJLISZ,X,X,O,O,X,O,O
TOJLIZS,X,X,O,X,X,X,O
TOJLSIZ,X,X,O,O,X,O,O
TOJLSZI,X,X,O,O,X,O,O
TOJLZIS,X,X,O,X,X,X,O
TOJLZSI,X,X,O,O,X,X,O
TOJSILZ,X,X,O,X,X,O,O
TOJSIZL,X,X,O,X,X,O,O
TOJSLIZ,X,X,O,O,X,O,O
TOJSLZI,X,X,O,O,X,O,O
TOJSZIL,X,X,O,X,X,O,O
TOJSZLI,X,X,O,X,X,O,O
TOJZILS,X,X,O,X,X,X,O
TOJZISL,X,X,O,X,X,X,O
TOJZLIS,X,X,O,X,X,X,O
TOJZLSI,X,X,O,O,X,X,O
TOJZSIL,X,X,O,X,X,X,O
TOJZSLI,X,X,O,X,X,X,O
TOSILJZ,X,X,O,X,O,O,O
TOSILZJ,X,O,O,X,O,X,X
TOSIJLZ,X,X,O,X,O,O,O
TOSIJZL,X,X,O,X,O,O,O
TOSIZLJ,X,O,O,X,O,O,X
TOSIZJL,X,O,X,X,O,O,X
TOSLIJZ,X,X,O,X,O,O,O
TOSLIZJ,X,O,O,X,O,X,X
TOSLJIZ,X,X,O,X,X,O,O
TOSLJZI,X,X,O,X,X,O,O
TOSLZIJ,X,O,O,X,X,O,X
TOSLZJI,X,O,O,X,X,O,O
TOSJILZ,X,X,O,X,X,O,O
TOSJIZL,X,X,O,X,X,O,O
TOSJLIZ,X,X,O,X,X,O,O
TOSJLZI,X,X,O,X,X,O,O
TOSJZIL,X,X,O,X,X,O,O
TOSJZLI,X,X,O,X,X,O,O
TOSZILJ,X,O,O,X,X,O,X
TOSZIJL,X,O,X,X,X,O,X
TOSZLIJ,X,O,O,X,X,O,X
TOSZLJI,X,O,O,X,X,O,O
TOSZJIL,X,O,O,X,X,O,O
TOSZJLI,X,O,O,X,X,O,O
TOZILJS,O,X,O,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X
TOZIJLS,O,X,O,X,X,X,X
TOZIJSL,O,O,O,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X
TOZISJL,O,O,O,X,X,X,X
TOZLIJS,O,X,O,X,X,X,X
TOZLISJ,O,O,O,X,X,X,X
TOZLJIS,O,X,O,X,X,X,O
TOZLJSI,O,X,O,X,X,X,O
TOZLSIJ,O,O,O,X,X,X,X
TOZLSJI,O,O,O,X,X,X,O
TOZJILS,O,X,O,X,X,X,O
TOZJISL,O,O,O,X,X,X,O
TOZJLIS,O,X,O,X,X,X,O
TOZJLSI,O,X,O,X,X,X,O
TOZJSIL,O,O,O,X,X,X,O
TOZJSLI,O,O,O,X,X,X,O
TOZSILJ,O,O,O,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X
TOZSLIJ,O,O,O,X,X,X,X
TOZSLJI,O,O,O,X,X,X,O
TOZSJIL,O,O,O,X,X,X,O
TOZSJLI,O,O,O,X,X,X,O
ITLJSZO,X,X,O,O,O,X,X
ITLJSOZ,X,X,O,O,O,X,O
ITLJZSO,X,X,O,X,O,X,X
ITLJZOS,X,X,O,X,O,X,O
ITLJOSZ,X,X,O,O,O,X,O
ITLJOZS,X,X,O,X,O,X,O
ITLSJZO,X,X,X,O,O,X,O
ITLSJOZ,X,X,X,O,O,X,O
ITLSZJO,X,O,X,O,O,X,X
ITLSZOJ,X,O,X,X,O,X,X
ITLSOJZ,X,X,X,O,O,X,O
ITLSOZJ,X,O,X,X,O,X,X
ITLZJSO,O,X,O,X,O,X,X
ITLZJOS,O,X,O,X,O,X,X
ITLZSJO,O,O,O,X,O,X,X
ITLZSOJ,O,O,O,X,O,X,X
ITLZOJS,O,X,X,X,O,X,X
ITLZOSJ,O,O,X,X,O,X,X
ITLOJSZ,X,X,O,X,O,X,O
ITLOJZS,X,X,O,X,O,X,O
ITLOSJZ,X,X,O,X,O,X,O
ITLOSZJ,X,O,O,X,O,X,X
ITLOZJS,O,X,X,X,O,X,X
ITLOZSJ,O,O,X,X,O,X,X
ITJLSZO,X,X,O,O,O,X,O
ITJLSOZ,X,X,O,O,O,X,O
ITJLZSO,X,X,O,X,O,X,X
ITJLZOS,X,X,O,X,O,X,O
ITJLOSZ,X,X,O,O,O,X,O
ITJLOZS,X,X,O,X,O,X,O
ITJSLZO,X,X,O,X,O,X,O
ITJSLOZ,X,X,O,X,O,X,O
ITJSZLO,X,X,O,X,O,X,O
ITJSZOL,X,X,O,X,O,X,O
ITJSOLZ,X,X,O,X,O,X,O
ITJSOZL,X,X,O,X,O,X,O
ITJZLSO,X,X,O,X,O,X,X
ITJZLOS,X,X,O,X,O,X,O
ITJZSLO,X,X,O,X,O,X,O
ITJZSOL,X,X,O,X,O,X,O
ITJZOLS,X,X,O,X,O,X,O
ITJZOSL,X,X,O,X,O,X,O
ITJOLSZ,X,X,O,O,O,X,O
ITJOLZS,X,X,O,X,O,X,O
ITJOSLZ,X,X,O,X,O,X,O
ITJOSZL,X,X,O,X,O,X,O
ITJOZLS,X,X,O,X,O,X,O
ITJOZSL,X,X,O,X,O,X,O
ITSLJZO,X,X,X,X,O,X,O
ITSLJOZ,X,X,X,X,O,X,O
ITSLZJO,X,O,X,X,O,X,X
ITSLZOJ,X,O,X,X,O,X,X
ITSLOJZ,X,X,X,X,O,X,O
ITSLOZJ,X,O,X,X,O,X,X
ITSJLZO,X,X,X,X,O,X,O
ITSJLOZ,X,X,X,X,O,X,O
ITSJZLO,X,X,X,X,O,X,O
ITSJZOL,X,X,X,X,O,X,O
ITSJOLZ,X,X,X,X,O,X,O
ITSJOZL,X,X,X,X,O,X,O
ITSZLJO,X,O,X,X,O,X,X
ITSZLOJ,X,O,X,X,O,X,X
ITSZJLO,X,O,X,X,O,X,X
ITSZJOL,X,O,X,X,O,X,X
ITSZOLJ,X,O,X,X,O,X,X
ITSZOJL,X,O,X,X,O,X,X
ITSOLJZ,X,X,X,X,O,X,O
ITSOLZJ,X,O,X,X,O,X,X
ITSOJLZ,X,X,X,X,O,X,O
ITSOJZL,X,X,X,X,O,X,O
ITSOZLJ,X,O,X,X,O,X,X
ITSOZJL,X,O,X,X,O,X,X
ITZLJSO,O,X,O,X,O,X,X
ITZLJOS,O,X,O,X,O,X,X
ITZLSJO,O,O,O,X,O,X,X
ITZLSOJ,O,O,O,X,O,X,X
ITZLOJS,O,X,X,X,O,X,X
ITZLOSJ,O,O,X,X,O,X,X
ITZJLSO,O,X,O,X,O,X,X
ITZJLOS,O,X,O,X,O,X,X
ITZJSLO,O,O,O,X,O,X,X
ITZJSOL,O,O,O,X,O,X,X
ITZJOLS,O,X,O,X,O,X,X
ITZJOSL,O,O,O,X,O,X,X
ITZSLJO,O,O,O,X,O,X,X
ITZSLOJ,O,O,O,X,O,X,X
ITZSJLO,O,O,O,X,O,X,X
ITZSJOL,O,O,O,X,O,X,X
ITZSOLJ,O,O,O,X,O,X,X
ITZSOJL,O,O,O,X,O,X,X
ITZOLJS,O,X,O,X,O,X,X
ITZOLSJ,O,O,O,X,O,X,X
ITZOJLS,O,X,O,X,O,X,X
ITZOJSL,O,O,O,X,O,X,X
ITZOSLJ,O,O,O,X,O,X,X
ITZOSJL,O,O,O,X,O,X,X
ITOLJSZ,X,X,O,X,O,X,O
ITOLJZS,X,X,O,X,O,X,O
ITOLSJZ,X,X,O,X,O,X,O
ITOLSZJ,X,O,O,X,O,X,X
ITOLZJS,O,X,X,X,O,X,X
ITOLZSJ,O,O,X,X,O,X,X
ITOJLSZ,X,X,O,X,O,X,O
ITOJLZS,X,X,O,X,O,X,O
ITOJSLZ,X,X,O,X,O,X,O
ITOJSZL,X,X,O,X,O,X,O
ITOJZLS,X,X,O,X,O,X,O
ITOJZSL,X,X,O,X,O,X,O
ITOSLJZ,X,X,O,X,O,X,O
ITOSLZJ,X,O,O,X,O,X,X
ITOSJLZ,X,X,O,X,O,X,O
ITOSJZL,X,X,O,X,O,X,O
ITOSZLJ,X,O,O,X,O,X,X
ITOSZJL,X,O,X,X,O,X,X
ITOZLJS,O,X,X,X,O,X,X
ITOZLSJ,O,O,X,X,O,X,X
ITOZJLS,O,X,X,X,O,X,X
ITOZJSL,O,O,X,X,O,X,X
ITOZSLJ,O,O,X,X,O,X,X
ITOZSJL,O,O,X,X,O,X,X
ILTJSZO,X,X,O,O,O,X,X
ILTJSOZ,X,X,O,O,O,X,X
ILTJZSO,X,X,O,X,O,X,X
ILTJZOS,X,X,O,X,O,X,X
ILTJOSZ,X,X,O,O,O,X,X
ILTJOZS,X,X,O,X,O,X,X
ILTSJZO,X,X,X,O,O,X,X
ILTSJOZ,X,X,X,O,O,X,X
ILTSZJO,X,O,X,O,O,X,X
ILTSZOJ,X,O,X,X,O,X,X
ILTSOJZ,X,X,X,O,O,X,X
ILTSOZJ,X,O,X,X,O,X,X
ILTZJSO,O,X,O,X,O,X,X
ILTZJOS,O,X,O,X,O,X,X
ILTZSJO,O,O,O,X,O,X,X
ILTZSOJ,O,O,O,X,O,X,X
ILTZOJS,O,X,X,X,O,X,X
ILTZOSJ,O,O,X,X,O,X,X
ILTOJSZ,X,X,O,X,O,X,X
ILTOJZS,X,X,O,X,O,X,X
ILTOSJZ,X,X,O,X,O,X,X
ILTOSZJ,X,O,O,X,O,X,X
ILTOZJS,O,X,X,X,O,X,X
ILTOZSJ,O,O,X,X,O,X,X
ILJTSZO,X,X,O,O,O,X,X
ILJTSOZ,X,X,O,O,O,X,X
ILJTZSO,X,X,O,X,O,X,X
ILJTZOS,X,X,O,X,O,X,X
ILJTOSZ,X,X,O,O,O,X,X
ILJTOZS,X,X,O,X,O,X,X
ILJSTZO,X,X,O,O,O,X,X
ILJSTOZ,X,X,O,O,O,X,X
ILJSZTO,X,O,X,X,X,X,X
ILJSZOT,X,O,X,O,X,X,X
ILJSOTZ,X,X,O,O,O,X,X
ILJSOZT,X,O,O,O,X,X,X
ILJZTSO,O,X,O,X,X,X,X
ILJZTOS,O,X,O,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,X
ILJZOTS,O,X,X,X,X,X,X
ILJZOST,O,O,O,O,X,X,X
ILJOTSZ,X,X,O,O,O,X,X
ILJOTZS,X,X,O,X,O,X,X
ILJOSTZ,X,X,O,O,O,X,X
ILJOSZT,X,O,O,O,X,X,X
ILJOZTS,O,X,X,X,X,X,X
ILJOZST,O,O,O,O,X,X,X
ILSTJZO,X,X,X,O,O,X,X
ILSTJOZ,X,X,X,O,O,X,X
ILSTZJO,X,O,X,O,O,X,X
ILSTZOJ,X,O,X,X,O,X,X
ILSTOJZ,X,X,X,O,O,X,X
ILSTOZJ,X,O,X,X,O,X,X
ILSJTZO,X,X,X,O,O,X,X
ILSJTOZ,X,X,X,O,O,X,X
ILSJZTO,X,O,X,X,X,X,X
ILSJZOT,X,O,X,O,X,X,X
ILSJOTZ,X,X,X,O,O,X,X
ILSJOZT,X,O,X,O,X,X,X
ILSZTJO,O,O,X,X,O,X,X
ILSZTOJ,O,O,X,X,O,X,X
ILSZJTO,O,O,X,X,X,X,X
ILSZJOT,O,O,X,O,X,X,X
ILSZOTJ,O,O,X,X,O,X,X
ILSZOJT,O,O,X,X,X,X,X
ILSOTJZ,X,X,X,X,O,X,X
ILSOTZJ,X,O,X,X,O,X,X
ILSOJTZ,X,X,X,O,O,X,X
ILSOJZT,X,O,X,O,X,X,X
ILSOZTJ,O,O,X,X,O,X,X
ILSOZJT,O,O,X,X,X,X,X
ILZTJSO,O,X,X,X,O,X,X
ILZTJOS,O,X,X,X,O,X,X
ILZTSJO,O,O,X,X,O,X,X
ILZTSOJ,O,O,X,X,O,X,X
ILZTOJS,O,X,X,X,O,X,X
ILZTOSJ,O,O,X,X,O,X,X
ILZJTSO,O,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,X
ILZJOTS,O,X,X,X,X,X,X
ILZJOST,O,O,X,O,X,X,X
ILZSTJO,O,O,X,X,O,X,X
ILZSTOJ,O,O,X,X,O,X,X
ILZSJTO,O,O,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X
ILZSOTJ,O,O,X,X,O,X,X
ILZSOJT,O,O,X,X,X,X,X
ILZOTJS,O,X,X,X,O,X,X
ILZOTSJ,O,O,X,X,O,X,X
ILZOJTS,O,X,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,X
ILZOSTJ,O,O,X,X,O,X,X
ILZOSJT,O,O,X,X,X,X,X
ILOTJSZ,X,X,O,X,O,X,X
ILOTJZS,X,X,O,X,O,X,X
ILOTSJZ,X,X,O,X,O,X,X
ILOTSZJ,X,O,O,X,O,X,X
ILOTZJS,O,X,X,X,O,X,X
ILOTZSJ,O,O,X,X,O,X,X
ILOJTSZ,X,X,O,O,O,X,X
ILOJTZS,X,X,O,X,O,X,X
ILOJSTZ,X,X,O,O,O,X,X
ILOJSZT,X,O,O,O,X,X,X
ILOJZTS,O,X,X,X,X,X,X
ILOJZST,O,O,O,O,X,X,X
ILOSTJZ,X,X,O,X,O,X,X
ILOSTZJ,X,O,X,X,O,X,X
ILOSJTZ,X,X,O,X,O,X,X
ILOSJZT,X,O,O,X,X,X,X
ILOSZTJ,O,O,X,X,O,X,X
ILOSZJT,O,O,O,X,X,X,X
ILOZTJS,O,X,X,X,O,X,X
ILOZTSJ,O,O,X,X,O,X,X
ILOZJTS,O,X,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,X
ILOZSTJ,O,O,X,X,O,X,X
ILOZSJT,O,O,X,X,X,X,X
IJTLSZO,X,X,O,O,O,X,O
IJTLSOZ,X,X,O,O,O,X,O
IJTLZSO,X,X,O,X,O,X,X
IJTLZOS,X,X,O,X,O,X,O
IJTLOSZ,X,X,O,O,O,X,O
IJTLOZS,X,X,O,X,O,X,O
IJTSLZO,X,X,O,X,O,O,O
IJTSLOZ,X,X,O,X,O,O,O
IJTSZLO,X,X,O,X,O,O,O
IJTSZOL,X,X,O,X,O,O,O
IJTSOLZ,X,X,O,X,O,O,O
IJTSOZL,X,X,O,X,O,O,O
IJTZLSO,X,X,O,X,O,X,X
IJTZLOS,X,X,O,X,O,X,O
IJTZSLO,X,X,O,X,O,X,O
IJTZSOL,X,X,O,X,O,X,O
IJTZOLS,X,X,O,X,O,X,O
IJTZOSL,X,X,O,X,O,X,O
IJTOLSZ,X,X,O,O,O,O,O
IJTOLZS,X,X,O,X,O,X,O
IJTOSLZ,X,X,O,X,O,X,O
IJTOSZL,X,X,O,X,O,X,O
IJTOZLS,X,X,O,X,O,X,O
IJTOZSL,X,X,O,X,O,X,O
IJLTSZO,X,X,O,O,O,X,O
IJLTSOZ,X,X,O,O,O,X,O
IJLTZSO,X,X,O,X,O,X,X
IJLTZOS,X,X,O,X,O,X,O
IJLTOSZ,X,X,O,O,O,X,O
IJLTOZS,X,X,O,X,O,X,O
IJLSTZO,X,X,O,O,O,O,X
IJLSTOZ,X,X,O,O,O,O,X
IJLSZTO,X,O,X,X,X,X,X
IJLSZOT,X,O,X,O,X,X,X
IJLSOTZ,X,X,O,O,O,O,X
IJLSOZT,X,O,O,O,X,O,X
IJLZTSO,O,X,O,X,X,X,X
IJLZTOS,O,X,O,X,X,X,X
IJLZSTO,O,O,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X
IJLZOST,O,O,O,O,X,X,X
IJLOTSZ,X,X,O,O,O,O,O
IJLOTZS,X,X,O,X,O,X,O
IJLOSTZ,X,X,O,O,O,O,X
IJLOSZT,X,O,O,O,X,O,X
IJLOZTS,O,X,X,X,X,X,X
IJLOZST,O,O,O,O,X,O,X
IJSTLZO,X,X,O,O,O,O,O
IJSTLOZ,X,X,O,O,O,O,O
IJSTZLO,X,X,O,O,O,O,O
IJSTZOL,X,X,O,O,O,O,O
IJSTOLZ,X,X,O,O,O,O,O
IJSTOZL,X,X,O,O,O,O,O
IJSLTZO,X,X,O,O,O,O,X
IJSLTOZ,X,X,O,O,O,O,X
IJSLZTO,X,O,X,X,X,X,X
IJSLZOT,X,O,X,O,X,X,X
IJSLOTZ,X,X,O,O,O,O,X
IJSLOZT,X,O,O,O,X,O,X
IJSZTLO,X,O,X,X,X,O,X
IJSZTOL,X,O,X,X,X,O,X
IJSZLTO,X,O,X,X,X,X,X
IJSZLOT,X,O,X,O,X,X,X
IJSZOTL,X,O,X,X,X,X,X
IJSZOLT,X,O,X,O,X,O,X
IJSOTLZ,X,X,O,O,O,O,O
IJSOTZL,X,X,X,O,O,O,O
IJSOLTZ,X,X,O,O,O,O,X
IJSOLZT,X,O,O,O,X,O,X
IJSOZTL,X,O,X,X,X,X,X
IJSOZLT,X,O,O,O,X,O,X
IJZTLSO,O,X,O,X,X,X,X
IJZTLOS,O,X,O,X,X,X,O
IJZTSLO,O,O,O,X,X,X,O
IJZTSOL,O,O,O,X,X,X,O
IJZTOLS,O,X,O,X,X,X,O
IJZTOSL,O,O,O,X,X,X,O
IJZLTSO,O,X,O,X,X,X,X
IJZLTOS,O,X,O,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,X
IJZLOTS,O,X,X,X,X,X,X
IJZLOST,O,O,O,O,X,X,X
IJZSTLO,O,O,X,X,X,O,X
IJZSTOL,O,O,X,X,X,O,X
IJZSLTO,O,O,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X
IJZSOTL,O,O,X,X,X,X,X
IJZSOLT,O,O,X,X,X,O,X
IJZOTLS,O,X,X,X,X,X,O
IJZOTSL,O,O,X,X,X,X,O
IJZOLTS,O,X,X,X,X,X,X
IJZOLST,O,O,O,O,X,O,X
IJZOSTL,O,O,X,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X
IJOTLSZ,X,X,O,O,O,O,O
IJOTLZS,X,X,O,X,O,X,O
IJOTSLZ,X,X,O,X,O,X,O
IJOTSZL,X,X,O,X,O,X,O
IJOTZLS,X,X,O,X,O,X,O
IJOTZSL,X,X,O,X,O,X,O
IJOLTSZ,X,X,O,O,O,O,O
IJOLTZS,X,X,O,X,O,X,O
IJOLSTZ,X,X,O,O,O,O,X
IJOLSZT,X,O,O,O,X,O,X
IJOLZTS,O,X,X,X,X,X,X
IJOLZST,O,O,O,O,X,O,X
IJOSTLZ,X,X,O,O,O,O,O
IJOSTZL,X,X,X,O,O,O,O
IJOSLTZ,X,X,O,O,O,O,X
IJOSLZT,X,O,O,O,X,O,X
IJOSZTL,X,O,X,X,X,X,X
IJOSZLT,X,O,O,O,X,O,X
IJOZTLS,O,X,X,X,X,X,O
IJOZTSL,O,O,X,X,X,X,O
IJOZLTS,O,X,X,X,X,X,X
IJOZLST,O,O,O,O,X,O,X
IJOZSTL,O,O,X,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X
ISTLJZO,X,X,X,O,O,O,X
ISTLJOZ,X,X,X,O,O,O,X
ISTLZJO,X,O,X,O,O,X,X
ISTLZOJ,X,O,X,X,O,X,X
ISTLOJZ,X,X,X,O,O,X,X
ISTLOZJ,X,O,X,X,O,X,X
ISTJLZO,X,X,X,O,O,O,X
ISTJLOZ,X,X,X,O,O,O,X
ISTJZLO,X,X,X,O,O,O,X
ISTJZOL,X,X,X,O,O,O,X
ISTJOLZ,X,X,X,O,O,O,X
ISTJOZL,X,X,X,O,O,O,X
ISTZLJO,X,O,X,O,O,X,X
ISTZLOJ,X,O,X,X,O,X,X
ISTZJLO,X,O,X,O,O,X,X
ISTZJOL,X,O,X,O,O,X,X
ISTZOLJ,X,O,X,X,O,X,X
ISTZOJL,X,O,X,X,O,X,X
ISTOLJZ,X,X,X,O,O,O,X
ISTOLZJ,X,O,X,X,O,X,X
ISTOJLZ,X,X,X,O,O,O,X
ISTOJZL,X,X,X,O,O,O,X
ISTOZLJ,X,O,X,X,O,O,X
ISTOZJL,X,O,X,X,O,O,X
ISLTJZO,X,X,X,O,O,X,X
ISLTJOZ,X,X,X,O,O,X,X
ISLTZJO,X,O,X,O,O,X,X
ISLTZOJ,X,O,X,X,O,X,X
ISLTOJZ,X,X,X,O,O,X,X
ISLTOZJ,X,O,X,X,O,X,X
ISLJTZO,X,X,X,O,O,X,X
ISLJTOZ,X,X,X,O,O,X,X
ISLJZTO,X,O,X,X,X,X,X
ISLJZOT,X,O,X,O,X,X,X
ISLJOTZ,X,X,X,O,O,X,X
ISLJOZT,X,O,X,O,X,X,X
ISLZTJO,O,O,X,X,O,X,X
ISLZTOJ,O,O,X,X,O,X,X
ISLZJTO,O,O,X,X,X,X,X
ISLZJOT,O,O,X,O,X,X,X
ISLZOTJ,O,O,X,X,O,X,X
ISLZOJT,O,O,X,X,X,X,X
ISLOTJZ,X,X,X,X,O,X,X
ISLOTZJ,X,O,X,X,O,X,X
ISLOJTZ,X,X,X,O,O,X,X
ISLOJZT,X,O,X,O,X,X,X
ISLOZTJ,O,O,X,X,O,X,X
ISLOZJT,O,O,X,X,X,X,X
ISJTLZO,X,X,X,O,O,O,X
ISJTLOZ,X,X,X,O,O,O,X
ISJTZLO,X,X,X,O,O,O,X
ISJTZOL,X,X,X,O,O,O,X
ISJTOLZ,X,X,X,O,O,O,X
ISJTOZL,X,X,X,O,O,O,X
ISJLTZO,X,X,X,O,O,O,X
ISJLTOZ,X,X,X,O,O,O,X
ISJLZTO,X,O,X,X,X,X,X
ISJLZOT,X,O,X,O,X,X,X
ISJLOTZ,X,X,X,O,O,O,X
ISJLOZT,X,O,X,O,X,O,X
ISJZTLO,X,O,X,X,X,O,X
ISJZTOL,X,O,X,X,X,O,X
ISJZLTO,X,O,X,X,X,X,X
ISJZLOT,X,O,X,O,X,X,X
ISJZOTL,X,O,X,X,X,X,X
ISJZOLT,X,O,X,O,X,O,X
ISJOTLZ,X,X,X,O,O,O,X
ISJOTZL,X,X,X,O,O,O,X
ISJOLTZ,X,X,X,O,O,O,X
ISJOLZT,X,O,X,O,X,O,X
ISJOZTL,X,O,X,X,X,X,X
ISJOZLT,X,O,X,O,X,O,X
ISZTLJO,O,O,X,X,O,X,X
ISZTLOJ,O,O,X,X,O,X,X
ISZTJLO,O,O,X,X,O,X,X
ISZTJOL,O,O,X,X,O,X,X
ISZTOLJ,O,O,X,X,O,X,X
ISZTOJL,O,O,X,X,O,X,X
ISZLTJO,O,O,X,X,O,X,X
ISZLTOJ,O,O,X,X,O,X,X
ISZLJTO,O,O,X,X,X,X,X
ISZLJOT,O,O,X,O,X,X,X
ISZLOTJ,O,O,X,X,O,X,X
ISZLOJT,O,O,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X
ISZJLTO,O,O,X,X,X,X,X
ISZJLOT,O,O,X,O,X,X,X
ISZJOTL,O,O,X,X,X,X,X
ISZJOLT,O,O,X,O,X,X,X
ISZOTLJ,O,O,X,X,O,X,X
ISZOTJL,O,O,X,X,O,X,X
ISZOLTJ,O,O,X,X,O,X,X
ISZOLJT,O,O,X,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X
ISOTLJZ,X,X,X,X,O,O,X
ISOTLZJ,X,O,X,X,O,X,X
ISOTJLZ,X,X,X,X,O,O,X
ISOTJZL,X,X,X,X,O,O,X
ISOTZLJ,X,O,X,X,O,O,X
ISOTZJL,X,O,X,X,O,O,X
ISOLTJZ,X,X,X,X,O,O,X
ISOLTZJ,X,O,X,X,O,X,X
ISOLJTZ,X,X,X,O,O,O,X
ISOLJZT,X,O,X,O,X,O,X
ISOLZTJ,O,O,X,X,O,X,X
ISOLZJT,O,O,X,X,X,X,X
ISOJTLZ,X,X,X,O,O,O,X
ISOJTZL,X,X,X,X,O,O,X
ISOJLTZ,X,X,X,O,O,O,X
ISOJLZT,X,O,X,O,X,O,X
ISOJZTL,X,O,X,X,X,X,X
ISOJZLT,X,O,X,O,X,O,X
ISOZTLJ,O,O,X,X,O,X,X
ISOZTJL,O,O,X,X,O,X,X
ISOZLTJ,O,O,X,X,O,X,X
ISOZLJT,O,O,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X
IZTLJSO,O,X,X,X,O,X,X
IZTLJOS,O,X,X,X,O,X,X
IZTLSJO,O,O,X,X,O,X,X
IZTLSOJ,O,O,X,X,O,X,X
IZTLOJS,O,X,X,X,O,X,X
IZTLOSJ,O,O,X,X,O,X,X
IZTJLSO,O,X,X,X,O,X,X
IZTJLOS,O,X,X,X,O,X,X
IZTJSLO,O,O,X,X,O,X,X
IZTJSOL,O,O,X,X,O,X,X
