sequence,v115@8gA8IeA8EeC8AeB8CeI8AeF8Jem6IvhFNhBUdBajBT?fBXlB5lB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeO/IvhFXbBNhBUdBa?jB5lBzpB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFxbBXdBdjBm?gB0kB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8Jex6IvhFNhBUdBajB/?kBTlBGqB,v115@8gA8IeA8EeC8AeB8CeI8AeF8Je06IvhFNhBRdB/kBm?iBTlB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFKgBOhBXdBd?jB0kB5lB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFNhBRdB/lBm?iB0kB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeNBJvhFUdBajBxkB/?kBTlBGqB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeN/IvhFUdBajBxgBu?kBzgB/qB
TZIOLJS,X,O,O,X,X,O,X,O,O
TZIOLSJ,O,O,O,O,X,O,X,O,O
TZIOJLS,X,O,O,X,X,O,O,X,X
TZIOJSL,X,O,O,X,X,O,O,X,X
TZIOSLJ,O,O,O,O,X,O,X,X,X
TZIOSJL,O,O,O,O,X,O,O,X,X
TZLIJSO,X,O,O,X,X,O,X,O,O
TZLIJOS,X,O,O,X,X,O,X,O,O
TZLISJO,X,O,O,O,X,O,X,O,O
TZLISOJ,O,O,O,O,X,O,X,O,O
TZLIOJS,X,O,O,X,X,O,X,O,O
TZLIOSJ,O,O,O,O,X,O,X,O,O
TZLJISO,X,O,O,X,X,O,O,O,O
TZLJIOS,X,O,O,X,X,O,O,O,O
TZLJSIO,X,O,O,O,X,O,O,X,O
TZLJSOI,O,O,O,O,X,O,O,X,X
TZLJOIS,X,O,O,X,X,O,O,X,X
TZLJOSI,O,O,O,O,X,O,O,X,X
TZLSIJO,X,O,O,O,X,O,X,O,O
TZLSIOJ,O,O,O,O,X,O,X,O,O
TZLSJIO,X,O,O,O,X,O,O,X,O
TZLSJOI,O,O,O,O,X,O,O,X,X
TZLSOIJ,O,O,O,O,X,O,X,X,O
TZLSOJI,O,O,O,O,X,O,O,X,X
TZLOIJS,X,O,O,X,X,O,X,O,O
TZLOISJ,O,O,O,O,X,O,X,O,O
TZLOJIS,X,O,O,X,X,O,O,X,X
TZLOJSI,O,O,O,O,X,O,O,X,X
TZLOSIJ,O,O,O,O,X,O,X,X,O
TZLOSJI,O,O,O,O,X,O,O,X,X
TZJILSO,X,O,O,X,X,O,O,O,O
TZJILOS,X,O,O,X,X,O,O,O,O
TZJISLO,X,O,O,X,X,O,O,X,X
TZJISOL,X,O,O,X,O,O,O,X,X
TZJIOLS,X,O,O,X,X,O,O,X,X
TZJIOSL,X,O,O,X,O,O,O,X,X
TZJLISO,X,O,O,X,X,O,O,O,O
TZJLIOS,X,O,O,X,X,O,O,O,O
TZJLSIO,X,O,O,O,X,O,O,X,O
TZJLSOI,O,O,O,O,X,O,O,X,X
TZJLOIS,X,O,O,X,X,O,O,X,X
TZJLOSI,O,O,O,O,X,O,O,X,X
TZJSILO,X,O,O,O,X,O,O,X,O
TZJSIOL,X,O,O,X,O,O,O,X,X
TZJSLIO,X,O,O,O,X,O,O,X,O
TZJSLOI,O,O,O,O,X,O,O,X,X
TZJSOIL,O,O,O,O,O,O,O,X,X
TZJSOLI,O,O,O,O,O,O,O,X,X
TZJOILS,X,O,O,X,X,O,O,X,X
TZJOISL,X,O,O,X,O,O,O,X,X
TZJOLIS,X,O,O,X,X,O,O,X,X
TZJOLSI,O,O,O,O,X,O,O,X,X
TZJOSIL,O,O,O,O,O,O,O,X,X
TZJOSLI,O,O,O,O,O,O,O,X,X
TZSILJO,X,O,O,O,X,O,X,O,O
TZSILOJ,O,O,O,O,X,O,X,O,O
TZSIJLO,X,O,O,O,X,O,O,X,O
TZSIJOL,X,O,O,X,X,O,O,X,X
TZSIOLJ,O,O,O,O,X,O,X,X,O
TZSIOJL,O,O,O,O,X,O,O,X,X
TZSLIJO,X,O,O,O,X,O,X,O,O
TZSLIOJ,O,O,O,O,X,O,X,O,O
TZSLJIO,X,O,O,O,X,O,O,X,O
TZSLJOI,O,O,O,O,X,O,O,X,X
TZSLOIJ,O,O,O,O,X,O,X,X,O
TZSLOJI,O,O,O,O,X,O,O,X,X
TZSJILO,X,O,O,O,X,O,O,X,O
TZSJIOL,X,O,O,X,O,O,O,X,X
TZSJLIO,X,O,O,O,X,O,O,X,O
TZSJLOI,O,O,O,O,X,O,O,X,X
TZSJOIL,O,O,O,O,O,O,O,X,X
TZSJOLI,O,O,O,O,O,O,O,X,X
TZSOILJ,O,O,O,O,X,O,X,X,O
TZSOIJL,O,O,O,O,O,O,O,X,X
TZSOLIJ,O,O,O,O,X,O,X,X,O
TZSOLJI,O,O,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,O,O,O,X,X
TZSOJLI,O,O,O,O,O,O,O,X,X
TZOILJS,X,O,O,X,X,O,X,O,O
TZOILSJ,O,O,O,O,X,O,X,O,O
TZOIJLS,X,O,O,X,X,O,O,X,X
TZOIJSL,X,O,O,X,X,O,O,X,X
TZOISLJ,O,O,O,O,X,O,X,X,X
TZOISJL,O,O,O,O,X,O,O,X,X
TZOLIJS,X,O,O,X,X,O,X,O,O
TZOLISJ,O,O,O,O,X,O,X,O,O
TZOLJIS,X,O,O,X,X,O,O,X,X
TZOLJSI,O,O,O,O,X,O,O,X,X
TZOLSIJ,O,O,O,O,X,O,X,X,O
TZOLSJI,O,O,O,O,X,O,O,X,X
TZOJILS,X,O,O,X,X,O,O,X,X
TZOJISL,X,O,O,X,O,O,O,X,X
TZOJLIS,X,O,O,X,X,O,O,X,X
TZOJLSI,O,O,O,O,X,O,O,X,X
TZOJSIL,O,O,O,O,O,O,O,X,X
TZOJSLI,O,O,O,O,O,O,O,X,X
TZOSILJ,O,O,O,O,X,O,X,X,O
TZOSIJL,O,O,O,O,O,O,O,X,X
TZOSLIJ,O,O,O,O,X,O,X,X,O
TZOSLJI,O,O,O,O,O,O,O,X,X
TZOSJIL,O,O,O,O,O,O,O,X,X
TZOSJLI,O,O,O,O,O,O,O,X,X
TOILJSZ,X,O,X,X,X,X,X,O,X
TOILJZS,X,O,X,X,X,X,X,O,X
TOILSJZ,O,O,X,O,X,X,X,O,X
TOILSZJ,O,O,X,O,X,X,X,O,X
TOILZJS,X,O,X,X,X,X,X,O,O
TOILZSJ,O,O,X,O,X,X,X,O,O
TOIJLSZ,X,O,X,X,O,X,X,X,X
TOIJLZS,X,O,X,X,X,X,X,X,X
TOIJSLZ,X,O,X,X,O,X,X,X,X
TOIJSZL,X,O,X,X,O,X,X,X,X
TOIJZLS,X,O,X,X,X,X,X,X,X
TOIJZSL,X,O,X,X,O,X,X,X,X
TOISLJZ,O,O,X,O,X,X,X,X,X
TOISLZJ,O,O,X,O,X,X,X,X,X
TOISJLZ,O,O,X,O,O,X,X,X,X
TOISJZL,O,O,X,O,O,X,X,X,X
TOISZLJ,O,O,X,O,X,X,X,X,X
TOISZJL,O,O,X,O,O,X,X,X,X
TOIZLJS,X,O,X,X,X,X,X,O,O
TOIZLSJ,O,O,X,O,X,X,X,O,O
TOIZJLS,X,O,X,X,X,X,X,X,X
TOIZJSL,X,O,X,X,X,X,X,X,X
TOIZSLJ,O,O,X,O,X,X,X,X,X
TOIZSJL,O,O,X,O,X,X,X,X,X
TOLIJSZ,X,O,X,X,X,X,X,O,X
TOLIJZS,X,O,X,X,X,X,X,O,X
TOLISJZ,O,O,X,O,X,X,X,O,X
TOLISZJ,O,O,X,O,X,X,X,O,X
TOLIZJS,X,O,X,X,X,X,X,O,O
TOLIZSJ,O,O,X,O,X,X,X,O,O
TOLJISZ,X,O,O,X,O,X,X,X,X
TOLJIZS,X,O,O,X,X,X,X,X,X
TOLJSIZ,O,O,O,O,O,X,X,X,X
TOLJSZI,O,O,O,O,O,X,X,X,X
TOLJZIS,X,O,O,X,X,X,X,X,X
TOLJZSI,O,O,O,O,X,X,X,X,X
TOLSIJZ,O,O,O,O,X,X,X,X,X
TOLSIZJ,O,O,O,O,X,X,X,X,O
TOLSJIZ,O,O,O,O,O,X,X,X,X
TOLSJZI,O,O,O,O,O,X,X,X,X
TOLSZIJ,O,O,O,O,X,X,X,X,O
TOLSZJI,O,O,O,O,O,X,X,X,X
TOLZIJS,X,O,O,X,X,X,X,O,O
TOLZISJ,O,O,O,O,X,X,X,O,O
TOLZJIS,X,O,O,X,X,X,X,X,X
TOLZJSI,O,O,O,O,X,X,X,X,X
TOLZSIJ,O,O,O,O,X,X,X,X,O
TOLZSJI,O,O,O,O,X,X,X,X,X
TOJILSZ,X,O,O,X,O,X,X,X,X
TOJILZS,X,O,O,X,X,X,X,X,X
TOJISLZ,X,O,O,X,O,X,X,X,X
TOJISZL,X,O,O,X,O,X,X,X,X
TOJIZLS,X,O,O,X,X,X,O,X,X
TOJIZSL,X,O,O,X,O,X,O,X,X
TOJLISZ,X,O,O,X,O,X,X,X,X
TOJLIZS,X,O,O,X,X,X,X,X,X
TOJLSIZ,O,O,O,O,O,X,X,X,X
TOJLSZI,O,O,O,O,O,X,X,X,X
TOJLZIS,X,O,O,X,X,X,X,X,X
TOJLZSI,O,O,O,O,X,X,X,X,X
TOJSILZ,O,O,O,O,O,X,X,X,X
TOJSIZL,O,O,O,O,O,X,X,X,X
TOJSLIZ,O,O,O,O,O,X,X,X,X
TOJSLZI,O,O,O,O,O,X,X,X,X
TOJSZIL,O,O,O,O,O,O,X,X,X
TOJSZLI,O,O,O,O,O,O,X,X,X
TOJZILS,X,O,O,X,X,O,O,X,X
TOJZISL,X,O,O,X,O,O,O,X,X
TOJZLIS,X,O,O,X,X,O,O,X,X
TOJZLSI,O,O,O,O,X,O,O,X,X
TOJZSIL,O,O,O,O,O,O,O,X,X
TOJZSLI,O,O,O,O,O,O,O,X,X
TOSILJZ,O,O,O,O,X,X,X,X,X
TOSILZJ,O,O,O,O,X,X,X,X,O
TOSIJLZ,O,O,O,O,O,X,X,X,X
TOSIJZL,O,O,O,O,O,X,X,X,X
TOSIZLJ,O,O,O,O,X,X,X,X,O
TOSIZJL,O,O,O,O,O,X,X,X,X
TOSLIJZ,O,O,O,O,X,X,X,X,X
TOSLIZJ,O,O,O,O,X,X,X,X,O
TOSLJIZ,O,O,O,O,O,X,X,X,X
TOSLJZI,O,O,O,O,O,X,X,X,X
TOSLZIJ,O,O,O,O,X,X,X,X,O
TOSLZJI,O,O,O,O,O,X,X,X,X
TOSJILZ,O,O,O,O,O,X,X,X,X
TOSJIZL,O,O,O,O,O,X,X,X,X
TOSJLIZ,O,O,O,O,O,X,X,X,X
TOSJLZI,O,O,O,O,O,X,X,X,X
TOSJZIL,O,O,O,O,O,O,X,X,X
TOSJZLI,O,O,O,O,O,O,X,X,X
TOSZILJ,O,O,O,O,X,O,X,X,O
TOSZIJL,O,O,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,O,X,O,X,X,O
TOSZLJI,O,O,O,O,O,O,X,X,X
TOSZJIL,O,O,O,O,O,O,X,X,X
TOSZJLI,O,O,O,O,O,O,X,X,X
TOZILJS,X,O,O,X,X,O,X,O,O
TOZILSJ,O,O,O,O,X,O,X,O,O
TOZIJLS,X,O,O,X,X,O,O,X,X
TOZIJSL,X,O,O,X,X,O,O,X,X
TOZISLJ,O,O,O,O,X,O,X,X,X
TOZISJL,O,O,O,O,X,O,O,X,X
TOZLIJS,X,O,O,X,X,O,X,O,O
TOZLISJ,O,O,O,O,X,O,X,O,O
TOZLJIS,X,O,O,X,X,O,O,X,X
TOZLJSI,O,O,O,O,X,O,O,X,X
TOZLSIJ,O,O,O,O,X,O,X,X,O
TOZLSJI,O,O,O,O,X,O,O,X,X
TOZJILS,X,O,O,X,X,O,O,X,X
TOZJISL,X,O,O,X,O,O,O,X,X
TOZJLIS,X,O,O,X,X,O,O,X,X
TOZJLSI,O,O,O,O,X,O,O,X,X
TOZJSIL,O,O,O,O,O,O,O,X,X
TOZJSLI,O,O,O,O,O,O,O,X,X
TOZSILJ,O,O,O,O,X,O,X,X,O
TOZSIJL,O,O,O,O,O,O,O,X,X
TOZSLIJ,O,O,O,O,X,O,X,X,O
TOZSLJI,O,O,O,O,O,O,O,X,X
TOZSJIL,O,O,O,O,O,O,O,X,X
TOZSJLI,O,O,O,O,O,O,O,X,X
ITLJSZO,X,O,O,X,X,X,X,O,X
ITLJSOZ,X,O,O,X,X,X,X,O,X
ITLJZSO,X,O,O,X,X,X,X,O,O
ITLJZOS,X,O,O,X,X,X,X,O,O
ITLJOSZ,X,O,O,X,X,X,X,O,X
ITLJOZS,X,O,O,X,X,X,X,O,X
ITLSJZO,X,O,O,O,X,X,X,O,O
ITLSJOZ,X,O,O,X,X,X,X,O,X
ITLSZJO,X,O,O,O,X,X,X,O,O
ITLSZOJ,O,O,O,O,X,X,X,O,O
ITLSOJZ,O,O,O,O,X,X,X,O,X
ITLSOZJ,O,O,O,O,X,X,X,O,O
ITLZJSO,X,O,O,X,X,X,X,O,O
ITLZJOS,X,O,O,X,X,X,X,O,O
ITLZSJO,X,O,O,O,X,X,X,O,O
ITLZSOJ,O,O,O,O,X,X,X,O,O
ITLZOJS,X,O,O,X,X,X,X,O,O
ITLZOSJ,O,O,O,O,X,X,X,O,O
ITLOJSZ,X,O,X,X,X,X,X,O,X
ITLOJZS,X,O,X,X,X,X,X,O,X
ITLOSJZ,O,O,X,O,X,X,X,O,X
ITLOSZJ,O,O,X,O,X,X,X,O,X
ITLOZJS,X,O,X,X,X,X,X,O,O
ITLOZSJ,O,O,X,O,X,X,X,O,O
ITJLSZO,X,O,O,X,X,X,X,O,X
ITJLSOZ,X,O,O,X,O,X,X,O,X
ITJLZSO,X,O,O,X,X,X,O,O,O
ITJLZOS,X,O,O,X,X,X,O,O,O
ITJLOSZ,X,O,O,X,O,X,X,O,X
ITJLOZS,X,O,O,X,X,X,X,O,X
ITJSLZO,X,O,O,X,X,X,X,X,X
ITJSLOZ,X,O,O,X,O,X,X,X,X
ITJSZLO,X,O,O,X,X,O,O,X,X
ITJSZOL,X,O,O,X,O,O,O,X,X
ITJSOLZ,X,O,O,X,O,X,X,X,X
ITJSOZL,X,O,O,X,O,X,X,X,X
ITJZLSO,X,O,O,X,X,O,O,O,O
ITJZLOS,X,O,O,X,X,O,O,O,O
ITJZSLO,X,O,O,X,X,O,O,X,X
ITJZSOL,X,O,O,X,O,O,O,X,X
ITJZOLS,X,O,O,X,X,O,O,X,X
ITJZOSL,X,O,O,X,O,O,O,X,X
ITJOLSZ,X,O,O,X,O,X,X,X,X
ITJOLZS,X,O,O,X,X,X,X,X,X
ITJOSLZ,X,O,O,X,O,X,X,X,X
ITJOSZL,X,O,O,X,O,X,X,X,X
ITJOZLS,X,O,O,X,X,X,O,X,X
ITJOZSL,X,O,O,X,O,X,O,X,X
ITSLJZO,X,O,O,O,X,X,X,O,O
ITSLJOZ,X,O,O,X,X,X,X,O,X
ITSLZJO,X,O,O,O,X,X,X,O,O
ITSLZOJ,O,O,O,O,X,X,X,O,O
ITSLOJZ,O,O,O,O,X,X,X,O,X
ITSLOZJ,O,O,O,O,X,X,X,O,O
ITSJLZO,X,O,O,O,X,X,X,X,O
ITSJLOZ,X,O,O,X,O,X,X,X,X
ITSJZLO,X,O,O,O,X,O,X,X,O
ITSJZOL,X,O,O,X,O,O,X,X,X
ITSJOLZ,X,O,O,X,O,X,X,X,X
ITSJOZL,X,O,O,X,O,X,X,X,X
ITSZLJO,X,O,O,O,X,O,X,O,O
ITSZLOJ,O,O,O,O,X,O,X,O,O
ITSZJLO,X,O,O,O,X,O,X,X,O
ITSZJOL,X,O,O,X,X,O,X,X,X
ITSZOLJ,O,O,O,O,X,O,X,X,O
ITSZOJL,O,O,O,O,X,O,X,X,X
ITSOLJZ,O,O,O,O,X,X,X,X,X
ITSOLZJ,O,O,O,O,X,X,X,X,O
ITSOJLZ,O,O,O,O,O,X,X,X,X
ITSOJZL,O,O,O,O,O,X,X,X,X
ITSOZLJ,O,O,O,O,X,X,X,X,O
ITSOZJL,O,O,O,O,O,X,X,X,X
ITZLJSO,X,O,O,X,X,O,X,O,O
ITZLJOS,X,O,O,X,X,O,X,O,O
ITZLSJO,X,O,O,O,X,O,X,O,O
ITZLSOJ,O,O,O,O,X,O,X,O,O
ITZLOJS,X,O,O,X,X,O,X,O,O
ITZLOSJ,O,O,O,O,X,O,X,O,O
ITZJLSO,X,O,O,X,X,O,O,O,O
ITZJLOS,X,O,O,X,X,O,O,O,O
ITZJSLO,X,O,O,X,X,O,O,X,X
ITZJSOL,X,O,O,X,X,O,O,X,X
ITZJOLS,X,O,O,X,X,O,O,X,X
ITZJOSL,X,O,O,X,X,O,O,X,X
ITZSLJO,X,O,O,O,X,O,X,O,O
ITZSLOJ,O,O,O,O,X,O,X,O,O
ITZSJLO,X,O,O,O,X,O,O,X,O
ITZSJOL,X,O,O,X,X,O,O,X,X
ITZSOLJ,O,O,O,O,X,O,X,X,O
ITZSOJL,O,O,O,O,X,O,O,X,X
ITZOLJS,X,O,O,X,X,O,X,O,O
ITZOLSJ,O,O,O,O,X,O,X,O,O
ITZOJLS,X,O,O,X,X,O,O,X,X
ITZOJSL,X,O,O,X,X,O,O,X,X
ITZOSLJ,O,O,O,O,X,O,X,X,X
ITZOSJL,O,O,O,O,X,O,O,X,X
ITOLJSZ,X,O,X,X,X,X,X,O,X
ITOLJZS,X,O,X,X,X,X,X,O,X
ITOLSJZ,O,O,X,O,X,X,X,O,X
ITOLSZJ,O,O,X,O,X,X,X,O,X
ITOLZJS,X,O,X,X,X,X,X,O,O
ITOLZSJ,O,O,X,O,X,X,X,O,O
ITOJLSZ,X,O,X,X,O,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,O,X,X,X,X
ITOJSZL,X,O,X,X,O,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,O,X,X,X,X
ITOSLJZ,O,O,X,O,X,X,X,X,X
ITOSLZJ,O,O,X,O,X,X,X,X,X
ITOSJLZ,O,O,X,O,O,X,X,X,X
ITOSJZL,O,O,X,O,O,X,X,X,X
ITOSZLJ,O,O,X,O,X,X,X,X,X
ITOSZJL,O,O,X,O,O,X,X,X,X
ITOZLJS,X,O,X,X,X,X,X,O,O
ITOZLSJ,O,O,X,O,X,X,X,O,O
ITOZJLS,X,O,X,X,X,X,X,X,X
ITOZJSL,X,O,X,X,X,X,X,X,X
ITOZSLJ,O,O,X,O,X,X,X,X,X
ITOZSJL,O,O,X,O,X,X,X,X,X
ILTJSZO,X,O,O,X,X,X,X,O,X
ILTJSOZ,X,O,O,X,X,X,X,O,X
ILTJZSO,X,O,O,X,X,X,X,O,O
ILTJZOS,X,O,O,X,X,X,X,O,O
ILTJOSZ,X,O,O,X,X,X,X,O,X
ILTJOZS,X,O,O,X,X,X,X,O,X
ILTSJZO,X,O,O,O,X,X,X,O,O
ILTSJOZ,X,O,O,X,X,X,X,O,X
ILTSZJO,X,O,O,O,X,X,X,O,O
ILTSZOJ,O,O,O,O,X,X,X,O,O
ILTSOJZ,O,O,O,O,X,X,X,O,X
ILTSOZJ,O,O,O,O,X,X,X,O,O
ILTZJSO,X,O,O,X,X,X,X,O,O
ILTZJOS,X,O,O,X,X,X,X,O,O
ILTZSJO,X,O,O,O,X,X,X,O,O
ILTZSOJ,O,O,O,O,X,X,X,O,O
ILTZOJS,X,O,O,X,X,X,X,O,O
ILTZOSJ,O,O,O,O,X,X,X,O,O
ILTOJSZ,X,O,X,X,X,X,X,O,X
ILTOJZS,X,O,X,X,X,X,X,O,X
ILTOSJZ,O,O,X,O,X,X,X,O,X
ILTOSZJ,O,O,X,O,X,X,X,O,X
ILTOZJS,X,O,X,X,X,X,X,O,O
ILTOZSJ,O,O,X,O,X,X,X,O,O
ILJTSZO,X,O,O,X,X,X,X,O,X
ILJTSOZ,X,O,O,X,X,X,X,O,X
ILJTZSO,X,O,O,X,X,X,X,O,O
ILJTZOS,X,O,O,X,X,X,X,O,O
ILJTOSZ,X,O,O,X,X,X,X,O,X
ILJTOZS,X,O,O,X,X,X,X,O,X
ILJSTZO,X,O,O,X,X,X,X,X,O
ILJSTOZ,X,O,O,X,X,X,X,X,X
ILJSZTO,X,O,O,X,X,X,X,X,O
ILJSZOT,X,X,O,X,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X
ILJZTSO,X,O,O,X,X,X,X,O,O
ILJZTOS,X,O,O,X,X,X,X,O,O
ILJZSTO,X,O,O,X,X,X,X,X,O
ILJZSOT,X,X,O,X,X,X,X,X,X
ILJZOTS,X,O,O,X,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,X,X,X
ILJOTSZ,X,O,O,X,X,X,X,X,X
ILJOTZS,X,O,O,X,X,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,X,X,X
ILJOSZT,X,O,X,X,X,X,X,X,X
ILJOZTS,X,O,O,X,X,X,X,X,X
ILJOZST,X,O,O,X,X,X,X,X,X
ILSTJZO,X,O,X,O,X,X,X,O,O
ILSTJOZ,X,O,X,X,X,X,X,O,X
ILSTZJO,X,O,X,O,X,X,X,O,O
ILSTZOJ,O,O,X,O,X,X,X,O,O
ILSTOJZ,O,O,X,O,X,X,X,O,X
ILSTOZJ,O,O,X,O,X,X,X,O,O
ILSJTZO,X,O,X,O,X,X,X,X,O
ILSJTOZ,X,O,X,X,X,X,X,X,X
ILSJZTO,X,O,X,X,X,X,X,X,O
ILSJZOT,X,X,X,X,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X
ILSZTJO,X,O,X,O,X,X,X,O,O
ILSZTOJ,O,O,X,O,X,X,X,O,O
ILSZJTO,X,O,X,X,X,X,X,X,O
ILSZJOT,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,O,X,X,X,X,O
ILSZOJT,O,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,O,X,X,X,X,X
ILSOTZJ,O,O,X,O,X,X,X,X,O
ILSOJTZ,O,O,X,O,X,X,X,X,X
ILSOJZT,O,O,X,X,X,X,X,X,X
ILSOZTJ,O,O,X,O,X,X,X,X,O
ILSOZJT,O,O,X,X,X,X,X,X,X
ILZTJSO,X,O,O,X,X,X,X,O,O
ILZTJOS,X,O,O,X,X,X,X,O,O
ILZTSJO,X,O,O,O,X,X,X,O,O
ILZTSOJ,O,O,O,O,X,X,X,O,O
ILZTOJS,X,O,O,X,X,X,X,O,O
ILZTOSJ,O,O,O,O,X,X,X,O,O
ILZJTSO,X,O,O,X,X,X,X,O,O
ILZJTOS,X,O,O,X,X,X,X,O,O
ILZJSTO,X,O,O,X,X,X,X,X,O
ILZJSOT,X,X,O,X,X,X,X,X,X
ILZJOTS,X,O,O,X,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,X,X,X
ILZSTJO,X,O,X,O,X,X,X,O,O
ILZSTOJ,O,O,X,O,X,X,X,O,O
ILZSJTO,X,O,X,X,X,X,X,X,O
ILZSJOT,X,X,X,X,X,X,X,X,X
ILZSOTJ,O,X,X,O,X,X,X,X,O
ILZSOJT,O,X,X,X,X,X,X,X,X
ILZOTJS,X,O,O,X,X,X,X,O,O
ILZOTSJ,O,O,O,O,X,X,X,O,O
ILZOJTS,X,O,O,X,X,X,X,X,X
ILZOJST,O,O,O,X,X,X,X,X,X
ILZOSTJ,O,O,X,O,X,X,X,X,O
ILZOSJT,O,O,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,X,X,X,O,X
ILOTJZS,X,O,X,X,X,X,X,O,X
ILOTSJZ,O,O,X,O,X,X,X,O,X
ILOTSZJ,O,O,X,O,X,X,X,O,X
ILOTZJS,X,O,X,X,X,X,X,O,O
ILOTZSJ,O,O,X,O,X,X,X,O,O
ILOJTSZ,X,O,X,X,X,X,X,X,X
ILOJTZS,X,O,X,X,X,X,X,X,X
ILOJSTZ,O,O,X,X,X,X,X,X,X
ILOJSZT,O,O,X,X,X,X,X,X,X
ILOJZTS,X,O,X,X,X,X,X,X,X
ILOJZST,O,O,X,X,X,X,X,X,X
ILOSTJZ,O,O,X,O,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,X,X,O
ILOSJTZ,O,O,X,O,X,X,X,X,X
ILOSJZT,O,O,X,X,X,X,X,X,X
ILOSZTJ,O,O,X,O,X,X,X,X,O
ILOSZJT,O,O,X,X,X,X,X,X,X
ILOZTJS,X,O,X,X,X,X,X,O,O
ILOZTSJ,O,O,X,O,X,X,X,O,O
ILOZJTS,X,O,X,X,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,O,X,X,X,X,O
ILOZSJT,O,O,X,X,X,X,X,X,X
IJTLSZO,X,O,O,X,X,X,X,O,X
IJTLSOZ,X,O,O,X,O,X,X,O,X
IJTLZSO,X,O,O,X,X,X,O,O,O
IJTLZOS,X,O,O,X,X,X,O,O,O
IJTLOSZ,X,O,O,X,O,X,X,O,X
IJTLOZS,X,O,O,X,X,X,X,O,X
IJTSLZO,X,O,O,X,X,X,X,X,X
IJTSLOZ,X,O,O,X,O,X,X,X,X
IJTSZLO,X,O,O,X,X,O,O,X,X
IJTSZOL,X,O,O,X,O,O,O,X,X
IJTSOLZ,X,O,O,X,O,X,X,X,X
IJTSOZL,X,O,O,X,O,X,X,X,X
IJTZLSO,X,O,O,X,X,O,O,O,O
IJTZLOS,X,O,O,X,X,O,O,O,O
IJTZSLO,X,O,O,X,X,O,O,X,X
IJTZSOL,X,O,O,X,O,O,O,X,X
IJTZOLS,X,O,O,X,X,O,O,X,X
IJTZOSL,X,O,O,X,O,O,O,X,X
IJTOLSZ,X,O,O,X,O,X,X,X,X
IJTOLZS,X,O,O,X,X,X,X,X,X
IJTOSLZ,X,O,O,X,O,X,X,X,X
IJTOSZL,X,O,O,X,O,X,X,X,X
IJTOZLS,X,O,O,X,X,X,O,X,X
IJTOZSL,X,O,O,X,O,X,O,X,X
IJLTSZO,X,O,O,X,X,X,X,O,X
IJLTSOZ,X,O,O,X,O,X,X,O,X
IJLTZSO,X,O,O,X,X,X,O,O,O
IJLTZOS,X,O,O,X,X,X,O,O,O
IJLTOSZ,X,O,O,X,O,X,X,O,X
IJLTOZS,X,O,O,X,X,X,X,O,X
IJLSTZO,X,O,O,X,X,X,X,X,O
IJLSTOZ,X,O,O,X,O,X,X,X,X
IJLSZTO,X,O,O,X,X,X,X,X,O
IJLSZOT,X,X,O,X,X,X,X,X,X
IJLSOTZ,X,O,X,X,O,X,X,X,X
IJLSOZT,X,X,X,X,O,X,X,X,X
IJLZTSO,X,O,O,X,X,X,O,O,O
IJLZTOS,X,O,O,X,X,X,O,O,O
IJLZSTO,X,O,O,X,X,X,O,X,O
IJLZSOT,X,X,O,X,X,X,O,X,X
IJLZOTS,X,O,O,X,X,X,O,X,X
IJLZOST,X,X,O,X,X,X,O,X,X
IJLOTSZ,X,O,O,X,O,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X,X
IJLOSTZ,X,O,X,X,O,X,X,X,X
IJLOSZT,X,O,X,X,O,X,X,X,X
IJLOZTS,X,O,O,X,X,X,X,X,X
IJLOZST,X,O,O,X,X,X,X,X,X
IJSTLZO,X,O,O,X,X,X,X,X,O
IJSTLOZ,X,O,O,X,O,X,X,X,X
IJSTZLO,X,O,O,X,X,X,O,X,O
IJSTZOL,X,O,O,X,O,X,O,X,X
IJSTOLZ,X,O,O,X,O,X,X,X,X
