sequence,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFTeBUhBFiBa?tBGsBXsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcBTeBlmBa?tBXsBGsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcB3hBFjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFXdBUhBFjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jel7IvhFUdBGeBThBZ?oBXnBSxB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxcBTeBlmBm?sB3sBCsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFxdBXjBlmBm?sB6rBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFTeBUhBFiBS?sBetBXsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFUhBFiBXjBO?tBCsBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhFUhBFiBXjB6?sBOtBzrB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhF/iBGeBZoBl?mBTsB6rB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Je07IvhFXdBFjBxmB6?rBOtBTsB,v115@zgB8HeC8GeD8EeF8DeF8DeA8Jex7IvhF/iBcjBlmBi?sBGrBzsB
TSIJZOL,X,X,X,X,X,X,O,X,X,X,X,O,X
TSIJOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TSIJOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
TSIZLJO,X,O,O,X,X,X,X,X,O,O,X,O,X
TSIZLOJ,X,O,O,X,X,X,X,X,O,O,X,O,X
TSIZJLO,X,X,X,X,X,X,O,X,O,O,X,O,X
TSIZJOL,X,X,X,X,X,X,O,X,O,O,X,O,X
TSIZOLJ,X,X,O,X,X,X,X,X,O,O,X,O,X
TSIZOJL,X,X,X,X,X,X,X,X,O,O,X,O,X
TSIOLJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,O,X,X,X,X,X,X,O,X
TSIOJLZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,O,X,X,X,X,X,X,O,X
TSIOZLJ,X,X,X,X,X,X,X,X,X,X,X,O,X
TSIOZJL,X,X,X,X,O,X,X,X,X,X,X,O,X
TSLIJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLIJOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLIZJO,X,O,O,O,O,X,X,X,O,X,X,O,O
TSLIZOJ,X,O,O,O,O,X,X,X,O,X,X,O,X
TSLIOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLJIZO,X,O,O,X,O,X,O,X,X,X,X,X,X
TSLJIOZ,X,O,X,X,O,X,O,X,X,X,X,X,X
TSLJZIO,X,O,O,O,O,X,O,X,O,X,X,X,O
TSLJZOI,X,O,O,O,O,X,O,X,O,X,X,X,O
TSLJOIZ,X,O,X,X,O,X,O,X,X,X,X,X,X
TSLJOZI,X,O,X,X,O,X,O,X,X,X,X,X,X
TSLZIJO,X,O,O,O,O,X,X,X,O,O,X,O,O
TSLZIOJ,X,O,O,O,O,X,X,X,O,O,X,O,X
TSLZJIO,X,O,O,O,O,X,O,X,O,O,X,X,O
TSLZJOI,X,O,O,O,O,X,O,X,O,O,X,X,O
TSLZOIJ,X,O,O,O,O,X,X,X,O,O,X,X,X
TSLZOJI,X,O,O,O,O,X,X,X,O,O,X,X,O
TSLOIJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLOIZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLOJIZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLOJZI,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLOZIJ,X,O,O,O,O,X,X,X,O,X,X,X,X
TSLOZJI,X,O,O,O,O,X,X,X,O,X,X,X,O
TSJILZO,X,X,X,X,O,O,O,X,X,X,X,X,X
TSJILOZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,O,O,X,X,X,X,O,X
TSJIZOL,X,X,X,X,X,O,O,X,X,X,X,O,X
TSJIOLZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TSJIOZL,X,X,X,X,O,O,O,X,X,X,X,X,X
TSJLIZO,X,O,X,X,O,O,O,X,X,X,X,X,X
TSJLIOZ,X,O,X,X,O,O,O,X,X,X,X,X,X
TSJLZIO,X,O,X,X,O,O,O,X,X,X,X,X,X
TSJLZOI,X,O,X,X,O,O,O,X,X,X,X,X,X
TSJLOIZ,X,O,X,X,O,O,O,X,X,X,X,X,X
TSJLOZI,X,O,X,X,O,O,O,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,O,O,X,O,O,X,O,X
TSJZIOL,X,X,X,X,X,O,O,X,O,O,X,O,X
TSJZLIO,X,O,O,X,X,O,O,X,O,O,X,X,X
TSJZLOI,X,O,O,X,X,O,O,X,O,O,X,X,X
TSJZOIL,X,X,X,X,X,O,O,X,O,O,X,X,X
TSJZOLI,X,X,O,X,X,O,O,X,O,O,X,X,X
TSJOILZ,X,X,X,X,O,O,O,X,X,X,X,X,X
TSJOIZL,X,X,X,X,O,O,O,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,O,O,X,X,X,X,X,X
TSJOLZI,X,X,X,X,O,O,O,X,X,X,X,X,X
TSJOZIL,X,X,X,X,O,O,O,X,X,X,X,X,X
TSJOZLI,X,X,X,X,O,O,O,X,X,X,X,X,X
TSZILJO,X,O,O,X,X,X,X,X,O,O,X,O,X
TSZILOJ,X,O,O,X,X,X,X,X,O,O,X,O,X
TSZIJLO,X,X,X,X,X,X,O,X,O,O,X,O,X
TSZIJOL,X,X,X,X,X,O,O,X,O,O,X,O,X
TSZIOLJ,X,O,O,X,X,X,X,X,O,O,X,O,X
TSZIOJL,X,X,X,X,X,X,X,X,O,O,X,O,X
TSZLIJO,X,O,O,O,X,X,X,X,O,O,X,O,O
TSZLIOJ,X,O,O,O,X,X,X,X,O,O,X,O,X
TSZLJIO,X,O,O,O,X,X,O,X,O,O,X,X,O
TSZLJOI,X,O,O,O,X,X,O,X,O,O,X,X,O
TSZLOIJ,X,O,O,O,X,X,X,X,O,O,X,X,X
TSZLOJI,X,O,O,O,X,X,X,X,O,O,X,X,O
TSZJILO,X,X,X,X,X,O,O,X,O,O,X,O,X
TSZJIOL,X,X,X,X,X,O,O,X,O,O,X,O,X
TSZJLIO,X,O,O,X,X,O,O,X,O,O,X,X,X
TSZJLOI,X,O,O,X,X,O,O,X,O,O,X,X,X
TSZJOIL,X,X,X,X,X,O,O,X,O,O,X,X,X
TSZJOLI,X,X,O,X,X,O,O,X,O,O,X,X,X
TSZOILJ,X,O,O,X,X,X,X,X,O,O,O,O,X
TSZOIJL,X,X,X,X,X,X,X,X,O,O,O,O,X
TSZOLIJ,X,O,O,X,X,X,X,X,O,O,O,O,X
TSZOLJI,X,O,O,X,X,X,X,X,O,O,X,X,X
TSZOJIL,X,X,X,X,X,X,O,X,O,O,O,O,X
TSZOJLI,X,X,O,X,X,X,O,X,O,O,X,X,X
TSOILJZ,X,X,O,X,O,X,X,X,X,X,O,X,X
TSOILZJ,X,X,O,X,O,X,X,X,X,X,O,O,X
TSOIJLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TSOIJZL,X,X,X,X,O,X,X,X,X,X,O,O,X
TSOIZLJ,X,X,O,X,X,X,X,X,X,O,O,O,X
TSOIZJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TSOLIJZ,X,O,O,X,O,X,X,X,X,X,O,X,X
TSOLIZJ,X,O,O,X,O,X,X,X,X,X,O,O,X
TSOLJIZ,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOLJZI,X,O,O,X,O,X,X,X,X,X,X,X,X
TSOLZIJ,X,O,O,X,O,X,X,X,X,O,O,O,X
TSOLZJI,X,O,O,X,O,X,X,X,X,O,X,X,X
TSOJILZ,X,X,X,X,O,X,O,X,X,X,O,X,X
TSOJIZL,X,X,X,X,O,X,O,X,X,X,O,O,X
TSOJLIZ,X,X,X,X,X,X,O,X,X,X,X,X,X
TSOJLZI,X,X,X,X,O,X,O,X,X,X,X,X,X
TSOJZIL,X,X,X,X,O,X,O,X,X,O,O,O,X
TSOJZLI,X,X,O,X,O,X,O,X,X,O,X,X,X
TSOZILJ,X,O,O,X,X,X,X,X,O,O,O,O,X
TSOZIJL,X,X,X,X,O,X,X,X,O,O,O,O,X
TSOZLIJ,X,O,O,X,O,X,X,X,O,O,O,O,X
TSOZLJI,X,O,O,X,O,X,X,X,O,O,X,X,X
TSOZJIL,X,X,X,X,O,X,O,X,O,O,O,O,X
TSOZJLI,X,X,O,X,O,X,O,X,O,O,X,X,X
TZILJSO,O,X,X,O,O,X,X,X,O,X,X,X,X
TZILJOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZILSJO,X,O,O,O,O,X,X,X,O,O,X,O,O
TZILSOJ,O,O,O,O,O,X,X,X,O,O,X,O,X
TZILOJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZILOSJ,O,O,X,O,O,X,X,X,O,X,X,O,X
TZIJLSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TZIJLOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZIJSLO,X,X,X,X,X,O,O,X,O,O,X,O,X
TZIJSOL,X,X,X,X,X,O,O,O,O,O,X,O,X
TZIJOLS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZIJOSL,X,X,X,X,O,O,X,O,X,X,X,O,X
TZISLJO,X,O,O,O,X,X,X,X,O,O,X,O,X
TZISLOJ,X,O,O,O,X,X,X,X,O,O,X,O,X
TZISJLO,X,X,X,X,X,X,O,X,O,O,X,O,X
TZISJOL,X,X,X,X,X,O,O,O,O,O,X,O,X
TZISOLJ,O,O,O,X,X,X,X,X,O,O,X,O,X
TZISOJL,X,X,X,X,X,X,X,X,O,O,X,O,X
TZIOLJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,X,O,O,X,X,X,X,O,O,O,X
TZIOJLS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZIOJSL,X,X,X,X,O,O,X,O,X,O,O,O,X
TZIOSLJ,O,O,O,O,X,X,X,X,O,O,O,O,X
TZIOSJL,X,X,X,X,O,X,X,X,O,O,O,O,X
TZLIJSO,O,X,X,O,O,X,X,X,O,X,X,X,X
TZLIJOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZLISJO,X,O,O,O,O,X,X,X,O,O,X,O,O
TZLISOJ,O,O,O,O,O,X,X,X,O,O,X,O,X
TZLIOJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZLIOSJ,O,O,X,O,O,X,X,X,O,X,X,O,X
TZLJISO,O,X,X,O,O,X,X,X,O,X,X,X,X
TZLJIOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZLJSIO,O,O,O,O,O,O,O,X,O,X,X,X,O
TZLJSOI,O,O,O,O,O,O,O,X,O,X,X,X,O
TZLJOIS,O,O,X,O,O,O,X,O,X,X,X,X,X
TZLJOSI,O,O,X,O,O,O,X,O,X,X,X,X,X
TZLSIJO,X,O,O,O,O,X,X,X,O,O,X,O,O
TZLSIOJ,O,O,O,O,O,X,X,X,O,O,X,O,X
TZLSJIO,X,O,O,O,O,X,O,X,O,O,X,X,O
TZLSJOI,X,O,O,O,O,X,O,X,O,O,X,X,O
TZLSOIJ,O,O,O,O,O,X,X,X,O,O,X,X,X
TZLSOJI,O,O,O,O,O,X,X,X,O,O,X,X,O
TZLOIJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZLOISJ,O,O,X,O,O,X,X,X,O,X,O,O,X
TZLOJIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZLOJSI,O,O,X,O,O,X,X,X,X,X,X,X,X
TZLOSIJ,O,O,O,O,O,X,X,X,O,X,O,O,X
TZLOSJI,O,O,O,O,O,X,X,X,O,X,X,X,O
TZJILSO,O,X,X,X,O,X,X,O,X,X,X,X,X
TZJILOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZJISLO,X,X,X,X,X,O,O,X,O,O,X,O,X
TZJISOL,X,X,X,X,X,O,O,O,O,O,X,O,X
TZJIOLS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZJIOSL,X,X,X,X,O,O,X,O,X,X,X,O,X
TZJLISO,O,X,X,O,O,X,X,O,X,X,X,X,X
TZJLIOS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZJLSIO,O,O,O,O,O,O,O,O,X,X,X,X,O
TZJLSOI,O,O,O,O,O,O,O,O,X,X,X,X,O
TZJLOIS,O,O,X,O,O,O,X,O,X,X,X,X,X
TZJLOSI,O,O,X,O,O,O,X,O,X,X,X,X,X
TZJSILO,X,X,X,X,X,O,O,X,O,O,X,O,X
TZJSIOL,X,X,X,X,X,O,O,O,O,O,X,O,X
TZJSLIO,X,O,O,X,X,O,O,X,O,O,X,X,X
TZJSLOI,X,O,O,X,X,O,O,X,O,O,X,X,X
TZJSOIL,X,X,X,X,X,O,O,O,O,O,X,X,X
TZJSOLI,X,X,O,X,X,O,O,O,O,O,X,X,X
TZJOILS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZJOISL,X,X,X,X,O,O,X,O,X,X,O,O,X
TZJOLIS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZJOLSI,O,O,X,X,O,O,X,O,X,X,X,X,X
TZJOSIL,X,X,X,X,O,O,O,O,X,X,O,O,X
TZJOSLI,X,X,O,X,O,O,O,O,X,X,X,X,X
TZSILJO,X,O,O,O,X,X,X,X,O,O,X,O,X
TZSILOJ,X,O,O,O,X,X,X,X,O,O,X,O,X
TZSIJLO,X,X,X,X,X,X,O,X,O,O,X,O,X
TZSIJOL,X,X,X,X,X,O,O,O,O,O,X,O,X
TZSIOLJ,O,O,O,X,X,X,X,X,O,O,X,O,X
TZSIOJL,X,X,X,X,X,X,X,X,O,O,X,O,X
TZSLIJO,X,O,O,O,X,X,X,X,O,O,X,O,O
TZSLIOJ,X,O,O,O,X,X,X,X,O,O,X,O,X
TZSLJIO,X,O,O,O,X,X,O,X,O,O,X,X,O
TZSLJOI,X,O,O,O,X,X,O,X,O,O,X,X,O
TZSLOIJ,X,O,O,O,X,X,X,X,O,O,X,X,X
TZSLOJI,X,O,O,O,X,X,X,X,O,O,X,X,O
TZSJILO,X,X,X,X,X,O,O,X,O,O,X,O,X
TZSJIOL,X,X,X,X,X,O,O,O,O,O,X,O,X
TZSJLIO,X,O,O,X,X,O,O,X,O,O,X,X,X
TZSJLOI,X,O,O,X,X,O,O,X,O,O,X,X,X
TZSJOIL,X,X,X,X,X,O,O,O,O,O,X,X,X
TZSJOLI,X,X,O,X,X,O,O,O,O,O,X,X,X
TZSOILJ,O,O,O,X,X,X,X,X,O,O,O,O,X
TZSOIJL,X,X,X,X,X,X,X,X,O,O,O,O,X
TZSOLIJ,O,O,O,X,X,X,X,X,O,O,O,O,X
TZSOLJI,O,O,O,X,X,X,X,X,O,O,X,X,X
TZSOJIL,X,X,X,X,X,X,O,X,O,O,O,O,X
TZSOJLI,X,X,O,X,X,X,O,X,O,O,X,X,X
TZOILJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZOILSJ,O,O,X,O,O,X,X,X,X,O,O,O,X
TZOIJLS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZOIJSL,X,X,X,X,O,O,X,O,X,O,O,O,X
TZOISLJ,O,O,O,O,X,X,X,X,O,O,O,O,X
TZOISJL,X,X,X,X,O,X,X,X,O,O,O,O,X
TZOLIJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZOLISJ,O,O,O,O,O,X,X,X,X,O,O,O,X
TZOLJIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZOLJSI,O,O,O,O,O,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,O,O,O,X,X,X,X,O,O,O,X
TZOLSJI,O,O,O,O,O,X,X,X,X,O,X,X,O
TZOJILS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZOJISL,X,X,X,X,O,O,X,O,X,O,O,O,X
TZOJLIS,O,O,X,X,O,O,X,O,X,X,X,X,X
TZOJLSI,O,O,X,X,O,O,X,O,X,X,X,X,X
TZOJSIL,X,X,X,X,O,O,O,O,X,O,O,O,X
TZOJSLI,X,X,O,X,O,O,O,O,X,O,X,X,X
TZOSILJ,O,O,O,O,X,X,X,X,O,O,O,O,X
TZOSIJL,X,X,X,X,O,X,X,X,O,O,O,O,X
TZOSLIJ,O,O,O,O,O,X,X,X,O,O,O,O,X
TZOSLJI,O,O,O,O,O,X,X,X,O,O,X,X,X
TZOSJIL,X,X,X,X,O,X,O,X,O,O,O,O,X
TZOSJLI,X,X,O,X,O,X,O,X,O,O,X,X,X
TOILJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOILJZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TOILSJZ,X,O,X,X,O,X,X,X,X,X,O,X,X
TOILSZJ,X,O,X,X,O,X,X,X,X,X,O,O,X
TOILZJS,O,O,X,X,O,X,X,X,X,X,X,X,X
TOILZSJ,O,O,X,X,O,X,X,X,X,X,O,O,X
TOIJLSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOIJLZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOIJSLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TOIJSZL,X,X,X,X,O,X,X,X,X,X,O,O,X
TOIJZLS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOIJZSL,X,X,X,X,O,X,X,O,X,X,O,O,X
TOISLJZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TOISLZJ,X,X,X,X,O,X,X,X,X,X,O,O,X
TOISJLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TOISJZL,X,X,X,X,O,X,X,X,X,X,O,O,X
TOISZLJ,X,X,O,X,X,X,X,X,X,O,O,O,X
TOISZJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TOIZLJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TOIZLSJ,O,O,X,O,O,X,X,X,X,O,O,O,X
TOIZJLS,O,O,X,X,O,X,X,O,X,X,X,X,X
TOIZJSL,X,X,X,X,O,X,X,O,X,O,O,O,X
TOIZSLJ,O,O,O,O,X,X,X,X,X,O,O,O,X
TOIZSJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TOLIJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOLIJZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TOLISJZ,X,O,O,X,O,X,X,X,X,X,O,X,X
TOLISZJ,X,O,O,O,O,X,X,X,X,X,O,O,X
TOLIZJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TOLIZSJ,O,O,O,O,O,X,X,X,X,X,O,O,X
TOLJISZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOLJIZS,O,X,X,X,O,X,X,X,X,X,X,X,X
TOLJSIZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TOLJSZI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOLJZIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TOLJZSI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOLSIJZ,X,O,O,X,O,X,X,X,X,X,O,X,X
TOLSIZJ,X,O,O,O,O,X,X,X,X,X,O,O,X
TOLSJIZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TOLSJZI,X,O,O,O,O,X,X,X,X,X,X,X,X
TOLSZIJ,O,O,O,O,O,X,X,X,X,O,O,O,X
TOLSZJI,O,O,O,O,O,X,X,X,X,O,X,X,O
TOLZIJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TOLZISJ,O,O,O,O,O,X,X,X,X,O,O,O,X
TOLZJIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TOLZJSI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOLZSIJ,O,O,O,O,O,X,X,X,X,O,O,O,X
TOLZSJI,O,O,O,O,O,X,X,X,X,O,X,X,O
TOJILSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOJILZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOJISLZ,X,X,X,X,O,O,X,X,X,X,O,X,X
TOJISZL,X,X,X,X,O,O,X,X,X,X,O,O,X
TOJIZLS,X,X,X,X,O,O,X,O,X,X,X,X,X
TOJIZSL,X,X,X,X,O,O,X,O,X,X,O,O,X
TOJLISZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOJLIZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOJLSIZ,X,O,X,X,O,O,X,X,X,X,X,X,X
TOJLSZI,X,O,X,X,O,O,X,O,X,X,X,X,X
TOJLZIS,X,O,X,X,O,O,X,O,X,X,X,X,X
TOJLZSI,X,O,X,X,O,O,X,O,X,X,X,X,X
TOJSILZ,X,X,X,X,O,O,O,X,X,X,O,X,X
TOJSIZL,X,X,X,X,O,O,O,X,X,X,O,O,X
TOJSLIZ,X,X,X,X,X,O,O,X,X,X,X,X,X
TOJSLZI,X,X,X,X,O,O,O,X,X,X,X,X,X
TOJSZIL,X,X,X,X,O,O,O,X,X,O,O,O,X
TOJSZLI,X,X,O,X,O,O,O,X,X,O,X,X,X
TOJZILS,X,O,X,X,O,O,X,O,X,X,X,X,X
TOJZISL,X,X,X,X,O,O,X,O,X,O,O,O,X
TOJZLIS,X,O,X,X,O,O,X,O,X,X,X,X,X
TOJZLSI,X,O,X,X,O,O,X,O,X,X,X,X,X
TOJZSIL,X,X,X,X,O,O,O,O,X,O,O,O,X
TOJZSLI,X,X,O,X,O,O,O,O,X,O,X,X,X
TOSILJZ,X,X,O,X,O,X,X,X,X,X,O,X,X
TOSILZJ,X,X,O,X,O,X,X,X,X,X,O,O,X
TOSIJLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TOSIJZL,X,X,X,X,O,X,X,X,X,X,O,O,X
TOSIZLJ,X,X,O,X,X,X,X,X,X,O,O,O,X
TOSIZJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TOSLIJZ,X,O,O,X,O,X,X,X,X,X,O,X,X
TOSLIZJ,X,O,O,X,O,X,X,X,X,X,O,O,X
TOSLJIZ,X,O,O,X,X,X,X,X,X,X,X,X,X
TOSLJZI,X,O,O,X,O,X,X,X,X,X,X,X,X
TOSLZIJ,X,O,O,X,O,X,X,X,X,O,O,O,X
TOSLZJI,X,O,O,X,O,X,X,X,X,O,X,X,X
TOSJILZ,X,X,X,X,O,X,O,X,X,X,O,X,X
TOSJIZL,X,X,X,X,O,X,O,X,X,X,O,O,X
TOSJLIZ,X,X,X,X,X,X,O,X,X,X,X,X,X
TOSJLZI,X,X,X,X,O,X,O,X,X,X,X,X,X
TOSJZIL,X,X,X,X,O,X,O,X,X,O,O,O,X
TOSJZLI,X,X,O,X,O,X,O,X,X,O,X,X,X
TOSZILJ,X,O,O,X,X,X,X,X,X,O,O,O,X
TOSZIJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TOSZLIJ,X,O,O,X,O,X,X,X,X,O,O,O,X
TOSZLJI,X,O,O,X,O,X,X,X,X,O,X,X,X
TOSZJIL,X,X,X,X,O,X,O,X,X,O,O,O,X
TOSZJLI,X,X,O,X,O,X,O,X,X,O,X,X,X
TOZILJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TOZILSJ,O,O,X,O,O,X,X,X,X,O,O,O,X
TOZIJLS,O,O,X,X,O,O,X,O,X,X,X,X,X
TOZIJSL,X,X,X,X,O,O,X,O,X,O,O,O,X
TOZISLJ,O,O,O,O,X,X,X,X,X,O,O,O,X
TOZISJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TOZLIJS,O,O,X,O,O,X,X,X,X,X,X,X,X
TOZLISJ,O,O,O,O,O,X,X,X,X,O,O,O,X
TOZLJIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TOZLJSI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOZLSIJ,O,O,O,O,O,X,X,X,X,O,O,O,X
TOZLSJI,O,O,O,O,O,X,X,X,X,O,X,X,O
TOZJILS,O,O,X,X,O,O,X,O,X,X,X,X,X
TOZJISL,X,X,X,X,O,O,X,O,X,O,O,O,X
TOZJLIS,O,O,X,X,O,O,X,O,X,X,X,X,X
TOZJLSI,O,O,X,X,O,O,X,O,X,X,X,X,X
TOZJSIL,X,X,X,X,O,O,O,O,X,O,O,O,X
TOZJSLI,X,X,O,X,O,O,O,O,X,O,X,X,X
TOZSILJ,O,O,O,O,X,X,X,X,X,O,O,O,X
TOZSIJL,X,X,X,X,O,X,X,X,X,O,O,O,X
TOZSLIJ,O,O,O,O,O,X,X,X,X,O,O,O,X
TOZSLJI,O,O,O,O,O,X,X,X,X,O,X,X,X
TOZSJIL,X,X,X,X,O,X,O,X,X,O,O,O,X
TOZSJLI,X,X,O,X,O,X,O,X,X,O,X,X,X
ITLJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLJSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
ITLJZOS,O,X,X,X,O,X,X,X,X,X,X,X,X
ITLJOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLJOZS,O,X,X,X,O,X,X,X,X,X,X,X,X
ITLSJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
ITLSJOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITLSZJO,X,O,O,O,O,X,X,X,O,X,X,O,O
ITLSZOJ,X,O,O,O,O,X,X,X,O,X,X,O,X
ITLSOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITLSOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ITLZJSO,O,X,X,O,O,X,X,X,O,X,X,X,X
ITLZJOS,O,O,X,X,O,X,X,X,X,X,X,X,X
ITLZSJO,X,O,O,O,O,X,X,X,O,X,X,O,O
ITLZSOJ,O,O,O,O,O,X,X,X,O,X,X,O,X
ITLZOJS,O,O,X,O,O,X,X,X,X,X,X,X,X
ITLZOSJ,O,O,X,O,O,X,X,X,O,X,X,O,X
ITLOJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLOJZS,O,X,X,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,X,O,X,X,O,X,X,X,X,X,X,O,X
ITLOZJS,O,O,X,X,O,X,X,X,X,X,X,X,X
ITLOZSJ,O,O,X,X,O,X,X,X,X,X,X,O,X
ITJLSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJLSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJLZSO,O,X,X,X,O,X,X,O,X,X,X,X,X
ITJLZOS,O,X,X,X,O,X,X,O,X,X,X,X,X
ITJLOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJLOZS,O,X,X,X,O,X,X,O,X,X,X,X,X
ITJSLZO,X,X,X,X,O,O,O,X,X,X,X,X,X
ITJSLOZ,X,X,X,X,O,O,O,X,X,X,X,X,X
ITJSZLO,X,X,X,X,X,O,O,X,X,X,X,O,X
ITJSZOL,X,X,X,X,X,O,O,X,X,X,X,O,X
ITJSOLZ,X,X,X,X,O,O,O,X,X,X,X,X,X
ITJSOZL,X,X,X,X,O,O,O,X,X,X,X,X,X
ITJZLSO,O,X,X,X,O,X,X,O,X,X,X,X,X
ITJZLOS,O,X,X,X,O,O,X,O,X,X,X,X,X
