sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB
TSOJZLI,O,O,X,X,O
TSOZILJ,O,O,X,O,O
TSOZIJL,O,O,X,O,O
TSOZLIJ,O,O,X,O,O
TSOZLJI,O,O,X,O,O
TSOZJIL,O,O,X,O,O
TSOZJLI,O,O,X,O,O
TZILJSO,X,X,O,O,O
TZILJOS,O,O,O,X,O
TZILSJO,X,X,O,O,O
TZILSOJ,X,X,O,O,O
TZILOJS,O,O,O,X,O
TZILOSJ,X,O,O,X,O
TZIJLSO,X,X,O,O,O
TZIJLOS,O,O,O,X,O
TZIJSLO,X,X,O,O,O
TZIJSOL,X,X,X,O,O
TZIJOLS,O,O,O,X,O
TZIJOSL,X,O,X,X,O
TZISLJO,X,X,O,O,O
TZISLOJ,X,X,O,O,O
TZISJLO,X,X,O,O,O
TZISJOL,X,X,X,O,O
TZISOLJ,X,X,X,O,O
TZISOJL,X,X,X,O,O
TZIOLJS,O,O,O,X,O
TZIOLSJ,X,O,O,X,O
TZIOJLS,O,O,O,X,O
TZIOJSL,X,O,X,X,O
TZIOSLJ,X,O,X,X,O
TZIOSJL,X,O,X,X,O
TZLIJSO,X,X,O,O,O
TZLIJOS,O,O,O,X,O
TZLISJO,X,X,O,O,O
TZLISOJ,X,X,O,O,O
TZLIOJS,O,O,O,X,O
TZLIOSJ,X,O,O,X,O
TZLJISO,X,X,O,O,O
TZLJIOS,O,O,O,X,O
TZLJSIO,O,X,O,O,O
TZLJSOI,O,X,O,O,O
TZLJOIS,O,O,O,X,O
TZLJOSI,O,O,O,X,O
TZLSIJO,O,X,O,O,O
TZLSIOJ,O,X,O,O,O
TZLSJIO,O,X,O,O,O
TZLSJOI,O,X,O,O,O
TZLSOIJ,O,X,O,O,O
TZLSOJI,O,X,O,O,O
TZLOIJS,O,O,O,X,O
TZLOISJ,X,O,O,X,O
TZLOJIS,O,O,O,X,O
TZLOJSI,O,O,O,X,O
TZLOSIJ,O,O,O,X,O
TZLOSJI,O,O,O,X,O
TZJILSO,X,X,O,O,O
