sequence,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFufB3bBTeBy?lB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFCbBehBTeBX?gB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei6IvhFzbBckB2lBx?iBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFWgBTeBylB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhFOkBzgBxiB0?fBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jex6IvhFygBTeBOkB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFmbB0gBxiBX?jBikBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFlbBykB8lBx?iBXjBmpB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhF0fBzgBxiBO?kBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT+IvhFRgB0iBlkB3?lBOkBiqB
TSOIJZL,X,O,X,X,X,O,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X,O,O
TSOIZJL,X,X,X,X,X,X,X,X,X,O
TSOLIJZ,O,X,X,X,O,O,X,X,X,X
TSOLIZJ,O,X,X,X,X,O,X,X,O,X
TSOLJIZ,O,X,X,X,O,O,X,X,X,X
TSOLJZI,O,X,X,X,X,O,X,X,X,X
TSOLZIJ,O,X,X,X,X,O,X,X,O,X
TSOLZJI,O,X,X,X,X,O,X,X,X,X
TSOJILZ,O,O,X,X,O,O,X,X,X,X
TSOJIZL,X,O,X,X,X,O,X,X,X,X
TSOJLIZ,O,O,X,X,O,O,X,X,X,X
TSOJLZI,O,O,X,X,X,O,X,X,X,X
TSOJZIL,X,O,X,X,X,O,X,X,X,X
TSOJZLI,X,O,X,X,X,O,X,X,X,X
TSOZILJ,X,X,X,X,X,O,X,X,O,O
TSOZIJL,X,X,X,X,X,O,X,X,X,O
TSOZLIJ,X,X,X,X,X,O,X,X,O,O
TSOZLJI,X,X,X,X,X,O,X,X,X,O
TSOZJIL,X,X,X,X,X,O,X,X,X,O
TSOZJLI,X,X,X,X,X,O,X,X,X,O
TZILJSO,O,O,O,X,X,X,O,O,X,X
TZILJOS,O,O,O,X,X,X,O,O,X,X
TZILSJO,O,X,O,X,X,X,O,X,X,X
TZILSOJ,O,X,X,X,X,X,O,X,X,X
TZILOJS,O,O,O,X,X,X,O,X,O,X
TZILOSJ,O,X,X,X,X,X,O,X,O,X
TZIJLSO,O,O,O,X,X,X,O,O,X,X
TZIJLOS,O,O,O,X,X,X,O,O,X,X
TZIJSLO,O,O,O,X,X,X,O,O,X,X
TZIJSOL,O,O,O,X,X,X,X,X,X,X
TZIJOLS,O,O,O,X,O,X,O,O,O,X
TZIJOSL,O,O,O,X,X,X,X,X,X,X
TZISLJO,O,X,O,O,X,X,O,X,X,O
TZISLOJ,O,X,X,O,X,X,O,X,X,O
TZISJLO,O,O,O,O,X,X,O,O,X,O
TZISJOL,O,O,O,O,X,X,X,X,X,O
TZISOLJ,O,X,X,O,X,X,X,X,O,O
TZISOJL,O,O,X,O,X,X,X,X,X,O
TZIOLJS,O,O,O,X,O,X,O,X,O,X
TZIOLSJ,O,X,X,X,X,X,O,X,O,X
TZIOJLS,O,O,O,X,O,X,O,O,O,X
TZIOJSL,O,O,O,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,O,X,X,X,X,O,O
TZIOSJL,O,O,X,O,X,X,X,X,X,O
TZLIJSO,O,O,O,X,X,X,O,O,X,X
TZLIJOS,O,O,O,X,X,X,O,O,X,X
TZLISJO,O,X,O,X,X,X,O,X,X,X
TZLISOJ,O,X,X,X,X,X,O,X,X,X
TZLIOJS,O,O,O,X,X,X,O,X,O,X
TZLIOSJ,O,X,X,X,X,X,O,X,O,X
TZLJISO,O,O,O,X,X,X,O,O,X,X
TZLJIOS,O,O,O,X,X,X,O,O,X,X
TZLJSIO,O,O,O,X,X,X,O,O,X,X
TZLJSOI,O,O,O,X,X,X,O,O,X,X
TZLJOIS,O,O,O,X,X,X,O,O,X,X
TZLJOSI,O,O,O,X,X,X,O,O,X,X
TZLSIJO,O,X,O,X,X,X,O,X,X,O
TZLSIOJ,O,X,X,X,X,X,O,X,X,O
TZLSJIO,O,X,O,X,X,X,O,X,X,O
TZLSJOI,O,X,O,X,X,X,O,X,X,O
TZLSOIJ,O,X,X,X,X,X,O,X,X,O
TZLSOJI,O,X,X,X,X,X,O,X,X,O
TZLOIJS,O,O,O,X,X,X,O,X,O,X
TZLOISJ,O,X,X,X,X,X,O,X,O,X
TZLOJIS,O,O,O,X,X,X,O,X,O,X
TZLOJSI,O,O,O,X,X,X,O,X,X,X
TZLOSIJ,O,X,X,X,X,X,O,X,O,O
TZLOSJI,O,X,X,X,X,X,O,X,X,O
TZJILSO,O,O,O,X,X,X,O,O,X,X
TZJILOS,O,O,O,X,X,X,O,O,X,X
TZJISLO,O,O,O,X,X,X,O,O,X,X
TZJISOL,O,O,O,X,X,X,X,X,X,X
TZJIOLS,O,O,O,X,O,X,O,O,O,X
TZJIOSL,O,O,O,X,X,X,X,X,X,X
TZJLISO,O,O,O,X,X,X,O,O,X,X
TZJLIOS,O,O,O,X,X,X,O,O,X,X
TZJLSIO,O,O,O,X,X,X,O,O,X,X
TZJLSOI,O,O,O,X,X,X,O,O,X,X
TZJLOIS,O,O,O,X,X,X,O,O,X,X
TZJLOSI,O,O,O,X,X,X,O,O,X,X
TZJSILO,O,O,O,X,X,O,O,O,X,O
TZJSIOL,O,O,O,X,X,O,X,X,X,O
TZJSLIO,O,O,O,X,X,O,O,O,X,O
TZJSLOI,O,O,O,X,X,O,O,O,X,O
TZJSOIL,O,O,O,X,X,O,X,X,X,O
TZJSOLI,O,O,O,X,X,O,X,X,X,O
TZJOILS,O,O,O,X,O,X,O,O,O,X
TZJOISL,O,O,O,X,X,X,X,X,X,X
TZJOLIS,O,O,O,X,O,X,O,O,O,X
TZJOLSI,O,O,O,X,X,X,O,O,X,X
TZJOSIL,O,O,O,X,X,O,X,X,X,O
TZJOSLI,O,O,O,X,X,O,X,X,X,O
TZSILJO,O,X,O,O,X,O,O,X,X,O
TZSILOJ,O,X,X,O,X,O,O,X,X,O
TZSIJLO,O,O,O,O,X,O,O,O,X,O
TZSIJOL,O,O,O,O,X,O,X,X,X,O
TZSIOLJ,O,X,X,O,X,O,X,X,O,O
TZSIOJL,O,O,X,O,X,O,X,X,X,O
TZSLIJO,O,X,O,O,X,O,O,X,X,O
TZSLIOJ,O,X,X,O,X,O,O,X,X,O
TZSLJIO,O,X,O,O,X,O,O,X,X,O
TZSLJOI,O,X,O,O,X,O,O,X,X,O
TZSLOIJ,O,X,X,O,X,O,O,X,X,O
TZSLOJI,O,X,X,O,X,O,O,X,X,O
TZSJILO,O,O,O,O,X,O,O,O,X,O
TZSJIOL,O,O,O,O,X,O,X,X,X,O
TZSJLIO,O,O,O,O,X,O,O,O,X,O
TZSJLOI,O,O,O,O,X,O,O,O,X,O
TZSJOIL,O,O,O,O,X,O,X,X,X,O
TZSJOLI,O,O,O,O,X,O,X,X,X,O
TZSOILJ,O,X,X,O,X,O,X,X,O,O
TZSOIJL,O,O,X,O,X,O,X,X,X,O
TZSOLIJ,O,X,X,O,X,O,X,X,O,O
TZSOLJI,O,X,X,O,X,O,X,X,X,O
TZSOJIL,O,O,X,O,X,O,X,X,X,O
TZSOJLI,O,O,X,O,X,O,X,X,X,O
TZOILJS,O,O,O,X,O,X,O,X,O,X
TZOILSJ,O,X,X,X,X,X,O,X,O,X
TZOIJLS,O,O,O,X,O,X,O,O,O,X
TZOIJSL,O,O,O,X,X,X,X,X,X,X
TZOISLJ,O,X,X,O,X,X,X,X,O,O
TZOISJL,O,O,X,O,X,X,X,X,X,O
TZOLIJS,O,O,O,X,O,X,O,X,O,X
TZOLISJ,O,X,X,X,X,X,O,X,O,X
TZOLJIS,O,O,O,X,O,X,O,X,O,X
TZOLJSI,O,O,O,X,X,X,O,X,X,X
TZOLSIJ,O,X,X,X,X,X,O,X,O,O
TZOLSJI,O,X,X,X,X,X,O,X,X,O
TZOJILS,O,O,O,X,O,X,O,O,O,X
TZOJISL,O,O,O,X,X,X,X,X,X,X
TZOJLIS,O,O,O,X,O,X,O,O,O,X
TZOJLSI,O,O,O,X,X,X,O,O,X,X
TZOJSIL,O,O,O,X,X,O,X,X,X,O
TZOJSLI,O,O,O,X,X,O,X,X,X,O
TZOSILJ,O,X,X,O,X,O,X,X,O,O
TZOSIJL,O,O,X,O,X,O,X,X,X,O
TZOSLIJ,O,X,X,O,X,O,X,X,O,O
TZOSLJI,O,X,X,O,X,O,X,X,X,O
TZOSJIL,O,O,X,O,X,O,X,X,X,O
TZOSJLI,O,O,X,O,X,O,X,X,X,O
TOILJSZ,O,O,X,X,O,X,X,X,X,X
TOILJZS,O,X,X,X,O,X,O,X,O,X
TOILSJZ,O,X,X,X,O,X,X,X,X,X
TOILSZJ,O,X,X,X,X,X,O,X,O,X
TOILZJS,O,X,X,X,O,X,O,X,O,X
TOILZSJ,O,X,X,X,X,X,O,X,O,X
TOIJLSZ,O,O,X,X,O,X,X,X,X,X
TOIJLZS,O,X,O,X,O,X,X,X,O,X
TOIJSLZ,O,O,X,X,O,X,X,X,X,X
TOIJSZL,X,O,O,X,X,X,X,X,X,X
TOIJZLS,O,O,O,X,O,X,X,X,O,X
TOIJZSL,O,O,O,X,X,X,X,X,X,X
TOISLJZ,O,X,X,X,O,X,X,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X,O,X
TOISJLZ,O,O,X,X,O,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X,X,X
TOISZLJ,X,X,X,X,X,X,X,X,O,X
TOISZJL,X,X,X,X,X,X,X,X,X,X
TOIZLJS,O,O,O,X,O,X,O,X,O,X
TOIZLSJ,O,X,X,X,X,X,O,X,O,X
TOIZJLS,O,O,O,X,O,X,O,X,O,X
TOIZJSL,O,O,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X,O,X
TOIZSJL,O,O,X,X,X,X,X,X,X,X
TOLIJSZ,O,O,X,X,O,X,X,X,X,X
TOLIJZS,O,X,X,X,O,X,O,X,O,X
TOLISJZ,O,X,X,X,O,X,X,X,X,X
TOLISZJ,O,X,X,X,X,X,O,X,O,X
TOLIZJS,O,X,X,X,O,X,O,X,O,X
TOLIZSJ,O,X,X,X,X,X,O,X,O,X
TOLJISZ,O,O,X,X,O,X,X,X,X,X
TOLJIZS,O,X,X,X,O,X,O,X,O,X
TOLJSIZ,O,O,X,X,O,X,X,X,X,X
TOLJSZI,O,O,X,X,X,X,X,X,X,X
TOLJZIS,O,X,X,X,O,X,O,X,O,X
TOLJZSI,O,X,X,X,X,X,O,X,X,X
TOLSIJZ,O,X,X,X,O,X,X,X,X,X
TOLSIZJ,O,X,X,X,X,X,O,X,O,X
TOLSJIZ,O,X,X,X,O,X,X,X,X,X
TOLSJZI,O,X,X,X,X,X,X,X,X,X
TOLSZIJ,O,X,X,X,X,X,O,X,O,X
TOLSZJI,O,X,X,X,X,X,O,X,X,X
TOLZIJS,O,X,X,X,O,X,O,X,O,X
TOLZISJ,O,X,X,X,X,X,O,X,O,X
TOLZJIS,O,X,X,X,O,X,O,X,O,X
TOLZJSI,O,X,X,X,X,X,O,X,X,X
TOLZSIJ,O,X,X,X,X,X,O,X,O,X
TOLZSJI,O,X,X,X,X,X,O,X,X,X
TOJILSZ,O,O,X,X,O,X,X,X,X,X
TOJILZS,O,X,O,X,O,X,X,X,O,X
TOJISLZ,O,O,X,X,O,X,X,X,X,X
TOJISZL,X,O,O,X,X,X,X,X,X,X
TOJIZLS,O,O,O,X,O,X,X,X,O,X
TOJIZSL,O,O,O,X,X,X,X,X,X,X
TOJLISZ,O,O,X,X,O,X,X,X,X,X
TOJLIZS,O,X,O,X,O,X,X,X,O,X
TOJLSIZ,O,O,X,X,O,X,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X,X,X
TOJLZIS,O,X,O,X,O,X,X,X,O,X
TOJLZSI,O,X,O,X,X,X,X,X,X,X
TOJSILZ,O,O,X,X,O,O,X,X,X,X
TOJSIZL,X,O,O,X,X,O,X,X,X,X
TOJSLIZ,O,O,X,X,O,O,X,X,X,X
TOJSLZI,O,O,X,X,X,O,X,X,X,X
TOJSZIL,X,O,O,X,X,O,X,X,X,X
TOJSZLI,X,O,O,X,X,O,X,X,X,X
TOJZILS,O,O,O,X,O,X,X,X,O,X
TOJZISL,O,O,O,X,X,X,X,X,X,X
TOJZLIS,O,O,O,X,O,X,X,X,O,X
TOJZLSI,O,O,O,X,X,X,X,X,X,X
TOJZSIL,O,O,O,X,X,X,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X,X,X,X
TOSILJZ,O,X,X,X,O,O,X,X,X,X
TOSILZJ,O,X,X,X,X,O,X,X,O,X
TOSIJLZ,O,O,X,X,O,O,X,X,X,X
TOSIJZL,X,O,X,X,X,O,X,X,X,X
TOSIZLJ,X,X,X,X,X,X,X,X,O,O
TOSIZJL,X,X,X,X,X,X,X,X,X,O
TOSLIJZ,O,X,X,X,O,O,X,X,X,X
TOSLIZJ,O,X,X,X,X,O,X,X,O,X
TOSLJIZ,O,X,X,X,O,O,X,X,X,X
TOSLJZI,O,X,X,X,X,O,X,X,X,X
TOSLZIJ,O,X,X,X,X,O,X,X,O,X
TOSLZJI,O,X,X,X,X,O,X,X,X,X
TOSJILZ,O,O,X,X,O,O,X,X,X,X
TOSJIZL,X,O,X,X,X,O,X,X,X,X
TOSJLIZ,O,O,X,X,O,O,X,X,X,X
TOSJLZI,O,O,X,X,X,O,X,X,X,X
TOSJZIL,X,O,X,X,X,O,X,X,X,X
TOSJZLI,X,O,X,X,X,O,X,X,X,X
TOSZILJ,X,X,X,X,X,X,X,X,O,O
TOSZIJL,X,X,X,X,X,X,X,X,X,O
TOSZLIJ,X,X,X,X,X,O,X,X,O,O
TOSZLJI,X,X,X,X,X,O,X,X,X,O
TOSZJIL,X,X,X,X,X,O,X,X,X,O
TOSZJLI,X,X,X,X,X,O,X,X,X,O
TOZILJS,O,O,O,X,O,X,O,X,O,X
TOZILSJ,O,X,X,X,X,X,O,X,O,X
TOZIJLS,O,O,O,X,O,X,O,X,O,X
TOZIJSL,O,O,O,X,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,X,X,O,O
TOZISJL,O,O,X,X,X,X,X,X,X,O
TOZLIJS,O,O,O,X,O,X,O,X,O,X
TOZLISJ,O,X,X,X,X,X,O,X,O,X
TOZLJIS,O,O,O,X,O,X,O,X,O,X
TOZLJSI,O,O,O,X,X,X,O,X,X,X
TOZLSIJ,O,X,X,X,X,X,O,X,O,O
TOZLSJI,O,X,X,X,X,X,O,X,X,O
TOZJILS,O,O,O,X,O,X,O,X,O,X
TOZJISL,O,O,O,X,X,X,X,X,X,X
TOZJLIS,O,O,O,X,O,X,O,X,O,X
TOZJLSI,O,O,O,X,X,X,O,X,X,X
TOZJSIL,O,O,O,X,X,X,X,X,X,O
TOZJSLI,O,O,O,X,X,X,X,X,X,O
TOZSILJ,O,X,X,X,X,X,X,X,O,O
TOZSIJL,O,O,X,X,X,X,X,X,X,O
TOZSLIJ,O,X,X,X,X,X,X,X,O,O
TOZSLJI,O,X,X,X,X,X,X,X,X,O
TOZSJIL,O,O,X,X,X,X,X,X,X,O
TOZSJLI,O,O,X,X,X,X,X,X,X,O
ITLJSZO,O,O,X,X,X,X,X,X,X,X
ITLJSOZ,O,O,X,X,X,X,X,X,X,X
ITLJZSO,O,O,O,X,X,X,O,X,X,X
ITLJZOS,O,O,O,X,X,X,O,X,X,X
ITLJOSZ,O,O,X,X,O,X,X,X,X,X
ITLJOZS,O,X,O,X,O,X,O,X,X,X
ITLSJZO,O,X,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,X,X,X,X,X,X,X
ITLSZJO,O,X,X,X,X,X,O,X,X,X
ITLSZOJ,O,X,X,X,X,X,O,X,X,X
ITLSOJZ,O,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,X,X,O,X,X,X
ITLZJSO,O,O,O,X,X,X,O,X,X,X
ITLZJOS,O,O,O,X,X,X,O,X,X,X
ITLZSJO,O,X,O,X,X,X,O,X,X,X
ITLZSOJ,O,X,X,X,X,X,O,X,X,X
ITLZOJS,O,O,O,X,X,X,O,X,O,X
ITLZOSJ,O,X,X,X,X,X,O,X,O,X
ITLOJSZ,O,O,X,X,O,X,X,X,X,X
ITLOJZS,O,X,X,X,O,X,O,X,O,X
ITLOSJZ,O,X,X,X,O,X,X,X,X,X
ITLOSZJ,O,X,X,X,X,X,O,X,O,X
ITLOZJS,O,X,X,X,O,X,O,X,O,X
ITLOZSJ,O,X,X,X,X,X,O,X,O,X
ITJLSZO,O,O,X,X,X,X,X,X,X,X
ITJLSOZ,O,O,X,X,X,X,X,X,X,X
ITJLZSO,O,O,O,X,X,X,O,O,X,X
ITJLZOS,O,O,O,X,X,X,O,O,X,X
ITJLOSZ,O,O,X,X,O,X,X,X,X,X
ITJLOZS,O,X,O,X,O,X,O,O,X,X
ITJSLZO,O,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,X,X,X,X,X,X
ITJSZLO,O,O,O,X,X,X,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X,X,X,X
ITJSOLZ,O,O,X,X,O,X,X,X,X,X
ITJSOZL,X,O,O,X,X,X,X,X,X,X
ITJZLSO,O,O,O,X,X,X,O,O,X,X
ITJZLOS,O,O,O,X,X,X,O,O,X,X
ITJZSLO,O,O,O,X,X,X,O,O,X,X
ITJZSOL,O,O,O,X,X,X,X,X,X,X
ITJZOLS,O,O,O,X,O,X,O,O,O,X
ITJZOSL,O,O,O,X,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,O,X,X,X,X,X
ITJOLZS,O,X,O,X,O,X,X,X,O,X
ITJOSLZ,O,O,X,X,O,X,X,X,X,X
ITJOSZL,X,O,O,X,X,X,X,X,X,X
ITJOZLS,O,O,O,X,O,X,X,X,O,X
ITJOZSL,O,O,O,X,X,X,X,X,X,X
ITSLJZO,O,X,X,O,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,X,X
ITSLZJO,O,X,X,O,X,X,O,X,X,O
ITSLZOJ,O,X,X,O,X,X,O,X,X,O
ITSLOJZ,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,O,X,X,X
ITSJLZO,O,O,X,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X,X,X,X
ITSJZLO,O,O,O,O,X,X,X,X,X,O
ITSJZOL,O,O,O,O,X,X,X,X,X,O
ITSJOLZ,O,O,X,X,O,X,X,X,X,X
ITSJOZL,X,O,O,X,X,X,X,X,X,X
ITSZLJO,O,X,O,O,X,X,O,X,X,O
ITSZLOJ,O,X,X,O,X,X,O,X,X,O
ITSZJLO,O,O,O,O,X,X,O,X,X,O
ITSZJOL,O,O,O,O,X,X,X,X,X,O
ITSZOLJ,O,X,X,O,X,X,X,X,O,O
ITSZOJL,O,O,X,O,X,X,X,X,X,O
ITSOLJZ,O,X,X,X,O,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,O,X
ITSOJLZ,O,O,X,X,O,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,X,X,X,X,O,O
ITSOZJL,X,X,X,X,X,X,X,X,X,O
ITZLJSO,O,O,O,X,X,X,O,O,X,X
ITZLJOS,O,O,O,X,X,X,O,O,X,X
ITZLSJO,O,X,O,X,X,X,O,X,X,X
ITZLSOJ,O,X,X,X,X,X,O,X,X,X
ITZLOJS,O,O,O,X,X,X,O,X,O,X
ITZLOSJ,O,X,X,X,X,X,O,X,O,X
ITZJLSO,O,O,O,X,X,X,O,O,X,X
ITZJLOS,O,O,O,X,X,X,O,O,X,X
ITZJSLO,O,O,O,X,X,X,O,O,X,X
ITZJSOL,O,O,O,X,X,X,X,X,X,X
ITZJOLS,O,O,O,X,O,X,O,O,O,X
ITZJOSL,O,O,O,X,X,X,X,X,X,X
ITZSLJO,O,X,O,O,X,X,O,X,X,O
ITZSLOJ,O,X,X,O,X,X,O,X,X,O
ITZSJLO,O,O,O,O,X,X,O,O,X,O
ITZSJOL,O,O,O,O,X,X,X,X,X,O
ITZSOLJ,O,X,X,O,X,X,X,X,O,O
ITZSOJL,O,O,X,O,X,X,X,X,X,O
ITZOLJS,O,O,O,X,O,X,O,X,O,X
ITZOLSJ,O,X,X,X,X,X,O,X,O,X
ITZOJLS,O,O,O,X,O,X,O,O,O,X
ITZOJSL,O,O,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,O,X,X,X,X,O,O
ITZOSJL,O,O,X,O,X,X,X,X,X,O
ITOLJSZ,O,O,X,X,O,X,X,X,X,X
ITOLJZS,O,X,X,X,O,X,O,X,O,X
ITOLSJZ,O,X,X,X,O,X,X,X,X,X
ITOLSZJ,O,X,X,X,X,X,O,X,O,X
ITOLZJS,O,X,X,X,O,X,O,X,O,X
ITOLZSJ,O,X,X,X,X,X,O,X,O,X
ITOJLSZ,O,O,X,X,O,X,X,X,X,X
ITOJLZS,O,X,O,X,O,X,X,X,O,X
ITOJSLZ,O,O,X,X,O,X,X,X,X,X
ITOJSZL,X,O,O,X,X,X,X,X,X,X
ITOJZLS,O,O,O,X,O,X,X,X,O,X
ITOJZSL,O,O,O,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,X,O,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X,O,X
ITOSJLZ,O,O,X,X,O,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,X,X,X,X,O,X
ITOSZJL,X,X,X,X,X,X,X,X,X,X
ITOZLJS,O,O,O,X,O,X,O,X,O,X
ITOZLSJ,O,X,X,X,X,X,O,X,O,X
ITOZJLS,O,O,O,X,O,X,O,X,O,X
ITOZJSL,O,O,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X,O,X
ITOZSJL,O,O,X,X,X,X,X,X,X,X
ILTJSZO,O,O,X,X,X,X,X,X,X,X
ILTJSOZ,O,O,X,X,X,X,X,X,X,X
ILTJZSO,O,O,O,X,X,X,O,X,X,X
ILTJZOS,O,O,O,X,X,X,O,X,X,X
ILTJOSZ,O,O,X,X,O,X,X,X,X,X
ILTJOZS,O,X,O,X,O,X,O,X,X,X
ILTSJZO,O,X,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X,X,X
ILTSZJO,O,X,X,X,X,X,O,X,X,X
ILTSZOJ,O,X,X,X,X,X,O,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,X,O,X,X,X
ILTZJSO,O,O,O,X,X,X,O,X,X,X
ILTZJOS,O,O,O,X,X,X,O,X,X,X
ILTZSJO,O,X,O,X,X,X,O,X,X,X
ILTZSOJ,O,X,X,X,X,X,O,X,X,X
ILTZOJS,O,O,O,X,X,X,O,X,O,X
ILTZOSJ,O,X,X,X,X,X,O,X,O,X
ILTOJSZ,O,O,X,X,O,X,X,X,X,X
ILTOJZS,O,X,X,X,O,X,O,X,O,X
ILTOSJZ,O,X,X,X,O,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,O,X,O,X
ILTOZJS,O,X,X,X,O,X,O,X,O,X
ILTOZSJ,O,X,X,X,X,X,O,X,O,X
ILJTSZO,X,O,X,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,X,X,X,X
ILJTZSO,X,O,O,X,X,X,X,O,X,X
ILJTZOS,X,O,O,X,X,X,X,O,X,X
ILJTOSZ,X,O,X,X,O,X,X,X,X,X
ILJTOZS,X,X,O,X,O,X,X,O,X,X
ILJSTZO,O,O,X,X,X,X,X,X,X,X
ILJSTOZ,O,O,X,X,X,X,X,X,X,X
ILJSZTO,O,O,X,X,X,X,X,O,X,X
ILJSZOT,O,O,X,X,X,X,X,O,X,X
ILJSOTZ,O,O,X,X,X,X,X,X,X,X
ILJSOZT,O,O,X,X,X,X,X,O,X,X
ILJZTSO,X,O,X,X,X,X,X,O,X,X
ILJZTOS,X,O,O,X,X,X,O,O,X,X
ILJZSTO,O,O,X,X,X,X,X,O,X,X
ILJZSOT,O,O,O,X,X,X,O,O,X,X
ILJZOTS,X,O,O,X,X,X,O,O,X,X
ILJZOST,O,O,O,X,X,X,O,O,X,X
ILJOTSZ,X,O,X,X,O,X,X,X,X,X
ILJOTZS,X,X,O,X,O,X,X,O,X,X
ILJOSTZ,O,O,X,X,O,X,X,X,X,X
ILJOSZT,O,O,X,X,O,X,X,O,X,X
ILJOZTS,X,X,O,X,O,X,O,O,X,X
ILJOZST,X,X,O,X,O,X,O,O,X,X
ILSTJZO,O,X,X,O,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,X,X
ILSTZJO,O,X,X,O,X,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,X,X,X
ILSJTZO,O,X,X,O,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,X,X,X,X,X
ILSJOZT,O,X,X,O,X,X,X,X,X,X
ILSZTJO,O,X,X,O,X,X,X,X,X,X
ILSZTOJ,O,X,X,O,X,X,X,X,X,X
ILSZJTO,O,X,X,O,X,X,X,X,X,X
ILSZJOT,O,X,X,O,X,X,O,X,X,X
ILSZOTJ,O,X,X,O,X,X,X,X,X,X
ILSZOJT,O,X,X,O,X,X,O,X,X,X
ILSOTJZ,O,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,O,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,X,X,X,X,X,X
ILSOZJT,O,X,X,O,X,X,O,X,X,X
ILZTJSO,O,O,O,X,X,X,O,O,X,X
ILZTJOS,O,O,O,X,X,X,O,O,X,X
ILZTSJO,O,X,O,X,X,X,O,X,X,X
ILZTSOJ,O,X,X,X,X,X,O,X,X,X
ILZTOJS,O,O,O,X,X,X,O,X,X,X
ILZTOSJ,O,X,X,X,X,X,O,X,X,X
ILZJTSO,X,O,O,X,X,X,O,O,X,X
ILZJTOS,X,O,O,X,X,X,O,O,X,X
ILZJSTO,O,O,X,X,X,X,X,O,X,X
ILZJSOT,O,O,O,X,X,X,O,O,X,X
ILZJOTS,X,O,O,X,X,X,O,O,X,X
ILZJOST,O,O,O,X,X,X,O,O,X,X
ILZSTJO,O,X,O,O,X,X,X,X,X,X
ILZSTOJ,O,X,X,O,X,X,X,X,X,X
ILZSJTO,O,X,X,O,X,X,X,X,X,X
ILZSJOT,O,X,O,O,X,X,O,X,X,X
ILZSOTJ,O,X,X,O,X,X,X,X,X,X
ILZSOJT,O,X,X,O,X,X,O,X,X,X
ILZOTJS,O,O,O,X,X,X,O,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X,X,X
ILZOJTS,X,O,O,X,X,X,O,X,X,X
ILZOJST,O,O,O,X,X,X,O,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,X,X,X
ILZOSJT,O,X,X,O,X,X,O,X,X,X
