sequence,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFahBUdBFeB5?mBTnBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFxdB0hBliBX?hBmqBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBFeBThB6?nB8rBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jei7IvhFFdBXeBGhBT?nBxqBUrB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex9IvhF0gBlhB3iBT?lBOrBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgBunBi?mBTlB3rB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBThBliB8?rBCoBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFuhBliB3lB8?rBZmBCtB
TSLJOZI,O,O,O,X,O,O,X,O,O,O,X,X
TSLZIJO,O,X,O,O,X,X,O,O,O,X,X,X
TSLZIOJ,O,O,O,X,X,X,O,X,X,X,X,X
TSLZJIO,O,X,O,X,X,O,O,O,O,O,X,X
TSLZJOI,O,X,O,X,X,O,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,X,X,O,X,X,X,O,X
TSLZOJI,O,O,O,X,X,X,O,O,O,X,O,X
TSLOIJZ,O,O,O,O,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,O,O,X,X,O,X,X,X,X,X
TSLOJIZ,O,O,O,O,X,O,X,X,O,X,X,X
TSLOJZI,O,O,O,X,X,O,X,X,O,O,X,X
TSLOZIJ,O,O,O,O,X,X,O,X,X,X,X,X
TSLOZJI,O,O,O,X,X,X,O,O,O,X,X,X
TSJILZO,O,O,O,O,O,O,X,X,O,X,X,X
TSJILOZ,O,O,O,O,O,O,X,X,O,X,X,X
TSJIZLO,O,X,O,O,O,O,O,O,O,X,X,X
TSJIZOL,O,X,O,X,O,X,O,O,X,X,O,X
TSJIOLZ,O,O,O,O,O,X,X,X,X,X,X,X
TSJIOZL,O,X,O,X,O,X,X,X,X,X,X,X
TSJLIZO,O,O,O,O,O,O,X,O,O,O,X,X
TSJLIOZ,O,O,O,O,O,O,X,X,O,X,X,X
TSJLZIO,O,O,O,X,O,O,X,O,O,O,X,X
TSJLZOI,O,O,O,X,O,O,X,O,O,O,O,X
TSJLOIZ,O,O,O,O,O,O,X,X,O,X,X,X
TSJLOZI,O,O,O,X,O,O,X,O,O,O,X,X
TSJZILO,O,X,O,X,O,O,O,O,O,O,X,X
TSJZIOL,O,X,O,X,O,X,O,O,X,X,O,X
TSJZLIO,O,X,O,X,O,O,O,O,O,O,X,X
TSJZLOI,O,X,O,X,O,O,O,O,O,O,O,X
TSJZOIL,O,X,O,X,O,X,O,O,X,X,O,X
TSJZOLI,O,X,O,X,O,X,O,O,O,X,O,X
TSJOILZ,O,O,O,O,O,X,X,X,X,X,X,X
TSJOIZL,O,X,O,O,O,X,X,X,X,X,X,X
TSJOLIZ,O,O,O,O,O,X,X,X,O,X,X,X
TSJOLZI,O,O,O,X,O,X,X,X,O,X,X,X
TSJOZIL,O,X,O,X,O,X,X,O,X,X,O,X
TSJOZLI,O,X,O,X,O,X,X,O,O,X,O,X
TSZILJO,O,X,O,O,X,X,O,X,O,X,X,X
TSZILOJ,O,X,O,X,X,X,O,X,X,X,X,X
TSZIJLO,O,X,O,O,X,X,O,X,O,X,X,O
TSZIJOL,X,X,O,X,X,X,O,X,X,X,O,O
TSZIOLJ,O,X,O,X,X,X,O,X,X,X,O,X
TSZIOJL,X,X,O,X,X,X,O,X,X,X,O,O
TSZLIJO,O,X,O,O,X,X,O,O,O,X,X,X
TSZLIOJ,O,X,O,X,X,X,O,X,X,X,X,X
TSZLJIO,O,X,O,X,X,O,O,O,O,O,X,O
TSZLJOI,O,X,O,X,X,O,O,O,O,O,O,O
TSZLOIJ,O,X,O,O,X,X,O,X,X,X,O,X
TSZLOJI,O,X,O,X,X,X,O,O,O,X,O,O
TSZJILO,O,X,O,X,O,X,O,O,O,X,X,O
TSZJIOL,O,X,O,X,O,X,O,O,X,X,O,O
TSZJLIO,O,X,O,X,O,X,O,O,O,X,X,O
TSZJLOI,O,X,O,X,O,X,O,O,O,X,O,O
TSZJOIL,O,X,O,X,O,X,O,O,X,X,O,O
TSZJOLI,O,X,O,X,O,X,O,O,O,X,O,O
TSZOILJ,O,X,O,O,X,X,O,X,X,X,O,X
TSZOIJL,O,X,O,O,X,X,O,X,X,X,O,O
TSZOLIJ,O,X,O,O,X,X,O,X,X,X,O,X
TSZOLJI,O,X,O,X,X,X,O,X,O,X,O,O
TSZOJIL,O,X,O,X,X,X,O,X,X,X,O,O
TSZOJLI,O,X,O,X,X,X,O,X,O,X,O,O
TSOILJZ,O,O,O,O,X,X,X,X,X,X,X,X
TSOILZJ,O,O,O,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,O,O,X,X,X,X,X,X,X,X
TSOIJZL,O,X,O,O,X,X,X,X,X,X,X,X
TSOIZLJ,O,X,O,O,X,X,O,X,X,X,X,X
TSOIZJL,O,X,O,O,X,X,O,X,X,X,X,X
TSOLIJZ,O,O,O,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,O,X,X,X,X,X,X,X,X
TSOLJIZ,O,O,O,O,X,X,X,X,O,X,X,X
TSOLJZI,O,O,O,X,X,X,X,X,O,O,X,X
TSOLZIJ,O,O,O,O,X,X,X,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,O,O,X,X,X
TSOJILZ,O,O,O,O,O,X,X,X,X,X,X,X
TSOJIZL,O,X,O,O,O,X,X,X,X,X,X,X
TSOJLIZ,O,O,O,O,O,X,X,X,O,X,X,X
TSOJLZI,O,O,O,X,O,X,X,X,O,X,X,X
TSOJZIL,O,X,O,X,O,X,X,O,X,X,O,X
TSOJZLI,O,X,O,X,O,X,X,O,O,X,O,X
TSOZILJ,O,X,O,O,X,X,O,X,X,X,O,X
TSOZIJL,O,X,O,O,X,X,O,X,X,X,O,O
TSOZLIJ,O,X,O,O,X,X,O,X,X,X,O,X
TSOZLJI,O,X,X,X,X,X,O,X,O,X,O,O
TSOZJIL,O,X,O,X,X,X,O,X,X,X,O,O
TSOZJLI,O,X,O,X,X,X,O,X,O,X,O,O
TZILJSO,O,O,X,X,X,O,X,X,X,X,X,X
TZILJOS,X,O,X,X,X,X,X,X,X,X,X,X
TZILSJO,O,X,X,X,X,X,O,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,O,X,X,X,X,X
TZILOJS,X,O,X,X,X,X,X,X,X,X,X,X
TZILOSJ,X,O,X,X,X,X,X,X,X,X,X,X
TZIJLSO,O,O,X,X,X,X,X,X,X,X,X,X
TZIJLOS,X,O,X,X,X,X,X,X,X,X,X,X
TZIJSLO,O,X,O,X,O,X,X,X,X,X,X,O
TZIJSOL,O,X,O,X,O,X,X,X,X,X,O,O
TZIJOLS,X,O,X,X,X,X,X,X,X,X,X,X
TZIJOSL,O,X,O,X,X,X,X,X,X,X,O,X
TZISLJO,O,X,O,X,X,X,O,X,X,X,X,X
TZISLOJ,O,X,O,X,X,X,O,X,X,X,X,X
TZISJLO,O,X,O,X,X,X,O,X,X,X,X,O
TZISJOL,O,X,O,X,X,X,O,X,X,X,O,O
TZISOLJ,O,X,O,X,X,X,O,X,X,X,O,X
TZISOJL,X,X,O,X,X,X,O,X,X,X,O,O
TZIOLJS,X,O,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,X,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X,X,X,X,X,X
TZIOJSL,O,X,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,O,X,X,X,X,X,X,X,O,X
TZIOSJL,X,X,O,X,X,X,X,X,X,X,O,O
TZLIJSO,X,O,O,X,X,O,X,X,X,X,X,X
TZLIJOS,X,O,O,X,X,X,X,X,X,X,X,X
TZLISJO,X,X,O,X,X,X,O,O,X,X,X,X
TZLISOJ,X,O,O,X,X,X,O,X,X,X,X,X
TZLIOJS,X,O,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,X,O,O,X,X,X,X,X,X,X,X,X
TZLJISO,X,O,O,X,X,O,X,X,X,O,X,X
TZLJIOS,X,O,O,X,X,X,X,X,X,O,X,X
TZLJSIO,X,O,O,X,O,O,O,O,X,O,X,O
TZLJSOI,X,O,O,X,O,O,O,O,X,O,O,O
TZLJOIS,X,O,O,X,X,X,X,X,X,O,X,X
TZLJOSI,X,O,O,X,X,O,X,X,X,O,O,X
TZLSIJO,X,X,O,X,X,X,O,O,X,X,X,X
TZLSIOJ,X,O,O,X,X,X,O,X,X,X,X,X
TZLSJIO,X,X,O,X,X,O,O,O,X,O,X,O
TZLSJOI,X,X,O,X,X,O,O,O,X,O,O,O
TZLSOIJ,X,O,O,X,X,X,O,X,X,X,O,X
TZLSOJI,X,O,O,X,X,X,O,O,X,X,O,O
TZLOIJS,X,O,X,X,X,X,X,X,X,X,X,X
TZLOISJ,X,O,O,X,X,X,X,X,X,X,X,X
TZLOJIS,X,O,O,X,X,X,X,X,X,X,X,X
TZLOJSI,X,O,O,X,X,O,X,X,X,X,X,X
TZLOSIJ,X,O,O,X,X,X,O,X,X,X,O,X
TZLOSJI,X,O,O,X,X,X,O,O,X,X,O,O
TZJILSO,O,O,X,X,X,X,X,O,X,X,X,X
TZJILOS,X,O,X,X,X,X,X,O,X,X,X,X
TZJISLO,O,X,O,X,O,X,X,O,X,X,X,O
TZJISOL,O,X,O,X,O,X,X,O,X,X,O,O
TZJIOLS,X,O,X,X,X,X,X,X,X,X,X,X
TZJIOSL,O,X,O,X,X,X,X,O,X,X,O,X
TZJLISO,X,O,O,X,O,O,X,O,X,X,X,X
TZJLIOS,X,O,O,X,X,X,X,O,X,X,X,X
TZJLSIO,X,O,O,X,O,O,X,O,X,X,X,O
TZJLSOI,X,O,O,X,O,O,X,O,X,X,O,O
TZJLOIS,X,O,O,X,X,X,X,O,X,X,X,X
TZJLOSI,X,O,O,X,O,O,X,O,X,X,O,X
TZJSILO,O,X,O,X,O,X,O,O,O,X,X,O
TZJSIOL,O,X,O,X,O,X,O,O,X,X,O,O
TZJSLIO,O,X,O,X,O,X,O,O,O,X,X,O
TZJSLOI,O,X,O,X,O,X,O,O,O,X,O,O
TZJSOIL,O,X,O,X,O,X,O,O,X,X,O,O
TZJSOLI,O,X,O,X,O,X,O,O,O,X,O,O
TZJOILS,O,O,X,X,X,X,X,X,X,X,X,X
TZJOISL,O,X,O,X,X,X,X,O,X,X,O,X
TZJOLIS,O,O,O,X,X,X,X,O,X,X,X,X
TZJOLSI,O,O,O,X,X,X,X,O,X,X,O,X
TZJOSIL,O,X,O,X,O,X,X,O,X,X,O,O
TZJOSLI,O,X,O,X,O,X,X,O,X,X,O,O
TZSILJO,O,X,O,X,X,X,O,X,O,X,X,X
TZSILOJ,O,X,O,X,X,X,O,X,X,X,X,X
TZSIJLO,O,X,O,X,X,X,O,X,O,X,X,O
TZSIJOL,X,X,O,X,X,X,O,X,X,X,O,O
TZSIOLJ,O,X,O,X,X,X,O,X,X,X,O,X
TZSIOJL,X,X,O,X,X,X,O,X,X,X,O,O
TZSLIJO,O,X,O,X,X,X,O,O,O,X,X,X
TZSLIOJ,O,X,O,X,X,X,O,X,X,X,X,X
TZSLJIO,O,X,O,X,X,O,O,O,O,O,X,O
TZSLJOI,O,X,O,X,X,O,O,O,O,O,O,O
TZSLOIJ,O,X,O,X,X,X,O,X,X,X,O,X
TZSLOJI,O,X,O,X,X,X,O,O,O,X,O,O
TZSJILO,O,X,O,X,O,X,O,O,O,X,X,O
TZSJIOL,O,X,O,X,O,X,O,O,X,X,O,O
TZSJLIO,O,X,O,X,O,X,O,O,O,X,X,O
TZSJLOI,O,X,O,X,O,X,O,O,O,X,O,O
TZSJOIL,O,X,O,X,O,X,O,O,X,X,O,O
TZSJOLI,O,X,O,X,O,X,O,O,O,X,O,O
TZSOILJ,O,X,O,X,X,X,O,X,X,X,O,X
TZSOIJL,O,X,O,X,X,X,O,X,X,X,O,O
TZSOLIJ,O,X,O,X,X,X,O,X,X,X,O,X
TZSOLJI,O,X,O,X,X,X,O,X,O,X,O,O
TZSOJIL,O,X,O,X,X,X,O,X,X,X,O,O
TZSOJLI,O,X,O,X,X,X,O,X,O,X,O,O
TZOILJS,O,O,X,X,X,X,X,X,X,X,X,X
TZOILSJ,O,O,X,X,X,X,X,X,X,X,X,X
TZOIJLS,O,O,X,X,X,X,X,X,X,X,X,X
TZOIJSL,O,X,X,X,X,X,X,X,X,X,X,X
TZOISLJ,O,X,O,X,X,X,X,X,X,X,O,X
TZOISJL,O,X,O,X,X,X,X,X,X,X,O,O
TZOLIJS,O,O,X,X,X,X,X,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X,X,X,X,X,X
TZOLJIS,O,O,X,X,X,X,X,X,X,X,X,X
TZOLJSI,O,O,O,X,X,O,X,X,X,X,X,X
TZOLSIJ,O,O,O,X,X,X,X,X,X,X,O,X
TZOLSJI,O,O,O,X,X,X,X,X,X,X,O,O
TZOJILS,O,O,X,X,X,X,X,X,X,X,X,X
TZOJISL,O,X,O,X,X,X,X,X,X,X,O,X
TZOJLIS,O,O,X,X,X,X,X,X,X,X,X,X
TZOJLSI,O,O,O,X,X,X,X,X,X,X,O,X
TZOJSIL,O,X,O,X,O,X,X,X,X,X,O,O
TZOJSLI,O,X,O,X,O,X,X,X,X,X,O,O
TZOSILJ,O,X,O,X,X,X,O,X,X,X,O,X
TZOSIJL,O,X,O,X,X,X,O,X,X,X,O,O
TZOSLIJ,O,X,O,X,X,X,O,X,X,X,O,X
TZOSLJI,O,X,O,X,X,X,O,X,X,X,O,O
TZOSJIL,O,X,O,X,X,X,O,X,X,X,O,O
TZOSJLI,O,X,O,X,X,X,O,X,X,X,O,O
TOILJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TOILJZS,O,O,X,X,X,X,X,X,X,X,X,X
TOILSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOILSZJ,O,O,X,O,X,X,X,X,X,X,X,X
TOILZJS,O,O,X,O,X,X,X,X,X,X,X,X
TOILZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TOIJLSZ,O,O,X,O,X,X,X,X,X,X,X,X
TOIJLZS,O,O,X,X,X,X,X,X,X,X,X,X
TOIJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOIJSZL,O,X,X,O,X,X,X,X,X,X,X,X
TOIJZLS,O,O,X,O,X,X,X,X,X,X,X,X
TOIJZSL,O,X,X,O,X,X,X,X,X,X,X,X
TOISLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOISLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TOISJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,X,X,X,X
TOISZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOISZJL,O,X,X,O,X,X,X,X,X,X,X,X
TOIZLJS,O,O,X,O,X,X,X,X,X,X,X,X
TOIZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
TOIZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TOIZJSL,O,X,X,O,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOIZSJL,O,X,X,O,X,X,X,X,X,X,X,O
TOLIJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TOLIJZS,O,O,X,X,X,X,X,X,X,X,X,X
TOLISJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOLISZJ,O,O,X,O,X,X,X,X,X,X,X,X
TOLIZJS,O,O,X,O,X,X,X,X,X,X,X,X
TOLIZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TOLJISZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLJIZS,O,O,X,X,X,X,X,X,X,X,X,X
TOLJSIZ,O,O,O,O,X,O,X,X,X,X,X,X
TOLJSZI,O,O,O,X,X,O,X,X,X,O,X,X
TOLJZIS,O,O,O,X,X,X,X,X,X,O,X,X
TOLJZSI,O,O,O,X,X,O,X,X,X,O,X,X
TOLSIJZ,O,O,O,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,O,O,X,X,X,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,O,X,X,X,X,X,X
TOLSJZI,O,O,O,X,X,O,X,X,X,O,X,X
TOLSZIJ,O,O,O,O,X,X,X,X,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X,O,X,X,X,X
TOLZIJS,O,O,X,X,X,X,X,X,X,X,X,X
TOLZISJ,O,O,O,X,X,X,X,X,X,X,X,X
TOLZJIS,O,O,O,X,X,X,X,X,X,X,X,X
TOLZJSI,O,O,O,X,X,O,X,X,X,X,X,X
TOLZSIJ,O,O,O,O,X,X,X,X,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X,O,X,X,X,O
TOJILSZ,O,O,X,O,X,X,X,X,X,X,X,X
TOJILZS,O,O,X,X,X,X,X,X,X,X,X,X
TOJISLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOJISZL,O,X,O,O,X,X,X,X,X,X,X,X
TOJIZLS,O,O,X,O,X,X,X,X,X,X,X,X
TOJIZSL,O,X,O,O,X,X,X,X,X,X,X,X
TOJLISZ,O,O,X,X,X,X,X,X,X,X,X,X
TOJLIZS,O,O,X,X,X,X,X,X,X,X,X,X
TOJLSIZ,O,O,O,O,O,X,X,X,X,X,X,X
TOJLSZI,O,O,O,X,O,X,X,O,X,X,X,X
TOJLZIS,O,O,O,X,X,X,X,O,X,X,X,X
TOJLZSI,O,O,O,X,O,X,X,O,X,X,X,X
TOJSILZ,O,O,O,O,O,X,X,X,X,X,X,X
TOJSIZL,O,X,O,O,O,X,X,X,X,X,X,X
TOJSLIZ,O,O,O,O,O,X,X,X,O,X,X,X
TOJSLZI,O,O,O,X,O,X,X,X,O,X,X,X
TOJSZIL,O,X,O,X,O,X,X,O,X,X,O,X
TOJSZLI,O,X,O,X,O,X,X,O,O,X,O,X
TOJZILS,O,O,X,X,X,X,X,X,X,X,X,X
TOJZISL,O,X,O,X,X,X,X,O,X,X,O,X
TOJZLIS,O,O,X,X,X,X,X,O,X,X,X,X
TOJZLSI,O,O,O,X,X,X,X,O,X,X,O,X
TOJZSIL,O,X,O,X,O,X,X,O,X,X,O,O
TOJZSLI,O,X,O,X,O,X,X,O,X,X,O,O
TOSILJZ,O,O,O,O,X,X,X,X,X,X,X,X
TOSILZJ,O,O,O,O,X,X,X,X,X,X,X,X
TOSIJLZ,O,O,O,O,X,X,X,X,X,X,X,X
TOSIJZL,O,X,O,O,X,X,X,X,X,X,X,X
TOSIZLJ,O,X,O,O,X,X,X,X,X,X,X,X
TOSIZJL,O,X,O,O,X,X,X,X,X,X,X,X
TOSLIJZ,O,O,O,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,O,O,X,X,X,X,X,X,X,X
TOSLJIZ,O,O,O,O,X,X,X,X,O,X,X,X
TOSLJZI,O,O,O,X,X,X,X,X,O,O,X,X
TOSLZIJ,O,O,O,O,X,X,X,X,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X,O,O,X,X,X
TOSJILZ,O,O,O,O,O,X,X,X,X,X,X,X
TOSJIZL,O,X,O,O,O,X,X,X,X,X,X,X
TOSJLIZ,O,O,O,O,O,X,X,X,O,X,X,X
TOSJLZI,O,O,O,X,O,X,X,X,O,X,X,X
TOSJZIL,O,X,O,X,O,X,X,O,X,X,O,X
TOSJZLI,O,X,O,X,O,X,X,O,O,X,O,X
TOSZILJ,O,X,O,O,X,X,X,X,X,X,O,X
TOSZIJL,O,X,O,O,X,X,X,X,X,X,O,O
TOSZLIJ,O,X,O,O,X,X,X,X,X,X,O,X
TOSZLJI,O,X,X,X,X,X,X,X,O,X,O,O
TOSZJIL,O,X,O,X,X,X,X,X,X,X,O,O
TOSZJLI,O,X,O,X,X,X,X,X,O,X,O,O
TOZILJS,O,O,X,O,X,X,X,X,X,X,X,X
TOZILSJ,O,O,X,O,X,X,X,X,X,X,X,X
TOZIJLS,O,O,X,O,X,X,X,X,X,X,X,X
TOZIJSL,O,X,X,O,X,X,X,X,X,X,X,X
TOZISLJ,O,X,O,O,X,X,X,X,X,X,O,X
TOZISJL,O,X,O,O,X,X,X,X,X,X,O,O
TOZLIJS,O,O,X,X,X,X,X,X,X,X,X,X
TOZLISJ,O,O,X,X,X,X,X,X,X,X,X,X
TOZLJIS,O,O,X,X,X,X,X,X,X,X,X,X
TOZLJSI,O,O,X,X,X,O,X,X,X,X,X,X
TOZLSIJ,O,O,O,O,X,X,X,X,X,X,O,X
TOZLSJI,O,O,X,X,X,X,X,X,X,X,O,O
TOZJILS,O,O,X,X,X,X,X,X,X,X,X,X
TOZJISL,O,X,O,X,X,X,X,X,X,X,O,X
TOZJLIS,O,O,X,X,X,X,X,X,X,X,X,X
TOZJLSI,O,O,O,X,X,X,X,X,X,X,O,X
TOZJSIL,O,X,O,X,O,X,X,X,X,X,O,O
TOZJSLI,O,X,O,X,O,X,X,X,X,X,O,O
TOZSILJ,O,X,O,O,X,X,X,X,X,X,O,X
TOZSIJL,O,X,O,O,X,X,X,X,X,X,O,O
TOZSLIJ,O,X,O,O,X,X,X,X,X,X,O,X
TOZSLJI,O,X,X,X,X,X,X,X,X,X,O,O
TOZSJIL,O,X,O,X,X,X,X,X,X,X,O,O
TOZSJLI,O,X,O,X,X,X,X,X,X,X,O,O
ITLJSZO,O,O,O,O,X,O,X,X,X,O,X,X
ITLJSOZ,O,O,O,O,X,O,X,X,X,X,X,X
ITLJZSO,O,O,O,O,X,O,X,X,X,O,X,X
ITLJZOS,X,O,O,X,X,X,X,X,X,O,X,X
ITLJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
ITLJOZS,X,O,X,O,X,X,X,X,X,X,X,X
ITLSJZO,O,O,O,O,O,O,O,X,X,O,X,X
ITLSJOZ,X,O,O,O,O,O,X,X,X,X,X,X
ITLSZJO,O,X,O,O,X,X,O,O,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,O,X,X,X,X,X
ITLSOJZ,X,O,O,O,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,O,X,X,X,O,X,X,X,X,X
ITLZJSO,O,O,O,X,X,O,X,X,X,X,X,X
ITLZJOS,X,O,O,X,X,X,X,X,X,X,X,X
ITLZSJO,O,X,O,X,X,X,O,O,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,O,X,X,X,X,X
ITLZOJS,X,O,X,X,X,X,X,X,X,X,X,X
ITLZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITLOJSZ,X,O,X,O,X,X,X,X,X,X,X,X
ITLOJZS,X,O,X,X,X,X,X,X,X,X,X,X
ITLOSJZ,X,O,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,X,O,X,O,X,X,X,X,X,X,X,X
ITLOZJS,X,O,X,O,X,X,X,X,X,X,X,X
ITLOZSJ,X,O,X,O,X,X,X,X,X,X,X,X
ITJLSZO,O,O,O,O,O,X,X,O,X,X,X,X
ITJLSOZ,O,O,O,O,O,X,X,X,X,X,X,X
ITJLZSO,O,O,O,O,O,X,X,O,X,X,X,X
ITJLZOS,X,O,O,X,X,X,X,O,X,X,X,X
ITJLOSZ,X,O,X,O,X,X,X,X,X,X,X,X
ITJLOZS,X,O,X,O,X,X,X,X,X,X,X,X
ITJSLZO,O,O,O,O,O,X,X,X,O,X,X,X
ITJSLOZ,O,O,O,O,O,X,X,X,O,X,X,X
ITJSZLO,O,X,O,O,O,X,X,O,O,X,X,X
ITJSZOL,O,X,O,X,O,X,X,O,X,X,O,X
ITJSOLZ,O,O,O,O,O,X,X,X,X,X,X,X
ITJSOZL,O,X,O,X,O,X,X,X,X,X,X,X
ITJZLSO,O,O,X,O,X,X,X,O,X,X,X,X
ITJZLOS,X,O,X,X,X,X,X,O,X,X,X,X
ITJZSLO,O,X,O,O,O,X,X,O,X,X,X,X
ITJZSOL,O,X,O,X,O,X,X,O,X,X,O,X
ITJZOLS,X,O,X,X,X,X,X,X,X,X,X,X
ITJZOSL,O,X,O,X,X,X,X,O,X,X,O,X
ITJOLSZ,O,O,X,O,X,X,X,X,X,X,X,X
ITJOLZS,O,O,X,O,X,X,X,X,X,X,X,X
ITJOSLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITJOSZL,O,X,O,O,X,X,X,X,X,X,X,X
ITJOZLS,O,O,X,O,X,X,X,X,X,X,X,X
ITJOZSL,O,X,O,O,X,X,X,X,X,X,X,X
ITSLJZO,O,O,O,O,O,X,O,X,O,O,X,X
ITSLJOZ,O,O,O,O,O,X,X,X,O,X,X,X
ITSLZJO,O,X,O,O,X,X,O,O,O,X,X,X
ITSLZOJ,O,O,O,X,X,X,O,X,X,X,X,X
ITSLOJZ,O,O,O,O,X,X,X,X,X,X,X,X
ITSLOZJ,O,O,O,X,X,X,O,X,X,X,X,X
ITSJLZO,O,O,O,O,O,O,X,X,O,X,X,X
ITSJLOZ,O,O,O,O,O,O,X,X,O,X,X,X
ITSJZLO,O,X,O,O,O,O,O,O,O,X,X,X
ITSJZOL,O,X,O,X,O,X,O,O,X,X,O,X
ITSJOLZ,O,O,O,O,O,X,X,X,X,X,X,X
ITSJOZL,O,X,O,X,O,X,X,X,X,X,X,X
ITSZLJO,O,X,O,O,X,X,O,X,O,X,X,X
ITSZLOJ,O,X,O,X,X,X,O,X,X,X,X,X
ITSZJLO,O,X,O,O,X,X,O,X,O,X,X,X
ITSZJOL,O,X,O,X,X,X,O,X,X,X,O,X
ITSZOLJ,O,X,O,X,X,X,O,X,X,X,O,X
ITSZOJL,X,X,O,X,X,X,O,X,X,X,O,X
ITSOLJZ,O,O,O,O,X,X,X,X,X,X,X,X
ITSOLZJ,O,O,O,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,O,O,O,X,X,X,X,X,X,X,X
ITSOJZL,O,X,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,X,O,X,X,X,O,X,X,X,X,X
ITSOZJL,O,X,O,X,X,X,O,X,X,X,X,X
ITZLJSO,O,O,X,X,X,O,X,X,X,X,X,X
ITZLJOS,X,O,X,X,X,X,X,X,X,X,X,X
ITZLSJO,O,X,X,X,X,X,O,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,O,X,X,X,X,X
ITZLOJS,X,O,X,X,X,X,X,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,X,X,X,X,X
ITZJLSO,O,O,X,X,X,X,X,X,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X,X,X,X,X,X
ITZJSLO,O,X,O,X,O,X,X,X,X,X,X,O
ITZJSOL,O,X,O,X,O,X,X,X,X,X,O,O
ITZJOLS,X,O,X,X,X,X,X,X,X,X,X,X
ITZJOSL,O,X,O,X,X,X,X,X,X,X,O,X
ITZSLJO,O,X,O,X,X,X,O,X,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,O,X,X,X,X,X
ITZSJLO,O,X,O,X,X,X,O,X,X,X,X,O
ITZSJOL,O,X,O,X,X,X,O,X,X,X,O,O
ITZSOLJ,O,X,O,X,X,X,O,X,X,X,O,X
ITZSOJL,X,X,O,X,X,X,O,X,X,X,O,O
