sequence,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeT6IvhFxbBXeB?igB0kBFmB2uB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeT6IvhFxbBXeB?OpB8pBFmBiqB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jex7IvhFXeBckB?igBFmBzpBOpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jex7IvhFXeBTfB?igBFmB0kB2uB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeX+IvhFZkBUgB?amBlfBGhBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je+/IvhFKgBXeB?UhBZkBFmBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jez6IvhFXeBamB?FlB0pBZkBGrB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2AJvhFXeBTfB?xlBFmBipB0pB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeX+IvhFTfBxlB?OmBipBcqBlpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jem6IvhFXeBUhB?xkBTkBFmByuB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8JeO/IvhFXeBRgB?lgBcmBaqBTpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jez6IvhFXeBUhB?6pBOqBZkBFrB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2/IvhFXeBUhB?xkBFmBipBzpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Je2/IvhFXeBUhB?xkBaqBFmBTpB,v115@5gB8GeB8BeA8FeD8CeA8AeE8CeG8Jei6IvhFXeBUhB?xkBzkBFmB2uB
IZTOLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZTOSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTJSO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLTJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLTSJO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IZLTSOJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IZLTOJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZLTOSJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZLJTSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJTOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZLJSOT,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O
IZLJOTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
IZLJOST,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O
IZLSTJO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IZLSTOJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IZLSJTO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZLSJOT,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O
IZLSOTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZLSOJT,X,X,X,X,O,O,X,O,O,O,X,X,O,O,X
IZLOTJS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZLOJTS,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IZLOJST,X,X,X,X,O,O,X,O,O,O,X,X,O,O,X
IZLOSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZLOSJT,X,X,X,X,O,O,X,O,O,O,X,X,O,O,X
IZJTLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
IZJTSOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZJTOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJTOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJLTSO,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJLSTO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
IZJLSOT,O,O,X,X,O,X,X,O,X,O,X,O,O,O,O
IZJLOTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O
IZJLOST,O,O,X,X,X,X,X,O,X,O,X,O,O,X,O
IZJSTLO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
IZJSTOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZJSLTO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
IZJSLOT,O,O,X,X,O,X,X,O,X,O,X,O,O,O,O
IZJSOTL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZJSOLT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZJOTLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJOTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJOLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJOSTL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZJOSLT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZSTLJO,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
IZSTLOJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IZSTJLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSTOLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLTJO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IZSLTOJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IZSLJTO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSLJOT,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O
IZSLOTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZSLOJT,X,X,X,X,O,O,X,O,O,O,X,X,O,O,X
IZSJTLO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
IZSJTOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZSJLTO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
IZSJLOT,O,O,X,X,O,X,X,O,X,O,X,O,O,O,O
IZSJOTL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZSJOLT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
IZSOTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSOLTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZSOLJT,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
IZSOJTL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSOJLT,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IZOTLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTSLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLTJS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZOLJTS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZOLJST,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
IZOLSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZOLSJT,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
IZOJTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOJLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOJLST,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IZOJSTL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOJSLT,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IZOSTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOSLTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZOSLJT,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
IZOSJTL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOSJLT,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IOTLJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSLJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZSLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
IOLTSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOLJSZT,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X
IOLJZTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOLJZST,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X
IOLSTJZ,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
IOLSTZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOLSJZT,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X
IOLSZTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSZJT,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X
IOLZTJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOLZJST,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X
IOLZSTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X
IOJTLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLTSZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOJLSZT,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOJLZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOJSTLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSLTZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOJSLZT,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOJSZTL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IOJSZLT,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X
IOJZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOJZSTL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IOJZSLT,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X
IOSTLJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLTJZ,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
IOSLTZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOSLJZT,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X
IOSLZTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X
IOSJTLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJLTZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOSJLZT,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOSJZTL,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IOSJZLT,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X
IOSZTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSZLTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOSZLJT,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
IOSZJTL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IOSZJLT,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IOZTLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTSLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLTJS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOZLJTS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZLJST,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
IOZLSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOZLSJT,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
IOZJTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IOZJLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJLST,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IOZJSTL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IOZJSLT,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
IOZSTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZSLTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOZSLJT,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
IOZSJTL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IOZSJLT,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
LTIJSZO,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
LTIJSOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIJZSO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
LTIJZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIJOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTISJZO,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
LTISJOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTISZJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
LTISZOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTISOJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTISOZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
LTIZJOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
LTIZSOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTIZOJS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIZOSJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIOJSZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTIOJZS,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTIOSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJSOIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTJZISO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJZIOS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJZSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJZSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJZOIS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJZOSI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJOISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTJOZIS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTJOZSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTSIJZO,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
LTSIJOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTSIZJO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
LTSIZOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTSIOJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTSIOZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTSJZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTSJOIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTSZIJO,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
LTSZIOJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTSZJIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSZJOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSZOJI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTSOIZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZIJSO,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
LTZIJOS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
LTZISOJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTZIOJS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
LTZIOSJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
LTZJISO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZJSIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZJSOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZJOIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZJOSI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
LTZSIOJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTZSJIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZSJOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZSOIJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZSOJI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTZOIJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZOISJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZOJIS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTZOJSI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTZOSIJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZOSJI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOIJSZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTOIJZS,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTOISJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTOISZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOIZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTOJZIS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTOJZSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTOSIZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOZIJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOZISJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZJIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOZJSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOZSIJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZSJI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LITJSZO,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
LITJSOZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
