sequence,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFxbB/iBGeBq?lBlmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFlbBGeBxhBz?lBCnB3rB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhF3bBGeBxhBU?iBCmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFShB/iBGeBR?mBllBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFXcBViBGeB6?lBxmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeBxgBTiBC?mB3mBUrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeB0gBxhBC?nBzlB3rB
TOILJSZ,X,O,O,X,O,O,X
TOILJZS,X,O,O,X,O,O,X
TOILSJZ,X,O,O,O,O,O,X
TOILSZJ,X,O,O,O,O,X,X
TOILZJS,X,O,O,X,O,O,X
TOILZSJ,X,O,O,O,O,X,X
TOIJLSZ,X,O,O,X,O,O,X
TOIJLZS,X,O,O,X,O,O,X
TOIJSLZ,X,X,O,X,O,O,X
TOIJSZL,X,O,X,X,O,X,X
TOIJZLS,X,O,X,X,O,O,X
TOIJZSL,X,O,X,X,O,X,X
TOISLJZ,X,X,O,O,O,X,X
TOISLZJ,X,X,O,O,O,X,X
TOISJLZ,X,X,O,O,O,O,X
TOISJZL,X,O,X,O,O,X,X
TOISZLJ,X,X,X,O,O,X,X
TOISZJL,X,O,X,O,O,X,X
TOIZLJS,X,O,X,X,O,X,X
TOIZLSJ,X,O,X,O,O,X,X
TOIZJLS,X,O,X,X,O,O,X
TOIZJSL,X,O,X,X,O,X,X
TOIZSLJ,X,X,X,O,O,X,X
TOIZSJL,X,O,X,O,O,X,X
TOLIJSZ,X,O,O,X,X,O,X
TOLIJZS,X,O,O,X,X,O,O
TOLISJZ,O,O,O,X,X,O,X
TOLISZJ,O,O,O,X,X,X,X
TOLIZJS,X,O,O,X,X,O,O
TOLIZSJ,O,O,O,X,X,X,X
TOLJISZ,X,O,O,X,X,O,X
TOLJIZS,X,O,O,X,X,O,O
TOLJSIZ,X,O,O,X,X,O,X
TOLJSZI,X,O,O,X,X,X,X
TOLJZIS,X,O,O,X,X,O,O
TOLJZSI,X,O,O,X,X,X,X
TOLSIJZ,O,O,O,X,X,O,X
TOLSIZJ,O,O,O,X,X,X,X
TOLSJIZ,O,O,O,X,X,O,X
TOLSJZI,O,O,O,X,X,X,X
TOLSZIJ,O,O,O,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X
TOLZIJS,X,O,O,X,X,O,O
TOLZISJ,O,O,O,X,X,X,X
TOLZJIS,X,O,O,X,X,O,O
TOLZJSI,X,O,O,X,X,X,X
TOLZSIJ,O,O,O,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X
TOJILSZ,X,O,O,X,O,O,X
TOJILZS,X,O,O,X,O,O,X
TOJISLZ,X,X,O,X,O,O,X
TOJISZL,X,O,X,X,O,X,X
TOJIZLS,X,O,X,X,O,O,X
TOJIZSL,X,O,X,X,O,X,X
TOJLISZ,X,O,O,X,X,O,X
TOJLIZS,X,O,O,X,X,O,O
TOJLSIZ,X,O,O,X,X,O,X
TOJLSZI,X,O,O,X,X,X,X
TOJLZIS,X,O,O,X,X,O,O
TOJLZSI,X,O,O,X,X,X,X
TOJSILZ,X,X,O,O,X,O,X
TOJSIZL,X,O,X,O,X,X,X
TOJSLIZ,X,O,O,X,X,O,X
TOJSLZI,X,O,O,X,X,X,X
TOJSZIL,X,O,X,O,X,X,X
TOJSZLI,X,O,O,X,X,X,X
TOJZILS,X,O,X,X,O,O,O
TOJZISL,X,O,X,X,O,X,X
TOJZLIS,X,O,O,X,X,O,O
TOJZLSI,X,O,O,X,X,X,X
TOJZSIL,X,O,X,O,X,X,X
TOJZSLI,X,O,O,X,X,X,X
TOSILJZ,X,X,O,O,X,X,X
TOSILZJ,X,X,O,O,X,X,X
TOSIJLZ,X,X,O,O,X,O,X
TOSIJZL,X,O,X,O,X,X,X
TOSIZLJ,X,X,X,O,X,X,X
TOSIZJL,X,O,X,O,X,X,X
TOSLIJZ,O,O,O,X,X,O,X
TOSLIZJ,O,O,O,X,X,X,X
TOSLJIZ,O,O,O,X,X,O,X
TOSLJZI,O,O,O,X,X,X,X
TOSLZIJ,O,O,O,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X
TOSJILZ,X,X,O,O,X,O,X
TOSJIZL,X,O,X,O,X,X,X
TOSJLIZ,O,O,O,X,X,O,X
TOSJLZI,O,O,O,X,X,X,X
TOSJZIL,X,O,X,O,X,X,X
TOSJZLI,X,O,O,X,X,X,X
TOSZILJ,X,X,X,O,X,X,X
TOSZIJL,X,O,X,O,X,X,X
TOSZLIJ,X,O,O,X,X,X,X
TOSZLJI,X,O,O,X,X,X,X
TOSZJIL,X,O,X,O,X,X,X
TOSZJLI,X,O,O,X,X,X,X
TOZILJS,X,O,X,X,O,X,X
TOZILSJ,X,O,X,O,O,X,X
TOZIJLS,X,O,X,X,O,O,O
TOZIJSL,X,O,X,X,O,X,X
TOZISLJ,X,X,X,O,O,X,X
TOZISJL,X,O,X,O,O,X,X
TOZLIJS,X,O,O,X,X,O,O
TOZLISJ,X,O,O,X,X,X,X
TOZLJIS,X,O,O,X,X,O,O
TOZLJSI,X,O,O,X,X,X,X
TOZLSIJ,X,O,O,X,X,X,X
TOZLSJI,X,O,O,X,X,X,X
TOZJILS,X,O,X,X,O,O,O
TOZJISL,X,O,X,X,O,X,X
TOZJLIS,X,O,O,X,X,O,O
TOZJLSI,X,O,O,X,X,X,X
TOZJSIL,X,O,X,O,X,X,X
TOZJSLI,X,O,O,X,X,X,X
TOZSILJ,X,X,X,O,X,X,X
TOZSIJL,X,O,X,O,X,X,X
TOZSLIJ,X,O,O,X,X,X,X
TOZSLJI,X,O,O,X,X,X,X
TOZSJIL,X,O,X,O,X,X,X
TOZSJLI,X,O,O,X,X,X,X
ITLJSZO,O,X,O,X,O,X,O
ITLJSOZ,O,X,O,X,X,X,X
ITLJZSO,O,X,O,X,O,X,O
ITLJZOS,X,X,X,X,X,X,O
ITLJOSZ,X,X,O,X,X,O,X
ITLJOZS,X,X,X,X,X,O,O
ITLSJZO,O,X,O,O,O,X,O
ITLSJOZ,O,X,O,X,X,X,X
ITLSZJO,O,X,O,O,O,X,O
ITLSZOJ,O,X,X,X,X,X,X
ITLSOJZ,O,X,O,X,X,O,X
ITLSOZJ,O,X,X,X,X,X,X
ITLZJSO,O,X,O,X,O,X,O
ITLZJOS,X,X,X,X,X,X,O
ITLZSJO,O,X,O,O,O,X,O
ITLZSOJ,O,X,X,X,X,X,X
ITLZOJS,X,X,X,X,X,O,O
ITLZOSJ,O,X,X,X,X,X,X
ITLOJSZ,X,X,O,X,X,O,X
ITLOJZS,X,X,X,X,X,O,O
ITLOSJZ,O,X,O,X,X,O,X
ITLOSZJ,O,X,X,X,X,X,X
ITLOZJS,X,X,X,X,X,O,O
ITLOZSJ,O,X,X,X,X,X,X
ITJLSZO,X,X,O,X,O,X,O
ITJLSOZ,X,X,O,X,X,X,X
ITJLZSO,X,X,O,X,O,X,O
ITJLZOS,X,X,X,X,X,X,O
ITJLOSZ,X,X,O,X,X,O,X
ITJLOZS,X,X,X,X,X,O,O
ITJSLZO,X,X,O,X,O,X,X
ITJSLOZ,X,X,O,X,X,X,X
ITJSZLO,X,X,X,X,O,X,X
ITJSZOL,X,X,X,X,O,X,X
ITJSOLZ,X,X,O,X,X,X,X
ITJSOZL,X,X,X,X,O,X,X
ITJZLSO,X,X,X,X,O,X,O
ITJZLOS,X,X,X,X,X,X,O
ITJZSLO,X,X,X,X,O,X,O
ITJZSOL,X,X,X,X,O,X,X
ITJZOLS,X,X,X,X,X,X,O
ITJZOSL,X,X,X,X,O,X,X
ITJOLSZ,X,X,O,X,X,O,X
ITJOLZS,X,X,O,X,X,O,X
ITJOSLZ,X,X,O,X,X,O,X
ITJOSZL,X,X,X,X,O,X,X
ITJOZLS,X,X,X,X,X,O,X
ITJOZSL,X,X,X,X,O,X,X
ITSLJZO,O,X,O,X,O,X,X
ITSLJOZ,O,X,O,X,X,X,X
ITSLZJO,O,X,O,X,O,X,X
ITSLZOJ,O,X,X,X,X,X,X
ITSLOJZ,O,X,O,X,X,O,X
ITSLOZJ,O,X,X,X,X,X,X
ITSJLZO,O,X,O,X,O,X,X
ITSJLOZ,O,X,O,X,X,X,X
ITSJZLO,X,X,X,X,O,X,X
ITSJZOL,X,X,X,O,O,X,X
ITSJOLZ,X,X,O,O,X,X,X
ITSJOZL,X,X,X,O,O,X,X
ITSZLJO,X,X,X,X,O,X,X
ITSZLOJ,X,X,X,X,X,X,X
ITSZJLO,X,X,X,X,O,X,X
ITSZJOL,X,X,X,O,O,X,X
ITSZOLJ,X,X,X,O,X,X,X
ITSZOJL,X,X,X,O,O,X,X
ITSOLJZ,X,X,O,O,X,X,X
ITSOLZJ,X,X,O,O,X,X,X
ITSOJLZ,X,X,O,O,X,O,X
ITSOJZL,X,X,X,O,O,X,X
ITSOZLJ,X,X,X,O,X,X,X
ITSOZJL,X,X,X,O,O,X,X
ITZLJSO,X,X,X,X,O,X,O
ITZLJOS,X,X,X,X,X,X,O
ITZLSJO,X,X,X,O,O,X,O
ITZLSOJ,X,X,X,X,X,X,X
ITZLOJS,X,X,X,X,X,O,O
ITZLOSJ,X,X,X,X,X,X,X
ITZJLSO,X,X,X,X,O,X,O
ITZJLOS,X,X,X,X,X,X,O
ITZJSLO,X,X,X,X,O,X,O
ITZJSOL,X,X,X,X,O,X,X
ITZJOLS,X,X,X,X,X,X,O
ITZJOSL,X,X,X,X,O,X,X
ITZSLJO,X,X,X,X,O,X,X
ITZSLOJ,X,X,X,X,X,X,X
ITZSJLO,X,X,X,X,O,X,O
ITZSJOL,X,X,X,O,O,X,X
ITZSOLJ,X,X,X,O,X,X,X
ITZSOJL,X,X,X,O,O,X,X
ITZOLJS,X,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,X,X
ITZOJLS,X,X,X,X,X,O,O
ITZOJSL,X,X,X,X,O,X,X
ITZOSLJ,X,X,X,X,X,X,X
ITZOSJL,X,X,X,X,O,X,X
ITOLJSZ,X,X,O,X,X,O,X
ITOLJZS,X,X,O,X,X,O,X
ITOLSJZ,X,X,O,X,X,O,X
ITOLSZJ,X,X,O,X,X,X,X
ITOLZJS,X,X,O,X,X,O,X
ITOLZSJ,X,X,O,X,X,X,X
ITOJLSZ,X,X,O,X,X,O,X
ITOJLZS,X,X,O,X,X,O,X
ITOJSLZ,X,X,O,X,X,O,X
ITOJSZL,X,X,X,X,O,X,X
ITOJZLS,X,X,X,X,X,O,X
ITOJZSL,X,X,X,X,O,X,X
ITOSLJZ,X,X,O,X,X,X,X
ITOSLZJ,X,X,O,X,X,X,X
ITOSJLZ,X,X,O,X,X,O,X
ITOSJZL,X,X,X,X,O,X,X
ITOSZLJ,X,X,X,X,X,X,X
ITOSZJL,X,X,X,X,O,X,X
ITOZLJS,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,X,X
ITOZJLS,X,X,X,X,X,O,X
ITOZJSL,X,X,X,X,O,X,X
ITOZSLJ,X,X,X,X,X,X,X
ITOZSJL,X,X,X,X,O,X,X
ILTJSZO,O,X,O,X,O,X,O
ILTJSOZ,O,X,O,X,X,X,X
ILTJZSO,O,X,O,X,O,X,O
ILTJZOS,X,X,X,X,X,X,O
ILTJOSZ,X,X,O,X,X,O,X
ILTJOZS,X,X,X,X,X,O,O
ILTSJZO,O,X,O,O,O,X,O
ILTSJOZ,O,X,O,X,X,X,X
ILTSZJO,O,X,O,O,O,X,O
ILTSZOJ,O,X,X,X,X,X,X
ILTSOJZ,O,X,O,X,X,O,X
ILTSOZJ,O,X,X,X,X,X,X
ILTZJSO,O,X,O,X,O,X,O
ILTZJOS,X,X,X,X,X,X,O
ILTZSJO,O,X,O,O,O,X,O
ILTZSOJ,O,X,X,X,X,X,X
ILTZOJS,X,X,X,X,X,O,O
ILTZOSJ,O,X,X,X,X,X,X
ILTOJSZ,X,X,O,X,X,O,X
ILTOJZS,X,X,X,X,X,O,O
ILTOSJZ,O,X,O,X,X,O,X
ILTOSZJ,O,X,X,X,X,X,X
ILTOZJS,X,X,X,X,X,O,O
ILTOZSJ,O,X,X,X,X,X,X
ILJTSZO,O,X,O,X,O,X,O
ILJTSOZ,O,X,O,X,X,X,X
ILJTZSO,O,X,O,X,O,X,O
ILJTZOS,X,X,X,X,X,X,O
ILJTOSZ,X,X,O,X,X,O,X
ILJTOZS,X,X,X,X,X,O,O
ILJSTZO,O,X,O,O,X,X,O
ILJSTOZ,O,X,O,X,X,X,X
ILJSZTO,O,X,O,O,X,X,O
ILJSZOT,O,X,X,O,X,X,X
ILJSOTZ,X,X,O,X,X,X,X
ILJSOZT,O,X,X,O,X,X,X
ILJZTSO,O,X,O,X,O,X,O
ILJZTOS,X,X,X,X,X,X,O
ILJZSTO,O,X,O,O,X,X,O
ILJZSOT,O,X,X,O,X,X,X
ILJZOTS,X,O,X,X,X,X,O
ILJZOST,X,O,X,X,X,X,X
ILJOTSZ,X,O,O,X,X,O,X
ILJOTZS,X,O,X,X,X,O,O
ILJOSTZ,X,O,O,X,X,O,X
ILJOSZT,X,O,X,X,X,X,X
ILJOZTS,X,O,X,X,X,O,O
ILJOZST,X,O,X,X,X,X,X
ILSTJZO,O,X,O,O,X,X,O
ILSTJOZ,O,X,O,X,X,X,X
ILSTZJO,O,X,O,O,X,X,O
ILSTZOJ,O,X,X,X,X,X,X
ILSTOJZ,O,X,O,X,X,O,X
ILSTOZJ,O,X,X,X,X,X,X
ILSJTZO,O,X,O,O,X,X,O
ILSJTOZ,O,X,O,X,X,X,X
ILSJZTO,O,X,O,O,X,X,O
ILSJZOT,O,X,X,O,X,X,X
ILSJOTZ,X,X,O,O,X,X,X
ILSJOZT,O,X,X,O,X,X,X
ILSZTJO,O,X,O,O,X,X,O
ILSZTOJ,O,X,X,X,X,X,X
ILSZJTO,O,X,O,O,X,X,O
ILSZJOT,O,X,X,O,X,X,X
ILSZOTJ,X,X,X,O,X,X,X
ILSZOJT,O,X,X,O,X,X,X
ILSOTJZ,X,X,O,O,X,O,X
ILSOTZJ,X,X,X,O,X,X,X
ILSOJTZ,X,X,O,O,X,O,X
ILSOJZT,O,X,X,O,X,X,X
ILSOZTJ,X,X,X,O,X,X,X
ILSOZJT,O,X,X,O,X,X,X
ILZTJSO,O,X,O,X,O,X,O
ILZTJOS,X,X,X,X,X,X,O
ILZTSJO,O,X,O,O,O,X,O
ILZTSOJ,O,X,X,X,X,X,X
ILZTOJS,X,X,X,X,X,O,O
ILZTOSJ,O,X,X,X,X,X,X
ILZJTSO,O,X,O,X,O,X,O
ILZJTOS,X,X,X,X,X,X,O
ILZJSTO,O,X,O,O,X,X,O
ILZJSOT,O,X,X,O,X,X,X
ILZJOTS,X,O,X,X,X,X,O
ILZJOST,X,O,X,X,X,X,X
ILZSTJO,O,X,O,O,X,X,O
ILZSTOJ,O,X,X,X,X,X,X
ILZSJTO,O,X,O,O,X,X,O
ILZSJOT,O,X,X,O,X,X,X
ILZSOTJ,X,X,X,O,X,X,X
ILZSOJT,O,X,X,O,X,X,X
ILZOTJS,X,O,X,X,X,O,O
ILZOTSJ,O,O,X,X,X,X,X
ILZOJTS,X,O,X,X,X,O,O
ILZOJST,X,O,X,X,X,X,X
ILZOSTJ,X,O,X,X,X,X,X
ILZOSJT,O,O,X,O,X,X,X
ILOTJSZ,X,O,O,X,X,O,X
ILOTJZS,X,O,X,X,X,O,O
ILOTSJZ,O,O,O,X,X,O,X
ILOTSZJ,O,O,X,X,X,X,X
ILOTZJS,X,O,X,X,X,O,O
ILOTZSJ,O,O,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,O,X
ILOJTZS,X,O,X,X,X,O,O
ILOJSTZ,X,O,O,X,X,O,X
ILOJSZT,X,O,X,X,X,X,X
ILOJZTS,X,O,X,X,X,O,O
ILOJZST,X,O,X,X,X,X,X
ILOSTJZ,X,O,O,X,X,O,X
ILOSTZJ,X,O,X,X,X,X,X
ILOSJTZ,X,O,O,X,X,O,X
ILOSJZT,O,O,X,O,X,X,X
ILOSZTJ,X,O,X,X,X,X,X
ILOSZJT,O,O,X,O,X,X,X
ILOZTJS,X,O,X,X,X,O,O
ILOZTSJ,O,O,X,X,X,X,X
ILOZJTS,X,O,X,X,X,O,O
ILOZJST,X,O,X,X,X,X,X
ILOZSTJ,X,O,X,X,X,X,X
ILOZSJT,O,O,X,O,X,X,X
IJTLSZO,X,X,O,X,O,X,O
IJTLSOZ,X,X,O,X,X,X,X
IJTLZSO,X,X,O,X,O,X,O
IJTLZOS,X,X,X,X,X,X,O
IJTLOSZ,X,X,O,X,X,O,X
IJTLOZS,X,X,X,X,X,O,O
IJTSLZO,X,X,O,X,O,X,X
IJTSLOZ,X,X,O,X,X,X,X
IJTSZLO,X,X,X,X,O,X,X
IJTSZOL,X,X,X,X,O,X,X
IJTSOLZ,X,X,O,X,X,X,X
IJTSOZL,X,X,X,X,O,X,X
IJTZLSO,X,X,X,X,O,X,O
IJTZLOS,X,X,X,X,X,X,O
IJTZSLO,X,X,X,X,O,X,O
IJTZSOL,X,X,X,X,O,X,X
IJTZOLS,X,X,X,X,X,X,O
IJTZOSL,X,X,X,X,O,X,X
IJTOLSZ,X,X,O,X,X,O,X
IJTOLZS,X,X,O,X,X,O,X
IJTOSLZ,X,X,O,X,X,O,X
IJTOSZL,X,X,X,X,O,X,X
IJTOZLS,X,X,X,X,X,O,X
IJTOZSL,X,X,X,X,O,X,X
IJLTSZO,X,X,O,X,O,X,O
IJLTSOZ,X,X,O,X,X,X,X
IJLTZSO,X,X,O,X,O,X,O
IJLTZOS,X,X,X,X,X,X,O
IJLTOSZ,X,X,O,X,X,O,X
IJLTOZS,X,X,X,X,X,O,O
IJLSTZO,O,X,O,O,X,X,O
IJLSTOZ,O,X,O,X,X,X,X
IJLSZTO,O,X,O,O,X,X,O
IJLSZOT,O,X,X,O,X,X,X
IJLSOTZ,X,X,O,X,X,X,X
IJLSOZT,O,X,X,O,X,X,X
IJLZTSO,X,X,O,X,O,X,O
IJLZTOS,X,X,X,X,X,X,O
IJLZSTO,O,X,O,O,X,X,O
IJLZSOT,O,X,X,O,X,X,X
IJLZOTS,X,O,X,X,X,X,O
IJLZOST,X,O,X,X,X,X,X
IJLOTSZ,X,O,O,X,X,O,X
IJLOTZS,X,O,X,X,X,O,O
IJLOSTZ,X,O,O,X,X,O,X
IJLOSZT,X,O,X,X,X,X,X
IJLOZTS,X,O,X,X,X,O,O
IJLOZST,X,O,X,X,X,X,X
IJSTLZO,O,X,O,X,O,X,X
IJSTLOZ,O,X,O,X,X,X,X
IJSTZLO,X,X,X,X,O,X,X
IJSTZOL,X,X,X,O,O,X,X
IJSTOLZ,X,X,O,O,X,X,X
IJSTOZL,X,X,X,O,O,X,X
IJSLTZO,O,X,O,X,X,X,X
IJSLTOZ,O,X,O,X,X,X,X
IJSLZTO,O,X,O,X,X,X,X
IJSLZOT,O,X,X,O,X,X,X
IJSLOTZ,X,X,O,O,X,X,X
IJSLOZT,O,X,X,O,X,X,X
IJSZTLO,O,X,X,X,O,X,X
IJSZTOL,X,X,X,O,O,X,X
IJSZLTO,O,X,X,X,X,X,X
IJSZLOT,O,X,X,O,X,X,X
IJSZOTL,X,X,X,O,X,X,X
IJSZOLT,O,X,X,O,X,X,X
IJSOTLZ,X,X,O,O,X,X,X
IJSOTZL,X,X,X,O,X,X,X
IJSOLTZ,X,X,O,O,X,X,X
IJSOLZT,X,X,O,O,X,X,X
IJSOZTL,X,X,X,O,X,X,X
IJSOZLT,X,X,X,O,X,X,X
IJZTLSO,X,X,X,X,O,X,O
IJZTLOS,X,X,X,X,X,X,O
IJZTSLO,X,X,X,X,O,X,O
IJZTSOL,X,X,X,X,O,X,X
IJZTOLS,X,O,X,X,X,X,O
IJZTOSL,X,O,X,X,O,X,X
IJZLTSO,X,X,X,X,O,X,O
IJZLTOS,X,X,X,X,X,X,O
IJZLSTO,O,X,X,O,X,X,O
IJZLSOT,O,X,X,O,X,X,X
IJZLOTS,X,O,X,X,X,X,O
IJZLOST,X,O,X,X,X,X,X
IJZSTLO,O,X,X,X,O,X,O
IJZSTOL,X,X,X,O,O,X,X
IJZSLTO,O,X,X,X,X,X,X
IJZSLOT,O,X,X,O,X,X,X
IJZSOTL,X,X,X,O,X,X,X
IJZSOLT,O,X,X,O,X,X,X
IJZOTLS,X,O,X,X,O,X,O
IJZOTSL,X,O,X,X,O,X,X
IJZOLTS,X,O,X,X,O,X,X
IJZOLST,X,O,X,X,X,X,X
IJZOSTL,X,O,X,O,O,X,X
IJZOSLT,X,X,X,O,X,X,X
IJOTLSZ,X,O,O,X,O,O,X
IJOTLZS,X,O,O,X,O,O,X
IJOTSLZ,X,X,O,X,O,O,X
IJOTSZL,X,O,X,X,O,X,X
IJOTZLS,X,O,X,X,O,O,X
IJOTZSL,X,O,X,X,O,X,X
IJOLTSZ,X,O,O,X,O,O,X
IJOLTZS,X,O,O,X,O,O,X
IJOLSTZ,X,O,O,X,X,O,X
IJOLSZT,X,O,O,X,X,X,X
IJOLZTS,X,O,O,X,O,O,X
IJOLZST,X,O,O,X,X,X,X
IJOSTLZ,X,X,O,O,O,O,X
IJOSTZL,X,O,X,O,O,X,X
IJOSLTZ,X,X,O,O,X,X,X
IJOSLZT,X,X,O,O,X,X,X
IJOSZTL,X,O,X,O,O,X,X
IJOSZLT,X,X,X,O,X,X,X
IJOZTLS,X,O,X,X,O,O,X
IJOZTSL,X,O,X,X,O,X,X
IJOZLTS,X,O,X,X,O,X,X
IJOZLST,X,O,X,X,X,X,X
IJOZSTL,X,O,X,O,O,X,X
IJOZSLT,X,X,X,O,X,X,X
ISTLJZO,O,X,O,X,O,X,X
ISTLJOZ,O,X,O,X,X,X,X
ISTLZJO,O,X,O,X,O,X,X
ISTLZOJ,O,X,X,X,X,X,X
ISTLOJZ,O,X,O,X,X,O,X
ISTLOZJ,O,X,X,X,X,X,X
ISTJLZO,O,X,O,X,O,X,X
ISTJLOZ,O,X,O,X,X,X,X
ISTJZLO,X,X,X,X,O,X,X
ISTJZOL,X,X,X,O,O,X,X
ISTJOLZ,X,X,O,O,X,X,X
ISTJOZL,X,X,X,O,O,X,X
ISTZLJO,X,X,X,X,O,X,X
ISTZLOJ,X,X,X,X,X,X,X
ISTZJLO,X,X,X,X,O,X,X
ISTZJOL,X,X,X,O,O,X,X
ISTZOLJ,X,X,X,O,X,X,X
ISTZOJL,X,X,X,O,O,X,X
ISTOLJZ,X,X,O,O,X,X,X
ISTOLZJ,X,X,O,O,X,X,X
ISTOJLZ,X,X,O,O,X,O,X
ISTOJZL,X,X,X,O,O,X,X
ISTOZLJ,X,X,X,O,X,X,X
ISTOZJL,X,X,X,O,O,X,X
ISLTJZO,O,X,O,O,X,X,X
ISLTJOZ,O,X,O,X,X,X,X
ISLTZJO,O,X,O,O,X,X,X
ISLTZOJ,O,X,X,X,X,X,X
ISLTOJZ,O,X,O,X,X,O,X
ISLTOZJ,O,X,X,X,X,X,X
ISLJTZO,O,X,O,O,X,X,X
ISLJTOZ,O,X,O,X,X,X,X
ISLJZTO,O,X,O,O,X,X,X
ISLJZOT,O,X,X,O,X,X,X
ISLJOTZ,X,X,O,O,X,X,X
ISLJOZT,O,X,X,O,X,X,X
ISLZTJO,O,X,O,O,X,X,X
ISLZTOJ,O,X,X,X,X,X,X
ISLZJTO,O,X,O,O,X,X,X
ISLZJOT,O,X,X,O,X,X,X
ISLZOTJ,X,X,X,O,X,X,X
ISLZOJT,O,X,X,O,X,X,X
ISLOTJZ,X,X,O,O,X,O,X
ISLOTZJ,X,X,X,O,X,X,X
ISLOJTZ,X,X,O,O,X,O,X
ISLOJZT,O,X,X,O,X,X,X
ISLOZTJ,X,X,X,O,X,X,X
ISLOZJT,O,X,X,O,X,X,X
ISJTLZO,O,X,O,X,O,X,X
ISJTLOZ,O,X,O,X,X,X,X
ISJTZLO,X,X,X,X,O,X,X
ISJTZOL,X,X,X,O,O,X,X
ISJTOLZ,X,X,O,O,X,X,X
ISJTOZL,X,X,X,O,O,X,X
ISJLTZO,O,X,O,X,X,X,X
ISJLTOZ,O,X,O,X,X,X,X
ISJLZTO,O,X,O,X,X,X,X
ISJLZOT,O,X,X,O,X,X,X
ISJLOTZ,X,X,O,O,X,X,X
ISJLOZT,O,X,X,O,X,X,X
ISJZTLO,O,X,X,X,O,X,X
ISJZTOL,X,X,X,O,O,X,X
ISJZLTO,O,X,X,X,X,X,X
ISJZLOT,O,X,X,O,X,X,X
ISJZOTL,X,X,X,O,X,X,X
ISJZOLT,O,X,X,O,X,X,X
ISJOTLZ,X,X,O,O,X,X,X
ISJOTZL,X,X,X,O,X,X,X
ISJOLTZ,X,X,O,O,X,X,X
ISJOLZT,X,X,O,O,X,X,X
ISJOZTL,X,X,X,O,X,X,X
ISJOZLT,X,X,X,O,X,X,X
ISZTLJO,X,X,X,X,O,X,X
ISZTLOJ,X,X,X,X,X,X,X
ISZTJLO,O,X,X,X,O,X,X
ISZTJOL,X,X,X,O,O,X,X
ISZTOLJ,X,X,X,O,X,X,X
ISZTOJL,X,X,X,O,O,X,X
ISZLTJO,O,X,X,O,X,X,X
ISZLTOJ,O,X,X,X,X,X,X
ISZLJTO,O,X,X,O,X,X,X
ISZLJOT,O,X,X,O,X,X,X
ISZLOTJ,X,X,X,O,X,X,X
ISZLOJT,O,X,X,O,X,X,X
ISZJTLO,O,X,X,X,O,X,X
ISZJTOL,X,X,X,O,O,X,X
ISZJLTO,O,X,X,X,X,X,X
ISZJLOT,O,X,X,O,X,X,X
ISZJOTL,X,X,X,O,X,X,X
ISZJOLT,O,X,X,O,X,X,X
ISZOTLJ,X,X,X,O,X,X,X
ISZOTJL,X,X,X,O,X,X,X
ISZOLTJ,X,X,X,O,X,X,X
ISZOLJT,X,X,X,O,X,X,X
ISZOJTL,X,X,X,O,X,X,X
ISZOJLT,O,X,X,O,X,X,X
ISOTLJZ,X,X,O,O,X,X,X
ISOTLZJ,X,X,O,O,X,X,X
ISOTJLZ,X,X,O,O,X,O,X
ISOTJZL,X,X,X,O,X,X,X
ISOTZLJ,X,X,X,O,X,X,X
ISOTZJL,X,X,X,O,X,X,X
ISOLTJZ,X,X,O,O,X,X,X
ISOLTZJ,X,X,O,O,X,X,X
ISOLJTZ,X,X,O,O,X,X,X
ISOLJZT,X,X,O,O,X,X,X
ISOLZTJ,X,X,O,O,X,X,X
ISOLZJT,X,X,O,O,X,X,X
ISOJTLZ,X,X,O,O,X,O,X
ISOJTZL,X,X,X,O,X,X,X
ISOJLTZ,X,X,O,O,X,X,X
ISOJLZT,X,X,O,O,X,X,X
ISOJZTL,X,X,X,O,X,X,X
ISOJZLT,X,X,X,O,X,X,X
ISOZTLJ,X,X,X,O,X,X,X
ISOZTJL,X,X,X,O,X,X,X
ISOZLTJ,X,X,X,O,X,X,X
ISOZLJT,X,X,X,O,X,X,X
ISOZJTL,X,X,X,O,X,X,X
ISOZJLT,X,X,X,O,X,X,X
IZTLJSO,O,X,X,X,O,X,O
IZTLJOS,X,X,X,X,X,X,O
IZTLSJO,O,X,X,O,O,X,O
IZTLSOJ,O,X,X,X,X,X,X
IZTLOJS,X,X,X,X,X,O,O
IZTLOSJ,O,X,X,X,X,X,X
IZTJLSO,X,X,X,X,O,X,O
IZTJLOS,X,X,X,X,X,X,O
IZTJSLO,X,X,X,X,O,X,O
IZTJSOL,X,X,X,X,O,X,X
IZTJOLS,X,O,X,X,X,X,O
