sequence,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmB0sBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeR8IvhFGeBUhB?FiB/oBqsBzrB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmBXsB0sB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFfiBldB?5jB8nB6rB2xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JefBJvhF0cB5jB?ziBurBinB1xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFUdB5jB?lmB3nBatBWxB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeC8IvhF5jB/mB?FiB8nBesBzsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeG9IvhFRhB6oB?UhBlnBzrBXtB
TZJSLIO,O,X,X,O,O,X,X,X
TZJSLOI,O,X,X,O,O,X,X,X
TZJSOIL,O,X,X,O,O,X,X,X
TZJSOLI,O,X,X,O,O,X,X,X
TZJOILS,O,X,O,X,X,X,X,X
TZJOISL,O,X,O,O,O,X,X,X
TZJOLIS,O,X,O,X,X,X,X,X
TZJOLSI,O,X,X,X,X,X,X,X
TZJOSIL,O,X,X,O,O,X,X,X
TZJOSLI,O,X,X,O,O,X,X,X
TZSILJO,O,O,X,X,X,O,O,X
TZSILOJ,O,X,X,X,X,O,O,X
TZSIJLO,O,O,X,O,O,O,O,X
TZSIJOL,O,O,X,O,O,O,X,X
TZSIOLJ,O,X,X,X,X,O,O,X
TZSIOJL,O,X,X,X,O,O,X,X
TZSLIJO,O,O,X,X,X,O,O,X
TZSLIOJ,O,O,X,X,X,O,O,X
TZSLJIO,O,O,X,X,X,X,O,X
TZSLJOI,O,O,X,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,O,O,X
TZSLOJI,O,O,X,X,X,X,X,X
TZSJILO,O,O,X,O,O,O,O,X
TZSJIOL,O,O,X,O,O,O,X,X
TZSJLIO,O,O,X,O,O,X,O,X
TZSJLOI,O,O,X,O,O,X,X,X
TZSJOIL,O,X,X,O,O,O,X,X
TZSJOLI,O,X,X,O,O,X,X,X
TZSOILJ,O,X,X,X,X,O,O,X
TZSOIJL,O,O,X,X,O,O,X,X
TZSOLIJ,O,O,X,X,X,O,O,X
TZSOLJI,O,O,X,X,X,X,X,X
TZSOJIL,O,O,X,X,O,O,X,X
TZSOJLI,O,X,X,X,O,X,X,X
TZOILJS,O,X,O,X,X,X,X,X
TZOILSJ,O,O,X,O,X,X,X,X
TZOIJLS,O,X,O,X,X,X,X,X
TZOIJSL,O,X,O,O,O,X,X,X
TZOISLJ,O,X,X,X,X,O,X,X
TZOISJL,O,O,X,X,O,O,X,X
TZOLIJS,O,O,O,X,X,X,X,X
TZOLISJ,O,O,X,O,X,X,X,X
TZOLJIS,O,O,O,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X
TZOLSIJ,O,O,X,O,X,X,X,X
TZOLSJI,O,O,X,O,X,X,X,X
TZOJILS,O,X,O,X,X,X,X,X
TZOJISL,O,X,O,O,O,X,X,X
TZOJLIS,O,X,O,X,X,X,X,X
TZOJLSI,O,X,X,X,X,X,X,X
TZOJSIL,O,X,X,O,O,X,X,X
TZOJSLI,O,X,X,O,O,X,X,X
TZOSILJ,O,X,X,X,X,O,X,X
TZOSIJL,O,O,X,X,O,O,X,X
TZOSLIJ,O,O,X,X,X,O,X,X
TZOSLJI,O,O,X,X,X,X,X,X
TZOSJIL,O,O,X,X,O,O,X,X
TZOSJLI,O,X,X,X,O,X,X,X
TOILJSZ,O,X,O,O,O,X,X,O
TOILJZS,O,X,O,O,X,X,X,O
TOILSJZ,O,X,O,X,O,O,X,O
TOILSZJ,X,X,X,O,X,O,X,X
TOILZJS,O,X,O,X,X,X,X,O
TOILZSJ,O,X,X,O,X,X,X,X
TOIJLSZ,O,X,O,X,O,X,X,O
TOIJLZS,O,X,O,X,X,X,X,O
TOIJSLZ,O,X,O,X,O,O,X,O
TOIJSZL,O,X,O,O,O,O,X,X
TOIJZLS,O,X,O,X,X,X,X,O
TOIJZSL,O,X,O,O,O,X,X,X
TOISLJZ,O,X,O,X,O,O,X,O
TOISLZJ,X,X,X,X,X,O,X,X
TOISJLZ,O,X,O,X,O,O,X,O
TOISJZL,O,X,O,X,O,O,X,X
TOISZLJ,O,X,X,X,X,O,X,X
TOISZJL,O,X,X,X,O,O,X,X
TOIZLJS,O,X,O,X,X,X,X,O
TOIZLSJ,O,X,X,O,X,X,X,X
TOIZJLS,O,X,O,X,X,X,X,O
TOIZJSL,O,X,O,O,O,X,X,X
TOIZSLJ,O,X,X,X,X,O,X,X
TOIZSJL,O,X,X,X,O,O,X,X
TOLIJSZ,O,O,O,O,O,X,X,O
TOLIJZS,O,X,O,O,X,X,X,O
TOLISJZ,O,O,O,X,O,O,X,O
TOLISZJ,X,O,X,O,X,O,X,X
TOLIZJS,O,O,O,X,X,X,X,O
TOLIZSJ,O,O,X,O,X,X,X,X
TOLJISZ,O,O,O,O,O,X,X,O
TOLJIZS,O,X,O,O,X,X,X,O
TOLJSIZ,O,O,O,O,O,X,X,O
TOLJSZI,X,O,X,O,O,X,X,X
TOLJZIS,O,O,O,O,X,X,X,O
TOLJZSI,O,O,X,O,X,X,X,X
TOLSIJZ,O,O,O,X,O,O,X,O
TOLSIZJ,X,O,X,O,X,O,X,X
TOLSJIZ,O,O,O,X,O,X,X,O
TOLSJZI,X,O,X,X,O,X,X,X
TOLSZIJ,O,O,X,O,X,O,X,X
TOLSZJI,O,O,X,O,X,X,X,X
TOLZIJS,O,O,O,X,X,X,X,O
TOLZISJ,O,O,X,O,X,X,X,X
TOLZJIS,O,O,O,X,X,X,X,O
TOLZJSI,O,O,X,X,X,X,X,X
TOLZSIJ,O,O,X,O,X,X,X,X
TOLZSJI,O,O,X,O,X,X,X,X
TOJILSZ,O,X,O,X,O,X,X,O
TOJILZS,O,X,O,X,X,X,X,O
TOJISLZ,O,X,O,X,O,O,X,O
TOJISZL,O,X,O,O,O,O,X,X
TOJIZLS,O,X,O,X,X,X,X,O
TOJIZSL,O,X,O,O,O,X,X,X
TOJLISZ,O,X,O,X,O,X,X,O
TOJLIZS,O,X,O,X,X,X,X,O
TOJLSIZ,O,X,O,X,O,X,X,O
TOJLSZI,X,X,X,X,O,X,X,X
TOJLZIS,O,X,O,X,X,X,X,O
TOJLZSI,O,X,X,X,X,X,X,X
TOJSILZ,O,X,O,X,O,O,X,O
TOJSIZL,O,X,O,O,O,O,X,X
TOJSLIZ,O,X,O,X,O,X,X,O
TOJSLZI,X,X,O,X,O,X,X,X
TOJSZIL,X,X,O,O,O,O,X,X
TOJSZLI,X,X,O,O,O,X,X,X
TOJZILS,O,X,O,X,X,X,X,O
TOJZISL,O,X,O,O,O,X,X,X
TOJZLIS,O,X,O,X,X,X,X,O
TOJZLSI,O,X,X,X,X,X,X,X
TOJZSIL,O,X,X,O,O,X,X,X
TOJZSLI,O,X,X,O,O,X,X,X
TOSILJZ,O,X,O,X,O,O,X,O
TOSILZJ,X,X,X,X,X,O,X,X
TOSIJLZ,O,X,O,X,O,O,X,O
TOSIJZL,O,X,O,X,O,O,X,X
TOSIZLJ,O,X,X,X,X,O,X,X
TOSIZJL,O,X,X,X,O,O,X,X
TOSLIJZ,O,O,O,X,O,O,X,O
TOSLIZJ,X,O,X,X,X,O,X,X
TOSLJIZ,O,O,O,X,O,X,X,O
TOSLJZI,X,O,O,X,O,X,X,X
TOSLZIJ,O,O,X,X,X,O,X,X
TOSLZJI,O,O,O,X,X,X,X,X
TOSJILZ,O,X,O,X,O,O,X,O
TOSJIZL,O,X,O,X,O,O,X,X
TOSJLIZ,O,O,O,X,O,X,X,O
TOSJLZI,X,O,O,X,O,X,X,X
TOSJZIL,X,O,O,X,O,O,X,X
TOSJZLI,X,X,O,X,O,X,X,X
TOSZILJ,O,X,X,X,X,O,X,X
TOSZIJL,O,O,X,X,O,O,X,X
TOSZLIJ,O,O,X,X,X,O,X,X
TOSZLJI,O,O,O,X,X,X,X,X
TOSZJIL,O,O,O,X,O,O,X,X
TOSZJLI,O,X,O,X,O,X,X,X
TOZILJS,O,X,O,X,X,X,X,O
TOZILSJ,O,O,X,O,X,X,X,X
TOZIJLS,O,X,O,X,X,X,X,O
TOZIJSL,O,X,O,O,O,X,X,X
TOZISLJ,O,X,X,X,X,O,X,X
TOZISJL,O,O,X,X,O,O,X,X
TOZLIJS,O,O,O,X,X,X,X,O
TOZLISJ,O,O,X,O,X,X,X,X
TOZLJIS,O,O,O,X,X,X,X,O
TOZLJSI,O,O,X,X,X,X,X,X
TOZLSIJ,O,O,X,O,X,X,X,X
TOZLSJI,O,O,X,O,X,X,X,X
TOZJILS,O,X,O,X,X,X,X,O
TOZJISL,O,X,O,O,O,X,X,X
TOZJLIS,O,X,O,X,X,X,X,O
TOZJLSI,O,X,X,X,X,X,X,X
TOZJSIL,O,X,X,O,O,X,X,X
TOZJSLI,O,X,X,O,O,X,X,X
TOZSILJ,O,X,X,X,X,O,X,X
TOZSIJL,O,O,X,X,O,O,X,X
TOZSLIJ,O,O,X,X,X,O,X,X
TOZSLJI,O,O,X,X,X,X,X,X
TOZSJIL,O,O,X,X,O,O,X,X
TOZSJLI,O,X,X,X,O,X,X,X
ITLJSZO,X,X,O,O,O,X,X,X
ITLJSOZ,O,X,O,O,O,X,X,X
ITLJZSO,O,X,X,O,X,X,X,X
ITLJZOS,O,X,O,O,X,X,X,X
ITLJOSZ,O,X,O,O,O,X,X,X
ITLJOZS,O,X,O,O,X,X,X,X
ITLSJZO,X,X,X,X,O,O,X,X
ITLSJOZ,O,X,O,X,O,O,X,X
ITLSZJO,X,X,X,O,X,O,O,X
ITLSZOJ,X,X,X,O,X,O,O,X
ITLSOJZ,O,X,O,X,O,O,X,X
ITLSOZJ,X,X,X,O,X,O,X,X
ITLZJSO,O,X,X,X,X,X,X,X
ITLZJOS,O,X,O,X,X,X,X,X
ITLZSJO,O,X,X,O,X,X,O,X
ITLZSOJ,O,X,X,O,X,X,O,X
ITLZOJS,O,X,O,X,X,X,X,X
ITLZOSJ,O,X,X,O,X,X,X,X
ITLOJSZ,O,X,O,O,O,X,X,X
ITLOJZS,O,X,O,O,X,X,X,X
ITLOSJZ,O,X,O,X,O,O,X,X
ITLOSZJ,X,X,X,O,X,O,X,X
ITLOZJS,O,X,O,X,X,X,X,X
ITLOZSJ,O,X,X,O,X,X,X,X
ITJLSZO,X,X,O,O,O,X,X,X
ITJLSOZ,O,X,O,O,O,X,X,X
ITJLZSO,O,X,X,O,X,X,X,X
ITJLZOS,O,X,O,O,X,X,X,X
ITJLOSZ,O,X,O,O,O,X,X,X
ITJLOZS,O,X,O,O,X,X,X,X
ITJSLZO,X,X,O,X,O,O,X,X
ITJSLOZ,O,X,O,X,O,O,X,X
ITJSZLO,O,X,O,O,O,O,X,X
ITJSZOL,O,X,O,O,O,O,X,X
ITJSOLZ,O,X,O,X,O,O,X,X
ITJSOZL,O,X,O,O,O,O,X,X
ITJZLSO,O,X,X,O,X,X,X,X
ITJZLOS,O,X,O,O,X,X,X,X
ITJZSLO,O,X,O,O,O,X,X,X
ITJZSOL,O,X,O,O,O,X,X,X
ITJZOLS,O,X,O,X,X,X,X,X
ITJZOSL,O,X,O,O,O,X,X,X
ITJOLSZ,O,X,O,X,O,X,X,X
ITJOLZS,O,X,O,X,X,X,X,X
ITJOSLZ,O,X,O,X,O,O,X,X
ITJOSZL,O,X,O,O,O,O,X,X
ITJOZLS,O,X,O,X,X,X,X,X
ITJOZSL,O,X,O,O,O,X,X,X
ITSLJZO,X,X,X,X,O,O,X,X
ITSLJOZ,O,X,O,X,O,O,X,X
ITSLZJO,X,X,X,X,X,O,O,X
ITSLZOJ,X,X,X,X,X,O,O,X
ITSLOJZ,O,X,O,X,O,O,X,X
ITSLOZJ,X,X,X,X,X,O,X,X
ITSJLZO,X,X,O,X,O,O,X,X
ITSJLOZ,O,X,O,X,O,O,X,X
ITSJZLO,O,X,O,X,O,O,X,X
ITSJZOL,O,X,O,X,O,O,X,X
ITSJOLZ,O,X,O,X,O,O,X,X
ITSJOZL,O,X,O,X,O,O,X,X
ITSZLJO,O,X,X,X,X,O,O,X
ITSZLOJ,O,X,X,X,X,O,O,X
ITSZJLO,O,X,X,X,O,O,O,X
ITSZJOL,O,X,X,X,O,O,X,X
ITSZOLJ,O,X,X,X,X,O,O,X
ITSZOJL,O,X,X,X,O,O,X,X
ITSOLJZ,O,X,O,X,O,O,X,X
ITSOLZJ,X,X,X,X,X,O,X,X
ITSOJLZ,O,X,O,X,O,O,X,X
ITSOJZL,O,X,O,X,O,O,X,X
ITSOZLJ,O,X,X,X,X,O,X,X
ITSOZJL,O,X,X,X,O,O,X,X
ITZLJSO,O,X,X,O,X,X,X,X
ITZLJOS,O,X,O,X,X,X,X,X
ITZLSJO,O,X,X,O,X,X,O,X
ITZLSOJ,O,X,X,O,X,X,O,X
ITZLOJS,O,X,O,X,X,X,X,X
ITZLOSJ,O,X,X,O,X,X,X,X
ITZJLSO,O,X,X,O,X,X,X,X
ITZJLOS,O,X,O,O,X,X,X,X
ITZJSLO,O,X,O,O,O,X,X,X
ITZJSOL,O,X,O,O,O,X,X,X
ITZJOLS,O,X,O,X,X,X,X,X
ITZJOSL,O,X,O,O,O,X,X,X
ITZSLJO,O,X,X,X,X,O,O,X
ITZSLOJ,O,X,X,X,X,O,O,X
ITZSJLO,O,X,X,O,O,O,O,X
ITZSJOL,O,X,X,O,O,O,X,X
ITZSOLJ,O,X,X,X,X,O,O,X
ITZSOJL,O,X,X,X,O,O,X,X
ITZOLJS,O,X,O,X,X,X,X,X
ITZOLSJ,O,X,X,O,X,X,X,X
ITZOJLS,O,X,O,X,X,X,X,X
ITZOJSL,O,X,O,O,O,X,X,X
ITZOSLJ,O,X,X,X,X,O,X,X
ITZOSJL,O,X,X,X,O,O,X,X
ITOLJSZ,O,X,O,O,O,X,X,X
ITOLJZS,O,X,O,O,X,X,X,X
ITOLSJZ,O,X,O,X,O,O,X,X
ITOLSZJ,X,X,X,O,X,O,X,X
ITOLZJS,O,X,O,X,X,X,X,X
ITOLZSJ,O,X,X,O,X,X,X,X
ITOJLSZ,O,X,O,X,O,X,X,X
ITOJLZS,O,X,O,X,X,X,X,X
ITOJSLZ,O,X,O,X,O,O,X,X
ITOJSZL,O,X,O,O,O,O,X,X
ITOJZLS,O,X,O,X,X,X,X,X
ITOJZSL,O,X,O,O,O,X,X,X
ITOSLJZ,O,X,O,X,O,O,X,X
ITOSLZJ,X,X,X,X,X,O,X,X
ITOSJLZ,O,X,O,X,O,O,X,X
ITOSJZL,O,X,O,X,O,O,X,X
ITOSZLJ,O,X,X,X,X,O,X,X
ITOSZJL,O,X,X,X,O,O,X,X
ITOZLJS,O,X,O,X,X,X,X,X
ITOZLSJ,O,X,X,O,X,X,X,X
ITOZJLS,O,X,O,X,X,X,X,X
ITOZJSL,O,X,O,O,O,X,X,X
ITOZSLJ,O,X,X,X,X,O,X,X
ITOZSJL,O,X,X,X,O,O,X,X
ILTJSZO,X,O,O,O,O,X,X,X
ILTJSOZ,O,O,O,O,O,X,X,X
ILTJZSO,O,X,X,O,X,X,X,X
ILTJZOS,O,X,O,O,X,X,X,X
ILTJOSZ,O,X,O,O,O,X,X,X
ILTJOZS,O,X,O,O,X,X,X,X
ILTSJZO,X,O,X,X,O,O,X,X
ILTSJOZ,O,O,O,X,O,O,X,X
ILTSZJO,X,O,X,O,X,O,O,X
ILTSZOJ,X,O,X,O,X,O,O,X
ILTSOJZ,O,O,O,X,O,O,X,X
ILTSOZJ,X,X,X,O,X,O,X,X
ILTZJSO,O,O,X,X,X,X,X,X
ILTZJOS,O,X,O,X,X,X,X,X
ILTZSJO,O,O,X,O,X,X,O,X
ILTZSOJ,O,O,X,O,X,X,O,X
ILTZOJS,O,X,O,X,X,X,X,X
ILTZOSJ,O,O,X,O,X,X,X,X
ILTOJSZ,O,X,O,O,O,X,X,X
ILTOJZS,O,X,O,O,X,X,X,X
ILTOSJZ,O,O,O,X,O,O,X,X
ILTOSZJ,X,X,X,O,X,O,X,X
ILTOZJS,O,X,O,X,X,X,X,X
ILTOZSJ,O,X,X,O,X,X,X,X
ILJTSZO,X,X,O,O,X,X,X,X
ILJTSOZ,O,X,O,O,X,X,X,X
ILJTZSO,O,X,X,O,X,X,X,X
ILJTZOS,O,X,O,O,X,X,X,X
ILJTOSZ,O,X,O,O,X,X,X,X
ILJTOZS,O,X,O,O,X,X,X,X
ILJSTZO,X,X,O,O,X,X,X,X
ILJSTOZ,X,X,O,O,X,X,X,X
ILJSZTO,X,X,X,O,X,X,O,X
ILJSZOT,X,X,X,O,O,X,X,X
ILJSOTZ,X,X,O,O,X,X,X,X
ILJSOZT,X,X,X,O,O,X,X,X
ILJZTSO,O,X,X,O,X,X,X,X
ILJZTOS,O,X,X,O,X,X,X,X
ILJZSTO,X,X,X,O,X,X,O,X
ILJZSOT,X,X,X,O,X,X,X,X
ILJZOTS,O,X,X,O,X,X,X,X
ILJZOST,X,X,X,O,X,X,X,X
ILJOTSZ,O,X,O,O,X,X,X,X
ILJOTZS,O,X,O,O,X,X,X,X
ILJOSTZ,X,X,O,O,X,X,X,X
ILJOSZT,X,X,X,O,O,X,X,X
ILJOZTS,O,X,X,O,X,X,X,X
ILJOZST,X,X,X,O,X,X,X,X
ILSTJZO,X,O,X,X,O,O,X,X
ILSTJOZ,X,O,X,X,O,O,X,X
ILSTZJO,X,O,X,O,X,O,O,X
ILSTZOJ,X,O,X,O,X,O,O,X
ILSTOJZ,X,O,X,X,O,O,X,X
ILSTOZJ,X,X,X,O,X,O,X,X
ILSJTZO,X,O,O,O,X,X,X,X
ILSJTOZ,X,O,O,O,X,X,X,X
ILSJZTO,X,O,X,O,X,X,O,X
ILSJZOT,X,O,X,O,O,X,X,X
ILSJOTZ,X,O,O,O,X,X,X,X
ILSJOZT,X,O,X,O,O,X,X,X
ILSZTJO,X,O,X,O,X,X,O,X
ILSZTOJ,X,O,X,O,X,X,O,X
ILSZJTO,X,O,X,O,X,X,O,X
ILSZJOT,X,O,X,O,O,X,X,X
ILSZOTJ,X,X,X,O,X,X,O,X
ILSZOJT,X,O,X,O,O,X,X,X
ILSOTJZ,X,O,X,X,O,O,X,X
ILSOTZJ,X,O,X,O,X,O,X,X
ILSOJTZ,X,O,O,O,X,X,X,X
ILSOJZT,X,O,X,O,O,X,X,X
ILSOZTJ,X,O,X,O,X,X,O,X
ILSOZJT,X,O,X,O,O,X,X,X
ILZTJSO,O,O,X,O,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X
ILZTSJO,O,O,X,O,X,X,O,X
ILZTSOJ,O,O,X,O,X,X,O,X
ILZTOJS,O,X,X,X,X,X,X,X
ILZTOSJ,O,O,X,O,X,X,X,X
ILZJTSO,O,X,X,O,X,X,X,X
ILZJTOS,O,X,X,O,X,X,X,X
ILZJSTO,X,O,X,O,X,X,O,X
ILZJSOT,X,O,X,O,X,X,X,X
ILZJOTS,O,X,X,O,X,X,X,X
ILZJOST,X,X,X,O,X,X,X,X
ILZSTJO,X,O,X,O,X,X,O,X
ILZSTOJ,X,O,X,O,X,X,O,X
ILZSJTO,X,O,X,O,X,X,O,X
ILZSJOT,X,O,X,O,X,X,X,X
ILZSOTJ,X,X,X,O,X,X,O,X
ILZSOJT,X,O,X,O,X,X,X,X
ILZOTJS,O,X,X,X,X,X,X,X
ILZOTSJ,O,X,X,O,X,X,X,X
ILZOJTS,O,X,X,O,X,X,X,X
ILZOJST,X,X,X,O,X,X,X,X
ILZOSTJ,X,X,X,O,X,X,O,X
ILZOSJT,X,O,X,O,X,X,X,X
ILOTJSZ,O,O,O,O,O,X,X,O
ILOTJZS,O,X,O,O,X,X,X,O
ILOTSJZ,O,O,O,X,O,O,X,O
ILOTSZJ,X,O,X,O,X,O,X,X
ILOTZJS,O,O,O,X,X,X,X,O
ILOTZSJ,O,O,X,O,X,X,X,X
ILOJTSZ,O,X,O,O,X,X,X,X
ILOJTZS,O,X,O,O,X,X,X,X
ILOJSTZ,X,X,O,O,X,X,X,X
ILOJSZT,X,X,X,O,O,X,X,X
ILOJZTS,O,X,X,O,X,X,X,X
ILOJZST,X,X,X,O,X,X,X,X
ILOSTJZ,X,O,X,X,O,O,X,X
ILOSTZJ,X,O,X,O,X,O,X,X
ILOSJTZ,X,O,O,O,X,X,X,X
ILOSJZT,X,O,X,O,O,X,X,X
ILOSZTJ,X,O,X,O,X,X,O,X
ILOSZJT,X,O,X,O,O,X,X,X
ILOZTJS,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,X,O,X,X,X,X
ILOZJTS,O,X,X,O,X,X,X,X
ILOZJST,X,O,X,O,X,X,X,X
ILOZSTJ,X,O,X,O,X,X,O,X
ILOZSJT,X,O,X,O,X,X,X,X
IJTLSZO,X,X,O,O,O,X,X,X
IJTLSOZ,O,X,O,O,O,X,X,X
IJTLZSO,O,X,X,O,X,X,X,X
IJTLZOS,O,X,O,O,X,X,X,X
IJTLOSZ,O,X,O,O,O,X,X,X
IJTLOZS,O,X,O,O,X,X,X,X
IJTSLZO,X,X,O,X,O,O,X,X
IJTSLOZ,O,X,O,X,O,O,X,X
IJTSZLO,O,X,O,O,O,O,X,X
IJTSZOL,O,X,O,O,O,O,X,X
IJTSOLZ,O,X,O,X,O,O,X,X
IJTSOZL,O,X,O,O,O,O,X,X
IJTZLSO,O,X,X,O,X,X,X,X
IJTZLOS,O,X,O,O,X,X,X,X
IJTZSLO,O,X,O,O,O,X,X,X
IJTZSOL,O,X,O,O,O,X,X,X
IJTZOLS,O,X,O,X,X,X,X,X
IJTZOSL,O,X,O,O,O,X,X,X
IJTOLSZ,O,X,O,X,O,X,X,X
IJTOLZS,O,X,O,X,X,X,X,X
IJTOSLZ,O,X,O,X,O,O,X,X
IJTOSZL,O,X,O,O,O,O,X,X
IJTOZLS,O,X,O,X,X,X,X,X
IJTOZSL,O,X,O,O,O,X,X,X
IJLTSZO,X,X,O,O,X,X,X,X
IJLTSOZ,O,X,O,O,X,X,X,X
IJLTZSO,O,X,X,O,X,X,X,X
IJLTZOS,O,X,O,O,X,X,X,X
IJLTOSZ,O,X,O,O,X,X,X,X
IJLTOZS,O,X,O,O,X,X,X,X
IJLSTZO,X,X,O,O,X,X,X,X
IJLSTOZ,X,X,O,O,X,X,X,X
IJLSZTO,X,X,X,O,X,X,O,X
IJLSZOT,X,X,X,O,O,X,X,X
IJLSOTZ,X,X,O,O,X,X,X,X
IJLSOZT,X,X,X,O,O,X,X,X
IJLZTSO,O,X,X,O,X,X,X,X
IJLZTOS,O,X,X,O,X,X,X,X
IJLZSTO,X,X,X,O,X,X,O,X
IJLZSOT,X,X,X,O,X,X,X,X
IJLZOTS,O,X,X,O,X,X,X,X
IJLZOST,X,X,X,O,X,X,X,X
IJLOTSZ,O,X,O,O,X,X,X,X
IJLOTZS,O,X,O,O,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X
IJLOSZT,X,X,X,O,O,X,X,X
IJLOZTS,O,X,X,O,X,X,X,X
IJLOZST,X,X,X,O,X,X,X,X
IJSTLZO,X,X,O,X,O,O,X,X
IJSTLOZ,O,X,O,X,O,O,X,X
IJSTZLO,O,X,O,O,O,O,X,X
IJSTZOL,O,X,O,O,O,O,X,X
IJSTOLZ,O,X,O,X,O,O,X,X
IJSTOZL,O,X,O,O,O,O,X,X
IJSLTZO,X,X,O,O,X,X,X,X
IJSLTOZ,X,X,O,O,X,X,X,X
IJSLZTO,X,X,X,O,X,X,O,X
IJSLZOT,X,X,X,O,O,X,X,X
IJSLOTZ,X,X,O,O,X,X,X,X
IJSLOZT,X,X,X,O,O,X,X,X
IJSZTLO,O,X,O,O,X,X,O,X
IJSZTOL,O,X,O,O,O,X,X,X
IJSZLTO,X,X,X,O,X,X,O,X
IJSZLOT,X,X,X,O,O,X,X,X
IJSZOTL,O,X,O,O,O,X,X,X
IJSZOLT,X,X,X,O,O,X,X,X
IJSOTLZ,O,X,O,X,O,O,X,X
IJSOTZL,O,X,O,O,O,O,X,X
IJSOLTZ,X,X,O,X,X,X,X,X
IJSOLZT,X,X,X,O,O,X,X,X
IJSOZTL,O,X,O,O,O,X,X,X
IJSOZLT,X,X,X,O,O,X,X,X
IJZTLSO,O,X,X,O,X,X,X,X
IJZTLOS,O,X,O,O,X,X,X,X
IJZTSLO,O,X,O,O,X,X,X,X
IJZTSOL,O,X,O,O,X,X,X,X
IJZTOLS,O,X,O,X,X,X,X,X
IJZTOSL,O,X,O,O,X,X,X,X
IJZLTSO,O,X,X,O,X,X,X,X
IJZLTOS,O,X,X,O,X,X,X,X
IJZLSTO,X,X,X,O,X,X,O,X
IJZLSOT,X,X,X,O,X,X,X,X
IJZLOTS,O,X,X,O,X,X,X,X
IJZLOST,X,X,X,O,X,X,X,X
IJZSTLO,O,X,O,O,X,X,O,X
IJZSTOL,O,X,O,O,O,X,X,X
IJZSLTO,X,X,X,O,X,X,O,X
IJZSLOT,X,X,X,O,O,X,X,X
IJZSOTL,O,X,O,O,O,X,X,X
IJZSOLT,X,X,X,O,O,X,X,X
IJZOTLS,O,X,O,X,X,X,X,X
IJZOTSL,O,X,O,O,X,X,X,X
IJZOLTS,O,X,X,O,X,X,X,X
IJZOLST,X,X,X,O,X,X,X,X
IJZOSTL,O,X,O,O,O,X,X,X
IJZOSLT,X,X,X,O,O,X,X,X
IJOTLSZ,O,X,O,X,O,X,X,X
IJOTLZS,O,X,O,X,X,X,X,X
IJOTSLZ,O,X,O,X,O,O,X,X
IJOTSZL,O,X,O,O,O,O,X,X
IJOTZLS,O,X,O,X,X,X,X,X
IJOTZSL,O,X,O,O,O,X,X,X
IJOLTSZ,O,X,O,O,X,X,X,X
IJOLTZS,O,X,O,O,X,X,X,X
IJOLSTZ,X,X,O,O,X,X,X,X
IJOLSZT,X,X,X,O,O,X,X,X
IJOLZTS,O,X,X,O,X,X,X,X
IJOLZST,X,X,X,O,X,X,X,X
IJOSTLZ,O,X,O,X,O,O,X,X
IJOSTZL,O,X,O,O,O,O,X,X
IJOSLTZ,X,X,O,X,X,X,X,X
IJOSLZT,X,X,X,O,O,X,X,X
IJOSZTL,O,X,O,O,O,X,X,X
IJOSZLT,X,X,X,O,O,X,X,X
IJOZTLS,O,X,O,X,X,X,X,X
IJOZTSL,O,X,O,O,X,X,X,X
IJOZLTS,O,X,X,O,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,X
IJOZSTL,O,X,O,O,O,X,X,X
IJOZSLT,X,X,X,O,O,X,X,X
ISTLJZO,X,X,O,X,O,O,X,X
ISTLJOZ,O,X,O,X,O,O,X,X
ISTLZJO,X,X,X,X,X,O,O,X
ISTLZOJ,X,X,X,X,X,O,O,X
ISTLOJZ,O,X,O,X,O,O,X,X
ISTLOZJ,X,X,X,X,X,O,X,X
ISTJLZO,X,X,O,X,O,O,X,X
ISTJLOZ,O,X,O,X,O,O,X,X
ISTJZLO,O,X,O,X,O,O,X,X
ISTJZOL,O,X,O,X,O,O,X,X
ISTJOLZ,O,X,O,X,O,O,X,X
ISTJOZL,O,X,O,X,O,O,X,X
ISTZLJO,O,X,X,X,X,O,O,X
ISTZLOJ,O,X,X,X,X,O,O,X
ISTZJLO,O,X,X,X,O,O,O,X
ISTZJOL,O,X,X,X,O,O,X,X
ISTZOLJ,O,X,X,X,X,O,O,X
ISTZOJL,O,X,X,X,O,O,X,X
ISTOLJZ,O,X,O,X,O,O,X,X
ISTOLZJ,X,X,X,X,X,O,X,X
