sequence,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFRhBFlB8qBGnBTp?B3rB,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFGhB/nBRlBTpB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFThB/nBOpB8pBqq?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Je2EJvhFRgBSmB/nBTpB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Jel/IvhFRhBKpBXlB8qB+r?BTsB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhF8lBumBikBTnB3p?BVwB,v115@EhC8HeB8HeB8BeA8CeD8JeZEJvhFzfBWmB/nB0mBCq?BVwB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFlhBKpBWqB/rBTn?B0qB,v115@EhC8HeB8HeB8BeA8CeD8Jex/IvhFlhBikBUmBTnB3p?BWwB,v115@EhC8HeB8HeB8BeA8CeD8JeZEJvhFSlBThB/nBupB0q?BlrB,v115@EhC8HeB8HeB8BeA8CeD8Je2EJvhFUiBFmBxpBCsB3p?BzqB,v115@EhC8HeB8HeB8BeA8CeD8JeRBJvhF/pBFlB8qB+rBTn?BipB,v115@EhC8HeB8HeB8BeA8CeD8JeOEJvhFzhBRlBSsB3pBUr?BlqB,v115@EhC8HeB8HeB8BeA8CeD8Jei/IvhFXhBVnBUlBTpBxr?BWwB,v115@EhC8HeB8HeB8BeA8CeD8JeXAJvhF8lBVnB2pBxrBTp?BSwB
IZTLSJO,O,O,O,X,O,X,O,X,X,O,X,X,X,X,O
IZTLSOJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IZTLOJS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTJLOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTJSLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTJSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTJOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTSLJO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O
IZTSLOJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZTSJLO,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O
IZTSJOL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
IZTSOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZTSOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
IZTOLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLTJSO,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZLTJOS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLTSJO,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
IZLTSOJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IZLTOJS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O
IZLJTOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLJSTO,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O
IZLJSOT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLJOST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,O,O,X,O,X,X,X,X,O,O,X,O,X,O
IZLSTOJ,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
IZLSJTO,X,O,O,X,O,X,X,X,X,O,O,X,O,X,O
IZLSJOT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
IZLSOTJ,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
IZLSOJT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOTJS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLOTSJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLOJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJTLSO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IZJTLOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IZJTSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJTOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJLTSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O
IZJLTOS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJLSTO,X,O,O,O,O,X,X,X,X,O,O,X,X,X,O
IZJLSOT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJLOST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O
IZJSTOL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZJSLTO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O
IZJSLOT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJSOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJOLTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJOSLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,O,O,O,X,X,O,X,X,O,X,X,O,X,O
IZSTLOJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X
IZSTJLO,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O
IZSTJOL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSTOLJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSTOJL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSLTJO,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O
IZSLTOJ,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
IZSLJTO,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O
IZSLJOT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSLOTJ,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X
IZSLOJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZSJTLO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O
IZSJTOL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSJLTO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O
IZSJLOT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSJOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSJOLT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSOTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOTJL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSOLTJ,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
IZSOLJT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZSOJTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOJLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOTLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOTSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOLTJS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZOLTSJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IZOLJTS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLJST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,O,X,O,X,X,X,X,O,X,X,X,O,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOJTSL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZOJLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOJLST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOJSLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IZOSTJL,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O
IZOSLTJ,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X
IZOSLJT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOSJLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X
IOTLSJZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IOTLZJS,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X
IOTLZSJ,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X
IOTJLSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
IOTJSLZ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTJSZL,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IOTJZLS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IOTJZSL,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
IOTSLJZ,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,O,O,O,O,X,X,X,X,O,X
IOTSJLZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IOTSZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZLJS,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZJLS,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZJSL,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IOTZSLJ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZSJL,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IOLTJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOLTSJZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLTZJS,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOLTZSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJTSZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOLJSTZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLJSZT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOLJZTS,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOLJZST,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOLSTJZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLSJTZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOLZTSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLZJTS,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOLZJST,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOJTSLZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOJTZLS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOJTZSL,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOJLTSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IOJLSTZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOJLZTS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IOJLZST,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
IOJSTLZ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOJSTZL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJSLTZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
IOJSLZT,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOJSZTL,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOJSZLT,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOJZTLS,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
IOJZTSL,O,X,X,O,X,X,X,X,O,X,X,O,X,O,O
IOJZLTS,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
IOJZLST,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
IOJZSTL,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O
IOJZSLT,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOSTLJZ,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
IOSTLZJ,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X
IOSTJLZ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X
IOSTZLJ,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X
IOSTZJL,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X
IOSLTJZ,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,O,X,O,O,X,X,X,X,O,X
IOSLJTZ,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IOSLJZT,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IOSLZTJ,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X
IOSLZJT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJTLZ,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSJTZL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOSJLTZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
IOSJLZT,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOSJZTL,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOSJZLT,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOSZTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOSZTJL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOSZLTJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOSZLJT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSZJLT,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZTLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IOZTSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IOZLTJS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLJTS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZLJST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZJTSL,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOZJLTS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZJLST,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
IOZJSTL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O
IOZJSLT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
IOZSTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZSTJL,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O
IOZSLTJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZSLJT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O
IOZSJLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
LTIJSZO,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTIJSOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTIJZOS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTISJZO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTISJOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTISZJO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTISZOJ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LTISOJZ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LTISOZJ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LTIZJSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTIZJOS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTIZSJO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTIZSOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTIZOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTIOSJZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOZJS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTJISOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTJIZOS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LTJIOSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTJSIZO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJSZIO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
LTJSZOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJSOZI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
LTJZIOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
LTJZSIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJZOSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJOIZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJOZIS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTJOZSI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIJZO,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
LTSIJOZ,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
LTSIZJO,O,X,O,X,O,O,O,O,X,X,O,X,X,X,X
LTSIZOJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X
LTSIOJZ,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
LTSIOZJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
LTSJIZO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
LTSJIOZ,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
LTSJZIO,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X
LTSJZOI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTSJOIZ,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
LTSJOZI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTSZIJO,O,X,O,X,O,O,O,O,X,X,O,X,O,X,X
LTSZIOJ,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X
LTSZJIO,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X
LTSZJOI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTSZOIJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTSZOJI,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTSOIJZ,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
LTSOIZJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
LTSOJIZ,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
LTSOJZI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTSOZIJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTSOZJI,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTZIJSO,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
LTZIJOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
LTZISJO,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
LTZISOJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
LTZIOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZJISO,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
LTZJIOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
LTZJSIO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
LTZJSOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X
LTZSIOJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTZSJIO,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTZSJOI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTZSOIJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTZSOJI,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X
LTZOIJS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X
LTZOISJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZOJSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZOSIJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTZOSJI,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X
LTOIJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTOIJZS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTOISJZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTOISZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOIZJS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTOIZSJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTOJIZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTOJSIZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X
LTOJSZI,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X
LTOJZIS,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
LTOJZSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
