sequence,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFuiBcjB?lgBanBXmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBSjB?lhBzlBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhF3dBcjB?6lBOmBFnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFSiBTeB?lgBXmBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Jex9IvhFlgBcmB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFGeBlgB?UiBXmBysBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBcjB?lhBzlB2sBqsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeZCJvhFWjBlgB?cmBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR9IvhFSjBlgB?3hBmnBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF1hBxdB?SnBOoBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JelAJvhFcmBxiB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je+BJvhFlgBxiB?inBzlBXoB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFlgBXmB?inBcoBGnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeWCJvhFcjBlgB?xmBzlB/sBatB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSCJvhFlgBOoB?xmBzlBUnBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeG8IvhFZiBCeB?VmBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeF8IvhFxdBSmB?OnBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSDJvhFlgBxmB?8sBfnBzlBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je1AJvhF6hBZiB?cjBzlBftBusB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JecDJvhFlgBxmB?fnBqsBzqBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF0hB5nB?OoBzlBanBFtB
TLIJZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLIJOZS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLISJZO,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLISJOZ,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLISZJO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZJSO,O,O,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,O,X
TLIZJOS,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
TLIZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLIZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLIOJSZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLIOJZS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLIOZJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLJISOZ,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLJIZSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TLJIZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLJIOZS,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJSIZO,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJSIOZ,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJSZIO,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJSZOI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLJSOZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X
TLJZIOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TLJZSOI,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJOIZS,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLJOZIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSIJZO,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TLSIZJO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
TLSIOZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TLSJIOZ,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TLSJZIO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
