sequence,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFuiBcjB?lgBanBXmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBSjB?lhBzlBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhF3dBcjB?6lBOmBFnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFSiBTeB?lgBXmBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Jex9IvhFlgBcmB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFGeBlgB?UiBXmBysBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBcjB?lhBzlB2sBqsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeZCJvhFWjBlgB?cmBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR9IvhFSjBlgB?3hBmnBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF1hBxdB?SnBOoBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JelAJvhFcmBxiB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je+BJvhFlgBxiB?inBzlBXoB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFlgBXmB?inBcoBGnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeWCJvhFcjBlgB?xmBzlB/sBatB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSCJvhFlgBOoB?xmBzlBUnBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeG8IvhFZiBCeB?VmBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeF8IvhFxdBSmB?OnBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSDJvhFlgBxmB?8sBfnBzlBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je1AJvhF6hBZiB?cjBzlBftBusB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JecDJvhFlgBxmB?fnBqsBzqBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF0hB5nB?OoBzlBanBFtB
ZLSJITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLSJIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLSJOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLSJOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLSOTIJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZLSOTJI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLSOITJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZLSOIJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSOJIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTISJ,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
ZLOTJIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOTJSI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X
ZLOTSIJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
ZLOTSJI,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X
ZLOITJS,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
ZLOIJTS,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOIJST,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOISTJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOISJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJTIS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJTSI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJITS,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJIST,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJSTI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJSIT,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLOSTIJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
ZLOSTJI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X
ZLOSITJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
ZLOSIJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJTI,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOSJIT,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTILSO,O,O,O,O,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,O,X
ZJTILOS,O,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
ZJTISLO,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,O,X
ZJTISOL,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJTIOLS,O,O,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJTIOSL,X,O,O,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJTLISO,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
ZJTLIOS,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJTLSIO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLSOI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLOIS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLOSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSILO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSIOL,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSLIO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSLOI,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSOIL,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOILS,O,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJTOISL,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJTOLIS,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOLSI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOSIL,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOSLI,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJITLSO,O,O,O,O,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,O,X
ZJITLOS,O,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
ZJITSLO,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,O,X
ZJITSOL,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJITOLS,O,O,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJITOSL,X,O,O,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJILTSO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,O,X,O,O,X,X,X
ZJILTOS,O,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
ZJILSTO,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJILSOT,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJILOTS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJILOST,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISTLO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJISTOL,O,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJISLTO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISLOT,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISOTL,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISOLT,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOTLS,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJIOTSL,X,O,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJIOLTS,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJIOLST,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJIOSTL,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJIOSLT,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJLTISO,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X
ZJLTIOS,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJLTSIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJLTSOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLTOIS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLTOSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLITSO,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X
ZJLITOS,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJLISTO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLISOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLIOTS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLIOST,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJLSTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJLSITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJLSIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJLSOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJLSOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJLOTIS,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOTSI,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOITS,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOIST,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOSTI,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOSIT,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTIOL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTLOI,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTOIL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSITLO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSITOL,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSILTO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSILOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSIOTL,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJSIOLT,X,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSLTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSLITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSLIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSLOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSLOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSOTIL,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJSOTLI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJSOITL,X,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJSOILT,X,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOLTI,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOLIT,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOTILS,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZJOTISL,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZJOTLIS,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOTLSI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJOTSIL,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O
ZJOTSLI,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJOITLS,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZJOITSL,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZJOILTS,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJOILST,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJOISTL,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJOISLT,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJOLTIS,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLTSI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLITS,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJOLIST,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ZJOLSTI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLSIT,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ZJOSTIL,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O
ZJOSTLI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJOSITL,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O
ZJOSILT,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ZJOSLTI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSLIT,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ZSTILJO,O,O,O,O,X,O,X,X,O,X,O,X,O,X,X,O,X,O,X,O,X
ZSTILOJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X
ZSTIJLO,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
ZSTIJOL,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
ZSTIOLJ,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X
ZSTIOJL,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
ZSTLIJO,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X
ZSTLIOJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
ZSTLJIO,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSTLJOI,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLOIJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTJILO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSTJIOL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJLIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSTJLOI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSTOIJL,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSTOLIJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSTOLJI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSTOJIL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSTOJLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSITLJO,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X
ZSITLOJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
ZSITJLO,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
ZSITJOL,O,O,X,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
ZSITOLJ,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X
ZSITOJL,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
ZSILTJO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X
ZSILTOJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ZSILJTO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSILOJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSIJTOL,O,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSIJLTO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSIJOLT,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOTJL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOLTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOLJT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOJLT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X
ZSLTIOJ,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
ZSLTJIO,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
ZSLTJOI,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSLTOIJ,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSLTOJI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSLITJO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X
ZSLITOJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ZSLIJTO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIJOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOTJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSLIOJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLOTIJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSLOTJI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSLOITJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSLOIJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTIOL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTLIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTLOI,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTOIL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJITLO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJITOL,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJILTO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJILOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJIOTL,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSJIOLT,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSJLTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJOTIL,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSJOTLI,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSJOITL,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSJOILT,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSJOLTI,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSJOLIT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSOTILJ,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
