sequence,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxdBlhB3iBu?qBirB0rB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxcBXeBuqBF?nB0rBirB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex8IvhFXeBlgBUiBO?rB6qBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je08IvhFxdBlgB3iBO?rB6qBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jei7IvhF3cBFeB5lBT?iB0mB2wB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxcBXeBFnBC?rBUrBmrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex7IvhFXeB0gBFnBC?rBOsBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8JeT7IvhFxdBlhB3iBq?qB2rB0rB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex9IvhF0gBlhB3iB6?qBmrBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jex9IvhF0gBlhB3iB6?qBOrBzrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Jei7IvhFchBXeB5lBF?nBTrBOsB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je08IvhFXeBlgBxmB6?qBOsBTrB,v115@zgB8HeB8GeD8EeE8DeF8DeC8Je/AJvhFchBxdBFnBG?rBisBzqB
TSIJZOL,O,O,O,O,O,X,X,X,O,O,X,O,X
TSIJOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
TSIZLJO,X,X,X,X,X,X,O,X,O,O,X,O,X
TSIZLOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
TSIZJLO,X,O,O,O,X,X,X,X,O,O,X,O,X
TSIZJOL,X,O,O,O,X,X,X,X,O,O,X,O,X
TSIZOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
TSIZOJL,O,O,O,X,X,X,X,X,O,O,X,O,X
TSIOLJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSIOLZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
TSIOJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
TSIOZLJ,X,X,X,X,O,X,X,X,O,O,O,O,X
TSIOZJL,O,O,O,O,X,X,X,X,O,O,O,O,X
TSLIJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
TSLIJOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSLIZJO,X,X,X,X,X,O,O,X,O,O,X,O,X
TSLIZOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
TSLIOJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSLIOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
TSLJIZO,O,X,X,O,O,X,X,O,X,X,X,X,X
TSLJIOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSLJZIO,O,O,O,O,O,O,O,O,X,X,X,X,O
TSLJZOI,O,O,O,O,O,O,O,O,X,X,X,X,O
TSLJOIZ,O,O,X,O,O,O,X,O,X,X,X,X,X
TSLJOZI,O,O,X,O,O,O,X,O,X,X,X,X,X
TSLZIJO,X,X,X,X,X,O,O,X,O,O,X,O,X
TSLZIOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
TSLZJIO,X,O,O,X,X,O,O,X,O,O,X,X,X
TSLZJOI,X,O,O,X,X,O,O,X,O,O,X,X,X
TSLZOIJ,X,X,X,X,X,O,O,O,O,O,X,X,X
TSLZOJI,X,X,O,X,X,O,O,O,O,O,X,X,X
TSLOIJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSLOIZJ,X,X,X,X,O,O,X,O,X,X,O,O,X
TSLOJIZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSLOJZI,O,O,X,X,O,O,X,O,X,X,X,X,X
TSLOZIJ,X,X,X,X,O,O,O,O,X,X,O,O,X
TSLOZJI,X,X,O,X,O,O,O,O,X,X,X,X,X
TSJILZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TSJILOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSJIZLO,X,O,O,O,O,X,X,X,O,O,X,O,O
TSJIZOL,O,O,O,O,O,X,X,X,O,O,X,O,X
TSJIOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSJIOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
TSJLIZO,O,X,X,O,O,X,X,X,O,X,X,X,X
TSJLIOZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSJLZIO,O,O,O,O,O,O,O,X,O,X,X,X,O
TSJLZOI,O,O,O,O,O,O,O,X,O,X,X,X,O
TSJLOIZ,O,O,X,O,O,O,X,O,X,X,X,X,X
TSJLOZI,O,O,X,O,O,O,X,O,X,X,X,X,X
TSJZILO,X,O,O,O,O,X,X,X,O,O,X,O,O
TSJZIOL,O,O,O,O,O,X,X,X,O,O,X,O,X
TSJZLIO,X,O,O,O,O,X,O,X,O,O,X,X,O
TSJZLOI,X,O,O,O,O,X,O,X,O,O,X,X,O
TSJZOIL,O,O,O,O,O,X,X,X,O,O,X,X,X
TSJZOLI,O,O,O,O,O,X,X,X,O,O,X,X,O
TSJOILZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSJOIZL,O,O,X,O,O,X,X,X,O,X,O,O,X
TSJOLIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSJOLZI,O,O,X,O,O,X,X,X,X,X,X,X,X
TSJOZIL,O,O,O,O,O,X,X,X,O,X,O,O,X
TSJOZLI,O,O,O,O,O,X,X,X,O,X,X,X,O
TSZILJO,X,X,X,X,X,X,O,X,O,O,X,O,X
TSZILOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
TSZIJLO,X,O,O,O,X,X,X,X,O,O,X,O,X
TSZIJOL,X,O,O,O,X,X,X,X,O,O,X,O,X
TSZIOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
TSZIOJL,O,O,O,X,X,X,X,X,O,O,X,O,X
TSZLIJO,X,X,X,X,X,O,O,X,O,O,X,O,X
TSZLIOJ,X,X,X,X,X,O,O,O,O,O,X,O,X
TSZLJIO,X,O,O,X,X,O,O,X,O,O,X,X,X
TSZLJOI,X,O,O,X,X,O,O,X,O,O,X,X,X
TSZLOIJ,X,X,X,X,X,O,O,O,O,O,X,X,X
TSZLOJI,X,X,O,X,X,O,O,O,O,O,X,X,X
TSZJILO,X,O,O,O,X,X,X,X,O,O,X,O,O
TSZJIOL,X,O,O,O,X,X,X,X,O,O,X,O,X
TSZJLIO,X,O,O,O,X,X,O,X,O,O,X,X,O
TSZJLOI,X,O,O,O,X,X,O,X,O,O,X,X,O
TSZJOIL,X,O,O,O,X,X,X,X,O,O,X,X,X
TSZJOLI,X,O,O,O,X,X,X,X,O,O,X,X,O
TSZOILJ,X,X,X,X,X,X,X,X,O,O,O,O,X
TSZOIJL,O,O,O,X,X,X,X,X,O,O,O,O,X
TSZOLIJ,X,X,X,X,X,X,O,X,O,O,O,O,X
TSZOLJI,X,X,O,X,X,X,O,X,O,O,X,X,X
TSZOJIL,O,O,O,X,X,X,X,X,O,O,O,O,X
TSZOJLI,O,O,O,X,X,X,X,X,O,O,X,X,X
TSOILJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSOILZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
TSOIJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSOIJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
TSOIZLJ,X,X,X,X,O,X,X,X,O,O,O,O,X
TSOIZJL,O,O,O,O,X,X,X,X,O,O,O,O,X
TSOLIJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSOLIZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
TSOLJIZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TSOLJZI,O,O,X,X,O,O,X,O,X,X,X,X,X
TSOLZIJ,X,X,X,X,O,O,O,O,X,O,O,O,X
TSOLZJI,X,X,O,X,O,O,O,O,X,O,X,X,X
TSOJILZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSOJIZL,O,O,O,O,O,X,X,X,X,O,O,O,X
TSOJLIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,O,O,X,X,X,X,X,X,X,X
TSOJZIL,O,O,O,O,O,X,X,X,X,O,O,O,X
TSOJZLI,O,O,O,O,O,X,X,X,X,O,X,X,O
TSOZILJ,X,X,X,X,O,X,X,X,O,O,O,O,X
TSOZIJL,O,O,O,O,X,X,X,X,O,O,O,O,X
TSOZLIJ,X,X,X,X,O,X,O,X,O,O,O,O,X
TSOZLJI,X,X,O,X,O,X,O,X,O,O,X,X,X
TSOZJIL,O,O,O,O,O,X,X,X,O,O,O,O,X
TSOZJLI,O,O,O,O,O,X,X,X,O,O,X,X,X
TZILJSO,X,X,X,X,O,X,O,X,X,X,X,X,X
TZILJOS,X,X,X,X,O,X,O,X,X,X,X,X,X
TZILSJO,X,X,X,X,X,X,O,X,X,X,X,O,X
TZILSOJ,X,X,X,X,X,X,O,X,X,X,X,O,X
TZILOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
TZILOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
TZIJLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
TZIJLOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZIJSLO,X,O,O,X,O,X,X,X,O,X,X,O,X
TZIJSOL,X,O,O,X,O,X,X,X,O,X,X,O,X
TZIJOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZIJOSL,X,O,O,X,O,X,X,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X,O,X,O,O,X,O,X
TZISLOJ,X,X,X,X,X,X,O,X,O,O,X,O,X
TZISJLO,X,O,O,X,X,X,X,X,O,O,X,O,X
TZISJOL,X,O,O,X,X,X,X,X,O,O,X,O,X
TZISOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
TZISOJL,X,X,O,X,X,X,X,X,O,O,X,O,X
TZIOLJS,X,X,X,X,O,X,X,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,O,X,X,X,X,X,X,O,X
TZIOJLS,X,X,X,X,O,X,X,X,X,X,X,X,X
TZIOJSL,X,X,X,X,O,X,X,X,X,X,X,O,X
TZIOSLJ,X,X,X,X,O,X,X,X,X,X,X,O,X
TZIOSJL,X,X,X,X,X,X,X,X,X,X,X,O,X
TZLIJSO,X,X,X,X,O,O,O,X,X,X,X,X,X
TZLIJOS,X,X,X,X,O,O,O,X,X,X,X,X,X
TZLISJO,X,X,X,X,X,O,O,X,X,X,X,O,X
TZLISOJ,X,X,X,X,X,O,O,X,X,X,X,O,X
TZLIOJS,X,X,X,X,O,O,O,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,O,O,O,X,X,X,X,X,X
TZLJISO,X,O,X,X,O,O,O,X,X,X,X,X,X
TZLJIOS,X,O,X,X,O,O,O,X,X,X,X,X,X
TZLJSIO,X,O,X,X,O,O,O,X,X,X,X,X,X
TZLJSOI,X,O,X,X,O,O,O,X,X,X,X,X,X
TZLJOIS,X,O,X,X,O,O,O,X,X,X,X,X,X
TZLJOSI,X,O,X,X,O,O,O,X,X,X,X,X,X
TZLSIJO,X,X,X,X,X,O,O,X,O,O,X,O,X
TZLSIOJ,X,X,X,X,X,O,O,X,O,O,X,O,X
TZLSJIO,X,O,O,X,X,O,O,X,O,O,X,X,X
TZLSJOI,X,O,O,X,X,O,O,X,O,O,X,X,X
TZLSOIJ,X,X,X,X,X,O,O,X,O,O,X,X,X
TZLSOJI,X,X,O,X,X,O,O,X,O,O,X,X,X
TZLOIJS,X,X,X,X,O,O,O,X,X,X,X,X,X
TZLOISJ,X,X,X,X,O,O,O,X,X,X,X,X,X
TZLOJIS,X,X,X,X,X,O,O,X,X,X,X,X,X
TZLOJSI,X,X,X,X,O,O,O,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,O,O,O,X,X,X,X,X,X
TZLOSJI,X,X,X,X,O,O,O,X,X,X,X,X,X
TZJILSO,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJILOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJISLO,X,O,O,O,O,X,X,X,O,X,X,O,O
TZJISOL,X,O,O,O,O,X,X,X,O,X,X,O,X
TZJIOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJIOSL,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJLISO,X,O,O,X,O,X,O,X,X,X,X,X,X
TZJLIOS,X,O,X,X,O,X,O,X,X,X,X,X,X
TZJLSIO,X,O,O,O,O,X,O,X,O,X,X,X,O
TZJLSOI,X,O,O,O,O,X,O,X,O,X,X,X,O
TZJLOIS,X,O,X,X,O,X,O,X,X,X,X,X,X
TZJLOSI,X,O,X,X,O,X,O,X,X,X,X,X,X
TZJSILO,X,O,O,O,O,X,X,X,O,O,X,O,O
TZJSIOL,X,O,O,O,O,X,X,X,O,O,X,O,X
TZJSLIO,X,O,O,O,O,X,O,X,O,O,X,X,O
TZJSLOI,X,O,O,O,O,X,O,X,O,O,X,X,O
TZJSOIL,X,O,O,O,O,X,X,X,O,O,X,X,X
TZJSOLI,X,O,O,O,O,X,X,X,O,O,X,X,O
TZJOILS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJOISL,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJOLIS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJOLSI,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJOSIL,X,O,O,O,O,X,X,X,O,X,X,X,X
TZJOSLI,X,O,O,O,O,X,X,X,O,X,X,X,O
TZSILJO,X,X,X,X,X,X,O,X,O,O,X,O,X
TZSILOJ,X,X,X,X,X,O,O,X,O,O,X,O,X
TZSIJLO,X,O,O,X,X,X,X,X,O,O,X,O,X
TZSIJOL,X,O,O,X,X,X,X,X,O,O,X,O,X
TZSIOLJ,X,X,X,X,X,X,X,X,O,O,X,O,X
TZSIOJL,X,O,O,X,X,X,X,X,O,O,X,O,X
TZSLIJO,X,X,X,X,X,O,O,X,O,O,X,O,X
TZSLIOJ,X,X,X,X,X,O,O,X,O,O,X,O,X
TZSLJIO,X,O,O,X,X,O,O,X,O,O,X,X,X
TZSLJOI,X,O,O,X,X,O,O,X,O,O,X,X,X
TZSLOIJ,X,X,X,X,X,O,O,X,O,O,X,X,X
TZSLOJI,X,X,O,X,X,O,O,X,O,O,X,X,X
TZSJILO,X,O,O,O,X,X,X,X,O,O,X,O,O
TZSJIOL,X,O,O,O,X,X,X,X,O,O,X,O,X
TZSJLIO,X,O,O,O,X,X,O,X,O,O,X,X,O
TZSJLOI,X,O,O,O,X,X,O,X,O,O,X,X,O
TZSJOIL,X,O,O,O,X,X,X,X,O,O,X,X,X
TZSJOLI,X,O,O,O,X,X,X,X,O,O,X,X,O
TZSOILJ,X,X,X,X,X,X,X,X,O,O,O,O,X
TZSOIJL,X,O,O,X,X,X,X,X,O,O,O,O,X
TZSOLIJ,X,X,X,X,X,X,O,X,O,O,O,O,X
TZSOLJI,X,X,O,X,X,X,O,X,O,O,X,X,X
TZSOJIL,X,O,O,X,X,X,X,X,O,O,O,O,X
TZSOJLI,X,O,O,X,X,X,X,X,O,O,X,X,X
TZOILJS,X,X,X,X,O,X,X,X,X,X,O,X,X
TZOILSJ,X,X,X,X,O,X,X,X,X,X,O,O,X
TZOIJLS,X,X,O,X,O,X,X,X,X,X,O,X,X
TZOIJSL,X,X,O,X,O,X,X,X,X,X,O,O,X
TZOISLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TZOISJL,X,X,O,X,X,X,X,X,X,O,O,O,X
TZOLIJS,X,X,X,X,O,X,O,X,X,X,O,X,X
TZOLISJ,X,X,X,X,O,X,O,X,X,X,O,O,X
TZOLJIS,X,X,X,X,X,X,O,X,X,X,X,X,X
TZOLJSI,X,X,X,X,O,X,O,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,O,X,O,X,X,O,O,O,X
TZOLSJI,X,X,O,X,O,X,O,X,X,O,X,X,X
TZOJILS,X,O,O,X,O,X,X,X,X,X,O,X,X
TZOJISL,X,O,O,X,O,X,X,X,X,X,O,O,X
TZOJLIS,X,O,O,X,X,X,X,X,X,X,X,X,X
TZOJLSI,X,O,O,X,O,X,X,X,X,X,X,X,X
TZOJSIL,X,O,O,X,O,X,X,X,X,O,O,O,X
TZOJSLI,X,O,O,X,O,X,X,X,X,O,X,X,X
TZOSILJ,X,X,X,X,O,X,X,X,O,O,O,O,X
TZOSIJL,X,O,O,X,X,X,X,X,O,O,O,O,X
TZOSLIJ,X,X,X,X,O,X,O,X,O,O,O,O,X
TZOSLJI,X,X,O,X,O,X,O,X,O,O,X,X,X
TZOSJIL,X,O,O,X,O,X,X,X,O,O,O,O,X
TZOSJLI,X,O,O,X,O,X,X,X,O,O,X,X,X
TOILJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOILJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TOILSJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOILSZJ,X,X,X,X,O,X,X,O,X,X,O,O,X
TOILZJS,X,X,X,X,O,X,X,X,X,X,O,X,X
TOILZSJ,X,X,X,X,O,X,X,X,X,X,O,O,X
TOIJLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TOIJLZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TOIJSZL,O,O,X,X,O,X,X,X,X,X,O,O,X
TOIJZLS,X,O,X,X,O,X,X,X,X,X,O,X,X
TOIJZSL,X,O,X,X,O,X,X,X,X,X,O,O,X
TOISLJZ,O,O,X,X,O,X,X,O,X,X,X,X,X
TOISLZJ,X,X,X,X,O,X,X,O,X,O,O,O,X
TOISJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TOISJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
TOISZLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TOISZJL,O,O,O,O,X,X,X,X,X,O,O,O,X
TOIZLJS,X,X,X,X,O,X,X,X,X,X,O,X,X
TOIZLSJ,X,X,X,X,O,X,X,X,X,X,O,O,X
TOIZJLS,X,X,X,X,O,X,X,X,X,X,O,X,X
TOIZJSL,X,X,X,X,O,X,X,X,X,X,O,O,X
TOIZSLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TOIZSJL,X,X,O,X,X,X,X,X,X,O,O,O,X
TOLIJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOLIJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TOLISJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
TOLISZJ,X,X,X,X,O,O,X,O,X,X,O,O,X
TOLIZJS,X,X,X,X,O,O,X,X,X,X,O,X,X
TOLIZSJ,X,X,X,X,O,O,X,X,X,X,O,O,X
TOLJISZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOLJIZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TOLJSIZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TOLJSZI,X,O,X,X,O,O,X,O,X,X,X,X,X
TOLJZIS,X,O,X,X,O,O,X,X,X,X,X,X,X
TOLJZSI,X,O,X,X,O,O,X,O,X,X,X,X,X
TOLSIJZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TOLSIZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
TOLSJIZ,X,O,X,X,O,O,X,O,X,X,X,X,X
TOLSJZI,X,O,X,X,O,O,X,O,X,X,X,X,X
TOLSZIJ,X,X,X,X,O,O,O,O,X,O,O,O,X
TOLSZJI,X,X,O,X,O,O,O,O,X,O,X,X,X
TOLZIJS,X,X,X,X,O,O,O,X,X,X,O,X,X
TOLZISJ,X,X,X,X,O,O,O,X,X,X,O,O,X
TOLZJIS,X,X,X,X,X,O,O,X,X,X,X,X,X
TOLZJSI,X,X,X,X,O,O,O,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,O,O,O,X,X,O,O,O,X
TOLZSJI,X,X,O,X,O,O,O,X,X,O,X,X,X
TOJILSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TOJILZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TOJISLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TOJISZL,O,O,O,O,O,X,X,X,X,X,O,O,X
TOJIZLS,X,O,O,X,O,X,X,X,X,X,O,X,X
TOJIZSL,X,O,O,O,O,X,X,X,X,X,O,O,X
TOJLISZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TOJLIZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TOJLSIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TOJLSZI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOJLZIS,X,O,O,X,O,X,X,X,X,X,X,X,X
TOJLZSI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOJSILZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TOJSIZL,O,O,O,O,O,X,X,X,X,O,O,O,X
TOJSLIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TOJSLZI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOJSZIL,O,O,O,O,O,X,X,X,X,O,O,O,X
TOJSZLI,O,O,O,O,O,X,X,X,X,O,X,X,O
TOJZILS,X,O,O,X,O,X,X,X,X,X,O,X,X
TOJZISL,X,O,O,O,O,X,X,X,X,X,O,O,X
TOJZLIS,X,O,O,X,O,X,X,X,X,X,X,X,X
TOJZLSI,X,O,O,O,O,X,X,X,X,X,X,X,X
TOJZSIL,O,O,O,O,O,X,X,X,X,O,O,O,X
TOJZSLI,O,O,O,O,O,X,X,X,X,O,X,X,O
TOSILJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TOSILZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
TOSIJLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TOSIJZL,O,O,X,O,O,X,X,X,X,O,O,O,X
TOSIZLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TOSIZJL,O,O,O,O,X,X,X,X,X,O,O,O,X
TOSLIJZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TOSLIZJ,X,X,X,X,O,O,X,O,X,O,O,O,X
TOSLJIZ,O,O,X,X,O,O,X,O,X,X,X,X,X
TOSLJZI,O,O,X,X,O,O,X,O,X,X,X,X,X
TOSLZIJ,X,X,X,X,O,O,O,O,X,O,O,O,X
TOSLZJI,X,X,O,X,O,O,O,O,X,O,X,X,X
TOSJILZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TOSJIZL,O,O,O,O,O,X,X,X,X,O,O,O,X
TOSJLIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TOSJLZI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOSJZIL,O,O,O,O,O,X,X,X,X,O,O,O,X
TOSJZLI,O,O,O,O,O,X,X,X,X,O,X,X,O
TOSZILJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TOSZIJL,O,O,O,O,X,X,X,X,X,O,O,O,X
TOSZLIJ,X,X,X,X,O,X,O,X,X,O,O,O,X
TOSZLJI,X,X,O,X,O,X,O,X,X,O,X,X,X
TOSZJIL,O,O,O,O,O,X,X,X,X,O,O,O,X
TOSZJLI,O,O,O,O,O,X,X,X,X,O,X,X,X
TOZILJS,X,X,X,X,O,X,X,X,X,X,O,X,X
TOZILSJ,X,X,X,X,O,X,X,X,X,X,O,O,X
TOZIJLS,X,X,O,X,O,X,X,X,X,X,O,X,X
TOZIJSL,X,X,O,X,O,X,X,X,X,X,O,O,X
TOZISLJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TOZISJL,X,X,O,X,X,X,X,X,X,O,O,O,X
TOZLIJS,X,X,X,X,O,X,O,X,X,X,O,X,X
TOZLISJ,X,X,X,X,O,X,O,X,X,X,O,O,X
TOZLJIS,X,X,X,X,X,X,O,X,X,X,X,X,X
TOZLJSI,X,X,X,X,O,X,O,X,X,X,X,X,X
TOZLSIJ,X,X,X,X,O,X,O,X,X,O,O,O,X
TOZLSJI,X,X,O,X,O,X,O,X,X,O,X,X,X
TOZJILS,X,O,O,X,O,X,X,X,X,X,O,X,X
TOZJISL,X,O,O,X,O,X,X,X,X,X,O,O,X
TOZJLIS,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZJLSI,X,O,O,X,O,X,X,X,X,X,X,X,X
TOZJSIL,X,O,O,X,O,X,X,X,X,O,O,O,X
TOZJSLI,X,O,O,X,O,X,X,X,X,O,X,X,X
TOZSILJ,X,X,X,X,O,X,X,X,X,O,O,O,X
TOZSIJL,X,O,O,X,X,X,X,X,X,O,O,O,X
TOZSLIJ,X,X,X,X,O,X,O,X,X,O,O,O,X
TOZSLJI,X,X,O,X,O,X,O,X,X,O,X,X,X
TOZSJIL,X,O,O,X,O,X,X,X,X,O,O,O,X
TOZSJLI,X,O,O,X,O,X,X,X,X,O,X,X,X
ITLJSZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ITLJSOZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ITLJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLJZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLJOSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ITLJOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLSJZO,O,X,X,X,O,X,X,O,X,X,X,X,X
ITLSJOZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ITLSZJO,X,X,X,X,X,O,O,X,X,X,X,O,X
ITLSZOJ,X,X,X,X,X,O,O,O,X,X,X,O,X
ITLSOJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
ITLSOZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
ITLZJSO,X,X,X,X,O,O,O,X,X,X,X,X,X
ITLZJOS,X,X,X,X,O,O,O,X,X,X,X,X,X
ITLZSJO,X,X,X,X,X,O,O,X,X,X,X,O,X
ITLZSOJ,X,X,X,X,X,O,O,X,X,X,X,O,X
ITLZOJS,X,X,X,X,O,O,O,X,X,X,X,X,X
ITLZOSJ,X,X,X,X,O,O,O,X,X,X,X,X,X
ITLOJSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
ITLOJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,X,X,X,O,O,X,O,X,X,X,X,X
ITLOSZJ,X,X,X,X,O,O,X,O,X,X,X,O,X
ITLOZJS,X,X,X,X,O,O,X,X,X,X,O,X,X
ITLOZSJ,X,X,X,X,O,O,X,X,X,X,O,O,X
ITJLSZO,O,X,X,X,O,X,X,X,X,X,X,X,X
ITJLSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ITJLZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJLZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJLOSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ITJLOZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJSLZO,O,X,X,O,O,X,X,X,O,X,X,X,X
ITJSLOZ,O,O,X,X,O,X,X,X,X,X,X,X,X
ITJSZLO,X,O,O,O,O,X,X,X,O,X,X,O,O
ITJSZOL,O,O,O,O,O,X,X,X,O,X,X,O,X
ITJSOLZ,O,O,X,O,O,X,X,X,X,X,X,X,X
ITJSOZL,O,O,X,O,O,X,X,X,O,X,X,O,X
ITJZLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
ITJZLOS,X,O,X,X,O,X,X,X,X,X,X,X,X
