sequence,v115@5gB8HeB8GeE8DeF8CeG8JeNAJvhFGcBTeBZkB8lBfq?B6pB,v115@5gB8HeB8GeE8DeF8CeG8Je//IvhFRbBchBTeB6lBNp?BeqB,v115@5gB8HeB8GeE8DeF8CeG8Je2/IvhFRbBchBTeB9lBKp?BfqB,v115@5gB8HeB8GeE8DeF8CeG8JeR7IvhFchBTeB6lBOpBdq?B/pB,v115@5gB8HeB8GeE8DeF8CeG8Je06IvhFShBTeBxpBNpBml?BXqB,v115@5gB8HeB8GeE8DeF8CeG8JeO/IvhFxbBTeBXhBcpBNq?BCqB,v115@5gB8HeB8GeE8DeF8CeG8JedAJvhFCcBTeBZkBXhBWq?B0pB
TOILSJZ,X,X,O,X,O,X,X
TOILSZJ,X,X,O,X,O,X,X
TOILZJS,X,X,X,O,O,X,X
TOILZSJ,X,X,O,X,O,X,X
TOIJLSZ,X,O,X,X,O,X,O
TOIJLZS,X,O,X,O,O,X,X
TOIJSLZ,X,O,X,X,O,X,O
TOIJSZL,O,O,X,X,O,X,O
TOIJZLS,X,O,X,O,O,X,X
TOIJZSL,O,O,X,X,X,X,O
TOISLJZ,X,X,X,X,O,X,O
TOISLZJ,O,X,X,X,O,O,X
TOISJLZ,X,O,X,X,O,X,O
TOISJZL,O,O,X,X,O,O,O
TOISZLJ,O,O,X,X,O,O,X
TOISZJL,O,O,X,X,O,O,X
TOIZLJS,X,X,X,O,O,X,X
TOIZLSJ,X,X,O,X,O,X,X
TOIZJLS,X,O,X,O,O,X,X
TOIZJSL,O,O,X,X,X,O,X
TOIZSLJ,O,O,X,X,O,O,X
TOIZSJL,O,O,X,X,O,O,X
TOLIJSZ,X,X,X,X,O,X,X
TOLIJZS,X,X,X,O,O,X,X
TOLISJZ,X,X,O,X,O,X,X
TOLISZJ,X,X,O,X,O,X,X
TOLIZJS,X,X,X,O,O,X,X
TOLIZSJ,X,X,O,X,O,X,X
TOLJISZ,X,O,X,X,X,X,X
TOLJIZS,X,O,X,O,X,X,X
TOLJSIZ,X,O,O,X,X,X,X
TOLJSZI,X,O,O,O,X,X,X
TOLJZIS,X,O,X,O,X,X,X
TOLJZSI,X,O,O,O,X,X,X
TOLSIJZ,X,X,O,X,X,X,X
TOLSIZJ,X,X,O,X,X,O,X
TOLSJIZ,X,O,O,X,X,X,X
TOLSJZI,X,O,O,O,X,X,X
TOLSZIJ,X,O,O,X,X,O,X
TOLSZJI,X,O,O,O,X,O,X
TOLZIJS,X,X,X,O,X,X,X
TOLZISJ,X,X,O,X,X,X,X
TOLZJIS,X,O,X,O,X,X,X
TOLZJSI,X,O,O,O,X,O,X
TOLZSIJ,X,O,O,X,X,O,X
TOLZSJI,X,O,O,O,X,O,X
TOJILSZ,X,O,X,X,X,X,O
TOJILZS,X,O,X,O,X,X,X
TOJISLZ,X,O,X,X,X,X,O
TOJISZL,O,O,X,X,X,X,O
TOJIZLS,X,O,X,O,X,X,X
TOJIZSL,O,O,X,X,X,X,O
TOJLISZ,X,O,X,X,X,X,O
TOJLIZS,X,O,X,O,X,X,X
TOJLSIZ,X,O,O,X,X,X,O
TOJLSZI,X,O,O,O,X,X,O
TOJLZIS,X,O,X,O,X,X,X
TOJLZSI,X,O,O,O,X,X,X
TOJSILZ,X,O,X,X,X,X,O
TOJSIZL,O,O,X,X,X,O,O
TOJSLIZ,X,O,X,X,X,X,O
TOJSLZI,X,O,X,O,X,X,O
TOJSZIL,O,O,X,X,X,O,O
TOJSZLI,O,O,X,O,X,O,O
TOJZILS,X,O,X,O,X,X,X
TOJZISL,O,O,X,X,X,O,O
TOJZLIS,X,O,X,O,X,X,X
TOJZLSI,O,O,O,O,X,O,X
TOJZSIL,O,O,X,X,X,O,O
TOJZSLI,O,O,X,O,X,O,O
TOSILJZ,X,X,X,X,X,X,O
TOSILZJ,O,X,X,X,X,O,X
TOSIJLZ,X,O,X,X,X,X,O
TOSIJZL,O,O,X,X,X,O,O
TOSIZLJ,O,O,X,X,X,O,X
TOSIZJL,O,O,X,X,X,O,X
TOSLIJZ,X,X,O,X,X,X,O
TOSLIZJ,O,X,O,X,X,O,X
TOSLJIZ,X,O,O,X,X,X,O
TOSLJZI,X,O,O,O,X,X,O
TOSLZIJ,O,O,O,X,X,O,X
TOSLZJI,O,O,O,O,X,O,X
TOSJILZ,X,O,X,X,X,X,O
TOSJIZL,O,O,X,X,X,O,O
TOSJLIZ,X,O,X,X,X,X,O
TOSJLZI,X,O,X,O,X,X,O
TOSJZIL,O,O,X,X,X,O,O
TOSJZLI,O,O,X,O,X,O,O
TOSZILJ,O,O,X,X,X,O,X
TOSZIJL,O,O,X,X,X,O,X
TOSZLIJ,O,O,O,X,X,O,X
TOSZLJI,O,O,O,O,X,O,X
TOSZJIL,O,O,X,X,X,O,X
TOSZJLI,O,O,X,O,X,O,X
TOZILJS,X,X,X,O,X,X,X
TOZILSJ,X,X,O,X,X,X,X
TOZIJLS,X,O,X,O,X,X,X
TOZIJSL,O,O,X,X,X,O,X
TOZISLJ,O,O,X,X,X,O,X
TOZISJL,O,O,X,X,X,O,X
TOZLIJS,X,X,X,O,X,X,X
TOZLISJ,X,X,O,X,X,X,X
TOZLJIS,X,O,X,O,X,X,X
TOZLJSI,O,O,O,O,X,O,X
TOZLSIJ,O,O,O,X,X,O,X
TOZLSJI,O,O,O,O,X,O,X
TOZJILS,X,O,X,O,X,X,X
TOZJISL,O,O,X,X,X,O,X
TOZJLIS,X,O,X,O,X,X,X
TOZJLSI,O,O,O,O,X,O,X
TOZJSIL,O,O,X,X,X,O,X
TOZJSLI,O,O,X,O,X,O,X
TOZSILJ,O,O,X,X,X,O,X
TOZSIJL,O,O,X,X,X,O,X
TOZSLIJ,O,O,O,X,X,O,X
TOZSLJI,O,O,O,O,X,O,X
TOZSJIL,O,O,X,X,X,O,X
TOZSJLI,O,O,X,O,X,O,X
ITLJSZO,X,X,X,X,O,X,X
ITLJSOZ,X,X,X,X,O,X,X
ITLJZSO,X,X,X,O,X,X,X
ITLJZOS,X,X,X,O,O,X,X
ITLJOSZ,X,X,X,X,O,X,X
ITLJOZS,X,X,X,O,O,X,X
ITLSJZO,X,X,O,X,O,X,X
ITLSJOZ,X,X,O,X,O,X,X
ITLSZJO,X,X,O,X,O,X,X
ITLSZOJ,X,X,O,X,O,X,X
ITLSOJZ,X,X,O,X,O,X,X
ITLSOZJ,X,X,O,X,O,X,X
ITLZJSO,X,X,X,O,X,X,X
ITLZJOS,X,X,X,O,O,X,X
ITLZSJO,X,X,O,X,O,X,X
ITLZSOJ,X,X,O,X,O,X,X
ITLZOJS,X,X,X,O,O,X,X
ITLZOSJ,X,X,O,X,O,X,X
ITLOJSZ,X,X,X,X,O,X,X
ITLOJZS,X,X,X,O,O,X,X
ITLOSJZ,X,X,O,X,O,X,X
ITLOSZJ,X,X,O,X,O,X,X
ITLOZJS,X,X,X,O,O,X,X
ITLOZSJ,X,X,O,X,O,X,X
ITJLSZO,X,O,X,X,O,X,O
ITJLSOZ,X,O,X,X,O,X,O
ITJLZSO,X,O,X,O,X,X,X
ITJLZOS,X,O,X,O,O,X,X
ITJLOSZ,X,O,X,X,O,X,O
ITJLOZS,X,O,X,O,O,X,X
ITJSLZO,X,O,X,X,O,X,O
ITJSLOZ,X,O,X,X,O,X,O
ITJSZLO,O,O,X,X,O,X,O
ITJSZOL,O,O,X,X,O,X,O
ITJSOLZ,X,O,X,X,O,X,O
ITJSOZL,O,O,X,X,O,X,O
ITJZLSO,X,O,X,O,X,X,X
ITJZLOS,X,O,X,O,O,X,X
ITJZSLO,O,O,X,X,X,X,O
ITJZSOL,O,O,X,X,X,X,O
ITJZOLS,X,O,X,O,O,X,X
ITJZOSL,O,O,X,X,X,X,O
ITJOLSZ,X,O,X,X,O,X,O
ITJOLZS,X,O,X,O,O,X,X
ITJOSLZ,X,O,X,X,O,X,O
ITJOSZL,O,O,X,X,O,X,O
ITJOZLS,X,O,X,O,O,X,X
ITJOZSL,O,O,X,X,X,X,O
ITSLJZO,X,X,X,X,O,X,O
ITSLJOZ,X,X,X,X,O,X,O
ITSLZJO,O,X,X,X,O,O,X
ITSLZOJ,O,X,X,X,O,O,X
ITSLOJZ,X,X,X,X,O,X,O
ITSLOZJ,O,X,X,X,O,O,X
ITSJLZO,X,O,X,X,O,X,O
ITSJLOZ,X,O,X,X,O,X,O
ITSJZLO,O,O,X,X,O,O,O
ITSJZOL,O,O,X,X,O,O,O
ITSJOLZ,X,O,X,X,O,X,O
ITSJOZL,O,O,X,X,O,O,O
ITSZLJO,O,X,X,X,O,O,X
ITSZLOJ,O,O,X,X,O,O,X
ITSZJLO,O,O,X,X,O,O,X
ITSZJOL,O,O,X,X,O,O,X
ITSZOLJ,O,O,X,X,O,O,X
ITSZOJL,O,O,X,X,O,O,X
ITSOLJZ,X,X,X,X,O,X,O
ITSOLZJ,O,X,X,X,O,O,X
ITSOJLZ,X,O,X,X,O,X,O
ITSOJZL,O,O,X,X,O,O,O
ITSOZLJ,O,O,X,X,O,O,X
ITSOZJL,O,O,X,X,O,O,X
ITZLJSO,X,X,X,O,X,X,X
ITZLJOS,X,X,X,O,O,X,X
ITZLSJO,X,X,O,X,O,X,X
ITZLSOJ,X,X,O,X,O,X,X
ITZLOJS,X,X,X,O,O,X,X
ITZLOSJ,X,X,O,X,O,X,X
ITZJLSO,X,O,X,O,X,X,X
ITZJLOS,X,O,X,O,O,X,X
ITZJSLO,O,O,X,X,X,O,X
ITZJSOL,O,O,X,X,X,O,X
ITZJOLS,X,O,X,O,O,X,X
ITZJOSL,O,O,X,X,X,O,X
ITZSLJO,O,X,X,X,O,O,X
ITZSLOJ,O,O,X,X,O,O,X
ITZSJLO,O,O,X,X,O,O,X
ITZSJOL,O,O,X,X,O,O,X
ITZSOLJ,O,O,X,X,O,O,X
ITZSOJL,O,O,X,X,O,O,X
ITZOLJS,X,X,X,O,O,X,X
ITZOLSJ,X,X,O,X,O,X,X
ITZOJLS,X,O,X,O,O,X,X
ITZOJSL,O,O,X,X,X,O,X
ITZOSLJ,O,O,X,X,O,O,X
ITZOSJL,O,O,X,X,O,O,X
ITOLJSZ,X,X,X,X,O,X,X
ITOLJZS,X,X,X,O,O,X,X
ITOLSJZ,X,X,O,X,O,X,X
ITOLSZJ,X,X,O,X,O,X,X
ITOLZJS,X,X,X,O,O,X,X
ITOLZSJ,X,X,O,X,O,X,X
ITOJLSZ,X,O,X,X,O,X,O
ITOJLZS,X,O,X,O,O,X,X
ITOJSLZ,X,O,X,X,O,X,O
ITOJSZL,O,O,X,X,O,X,O
ITOJZLS,X,O,X,O,O,X,X
ITOJZSL,O,O,X,X,X,X,O
ITOSLJZ,X,X,X,X,O,X,O
ITOSLZJ,O,X,X,X,O,O,X
ITOSJLZ,X,O,X,X,O,X,O
ITOSJZL,O,O,X,X,O,O,O
ITOSZLJ,O,O,X,X,O,O,X
ITOSZJL,O,O,X,X,O,O,X
ITOZLJS,X,X,X,O,O,X,X
ITOZLSJ,X,X,O,X,O,X,X
ITOZJLS,X,O,X,O,O,X,X
ITOZJSL,O,O,X,X,X,O,X
ITOZSLJ,O,O,X,X,O,O,X
ITOZSJL,O,O,X,X,O,O,X
ILTJSZO,X,X,X,X,O,X,X
ILTJSOZ,X,X,X,X,O,X,X
ILTJZSO,X,X,X,O,X,X,X
ILTJZOS,X,X,X,O,O,X,X
ILTJOSZ,X,X,X,X,O,X,X
ILTJOZS,X,X,X,O,O,X,X
ILTSJZO,X,X,O,X,O,X,X
ILTSJOZ,X,X,O,X,O,X,X
ILTSZJO,X,X,O,X,O,X,X
ILTSZOJ,X,X,O,X,O,X,X
ILTSOJZ,X,X,O,X,O,X,X
ILTSOZJ,X,X,O,X,O,X,X
ILTZJSO,X,X,X,O,X,X,X
ILTZJOS,X,X,X,O,O,X,X
ILTZSJO,X,X,O,X,O,X,X
ILTZSOJ,X,X,O,X,O,X,X
ILTZOJS,X,X,X,O,O,X,X
ILTZOSJ,X,X,O,X,O,X,X
ILTOJSZ,X,X,X,X,O,X,X
ILTOJZS,X,X,X,O,O,X,X
ILTOSJZ,X,X,O,X,O,X,X
ILTOSZJ,X,X,O,X,O,X,X
ILTOZJS,X,X,X,O,O,X,X
ILTOZSJ,X,X,O,X,O,X,X
ILJTSZO,X,O,X,X,O,X,O
ILJTSOZ,X,O,X,X,O,X,O
ILJTZSO,X,O,X,X,X,X,X
ILJTZOS,X,O,X,X,O,X,X
ILJTOSZ,X,O,X,X,O,X,O
ILJTOZS,X,O,X,X,O,X,X
ILJSTZO,X,X,O,X,O,X,O
ILJSTOZ,X,X,O,X,O,X,O
ILJSZTO,O,X,X,X,X,X,O
ILJSZOT,O,X,X,X,X,X,O
ILJSOTZ,X,X,O,X,O,X,O
ILJSOZT,O,X,X,X,X,X,O
ILJZTSO,X,O,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X
ILJZSTO,O,X,X,X,X,X,X
ILJZSOT,O,X,X,X,X,X,X
ILJZOTS,X,O,X,X,X,X,X
ILJZOST,O,X,X,X,X,X,X
ILJOTSZ,X,O,X,X,O,X,O
ILJOTZS,X,O,X,X,O,X,X
ILJOSTZ,X,X,O,X,O,X,O
ILJOSZT,O,X,X,X,X,X,O
ILJOZTS,X,O,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,X
ILSTJZO,X,X,O,X,O,X,O
ILSTJOZ,X,X,O,X,O,X,O
ILSTZJO,O,X,O,X,O,X,X
ILSTZOJ,O,X,O,X,O,X,X
ILSTOJZ,X,X,O,X,O,X,O
ILSTOZJ,O,X,O,X,O,X,X
ILSJTZO,X,X,O,X,O,X,O
ILSJTOZ,X,X,O,X,O,X,O
ILSJZTO,O,X,X,X,X,X,O
ILSJZOT,O,X,X,X,X,X,O
ILSJOTZ,X,X,O,X,O,X,O
ILSJOZT,O,X,X,X,X,X,O
ILSZTJO,O,X,O,X,O,X,X
ILSZTOJ,O,X,O,X,O,X,X
ILSZJTO,O,X,X,X,X,X,O
ILSZJOT,O,X,X,X,X,X,O
ILSZOTJ,O,X,O,X,O,X,X
ILSZOJT,O,X,X,X,X,X,O
ILSOTJZ,X,X,O,X,O,X,O
ILSOTZJ,O,X,O,X,O,X,X
ILSOJTZ,X,X,O,X,O,X,O
ILSOJZT,O,X,X,X,X,X,O
ILSOZTJ,O,X,O,X,O,X,X
ILSOZJT,O,X,X,X,X,X,O
ILZTJSO,X,X,X,O,X,X,X
ILZTJOS,X,X,X,O,O,X,X
ILZTSJO,X,X,O,X,O,X,X
ILZTSOJ,X,X,O,X,O,X,X
ILZTOJS,X,X,X,O,O,X,X
ILZTOSJ,X,X,O,X,O,X,X
ILZJTSO,X,O,X,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X
ILZJSTO,O,X,X,X,X,X,X
ILZJSOT,O,X,X,X,X,X,X
ILZJOTS,X,O,X,X,X,X,X
ILZJOST,O,X,X,X,X,X,X
ILZSTJO,O,X,O,X,O,X,X
ILZSTOJ,O,X,O,X,O,X,X
ILZSJTO,O,X,X,X,X,X,X
ILZSJOT,O,X,X,X,X,X,X
ILZSOTJ,O,X,O,X,O,X,X
ILZSOJT,O,X,X,X,X,X,X
ILZOTJS,X,X,X,O,O,X,X
ILZOTSJ,X,X,O,X,O,X,X
ILZOJTS,X,O,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,X
ILZOSTJ,O,X,O,X,O,X,X
ILZOSJT,O,X,X,X,X,X,X
ILOTJSZ,X,X,X,X,O,X,X
ILOTJZS,X,X,X,O,O,X,X
ILOTSJZ,X,X,O,X,O,X,X
ILOTSZJ,X,X,O,X,O,X,X
ILOTZJS,X,X,X,O,O,X,X
ILOTZSJ,X,X,O,X,O,X,X
ILOJTSZ,X,O,X,X,O,X,O
ILOJTZS,X,O,X,X,O,X,X
ILOJSTZ,X,X,O,X,O,X,O
ILOJSZT,O,X,X,X,X,X,O
ILOJZTS,X,O,X,X,X,X,X
ILOJZST,O,X,X,X,X,X,X
ILOSTJZ,X,X,O,X,O,X,O
ILOSTZJ,O,X,O,X,O,X,X
ILOSJTZ,X,X,O,X,O,X,O
ILOSJZT,O,X,X,X,X,X,O
ILOSZTJ,O,X,O,X,O,X,X
ILOSZJT,O,X,X,X,X,X,O
ILOZTJS,X,X,X,O,O,X,X
ILOZTSJ,X,X,O,X,O,X,X
ILOZJTS,X,O,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,X
ILOZSTJ,O,X,O,X,O,X,X
ILOZSJT,O,X,X,X,X,X,X
IJTLSZO,X,O,X,X,O,X,O
IJTLSOZ,X,O,X,X,O,X,O
IJTLZSO,X,O,X,O,X,X,X
IJTLZOS,X,O,X,O,O,X,X
IJTLOSZ,X,O,X,X,O,X,O
IJTLOZS,X,O,X,O,O,X,X
IJTSLZO,X,O,X,X,O,X,O
IJTSLOZ,X,O,X,X,O,X,O
IJTSZLO,O,O,X,X,O,X,O
IJTSZOL,O,O,X,X,O,X,O
IJTSOLZ,X,O,X,X,O,X,O
IJTSOZL,O,O,X,X,O,X,O
IJTZLSO,X,O,X,O,X,X,X
IJTZLOS,X,O,X,O,O,X,X
IJTZSLO,O,O,X,X,X,X,O
IJTZSOL,O,O,X,X,X,X,O
IJTZOLS,X,O,X,O,O,X,X
IJTZOSL,O,O,X,X,X,X,O
IJTOLSZ,X,O,X,X,O,X,O
IJTOLZS,X,O,X,O,O,X,X
IJTOSLZ,X,O,X,X,O,X,O
IJTOSZL,O,O,X,X,O,X,O
IJTOZLS,X,O,X,O,O,X,X
IJTOZSL,O,O,X,X,X,X,O
IJLTSZO,X,O,X,X,O,X,O
IJLTSOZ,X,O,X,X,O,X,O
IJLTZSO,X,O,X,X,X,X,X
IJLTZOS,X,O,X,X,O,X,X
IJLTOSZ,X,O,X,X,O,X,O
IJLTOZS,X,O,X,X,O,X,X
IJLSTZO,X,X,X,X,O,X,O
IJLSTOZ,X,X,X,X,O,X,O
IJLSZTO,O,X,X,X,X,X,O
IJLSZOT,O,X,X,X,X,X,O
IJLSOTZ,X,X,X,X,O,X,O
IJLSOZT,O,X,X,X,X,X,O
IJLZTSO,X,O,X,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X
IJLZSTO,O,X,X,X,X,X,X
IJLZSOT,O,X,X,X,X,X,X
IJLZOTS,X,O,X,X,X,X,X
IJLZOST,O,X,X,X,X,X,X
IJLOTSZ,X,O,X,X,O,X,O
IJLOTZS,X,O,X,X,O,X,X
IJLOSTZ,X,X,X,X,O,X,O
IJLOSZT,O,X,X,X,X,X,O
IJLOZTS,X,O,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,X
IJSTLZO,X,X,X,X,O,X,O
IJSTLOZ,X,X,X,X,O,X,O
IJSTZLO,O,X,X,X,O,X,O
IJSTZOL,O,X,X,X,O,X,O
IJSTOLZ,X,X,X,X,O,X,O
IJSTOZL,O,X,X,X,O,X,O
IJSLTZO,X,X,X,X,O,X,O
IJSLTOZ,X,X,X,X,O,X,O
IJSLZTO,O,X,X,X,X,X,O
IJSLZOT,O,X,X,X,X,X,O
IJSLOTZ,X,X,X,X,O,X,O
IJSLOZT,O,X,X,X,X,X,O
IJSZTLO,O,X,X,X,X,X,O
IJSZTOL,O,X,X,X,X,X,O
IJSZLTO,O,X,X,X,X,X,O
IJSZLOT,O,X,X,X,X,X,O
IJSZOTL,O,X,X,X,X,X,O
IJSZOLT,O,X,X,X,X,X,O
IJSOTLZ,X,X,X,X,O,X,O
IJSOTZL,O,X,X,X,O,X,O
IJSOLTZ,X,X,X,X,O,X,O
IJSOLZT,O,X,X,X,X,X,O
IJSOZTL,O,X,X,X,X,X,O
IJSOZLT,O,X,X,X,X,X,O
IJZTLSO,X,O,X,O,X,X,X
IJZTLOS,X,O,X,O,X,X,X
IJZTSLO,O,O,X,X,X,X,O
IJZTSOL,O,O,X,X,X,X,O
IJZTOLS,X,O,X,O,X,X,X
IJZTOSL,O,O,X,X,X,X,O
IJZLTSO,X,O,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X,X
IJZLOTS,X,O,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,X
IJZSTLO,O,X,X,X,X,X,O
IJZSTOL,O,X,X,X,X,X,O
IJZSLTO,O,X,X,X,X,X,O
IJZSLOT,O,X,X,X,X,X,O
IJZSOTL,O,X,X,X,X,X,O
IJZSOLT,O,X,X,X,X,X,O
IJZOTLS,X,O,X,O,X,X,X
IJZOTSL,O,O,X,X,X,X,O
IJZOLTS,X,O,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X
IJZOSTL,O,X,X,X,X,X,O
IJZOSLT,O,X,X,X,X,X,O
IJOTLSZ,X,O,X,X,O,X,O
IJOTLZS,X,O,X,O,O,X,X
IJOTSLZ,X,O,X,X,O,X,O
IJOTSZL,O,O,X,X,O,X,O
IJOTZLS,X,O,X,O,O,X,X
IJOTZSL,O,O,X,X,X,X,O
IJOLTSZ,X,O,X,X,O,X,O
IJOLTZS,X,O,X,X,O,X,X
IJOLSTZ,X,X,X,X,O,X,O
IJOLSZT,O,X,X,X,X,X,O
IJOLZTS,X,O,X,X,X,X,X
IJOLZST,O,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,O,X,O
IJOSTZL,O,X,X,X,O,X,O
IJOSLTZ,X,X,X,X,O,X,O
IJOSLZT,O,X,X,X,X,X,O
IJOSZTL,O,X,X,X,X,X,O
IJOSZLT,O,X,X,X,X,X,O
IJOZTLS,X,O,X,O,X,X,X
IJOZTSL,O,O,X,X,X,X,O
IJOZLTS,X,O,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,X
IJOZSTL,O,X,X,X,X,X,O
IJOZSLT,O,X,X,X,X,X,O
ISTLJZO,X,X,X,X,O,X,O
ISTLJOZ,X,X,X,X,O,X,O
ISTLZJO,O,X,X,X,O,O,X
ISTLZOJ,O,X,X,X,O,O,X
ISTLOJZ,X,X,X,X,O,X,O
ISTLOZJ,O,X,X,X,O,O,X
ISTJLZO,X,X,X,X,O,X,O
ISTJLOZ,X,X,X,X,O,X,O
ISTJZLO,O,X,X,X,O,O,O
ISTJZOL,O,X,X,X,O,O,O
ISTJOLZ,X,X,X,X,O,X,O
ISTJOZL,O,X,X,X,O,O,O
ISTZLJO,O,X,X,X,O,O,X
ISTZLOJ,O,X,X,X,O,O,X
ISTZJLO,O,X,X,X,O,O,X
ISTZJOL,O,X,X,X,O,O,X
ISTZOLJ,O,X,X,X,O,O,X
ISTZOJL,O,X,X,X,O,O,X
ISTOLJZ,X,X,X,X,O,X,O
ISTOLZJ,O,X,X,X,O,O,X
ISTOJLZ,X,X,X,X,O,X,O
ISTOJZL,O,X,X,X,O,O,O
ISTOZLJ,O,X,X,X,O,O,X
ISTOZJL,O,X,X,X,O,O,X
ISLTJZO,X,X,X,X,O,X,O
ISLTJOZ,X,X,X,X,O,X,O
ISLTZJO,O,X,X,X,O,O,X
ISLTZOJ,O,X,X,X,O,O,X
ISLTOJZ,X,X,X,X,O,X,O
ISLTOZJ,O,X,X,X,O,O,X
ISLJTZO,X,X,X,X,O,X,O
ISLJTOZ,X,X,X,X,O,X,O
ISLJZTO,O,X,X,X,X,X,O
ISLJZOT,O,X,X,X,X,X,O
ISLJOTZ,X,X,X,X,O,X,O
ISLJOZT,O,X,X,X,X,X,O
ISLZTJO,O,X,X,X,O,O,X
ISLZTOJ,O,X,X,X,O,O,X
ISLZJTO,O,X,X,X,X,X,O
ISLZJOT,O,X,X,X,X,X,O
ISLZOTJ,O,X,X,X,O,O,X
ISLZOJT,O,X,X,X,X,X,O
ISLOTJZ,X,X,X,X,O,X,O
ISLOTZJ,O,X,X,X,O,O,X
ISLOJTZ,X,X,X,X,O,X,O
ISLOJZT,O,X,X,X,X,X,O
ISLOZTJ,O,X,X,X,O,O,X
ISLOZJT,O,X,X,X,X,X,O
ISJTLZO,X,X,X,X,O,X,O
ISJTLOZ,X,X,X,X,O,X,O
ISJTZLO,O,X,X,X,O,O,O
ISJTZOL,O,X,X,X,O,O,O
ISJTOLZ,X,X,X,X,O,X,O
ISJTOZL,O,X,X,X,O,O,O
ISJLTZO,X,X,X,X,O,X,O
ISJLTOZ,X,X,X,X,O,X,O
ISJLZTO,O,X,X,X,X,X,O
ISJLZOT,O,X,X,X,X,X,O
ISJLOTZ,X,X,X,X,O,X,O
ISJLOZT,O,X,X,X,X,X,O
ISJZTLO,O,X,X,X,X,O,O
ISJZTOL,O,X,X,X,X,O,O
ISJZLTO,O,X,X,X,X,X,O
ISJZLOT,O,X,X,X,X,X,O
ISJZOTL,O,X,X,X,X,O,O
ISJZOLT,O,X,X,X,X,X,O
ISJOTLZ,X,X,X,X,O,X,O
ISJOTZL,O,X,X,X,O,O,O
ISJOLTZ,X,X,X,X,O,X,O
ISJOLZT,O,X,X,X,X,X,O
ISJOZTL,O,X,X,X,X,O,O
ISJOZLT,O,X,X,X,X,X,O
ISZTLJO,O,X,X,X,O,O,X
ISZTLOJ,O,X,X,X,O,O,X
ISZTJLO,O,X,X,X,O,O,X
ISZTJOL,O,X,X,X,O,O,X
ISZTOLJ,O,X,X,X,O,O,X
ISZTOJL,O,X,X,X,O,O,X
ISZLTJO,O,X,X,X,O,O,X
ISZLTOJ,O,X,X,X,O,O,X
ISZLJTO,O,X,X,X,X,X,O
ISZLJOT,O,X,X,X,X,X,O
ISZLOTJ,O,X,X,X,O,O,X
ISZLOJT,O,X,X,X,X,X,O
ISZJTLO,O,X,X,X,X,O,O
ISZJTOL,O,X,X,X,X,O,O
ISZJLTO,O,X,X,X,X,X,O
ISZJLOT,O,X,X,X,X,X,O
ISZJOTL,O,X,X,X,X,O,O
ISZJOLT,O,X,X,X,X,X,O
ISZOTLJ,O,X,X,X,O,O,X
ISZOTJL,O,X,X,X,O,O,X
ISZOLTJ,O,X,X,X,O,O,X
ISZOLJT,O,X,X,X,X,X,O
ISZOJTL,O,X,X,X,X,O,O
ISZOJLT,O,X,X,X,X,X,O
ISOTLJZ,X,X,X,X,O,X,O
ISOTLZJ,O,X,X,X,O,O,X
ISOTJLZ,X,X,X,X,O,X,O
ISOTJZL,O,X,X,X,O,O,O
ISOTZLJ,O,X,X,X,O,O,X
ISOTZJL,O,X,X,X,O,O,X
ISOLTJZ,X,X,X,X,O,X,O
ISOLTZJ,O,X,X,X,O,O,X
ISOLJTZ,X,X,X,X,O,X,O
ISOLJZT,O,X,X,X,X,X,O
ISOLZTJ,O,X,X,X,O,O,X
ISOLZJT,O,X,X,X,X,X,O
ISOJTLZ,X,X,X,X,O,X,O
ISOJTZL,O,X,X,X,O,O,O
ISOJLTZ,X,X,X,X,O,X,O
ISOJLZT,O,X,X,X,X,X,O
ISOJZTL,O,X,X,X,X,O,O
ISOJZLT,O,X,X,X,X,X,O
ISOZTLJ,O,X,X,X,O,O,X
ISOZTJL,O,X,X,X,O,O,X
ISOZLTJ,O,X,X,X,O,O,X
ISOZLJT,O,X,X,X,X,X,O
ISOZJTL,O,X,X,X,X,O,O
ISOZJLT,O,X,X,X,X,X,O
IZTLJSO,X,X,X,O,X,X,X
IZTLJOS,X,X,X,O,O,X,X
IZTLSJO,X,X,O,X,O,X,X
IZTLSOJ,X,X,O,X,O,X,X
IZTLOJS,X,X,X,O,O,X,X
IZTLOSJ,X,X,O,X,O,X,X
IZTJLSO,X,O,X,O,X,X,X
IZTJLOS,X,O,X,O,O,X,X
IZTJSLO,O,O,X,X,X,O,X
IZTJSOL,O,O,X,X,X,O,X
IZTJOLS,X,O,X,O,O,X,X
IZTJOSL,O,O,X,X,X,O,X
IZTSLJO,O,X,X,X,O,O,X
IZTSLOJ,O,O,X,X,O,O,X
