sequence,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhFyh?BGeBTgBUjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Je2AJvhFRc?BCeB3hBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhF8h?BfjB6jBTgBemBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeOAJvhF8g?BCdBxiBTjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jei7IvhFWj?BRhB3hBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jex7IvhF8h?BWjB/lBamBTjBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jei7IvhFzd?B+jBRhB3hB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeT7IvhFyh?BGeBUjBxlBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jem7IvhFzc?BfjB6jBxlB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeX8IvhFxd?B2lBCiBTjB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Je07IvhFxd?B2lBCiBTjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jem8IvhFSj?BxgBTgBUjBXmBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8Jez8IvhFGe?BUjBxlB/lBamBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeyAJvhFzc?BxlBXoBGoB0lBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeT7IvhFmc?BUjBxlBXmBStBFtB,v115@zgB8HeB8HeB8DeB8BeC8BeB8CeH8AeA8JeC9IvhF/l?BUhBxiBTjBmlBFtB
IZJTOSL,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
IZJLTSO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
IZJLTOS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJLSTO,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IZJLSOT,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
IZJLOTS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X
IZJSTLO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZJSTOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZJSLTO,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
IZJSLOT,O,O,O,X,O,O,X,O,O,X,X,X,O,X,O,X
IZJSOTL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZJSOLT,O,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X
IZJOTLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTSL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IZJOLTS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJOLST,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
IZJOSTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZJOSLT,O,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
IZSTLJO,X,O,O,O,O,O,O,X,X,X,X,X,O,X,O,O
IZSTLOJ,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,O
IZSTJLO,X,O,O,O,O,O,O,X,X,X,X,X,O,X,O,X
IZSTJOL,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IZSTOLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSTOJL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSLTJO,O,O,O,O,O,O,O,X,O,X,X,X,O,X,O,O
IZSLTOJ,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,O
IZSLJTO,O,O,O,O,O,O,X,X,O,X,X,X,O,X,O,O
IZSLJOT,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X
IZSLOTJ,O,X,X,X,X,O,X,X,O,X,X,X,O,X,O,O
IZSLOJT,O,O,O,O,X,O,X,O,O,X,X,X,O,O,O,X
IZSJTLO,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSJTOL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSJLTO,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,O
IZSJLOT,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X
IZSJOTL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSJOLT,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X
IZSOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSOTJL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSOLTJ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
IZSOLJT,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X
IZSOJTL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZSOJLT,O,O,X,O,X,X,X,O,O,X,X,X,O,O,O,X
IZOTLJS,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZOTJLS,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
IZOTJSL,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
IZOTSLJ,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IZOTSJL,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZOLTJS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOLSJT,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X
IZOJTLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZOJLTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X
IZOJSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOJSLT,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOSLTJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
IZOSLJT,O,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOSJLT,O,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X
IOTLJSZ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOTLSZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOTLZJS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTLZSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTJLSZ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTJSZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZLS,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X
IOTJZSL,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTSLJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOTSLZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOTSJLZ,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOTSJZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTSZJL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTZLJS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTZLSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTZJLS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOTZJSL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTZSJL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOLTJSZ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLTSZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLTZJS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOLTZSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOLJTSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
IOLJSZT,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLJZTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLSTZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLSJZT,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLSZTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSZJT,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
IOLZTJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLZSJT,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOJTLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTLZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTSZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZLS,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IOJTZSL,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IOJLTSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJLTZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
IOJLSZT,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJLZTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJSTZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJSLZT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJSZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJZTLS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZTSL,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOJZLTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZLST,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
IOJZSTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IOJZSLT,O,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
IOSTLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSTLZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSTJZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOSTZJL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOSLTJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSLTZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSLJZT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSLZJT,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
IOSJTLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSJTZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSJLZT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSJZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
IOSZLJT,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZJLT,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X
IOZTLJS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOZTLSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOZTJLS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOZTJSL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOZTSLJ,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOZTSJL,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOZLTJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOZLSJT,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X
IOZJTLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOZJLTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOZJSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOZJSLT,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOZSLTJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
IOZSLJT,O,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOZSJLT,O,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X
LTIJSZO,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LTIJSOZ,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
LTIJZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
LTIJOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
LTISJZO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LTISJOZ,X,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X
LTISZJO,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O
LTISZOJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O
LTISOJZ,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
LTISOZJ,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTIZJSO,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
LTIZJOS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
LTIZSJO,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
LTIZSOJ,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
LTIZOJS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTIOJSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
LTIOJZS,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTIOSZJ,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTJISZO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTJISOZ,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
LTJIZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
LTJIOSZ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
LTJIOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
LTJSIZO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
LTJSIOZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJSZIO,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
LTJSZOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LTJSOZI,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTJZISO,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
LTJZSIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTJZSOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
LTJZOIS,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X
LTJZOSI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOSIZ,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LTJOSZI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTJOZIS,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOZSI,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTSIJZO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
LTSIJOZ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
LTSIZJO,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O
LTSIZOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O
LTSIOJZ,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
LTSIOZJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTSJIZO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
LTSJIOZ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
LTSJZIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LTSJZOI,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
LTSJOIZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
LTSJOZI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTSZIJO,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O
LTSZIOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O
LTSZJIO,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O
LTSZJOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSZOIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O
LTSZOJI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
LTSOIZJ,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
LTSOJZI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTSOZIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTSOZJI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
LTZIJSO,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
LTZIJOS,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
LTZISJO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
LTZISOJ,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTZIOJS,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTZJISO,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
LTZJIOS,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X
LTZJSIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTZJSOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
LTZJOIS,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,X
LTZJOSI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTZSIJO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTZSIOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTZSJOI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
LTZSOIJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZSOJI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZOIJS,O,O,X,X,O,X,O,O,X,O,O,X,O,X,X,X
LTZOISJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTZOJIS,O,O,X,X,O,X,O,O,X,O,O,X,O,X,X,X
LTZOJSI,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOSJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
LTOISJZ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTOIZJS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
LTOIZSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTOJISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOJSIZ,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LTOJSZI,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOJZIS,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOJZSI,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOSIJZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTOSJIZ,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X
LTOSJZI,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTOSZJI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZIJS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
LTOZISJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTOZJIS,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X
LTOZJSI,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJSZO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
LITJZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LITJZOS,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
LITJOSZ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
LITJOZS,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
LITSJZO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LITSJOZ,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X
LITSZJO,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LITSZOJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITSOJZ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
LITSOZJ,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LITZJSO,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
LITZJOS,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
LITZSJO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LITZSOJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
