sequence,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFOiB6jB3gBc?mBziBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFKiBzdB+jB3?gBcmBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFxcBXeBzhBS?oBmlBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhF6jB3gBcmBm?iBTiBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhFyiB+jB3gBc?mBTiBFsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jex7IvhF6jB3gBFiB8?nBTmBOsB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFlcBCeB/nBT?jBxlBmrB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Jel7IvhF3cBciBTeBx?lBCoBmrB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je07IvhFxcBTeBFiBm?lBfsBCtB,v115@zgB8HeC8GeB8HeD8DeH8AeC8Je09IvhF6jBRhBTgBO?mBfsBlsB
TSOIJZL,X,X,X,X,X,X,O,X,X,X
TSOIZLJ,X,X,O,X,X,O,O,X,O,O
TSOIZJL,X,X,X,X,X,O,O,X,X,X
TSOLIJZ,O,X,O,X,X,X,O,X,O,X
TSOLIZJ,X,X,O,X,X,O,O,X,O,O
TSOLJIZ,O,X,O,X,X,X,X,X,O,X
TSOLJZI,O,X,O,X,X,X,O,X,O,X
TSOLZIJ,O,X,O,X,X,O,O,X,O,O
TSOLZJI,O,X,O,X,X,O,O,X,O,X
TSOJILZ,O,X,O,X,X,X,X,X,O,X
TSOJIZL,X,X,O,X,X,X,X,X,O,X
TSOJLIZ,O,X,O,X,X,X,X,X,O,X
TSOJLZI,O,X,O,X,X,X,O,X,O,X
TSOJZIL,O,X,O,X,X,X,X,X,O,X
TSOJZLI,O,X,O,X,X,X,O,X,O,X
TSOZILJ,O,X,O,X,X,O,O,X,O,O
TSOZIJL,O,X,X,X,X,O,O,X,X,X
TSOZLIJ,O,X,O,X,X,O,O,X,O,O
TSOZLJI,O,X,O,X,X,O,O,X,O,X
TSOZJIL,O,X,X,X,X,O,O,X,X,X
TSOZJLI,O,X,X,X,X,O,O,X,X,X
TZILJSO,O,O,O,O,X,X,O,O,X,X
TZILJOS,O,O,X,X,X,X,X,O,X,X
TZILSJO,O,O,O,O,X,X,O,O,X,X
TZILSOJ,O,O,O,O,X,O,O,O,X,X
TZILOJS,O,O,O,X,X,X,X,O,O,X
TZILOSJ,O,X,O,X,X,X,X,O,O,X
TZIJLSO,O,O,O,O,O,X,O,O,X,X
TZIJLOS,O,O,O,X,X,X,X,O,O,X
TZIJSLO,O,O,O,O,O,X,O,O,O,X
TZIJSOL,O,O,O,O,O,X,O,O,O,X
TZIJOLS,O,O,O,X,X,X,X,O,X,X
TZIJOSL,O,O,O,X,X,X,O,O,X,X
TZISLJO,O,O,O,O,O,X,O,X,O,X
TZISLOJ,O,O,O,O,X,O,O,X,O,X
TZISJLO,O,O,X,O,O,X,O,O,O,X
TZISJOL,O,O,X,O,O,X,O,O,X,X
TZISOLJ,O,O,O,O,X,X,O,X,O,X
TZISOJL,O,O,X,O,O,X,O,X,X,X
TZIOLJS,O,O,O,X,X,X,X,X,X,X
TZIOLSJ,O,X,O,X,X,X,O,X,X,X
TZIOJLS,O,O,O,X,X,X,X,X,X,X
TZIOJSL,O,X,X,X,X,X,O,X,X,X
TZIOSLJ,O,X,O,X,X,X,O,X,X,X
TZIOSJL,O,X,X,X,X,X,O,X,X,X
TZLIJSO,O,O,O,O,X,X,O,O,X,X
TZLIJOS,O,O,X,X,X,X,X,O,X,X
TZLISJO,O,O,O,O,X,X,O,O,X,X
TZLISOJ,O,O,O,O,X,O,O,O,X,X
TZLIOJS,O,O,O,X,X,X,X,O,O,X
TZLIOSJ,O,X,O,X,X,X,X,O,O,X
TZLJISO,O,O,O,O,O,X,O,O,X,X
TZLJIOS,O,O,O,X,X,X,X,O,O,X
TZLJSIO,O,O,O,O,O,X,O,O,O,X
TZLJSOI,O,O,O,O,O,O,O,O,O,X
TZLJOIS,O,O,O,X,X,X,X,O,O,X
TZLJOSI,O,O,O,O,O,X,X,O,O,X
TZLSIJO,O,O,O,O,O,X,X,O,O,X
TZLSIOJ,O,O,O,O,X,O,O,O,O,X
TZLSJIO,O,O,O,O,O,X,X,O,O,X
TZLSJOI,O,O,O,O,O,O,O,O,O,X
TZLSOIJ,O,O,O,O,X,O,O,O,O,X
TZLSOJI,O,O,O,O,X,O,O,O,O,X
TZLOIJS,O,O,O,X,X,X,X,O,O,X
TZLOISJ,O,X,O,X,X,O,X,O,O,X
TZLOJIS,O,O,O,X,X,X,X,O,O,X
TZLOJSI,O,O,O,O,X,O,X,O,O,X
TZLOSIJ,O,O,O,O,X,O,X,O,O,X
TZLOSJI,O,O,O,O,X,O,X,O,O,X
TZJILSO,O,O,O,O,O,X,O,O,X,X
TZJILOS,O,O,O,X,X,X,X,O,O,X
TZJISLO,O,O,O,O,O,X,O,O,O,X
TZJISOL,O,O,O,O,O,X,O,O,O,X
TZJIOLS,O,O,O,X,X,X,X,O,X,X
TZJIOSL,O,O,O,X,X,X,O,O,X,X
TZJLISO,O,O,O,O,O,X,O,O,X,X
TZJLIOS,O,O,O,X,X,X,X,O,O,X
TZJLSIO,O,O,O,O,O,X,O,O,O,X
TZJLSOI,O,O,O,O,O,O,O,O,O,X
TZJLOIS,O,O,O,X,X,X,X,O,O,X
TZJLOSI,O,O,O,O,O,X,X,O,O,X
TZJSILO,O,O,O,O,O,X,O,O,O,X
TZJSIOL,O,O,O,O,O,X,O,O,O,X
TZJSLIO,O,O,O,O,O,X,O,O,O,X
TZJSLOI,O,O,O,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,X,O,X,O,X
TZJSOLI,O,O,O,O,O,X,O,O,O,X
TZJOILS,O,O,O,X,X,X,X,O,X,X
TZJOISL,O,O,O,X,X,X,O,O,X,X
TZJOLIS,O,O,O,X,X,X,X,O,X,X
TZJOLSI,O,O,O,O,O,X,X,O,X,X
TZJOSIL,O,O,O,O,O,X,O,X,X,X
TZJOSLI,O,O,O,O,O,X,O,O,X,X
TZSILJO,O,O,O,O,O,X,O,X,O,X
TZSILOJ,O,O,O,O,X,O,O,X,O,X
TZSIJLO,O,O,X,O,O,X,O,X,O,X
TZSIJOL,O,O,X,O,O,X,O,X,X,X
TZSIOLJ,O,O,O,O,X,X,O,X,O,X
TZSIOJL,O,O,X,O,O,X,O,X,X,X
TZSLIJO,O,O,O,O,O,X,O,X,O,X
TZSLIOJ,O,O,O,O,X,O,O,X,O,X
TZSLJIO,O,O,O,O,O,X,O,X,O,X
TZSLJOI,O,O,O,O,O,O,O,X,O,X
TZSLOIJ,O,O,O,O,X,O,O,X,O,X
TZSLOJI,O,O,O,O,X,O,O,X,O,X
TZSJILO,O,O,X,O,O,X,O,X,O,X
TZSJIOL,O,O,X,O,O,X,O,X,X,X
TZSJLIO,O,O,X,O,O,X,O,X,O,X
TZSJLOI,O,O,X,O,O,O,O,X,O,X
TZSJOIL,O,O,X,O,O,X,O,X,X,X
TZSJOLI,O,O,X,O,O,X,O,X,X,X
TZSOILJ,O,O,O,O,X,O,O,X,O,X
TZSOIJL,O,O,X,O,O,O,O,X,X,X
TZSOLIJ,O,O,O,O,X,O,O,X,O,X
TZSOLJI,O,O,O,O,X,O,O,X,O,X
TZSOJIL,O,O,X,O,O,O,O,X,X,X
TZSOJLI,O,O,X,O,O,O,O,X,X,X
TZOILJS,O,O,O,X,X,X,X,X,X,X
TZOILSJ,O,X,O,X,X,O,O,X,X,X
TZOIJLS,O,O,O,X,X,X,X,X,X,X
TZOIJSL,O,X,X,X,X,X,O,X,X,X
TZOISLJ,O,X,O,X,X,O,O,X,X,X
TZOISJL,O,X,X,X,X,O,O,X,X,X
TZOLIJS,O,O,O,X,X,X,X,X,X,X
TZOLISJ,O,X,O,X,X,O,O,X,X,X
TZOLJIS,O,O,O,X,X,X,X,X,X,X
TZOLJSI,O,O,O,O,X,O,X,X,X,X
TZOLSIJ,O,O,O,O,X,O,O,X,X,X
TZOLSJI,O,O,O,O,X,O,O,X,X,X
TZOJILS,O,O,O,X,X,X,X,X,X,X
TZOJISL,O,O,O,X,X,X,O,X,X,X
TZOJLIS,O,O,O,X,X,X,X,X,X,X
TZOJLSI,O,O,O,O,O,O,X,X,X,X
TZOJSIL,O,O,O,O,O,O,O,X,X,X
TZOJSLI,O,O,O,O,O,O,O,X,X,X
TZOSILJ,O,O,O,O,X,O,O,X,X,X
TZOSIJL,O,O,X,O,O,O,O,X,X,X
TZOSLIJ,O,O,O,O,X,O,O,X,X,X
TZOSLJI,O,O,O,O,X,O,O,X,X,X
TZOSJIL,O,O,X,O,O,O,O,X,X,X
TZOSJLI,O,O,X,O,O,O,O,X,X,X
TOILJSZ,O,O,O,X,X,X,X,O,X,X
TOILJZS,O,O,O,X,X,X,X,O,X,X
TOILSJZ,O,X,O,X,X,X,O,O,X,X
TOILSZJ,X,X,O,X,X,X,O,O,X,X
TOILZJS,O,X,O,X,X,X,X,O,X,X
TOILZSJ,O,X,O,X,X,X,O,O,X,X
TOIJLSZ,O,O,O,X,X,X,X,O,X,X
TOIJLZS,O,O,O,X,X,X,X,O,X,X
TOIJSLZ,O,X,O,X,X,X,O,X,X,X
TOIJSZL,X,X,O,X,X,X,O,O,X,X
TOIJZLS,O,O,O,X,X,X,X,O,X,X
TOIJZSL,O,X,O,X,X,X,O,O,X,X
TOISLJZ,O,X,O,X,X,X,O,X,X,X
TOISLZJ,X,X,O,X,X,X,O,X,X,X
TOISJLZ,O,X,X,X,X,X,O,X,X,X
TOISJZL,X,X,X,X,X,X,O,O,X,X
TOISZLJ,X,X,O,X,X,X,O,X,X,X
TOISZJL,X,X,X,X,X,X,O,X,X,X
TOIZLJS,O,O,O,X,X,X,X,X,X,X
TOIZLSJ,O,X,O,X,X,X,O,X,X,X
TOIZJLS,O,O,O,X,X,X,X,X,X,X
TOIZJSL,O,X,X,X,X,X,O,X,X,X
TOIZSLJ,O,X,O,X,X,X,O,X,X,X
TOIZSJL,O,X,X,X,X,X,O,X,X,X
TOLIJSZ,O,O,O,X,X,X,X,O,X,X
TOLIJZS,O,O,O,X,X,X,X,O,X,X
TOLISJZ,O,X,O,X,X,X,O,O,X,X
TOLISZJ,X,X,O,X,X,X,O,O,X,X
TOLIZJS,O,X,O,X,X,X,X,O,X,X
TOLIZSJ,O,X,O,X,X,X,O,O,X,X
TOLJISZ,O,O,O,X,X,X,X,O,X,X
TOLJIZS,O,O,O,X,X,X,X,O,X,X
TOLJSIZ,O,O,O,X,X,X,X,O,X,X
TOLJSZI,O,O,O,X,X,X,X,O,X,X
TOLJZIS,O,O,O,X,X,X,X,O,X,X
TOLJZSI,O,O,O,O,X,X,X,O,X,X
TOLSIJZ,O,X,O,X,X,X,O,O,X,X
TOLSIZJ,X,X,O,X,X,O,O,O,X,X
TOLSJIZ,O,X,O,X,X,X,X,O,X,X
TOLSJZI,O,X,O,X,X,X,O,O,X,X
TOLSZIJ,O,X,O,X,X,O,O,O,X,X
TOLSZJI,O,X,O,X,X,O,O,O,X,X
TOLZIJS,O,O,O,X,X,X,X,O,X,X
TOLZISJ,O,X,O,X,X,O,O,O,X,X
TOLZJIS,O,O,O,X,X,X,X,O,X,X
TOLZJSI,O,O,O,O,X,O,X,O,X,X
TOLZSIJ,O,O,O,O,X,O,O,O,X,X
TOLZSJI,O,O,O,O,X,O,O,O,X,X
TOJILSZ,O,O,O,X,X,X,X,O,X,X
TOJILZS,O,O,O,X,X,X,X,O,X,X
TOJISLZ,O,X,O,X,X,X,O,X,X,X
TOJISZL,X,X,O,X,X,X,O,O,X,X
TOJIZLS,O,O,O,X,X,X,X,O,X,X
TOJIZSL,O,O,O,X,X,X,O,O,X,X
TOJLISZ,O,O,O,X,X,X,X,O,X,X
TOJLIZS,O,O,O,X,X,X,X,O,X,X
TOJLSIZ,O,O,O,X,X,X,X,O,X,X
TOJLSZI,O,O,O,X,X,X,X,O,X,X
TOJLZIS,O,O,O,X,X,X,X,O,X,X
TOJLZSI,O,O,O,O,O,X,X,O,X,X
TOJSILZ,O,X,O,X,X,X,O,X,X,X
TOJSIZL,X,X,O,X,X,X,O,X,X,X
TOJSLIZ,O,O,O,X,X,X,O,X,X,X
TOJSLZI,O,O,O,X,X,X,O,X,X,X
TOJSZIL,O,O,O,X,X,X,O,X,X,X
TOJSZLI,O,O,O,X,X,X,O,X,X,X
TOJZILS,O,O,O,X,X,X,X,O,X,X
TOJZISL,O,O,O,X,X,X,O,O,X,X
TOJZLIS,O,O,O,X,X,X,X,O,X,X
TOJZLSI,O,O,O,O,O,X,X,O,X,X
TOJZSIL,O,O,O,O,O,X,O,X,X,X
TOJZSLI,O,O,O,O,O,X,O,O,X,X
TOSILJZ,O,X,O,X,X,X,O,X,X,X
TOSILZJ,X,X,O,X,X,O,O,X,X,X
TOSIJLZ,O,X,X,X,X,X,O,X,X,X
TOSIJZL,X,X,X,X,X,X,O,X,X,X
TOSIZLJ,X,X,O,X,X,O,O,X,X,X
TOSIZJL,X,X,X,X,X,O,O,X,X,X
TOSLIJZ,O,X,O,X,X,X,O,X,X,X
TOSLIZJ,X,X,O,X,X,O,O,X,X,X
TOSLJIZ,O,X,O,X,X,X,X,X,X,X
TOSLJZI,O,X,O,X,X,X,O,X,X,X
TOSLZIJ,O,X,O,X,X,O,O,X,X,X
TOSLZJI,O,X,O,X,X,O,O,X,X,X
TOSJILZ,O,X,O,X,X,X,X,X,X,X
TOSJIZL,X,X,O,X,X,X,X,X,X,X
TOSJLIZ,O,X,O,X,X,X,X,X,X,X
TOSJLZI,O,X,O,X,X,X,O,X,X,X
TOSJZIL,O,X,O,X,X,X,X,X,X,X
TOSJZLI,O,X,O,X,X,X,O,X,X,X
TOSZILJ,O,X,O,X,X,O,O,X,X,X
TOSZIJL,O,X,X,X,X,O,O,X,X,X
TOSZLIJ,O,X,O,X,X,O,O,X,X,X
TOSZLJI,O,X,O,X,X,O,O,X,X,X
TOSZJIL,O,X,X,X,X,O,O,X,X,X
TOSZJLI,O,X,X,X,X,O,O,X,X,X
TOZILJS,O,O,O,X,X,X,X,X,X,X
TOZILSJ,O,X,O,X,X,O,O,X,X,X
TOZIJLS,O,O,O,X,X,X,X,X,X,X
TOZIJSL,O,X,X,X,X,X,O,X,X,X
TOZISLJ,O,X,O,X,X,O,O,X,X,X
TOZISJL,O,X,X,X,X,O,O,X,X,X
TOZLIJS,O,O,O,X,X,X,X,X,X,X
TOZLISJ,O,X,O,X,X,O,O,X,X,X
TOZLJIS,O,O,O,X,X,X,X,X,X,X
TOZLJSI,O,O,O,O,X,O,X,X,X,X
TOZLSIJ,O,O,O,O,X,O,O,X,X,X
TOZLSJI,O,O,O,O,X,O,O,X,X,X
TOZJILS,O,O,O,X,X,X,X,X,X,X
TOZJISL,O,O,O,X,X,X,O,X,X,X
TOZJLIS,O,O,O,X,X,X,X,X,X,X
TOZJLSI,O,O,O,O,O,O,X,X,X,X
TOZJSIL,O,O,O,O,O,O,O,X,X,X
TOZJSLI,O,O,O,O,O,O,O,X,X,X
TOZSILJ,O,O,O,O,X,O,O,X,X,X
TOZSIJL,O,O,X,O,O,O,O,X,X,X
TOZSLIJ,O,O,O,O,X,O,O,X,X,X
TOZSLJI,O,O,O,O,X,O,O,X,X,X
TOZSJIL,O,O,X,O,O,O,O,X,X,X
TOZSJLI,O,O,X,O,O,O,O,X,X,X
ITLJSZO,O,X,X,X,X,X,O,O,X,X
ITLJSOZ,O,O,X,X,X,X,O,O,X,X
ITLJZSO,O,O,X,O,X,X,O,O,X,X
ITLJZOS,O,O,X,X,X,X,X,O,X,X
ITLJOSZ,O,O,X,X,X,X,X,O,X,X
ITLJOZS,O,O,X,X,X,X,X,O,X,X
ITLSJZO,O,X,O,X,X,X,O,O,X,X
ITLSJOZ,O,O,X,X,X,X,X,O,X,X
ITLSZJO,O,X,O,O,X,X,O,O,X,X
ITLSZOJ,O,X,O,O,X,X,O,O,X,X
ITLSOJZ,O,X,O,X,X,X,O,O,X,X
ITLSOZJ,X,X,O,X,X,O,O,O,X,X
ITLZJSO,O,O,O,O,X,X,O,O,X,X
ITLZJOS,O,O,X,X,X,X,X,O,X,X
ITLZSJO,O,O,O,O,X,X,O,O,X,X
ITLZSOJ,O,O,O,O,X,X,O,O,X,X
ITLZOJS,O,O,O,X,X,X,X,O,X,X
ITLZOSJ,O,X,O,X,X,X,X,O,X,X
ITLOJSZ,O,O,O,X,X,X,X,O,X,X
ITLOJZS,O,O,O,X,X,X,X,O,X,X
ITLOSJZ,O,X,O,X,X,X,X,O,X,X
ITLOSZJ,X,X,O,X,X,X,X,O,X,X
ITLOZJS,O,X,O,X,X,X,X,O,X,X
ITLOZSJ,O,X,O,X,X,X,X,O,X,X
ITJLSZO,O,X,X,X,X,X,O,O,X,X
ITJLSOZ,O,O,X,X,X,X,O,O,X,X
ITJLZSO,O,O,X,O,O,X,O,O,X,X
ITJLZOS,O,O,X,X,X,X,X,O,X,X
ITJLOSZ,O,O,X,X,X,X,X,O,X,X
ITJLOZS,O,O,X,X,X,X,X,O,X,X
ITJSLZO,O,X,X,X,X,X,O,O,X,X
ITJSLOZ,O,O,X,X,X,X,O,O,X,X
ITJSZLO,X,O,X,X,O,X,O,O,X,X
ITJSZOL,X,O,X,X,O,X,O,O,X,X
ITJSOLZ,O,X,X,X,X,X,O,X,X,X
ITJSOZL,X,X,X,X,X,X,O,O,X,X
ITJZLSO,O,O,X,O,O,X,O,O,X,X
ITJZLOS,O,O,X,X,X,X,X,O,X,X
ITJZSLO,O,O,X,O,O,X,O,O,X,X
ITJZSOL,O,O,X,O,O,X,O,O,X,X
ITJZOLS,O,O,X,X,X,X,X,O,X,X
ITJZOSL,O,O,X,X,X,X,O,O,X,X
ITJOLSZ,O,O,X,X,X,X,X,O,X,X
ITJOLZS,O,O,X,X,X,X,X,O,X,X
ITJOSLZ,O,X,X,X,X,X,O,X,X,X
ITJOSZL,X,X,X,X,X,X,O,O,X,X
ITJOZLS,O,O,X,X,X,X,X,O,X,X
ITJOZSL,O,O,X,X,X,X,O,O,X,X
ITSLJZO,O,X,X,X,X,X,O,O,X,X
ITSLJOZ,O,O,X,X,X,X,X,O,X,X
ITSLZJO,O,X,X,O,X,X,O,O,X,X
ITSLZOJ,O,X,X,O,X,X,O,O,X,X
ITSLOJZ,O,X,X,X,X,X,O,O,X,X
ITSLOZJ,X,X,X,X,X,O,O,O,X,X
ITSJLZO,O,X,X,X,X,X,O,O,X,X
ITSJLOZ,O,O,X,X,X,X,O,O,X,X
ITSJZLO,X,O,X,X,O,X,O,O,X,X
ITSJZOL,X,O,X,X,O,X,O,O,X,X
ITSJOLZ,O,X,X,X,X,X,O,X,X,X
ITSJOZL,X,X,X,X,X,X,O,O,X,X
ITSZLJO,O,O,X,O,O,X,O,X,X,X
ITSZLOJ,O,O,X,O,X,X,O,X,X,X
ITSZJLO,O,O,X,O,O,X,O,O,X,X
ITSZJOL,O,O,X,O,O,X,O,O,X,X
ITSZOLJ,O,O,X,O,X,X,O,X,X,X
ITSZOJL,O,O,X,O,O,X,O,X,X,X
ITSOLJZ,O,X,X,X,X,X,O,X,X,X
ITSOLZJ,X,X,X,X,X,O,O,X,X,X
ITSOJLZ,O,X,X,X,X,X,O,X,X,X
ITSOJZL,X,X,X,X,X,X,O,O,X,X
ITSOZLJ,X,X,X,X,X,O,O,X,X,X
ITSOZJL,X,X,X,X,X,O,O,X,X,X
ITZLJSO,O,O,O,O,X,X,O,O,X,X
ITZLJOS,O,O,X,X,X,X,X,O,X,X
ITZLSJO,O,O,O,O,X,X,O,O,X,X
ITZLSOJ,O,O,O,O,X,X,O,O,X,X
ITZLOJS,O,O,O,X,X,X,X,O,X,X
ITZLOSJ,O,X,O,X,X,X,X,O,X,X
ITZJLSO,O,O,O,O,O,X,O,O,X,X
ITZJLOS,O,O,X,X,X,X,X,O,X,X
ITZJSLO,O,O,X,O,O,X,O,O,X,X
ITZJSOL,O,O,X,O,O,X,O,O,X,X
ITZJOLS,O,O,O,X,X,X,X,O,X,X
ITZJOSL,O,O,X,X,X,X,O,O,X,X
ITZSLJO,O,O,O,O,O,X,O,X,X,X
ITZSLOJ,O,O,O,O,X,X,O,X,X,X
ITZSJLO,O,O,X,O,O,X,O,O,X,X
ITZSJOL,O,O,X,O,O,X,O,O,X,X
ITZSOLJ,O,O,O,O,X,X,O,X,X,X
ITZSOJL,O,O,X,O,O,X,O,X,X,X
ITZOLJS,O,O,O,X,X,X,X,X,X,X
ITZOLSJ,O,X,O,X,X,X,O,X,X,X
ITZOJLS,O,O,O,X,X,X,X,X,X,X
ITZOJSL,O,X,X,X,X,X,O,X,X,X
ITZOSLJ,O,X,O,X,X,X,O,X,X,X
ITZOSJL,O,X,X,X,X,X,O,X,X,X
ITOLJSZ,O,O,O,X,X,X,X,O,X,X
ITOLJZS,O,O,O,X,X,X,X,O,X,X
ITOLSJZ,O,X,O,X,X,X,O,O,X,X
ITOLSZJ,X,X,O,X,X,X,O,O,X,X
ITOLZJS,O,X,O,X,X,X,X,O,X,X
ITOLZSJ,O,X,O,X,X,X,O,O,X,X
ITOJLSZ,O,O,O,X,X,X,X,O,X,X
ITOJLZS,O,O,O,X,X,X,X,O,X,X
ITOJSLZ,O,X,O,X,X,X,O,X,X,X
ITOJSZL,X,X,O,X,X,X,O,O,X,X
ITOJZLS,O,O,O,X,X,X,X,O,X,X
ITOJZSL,O,X,O,X,X,X,O,O,X,X
ITOSLJZ,O,X,O,X,X,X,O,X,X,X
ITOSLZJ,X,X,O,X,X,X,O,X,X,X
ITOSJLZ,O,X,X,X,X,X,O,X,X,X
ITOSJZL,X,X,X,X,X,X,O,O,X,X
ITOSZLJ,X,X,O,X,X,X,O,X,X,X
ITOSZJL,X,X,X,X,X,X,O,X,X,X
ITOZLJS,O,O,O,X,X,X,X,X,X,X
ITOZLSJ,O,X,O,X,X,X,O,X,X,X
ITOZJLS,O,O,O,X,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X,O,X,X,X
ITOZSLJ,O,X,O,X,X,X,O,X,X,X
ITOZSJL,O,X,X,X,X,X,O,X,X,X
ILTJSZO,O,X,X,X,X,X,O,O,X,X
ILTJSOZ,O,O,X,X,X,X,O,O,X,X
ILTJZSO,O,O,X,O,X,X,O,O,X,X
ILTJZOS,O,O,X,X,X,X,X,O,X,X
ILTJOSZ,O,O,X,X,X,X,X,O,X,X
ILTJOZS,O,O,X,X,X,X,X,O,X,X
ILTSJZO,O,X,O,X,X,X,O,O,X,X
ILTSJOZ,O,O,X,X,X,X,X,O,X,X
ILTSZJO,O,X,O,O,X,X,O,O,X,X
ILTSZOJ,O,X,O,O,X,X,O,O,X,X
ILTSOJZ,O,X,O,X,X,X,O,O,X,X
ILTSOZJ,X,X,O,X,X,O,O,O,X,X
ILTZJSO,O,O,O,O,X,X,O,O,X,X
ILTZJOS,O,O,X,X,X,X,X,O,X,X
ILTZSJO,O,O,O,O,X,X,O,O,X,X
ILTZSOJ,O,X,O,O,X,X,O,O,X,X
ILTZOJS,O,O,O,X,X,X,X,O,X,X
ILTZOSJ,O,X,O,X,X,X,X,O,X,X
ILTOJSZ,O,O,O,X,X,X,X,O,X,X
ILTOJZS,O,O,O,X,X,X,X,O,X,X
ILTOSJZ,O,X,O,X,X,X,X,O,X,X
ILTOSZJ,X,X,O,X,X,X,X,O,X,X
ILTOZJS,O,X,O,X,X,X,X,O,X,X
ILTOZSJ,O,X,O,X,X,X,X,O,X,X
ILJTSZO,O,X,O,X,X,X,O,O,X,X
ILJTSOZ,O,O,O,X,X,X,O,O,X,X
ILJTZSO,O,O,O,O,X,X,O,O,X,X
ILJTZOS,O,O,O,X,X,X,X,O,X,X
ILJTOSZ,O,O,O,X,X,X,X,O,X,X
ILJTOZS,O,O,O,X,X,X,X,O,X,X
ILJSTZO,X,X,O,X,X,X,O,O,O,X
ILJSTOZ,X,X,O,X,X,X,O,O,O,X
ILJSZTO,O,O,O,O,O,X,O,O,O,X
ILJSZOT,O,X,O,O,O,X,O,O,O,X
ILJSOTZ,X,X,X,X,X,X,O,O,O,X
ILJSOZT,X,X,O,X,X,O,O,O,O,X
ILJZTSO,O,O,O,X,X,X,O,O,X,X
ILJZTOS,O,O,O,X,X,X,X,O,O,X
ILJZSTO,X,X,O,O,X,X,O,O,O,X
ILJZSOT,X,X,O,O,X,X,O,O,O,X
ILJZOTS,O,X,X,X,X,X,X,O,O,X
ILJZOST,O,X,O,X,X,X,O,O,O,X
ILJOTSZ,X,X,X,X,X,X,X,O,X,X
ILJOTZS,O,X,X,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,X,X,X,O,O,O,X
ILJOSZT,O,X,X,X,X,X,O,O,O,X
ILJOZTS,O,X,X,X,X,X,X,O,O,X
ILJOZST,O,X,X,X,X,X,O,O,O,X
ILSTJZO,O,X,O,X,X,X,O,O,O,O
ILSTJOZ,O,X,X,X,X,X,X,O,O,X
ILSTZJO,O,X,O,O,X,X,O,O,O,O
ILSTZOJ,O,X,O,O,X,X,O,O,O,O
ILSTOJZ,O,X,O,X,X,X,O,O,O,X
ILSTOZJ,X,X,O,X,X,O,O,O,O,O
ILSJTZO,X,X,O,X,X,X,O,O,O,X
ILSJTOZ,X,X,O,X,X,X,X,O,O,X
ILSJZTO,O,O,O,O,O,X,O,O,O,O
ILSJZOT,O,X,O,O,O,X,X,O,O,O
ILSJOTZ,X,X,X,X,X,X,X,O,O,X
ILSJOZT,X,X,O,X,X,O,X,O,O,X
ILSZTJO,O,O,O,O,O,X,O,O,O,O
ILSZTOJ,O,O,O,O,X,O,O,O,O,O
ILSZJTO,O,O,O,O,O,X,O,O,X,O
ILSZJOT,O,X,O,O,O,X,X,O,O,O
ILSZOTJ,O,X,O,O,X,O,O,O,O,O
ILSZOJT,O,X,O,O,X,O,O,O,O,O
ILSOTJZ,X,X,X,X,X,X,O,O,O,X
ILSOTZJ,X,X,X,X,X,O,O,O,O,X
ILSOJTZ,X,X,X,X,X,X,O,O,O,X
ILSOJZT,O,X,O,X,X,O,O,O,O,X
ILSOZTJ,O,X,O,O,X,O,O,O,O,O
ILSOZJT,O,X,O,O,X,O,O,O,O,O
ILZTJSO,O,O,O,O,X,X,O,O,X,X
ILZTJOS,O,O,X,X,X,X,X,O,X,X
ILZTSJO,O,O,O,O,X,X,O,O,X,X
ILZTSOJ,O,X,O,O,X,O,O,O,X,X
ILZTOJS,O,O,O,X,X,X,X,O,O,X
ILZTOSJ,O,X,O,X,X,X,X,O,O,X
ILZJTSO,O,O,O,X,X,X,O,O,X,X
ILZJTOS,O,O,O,X,X,X,X,O,O,X
ILZJSTO,X,X,O,O,X,X,O,O,O,X
ILZJSOT,X,X,O,O,X,X,O,O,O,X
ILZJOTS,O,X,X,X,X,X,X,O,O,X
ILZJOST,O,X,O,X,X,X,O,O,O,X
ILZSTJO,O,X,O,O,X,X,O,O,O,X
ILZSTOJ,O,X,O,O,X,O,O,O,O,X
ILZSJTO,O,X,O,O,X,X,O,O,X,X
ILZSJOT,O,X,O,O,X,X,X,O,O,X
ILZSOTJ,O,X,O,O,X,O,O,O,O,X
ILZSOJT,O,X,O,O,X,O,O,O,O,X
ILZOTJS,O,X,X,X,X,X,X,O,O,X
ILZOTSJ,O,X,X,X,X,O,O,O,O,X
ILZOJTS,O,X,X,X,X,X,X,O,O,X
ILZOJST,O,X,X,X,X,X,O,O,O,X
ILZOSTJ,O,X,O,X,X,O,O,O,O,X
ILZOSJT,O,X,O,X,X,O,O,O,O,X
