sequence,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFufB3bBqiBT?eBllBUqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFUbBGeBqkBz?iBllB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhF3bBGeBqkBz?iBllBUqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jel6IvhF3bBuiBcjBK?kBRlBTqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeT6IvhFlbBuiBcjBy?kBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeT6IvhFCeB0gBXjBx?pBmpBlqB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jel7IvhFGeBifBziB0?fBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFufBqiBTeB0?gBVqB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeG+IvhFxfBziB0kBl?lBikB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8Jei6IvhFGeB1kB0gBz?iBxpB3qB,v115@4gB8GeC8HeB8BeA8DeH8BeF8JeZ/IvhFUbBFjBGqBf?qBzqBCtB
TSJZOLI,X,X,X,X,X,X,X,X,X,X,X
TSJOILZ,O,X,O,X,X,X,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,X,O,X,X,X,X,X,X,X,X
TSJOLZI,O,X,O,X,X,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X,X,X,X,X,X
TSJOZLI,X,X,O,X,X,X,X,X,X,X,X
TSZILJO,O,X,X,X,O,O,X,O,X,X,X
TSZILOJ,O,X,X,X,O,X,X,O,X,X,X
TSZIJLO,O,X,X,X,O,O,X,O,X,X,X
TSZIJOL,X,X,X,X,O,O,X,X,X,X,X
TSZIOLJ,X,X,X,X,O,X,X,X,X,X,X
TSZIOJL,X,X,X,X,O,X,X,X,O,X,X
TSZLIJO,O,X,X,O,X,O,X,O,X,X,X
TSZLIOJ,O,X,O,O,X,X,X,O,X,X,X
TSZLJIO,O,X,X,O,X,X,X,O,X,X,X
TSZLJOI,O,X,X,O,X,X,X,O,X,X,X
TSZLOIJ,O,X,O,X,X,X,X,O,X,X,X
TSZLOJI,O,X,O,O,X,X,X,O,X,X,X
TSZJILO,O,X,X,X,O,X,X,O,X,X,X
TSZJIOL,X,X,X,X,O,X,X,X,X,X,X
TSZJLIO,O,X,X,O,X,X,X,O,X,X,X
TSZJLOI,O,X,X,O,X,X,X,O,X,X,X
TSZJOIL,X,X,X,X,X,X,X,X,X,X,X
TSZJOLI,X,X,X,O,X,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,X,X,X,X,X,X
TSZOIJL,X,X,X,X,X,X,X,X,O,X,X
TSZOLIJ,X,X,O,O,X,X,X,X,X,X,X
TSZOLJI,X,X,O,O,X,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X,X,X,O,X,X
TSZOJLI,X,X,O,O,X,X,X,X,X,X,X
TSOILJZ,O,X,O,X,X,X,O,X,X,X,X
TSOILZJ,O,X,O,X,X,X,O,X,X,X,X
TSOIJLZ,O,X,O,X,X,X,O,X,X,X,X
TSOIJZL,X,X,X,X,X,X,O,X,O,X,X
TSOIZLJ,X,X,X,X,X,X,O,X,X,X,X
TSOIZJL,X,X,X,X,X,X,O,X,X,X,X
TSOLIJZ,O,O,O,O,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,O,X,X,X,X,X,X,X
TSOLJIZ,O,O,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,O,O,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,O,X,X,X,X,X,X,X
TSOLZJI,O,O,O,O,X,X,X,X,X,X,X
TSOJILZ,O,X,O,X,X,X,O,X,X,X,X
TSOJIZL,X,X,X,X,X,X,O,X,O,X,X
TSOJLIZ,O,O,O,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,X,X,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X,X,X,O,X,X
TSOJZLI,X,X,O,X,X,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X,X,X,X,X,X
TSOZIJL,X,X,X,X,X,X,X,X,O,X,X
TSOZLIJ,X,X,O,O,X,X,X,X,X,X,X
TSOZLJI,X,X,O,O,X,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X,X,X,O,X,X
TSOZJLI,X,X,O,O,X,X,X,X,X,X,X
TZILJSO,O,X,X,X,O,X,X,O,X,X,X
TZILJOS,O,X,X,X,O,X,X,O,X,O,X
TZILSJO,O,X,X,X,O,X,X,O,X,X,X
TZILSOJ,O,X,X,X,O,X,X,O,X,O,X
TZILOJS,O,X,X,X,O,X,O,O,O,O,X
TZILOSJ,O,X,X,X,O,X,X,O,X,O,X
TZIJLSO,O,X,X,X,O,X,X,O,X,X,X
TZIJLOS,O,X,X,X,O,X,X,O,X,O,X
TZIJSLO,O,X,X,X,O,O,X,O,X,X,O
TZIJSOL,O,X,X,X,O,O,X,X,X,X,O
TZIJOLS,O,X,X,X,O,X,X,O,O,O,X
TZIJOSL,O,X,X,X,O,O,X,X,O,O,X
TZISLJO,O,X,X,X,O,O,X,O,X,X,X
TZISLOJ,O,X,X,X,O,X,O,O,X,O,X
TZISJLO,O,X,X,X,O,O,X,O,X,X,X
TZISJOL,O,X,X,X,O,O,X,X,X,X,X
TZISOLJ,O,X,X,X,O,X,O,X,X,O,X
TZISOJL,O,X,X,X,O,X,O,X,O,O,X
TZIOLJS,O,X,X,X,O,X,O,O,O,O,X
TZIOLSJ,O,X,X,X,O,X,X,O,X,O,X
TZIOJLS,O,X,X,X,O,X,O,O,O,O,X
TZIOJSL,O,X,X,X,O,X,O,X,O,O,X
TZIOSLJ,O,X,X,X,O,X,O,X,X,O,X
TZIOSJL,O,X,X,X,O,X,O,X,O,O,X
TZLIJSO,O,X,X,O,O,X,X,O,X,X,X
TZLIJOS,O,O,X,O,O,X,X,O,X,X,X
TZLISJO,O,X,X,O,O,X,X,O,X,X,X
TZLISOJ,O,O,O,O,O,X,X,O,X,X,X
TZLIOJS,O,O,O,O,O,X,X,O,O,X,X
TZLIOSJ,O,O,O,O,O,X,X,O,X,X,X
TZLJISO,O,X,X,O,O,X,X,O,X,X,X
TZLJIOS,O,O,X,O,O,X,X,O,X,X,X
TZLJSIO,O,X,X,O,X,X,X,O,X,X,X
TZLJSOI,O,X,X,O,X,X,X,O,X,X,X
TZLJOIS,O,O,X,O,X,X,X,O,X,X,X
TZLJOSI,O,O,X,O,X,X,X,O,X,X,X
TZLSIJO,O,X,X,O,X,X,X,O,X,X,X
TZLSIOJ,O,O,O,O,X,X,X,O,X,X,X
TZLSJIO,O,X,X,O,X,X,X,O,X,X,X
TZLSJOI,O,X,X,O,X,X,X,O,X,X,X
TZLSOIJ,O,O,O,X,X,X,X,O,X,X,X
TZLSOJI,O,O,O,O,X,X,X,O,X,X,X
TZLOIJS,O,O,O,O,X,X,X,O,O,X,X
TZLOISJ,O,O,O,O,X,X,X,O,X,X,X
TZLOJIS,O,O,O,O,X,X,X,O,O,X,X
TZLOJSI,O,O,O,O,X,X,X,O,X,X,X
TZLOSIJ,O,O,O,O,X,X,X,O,X,X,X
TZLOSJI,O,O,O,O,X,X,X,O,X,X,X
TZJILSO,O,X,X,X,O,X,X,O,X,X,X
TZJILOS,O,X,X,X,O,X,X,O,X,X,X
TZJISLO,O,X,X,X,O,X,X,O,X,X,O
TZJISOL,O,X,X,X,O,X,X,X,X,X,O
TZJIOLS,O,X,X,X,O,X,X,O,O,X,X
TZJIOSL,O,X,X,X,O,X,X,X,O,X,X
TZJLISO,O,X,X,O,O,X,X,O,X,X,X
TZJLIOS,O,X,X,O,O,X,X,O,X,X,X
TZJLSIO,O,X,X,O,X,X,X,O,X,X,X
TZJLSOI,O,X,X,O,X,X,X,O,X,X,X
TZJLOIS,O,X,X,O,X,X,X,O,X,X,X
TZJLOSI,O,X,X,O,X,X,X,O,X,X,X
TZJSILO,O,X,X,X,O,X,X,O,X,X,X
TZJSIOL,O,X,X,X,O,X,X,X,X,X,X
TZJSLIO,O,X,X,O,X,X,X,O,X,X,X
TZJSLOI,O,X,X,O,X,X,X,O,X,X,X
TZJSOIL,O,X,X,X,X,X,X,X,X,X,X
TZJSOLI,O,X,X,O,X,X,X,X,X,X,X
TZJOILS,O,X,X,X,O,X,X,O,O,X,X
TZJOISL,O,X,X,X,O,X,X,X,O,X,X
TZJOLIS,O,X,X,O,X,X,X,O,O,X,X
TZJOLSI,O,X,X,O,X,X,X,O,X,X,X
TZJOSIL,O,X,X,X,X,X,X,X,O,X,X
TZJOSLI,O,X,X,O,X,X,X,X,X,X,X
TZSILJO,O,X,X,X,O,O,X,O,X,X,X
TZSILOJ,O,X,X,X,O,X,X,O,X,X,X
TZSIJLO,O,X,X,X,O,O,X,O,X,X,X
TZSIJOL,O,X,X,X,O,O,X,X,X,X,X
TZSIOLJ,O,X,X,X,O,X,X,X,X,X,X
TZSIOJL,O,X,X,X,O,X,X,X,O,X,X
TZSLIJO,O,X,X,O,X,O,X,O,X,X,X
TZSLIOJ,O,X,O,O,X,X,X,O,X,X,X
TZSLJIO,O,X,X,O,X,X,X,O,X,X,X
TZSLJOI,O,X,X,O,X,X,X,O,X,X,X
TZSLOIJ,O,X,O,X,X,X,X,O,X,X,X
TZSLOJI,O,X,O,O,X,X,X,O,X,X,X
TZSJILO,O,X,X,X,O,X,X,O,X,X,X
TZSJIOL,O,X,X,X,O,X,X,X,X,X,X
TZSJLIO,O,X,X,O,X,X,X,O,X,X,X
TZSJLOI,O,X,X,O,X,X,X,O,X,X,X
TZSJOIL,O,X,X,X,X,X,X,X,X,X,X
TZSJOLI,O,X,X,O,X,X,X,X,X,X,X
TZSOILJ,O,X,X,X,X,X,X,X,X,X,X
TZSOIJL,O,X,X,X,X,X,X,X,O,X,X
TZSOLIJ,O,X,O,O,X,X,X,X,X,X,X
TZSOLJI,O,X,O,O,X,X,X,X,X,X,X
TZSOJIL,O,X,X,X,X,X,X,X,O,X,X
TZSOJLI,O,X,O,O,X,X,X,X,X,X,X
TZOILJS,O,X,X,X,O,X,O,O,O,O,X
TZOILSJ,O,X,X,X,O,X,X,O,X,O,X
TZOIJLS,O,X,X,X,O,X,O,O,O,O,X
TZOIJSL,O,X,X,X,O,X,O,X,O,O,X
TZOISLJ,O,X,X,X,O,X,O,X,X,O,X
TZOISJL,O,X,X,X,O,X,O,X,O,O,X
TZOLIJS,O,O,O,O,X,X,X,O,O,X,X
TZOLISJ,O,O,O,O,X,X,X,O,X,X,X
TZOLJIS,O,O,O,O,X,X,X,O,O,X,X
TZOLJSI,O,O,O,O,X,X,X,O,X,X,X
TZOLSIJ,O,O,O,O,X,X,X,O,X,X,X
TZOLSJI,O,O,O,O,X,X,X,O,X,X,X
TZOJILS,O,X,X,X,O,X,O,O,O,O,X
TZOJISL,O,X,X,X,O,X,O,X,O,O,X
TZOJLIS,O,O,O,O,X,X,X,O,O,X,X
TZOJLSI,O,O,O,O,X,X,X,O,X,X,X
TZOJSIL,O,X,X,X,X,X,X,X,O,X,X
TZOJSLI,O,X,O,O,X,X,X,X,X,X,X
TZOSILJ,O,X,X,X,X,X,X,X,X,X,X
TZOSIJL,O,X,X,X,X,X,X,X,O,X,X
TZOSLIJ,O,X,O,O,X,X,X,X,X,X,X
TZOSLJI,O,X,O,O,X,X,X,X,X,X,X
TZOSJIL,O,X,X,X,X,X,X,X,O,X,X
TZOSJLI,O,X,O,O,X,X,X,X,X,X,X
TOILJSZ,O,O,O,X,X,X,O,O,X,O,X
TOILJZS,X,O,O,X,O,X,O,O,O,O,X
TOILSJZ,O,O,O,X,X,X,O,O,X,O,X
TOILSZJ,O,O,O,X,O,X,O,O,X,O,X
TOILZJS,X,O,O,X,O,X,O,O,X,O,X
TOILZSJ,O,O,O,X,O,X,X,O,X,O,X
TOIJLSZ,X,O,O,X,X,X,O,O,X,O,X
TOIJLZS,X,O,O,X,X,X,O,O,O,O,X
TOIJSLZ,X,X,O,X,X,X,O,X,X,O,X
TOIJSZL,X,X,X,X,X,X,O,X,O,O,O
TOIJZLS,X,X,X,X,X,X,O,O,O,O,X
TOIJZSL,X,X,X,X,X,X,O,X,O,O,X
TOISLJZ,O,X,O,X,O,X,O,X,X,O,X
TOISLZJ,O,X,O,X,O,X,O,X,X,O,X
TOISJLZ,O,X,O,X,X,X,O,X,X,O,X
TOISJZL,X,X,X,X,X,X,O,X,O,O,X
TOISZLJ,X,X,X,X,O,X,O,X,X,O,X
TOISZJL,X,X,X,X,O,X,O,X,X,O,X
TOIZLJS,X,X,X,X,O,X,O,O,O,O,X
TOIZLSJ,X,X,X,X,O,X,X,O,X,O,X
TOIZJLS,X,X,X,X,O,X,O,O,O,O,X
TOIZJSL,X,X,X,X,O,X,O,X,O,O,X
TOIZSLJ,X,X,X,X,O,X,O,X,X,O,X
TOIZSJL,X,X,X,X,O,X,O,X,O,O,X
TOLIJSZ,O,O,O,O,X,X,O,O,X,X,X
TOLIJZS,X,O,O,O,X,X,O,O,O,X,X
TOLISJZ,O,O,O,O,X,X,O,O,X,X,X
TOLISZJ,O,O,O,O,X,X,O,O,X,X,X
TOLIZJS,X,O,O,O,X,X,O,O,X,X,X
TOLIZSJ,O,O,O,O,X,X,X,O,X,X,X
TOLJISZ,O,O,O,X,X,X,O,O,X,X,X
TOLJIZS,X,O,O,X,X,X,O,O,O,X,X
TOLJSIZ,O,O,O,X,X,X,X,O,X,X,X
TOLJSZI,O,O,O,O,X,X,X,O,X,X,X
TOLJZIS,X,O,O,O,X,X,X,O,O,X,X
TOLJZSI,X,O,O,O,X,X,X,O,X,X,X
TOLSIJZ,O,O,O,O,X,X,X,O,X,X,X
TOLSIZJ,O,O,O,O,X,X,X,O,X,X,X
TOLSJIZ,O,O,O,X,X,X,X,O,X,X,X
TOLSJZI,O,O,O,O,X,X,X,O,X,X,X
TOLSZIJ,O,O,O,O,X,X,X,O,X,X,X
TOLSZJI,O,O,O,O,X,X,X,O,X,X,X
TOLZIJS,X,O,O,O,X,X,X,O,O,X,X
TOLZISJ,O,O,O,O,X,X,X,O,X,X,X
TOLZJIS,X,O,O,O,X,X,X,O,O,X,X
TOLZJSI,X,O,O,O,X,X,X,O,X,X,X
TOLZSIJ,O,O,O,O,X,X,X,O,X,X,X
TOLZSJI,O,O,O,O,X,X,X,O,X,X,X
TOJILSZ,X,O,O,X,X,X,O,O,X,O,X
TOJILZS,X,O,O,X,X,X,O,O,O,O,X
TOJISLZ,X,X,O,X,X,X,O,X,X,O,X
TOJISZL,X,X,X,X,X,X,O,X,O,O,O
TOJIZLS,X,X,X,X,X,X,O,O,O,O,X
TOJIZSL,X,X,X,X,X,X,O,X,O,O,X
TOJLISZ,X,O,O,X,X,X,O,O,X,X,X
TOJLIZS,X,O,O,X,X,X,O,O,O,X,X
TOJLSIZ,X,O,O,X,X,X,X,O,X,X,X
TOJLSZI,X,O,O,X,X,X,X,O,X,X,X
TOJLZIS,X,O,O,X,X,X,X,O,O,X,X
TOJLZSI,X,O,O,X,X,X,X,O,X,X,X
TOJSILZ,X,X,O,X,X,X,O,X,X,X,X
TOJSIZL,X,X,X,X,X,X,O,X,O,X,X
TOJSLIZ,X,O,O,X,X,X,X,X,X,X,X
TOJSLZI,X,O,O,X,X,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,X,X,X,O,X,X
TOJSZLI,X,X,O,X,X,X,X,X,X,X,X
TOJZILS,X,X,X,X,X,X,O,O,O,O,X
TOJZISL,X,X,X,X,X,X,O,X,O,O,X
TOJZLIS,X,O,O,X,X,X,X,O,O,X,X
TOJZLSI,X,O,O,X,X,X,X,O,X,X,X
TOJZSIL,X,X,X,X,X,X,X,X,O,X,X
TOJZSLI,X,X,O,X,X,X,X,X,X,X,X
TOSILJZ,O,X,O,X,X,X,O,X,X,X,X
TOSILZJ,O,X,O,X,X,X,O,X,X,X,X
TOSIJLZ,O,X,O,X,X,X,O,X,X,X,X
TOSIJZL,X,X,X,X,X,X,O,X,O,X,X
TOSIZLJ,X,X,X,X,X,X,O,X,X,X,X
TOSIZJL,X,X,X,X,X,X,O,X,X,X,X
TOSLIJZ,O,O,O,O,X,X,X,X,X,X,X
TOSLIZJ,O,O,O,O,X,X,X,X,X,X,X
TOSLJIZ,O,O,O,X,X,X,X,X,X,X,X
TOSLJZI,O,O,O,O,X,X,X,X,X,X,X
TOSLZIJ,O,O,O,O,X,X,X,X,X,X,X
TOSLZJI,O,O,O,O,X,X,X,X,X,X,X
TOSJILZ,O,X,O,X,X,X,O,X,X,X,X
TOSJIZL,X,X,X,X,X,X,O,X,O,X,X
TOSJLIZ,O,O,O,X,X,X,X,X,X,X,X
TOSJLZI,O,O,O,X,X,X,X,X,X,X,X
TOSJZIL,X,X,X,X,X,X,X,X,O,X,X
TOSJZLI,X,X,O,X,X,X,X,X,X,X,X
TOSZILJ,X,X,X,X,X,X,X,X,X,X,X
TOSZIJL,X,X,X,X,X,X,X,X,O,X,X
TOSZLIJ,X,X,O,O,X,X,X,X,X,X,X
TOSZLJI,X,X,O,O,X,X,X,X,X,X,X
TOSZJIL,X,X,X,X,X,X,X,X,O,X,X
TOSZJLI,X,X,O,O,X,X,X,X,X,X,X
TOZILJS,X,X,X,X,O,X,O,O,O,O,X
TOZILSJ,X,X,X,X,O,X,X,O,X,O,X
TOZIJLS,X,X,X,X,O,X,O,O,O,O,X
TOZIJSL,X,X,X,X,O,X,O,X,O,O,X
TOZISLJ,X,X,X,X,O,X,O,X,X,O,X
TOZISJL,X,X,X,X,O,X,O,X,O,O,X
TOZLIJS,X,O,O,O,X,X,X,O,O,X,X
TOZLISJ,X,O,O,O,X,X,X,O,X,X,X
TOZLJIS,X,O,O,O,X,X,X,O,O,X,X
TOZLJSI,X,O,O,O,X,X,X,O,X,X,X
TOZLSIJ,X,O,O,O,X,X,X,O,X,X,X
TOZLSJI,X,O,O,O,X,X,X,O,X,X,X
TOZJILS,X,X,X,X,O,X,O,O,O,O,X
TOZJISL,X,X,X,X,O,X,O,X,O,O,X
TOZJLIS,X,O,O,O,X,X,X,O,O,X,X
TOZJLSI,X,O,O,O,X,X,X,O,X,X,X
TOZJSIL,X,X,X,X,X,X,X,X,O,X,X
TOZJSLI,X,X,O,O,X,X,X,X,X,X,X
TOZSILJ,X,X,X,X,X,X,X,X,X,X,X
TOZSIJL,X,X,X,X,X,X,X,X,O,X,X
TOZSLIJ,X,X,O,O,X,X,X,X,X,X,X
TOZSLJI,X,X,O,O,X,X,X,X,X,X,X
TOZSJIL,X,X,X,X,X,X,X,X,O,X,X
TOZSJLI,X,X,O,O,X,X,X,X,X,X,X
ITLJSZO,O,X,X,X,X,X,X,O,X,X,O
ITLJSOZ,O,X,O,X,X,X,X,O,X,X,X
ITLJZSO,X,X,X,X,O,X,X,O,X,X,X
ITLJZOS,X,O,X,X,O,X,X,O,X,O,X
ITLJOSZ,O,O,O,X,X,X,O,O,X,O,X
ITLJOZS,X,O,O,X,O,X,O,O,X,O,X
ITLSJZO,O,X,X,X,O,X,X,O,X,X,X
ITLSJOZ,O,X,O,X,O,X,O,O,X,X,X
ITLSZJO,O,X,X,X,O,X,X,O,X,X,X
ITLSZOJ,O,O,O,X,O,X,O,O,X,O,X
ITLSOJZ,O,O,O,X,O,X,O,O,X,O,X
ITLSOZJ,O,O,O,X,O,X,O,O,X,O,X
ITLZJSO,O,X,X,X,O,X,X,O,X,X,X
ITLZJOS,O,O,X,X,O,X,X,O,X,O,X
ITLZSJO,O,X,X,X,O,X,X,O,X,X,X
ITLZSOJ,O,O,O,X,O,X,X,O,X,O,X
ITLZOJS,O,O,O,X,O,X,O,O,X,O,X
ITLZOSJ,O,O,O,X,O,X,X,O,X,O,X
ITLOJSZ,O,O,O,X,X,X,O,O,X,O,X
ITLOJZS,X,O,O,X,O,X,O,O,O,O,X
ITLOSJZ,O,O,O,X,X,X,O,O,X,O,X
ITLOSZJ,O,O,O,X,O,X,O,O,X,O,X
ITLOZJS,O,O,O,X,O,X,O,O,X,O,X
ITLOZSJ,O,O,O,X,O,X,X,O,X,O,X
ITJLSZO,O,X,X,X,X,X,X,O,X,X,O
ITJLSOZ,O,X,X,X,X,X,X,O,X,X,X
ITJLZSO,X,X,X,X,O,X,X,O,X,X,X
ITJLZOS,X,X,X,X,O,X,X,O,X,O,X
ITJLOSZ,O,X,X,X,X,X,O,O,X,O,X
ITJLOZS,X,X,X,X,O,X,O,O,X,O,X
ITJSLZO,O,X,X,X,O,O,X,O,X,X,O
ITJSLOZ,O,X,X,X,O,O,O,O,X,X,X
ITJSZLO,O,X,X,X,O,O,X,O,X,X,O
ITJSZOL,X,X,X,X,O,O,X,X,X,X,O
ITJSOLZ,O,X,X,X,X,O,O,X,X,X,X
ITJSOZL,X,X,X,X,X,O,O,X,X,X,O
ITJZLSO,X,X,X,X,O,X,X,O,X,X,X
ITJZLOS,X,X,X,X,O,X,X,O,X,O,X
ITJZSLO,X,X,X,X,O,O,X,O,X,X,O
ITJZSOL,X,X,X,X,O,O,X,X,X,X,O
ITJZOLS,X,X,X,X,O,X,X,O,X,O,X
ITJZOSL,X,X,X,X,O,O,X,X,X,O,X
ITJOLSZ,X,X,X,X,X,X,O,O,X,O,X
ITJOLZS,X,X,X,X,X,X,O,O,O,O,X
ITJOSLZ,X,X,X,X,X,O,O,X,X,O,X
ITJOSZL,X,X,X,X,X,O,O,X,O,O,O
ITJOZLS,X,X,X,X,X,X,O,O,O,O,X
ITJOZSL,X,X,X,X,X,O,O,X,O,O,X
ITSLJZO,O,X,X,X,O,O,X,O,X,X,X
ITSLJOZ,O,X,O,X,O,O,O,O,X,X,X
ITSLZJO,O,X,X,X,O,O,X,O,X,X,X
ITSLZOJ,O,X,O,X,O,X,O,O,X,O,X
ITSLOJZ,O,X,O,X,O,X,O,O,X,O,X
ITSLOZJ,O,X,O,X,O,X,O,O,X,O,X
ITSJLZO,O,X,X,X,O,O,X,O,X,X,O
ITSJLOZ,O,X,X,X,O,O,O,O,X,X,X
ITSJZLO,O,X,X,X,O,O,X,O,X,X,O
ITSJZOL,X,X,X,X,O,O,X,X,X,X,O
ITSJOLZ,O,X,X,X,X,O,O,X,X,X,X
ITSJOZL,X,X,X,X,X,O,O,X,X,X,O
ITSZLJO,O,X,X,X,O,O,X,O,X,X,X
ITSZLOJ,O,X,X,X,O,X,O,O,X,O,X
ITSZJLO,O,X,X,X,O,O,X,O,X,X,X
ITSZJOL,X,X,X,X,O,O,X,X,X,X,X
ITSZOLJ,X,X,X,X,O,X,O,X,X,O,X
ITSZOJL,X,X,X,X,O,X,O,X,X,O,X
ITSOLJZ,O,X,O,X,O,X,O,X,X,O,X
ITSOLZJ,O,X,O,X,O,X,O,X,X,O,X
ITSOJLZ,O,X,O,X,X,X,O,X,X,O,X
ITSOJZL,X,X,X,X,X,X,O,X,O,O,X
ITSOZLJ,X,X,X,X,O,X,O,X,X,O,X
ITSOZJL,X,X,X,X,O,X,O,X,X,O,X
ITZLJSO,O,X,X,X,O,X,X,O,X,X,X
ITZLJOS,O,X,X,X,O,X,X,O,X,O,X
ITZLSJO,O,X,X,X,O,X,X,O,X,X,X
ITZLSOJ,O,X,X,X,O,X,X,O,X,O,X
ITZLOJS,O,X,X,X,O,X,O,O,O,O,X
ITZLOSJ,O,X,X,X,O,X,X,O,X,O,X
ITZJLSO,O,X,X,X,O,X,X,O,X,X,X
ITZJLOS,O,X,X,X,O,X,X,O,X,O,X
ITZJSLO,O,X,X,X,O,O,X,O,X,X,O
ITZJSOL,O,X,X,X,O,O,X,X,X,X,O
ITZJOLS,O,X,X,X,O,X,X,O,O,O,X
ITZJOSL,O,X,X,X,O,O,X,X,O,O,X
ITZSLJO,O,X,X,X,O,O,X,O,X,X,X
ITZSLOJ,O,X,X,X,O,X,O,O,X,O,X
ITZSJLO,O,X,X,X,O,O,X,O,X,X,X
ITZSJOL,O,X,X,X,O,O,X,X,X,X,X
ITZSOLJ,O,X,X,X,O,X,O,X,X,O,X
ITZSOJL,O,X,X,X,O,X,O,X,O,O,X
ITZOLJS,O,X,X,X,O,X,O,O,O,O,X
ITZOLSJ,O,X,X,X,O,X,X,O,X,O,X
ITZOJLS,O,X,X,X,O,X,O,O,O,O,X
ITZOJSL,O,X,X,X,O,X,O,X,O,O,X
ITZOSLJ,O,X,X,X,O,X,O,X,X,O,X
ITZOSJL,O,X,X,X,O,X,O,X,O,O,X
ITOLJSZ,O,O,O,X,X,X,O,O,X,O,X
ITOLJZS,X,O,O,X,O,X,O,O,O,O,X
ITOLSJZ,O,O,O,X,X,X,O,O,X,O,X
ITOLSZJ,O,O,O,X,O,X,O,O,X,O,X
ITOLZJS,X,O,O,X,O,X,O,O,X,O,X
ITOLZSJ,O,O,O,X,O,X,X,O,X,O,X
ITOJLSZ,X,O,O,X,X,X,O,O,X,O,X
ITOJLZS,X,O,O,X,X,X,O,O,O,O,X
ITOJSLZ,X,X,O,X,X,X,O,X,X,O,X
ITOJSZL,X,X,X,X,X,X,O,X,O,O,O
ITOJZLS,X,X,X,X,X,X,O,O,O,O,X
ITOJZSL,X,X,X,X,X,X,O,X,O,O,X
ITOSLJZ,O,X,O,X,O,X,O,X,X,O,X
ITOSLZJ,O,X,O,X,O,X,O,X,X,O,X
ITOSJLZ,O,X,O,X,X,X,O,X,X,O,X
ITOSJZL,X,X,X,X,X,X,O,X,O,O,X
ITOSZLJ,X,X,X,X,O,X,O,X,X,O,X
ITOSZJL,X,X,X,X,O,X,O,X,X,O,X
ITOZLJS,X,X,X,X,O,X,O,O,O,O,X
ITOZLSJ,X,X,X,X,O,X,X,O,X,O,X
ITOZJLS,X,X,X,X,O,X,O,O,O,O,X
ITOZJSL,X,X,X,X,O,X,O,X,O,O,X
ITOZSLJ,X,X,X,X,O,X,O,X,X,O,X
ITOZSJL,X,X,X,X,O,X,O,X,O,O,X
ILTJSZO,O,X,X,O,X,X,X,O,X,X,O
ILTJSOZ,O,X,O,X,X,X,X,O,X,X,X
ILTJZSO,X,X,X,O,O,X,X,O,X,X,X
ILTJZOS,X,O,X,O,O,X,X,O,X,O,X
ILTJOSZ,O,O,O,X,X,X,O,O,X,O,X
ILTJOZS,X,O,O,X,O,X,O,O,X,O,X
ILTSJZO,O,X,X,O,O,X,X,O,X,X,X
ILTSJOZ,O,X,O,X,O,X,O,O,X,X,X
ILTSZJO,O,X,X,O,O,X,X,O,X,X,X
ILTSZOJ,O,O,O,O,O,X,O,O,X,O,X
ILTSOJZ,O,O,O,X,O,X,O,O,X,O,X
ILTSOZJ,O,O,O,O,O,X,O,O,X,O,X
ILTZJSO,O,X,X,O,O,X,X,O,X,X,X
ILTZJOS,O,O,X,O,O,X,X,O,X,O,X
ILTZSJO,O,X,X,O,O,X,X,O,X,X,X
ILTZSOJ,O,O,O,O,O,X,X,O,X,O,X
ILTZOJS,O,O,O,O,O,X,O,O,X,O,X
ILTZOSJ,O,O,O,O,O,X,X,O,X,O,X
ILTOJSZ,O,O,O,X,X,X,O,O,X,O,X
ILTOJZS,X,O,O,X,O,X,O,O,X,O,X
ILTOSJZ,O,O,O,X,X,X,O,O,X,O,X
ILTOSZJ,O,O,O,O,O,X,O,O,X,O,X
ILTOZJS,O,O,O,O,O,X,O,O,X,O,X
ILTOZSJ,O,O,O,O,O,X,X,O,X,O,X
ILJTSZO,O,X,X,O,X,X,X,O,X,X,O
ILJTSOZ,O,X,O,X,X,X,X,O,X,X,X
ILJTZSO,X,X,X,O,O,X,X,O,X,X,X
ILJTZOS,X,O,X,O,O,X,X,O,X,X,X
ILJTOSZ,O,O,O,X,X,X,O,O,X,X,X
