sequence,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhB6hBTiB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jey/IvhFzbBGdB3hB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeG8IvhFTdBUhB/kBalBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhFTdBUhB/kB6mBmq?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFygBGdB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBCiBVrB3p?B2vB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFSiBUhBelBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBOrB/qBCn?B1uB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhBxcBCiBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFGdB3hBlkBxqBTp?ByvB,v115@7gB8HeF8BeE8EeD8EeE8Je2/IvhFSiBUhBzkBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhF5hBTdBerB/kB8l?ByuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFygBGdB3hB1uBxq?B0qB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFTdBUhBmkBSrB1u?BXrB,v115@7gB8HeF8BeE8EeD8EeE8Jem7IvhFSiBxfB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFxcBXmBlkBCnB2v?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhF6hBTdBVrB0kBfr?BxuB
TLIJZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLISJOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLISZOJ,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLISOJZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLISOZJ,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLIZJSO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIZSJO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLIZSOJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLIZOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLIOJSZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIOZJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJISZO,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJISOZ,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJIZSO,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJSIZO,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X
TLJSIOZ,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJSZIO,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJSOZI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLJZSOI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLJZOIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJOISZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJOSIZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSIJZO,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSIJOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
