sequence,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhF0cBTeBflBl?gBOrBCqB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBifB3?gB1pBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhFFbB0cBTeBq?kB3gBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeO/IvhFXbB0cBTeB1?pBxlBarB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBKkBf?lBFmBmqB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBKkBf?lBlgBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhFTeBflB0gBl?hBClBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhFTeBKkBflB0?gBlhBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex7IvhFTeBOkBXgBl?hBarB0pB
TZIOLJS,X,O,O,O,O,X,X,X,X
TZIOLSJ,X,O,O,O,O,X,X,X,X
TZIOJLS,X,X,X,O,X,X,X,X,X
TZIOJSL,X,X,X,O,X,X,X,X,X
TZIOSLJ,X,O,X,O,X,X,O,X,X
TZIOSJL,X,O,X,O,X,X,O,X,X
TZLIJSO,X,O,X,O,X,X,X,X,X
TZLIJOS,X,O,O,O,O,X,X,X,X
TZLISJO,X,O,O,O,O,X,X,X,X
TZLISOJ,X,O,O,O,O,X,X,X,X
TZLIOJS,X,O,O,O,O,X,X,X,X
TZLIOSJ,X,O,O,O,O,O,X,X,X
TZLJISO,X,O,X,O,X,X,X,X,X
TZLJIOS,X,O,O,O,O,X,X,X,X
TZLJSIO,X,O,X,X,O,X,X,X,X
TZLJSOI,X,O,X,O,O,X,X,X,X
TZLJOIS,X,O,O,O,O,X,X,X,X
TZLJOSI,X,O,X,O,O,X,X,X,X
TZLSIJO,X,O,O,X,O,O,X,O,X
TZLSIOJ,X,O,O,X,O,O,O,O,X
TZLSJIO,X,O,O,X,O,O,X,O,X
TZLSJOI,X,O,O,O,O,O,X,O,X
TZLSOIJ,X,O,O,X,O,O,O,O,X
TZLSOJI,X,O,O,O,O,O,X,O,X
TZLOIJS,X,O,O,O,O,X,X,X,X
TZLOISJ,X,O,O,O,O,O,X,X,X
TZLOJIS,X,O,O,O,O,X,X,X,X
TZLOJSI,X,O,X,O,O,X,X,X,X
TZLOSIJ,X,O,O,X,O,O,O,O,X
TZLOSJI,X,O,O,O,O,O,X,O,X
TZJILSO,X,O,X,O,X,X,X,X,X
TZJILOS,X,O,X,O,X,X,X,X,X
TZJISLO,X,O,X,O,X,X,X,X,X
TZJISOL,X,O,X,O,X,X,X,X,X
TZJIOLS,X,O,X,O,X,X,X,X,X
TZJIOSL,X,O,X,O,X,X,X,X,X
TZJLISO,X,O,X,O,X,X,X,X,X
TZJLIOS,X,O,X,O,O,X,X,X,X
TZJLSIO,X,O,X,X,O,X,X,X,X
TZJLSOI,X,O,X,O,O,X,X,X,X
TZJLOIS,X,O,X,O,O,X,X,X,X
TZJLOSI,X,O,X,O,O,X,X,X,X
TZJSILO,X,O,X,O,X,X,X,X,X
TZJSIOL,X,O,X,O,X,X,O,X,X
TZJSLIO,X,O,X,X,X,X,X,X,X
TZJSLOI,X,O,X,O,X,X,X,X,X
TZJSOIL,X,O,X,O,X,X,O,X,X
TZJSOLI,X,O,X,O,X,X,X,X,X
TZJOILS,X,O,X,O,X,X,X,X,X
TZJOISL,X,O,X,O,X,X,X,X,X
TZJOLIS,X,O,X,O,O,X,X,X,X
TZJOLSI,X,O,X,O,O,X,X,X,X
TZJOSIL,X,O,X,O,X,X,O,X,X
TZJOSLI,X,O,X,O,X,X,X,X,X
TZSILJO,X,O,X,O,X,X,X,X,X
TZSILOJ,X,O,X,O,X,X,O,X,X
TZSIJLO,X,X,X,O,X,X,X,X,X
TZSIJOL,X,O,X,O,X,X,O,X,X
TZSIOLJ,X,O,X,O,X,X,O,X,X
TZSIOJL,X,O,X,O,X,X,O,X,X
TZSLIJO,X,O,O,X,O,X,X,X,X
TZSLIOJ,X,O,O,X,O,X,O,X,X
TZSLJIO,X,O,O,X,O,X,X,X,X
TZSLJOI,X,O,O,O,O,X,X,X,X
TZSLOIJ,X,O,O,X,O,X,O,X,X
TZSLOJI,X,O,O,O,O,X,X,X,X
TZSJILO,X,X,X,O,X,X,X,X,X
TZSJIOL,X,O,X,O,X,X,O,X,X
TZSJLIO,X,O,X,X,X,X,X,X,X
TZSJLOI,X,O,X,O,X,X,X,X,X
TZSJOIL,X,O,X,O,X,X,O,X,X
TZSJOLI,X,O,X,O,X,X,X,X,X
TZSOILJ,X,O,X,O,X,X,O,X,X
TZSOIJL,X,O,X,O,X,X,O,X,X
TZSOLIJ,X,O,O,X,O,X,O,X,X
TZSOLJI,X,O,O,O,O,X,X,X,X
TZSOJIL,X,O,X,O,X,X,O,X,X
TZSOJLI,X,O,X,O,X,X,X,X,X
TZOILJS,X,O,O,O,O,X,X,X,X
TZOILSJ,X,O,O,O,O,X,X,X,X
TZOIJLS,X,X,X,O,X,X,X,X,X
TZOIJSL,X,X,X,O,X,X,X,X,X
TZOISLJ,X,O,X,O,X,X,O,X,X
TZOISJL,X,O,X,O,X,X,O,X,X
TZOLIJS,X,O,O,O,O,X,X,X,X
TZOLISJ,X,O,O,O,O,O,X,X,X
TZOLJIS,X,O,O,O,O,X,X,X,X
TZOLJSI,X,O,X,O,O,X,X,X,X
TZOLSIJ,X,O,O,X,O,O,O,O,X
TZOLSJI,X,O,O,O,O,O,X,O,X
TZOJILS,X,O,X,O,X,X,X,X,X
TZOJISL,X,O,X,O,X,X,X,X,X
TZOJLIS,X,O,X,O,O,X,X,X,X
TZOJLSI,X,O,X,O,O,X,X,X,X
TZOJSIL,X,O,X,O,X,X,O,X,X
TZOJSLI,X,O,X,O,X,X,X,X,X
TZOSILJ,X,O,X,O,X,X,O,X,X
TZOSIJL,X,O,X,O,X,X,O,X,X
TZOSLIJ,X,O,O,X,O,X,O,X,X
TZOSLJI,X,O,O,O,O,X,X,X,X
TZOSJIL,X,O,X,O,X,X,O,X,X
TZOSJLI,X,O,X,O,X,X,X,X,X
TOILJSZ,X,O,O,O,X,X,X,X,X
TOILJZS,X,O,O,O,O,X,X,X,X
TOILSJZ,X,O,O,O,O,X,X,X,X
TOILSZJ,X,O,O,O,O,X,O,O,X
TOILZJS,X,O,O,O,O,X,X,X,X
TOILZSJ,X,O,O,O,O,X,X,X,X
TOIJLSZ,X,O,O,O,X,X,X,X,X
TOIJLZS,X,O,O,O,X,X,X,X,X
TOIJSLZ,O,O,X,O,X,X,X,X,X
TOIJSZL,O,O,X,O,X,X,O,X,X
TOIJZLS,X,O,O,O,X,X,X,X,X
TOIJZSL,O,O,X,O,X,X,X,X,X
TOISLJZ,X,O,X,O,X,X,X,X,X
TOISLZJ,X,O,X,O,X,X,O,X,X
TOISJLZ,O,X,X,O,X,X,X,X,X
TOISJZL,O,O,X,O,X,X,O,X,X
TOISZLJ,X,O,X,O,X,X,O,X,X
TOISZJL,X,O,X,O,X,X,O,X,X
TOIZLJS,X,O,O,O,O,X,X,X,X
TOIZLSJ,X,O,O,O,O,X,X,X,X
TOIZJLS,X,X,X,O,X,X,X,X,X
TOIZJSL,X,X,X,O,X,X,X,X,X
TOIZSLJ,X,O,X,O,X,X,O,X,X
TOIZSJL,X,O,X,O,X,X,O,X,X
TOLIJSZ,X,O,O,O,X,X,X,X,O
TOLIJZS,X,O,O,O,O,O,X,X,X
TOLISJZ,X,O,O,O,O,O,X,X,O
TOLISZJ,X,O,O,O,O,O,O,O,O
TOLIZJS,X,O,O,O,O,X,X,X,X
TOLIZSJ,X,O,O,O,O,O,X,X,O
TOLJISZ,X,O,O,O,X,X,X,X,O
TOLJIZS,X,O,O,O,O,O,X,X,X
TOLJSIZ,X,O,O,O,O,O,X,X,O
TOLJSZI,X,O,O,O,O,O,X,O,O
TOLJZIS,X,O,O,O,O,O,X,X,X
TOLJZSI,X,O,O,O,O,O,X,X,O
TOLSIJZ,X,O,O,O,O,O,X,X,O
TOLSIZJ,X,O,O,O,O,O,O,O,O
TOLSJIZ,X,O,O,O,O,O,X,X,O
TOLSJZI,X,O,O,O,O,O,X,O,O
TOLSZIJ,X,O,O,X,O,O,O,O,O
TOLSZJI,X,O,O,O,O,O,X,O,O
TOLZIJS,X,O,O,O,O,X,X,X,X
TOLZISJ,X,O,O,O,O,O,X,X,O
TOLZJIS,X,O,O,O,O,X,X,X,X
TOLZJSI,X,O,O,O,O,X,X,X,O
TOLZSIJ,X,O,O,X,O,O,O,O,O
TOLZSJI,X,O,O,O,O,O,X,O,O
TOJILSZ,X,O,O,O,X,X,X,X,X
TOJILZS,X,O,O,O,X,X,X,X,X
TOJISLZ,O,O,X,O,X,X,X,X,X
TOJISZL,O,O,X,O,X,X,O,X,X
TOJIZLS,X,O,O,O,X,X,X,X,X
TOJIZSL,O,O,X,O,X,X,X,X,X
TOJLISZ,X,O,O,O,X,X,X,X,O
TOJLIZS,X,O,O,O,O,O,X,X,X
TOJLSIZ,O,O,O,O,O,O,X,X,O
TOJLSZI,O,O,O,O,O,O,X,O,O
TOJLZIS,X,O,O,O,O,O,X,X,X
TOJLZSI,O,O,O,O,O,O,X,X,O
TOJSILZ,O,O,X,O,X,X,X,X,X
TOJSIZL,O,O,X,O,X,X,O,X,X
TOJSLIZ,O,O,O,O,X,X,X,X,X
TOJSLZI,O,O,O,O,X,X,X,X,X
TOJSZIL,O,O,X,O,X,X,O,X,X
TOJSZLI,O,O,O,O,X,X,X,X,X
TOJZILS,X,O,O,O,X,X,X,X,X
TOJZISL,O,O,X,O,X,X,X,X,X
TOJZLIS,X,O,O,O,O,O,X,X,X
TOJZLSI,O,O,O,O,O,O,X,X,X
TOJZSIL,O,O,X,O,X,X,O,X,X
TOJZSLI,O,O,O,O,X,X,X,X,X
TOSILJZ,X,O,X,O,X,X,X,X,X
TOSILZJ,X,O,X,O,X,X,O,X,X
TOSIJLZ,O,X,X,O,X,X,X,X,X
TOSIJZL,O,O,X,O,X,X,O,X,X
TOSIZLJ,X,O,X,O,X,X,O,X,X
TOSIZJL,X,O,X,O,X,X,O,X,X
TOSLIJZ,X,O,O,O,O,X,X,X,X
TOSLIZJ,X,O,O,O,O,X,O,O,X
TOSLJIZ,X,O,O,O,O,X,X,X,X
TOSLJZI,X,O,O,O,O,X,X,O,X
TOSLZIJ,X,O,O,X,O,X,O,O,X
TOSLZJI,X,O,O,O,O,X,X,O,X
TOSJILZ,O,O,X,O,X,X,X,X,X
TOSJIZL,O,O,X,O,X,X,O,X,X
TOSJLIZ,O,O,X,O,X,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X,X
TOSJZIL,O,O,X,O,X,X,O,X,X
TOSJZLI,O,O,X,O,X,X,X,X,X
TOSZILJ,X,O,X,O,X,X,O,X,X
TOSZIJL,X,O,X,O,X,X,O,X,X
TOSZLIJ,X,O,O,X,O,X,O,X,X
TOSZLJI,X,O,O,O,O,X,X,X,X
TOSZJIL,X,O,X,O,X,X,O,X,X
TOSZJLI,X,O,X,O,X,X,X,X,X
TOZILJS,X,O,O,O,O,X,X,X,X
TOZILSJ,X,O,O,O,O,X,X,X,X
TOZIJLS,X,X,X,O,X,X,X,X,X
TOZIJSL,X,X,X,O,X,X,X,X,X
TOZISLJ,X,O,X,O,X,X,O,X,X
TOZISJL,X,O,X,O,X,X,O,X,X
TOZLIJS,X,O,O,O,O,X,X,X,X
TOZLISJ,X,O,O,O,O,O,X,X,X
TOZLJIS,X,O,O,O,O,X,X,X,X
TOZLJSI,X,O,X,O,O,X,X,X,X
TOZLSIJ,X,O,O,X,O,O,O,O,X
TOZLSJI,X,O,O,O,O,O,X,O,X
TOZJILS,X,O,X,O,X,X,X,X,X
TOZJISL,X,O,X,O,X,X,X,X,X
TOZJLIS,X,O,X,O,O,X,X,X,X
TOZJLSI,X,O,X,O,O,X,X,X,X
TOZJSIL,X,O,X,O,X,X,O,X,X
TOZJSLI,X,O,X,O,X,X,X,X,X
TOZSILJ,X,O,X,O,X,X,O,X,X
TOZSIJL,X,O,X,O,X,X,O,X,X
TOZSLIJ,X,O,O,X,O,X,O,X,X
TOZSLJI,X,O,O,O,O,X,X,X,X
TOZSJIL,X,O,X,O,X,X,O,X,X
TOZSJLI,X,O,X,O,X,X,X,X,X
ITLJSZO,X,O,O,O,X,X,X,X,X
ITLJSOZ,X,O,O,O,X,X,X,X,X
ITLJZSO,X,O,O,O,X,X,X,X,X
ITLJZOS,X,O,O,O,O,X,X,X,X
ITLJOSZ,X,O,O,O,X,X,X,X,X
ITLJOZS,X,O,O,O,O,X,X,X,X
ITLSJZO,X,O,O,O,O,X,X,X,X
ITLSJOZ,X,O,O,O,O,X,X,X,X
ITLSZJO,X,O,O,O,O,X,X,O,X
ITLSZOJ,X,O,O,O,O,X,O,O,X
ITLSOJZ,X,O,O,O,O,X,X,X,X
ITLSOZJ,X,O,O,O,O,X,O,O,X
ITLZJSO,X,O,O,O,X,X,X,X,X
ITLZJOS,X,O,O,O,O,X,X,X,X
ITLZSJO,X,O,O,O,O,X,X,X,X
ITLZSOJ,X,O,O,O,O,X,X,X,X
ITLZOJS,X,O,O,O,O,X,X,X,X
ITLZOSJ,X,O,O,O,O,X,X,X,X
ITLOJSZ,X,O,O,O,X,X,X,X,X
ITLOJZS,X,O,O,O,O,X,X,X,X
ITLOSJZ,X,O,O,O,O,X,X,X,X
ITLOSZJ,X,O,O,O,O,X,O,O,X
ITLOZJS,X,O,O,O,O,X,X,X,X
ITLOZSJ,X,O,O,O,O,X,X,X,X
ITJLSZO,X,O,O,O,X,X,X,X,X
ITJLSOZ,X,O,O,O,X,X,X,X,X
ITJLZSO,X,O,O,O,X,X,X,X,X
ITJLZOS,X,O,O,O,X,X,X,X,X
ITJLOSZ,X,O,O,O,X,X,X,X,X
ITJLOZS,X,O,O,O,X,X,X,X,X
ITJSLZO,O,O,X,O,X,X,X,X,X
ITJSLOZ,O,O,X,O,X,X,X,X,X
ITJSZLO,O,O,X,O,X,X,X,X,X
ITJSZOL,O,O,X,O,X,X,O,X,X
ITJSOLZ,O,O,X,O,X,X,X,X,X
ITJSOZL,O,O,X,O,X,X,O,X,X
ITJZLSO,X,O,O,O,X,X,X,X,X
ITJZLOS,X,O,O,O,X,X,X,X,X
ITJZSLO,O,O,X,O,X,X,X,X,X
ITJZSOL,O,O,X,O,X,X,X,X,X
ITJZOLS,X,O,O,O,X,X,X,X,X
ITJZOSL,O,O,X,O,X,X,X,X,X
ITJOLSZ,X,O,O,O,X,X,X,X,X
ITJOLZS,X,O,O,O,X,X,X,X,X
ITJOSLZ,O,O,X,O,X,X,X,X,X
ITJOSZL,O,O,X,O,X,X,O,X,X
ITJOZLS,X,O,O,O,X,X,X,X,X
ITJOZSL,O,O,X,O,X,X,X,X,X
ITSLJZO,X,O,X,O,X,X,X,X,X
ITSLJOZ,X,O,X,O,X,X,X,X,X
ITSLZJO,X,O,X,O,X,X,X,X,X
ITSLZOJ,X,O,X,O,X,X,O,X,X
ITSLOJZ,X,O,X,O,X,X,X,X,X
ITSLOZJ,X,O,X,O,X,X,O,X,X
ITSJLZO,O,X,X,O,X,X,X,X,X
ITSJLOZ,O,X,X,O,X,X,X,X,X
ITSJZLO,O,X,X,O,X,X,X,X,X
ITSJZOL,O,O,X,O,X,X,O,X,X
ITSJOLZ,O,X,X,O,X,X,X,X,X
ITSJOZL,O,O,X,O,X,X,O,X,X
ITSZLJO,X,O,X,O,X,X,X,X,X
ITSZLOJ,X,O,X,O,X,X,O,X,X
ITSZJLO,X,X,X,O,X,X,X,X,X
ITSZJOL,X,O,X,O,X,X,O,X,X
ITSZOLJ,X,O,X,O,X,X,O,X,X
ITSZOJL,X,O,X,O,X,X,O,X,X
ITSOLJZ,X,O,X,O,X,X,X,X,X
ITSOLZJ,X,O,X,O,X,X,O,X,X
ITSOJLZ,O,X,X,O,X,X,X,X,X
ITSOJZL,O,O,X,O,X,X,O,X,X
ITSOZLJ,X,O,X,O,X,X,O,X,X
ITSOZJL,X,O,X,O,X,X,O,X,X
ITZLJSO,X,X,X,O,X,X,X,X,X
ITZLJOS,X,O,O,O,O,X,X,X,X
ITZLSJO,X,O,O,O,O,X,X,X,X
ITZLSOJ,X,O,O,O,O,X,X,X,X
ITZLOJS,X,O,O,O,O,X,X,X,X
ITZLOSJ,X,O,O,O,O,X,X,X,X
ITZJLSO,X,X,X,O,X,X,X,X,X
ITZJLOS,X,X,X,O,X,X,X,X,X
ITZJSLO,X,X,X,O,X,X,X,X,X
ITZJSOL,X,X,X,O,X,X,X,X,X
ITZJOLS,X,X,X,O,X,X,X,X,X
ITZJOSL,X,X,X,O,X,X,X,X,X
ITZSLJO,X,O,X,O,X,X,X,X,X
ITZSLOJ,X,O,X,O,X,X,O,X,X
ITZSJLO,X,X,X,O,X,X,X,X,X
ITZSJOL,X,O,X,O,X,X,O,X,X
ITZSOLJ,X,O,X,O,X,X,O,X,X
ITZSOJL,X,O,X,O,X,X,O,X,X
ITZOLJS,X,O,O,O,O,X,X,X,X
ITZOLSJ,X,O,O,O,O,X,X,X,X
ITZOJLS,X,X,X,O,X,X,X,X,X
ITZOJSL,X,X,X,O,X,X,X,X,X
ITZOSLJ,X,O,X,O,X,X,O,X,X
ITZOSJL,X,O,X,O,X,X,O,X,X
ITOLJSZ,X,O,O,O,X,X,X,X,X
ITOLJZS,X,O,O,O,O,X,X,X,X
ITOLSJZ,X,O,O,O,O,X,X,X,X
ITOLSZJ,X,O,O,O,O,X,O,O,X
ITOLZJS,X,O,O,O,O,X,X,X,X
ITOLZSJ,X,O,O,O,O,X,X,X,X
ITOJLSZ,X,O,O,O,X,X,X,X,X
ITOJLZS,X,O,O,O,X,X,X,X,X
ITOJSLZ,O,O,X,O,X,X,X,X,X
ITOJSZL,O,O,X,O,X,X,O,X,X
ITOJZLS,X,O,O,O,X,X,X,X,X
ITOJZSL,O,O,X,O,X,X,X,X,X
ITOSLJZ,X,O,X,O,X,X,X,X,X
ITOSLZJ,X,O,X,O,X,X,O,X,X
ITOSJLZ,O,X,X,O,X,X,X,X,X
ITOSJZL,O,O,X,O,X,X,O,X,X
ITOSZLJ,X,O,X,O,X,X,O,X,X
ITOSZJL,X,O,X,O,X,X,O,X,X
ITOZLJS,X,O,O,O,O,X,X,X,X
ITOZLSJ,X,O,O,O,O,X,X,X,X
ITOZJLS,X,X,X,O,X,X,X,X,X
ITOZJSL,X,X,X,O,X,X,X,X,X
ITOZSLJ,X,O,X,O,X,X,O,X,X
ITOZSJL,X,O,X,O,X,X,O,X,X
ILTJSZO,X,X,O,O,X,X,X,X,O
ILTJSOZ,X,X,O,O,X,X,X,X,O
ILTJZSO,X,X,O,O,X,X,X,X,X
ILTJZOS,X,X,O,O,O,O,X,X,X
ILTJOSZ,X,X,O,O,X,X,X,X,O
ILTJOZS,X,X,O,O,O,O,X,X,X
ILTSJZO,X,X,O,O,O,O,X,X,O
ILTSJOZ,X,X,O,O,O,O,X,X,O
ILTSZJO,X,X,O,O,O,O,X,O,O
ILTSZOJ,X,X,O,O,O,O,O,O,O
ILTSOJZ,X,X,O,O,O,O,X,X,O
ILTSOZJ,X,X,O,O,O,O,O,O,O
ILTZJSO,X,X,O,O,X,X,X,X,X
ILTZJOS,X,X,O,O,O,X,X,X,X
ILTZSJO,X,X,O,O,O,X,X,X,O
ILTZSOJ,X,X,O,O,O,X,X,X,O
ILTZOJS,X,X,O,O,O,X,X,X,X
ILTZOSJ,X,X,O,O,O,O,X,X,O
ILTOJSZ,X,X,O,O,X,X,X,X,O
ILTOJZS,X,X,O,O,O,O,X,X,X
ILTOSJZ,X,X,O,O,O,O,X,X,O
ILTOSZJ,X,X,O,O,O,O,O,O,O
ILTOZJS,X,X,O,O,O,X,X,X,X
ILTOZSJ,X,X,O,O,O,O,X,X,O
ILJTSZO,X,X,O,X,X,X,X,X,O
ILJTSOZ,X,X,O,X,X,X,X,X,O
ILJTZSO,X,X,O,X,X,X,X,X,X
ILJTZOS,X,X,O,X,O,O,X,X,X
ILJTOSZ,X,X,O,X,X,X,X,X,O
ILJTOZS,X,X,O,X,O,O,X,X,X
ILJSTZO,O,X,O,X,O,O,X,X,O
ILJSTOZ,O,X,O,X,O,O,X,X,O
ILJSZTO,O,X,O,X,X,O,X,O,X
ILJSZOT,O,X,O,X,O,O,X,O,X
ILJSOTZ,O,X,O,X,O,O,X,X,O
ILJSOZT,O,X,O,X,O,O,X,O,X
ILJZTSO,X,X,O,X,X,X,X,X,X
ILJZTOS,X,X,O,X,X,O,X,X,X
ILJZSTO,O,X,O,X,X,O,X,X,X
ILJZSOT,O,X,O,X,X,O,X,X,X
ILJZOTS,X,X,O,X,O,O,X,X,X
ILJZOST,O,X,O,X,O,O,X,X,X
ILJOTSZ,X,X,O,X,X,X,X,X,O
ILJOTZS,X,X,O,X,O,O,X,X,X
ILJOSTZ,O,X,O,X,O,O,X,X,O
ILJOSZT,O,X,O,X,O,O,X,O,X
ILJOZTS,X,X,O,X,O,O,X,X,X
ILJOZST,O,X,O,X,O,O,X,X,X
ILSTJZO,X,X,O,X,O,O,X,X,O
ILSTJOZ,X,X,O,X,O,O,X,X,O
ILSTZJO,X,X,O,X,O,O,X,O,O
ILSTZOJ,X,X,O,X,O,O,O,O,O
ILSTOJZ,X,X,O,X,O,O,X,X,O
ILSTOZJ,X,X,O,X,O,O,O,O,O
ILSJTZO,O,X,O,X,O,O,X,X,O
ILSJTOZ,O,X,O,X,O,O,X,X,O
ILSJZTO,O,X,O,X,X,O,X,O,X
ILSJZOT,O,X,O,X,O,O,X,O,X
ILSJOTZ,O,X,O,X,O,O,X,X,O
ILSJOZT,O,X,O,X,O,O,X,O,X
ILSZTJO,X,X,O,X,O,O,X,O,X
ILSZTOJ,X,X,O,X,O,O,O,O,X
ILSZJTO,X,X,O,X,X,O,X,O,X
ILSZJOT,X,X,O,X,O,O,X,O,X
ILSZOTJ,X,X,O,X,O,O,O,O,X
ILSZOJT,X,X,O,X,O,O,X,O,X
ILSOTJZ,X,X,O,X,O,O,X,X,O
ILSOTZJ,X,X,O,X,O,O,O,O,O
ILSOJTZ,O,X,O,X,O,O,X,X,O
ILSOJZT,O,X,O,X,O,O,X,O,X
ILSOZTJ,X,X,O,X,O,O,O,O,X
ILSOZJT,X,X,O,X,O,O,X,O,X
ILZTJSO,X,X,O,O,X,X,X,X,X
ILZTJOS,X,X,O,O,O,X,X,X,X
ILZTSJO,X,X,O,O,O,X,X,X,X
ILZTSOJ,X,X,O,O,O,X,X,X,X
ILZTOJS,X,X,O,O,O,X,X,X,X
ILZTOSJ,X,X,O,O,O,O,X,X,X
ILZJTSO,X,X,O,X,X,X,X,X,X
ILZJTOS,X,X,O,X,X,O,X,X,X
ILZJSTO,X,X,O,X,X,X,X,X,X
ILZJSOT,X,X,O,X,X,O,X,X,X
ILZJOTS,X,X,O,X,O,O,X,X,X
ILZJOST,X,X,O,X,O,O,X,X,X
ILZSTJO,X,X,O,X,O,O,X,O,X
ILZSTOJ,X,X,O,X,O,O,X,O,X
ILZSJTO,X,X,O,X,X,O,X,O,X
ILZSJOT,X,X,O,X,O,O,X,O,X
ILZSOTJ,X,X,O,X,O,O,X,O,X
ILZSOJT,X,X,O,X,O,O,X,O,X
ILZOTJS,X,X,O,O,O,X,X,X,X
ILZOTSJ,X,X,O,O,O,O,X,X,X
ILZOJTS,X,X,O,X,O,O,X,X,X
ILZOJST,X,X,O,X,O,O,X,X,X
ILZOSTJ,X,X,O,X,O,O,X,O,X
ILZOSJT,X,X,O,X,O,O,X,O,X
ILOTJSZ,X,X,O,O,X,X,X,X,O
ILOTJZS,X,X,O,O,O,O,X,X,X
ILOTSJZ,X,X,O,O,O,O,X,X,O
ILOTSZJ,X,X,O,O,O,O,O,O,O
ILOTZJS,X,X,O,O,O,X,X,X,X
ILOTZSJ,X,X,O,O,O,O,X,X,O
ILOJTSZ,X,X,O,X,X,X,X,X,O
ILOJTZS,X,X,O,X,O,O,X,X,X
ILOJSTZ,O,X,O,X,O,O,X,X,O
ILOJSZT,O,X,O,X,O,O,X,O,X
ILOJZTS,X,X,O,X,O,O,X,X,X
ILOJZST,O,X,O,X,O,O,X,X,X
ILOSTJZ,X,X,O,X,O,O,X,X,O
ILOSTZJ,X,X,O,X,O,O,O,O,O
ILOSJTZ,O,X,O,X,O,O,X,X,O
ILOSJZT,O,X,O,X,O,O,X,O,X
ILOSZTJ,X,X,O,X,O,O,O,O,X
ILOSZJT,X,X,O,X,O,O,X,O,X
ILOZTJS,X,X,O,O,O,X,X,X,X
ILOZTSJ,X,X,O,O,O,O,X,X,X
ILOZJTS,X,X,O,X,O,O,X,X,X
ILOZJST,X,X,O,X,O,O,X,X,X
ILOZSTJ,X,X,O,X,O,O,X,O,X
ILOZSJT,X,X,O,X,O,O,X,O,X
IJTLSZO,X,O,O,O,X,X,X,X,X
IJTLSOZ,X,O,O,O,X,X,X,X,X
IJTLZSO,X,O,O,O,X,X,X,X,X
IJTLZOS,X,O,O,O,X,X,X,X,X
IJTLOSZ,X,O,O,O,X,X,X,X,X
IJTLOZS,X,O,O,O,X,X,X,X,X
IJTSLZO,O,O,X,O,X,X,X,X,X
IJTSLOZ,O,O,X,O,X,X,X,X,X
IJTSZLO,O,O,X,O,X,X,X,X,X
IJTSZOL,O,O,X,O,X,X,O,X,X
IJTSOLZ,O,O,X,O,X,X,X,X,X
IJTSOZL,O,O,X,O,X,X,O,X,X
IJTZLSO,X,O,O,O,X,X,X,X,X
IJTZLOS,X,O,O,O,X,X,X,X,X
IJTZSLO,O,O,X,O,X,X,X,X,X
IJTZSOL,O,O,X,O,X,X,X,X,X
IJTZOLS,X,O,O,O,X,X,X,X,X
IJTZOSL,O,O,X,O,X,X,X,X,X
IJTOLSZ,X,O,O,O,X,X,X,X,X
IJTOLZS,X,O,O,O,X,X,X,X,X
IJTOSLZ,O,O,X,O,X,X,X,X,X
IJTOSZL,O,O,X,O,X,X,O,X,X
IJTOZLS,X,O,O,O,X,X,X,X,X
IJTOZSL,O,O,X,O,X,X,X,X,X
IJLTSZO,X,X,O,X,X,X,X,X,O
IJLTSOZ,X,X,O,X,X,X,X,X,O
IJLTZSO,X,X,O,X,X,X,X,X,X
IJLTZOS,X,X,O,X,X,O,X,X,X
IJLTOSZ,X,X,O,X,X,X,X,X,O
IJLTOZS,X,X,O,X,X,O,X,X,X
IJLSTZO,O,X,O,X,X,O,X,X,O
IJLSTOZ,O,X,O,X,X,O,X,X,O
IJLSZTO,O,X,O,X,X,O,X,X,X
IJLSZOT,O,X,O,X,X,O,X,X,X
IJLSOTZ,O,X,O,X,X,O,X,X,O
IJLSOZT,O,X,O,X,X,O,X,X,X
IJLZTSO,X,X,O,X,X,X,X,X,X
IJLZTOS,X,X,O,X,X,O,X,X,X
IJLZSTO,O,X,O,X,X,O,X,X,X
IJLZSOT,O,X,O,X,X,O,X,X,X
IJLZOTS,X,X,O,X,X,O,X,X,X
IJLZOST,O,X,O,X,X,O,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,X,O
IJLOTZS,X,X,O,X,X,O,X,X,X
IJLOSTZ,O,X,O,X,X,O,X,X,O
IJLOSZT,O,X,O,X,X,O,X,X,X
IJLOZTS,X,X,O,X,X,O,X,X,X
IJLOZST,O,X,O,X,X,O,X,X,X
IJSTLZO,O,O,X,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,O,X,X
IJSTOLZ,O,O,X,X,X,X,X,X,X
