sequence,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBOhBTeBt?mB0nBXsB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBdiBGeB/?mBznB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFdiBqiBTeBO?kB/mB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhBCeBOkB8?mBXoBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhB3dBcjBO?kBCnBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBNhBWjB8?mBXoBzrB
TOJSZIL,O,O,X,O,X,X
TOJSZLI,O,O,X,O,X,X
TOJZILS,O,O,X,X,O,O
TOJZISL,O,O,X,O,O,X
TOJZLIS,O,O,X,X,O,O
TOJZLSI,O,O,X,X,O,X
TOJZSIL,O,O,X,O,O,X
TOJZSLI,O,O,X,O,O,X
TOSILJZ,O,O,X,X,X,X
TOSILZJ,X,O,X,X,X,X
TOSIJLZ,O,O,X,X,X,X
TOSIJZL,O,O,X,X,X,X
TOSIZLJ,X,O,X,X,X,X
TOSIZJL,X,O,X,X,X,X
TOSLIJZ,O,O,O,X,X,X
TOSLIZJ,X,O,X,X,X,X
TOSLJIZ,O,O,O,O,X,X
TOSLJZI,O,O,O,O,X,X
TOSLZIJ,X,O,X,X,X,X
TOSLZJI,X,O,O,O,X,X
TOSJILZ,O,O,O,O,X,X
TOSJIZL,O,O,X,O,X,X
TOSJLIZ,O,O,O,O,X,X
TOSJLZI,O,O,O,O,X,X
TOSJZIL,O,O,X,O,X,X
TOSJZLI,O,O,X,O,X,X
TOSZILJ,X,O,X,X,X,X
TOSZIJL,X,O,X,X,X,X
TOSZLIJ,X,O,X,X,X,X
TOSZLJI,X,O,X,O,X,X
TOSZJIL,X,O,X,O,X,X
TOSZJLI,X,O,X,O,X,X
TOZILJS,O,O,X,X,X,O
TOZILSJ,O,O,X,X,X,X
TOZIJLS,O,O,X,X,X,O
TOZIJSL,O,O,X,X,X,X
TOZISLJ,O,O,X,X,X,X
TOZISJL,O,O,X,X,X,X
TOZLIJS,O,O,X,X,X,O
TOZLISJ,O,O,X,X,X,X
TOZLJIS,O,O,X,X,O,O
TOZLJSI,O,O,X,X,O,X
TOZLSIJ,O,O,X,X,X,X
TOZLSJI,O,O,X,X,O,X
TOZJILS,O,O,X,X,O,O
TOZJISL,O,O,X,O,O,X
TOZJLIS,O,O,X,X,O,O
TOZJLSI,O,O,X,X,O,X
TOZJSIL,O,O,X,O,O,X
TOZJSLI,O,O,X,O,O,X
TOZSILJ,O,O,X,X,X,X
TOZSIJL,O,O,X,X,X,X
TOZSLIJ,O,O,X,X,X,X
TOZSLJI,O,O,X,O,X,X
TOZSJIL,O,O,X,O,O,X
TOZSJLI,O,O,X,O,O,X
ITLJSZO,O,X,O,X,O,O
ITLJSOZ,O,O,O,X,X,X
ITLJZSO,O,X,O,X,O,O
ITLJZOS,O,X,O,X,O,O
ITLJOSZ,O,O,O,X,X,X
ITLJOZS,O,O,O,X,O,O
ITLSJZO,O,X,O,X,X,O
ITLSJOZ,O,O,O,X,X,X
ITLSZJO,O,X,X,X,X,O
ITLSZOJ,O,O,X,X,X,X
ITLSOJZ,O,O,O,X,X,X
ITLSOZJ,X,O,X,X,X,X
ITLZJSO,O,X,X,X,O,O
ITLZJOS,O,X,X,X,O,O
ITLZSJO,O,X,X,X,O,O
ITLZSOJ,O,O,X,X,X,X
ITLZOJS,O,O,X,X,X,O
ITLZOSJ,O,O,X,X,X,X
ITLOJSZ,O,O,O,X,X,X
ITLOJZS,O,O,O,X,X,O
ITLOSJZ,O,O,O,X,X,X
ITLOSZJ,X,O,X,X,X,X
ITLOZJS,O,O,X,X,X,O
ITLOZSJ,O,O,X,X,X,X
ITJLSZO,O,X,O,O,O,O
ITJLSOZ,O,O,O,O,X,X
ITJLZSO,O,X,O,O,O,O
ITJLZOS,O,X,O,X,O,O
ITJLOSZ,O,O,O,X,X,X
ITJLOZS,O,O,O,X,O,O
ITJSLZO,O,X,O,O,O,O
ITJSLOZ,O,O,O,O,X,X
ITJSZLO,O,X,O,O,O,O
ITJSZOL,O,X,X,O,O,X
ITJSOLZ,O,O,O,O,X,X
ITJSOZL,O,O,X,O,X,X
ITJZLSO,O,X,O,O,O,O
ITJZLOS,O,X,O,X,O,O
ITJZSLO,O,X,O,O,O,O
ITJZSOL,O,X,X,O,O,X
ITJZOLS,O,X,X,X,O,O
ITJZOSL,O,X,X,O,O,X
ITJOLSZ,O,O,O,X,X,X
ITJOLZS,O,O,O,X,O,O
ITJOSLZ,O,O,O,O,X,X
ITJOSZL,O,O,X,O,X,X
ITJOZLS,O,O,X,X,O,O
ITJOZSL,O,O,X,O,O,X
ITSLJZO,O,X,O,O,X,O
ITSLJOZ,O,O,O,O,X,X
ITSLZJO,O,X,X,O,X,O
ITSLZOJ,O,O,X,X,X,X
ITSLOJZ,O,O,O,X,X,X
ITSLOZJ,X,O,X,X,X,X
ITSJLZO,O,X,O,O,X,O
ITSJLOZ,O,O,O,O,X,X
ITSJZLO,O,X,O,O,X,O
ITSJZOL,O,X,X,O,X,X
ITSJOLZ,O,O,O,O,X,X
ITSJOZL,O,O,X,O,X,X
ITSZLJO,O,X,X,O,X,O
ITSZLOJ,O,O,X,X,X,X
ITSZJLO,O,X,X,O,X,O
ITSZJOL,O,X,X,O,X,X
ITSZOLJ,O,O,X,X,X,X
ITSZOJL,O,O,X,X,X,X
ITSOLJZ,O,O,X,X,X,X
ITSOLZJ,X,O,X,X,X,X
ITSOJLZ,O,O,X,X,X,X
ITSOJZL,O,O,X,X,X,X
ITSOZLJ,X,O,X,X,X,X
ITSOZJL,X,O,X,X,X,X
ITZLJSO,O,X,X,X,O,O
ITZLJOS,O,X,X,X,O,O
ITZLSJO,O,X,X,X,O,O
ITZLSOJ,O,O,X,X,X,X
ITZLOJS,O,O,X,X,X,O
ITZLOSJ,O,O,X,X,X,X
ITZJLSO,O,X,X,O,O,O
ITZJLOS,O,X,X,X,O,O
ITZJSLO,O,X,X,O,O,O
ITZJSOL,O,X,X,O,O,X
ITZJOLS,O,X,X,X,O,O
ITZJOSL,O,X,X,O,O,X
ITZSLJO,O,X,X,O,X,O
ITZSLOJ,O,O,X,X,X,X
ITZSJLO,O,X,X,O,O,O
ITZSJOL,O,X,X,O,O,X
ITZSOLJ,O,O,X,X,X,X
ITZSOJL,O,O,X,X,X,X
ITZOLJS,O,O,X,X,X,O
ITZOLSJ,O,O,X,X,X,X
ITZOJLS,O,O,X,X,X,O
ITZOJSL,O,O,X,X,X,X
ITZOSLJ,O,O,X,X,X,X
ITZOSJL,O,O,X,X,X,X
ITOLJSZ,O,O,X,X,X,X
ITOLJZS,O,O,X,X,X,O
ITOLSJZ,O,O,X,X,X,X
ITOLSZJ,X,O,X,X,X,X
ITOLZJS,O,O,X,X,X,O
ITOLZSJ,O,O,X,X,X,X
ITOJLSZ,O,O,X,X,X,X
ITOJLZS,O,O,X,X,X,O
ITOJSLZ,O,O,X,X,X,X
ITOJSZL,O,O,X,X,X,X
ITOJZLS,O,O,X,X,X,O
ITOJZSL,O,O,X,X,X,X
ITOSLJZ,O,O,X,X,X,X
ITOSLZJ,X,O,X,X,X,X
ITOSJLZ,O,O,X,X,X,X
ITOSJZL,O,O,X,X,X,X
ITOSZLJ,X,O,X,X,X,X
ITOSZJL,X,O,X,X,X,X
ITOZLJS,O,O,X,X,X,O
ITOZLSJ,O,O,X,X,X,X
ITOZJLS,O,O,X,X,X,O
ITOZJSL,O,O,X,X,X,X
ITOZSLJ,O,O,X,X,X,X
ITOZSJL,O,O,X,X,X,X
ILTJSZO,O,X,O,X,O,O
ILTJSOZ,O,O,O,X,X,X
ILTJZSO,O,X,O,X,O,O
ILTJZOS,O,X,O,X,O,O
ILTJOSZ,O,O,O,X,X,X
ILTJOZS,O,O,O,X,O,O
ILTSJZO,O,X,O,X,X,O
ILTSJOZ,O,O,O,X,X,X
ILTSZJO,O,X,X,X,X,O
ILTSZOJ,O,O,X,X,X,X
ILTSOJZ,O,O,O,X,X,X
ILTSOZJ,X,O,X,X,X,X
ILTZJSO,O,X,X,X,O,O
ILTZJOS,O,X,X,X,O,O
ILTZSJO,O,X,X,X,O,O
ILTZSOJ,O,O,X,X,X,X
ILTZOJS,O,O,X,X,X,O
ILTZOSJ,O,O,X,X,X,X
ILTOJSZ,O,O,O,X,X,X
ILTOJZS,O,O,O,X,X,O
ILTOSJZ,O,O,O,X,X,X
ILTOSZJ,X,O,X,X,X,X
ILTOZJS,O,O,X,X,X,O
ILTOZSJ,O,O,X,X,X,X
ILJTSZO,O,X,O,X,O,O
ILJTSOZ,O,O,O,X,X,X
ILJTZSO,O,X,O,X,O,O
ILJTZOS,O,X,O,X,O,O
ILJTOSZ,O,O,O,X,X,X
ILJTOZS,O,O,O,X,O,O
ILJSTZO,O,X,O,X,O,O
ILJSTOZ,O,O,O,X,X,X
ILJSZTO,X,X,O,X,O,O
ILJSZOT,X,X,O,X,O,X
ILJSOTZ,O,O,O,X,X,X
ILJSOZT,X,O,O,X,X,X
ILJZTSO,O,X,O,X,O,O
ILJZTOS,O,X,O,X,O,O
ILJZSTO,X,X,O,X,O,O
ILJZSOT,X,X,O,X,O,X
ILJZOTS,O,O,O,X,O,O
ILJZOST,X,O,O,X,O,X
ILJOTSZ,O,O,O,X,X,X
ILJOTZS,O,O,O,X,O,O
ILJOSTZ,O,O,O,X,X,X
ILJOSZT,X,O,O,X,X,X
ILJOZTS,O,O,O,X,O,O
ILJOZST,X,O,O,X,O,X
ILSTJZO,O,X,O,X,X,O
ILSTJOZ,O,O,O,X,X,X
ILSTZJO,O,X,X,X,X,O
ILSTZOJ,O,O,X,X,X,X
ILSTOJZ,O,O,O,X,X,X
ILSTOZJ,X,O,X,X,X,X
ILSJTZO,O,X,O,X,X,O
ILSJTOZ,O,O,O,X,X,X
ILSJZTO,X,X,O,X,X,O
ILSJZOT,X,X,O,X,X,X
ILSJOTZ,O,O,O,X,X,X
ILSJOZT,X,O,O,X,X,X
ILSZTJO,O,X,X,X,X,O
ILSZTOJ,O,O,X,X,X,X
ILSZJTO,X,X,X,X,X,O
ILSZJOT,X,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X
ILSZOJT,X,O,X,X,X,X
ILSOTJZ,O,O,O,X,X,X
ILSOTZJ,X,O,X,X,X,X
ILSOJTZ,O,O,O,X,X,X
ILSOJZT,X,O,O,X,X,X
ILSOZTJ,O,O,X,X,X,X
ILSOZJT,X,O,X,X,X,X
ILZTJSO,O,X,X,X,O,O
ILZTJOS,O,X,X,X,O,O
ILZTSJO,O,X,X,X,O,O
ILZTSOJ,O,O,X,X,X,X
ILZTOJS,O,O,X,X,X,O
ILZTOSJ,O,O,X,X,X,X
ILZJTSO,O,X,X,X,O,O
ILZJTOS,O,X,X,X,O,O
ILZJSTO,X,X,X,X,O,O
ILZJSOT,X,X,X,X,O,X
ILZJOTS,O,O,X,X,O,O
ILZJOST,X,O,X,X,O,X
ILZSTJO,O,X,X,X,O,O
ILZSTOJ,O,O,X,X,X,X
ILZSJTO,X,X,X,X,O,O
ILZSJOT,X,X,X,X,O,X
ILZSOTJ,O,O,X,X,X,X
ILZSOJT,X,O,X,X,X,X
ILZOTJS,O,O,X,X,X,O
ILZOTSJ,O,O,X,X,X,X
ILZOJTS,O,O,X,X,X,O
ILZOJST,X,O,X,X,X,X
ILZOSTJ,O,O,X,X,X,X
ILZOSJT,X,O,X,X,X,X
ILOTJSZ,O,O,O,X,X,X
ILOTJZS,O,O,O,X,X,O
ILOTSJZ,O,O,O,X,X,X
ILOTSZJ,X,O,X,X,X,X
ILOTZJS,O,O,X,X,X,O
ILOTZSJ,O,O,X,X,X,X
ILOJTSZ,O,O,O,X,X,X
ILOJTZS,O,O,O,X,X,O
ILOJSTZ,O,O,O,X,X,X
ILOJSZT,X,O,O,X,X,X
ILOJZTS,O,O,O,X,X,O
ILOJZST,X,O,O,X,X,X
ILOSTJZ,O,O,O,X,X,X
ILOSTZJ,X,O,X,X,X,X
ILOSJTZ,O,O,O,X,X,X
ILOSJZT,X,O,O,X,X,X
ILOSZTJ,O,O,X,X,X,X
ILOSZJT,X,O,X,X,X,X
ILOZTJS,O,O,X,X,X,O
ILOZTSJ,O,O,X,X,X,X
ILOZJTS,O,O,X,X,X,O
ILOZJST,X,O,X,X,X,X
ILOZSTJ,O,O,X,X,X,X
ILOZSJT,X,O,X,X,X,X
IJTLSZO,O,X,O,O,O,O
IJTLSOZ,O,O,O,O,X,X
IJTLZSO,O,X,O,O,O,O
IJTLZOS,O,X,O,X,O,O
IJTLOSZ,O,O,O,X,X,X
IJTLOZS,O,O,O,X,O,O
IJTSLZO,O,X,O,O,O,O
IJTSLOZ,O,O,O,O,X,X
IJTSZLO,O,X,O,O,O,O
IJTSZOL,O,X,X,O,O,X
IJTSOLZ,O,O,O,O,X,X
IJTSOZL,O,O,X,O,X,X
IJTZLSO,O,X,O,O,O,O
IJTZLOS,O,X,O,X,O,O
IJTZSLO,O,X,O,O,O,O
IJTZSOL,O,X,X,O,O,X
IJTZOLS,O,X,X,X,O,O
IJTZOSL,O,X,X,O,O,X
IJTOLSZ,O,O,O,X,X,X
IJTOLZS,O,O,O,X,O,O
IJTOSLZ,O,O,O,O,X,X
IJTOSZL,O,O,X,O,X,X
IJTOZLS,O,O,X,X,O,O
IJTOZSL,O,O,X,O,O,X
IJLTSZO,O,X,O,O,O,O
IJLTSOZ,O,O,O,O,X,X
IJLTZSO,O,X,O,O,O,O
IJLTZOS,O,X,O,X,O,O
IJLTOSZ,O,O,O,X,X,X
IJLTOZS,O,O,O,X,O,O
IJLSTZO,O,X,O,O,O,O
IJLSTOZ,O,O,O,O,X,X
IJLSZTO,X,X,O,O,O,O
IJLSZOT,X,X,O,O,O,X
IJLSOTZ,O,O,O,O,X,X
IJLSOZT,X,O,O,O,X,X
IJLZTSO,O,X,O,O,O,O
IJLZTOS,O,X,O,X,O,O
IJLZSTO,X,X,O,O,O,O
IJLZSOT,X,X,O,O,O,X
IJLZOTS,O,O,O,X,O,O
IJLZOST,X,O,O,X,O,X
IJLOTSZ,O,O,O,X,X,X
IJLOTZS,O,O,O,X,O,O
IJLOSTZ,O,O,O,X,X,X
IJLOSZT,X,O,O,X,X,X
IJLOZTS,O,O,O,X,O,O
IJLOZST,X,O,O,X,O,X
IJSTLZO,O,X,O,O,O,O
IJSTLOZ,O,O,O,O,X,X
IJSTZLO,O,X,O,O,O,O
IJSTZOL,O,X,X,O,O,X
IJSTOLZ,O,O,O,O,X,X
IJSTOZL,O,O,X,O,X,X
IJSLTZO,O,X,O,O,O,O
IJSLTOZ,O,O,O,O,X,X
IJSLZTO,X,X,O,O,O,O
IJSLZOT,X,X,O,O,O,X
IJSLOTZ,O,O,O,O,X,X
IJSLOZT,X,O,O,O,X,X
IJSZTLO,X,X,O,O,O,O
IJSZTOL,X,X,X,O,O,X
IJSZLTO,X,X,O,O,O,O
IJSZLOT,X,X,O,O,O,X
IJSZOTL,X,X,X,O,O,X
IJSZOLT,X,X,O,O,O,X
IJSOTLZ,O,O,O,O,X,X
IJSOTZL,O,O,X,O,X,X
IJSOLTZ,O,O,O,O,X,X
IJSOLZT,X,O,O,O,X,X
IJSOZTL,X,O,X,O,X,X
IJSOZLT,X,O,O,O,X,X
IJZTLSO,O,X,O,O,O,O
IJZTLOS,O,X,O,X,O,O
IJZTSLO,O,X,O,O,O,O
IJZTSOL,O,X,X,O,O,X
IJZTOLS,O,X,X,X,O,O
IJZTOSL,O,X,X,O,O,X
IJZLTSO,O,X,O,O,O,O
IJZLTOS,O,X,O,X,O,O
IJZLSTO,X,X,O,O,O,O
IJZLSOT,X,X,O,O,O,X
IJZLOTS,O,O,O,X,O,O
IJZLOST,X,O,O,X,O,X
IJZSTLO,X,X,O,O,O,O
IJZSTOL,X,X,X,O,O,X
IJZSLTO,X,X,O,O,O,O
IJZSLOT,X,X,O,O,O,X
IJZSOTL,X,X,X,O,O,X
IJZSOLT,X,X,O,O,O,X
IJZOTLS,O,O,X,X,O,O
IJZOTSL,O,O,X,O,O,X
IJZOLTS,O,O,O,X,O,O
IJZOLST,X,O,O,X,O,X
IJZOSTL,X,O,X,O,O,X
IJZOSLT,X,O,O,O,O,X
IJOTLSZ,O,O,O,X,X,X
IJOTLZS,O,O,O,X,O,O
IJOTSLZ,O,O,O,O,X,X
IJOTSZL,O,O,X,O,X,X
IJOTZLS,O,O,X,X,O,O
IJOTZSL,O,O,X,O,O,X
IJOLTSZ,O,O,O,X,X,X
IJOLTZS,O,O,O,X,O,O
IJOLSTZ,O,O,O,X,X,X
IJOLSZT,X,O,O,X,X,X
IJOLZTS,O,O,O,X,O,O
IJOLZST,X,O,O,X,O,X
IJOSTLZ,O,O,O,O,X,X
IJOSTZL,O,O,X,O,X,X
IJOSLTZ,O,O,O,O,X,X
IJOSLZT,X,O,O,O,X,X
IJOSZTL,X,O,X,O,X,X
IJOSZLT,X,O,O,O,X,X
IJOZTLS,O,O,X,X,O,O
IJOZTSL,O,O,X,O,O,X
IJOZLTS,O,O,O,X,O,O
IJOZLST,X,O,O,X,O,X
IJOZSTL,X,O,X,O,O,X
IJOZSLT,X,O,O,O,O,X
ISTLJZO,O,X,O,O,X,O
ISTLJOZ,O,O,O,O,X,X
ISTLZJO,O,X,X,O,X,O
ISTLZOJ,O,O,X,X,X,X
ISTLOJZ,O,O,O,X,X,X
ISTLOZJ,X,O,X,X,X,X
ISTJLZO,O,X,O,O,X,O
ISTJLOZ,O,O,O,O,X,X
ISTJZLO,O,X,O,O,X,O
ISTJZOL,O,X,X,O,X,X
ISTJOLZ,O,O,O,O,X,X
ISTJOZL,O,O,X,O,X,X
ISTZLJO,O,X,X,O,X,O
ISTZLOJ,O,O,X,X,X,X
ISTZJLO,O,X,X,O,X,O
ISTZJOL,O,X,X,O,X,X
ISTZOLJ,O,O,X,X,X,X
ISTZOJL,O,O,X,X,X,X
ISTOLJZ,O,O,X,X,X,X
ISTOLZJ,X,O,X,X,X,X
ISTOJLZ,O,O,X,X,X,X
ISTOJZL,O,O,X,X,X,X
ISTOZLJ,X,O,X,X,X,X
ISTOZJL,X,O,X,X,X,X
ISLTJZO,O,X,O,O,X,O
ISLTJOZ,O,O,O,O,X,X
ISLTZJO,O,X,X,O,X,O
ISLTZOJ,O,O,X,X,X,X
ISLTOJZ,O,O,O,X,X,X
ISLTOZJ,X,O,X,X,X,X
ISLJTZO,O,X,O,O,X,O
ISLJTOZ,O,O,O,O,X,X
ISLJZTO,X,X,O,O,X,O
ISLJZOT,X,X,O,O,X,X
ISLJOTZ,O,O,O,O,X,X
ISLJOZT,X,O,O,O,X,X
ISLZTJO,O,X,X,O,X,O
ISLZTOJ,O,O,X,X,X,X
ISLZJTO,X,X,X,O,X,O
ISLZJOT,X,X,X,O,X,X
ISLZOTJ,O,O,X,X,X,X
ISLZOJT,X,O,X,X,X,X
ISLOTJZ,O,O,O,X,X,X
ISLOTZJ,X,O,X,X,X,X
ISLOJTZ,O,O,O,X,X,X
ISLOJZT,X,O,O,X,X,X
ISLOZTJ,O,O,X,X,X,X
ISLOZJT,X,O,X,X,X,X
ISJTLZO,O,X,O,O,X,O
ISJTLOZ,O,O,O,O,X,X
ISJTZLO,O,X,O,O,X,O
ISJTZOL,O,X,X,O,X,X
ISJTOLZ,O,O,O,O,X,X
ISJTOZL,O,O,X,O,X,X
ISJLTZO,O,X,O,O,X,O
ISJLTOZ,O,O,O,O,X,X
ISJLZTO,X,X,O,O,X,O
ISJLZOT,X,X,O,O,X,X
ISJLOTZ,O,O,O,O,X,X
ISJLOZT,X,O,O,O,X,X
ISJZTLO,X,X,O,O,X,O
ISJZTOL,X,X,X,O,X,X
ISJZLTO,X,X,O,O,X,O
ISJZLOT,X,X,O,O,X,X
ISJZOTL,X,X,X,O,X,X
ISJZOLT,X,X,O,O,X,X
ISJOTLZ,O,O,O,O,X,X
ISJOTZL,O,O,X,O,X,X
ISJOLTZ,O,O,O,O,X,X
ISJOLZT,X,O,O,O,X,X
ISJOZTL,X,O,X,O,X,X
ISJOZLT,X,O,O,O,X,X
ISZTLJO,O,X,X,O,X,O
ISZTLOJ,O,O,X,X,X,X
ISZTJLO,O,X,X,O,X,O
ISZTJOL,O,X,X,O,X,X
ISZTOLJ,O,O,X,X,X,X
ISZTOJL,O,O,X,X,X,X
ISZLTJO,O,X,X,O,X,O
ISZLTOJ,O,O,X,X,X,X
ISZLJTO,X,X,X,O,X,O
ISZLJOT,X,X,X,O,X,X
ISZLOTJ,O,O,X,X,X,X
ISZLOJT,X,O,X,X,X,X
ISZJTLO,X,X,X,O,X,O
ISZJTOL,X,X,X,O,X,X
ISZJLTO,X,X,X,O,X,O
ISZJLOT,X,X,X,O,X,X
ISZJOTL,X,X,X,O,X,X
ISZJOLT,X,X,X,O,X,X
ISZOTLJ,O,O,X,X,X,X
ISZOTJL,O,O,X,X,X,X
ISZOLTJ,O,O,X,X,X,X
ISZOLJT,X,O,X,X,X,X
ISZOJTL,X,O,X,X,X,X
ISZOJLT,X,O,X,X,X,X
ISOTLJZ,O,O,X,X,X,X
ISOTLZJ,X,O,X,X,X,X
ISOTJLZ,O,O,X,X,X,X
ISOTJZL,O,O,X,X,X,X
ISOTZLJ,X,O,X,X,X,X
ISOTZJL,X,O,X,X,X,X
ISOLTJZ,O,O,O,X,X,X
ISOLTZJ,X,O,X,X,X,X
ISOLJTZ,O,O,O,X,X,X
ISOLJZT,X,O,O,X,X,X
ISOLZTJ,O,O,X,X,X,X
ISOLZJT,X,O,X,X,X,X
ISOJTLZ,O,O,O,X,X,X
ISOJTZL,O,O,X,X,X,X
ISOJLTZ,O,O,O,X,X,X
ISOJLZT,X,O,O,X,X,X
ISOJZTL,X,O,X,X,X,X
ISOJZLT,X,O,O,X,X,X
ISOZTLJ,O,O,X,X,X,X
ISOZTJL,O,O,X,X,X,X
ISOZLTJ,O,O,X,X,X,X
ISOZLJT,X,O,X,X,X,X
ISOZJTL,X,O,X,X,X,X
ISOZJLT,X,O,X,X,X,X
IZTLJSO,O,X,X,X,O,O
IZTLJOS,O,X,X,X,O,O
IZTLSJO,O,X,X,X,O,O
IZTLSOJ,O,O,X,X,X,X
IZTLOJS,O,O,X,X,X,O
IZTLOSJ,O,O,X,X,X,X
IZTJLSO,O,X,X,O,O,O
IZTJLOS,O,X,X,X,O,O
IZTJSLO,O,X,X,O,O,O
IZTJSOL,O,X,X,O,O,X
IZTJOLS,O,X,X,X,O,O
IZTJOSL,O,X,X,O,O,X
IZTSLJO,O,X,X,O,X,O
IZTSLOJ,O,O,X,X,X,X
IZTSJLO,O,X,X,O,O,O
IZTSJOL,O,X,X,O,O,X
IZTSOLJ,O,O,X,X,X,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,O,O,X,X,X,O
IZTOLSJ,O,O,X,X,X,X
IZTOJLS,O,O,X,X,X,O
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,O,O,X,X,X,X
IZTOSJL,O,O,X,X,X,X
IZLTJSO,O,X,X,X,O,O
IZLTJOS,O,X,X,X,O,O
IZLTSJO,O,X,X,X,O,O
IZLTSOJ,O,O,X,X,X,X
IZLTOJS,O,O,X,X,X,O
IZLTOSJ,O,O,X,X,X,X
IZLJTSO,O,X,X,X,O,O
IZLJTOS,O,X,X,X,O,O
IZLJSTO,X,X,X,X,O,O
IZLJSOT,X,X,X,X,O,X
IZLJOTS,O,O,X,X,O,O
IZLJOST,X,O,X,X,O,X
IZLSTJO,O,X,X,X,O,O
IZLSTOJ,O,O,X,X,X,X
IZLSJTO,X,X,X,X,O,O
IZLSJOT,X,X,X,X,O,X
IZLSOTJ,O,O,X,X,X,X
IZLSOJT,X,O,X,X,X,X
IZLOTJS,O,O,X,X,X,O
IZLOTSJ,O,O,X,X,X,X
IZLOJTS,O,O,X,X,X,O
IZLOJST,X,O,X,X,X,X
IZLOSTJ,O,O,X,X,X,X
IZLOSJT,X,O,X,X,X,X
IZJTLSO,O,X,X,O,O,O
IZJTLOS,O,X,X,X,O,O
IZJTSLO,O,X,X,O,O,O
IZJTSOL,O,X,X,O,O,X
IZJTOLS,O,X,X,X,O,O
IZJTOSL,O,X,X,O,O,X
IZJLTSO,O,X,X,O,O,O
IZJLTOS,O,X,X,X,O,O
IZJLSTO,X,X,X,O,O,O
IZJLSOT,X,X,X,O,O,X
IZJLOTS,O,O,X,X,O,O
IZJLOST,X,O,X,X,O,X
IZJSTLO,X,X,X,O,O,O
IZJSTOL,X,X,X,O,O,X
IZJSLTO,X,X,X,O,O,O
IZJSLOT,X,X,X,O,O,X
IZJSOTL,X,X,X,O,O,X
IZJSOLT,X,X,X,O,O,X
IZJOTLS,O,O,X,X,O,O
IZJOTSL,O,O,X,O,O,X
IZJOLTS,O,O,X,X,O,O
IZJOLST,X,O,X,X,O,X
IZJOSTL,X,O,X,O,O,X
IZJOSLT,X,O,X,O,O,X
IZSTLJO,O,X,X,O,X,O
IZSTLOJ,O,O,X,X,X,X
IZSTJLO,O,X,X,O,O,O
IZSTJOL,O,X,X,O,O,X
IZSTOLJ,O,O,X,X,X,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,O,X,X,O,O,O
IZSLTOJ,O,O,X,X,X,X
IZSLJTO,X,X,X,O,O,O
IZSLJOT,X,X,X,O,O,X
IZSLOTJ,O,O,X,X,X,X
IZSLOJT,X,O,X,X,X,X
IZSJTLO,X,X,X,O,O,O
IZSJTOL,X,X,X,O,O,X
IZSJLTO,X,X,X,O,O,O
IZSJLOT,X,X,X,O,O,X
IZSJOTL,X,X,X,O,O,X
IZSJOLT,X,X,X,O,O,X
IZSOTLJ,O,O,X,X,X,X
IZSOTJL,O,O,X,X,X,X
IZSOLTJ,O,O,X,X,X,X
IZSOLJT,X,O,X,X,X,X
IZSOJTL,X,O,X,X,X,X
IZSOJLT,X,O,X,X,X,X
IZOTLJS,O,O,X,X,X,O
IZOTLSJ,O,O,X,X,X,X
IZOTJLS,O,O,X,X,X,O
IZOTJSL,O,O,X,X,X,X
IZOTSLJ,O,O,X,X,X,X
IZOTSJL,O,O,X,X,X,X
IZOLTJS,O,O,X,X,X,O
IZOLTSJ,O,O,X,X,X,X
IZOLJTS,O,O,X,X,X,O
IZOLJST,X,O,X,X,X,X
IZOLSTJ,O,O,X,X,X,X
IZOLSJT,X,O,X,X,X,X
IZOJTLS,O,O,X,X,X,O
IZOJTSL,O,O,X,X,X,X
IZOJLTS,O,O,X,X,X,O
IZOJLST,X,O,X,X,X,X
IZOJSTL,X,O,X,X,X,X
IZOJSLT,X,O,X,X,X,X
IZOSTLJ,O,O,X,X,X,X
IZOSTJL,O,O,X,X,X,X
IZOSLTJ,O,O,X,X,X,X
IZOSLJT,X,O,X,X,X,X
IZOSJTL,X,O,X,X,X,X
IZOSJLT,X,O,X,X,X,X
IOTLJSZ,O,O,X,X,X,X
IOTLJZS,O,O,X,X,X,O
IOTLSJZ,O,O,X,X,X,X
IOTLSZJ,X,O,X,X,X,X
IOTLZJS,O,O,X,X,X,O
IOTLZSJ,O,O,X,X,X,X
IOTJLSZ,O,O,X,X,X,X
IOTJLZS,O,O,X,X,X,O
IOTJSLZ,O,O,X,X,X,X
IOTJSZL,O,O,X,X,X,X
IOTJZLS,O,O,X,X,X,O
IOTJZSL,O,O,X,X,X,X
IOTSLJZ,O,O,X,X,X,X
IOTSLZJ,X,O,X,X,X,X
IOTSJLZ,O,O,X,X,X,X
IOTSJZL,O,O,X,X,X,X
IOTSZLJ,X,O,X,X,X,X
