sequence,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBqnBTjB/qBFm?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBRiBcoBfsB6s?BlqB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFlhBGjB/qBUmBKs?BzsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBCiBxnBXoBlq?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChBxiB0mBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFylBumB3iBcoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBSoB/qBFmBzn?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChB0mBxnBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8JeUBJvhF6qBxnBmkB3mBFo?BTsB
TJIOSLZ,X,O,O,O,X,O,X,X,X
TJIOSZL,X,O,O,X,X,O,X,X,X
TJIOZLS,X,O,X,O,X,O,X,O,X
TJIOZSL,X,O,X,O,X,O,X,X,X
TJLISZO,O,X,O,X,O,O,O,X,X
TJLISOZ,O,X,O,O,O,O,O,X,X
TJLIZSO,X,X,O,X,O,O,X,O,X
TJLIZOS,X,X,O,O,X,O,X,O,X
TJLIOSZ,O,X,O,O,X,O,X,X,X
TJLIOZS,X,X,O,O,X,O,X,X,X
TJLSIZO,O,O,O,X,O,O,O,X,X
TJLSIOZ,O,O,O,X,O,O,O,X,X
TJLSZIO,O,O,O,X,O,O,O,O,X
TJLSZOI,O,O,O,X,O,O,O,X,X
TJLSOIZ,O,O,O,X,O,O,O,X,X
TJLSOZI,O,O,X,X,O,O,O,X,X
TJLZISO,O,X,O,O,O,O,O,O,X
TJLZIOS,O,O,O,O,X,O,X,O,X
TJLZSIO,O,O,O,O,O,O,O,O,X
TJLZSOI,O,O,O,O,O,O,O,X,X
TJLZOIS,O,O,X,O,X,O,X,O,X
TJLZOSI,O,O,O,O,O,O,O,X,X
TJLOISZ,O,X,O,O,X,O,X,X,X
TJLOIZS,X,X,O,O,X,O,X,X,X
TJLOSIZ,O,O,O,X,O,O,O,X,X
TJLOSZI,O,O,X,X,O,O,O,X,X
TJLOZIS,X,O,X,O,X,O,X,O,X
TJLOZSI,O,O,O,O,O,O,X,X,X
TJSILZO,O,O,O,X,O,O,O,X,X
TJSILOZ,O,O,O,O,O,O,O,X,X
TJSIZLO,O,O,O,X,O,O,O,O,X
TJSIZOL,O,O,O,X,O,O,O,X,X
TJSIOLZ,O,O,O,O,O,O,O,X,X
TJSIOZL,O,O,O,X,O,O,O,X,X
TJSLIZO,O,O,O,X,O,O,O,X,X
TJSLIOZ,O,O,O,X,O,O,O,X,X
TJSLZIO,O,O,O,X,O,O,O,O,X
TJSLZOI,O,O,O,X,O,O,O,X,X
TJSLOIZ,O,O,O,X,O,O,O,X,X
TJSLOZI,O,O,X,X,O,O,O,X,X
TJSZILO,O,O,O,O,O,O,O,O,X
TJSZIOL,O,O,O,O,O,O,O,X,X
TJSZLIO,O,O,O,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,O,O,X,X
TJSZOIL,O,O,O,O,O,O,O,X,X
TJSZOLI,O,O,X,O,O,O,O,X,X
TJSOILZ,O,O,O,O,O,O,O,X,X
TJSOIZL,O,O,O,X,O,O,O,X,X
TJSOLIZ,O,O,O,X,O,O,O,X,X
TJSOLZI,O,O,O,X,O,O,O,X,X
TJSOZIL,O,O,O,O,O,O,O,X,X
TJSOZLI,O,O,O,O,O,O,O,X,X
TJZILSO,O,X,X,O,O,O,O,O,X
TJZILOS,O,O,X,O,X,O,X,O,X
TJZISLO,O,O,O,O,O,O,O,O,X
TJZISOL,O,O,O,O,O,O,O,X,X
TJZIOLS,X,O,X,O,X,O,X,O,X
TJZIOSL,X,O,X,O,X,O,X,X,X
TJZLISO,O,X,O,O,O,O,O,O,X
TJZLIOS,O,O,X,O,X,O,X,O,X
TJZLSIO,O,O,O,O,O,O,O,O,X
TJZLSOI,O,O,O,O,O,O,O,X,X
TJZLOIS,O,O,X,O,X,O,X,O,X
TJZLOSI,O,O,O,O,O,O,O,X,X
TJZSILO,O,O,O,O,O,O,O,O,X
TJZSIOL,O,O,O,O,O,O,O,X,X
TJZSLIO,O,O,O,O,O,O,O,O,X
TJZSLOI,O,O,X,O,O,O,O,X,X
TJZSOIL,O,O,O,O,O,O,O,X,X
TJZSOLI,O,O,X,O,O,O,O,X,X
TJZOILS,X,O,X,O,X,O,X,O,X
TJZOISL,X,O,X,O,X,O,X,X,X
TJZOLIS,O,O,X,O,X,O,X,O,X
TJZOLSI,O,O,X,O,O,O,O,X,X
TJZOSIL,O,O,O,O,O,O,O,X,X
TJZOSLI,O,O,X,O,O,O,O,X,X
TJOILSZ,X,X,O,O,X,O,X,X,X
TJOILZS,X,X,O,O,X,O,X,X,X
TJOISLZ,X,O,O,O,X,O,X,X,X
TJOISZL,X,O,O,X,X,O,X,X,X
TJOIZLS,X,O,X,O,X,O,X,O,X
TJOIZSL,X,O,X,O,X,O,X,X,X
TJOLISZ,O,X,O,O,X,O,X,X,X
TJOLIZS,X,X,O,O,X,O,X,X,X
TJOLSIZ,O,O,O,X,O,O,O,X,X
TJOLSZI,O,O,O,X,O,O,O,X,X
TJOLZIS,X,O,O,O,X,O,X,O,X
TJOLZSI,O,O,O,O,O,O,X,X,X
TJOSILZ,O,O,O,O,O,O,O,X,X
TJOSIZL,O,O,O,X,O,O,O,X,X
TJOSLIZ,O,O,O,X,O,O,O,X,X
TJOSLZI,O,O,O,X,O,O,O,X,X
TJOSZIL,O,O,O,O,O,O,O,X,X
TJOSZLI,O,O,O,O,O,O,O,X,X
TJOZILS,X,O,X,O,X,O,X,O,X
TJOZISL,X,O,X,O,X,O,X,X,X
TJOZLIS,O,O,O,O,X,O,X,O,X
TJOZLSI,O,O,O,O,O,O,O,X,X
TJOZSIL,O,O,X,O,O,O,O,X,X
TJOZSLI,O,O,X,O,O,O,O,X,X
TSILJZO,O,O,O,X,O,O,O,X,X
TSILJOZ,O,O,O,O,O,O,O,X,X
TSILZJO,O,O,O,X,O,O,O,X,X
TSILZOJ,O,O,O,X,O,O,O,X,X
TSILOJZ,O,O,O,O,O,O,O,X,X
TSILOZJ,O,O,O,X,X,O,X,X,X
TSIJLZO,O,O,O,X,O,O,O,X,X
TSIJLOZ,O,O,O,O,O,O,O,X,X
TSIJZLO,O,O,O,X,O,O,O,O,X
TSIJZOL,O,O,O,X,O,O,O,X,X
TSIJOLZ,O,O,O,O,O,O,O,X,X
TSIJOZL,O,O,O,X,O,O,O,X,X
TSIZLJO,O,O,O,X,O,O,O,O,X
TSIZLOJ,O,O,O,X,O,O,O,X,X
TSIZJLO,O,O,O,X,O,O,O,O,X
TSIZJOL,O,O,O,X,O,O,O,X,X
TSIZOLJ,O,O,O,X,O,O,O,X,X
TSIZOJL,O,O,O,X,O,O,O,X,X
TSIOLJZ,O,O,O,O,O,O,O,X,X
