sequence,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF6jBFhBXiB8?nBmqBzrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjB6?rBcsBmqB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex9IvhFFhBXiBTjBc?sB6rBmqB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex9IvhFFhBXiBTjBS?sBmqB0rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjBS?sBmqB0rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF6jBFhB8mBz?iBmqBXsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjBy?qB+rBcsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeeCJvhFfjB6jBFhBc?sBxqBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Je6DJvhFFhBXiB8nBO?sBxqBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jem8IvhFCeBFhBTjBc?sBxqB3rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhFTeB8mBWoBy?qBXsBFrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBTjBlmBc?sBmqBCsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeVBJvhFTeBmmBCoBx?qBcsB3rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeSCJvhFTeBUhBxnBl?mBmqBXsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX+IvhFFhBSoBUnBx?qBOsBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF8iB+jBzhBK?rB3lBFsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeFBJvhFXiBTjBCjBU?nBxqB2wB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jem8IvhFfjB6jBTnBx?qB0rBFrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhFFhB8mBCjBT?jBmqBXsB
TIZOLSJ,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIZOJLS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOLZJS,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X
TIOSZJL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLJS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIOZJLS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X
TIOZSLJ,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X
TIOZSJL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,O,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLISJZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLISZOJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLISOJZ,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TLISOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIZJSO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLIZSOJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLIOJSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLIOSJZ,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TLIOSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TLIOZSJ,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLJISZO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJISOZ,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
TLJIOSZ,O,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TLJIOZS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLJSIZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLJSZOI,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLJSOIZ,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLJZISO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLJZIOS,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TLJZSIO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLJZSOI,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJZOIS,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TLJZOSI,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TLJOISZ,O,X,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TLJOIZS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLJOSIZ,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJOSZI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
