sequence,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFTbBicBGeBU?jBFnB3rB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhF2gBzcBfjB6?jBFnBUrB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFTbBfjB6jBF?nBOrB8rB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhF2gBFdB6jBf?nBznBUrB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFibBFdBTeBf?nBWtBUrB
SILJTOZ,X,O,O,O,O
SILJZTO,X,O,X,X,O
SILJZOT,X,X,X,X,O
SILJOTZ,X,O,O,O,O
SILJOZT,X,X,X,O,O
SILZTJO,X,O,O,X,O
SILZTOJ,X,O,O,X,X
SILZJTO,X,O,X,X,O
SILZJOT,O,X,X,X,O
SILZOTJ,X,X,O,X,X
SILZOJT,O,X,X,X,X
SILOTJZ,X,O,O,O,O
SILOTZJ,O,O,O,O,X
SILOJTZ,X,O,O,O,O
SILOJZT,X,X,X,O,O
SILOZTJ,X,X,O,O,X
SILOZJT,O,X,X,O,X
SIJTLZO,X,O,O,X,O
SIJTLOZ,X,O,O,O,O
SIJTZLO,X,O,X,X,O
SIJTZOL,X,O,X,O,O
SIJTOLZ,X,O,O,O,O
SIJTOZL,X,O,X,O,O
SIJLTZO,X,O,O,X,O
SIJLTOZ,X,O,O,O,O
SIJLZTO,X,O,X,X,O
SIJLZOT,X,X,X,X,O
SIJLOTZ,X,O,O,O,O
SIJLOZT,X,X,X,O,O
SIJZTLO,X,O,X,X,O
SIJZTOL,X,O,X,O,O
SIJZLTO,X,O,X,X,O
SIJZLOT,X,X,X,X,O
SIJZOTL,X,X,X,O,O
SIJZOLT,X,X,X,O,O
SIJOTLZ,X,O,O,O,O
SIJOTZL,X,O,X,O,O
SIJOLTZ,X,O,O,O,O
SIJOLZT,X,X,X,O,O
SIJOZTL,X,X,X,O,O
SIJOZLT,X,X,X,O,O
SIZTLJO,O,O,O,X,O
SIZTLOJ,O,O,O,X,X
SIZTJLO,O,O,X,X,O
SIZTJOL,O,O,X,O,O
SIZTOLJ,O,O,O,O,X
SIZTOJL,O,O,X,O,X
SIZLTJO,X,O,O,X,O
SIZLTOJ,X,O,O,X,X
SIZLJTO,X,O,X,X,O
SIZLJOT,O,X,X,X,O
SIZLOTJ,X,X,O,X,X
SIZLOJT,O,X,X,X,X
SIZJTLO,O,O,X,X,O
SIZJTOL,O,O,X,O,O
SIZJLTO,X,O,X,X,O
SIZJLOT,O,X,X,X,O
SIZJOTL,O,X,X,O,O
SIZJOLT,O,X,X,O,O
SIZOTLJ,O,X,O,O,X
SIZOTJL,O,X,X,O,X
SIZOLTJ,X,X,O,O,X
SIZOLJT,O,X,X,O,X
SIZOJTL,O,X,X,O,X
SIZOJLT,O,X,X,O,X
SIOTLJZ,X,O,O,O,O
SIOTLZJ,O,O,O,O,X
SIOTJLZ,X,O,O,O,O
SIOTJZL,X,O,X,O,O
SIOTZLJ,O,O,O,O,X
SIOTZJL,O,O,X,O,X
SIOLTJZ,X,O,O,O,O
SIOLTZJ,O,O,O,O,X
SIOLJTZ,X,O,O,O,O
SIOLJZT,X,X,X,O,O
SIOLZTJ,X,X,O,O,X
SIOLZJT,O,X,X,O,X
SIOJTLZ,X,O,O,O,O
SIOJTZL,X,O,X,O,O
SIOJLTZ,X,O,O,O,O
SIOJLZT,X,X,X,O,O
SIOJZTL,X,X,X,O,O
SIOJZLT,X,X,X,O,O
SIOZTLJ,O,X,O,O,X
SIOZTJL,O,X,X,O,X
SIOZLTJ,X,X,O,O,X
SIOZLJT,O,X,X,O,X
SIOZJTL,O,X,X,O,X
SIOZJLT,O,X,X,O,X
SLTIJZO,X,O,O,X,O
SLTIJOZ,X,O,O,O,O
SLTIZJO,O,O,O,X,O
SLTIZOJ,O,O,O,X,X
SLTIOJZ,X,O,O,O,O
SLTIOZJ,O,O,O,O,X
SLTJIZO,X,O,O,X,O
SLTJIOZ,X,O,O,O,O
SLTJZIO,X,O,X,X,O
SLTJZOI,X,O,X,X,O
SLTJOIZ,X,O,O,O,O
SLTJOZI,X,O,X,O,O
SLTZIJO,O,O,O,X,O
SLTZIOJ,O,O,O,X,X
SLTZJIO,O,O,X,X,O
SLTZJOI,O,O,X,X,O
SLTZOIJ,O,O,O,X,X
SLTZOJI,O,O,X,X,X
SLTOIJZ,X,O,O,O,O
SLTOIZJ,O,O,O,O,X
SLTOJIZ,X,O,O,O,O
SLTOJZI,X,O,X,O,O
SLTOZIJ,O,O,O,O,X
SLTOZJI,O,O,X,O,X
SLITJZO,X,O,O,X,O
SLITJOZ,X,O,O,O,O
SLITZJO,O,O,O,X,O
SLITZOJ,O,O,O,X,X
SLITOJZ,X,O,O,O,O
SLITOZJ,O,O,O,O,X
SLIJTZO,X,O,O,X,O
SLIJTOZ,X,O,O,O,O
SLIJZTO,X,O,X,X,O
SLIJZOT,X,X,X,X,O
SLIJOTZ,X,O,O,O,O
SLIJOZT,X,X,X,O,O
SLIZTJO,X,O,O,X,O
SLIZTOJ,X,O,O,X,X
SLIZJTO,X,O,X,X,O
SLIZJOT,O,X,X,X,O
SLIZOTJ,X,X,O,X,X
SLIZOJT,O,X,X,X,X
SLIOTJZ,X,O,O,O,O
SLIOTZJ,O,O,O,O,X
SLIOJTZ,X,O,O,O,O
SLIOJZT,X,X,X,O,O
SLIOZTJ,X,X,O,O,X
SLIOZJT,O,X,X,O,X
SLJTIZO,X,O,O,X,O
SLJTIOZ,X,O,O,O,O
SLJTZIO,X,O,X,X,O
SLJTZOI,X,O,X,X,O
SLJTOIZ,X,O,O,O,O
SLJTOZI,X,O,X,O,O
SLJITZO,X,O,O,X,O
SLJITOZ,X,O,O,O,O
SLJIZTO,X,O,X,X,O
SLJIZOT,X,X,X,X,O
SLJIOTZ,X,O,O,O,O
SLJIOZT,X,X,X,O,O
SLJZTIO,X,O,X,X,O
SLJZTOI,X,O,X,X,O
SLJZITO,X,O,X,X,O
SLJZIOT,X,X,X,X,O
SLJZOTI,X,X,X,X,O
SLJZOIT,X,X,X,X,O
SLJOTIZ,X,O,O,O,O
SLJOTZI,X,O,X,O,O
SLJOITZ,X,O,O,O,O
SLJOIZT,X,X,X,O,O
SLJOZTI,X,X,X,O,O
SLJOZIT,X,X,X,O,O
SLZTIJO,X,O,O,X,O
SLZTIOJ,X,O,O,X,X
SLZTJIO,X,O,X,X,O
SLZTJOI,X,O,X,X,O
SLZTOIJ,X,O,O,X,X
SLZTOJI,X,O,X,X,X
SLZITJO,X,O,O,X,O
SLZITOJ,X,O,O,X,X
SLZIJTO,X,O,X,X,O
SLZIJOT,O,X,X,X,O
SLZIOTJ,X,X,O,X,X
SLZIOJT,O,X,X,X,X
SLZJTIO,X,O,X,X,O
SLZJTOI,X,O,X,X,O
SLZJITO,X,O,X,X,O
SLZJIOT,O,X,X,X,O
SLZJOTI,X,X,X,X,O
SLZJOIT,O,X,X,X,O
SLZOTIJ,X,X,O,X,X
SLZOTJI,X,X,X,X,X
SLZOITJ,X,X,O,X,X
SLZOIJT,O,X,X,X,X
SLZOJTI,X,X,X,X,X
SLZOJIT,O,X,X,X,X
SLOTIJZ,X,O,O,O,O
SLOTIZJ,O,O,O,O,X
SLOTJIZ,X,O,O,O,O
SLOTJZI,X,O,X,O,O
SLOTZIJ,O,O,O,O,X
SLOTZJI,O,O,X,O,X
SLOITJZ,X,O,O,O,O
SLOITZJ,O,O,O,O,X
SLOIJTZ,X,O,O,O,O
SLOIJZT,X,X,X,O,O
SLOIZTJ,X,X,O,O,X
SLOIZJT,O,X,X,O,X
SLOJTIZ,X,O,O,O,O
SLOJTZI,X,O,X,O,O
SLOJITZ,X,O,O,O,O
SLOJIZT,X,X,X,O,O
SLOJZTI,X,X,X,O,O
SLOJZIT,X,X,X,O,O
SLOZTIJ,X,X,O,O,X
SLOZTJI,X,X,X,O,X
SLOZITJ,X,X,O,O,X
SLOZIJT,O,X,X,O,X
SLOZJTI,X,X,X,O,X
SLOZJIT,O,X,X,O,X
SJTILZO,X,O,O,X,O
SJTILOZ,X,O,O,O,O
SJTIZLO,X,O,X,X,O
SJTIZOL,X,O,X,O,O
SJTIOLZ,X,O,O,O,O
SJTIOZL,X,O,X,O,O
SJTLIZO,X,O,O,X,O
SJTLIOZ,X,O,O,O,O
SJTLZIO,X,O,X,X,O
SJTLZOI,X,O,X,X,O
SJTLOIZ,X,O,O,O,O
SJTLOZI,X,O,X,O,O
SJTZILO,X,O,X,X,O
SJTZIOL,X,O,X,O,O
SJTZLIO,X,O,X,X,O
SJTZLOI,X,O,X,X,O
SJTZOIL,X,O,X,O,O
SJTZOLI,X,O,X,O,O
SJTOILZ,X,O,O,O,O
SJTOIZL,X,O,X,O,O
SJTOLIZ,X,O,O,O,O
SJTOLZI,X,O,X,O,O
SJTOZIL,X,O,X,O,O
SJTOZLI,X,O,X,O,O
SJITLZO,X,O,O,X,O
SJITLOZ,X,O,O,O,O
SJITZLO,X,O,X,X,O
SJITZOL,X,O,X,O,O
SJITOLZ,X,O,O,O,O
SJITOZL,X,O,X,O,O
SJILTZO,X,O,O,X,O
SJILTOZ,X,O,O,O,O
SJILZTO,X,O,X,X,O
SJILZOT,X,X,X,X,O
SJILOTZ,X,O,O,O,O
SJILOZT,X,X,X,O,O
SJIZTLO,X,O,X,X,O
SJIZTOL,X,O,X,O,O
SJIZLTO,X,O,X,X,O
SJIZLOT,X,X,X,X,O
SJIZOTL,X,X,X,O,O
SJIZOLT,X,X,X,O,O
SJIOTLZ,X,O,O,O,O
SJIOTZL,X,O,X,O,O
SJIOLTZ,X,O,O,O,O
SJIOLZT,X,X,X,O,O
SJIOZTL,X,X,X,O,O
SJIOZLT,X,X,X,O,O
SJLTIZO,X,O,O,X,O
SJLTIOZ,X,O,O,O,O
SJLTZIO,X,O,X,X,O
SJLTZOI,X,O,X,X,O
SJLTOIZ,X,O,O,O,O
SJLTOZI,X,O,X,O,O
SJLITZO,X,O,O,X,O
SJLITOZ,X,O,O,O,O
SJLIZTO,X,O,X,X,O
SJLIZOT,X,X,X,X,O
SJLIOTZ,X,O,O,O,O
SJLIOZT,X,X,X,O,O
SJLZTIO,X,O,X,X,O
SJLZTOI,X,O,X,X,O
SJLZITO,X,O,X,X,O
SJLZIOT,X,X,X,X,O
SJLZOTI,X,X,X,X,O
SJLZOIT,X,X,X,X,O
SJLOTIZ,X,O,O,O,O
SJLOTZI,X,O,X,O,O
SJLOITZ,X,O,O,O,O
SJLOIZT,X,X,X,O,O
SJLOZTI,X,X,X,O,O
SJLOZIT,X,X,X,O,O
SJZTILO,X,O,X,X,O
SJZTIOL,X,O,X,O,O
SJZTLIO,X,O,X,X,O
SJZTLOI,X,O,X,X,O
SJZTOIL,X,O,X,O,O
SJZTOLI,X,O,X,O,O
SJZITLO,X,O,X,X,O
SJZITOL,X,O,X,O,O
SJZILTO,X,O,X,X,O
SJZILOT,X,X,X,X,O
SJZIOTL,X,X,X,O,O
SJZIOLT,X,X,X,O,O
SJZLTIO,X,O,X,X,O
SJZLTOI,X,O,X,X,O
SJZLITO,X,O,X,X,O
SJZLIOT,X,X,X,X,O
SJZLOTI,X,X,X,X,O
SJZLOIT,X,X,X,X,O
SJZOTIL,X,X,X,O,O
SJZOTLI,X,X,X,O,O
SJZOITL,X,X,X,O,O
SJZOILT,X,X,X,O,O
SJZOLTI,X,X,X,O,O
SJZOLIT,X,X,X,O,O
SJOTILZ,X,O,O,O,O
SJOTIZL,X,O,X,O,O
SJOTLIZ,X,O,O,O,O
SJOTLZI,X,O,X,O,O
SJOTZIL,X,O,X,O,O
SJOTZLI,X,O,X,O,O
SJOITLZ,X,O,O,O,O
SJOITZL,X,O,X,O,O
SJOILTZ,X,O,O,O,O
SJOILZT,X,X,X,O,O
SJOIZTL,X,X,X,O,O
SJOIZLT,X,X,X,O,O
SJOLTIZ,X,O,O,O,O
SJOLTZI,X,O,X,O,O
SJOLITZ,X,O,O,O,O
SJOLIZT,X,X,X,O,O
SJOLZTI,X,X,X,O,O
SJOLZIT,X,X,X,O,O
SJOZTIL,X,X,X,O,O
SJOZTLI,X,X,X,O,O
SJOZITL,X,X,X,O,O
SJOZILT,X,X,X,O,O
SJOZLTI,X,X,X,O,O
SJOZLIT,X,X,X,O,O
SZTILJO,O,O,O,X,O
SZTILOJ,O,O,O,X,X
SZTIJLO,O,O,X,X,O
SZTIJOL,O,O,X,O,O
SZTIOLJ,O,O,O,O,X
SZTIOJL,O,O,X,O,X
SZTLIJO,O,O,O,X,O
SZTLIOJ,O,O,O,X,X
SZTLJIO,O,O,X,X,O
SZTLJOI,O,O,X,X,O
SZTLOIJ,O,O,O,X,X
SZTLOJI,O,O,X,X,X
SZTJILO,O,O,X,X,O
SZTJIOL,O,O,X,O,O
SZTJLIO,O,O,X,X,O
SZTJLOI,O,O,X,X,O
SZTJOIL,O,O,X,O,O
SZTJOLI,O,O,X,O,O
SZTOILJ,O,O,O,O,X
SZTOIJL,O,O,X,O,X
SZTOLIJ,O,O,O,O,X
SZTOLJI,O,O,X,O,X
SZTOJIL,O,O,X,O,X
SZTOJLI,O,O,X,O,X
SZITLJO,O,O,O,X,O
SZITLOJ,O,O,O,X,X
SZITJLO,O,O,X,X,O
SZITJOL,O,O,X,O,O
SZITOLJ,O,O,O,O,X
SZITOJL,O,O,X,O,X
SZILTJO,X,O,O,X,O
SZILTOJ,X,O,O,X,X
SZILJTO,X,O,X,X,O
SZILJOT,O,X,X,X,O
SZILOTJ,X,X,O,X,X
SZILOJT,O,X,X,X,X
SZIJTLO,O,O,X,X,O
SZIJTOL,O,O,X,O,O
SZIJLTO,X,O,X,X,O
SZIJLOT,O,X,X,X,O
SZIJOTL,O,X,X,O,O
SZIJOLT,O,X,X,O,O
SZIOTLJ,O,X,O,O,X
SZIOTJL,O,X,X,O,X
SZIOLTJ,X,X,O,O,X
SZIOLJT,O,X,X,O,X
SZIOJTL,O,X,X,O,X
SZIOJLT,O,X,X,O,X
SZLTIJO,X,O,O,X,O
SZLTIOJ,X,O,O,X,X
SZLTJIO,X,O,X,X,O
SZLTJOI,X,O,X,X,O
SZLTOIJ,X,O,O,X,X
SZLTOJI,X,O,X,X,X
SZLITJO,X,O,O,X,O
SZLITOJ,X,O,O,X,X
SZLIJTO,X,O,X,X,O
SZLIJOT,O,X,X,X,O
SZLIOTJ,X,X,O,X,X
SZLIOJT,O,X,X,X,X
SZLJTIO,X,O,X,X,O
SZLJTOI,X,O,X,X,O
SZLJITO,X,O,X,X,O
SZLJIOT,O,X,X,X,O
SZLJOTI,X,X,X,X,O
SZLJOIT,O,X,X,X,O
SZLOTIJ,X,X,O,X,X
SZLOTJI,X,X,X,X,X
SZLOITJ,X,X,O,X,X
SZLOIJT,O,X,X,X,X
SZLOJTI,X,X,X,X,X
SZLOJIT,O,X,X,X,X
SZJTILO,O,O,X,X,O
SZJTIOL,O,O,X,O,O
SZJTLIO,O,O,X,X,O
SZJTLOI,O,O,X,X,O
SZJTOIL,O,O,X,O,O
SZJTOLI,O,O,X,O,O
SZJITLO,O,O,X,X,O
SZJITOL,O,O,X,O,O
SZJILTO,X,O,X,X,O
SZJILOT,O,X,X,X,O
SZJIOTL,O,X,X,O,O
SZJIOLT,O,X,X,O,O
SZJLTIO,X,O,X,X,O
SZJLTOI,X,O,X,X,O
SZJLITO,X,O,X,X,O
SZJLIOT,O,X,X,X,O
SZJLOTI,X,X,X,X,O
SZJLOIT,O,X,X,X,O
SZJOTIL,O,X,X,O,O
SZJOTLI,O,X,X,O,O
SZJOITL,O,X,X,O,O
SZJOILT,O,X,X,O,O
SZJOLTI,X,X,X,O,O
SZJOLIT,O,X,X,O,O
SZOTILJ,O,X,O,O,X
SZOTIJL,O,X,X,O,X
SZOTLIJ,O,X,O,O,X
SZOTLJI,O,X,X,O,X
SZOTJIL,O,X,X,O,X
SZOTJLI,O,X,X,O,X
SZOITLJ,O,X,O,O,X
SZOITJL,O,X,X,O,X
SZOILTJ,X,X,O,O,X
SZOILJT,O,X,X,O,X
SZOIJTL,O,X,X,O,X
SZOIJLT,O,X,X,O,X
SZOLTIJ,X,X,O,O,X
SZOLTJI,X,X,X,O,X
SZOLITJ,X,X,O,O,X
SZOLIJT,O,X,X,O,X
SZOLJTI,X,X,X,O,X
SZOLJIT,O,X,X,O,X
SZOJTIL,O,X,X,O,X
SZOJTLI,O,X,X,O,X
SZOJITL,O,X,X,O,X
SZOJILT,O,X,X,O,X
SZOJLTI,X,X,X,O,X
SZOJLIT,O,X,X,O,X
SOTILJZ,X,O,O,O,O
SOTILZJ,O,O,O,O,X
SOTIJLZ,X,O,O,O,O
SOTIJZL,X,O,X,O,O
SOTIZLJ,O,O,O,O,X
SOTIZJL,O,O,X,O,X
SOTLIJZ,X,O,O,O,O
SOTLIZJ,O,O,O,O,X
SOTLJIZ,X,O,O,O,O
SOTLJZI,X,O,X,O,O
SOTLZIJ,O,O,O,O,X
SOTLZJI,O,O,X,O,X
SOTJILZ,X,O,O,O,O
SOTJIZL,X,O,X,O,O
SOTJLIZ,X,O,O,O,O
SOTJLZI,X,O,X,O,O
SOTJZIL,X,O,X,O,O
SOTJZLI,X,O,X,O,O
SOTZILJ,O,O,O,O,X
SOTZIJL,O,O,X,O,X
SOTZLIJ,O,O,O,O,X
SOTZLJI,O,O,X,O,X
SOTZJIL,O,O,X,O,X
SOTZJLI,O,O,X,O,X
SOITLJZ,X,O,O,O,O
SOITLZJ,O,O,O,O,X
SOITJLZ,X,O,O,O,O
SOITJZL,X,O,X,O,O
SOITZLJ,O,O,O,O,X
SOITZJL,O,O,X,O,X
SOILTJZ,X,O,O,O,O
SOILTZJ,O,O,O,O,X
SOILJTZ,X,O,O,O,O
SOILJZT,X,X,X,O,O
SOILZTJ,X,X,O,O,X
SOILZJT,O,X,X,O,X
SOIJTLZ,X,O,O,O,O
SOIJTZL,X,O,X,O,O
SOIJLTZ,X,O,O,O,O
SOIJLZT,X,X,X,O,O
SOIJZTL,X,X,X,O,O
SOIJZLT,X,X,X,O,O
SOIZTLJ,O,X,O,O,X
SOIZTJL,O,X,X,O,X
SOIZLTJ,X,X,O,O,X
SOIZLJT,O,X,X,O,X
SOIZJTL,O,X,X,O,X
SOIZJLT,O,X,X,O,X
SOLTIJZ,X,O,O,O,O
SOLTIZJ,O,O,O,O,X
SOLTJIZ,X,O,O,O,O
SOLTJZI,X,O,X,O,O
SOLTZIJ,O,O,O,O,X
SOLTZJI,O,O,X,O,X
SOLITJZ,X,O,O,O,O
SOLITZJ,O,O,O,O,X
SOLIJTZ,X,O,O,O,O
SOLIJZT,X,X,X,O,O
SOLIZTJ,X,X,O,O,X
SOLIZJT,O,X,X,O,X
SOLJTIZ,X,O,O,O,O
SOLJTZI,X,O,X,O,O
SOLJITZ,X,O,O,O,O
SOLJIZT,X,X,X,O,O
SOLJZTI,X,X,X,O,O
SOLJZIT,X,X,X,O,O
SOLZTIJ,X,X,O,O,X
SOLZTJI,X,X,X,O,X
SOLZITJ,X,X,O,O,X
SOLZIJT,O,X,X,O,X
SOLZJTI,X,X,X,O,X
SOLZJIT,O,X,X,O,X
SOJTILZ,X,O,O,O,O
SOJTIZL,X,O,X,O,O
SOJTLIZ,X,O,O,O,O
SOJTLZI,X,O,X,O,O
SOJTZIL,X,O,X,O,O
SOJTZLI,X,O,X,O,O
SOJITLZ,X,O,O,O,O
SOJITZL,X,O,X,O,O
SOJILTZ,X,O,O,O,O
SOJILZT,X,X,X,O,O
SOJIZTL,X,X,X,O,O
SOJIZLT,X,X,X,O,O
SOJLTIZ,X,O,O,O,O
SOJLTZI,X,O,X,O,O
SOJLITZ,X,O,O,O,O
SOJLIZT,X,X,X,O,O
SOJLZTI,X,X,X,O,O
SOJLZIT,X,X,X,O,O
SOJZTIL,X,X,X,O,O
SOJZTLI,X,X,X,O,O
SOJZITL,X,X,X,O,O
SOJZILT,X,X,X,O,O
SOJZLTI,X,X,X,O,O
SOJZLIT,X,X,X,O,O
SOZTILJ,O,X,O,O,X
SOZTIJL,O,X,X,O,X
SOZTLIJ,O,X,O,O,X
SOZTLJI,O,X,X,O,X
SOZTJIL,O,X,X,O,X
SOZTJLI,O,X,X,O,X
SOZITLJ,O,X,O,O,X
SOZITJL,O,X,X,O,X
SOZILTJ,X,X,O,O,X
SOZILJT,O,X,X,O,X
SOZIJTL,O,X,X,O,X
SOZIJLT,O,X,X,O,X
SOZLTIJ,X,X,O,O,X
SOZLTJI,X,X,X,O,X
SOZLITJ,X,X,O,O,X
SOZLIJT,O,X,X,O,X
SOZLJTI,X,X,X,O,X
SOZLJIT,O,X,X,O,X
SOZJTIL,O,X,X,O,X
SOZJTLI,O,X,X,O,X
SOZJITL,O,X,X,O,X
SOZJILT,O,X,X,O,X
SOZJLTI,X,X,X,O,X
SOZJLIT,O,X,X,O,X
ZTILJSO,O,X,X,X,X
ZTILJOS,O,X,X,X,X
ZTILSJO,O,X,X,X,X
ZTILSOJ,O,X,X,X,X
ZTILOJS,O,X,X,X,X
ZTILOSJ,O,X,X,X,X
ZTIJLSO,O,X,X,X,X
ZTIJLOS,O,X,X,X,X
ZTIJSLO,O,O,X,X,X
ZTIJSOL,O,O,X,X,X
ZTIJOLS,O,X,X,X,X
ZTIJOSL,O,O,X,X,X
ZTISLJO,O,O,O,X,X
ZTISLOJ,O,O,O,X,X
ZTISJLO,O,O,X,X,X
ZTISJOL,O,O,X,X,X
ZTISOLJ,O,O,O,X,X
ZTISOJL,O,O,X,X,X
ZTIOLJS,O,X,X,X,X
ZTIOLSJ,O,X,X,X,X
ZTIOJLS,O,X,X,X,X
ZTIOJSL,O,O,X,X,X
ZTIOSLJ,O,O,O,X,X
ZTIOSJL,O,O,X,X,X
ZTLIJSO,O,X,X,X,X
ZTLIJOS,O,X,X,X,X
ZTLISJO,O,X,X,X,X
ZTLISOJ,O,X,X,X,X
ZTLIOJS,O,X,X,X,X
ZTLIOSJ,O,X,X,X,X
ZTLJISO,O,X,X,X,X
ZTLJIOS,O,X,X,X,X
ZTLJSIO,O,X,X,X,X
ZTLJSOI,O,X,X,X,X
ZTLJOIS,O,X,X,X,X
ZTLJOSI,O,X,X,X,X
ZTLSIJO,O,X,X,X,X
ZTLSIOJ,O,X,X,X,X
ZTLSJIO,O,X,X,X,X
ZTLSJOI,O,X,X,X,X
ZTLSOIJ,O,X,X,X,X
ZTLSOJI,O,X,X,X,X
ZTLOIJS,O,X,X,X,X
ZTLOISJ,O,X,X,X,X
ZTLOJIS,O,X,X,X,X
ZTLOJSI,O,X,X,X,X
ZTLOSIJ,O,X,X,X,X
ZTLOSJI,O,X,X,X,X
ZTJILSO,O,X,X,X,X
ZTJILOS,O,X,X,X,X
ZTJISLO,O,O,X,X,X
ZTJISOL,O,O,X,X,X
ZTJIOLS,O,X,X,X,X
ZTJIOSL,O,O,X,X,X
ZTJLISO,O,X,X,X,X
ZTJLIOS,O,X,X,X,X
ZTJLSIO,O,X,X,X,X
ZTJLSOI,O,X,X,X,X
ZTJLOIS,O,X,X,X,X
ZTJLOSI,O,X,X,X,X
ZTJSILO,O,O,X,X,X
ZTJSIOL,O,O,X,X,X
ZTJSLIO,O,O,X,X,X
ZTJSLOI,O,O,X,X,X
ZTJSOIL,O,O,X,X,X
ZTJSOLI,O,O,X,X,X
ZTJOILS,O,X,X,X,X
ZTJOISL,O,O,X,X,X
ZTJOLIS,O,X,X,X,X
ZTJOLSI,O,X,X,X,X
ZTJOSIL,O,O,X,X,X
ZTJOSLI,O,O,X,X,X
ZTSILJO,O,O,O,X,X
ZTSILOJ,O,O,O,X,X
ZTSIJLO,O,O,X,X,X
ZTSIJOL,O,O,X,X,X
ZTSIOLJ,O,O,O,X,X
ZTSIOJL,O,O,X,X,X
ZTSLIJO,O,O,O,X,X
ZTSLIOJ,O,O,O,X,X
ZTSLJIO,O,O,X,X,X
ZTSLJOI,O,O,X,X,X
ZTSLOIJ,O,O,O,X,X
ZTSLOJI,O,O,X,X,X
ZTSJILO,O,O,X,X,X
ZTSJIOL,O,O,X,X,X
ZTSJLIO,O,O,X,X,X
ZTSJLOI,O,O,X,X,X
ZTSJOIL,O,O,X,X,X
ZTSJOLI,O,O,X,X,X
ZTSOILJ,O,O,O,X,X
ZTSOIJL,O,O,X,X,X
ZTSOLIJ,O,O,O,X,X
ZTSOLJI,O,O,X,X,X
ZTSOJIL,O,O,X,X,X
ZTSOJLI,O,O,X,X,X
ZTOILJS,O,X,X,X,X
ZTOILSJ,O,X,X,X,X
ZTOIJLS,O,X,X,X,X
ZTOIJSL,O,O,X,X,X
ZTOISLJ,O,O,O,X,X
ZTOISJL,O,O,X,X,X
ZTOLIJS,O,X,X,X,X
ZTOLISJ,O,X,X,X,X
ZTOLJIS,O,X,X,X,X
ZTOLJSI,O,X,X,X,X
ZTOLSIJ,O,X,X,X,X
ZTOLSJI,O,X,X,X,X
ZTOJILS,O,X,X,X,X
ZTOJISL,O,O,X,X,X
ZTOJLIS,O,X,X,X,X
ZTOJLSI,O,X,X,X,X
ZTOJSIL,O,O,X,X,X
ZTOJSLI,O,O,X,X,X
ZTOSILJ,O,O,O,X,X
ZTOSIJL,O,O,X,X,X
ZTOSLIJ,O,O,O,X,X
ZTOSLJI,O,O,X,X,X
ZTOSJIL,O,O,X,X,X
ZTOSJLI,O,O,X,X,X
ZITLJSO,O,X,X,X,X
ZITLJOS,O,X,X,X,X
ZITLSJO,O,X,X,X,X
ZITLSOJ,O,X,X,X,X
ZITLOJS,O,X,X,X,X
ZITLOSJ,O,X,X,X,X
ZITJLSO,O,X,X,X,X
ZITJLOS,O,X,X,X,X
ZITJSLO,O,O,X,X,X
ZITJSOL,O,O,X,X,X
ZITJOLS,O,X,X,X,X
ZITJOSL,O,O,X,X,X
ZITSLJO,O,O,O,X,X
ZITSLOJ,O,O,O,X,X
ZITSJLO,O,O,X,X,X
ZITSJOL,O,O,X,X,X
ZITSOLJ,O,O,O,X,X
ZITSOJL,O,O,X,X,X
ZITOLJS,O,X,X,X,X
ZITOLSJ,O,X,X,X,X
ZITOJLS,O,X,X,X,X
ZITOJSL,O,O,X,X,X
ZITOSLJ,O,O,O,X,X
ZITOSJL,O,O,X,X,X
ZILTJSO,O,X,X,X,X
ZILTJOS,O,X,X,X,X
ZILTSJO,O,X,X,X,X
ZILTSOJ,O,X,X,X,X
ZILTOJS,O,X,X,X,X
ZILTOSJ,O,X,X,X,X
ZILJTSO,O,X,X,X,X
ZILJTOS,O,X,X,X,X
ZILJSTO,X,O,X,X,O
ZILJSOT,O,X,X,X,O
ZILJOTS,O,X,X,X,X
ZILJOST,O,X,X,O,O
ZILSTJO,X,O,O,X,O
ZILSTOJ,X,O,O,X,X
ZILSJTO,X,O,X,X,O
ZILSJOT,O,X,X,X,O
ZILSOTJ,X,X,O,X,X
ZILSOJT,O,X,X,X,X
ZILOTJS,O,X,X,X,X
ZILOTSJ,O,X,X,X,X
ZILOJTS,O,X,X,X,X
ZILOJST,O,X,X,O,X
ZILOSTJ,X,X,O,O,X
ZILOSJT,O,X,X,O,X
ZIJTLSO,O,X,X,X,X
ZIJTLOS,O,X,X,X,X
ZIJTSLO,O,O,X,X,X
ZIJTSOL,O,O,X,X,X
ZIJTOLS,O,X,X,X,X
ZIJTOSL,O,O,X,X,X
ZIJLTSO,O,X,X,X,X
ZIJLTOS,O,X,X,X,X
ZIJLSTO,X,O,X,X,O
ZIJLSOT,O,X,X,X,O
ZIJLOTS,O,X,X,X,X
ZIJLOST,O,X,X,O,O
ZIJSTLO,O,O,X,X,O
ZIJSTOL,O,O,X,O,O
ZIJSLTO,X,O,X,X,O
