sequence,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jei/IvhFUhBGiBZoBF?lB/sBTpB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeZEJvhFCgBXhBmiB8?pBFnBzsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jel/IvhFUhBRiBKpBX?lBTnBetB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jex/IvhFXhBKpBzkBF?nB8sBmsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFRiB/pBFlBT?nBetBipB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFZoB/pBFlBT?nBipBGsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Je0/IvhFVmBZoBKpBT?nBXlBGsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeZEJvhFVmB3iBzkBe?tBUnBCqB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jex/IvhFXhBypBFnB8?sBTpBmsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFRiB/pBFlB2?sBzsBipB
TSOIJZL,O,O,X,X,X,O,X,O,X,X
TSOIZLJ,O,O,X,X,X,O,X,X,X,X
TSOIZJL,O,O,X,X,X,O,X,X,X,X
TSOLIJZ,O,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,O,O,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,O,O,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X,X,X
TSOJILZ,O,O,X,X,O,X,X,O,X,O
TSOJIZL,O,O,X,X,O,O,X,O,X,O
TSOJLIZ,O,O,X,X,O,X,X,O,X,O
TSOJLZI,O,O,X,X,O,X,X,X,X,O
TSOJZIL,O,O,X,X,O,O,X,O,X,O
TSOJZLI,O,O,X,X,O,X,X,X,X,O
TSOZILJ,O,O,X,X,X,O,X,X,X,X
TSOZIJL,O,O,X,X,X,O,X,X,X,X
TSOZLIJ,O,O,X,X,X,O,X,X,X,X
TSOZLJI,O,O,X,X,X,X,X,X,X,X
TSOZJIL,O,O,X,X,O,O,X,X,X,O
TSOZJLI,O,O,X,X,O,X,X,X,X,O
TZILJSO,O,O,O,X,X,X,X,X,X,X
TZILJOS,X,O,O,X,X,X,O,X,X,X
TZILSJO,O,O,O,X,X,X,X,X,X,X
TZILSOJ,O,O,O,O,X,X,O,X,O,X
TZILOJS,X,O,O,O,X,X,O,X,O,X
TZILOSJ,O,O,O,O,X,X,O,X,O,X
TZIJLSO,O,O,X,X,X,X,X,X,X,X
TZIJLOS,X,O,X,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,O,X,X
TZIJOLS,X,O,X,X,X,X,X,X,X,X
TZIJOSL,X,O,X,X,X,X,X,O,X,X
TZISLJO,O,O,X,X,X,X,X,X,X,X
TZISLOJ,O,O,X,O,X,O,X,X,O,X
TZISJLO,O,O,X,X,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,O,X,X,X,X
TZISOLJ,O,O,X,X,X,O,X,X,X,X
TZISOJL,O,O,X,X,X,O,X,X,X,X
TZIOLJS,O,O,X,X,X,X,O,X,X,X
TZIOLSJ,O,O,X,X,X,X,O,X,X,X
TZIOJLS,O,O,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,O,X,X
TZIOSLJ,O,O,X,X,X,O,X,X,X,X
TZIOSJL,O,O,X,X,X,O,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X,X,X,X
TZLIJOS,X,O,O,X,X,X,O,X,X,X
TZLISJO,O,O,O,X,X,X,X,X,X,X
TZLISOJ,O,O,O,O,X,X,O,X,O,X
TZLIOJS,X,O,O,O,X,X,O,X,O,X
TZLIOSJ,O,O,O,O,X,X,O,X,O,X
TZLJISO,O,O,O,X,X,X,X,X,X,X
TZLJIOS,X,O,O,X,X,X,O,X,X,X
TZLJSIO,O,O,O,X,X,X,X,X,X,X
TZLJSOI,O,O,O,O,X,X,X,X,O,X
TZLJOIS,X,O,O,O,X,X,O,X,O,X
TZLJOSI,X,O,O,O,X,X,X,X,O,X
TZLSIJO,O,O,O,X,X,X,X,X,X,X
TZLSIOJ,O,O,O,O,X,X,O,X,O,X
TZLSJIO,O,O,O,X,X,X,X,X,X,X
TZLSJOI,O,O,O,O,X,X,X,X,O,X
TZLSOIJ,O,O,O,O,X,X,O,X,O,X
TZLSOJI,O,O,O,O,X,X,X,X,O,X
TZLOIJS,X,O,O,O,X,X,O,X,O,X
TZLOISJ,O,O,O,O,X,X,O,X,O,X
TZLOJIS,X,O,O,O,X,X,O,X,O,X
TZLOJSI,X,O,O,O,X,X,X,X,O,X
TZLOSIJ,O,O,X,O,X,X,O,X,O,X
TZLOSJI,O,O,X,O,X,X,X,X,O,X
TZJILSO,O,O,O,X,X,X,X,X,X,X
TZJILOS,X,O,O,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,O,X,X
TZJIOLS,X,O,X,X,X,X,X,X,X,X
TZJIOSL,X,O,X,X,X,X,X,O,X,X
TZJLISO,O,O,O,X,X,X,X,X,X,X
TZJLIOS,X,O,O,X,X,X,X,X,X,X
TZJLSIO,O,O,O,X,X,X,X,X,X,X
TZJLSOI,O,O,O,O,X,X,X,X,O,X
TZJLOIS,X,O,O,O,X,X,X,X,O,X
TZJLOSI,X,O,O,O,X,X,X,X,O,X
TZJSILO,O,O,X,X,X,X,X,X,X,X
TZJSIOL,O,O,X,X,O,X,X,O,X,O
TZJSLIO,O,O,X,X,X,X,X,X,X,X
TZJSLOI,O,O,X,O,O,X,X,X,O,O
TZJSOIL,O,O,X,X,O,X,X,O,X,O
TZJSOLI,O,O,X,X,O,X,X,X,X,O
TZJOILS,X,O,O,X,X,X,X,X,X,X
TZJOISL,X,O,X,X,O,X,X,O,X,X
TZJOLIS,X,O,O,X,X,X,X,X,X,X
TZJOLSI,X,O,O,X,X,X,X,X,X,X
TZJOSIL,X,O,X,X,O,X,X,O,X,X
TZJOSLI,X,O,X,X,O,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X,X,X
TZSILOJ,O,O,X,O,X,O,X,X,O,X
TZSIJLO,O,O,X,X,X,X,X,X,X,X
TZSIJOL,O,O,X,X,O,O,X,X,X,O
TZSIOLJ,O,O,X,X,X,O,X,X,X,X
TZSIOJL,O,O,X,X,X,O,X,X,X,X
TZSLIJO,O,O,X,X,X,X,X,X,X,X
TZSLIOJ,O,O,X,O,X,O,X,X,O,X
TZSLJIO,O,O,X,X,X,X,X,X,X,X
TZSLJOI,O,O,X,O,O,X,X,X,O,O
TZSLOIJ,O,O,X,O,X,O,X,X,O,X
TZSLOJI,O,O,X,O,X,X,X,X,O,X
TZSJILO,O,O,X,X,X,X,X,X,X,X
TZSJIOL,O,O,X,X,O,O,X,X,X,O
TZSJLIO,O,O,X,X,X,X,X,X,X,X
TZSJLOI,O,O,X,O,O,X,X,X,O,O
TZSJOIL,O,O,X,X,O,O,X,X,X,O
TZSJOLI,O,O,X,X,O,X,X,X,X,O
TZSOILJ,O,O,X,X,X,O,X,X,X,X
TZSOIJL,O,O,X,X,X,O,X,X,X,X
TZSOLIJ,O,O,X,O,X,O,X,X,O,X
TZSOLJI,O,O,X,O,X,X,X,X,O,X
TZSOJIL,O,O,X,X,O,O,X,X,X,O
TZSOJLI,O,O,X,X,O,X,X,X,X,O
TZOILJS,O,O,X,X,X,X,O,X,X,X
TZOILSJ,O,O,X,X,X,X,O,X,X,X
TZOIJLS,O,O,X,X,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,O,X,X
TZOISLJ,O,O,X,X,X,O,X,X,X,X
TZOISJL,O,O,X,X,X,O,X,X,X,X
TZOLIJS,O,O,X,O,X,X,O,X,O,X
TZOLISJ,O,O,X,O,X,X,O,X,O,X
TZOLJIS,O,O,X,O,X,X,O,X,O,X
TZOLJSI,O,O,X,O,X,X,X,X,O,X
TZOLSIJ,O,O,X,O,X,X,O,X,O,X
TZOLSJI,O,O,X,O,X,X,X,X,O,X
TZOJILS,O,O,X,X,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,O,X,X
TZOJLIS,O,O,X,X,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,O,X,X
TZOJSLI,O,O,X,X,X,X,X,X,X,X
TZOSILJ,O,O,X,X,X,O,X,X,X,X
TZOSIJL,O,O,X,X,X,O,X,X,X,X
TZOSLIJ,O,O,X,O,X,O,X,X,O,X
TZOSLJI,O,O,X,O,X,X,X,X,O,X
TZOSJIL,O,O,X,X,X,O,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,X,X,X
TOILJSZ,O,O,X,X,X,X,X,O,X,X
TOILJZS,O,O,X,X,X,X,O,X,X,X
TOILSJZ,O,O,X,X,X,X,X,X,X,X
TOILSZJ,O,O,X,X,X,X,O,X,X,X
TOILZJS,O,O,X,X,X,X,O,X,X,X
TOILZSJ,O,O,X,X,X,X,O,X,X,X
TOIJLSZ,O,O,X,X,X,X,X,O,X,X
TOIJLZS,O,O,X,X,X,X,O,X,X,X
TOIJSLZ,O,O,X,X,X,X,X,O,X,X
TOIJSZL,O,O,X,X,X,X,X,O,X,X
TOIJZLS,O,O,X,X,X,X,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X,O,X,X
TOISLJZ,O,O,X,X,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,O,O,X,X,X
TOISJLZ,O,O,X,X,X,X,X,O,X,X
TOISJZL,O,O,X,X,X,O,X,O,X,X
TOISZLJ,O,O,X,X,X,O,X,X,X,X
TOISZJL,O,O,X,X,X,O,X,X,X,X
TOIZLJS,O,O,X,X,X,X,O,X,X,X
TOIZLSJ,O,O,X,X,X,X,O,X,X,X
TOIZJLS,O,O,X,X,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,O,X,X
TOIZSLJ,O,O,X,X,X,O,X,X,X,X
TOIZSJL,O,O,X,X,X,O,X,X,X,X
TOLIJSZ,O,O,X,X,X,X,X,O,X,X
TOLIJZS,O,O,X,X,X,X,O,X,X,X
TOLISJZ,O,O,X,X,X,X,X,X,X,X
TOLISZJ,O,O,X,X,X,X,O,X,X,X
TOLIZJS,O,O,X,X,X,X,O,X,X,X
TOLIZSJ,O,O,X,X,X,X,O,X,X,X
TOLJISZ,O,O,X,X,X,X,X,O,X,X
TOLJIZS,O,O,X,X,X,X,O,X,X,X
TOLJSIZ,O,O,X,X,X,X,X,O,X,X
TOLJSZI,O,O,X,X,X,X,X,X,X,X
TOLJZIS,O,O,X,X,X,X,O,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,O,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,X,X,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,O,X,X,X
TOLSZJI,O,O,X,X,X,X,X,X,X,X
TOLZIJS,O,O,X,X,X,X,O,X,X,X
TOLZISJ,O,O,X,X,X,X,O,X,X,X
TOLZJIS,O,O,X,X,X,X,O,X,X,X
TOLZJSI,O,O,X,X,X,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,O,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X,X,X
TOJILSZ,O,O,X,X,X,X,X,O,X,X
TOJILZS,O,O,X,X,X,X,O,X,X,X
TOJISLZ,O,O,X,X,X,X,X,O,X,X
TOJISZL,O,O,X,X,X,X,X,O,X,X
TOJIZLS,O,O,X,X,X,X,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X,O,X,X
TOJLISZ,O,O,X,X,X,X,X,O,X,X
TOJLIZS,O,O,X,X,X,X,O,X,X,X
TOJLSIZ,O,O,X,X,X,X,X,O,X,X
TOJLSZI,O,O,X,X,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,X,O,X,X,X
TOJLZSI,O,O,X,X,X,X,X,X,X,X
TOJSILZ,O,O,X,X,X,X,X,O,X,X
TOJSIZL,O,O,X,X,X,X,X,O,X,X
TOJSLIZ,O,O,X,X,X,X,X,O,X,X
TOJSLZI,O,O,X,X,X,X,X,X,X,X
TOJSZIL,O,O,X,X,X,X,X,O,X,X
TOJSZLI,O,O,X,X,X,X,X,X,X,X
TOJZILS,O,O,X,X,X,X,X,X,X,X
TOJZISL,O,O,X,X,X,X,X,O,X,X
TOJZLIS,O,O,X,X,X,X,X,X,X,X
TOJZLSI,O,O,X,X,X,X,X,X,X,X
TOJZSIL,O,O,X,X,X,X,X,O,X,X
TOJZSLI,O,O,X,X,X,X,X,X,X,X
TOSILJZ,O,O,X,X,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,O,O,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,O,X,X
TOSIJZL,O,O,X,X,X,O,X,O,X,X
TOSIZLJ,O,O,X,X,X,O,X,X,X,X
TOSIZJL,O,O,X,X,X,O,X,X,X,X
TOSLIJZ,O,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,O,O,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X,X,X
TOSLJZI,O,O,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,O,O,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X,X,X
TOSJILZ,O,O,X,X,X,X,X,O,X,X
TOSJIZL,O,O,X,X,X,O,X,O,X,X
TOSJLIZ,O,O,X,X,X,X,X,O,X,X
TOSJLZI,O,O,X,X,X,X,X,X,X,X
TOSJZIL,O,O,X,X,X,O,X,O,X,X
TOSJZLI,O,O,X,X,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,O,X,X,X,X
TOSZIJL,O,O,X,X,X,O,X,X,X,X
TOSZLIJ,O,O,X,X,X,O,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,X,X,X
TOSZJIL,O,O,X,X,X,O,X,X,X,X
TOSZJLI,O,O,X,X,X,X,X,X,X,X
TOZILJS,O,O,X,X,X,X,O,X,X,X
TOZILSJ,O,O,X,X,X,X,O,X,X,X
TOZIJLS,O,O,X,X,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,O,X,X
TOZISLJ,O,O,X,X,X,O,X,X,X,X
TOZISJL,O,O,X,X,X,O,X,X,X,X
TOZLIJS,O,O,X,X,X,X,O,X,X,X
TOZLISJ,O,O,X,X,X,X,O,X,X,X
TOZLJIS,O,O,X,X,X,X,O,X,X,X
TOZLJSI,O,O,X,X,X,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,X,O,X,X,X
TOZLSJI,O,O,X,X,X,X,X,X,X,X
TOZJILS,O,O,X,X,X,X,X,X,X,X
TOZJISL,O,O,X,X,X,X,X,O,X,X
TOZJLIS,O,O,X,X,X,X,X,X,X,X
TOZJLSI,O,O,X,X,X,X,X,X,X,X
TOZJSIL,O,O,X,X,X,X,X,O,X,X
TOZJSLI,O,O,X,X,X,X,X,X,X,X
TOZSILJ,O,O,X,X,X,O,X,X,X,X
TOZSIJL,O,O,X,X,X,O,X,X,X,X
TOZSLIJ,O,O,X,X,X,O,X,X,X,X
TOZSLJI,O,O,X,X,X,X,X,X,X,X
TOZSJIL,O,O,X,X,X,O,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,X,X,X
ITLJSZO,O,O,X,X,X,X,X,X,X,X
ITLJSOZ,O,X,X,X,X,X,X,O,X,X
ITLJZSO,O,O,X,X,X,X,X,X,X,X
ITLJZOS,X,O,X,X,X,X,O,X,X,X
ITLJOSZ,X,X,X,X,X,X,X,O,X,X
ITLJOZS,X,X,X,X,X,X,O,X,X,X
ITLSJZO,O,O,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,X,X,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,O,X,X,X
ITLSOJZ,O,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,X,X,O,X,X,X
ITLZJSO,O,O,X,X,X,X,X,X,X,X
ITLZJOS,X,O,X,X,X,X,O,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,O,X,X,X
ITLZOJS,X,O,X,X,X,X,O,X,X,X
ITLZOSJ,O,O,X,X,X,X,O,X,X,X
ITLOJSZ,X,X,X,X,X,X,X,O,X,X
ITLOJZS,X,X,X,X,X,X,O,X,X,X
ITLOSJZ,O,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,X,X,X,O,X,X,X
ITLOZJS,X,X,X,X,X,X,O,X,X,X
ITLOZSJ,O,X,X,X,X,X,O,X,X,X
ITJLSZO,O,O,X,X,X,X,X,X,X,X
ITJLSOZ,O,X,X,X,X,X,X,O,X,X
ITJLZSO,O,O,X,X,X,X,X,X,X,X
ITJLZOS,X,O,X,X,X,X,O,X,X,X
ITJLOSZ,X,X,X,X,X,X,X,O,X,X
ITJLOZS,X,X,X,X,X,X,O,X,X,X
ITJSLZO,O,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X,X,O,X,X
ITJSZLO,O,O,X,X,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X,O,X,X
ITJSOLZ,O,X,X,X,X,X,X,O,X,X
ITJSOZL,O,O,X,X,X,X,X,O,X,X
ITJZLSO,O,O,X,X,X,X,X,X,X,X
ITJZLOS,X,O,X,X,X,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,O,X,X
ITJZOLS,X,O,X,X,X,X,X,X,X,X
ITJZOSL,X,O,X,X,X,X,X,O,X,X
ITJOLSZ,X,X,X,X,X,X,X,O,X,X
ITJOLZS,X,X,X,X,X,X,O,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,O,X,X
ITJOSZL,X,O,X,X,X,X,X,O,X,X
ITJOZLS,X,O,X,X,X,X,X,X,X,X
ITJOZSL,X,O,X,X,X,X,X,O,X,X
ITSLJZO,O,O,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,O,O,X,X,X
ITSLOJZ,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,O,O,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,O,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,O,X,O,X,X
ITSJOLZ,O,X,X,X,X,X,X,O,X,X
ITSJOZL,O,O,X,X,X,O,X,O,X,X
ITSZLJO,O,O,X,X,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,O,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X,X,X
ITSZJOL,O,O,X,X,X,O,X,X,X,X
ITSZOLJ,O,O,X,X,X,O,X,X,X,X
ITSZOJL,O,O,X,X,X,O,X,X,X,X
ITSOLJZ,O,O,X,X,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,O,O,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,O,X,X
ITSOJZL,O,O,X,X,X,O,X,O,X,X
ITSOZLJ,O,O,X,X,X,O,X,X,X,X
ITSOZJL,O,O,X,X,X,O,X,X,X,X
ITZLJSO,O,O,X,X,X,X,X,X,X,X
ITZLJOS,X,O,X,X,X,X,O,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,O,X,X,X
ITZLOJS,X,O,X,X,X,X,O,X,X,X
ITZLOSJ,O,O,X,X,X,X,O,X,X,X
ITZJLSO,O,O,X,X,X,X,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,O,X,X
ITZJOLS,X,O,X,X,X,X,X,X,X,X
ITZJOSL,X,O,X,X,X,X,X,O,X,X
ITZSLJO,O,O,X,X,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,O,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,O,X,X,X,X
ITZSOLJ,O,O,X,X,X,O,X,X,X,X
ITZSOJL,O,O,X,X,X,O,X,X,X,X
ITZOLJS,O,O,X,X,X,X,O,X,X,X
ITZOLSJ,O,O,X,X,X,X,O,X,X,X
ITZOJLS,O,O,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,O,X,X
ITZOSLJ,O,O,X,X,X,O,X,X,X,X
ITZOSJL,O,O,X,X,X,O,X,X,X,X
ITOLJSZ,O,O,X,X,X,X,X,O,X,X
ITOLJZS,O,O,X,X,X,X,O,X,X,X
ITOLSJZ,O,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,O,X,X,X
ITOLZJS,O,O,X,X,X,X,O,X,X,X
ITOLZSJ,O,O,X,X,X,X,O,X,X,X
ITOJLSZ,O,O,X,X,X,X,X,O,X,X
ITOJLZS,O,O,X,X,X,X,O,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,O,X,X
ITOJSZL,O,O,X,X,X,X,X,O,X,X
ITOJZLS,O,O,X,X,X,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X,O,X,X
ITOSLJZ,O,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,O,O,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,O,X,X
ITOSJZL,O,O,X,X,X,O,X,O,X,X
ITOSZLJ,O,O,X,X,X,O,X,X,X,X
ITOSZJL,O,O,X,X,X,O,X,X,X,X
ITOZLJS,O,O,X,X,X,X,O,X,X,X
ITOZLSJ,O,O,X,X,X,X,O,X,X,X
ITOZJLS,O,O,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,O,X,X
ITOZSLJ,O,O,X,X,X,O,X,X,X,X
ITOZSJL,O,O,X,X,X,O,X,X,X,X
ILTJSZO,O,O,O,X,X,X,X,X,X,X
ILTJSOZ,O,X,X,X,X,X,X,O,X,X
ILTJZSO,O,O,O,X,X,X,X,X,X,X
ILTJZOS,X,O,O,X,X,X,O,X,X,X
ILTJOSZ,X,X,O,X,X,X,X,O,X,X
ILTJOZS,X,X,O,X,X,X,O,X,X,X
ILTSJZO,O,O,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,O,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,X,O,X,X,X
ILTZJSO,O,O,O,X,X,X,X,X,X,X
ILTZJOS,X,O,O,X,X,X,O,X,X,X
ILTZSJO,O,O,O,X,X,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,O,X,X,X
ILTZOJS,X,O,O,X,X,X,O,X,X,X
ILTZOSJ,O,O,O,X,X,X,O,X,X,X
ILTOJSZ,X,X,X,X,X,X,X,O,X,X
ILTOJZS,X,X,X,X,X,X,O,X,X,X
ILTOSJZ,O,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,O,X,X,X
ILTOZJS,X,X,X,X,X,X,O,X,X,X
ILTOZSJ,O,X,X,X,X,X,O,X,X,X
ILJTSZO,X,X,O,X,X,X,X,X,X,X
ILJTSOZ,X,X,O,X,X,X,X,O,X,X
ILJTZSO,X,X,O,X,X,X,X,X,X,X
ILJTZOS,X,X,O,X,X,X,O,X,X,X
ILJTOSZ,X,X,O,X,X,X,X,O,X,X
ILJTOZS,X,X,O,X,X,X,O,X,X,X
ILJSTZO,X,X,O,X,X,X,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X,O,X,X
ILJSZTO,X,X,O,X,X,X,X,X,X,X
ILJSZOT,X,X,O,X,X,X,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,X,O,X,X
ILJSOZT,X,X,O,X,X,X,X,X,X,X
ILJZTSO,X,X,O,X,X,X,X,X,X,X
ILJZTOS,X,X,O,X,X,X,O,X,X,X
ILJZSTO,X,X,O,X,X,X,X,X,X,X
ILJZSOT,X,X,O,X,X,X,X,X,X,X
ILJZOTS,X,X,O,X,X,X,O,X,X,X
ILJZOST,X,X,O,X,X,X,X,X,X,X
ILJOTSZ,X,X,O,X,X,X,X,O,X,X
ILJOTZS,X,X,O,X,X,X,O,X,X,X
ILJOSTZ,X,X,O,X,X,X,X,O,X,X
ILJOSZT,X,X,O,X,X,X,X,X,X,X
ILJOZTS,X,X,O,X,X,X,O,X,X,X
ILJOZST,X,X,O,X,X,X,X,X,X,X
ILSTJZO,O,O,O,X,X,X,X,X,X,X
ILSTJOZ,O,X,O,X,X,X,X,X,X,X
ILSTZJO,O,O,O,X,X,X,X,X,X,X
ILSTZOJ,O,O,O,X,X,O,O,X,X,X
ILSTOJZ,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,X,X,X,O,O,X,X,X
ILSJTZO,O,X,O,X,X,X,X,X,X,X
ILSJTOZ,O,X,O,X,X,X,X,X,X,X
ILSJZTO,O,X,O,X,X,X,X,X,X,X
ILSJZOT,O,X,O,X,X,X,X,X,X,X
ILSJOTZ,O,X,O,X,X,X,X,X,X,X
ILSJOZT,O,X,O,X,X,X,X,X,X,X
ILSZTJO,O,O,O,X,X,X,X,X,X,X
ILSZTOJ,O,O,O,O,X,O,O,X,O,X
ILSZJTO,O,O,O,X,X,X,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X,X,X,X
ILSZOTJ,O,O,O,O,X,O,O,X,X,X
ILSZOJT,O,O,X,O,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,O,X,O,O,X,X,X
ILSOJTZ,O,X,X,X,X,X,X,X,X,X
ILSOJZT,O,O,X,O,X,X,X,X,X,X
ILSOZTJ,O,O,X,O,X,O,O,X,X,X
ILSOZJT,O,O,X,O,X,X,X,X,X,X
ILZTJSO,O,O,O,X,X,X,X,X,X,X
ILZTJOS,X,O,O,X,X,X,O,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X,X,X
ILZTSOJ,O,O,O,O,X,X,O,X,O,X
ILZTOJS,X,O,O,O,X,X,O,X,O,X
ILZTOSJ,O,O,O,O,X,X,O,X,O,X
ILZJTSO,X,O,O,X,X,X,X,X,X,X
ILZJTOS,X,O,O,X,X,X,O,X,X,X
ILZJSTO,X,O,O,X,X,X,X,X,X,X
ILZJSOT,X,O,O,X,X,X,X,X,X,X
ILZJOTS,X,O,O,X,X,X,O,X,X,X
ILZJOST,X,O,O,X,X,X,X,X,X,X
ILZSTJO,O,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,O,O,X,O,O,X,O,X
ILZSJTO,O,O,O,X,X,X,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X,X,X,X
ILZSOTJ,O,O,O,O,X,O,O,X,X,X
ILZSOJT,O,O,X,O,X,X,X,X,X,X
ILZOTJS,O,O,O,O,X,X,O,X,X,X
ILZOTSJ,O,O,O,O,X,X,O,X,X,X
ILZOJTS,X,O,X,O,X,X,O,X,X,X
ILZOJST,O,O,X,O,X,X,X,X,X,X
ILZOSTJ,O,O,O,O,X,O,O,X,X,X
ILZOSJT,O,O,X,O,X,X,X,X,X,X
