sequence,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBOhB8hBfjB6jBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBicBGeB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8JeR7Iv?hFzcBfjB6jBukBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hF2gBzcBfjB6jBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBSjB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFibBzcBUhBXoBGoBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBFjB3hBctBCtB
TZOJLSI,O,O,O,X,X,X,X
TZOJSIL,O,O,O,O,X,X,O
TZOJSLI,O,O,O,O,X,X,X
TZOSILJ,O,O,O,O,X,O,X
TZOSIJL,O,O,O,O,X,O,O
TZOSLIJ,O,O,O,O,X,O,X
TZOSLJI,O,O,O,O,X,X,X
TZOSJIL,O,O,O,O,X,X,O
TZOSJLI,O,O,O,O,X,X,X
TOILJSZ,X,X,X,O,O,X,X
TOILJZS,X,X,X,X,O,X,X
TOILSJZ,O,O,X,O,O,X,X
TOILSZJ,O,O,X,O,X,X,X
TOILZJS,O,O,X,X,O,X,X
TOILZSJ,O,O,X,X,X,X,X
TOIJLSZ,X,X,O,O,O,X,X
TOIJLZS,X,X,X,X,O,X,X
TOIJSLZ,O,O,O,O,O,X,X
TOIJSZL,O,O,O,O,X,X,X
TOIJZLS,O,O,X,X,O,X,O
TOIJZSL,O,O,O,O,X,X,O
TOISLJZ,O,O,O,O,O,X,X
TOISLZJ,O,O,X,O,X,X,X
TOISJLZ,O,O,O,O,O,X,X
TOISJZL,O,O,O,O,X,X,X
TOISZLJ,O,O,X,O,X,X,X
TOISZJL,O,O,X,O,X,X,X
TOIZLJS,O,O,X,X,O,X,O
TOIZLSJ,O,O,X,X,X,X,X
TOIZJLS,O,O,X,X,O,X,O
TOIZJSL,O,O,X,O,X,X,O
TOIZSLJ,O,O,X,O,X,X,X
TOIZSJL,O,O,X,O,X,X,O
TOLIJSZ,X,X,X,O,O,X,X
TOLIJZS,X,X,X,X,O,X,X
TOLISJZ,O,O,X,O,O,X,X
TOLISZJ,O,O,X,O,X,X,X
TOLIZJS,O,O,X,X,O,X,X
TOLIZSJ,O,O,X,X,X,X,X
TOLJISZ,X,X,O,O,O,X,X
TOLJIZS,X,X,X,X,O,X,X
TOLJSIZ,X,X,O,O,O,X,X
TOLJSZI,X,X,O,O,X,X,X
TOLJZIS,X,X,X,X,O,X,X
TOLJZSI,X,X,X,X,X,X,X
TOLSIJZ,O,O,O,O,O,X,X
TOLSIZJ,O,O,X,O,X,X,X
TOLSJIZ,O,O,O,O,O,X,X
TOLSJZI,O,O,O,O,X,X,X
TOLSZIJ,O,O,X,O,X,X,X
TOLSZJI,O,O,O,O,X,X,X
TOLZIJS,O,O,X,X,O,X,X
TOLZISJ,O,O,X,X,X,X,X
TOLZJIS,O,O,X,X,O,X,X
TOLZJSI,O,O,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X
TOJILSZ,X,X,O,O,O,X,X
TOJILZS,X,X,X,X,O,X,X
TOJISLZ,O,O,O,O,O,X,X
TOJISZL,O,O,O,O,X,X,X
TOJIZLS,O,O,O,X,O,X,O
TOJIZSL,O,O,O,O,X,X,O
TOJLISZ,X,X,O,O,O,X,X
TOJLIZS,X,X,X,X,O,X,X
TOJLSIZ,X,X,O,O,O,X,X
TOJLSZI,X,X,O,O,X,X,X
TOJLZIS,X,X,X,X,O,X,X
TOJLZSI,X,X,X,X,X,X,X
TOJSILZ,O,O,O,O,O,X,X
TOJSIZL,O,O,O,O,X,X,X
TOJSLIZ,O,O,O,O,O,X,X
TOJSLZI,O,O,O,O,X,X,X
TOJSZIL,O,O,O,O,X,X,X
TOJSZLI,O,O,O,O,X,X,X
TOJZILS,O,O,O,X,O,X,O
TOJZISL,O,O,O,O,X,X,O
TOJZLIS,O,O,O,X,O,X,O
TOJZLSI,O,O,O,X,X,X,X
TOJZSIL,O,O,O,O,X,X,O
TOJZSLI,O,O,O,O,X,X,X
TOSILJZ,O,O,O,O,O,X,X
TOSILZJ,O,O,X,O,X,X,X
TOSIJLZ,O,O,O,O,O,X,X
TOSIJZL,O,O,O,O,X,X,X
TOSIZLJ,O,O,X,O,X,X,X
TOSIZJL,O,O,X,O,X,X,X
TOSLIJZ,O,O,O,O,O,X,X
TOSLIZJ,O,O,X,O,X,X,X
TOSLJIZ,O,O,O,O,O,X,X
TOSLJZI,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,O,X,X,X
TOSLZJI,O,O,O,O,X,X,X
TOSJILZ,O,O,O,O,O,X,X
TOSJIZL,O,O,O,O,X,X,X
TOSJLIZ,O,O,O,O,O,X,X
TOSJLZI,O,O,O,O,X,X,X
TOSJZIL,O,O,O,O,X,X,X
TOSJZLI,O,O,O,O,X,X,X
TOSZILJ,O,O,O,O,X,X,X
TOSZIJL,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,O,X,X,X
TOSZLJI,O,O,O,O,X,X,X
TOSZJIL,O,O,O,O,X,X,X
TOSZJLI,O,O,O,O,X,X,X
TOZILJS,O,O,X,X,O,X,O
TOZILSJ,O,O,O,X,X,X,X
TOZIJLS,O,O,O,X,O,X,O
TOZIJSL,O,O,O,O,X,X,O
TOZISLJ,O,O,O,O,X,X,X
TOZISJL,O,O,O,O,X,X,O
TOZLIJS,O,O,X,X,O,X,O
TOZLISJ,O,O,O,X,X,X,X
TOZLJIS,O,O,O,X,O,X,O
TOZLJSI,O,O,O,X,X,X,X
TOZLSIJ,O,O,O,X,X,X,X
TOZLSJI,O,O,O,X,X,X,X
TOZJILS,O,O,O,X,O,X,O
TOZJISL,O,O,O,O,X,X,O
TOZJLIS,O,O,O,X,O,X,O
TOZJLSI,O,O,O,X,X,X,X
TOZJSIL,O,O,O,O,X,X,O
TOZJSLI,O,O,O,O,X,X,X
TOZSILJ,O,O,O,O,X,X,X
TOZSIJL,O,O,O,O,X,X,O
TOZSLIJ,O,O,O,O,X,X,X
TOZSLJI,O,O,O,O,X,X,X
TOZSJIL,O,O,O,O,X,X,O
TOZSJLI,O,O,O,O,X,X,X
ITLJSZO,X,X,X,O,X,X,X
ITLJSOZ,X,X,X,O,O,X,X
ITLJZSO,X,X,X,X,X,X,X
ITLJZOS,X,X,X,X,O,X,X
ITLJOSZ,X,X,X,O,O,X,X
ITLJOZS,X,X,X,X,O,X,X
ITLSJZO,O,O,X,O,X,X,X
ITLSJOZ,O,O,X,O,O,X,X
ITLSZJO,O,O,X,O,X,O,X
ITLSZOJ,O,O,X,O,X,O,X
ITLSOJZ,O,O,X,O,O,X,X
ITLSOZJ,O,O,X,O,X,X,X
ITLZJSO,O,O,X,X,X,X,X
ITLZJOS,O,O,X,X,O,X,X
ITLZSJO,O,O,X,X,X,O,X
ITLZSOJ,O,O,X,X,X,O,X
ITLZOJS,O,O,X,X,O,X,X
ITLZOSJ,O,O,X,X,X,O,X
ITLOJSZ,X,X,X,O,O,X,X
ITLOJZS,X,X,X,X,O,X,X
ITLOSJZ,O,O,X,O,O,X,X
ITLOSZJ,O,O,X,O,X,X,X
ITLOZJS,O,O,X,X,O,X,X
ITLOZSJ,O,O,X,X,X,X,X
ITJLSZO,X,X,O,O,X,X,X
ITJLSOZ,X,X,O,O,O,X,X
ITJLZSO,X,X,O,X,X,X,X
ITJLZOS,X,X,O,X,O,X,X
ITJLOSZ,X,X,O,O,O,X,X
ITJLOZS,X,X,X,X,O,X,X
ITJSLZO,O,O,O,O,X,X,X
ITJSLOZ,O,O,O,O,O,X,X
ITJSZLO,O,O,O,O,X,X,X
ITJSZOL,O,O,O,O,X,X,X
ITJSOLZ,O,O,O,O,O,X,X
ITJSOZL,O,O,O,O,X,X,X
ITJZLSO,O,O,O,X,X,X,X
ITJZLOS,O,O,O,X,O,X,O
ITJZSLO,O,O,O,O,X,X,X
ITJZSOL,O,O,O,O,X,X,O
ITJZOLS,O,O,O,X,O,X,O
ITJZOSL,O,O,O,O,X,X,O
ITJOLSZ,X,X,O,O,O,X,X
ITJOLZS,X,X,X,X,O,X,X
ITJOSLZ,O,O,O,O,O,X,X
ITJOSZL,O,O,O,O,X,X,X
ITJOZLS,O,O,O,X,O,X,O
ITJOZSL,O,O,O,O,X,X,O
ITSLJZO,O,O,O,O,X,X,X
ITSLJOZ,O,O,O,O,O,X,X
ITSLZJO,O,O,O,O,X,O,X
ITSLZOJ,O,O,O,O,X,O,X
ITSLOJZ,O,O,O,O,O,X,X
ITSLOZJ,O,O,X,O,X,X,X
ITSJLZO,O,O,O,O,X,X,X
ITSJLOZ,O,O,O,O,O,X,X
ITSJZLO,O,O,O,O,X,X,X
ITSJZOL,O,O,O,O,X,X,X
ITSJOLZ,O,O,O,O,O,X,X
ITSJOZL,O,O,O,O,X,X,X
ITSZLJO,O,O,O,O,X,O,X
ITSZLOJ,O,O,O,O,X,O,X
ITSZJLO,O,O,O,O,X,O,X
ITSZJOL,O,O,O,O,X,O,X
ITSZOLJ,O,O,O,O,X,O,X
ITSZOJL,O,O,O,O,X,O,X
ITSOLJZ,O,O,O,O,O,X,X
ITSOLZJ,O,O,X,O,X,X,X
ITSOJLZ,O,O,O,O,O,X,X
ITSOJZL,O,O,O,O,X,X,X
ITSOZLJ,O,O,X,O,X,X,X
ITSOZJL,O,O,X,O,X,X,X
ITZLJSO,O,O,X,X,X,X,X
ITZLJOS,O,O,X,X,O,X,O
ITZLSJO,O,O,O,X,X,O,X
ITZLSOJ,O,O,O,X,X,O,X
ITZLOJS,O,O,X,X,O,X,O
ITZLOSJ,O,O,O,X,X,O,X
ITZJLSO,O,O,O,X,X,X,X
ITZJLOS,O,O,O,X,O,X,O
ITZJSLO,O,O,O,O,X,X,X
ITZJSOL,O,O,O,O,X,X,O
ITZJOLS,O,O,O,X,O,X,O
ITZJOSL,O,O,O,O,X,X,O
ITZSLJO,O,O,O,O,X,O,X
ITZSLOJ,O,O,O,O,X,O,X
ITZSJLO,O,O,O,O,X,O,X
ITZSJOL,O,O,O,O,X,O,O
ITZSOLJ,O,O,O,O,X,O,X
ITZSOJL,O,O,O,O,X,O,O
ITZOLJS,O,O,X,X,O,X,O
ITZOLSJ,O,O,O,X,X,O,X
ITZOJLS,O,O,O,X,O,X,O
ITZOJSL,O,O,O,O,X,X,O
ITZOSLJ,O,O,O,O,X,O,X
ITZOSJL,O,O,O,O,X,O,O
ITOLJSZ,X,X,X,O,O,X,X
ITOLJZS,X,X,X,X,O,X,X
ITOLSJZ,O,O,X,O,O,X,X
ITOLSZJ,O,O,X,O,X,X,X
ITOLZJS,O,O,X,X,O,X,X
ITOLZSJ,O,O,X,X,X,X,X
ITOJLSZ,X,X,O,O,O,X,X
ITOJLZS,X,X,X,X,O,X,X
ITOJSLZ,O,O,O,O,O,X,X
ITOJSZL,O,O,O,O,X,X,X
ITOJZLS,O,O,X,X,O,X,O
ITOJZSL,O,O,O,O,X,X,O
ITOSLJZ,O,O,O,O,O,X,X
ITOSLZJ,O,O,X,O,X,X,X
ITOSJLZ,O,O,O,O,O,X,X
ITOSJZL,O,O,O,O,X,X,X
ITOSZLJ,O,O,X,O,X,X,X
ITOSZJL,O,O,X,O,X,X,X
ITOZLJS,O,O,X,X,O,X,O
ITOZLSJ,O,O,X,X,X,X,X
ITOZJLS,O,O,X,X,O,X,O
ITOZJSL,O,O,X,O,X,X,O
ITOZSLJ,O,O,X,O,X,X,X
ITOZSJL,O,O,X,O,X,X,O
ILTJSZO,X,X,X,O,X,X,X
ILTJSOZ,X,X,X,O,O,X,X
ILTJZSO,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,O,X,X
ILTJOSZ,X,X,X,O,O,X,X
ILTJOZS,X,X,X,X,O,X,X
ILTSJZO,O,O,X,O,X,X,X
ILTSJOZ,O,O,X,O,O,X,X
ILTSZJO,O,O,X,O,X,O,X
ILTSZOJ,O,O,X,O,X,O,X
ILTSOJZ,O,O,X,O,O,X,X
ILTSOZJ,O,O,X,O,X,X,X
ILTZJSO,O,O,X,X,X,X,X
ILTZJOS,O,O,X,X,O,X,X
ILTZSJO,O,O,X,X,X,O,X
ILTZSOJ,O,O,X,X,X,O,X
ILTZOJS,O,O,X,X,O,X,X
ILTZOSJ,O,O,X,X,X,O,X
ILTOJSZ,X,X,X,O,O,X,X
ILTOJZS,X,X,X,X,O,X,X
ILTOSJZ,O,O,X,O,O,X,X
ILTOSZJ,O,O,X,O,X,X,X
ILTOZJS,O,O,X,X,O,X,X
ILTOZSJ,O,O,X,X,X,X,X
ILJTSZO,X,X,X,O,X,X,X
ILJTSOZ,X,X,X,O,O,X,X
ILJTZSO,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,O,X,X
ILJTOSZ,X,X,X,O,O,X,X
ILJTOZS,X,X,X,X,O,X,X
ILJSTZO,X,X,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,X,X
ILJSZTO,X,X,X,X,X,O,X
ILJSZOT,X,X,X,O,X,O,X
ILJSOTZ,X,X,X,O,O,X,X
ILJSOZT,X,X,X,O,O,X,X
ILJZTSO,X,X,X,X,X,X,X
ILJZTOS,X,X,X,X,X,X,O
ILJZSTO,X,X,X,X,X,O,X
ILJZSOT,X,X,X,X,X,O,X
ILJZOTS,X,X,X,X,O,X,O
ILJZOST,X,X,X,X,O,O,X
ILJOTSZ,X,X,X,O,O,X,X
ILJOTZS,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,O,O,X,X
ILJOSZT,X,X,X,O,O,X,X
ILJOZTS,X,X,X,X,O,X,O
ILJOZST,X,X,X,X,O,X,X
ILSTJZO,X,O,X,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,X
ILSTZJO,O,O,X,X,X,O,X
ILSTZOJ,O,O,X,X,X,O,X
ILSTOJZ,X,O,X,O,X,X,X
ILSTOZJ,O,O,X,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X
ILSJTOZ,X,O,X,O,X,X,X
ILSJZTO,O,O,X,X,X,O,X
ILSJZOT,O,O,X,O,X,O,X
ILSJOTZ,X,O,X,O,O,X,X
ILSJOZT,O,O,X,O,O,X,X
ILSZTJO,O,O,X,X,X,O,X
ILSZTOJ,O,O,X,X,X,O,X
ILSZJTO,O,O,X,X,X,O,X
ILSZJOT,O,O,X,O,X,O,X
ILSZOTJ,O,O,X,X,X,O,X
ILSZOJT,O,O,X,O,X,O,X
ILSOTJZ,X,O,X,O,X,X,X
ILSOTZJ,O,O,X,X,X,X,X
ILSOJTZ,X,O,X,O,O,X,X
ILSOJZT,O,O,X,O,O,X,X
ILSOZTJ,O,O,X,X,X,O,X
ILSOZJT,O,O,X,O,X,O,X
ILZTJSO,O,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,O
ILZTSJO,O,X,X,X,X,O,X
ILZTSOJ,O,X,X,X,X,O,X
ILZTOJS,O,X,X,X,X,X,O
ILZTOSJ,O,X,X,X,X,O,X
ILZJTSO,O,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,O
ILZJSTO,O,O,X,X,X,O,X
ILZJSOT,O,O,X,X,X,O,X
ILZJOTS,O,X,X,X,O,X,O
ILZJOST,O,O,X,X,O,O,X
ILZSTJO,O,O,X,X,X,O,X
ILZSTOJ,O,O,X,X,X,O,X
ILZSJTO,O,O,X,X,X,O,X
ILZSJOT,O,O,X,X,X,O,X
ILZSOTJ,O,O,X,X,X,O,X
ILZSOJT,O,O,X,X,X,O,X
ILZOTJS,O,X,X,X,X,X,O
ILZOTSJ,O,X,X,X,X,O,X
ILZOJTS,O,X,X,X,O,X,O
ILZOJST,O,O,X,X,O,O,X
ILZOSTJ,O,O,X,X,X,O,X
ILZOSJT,O,O,X,X,X,O,X
ILOTJSZ,X,X,X,O,O,X,X
ILOTJZS,X,X,X,X,O,X,X
ILOTSJZ,O,O,X,O,O,X,X
ILOTSZJ,O,O,X,O,X,X,X
ILOTZJS,O,O,X,X,O,X,X
ILOTZSJ,O,O,X,X,X,X,X
ILOJTSZ,X,X,X,O,O,X,X
ILOJTZS,X,X,X,X,O,X,X
ILOJSTZ,X,X,X,O,O,X,X
ILOJSZT,X,X,X,O,O,X,X
ILOJZTS,X,X,X,X,O,X,O
ILOJZST,X,X,X,X,O,X,X
ILOSTJZ,X,O,X,O,X,X,X
ILOSTZJ,O,O,X,X,X,X,X
ILOSJTZ,X,O,X,O,O,X,X
ILOSJZT,O,O,X,O,O,X,X
ILOSZTJ,O,O,X,X,X,O,X
ILOSZJT,O,O,X,O,X,O,X
ILOZTJS,O,X,X,X,X,X,O
ILOZTSJ,O,X,X,X,X,O,X
ILOZJTS,O,X,X,X,O,X,O
ILOZJST,O,O,X,X,O,O,X
ILOZSTJ,O,O,X,X,X,O,X
ILOZSJT,O,O,X,X,X,O,X
IJTLSZO,X,X,O,O,X,X,X
IJTLSOZ,X,X,O,O,O,X,X
IJTLZSO,X,X,O,X,X,X,X
IJTLZOS,X,X,O,X,O,X,X
IJTLOSZ,X,X,O,O,O,X,X
IJTLOZS,X,X,X,X,O,X,X
IJTSLZO,O,O,O,O,X,X,X
IJTSLOZ,O,O,O,O,O,X,X
IJTSZLO,O,O,O,O,X,X,X
IJTSZOL,O,O,O,O,X,X,X
IJTSOLZ,O,O,O,O,O,X,X
IJTSOZL,O,O,O,O,X,X,X
IJTZLSO,O,O,O,X,X,X,X
IJTZLOS,O,O,O,X,O,X,O
IJTZSLO,O,O,O,O,X,X,X
IJTZSOL,O,O,O,O,X,X,O
IJTZOLS,O,O,O,X,O,X,O
IJTZOSL,O,O,O,O,X,X,O
IJTOLSZ,X,X,O,O,O,X,X
IJTOLZS,X,X,X,X,O,X,X
IJTOSLZ,O,O,O,O,O,X,X
IJTOSZL,O,O,O,O,X,X,X
IJTOZLS,O,O,O,X,O,X,O
IJTOZSL,O,O,O,O,X,X,O
IJLTSZO,X,X,O,O,X,X,X
IJLTSOZ,X,X,O,O,O,X,X
IJLTZSO,X,X,O,X,X,X,X
IJLTZOS,X,X,O,X,O,X,X
IJLTOSZ,X,X,O,O,O,X,X
IJLTOZS,X,X,X,X,O,X,X
IJLSTZO,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,O,X,X,X
IJLSZTO,X,X,O,X,X,O,X
IJLSZOT,X,X,O,O,X,O,X
IJLSOTZ,X,X,O,O,O,X,X
IJLSOZT,X,X,O,O,O,X,X
IJLZTSO,X,X,O,X,X,X,X
IJLZTOS,X,X,O,X,X,X,O
IJLZSTO,X,X,O,X,X,O,X
IJLZSOT,X,X,O,X,X,O,X
IJLZOTS,X,X,O,X,O,X,O
IJLZOST,X,X,O,X,O,O,X
IJLOTSZ,X,X,O,O,O,X,X
IJLOTZS,X,X,X,X,O,X,X
IJLOSTZ,X,X,O,O,O,X,X
IJLOSZT,X,X,O,O,O,X,X
IJLOZTS,X,X,X,X,O,X,O
IJLOZST,X,X,X,X,O,X,X
IJSTLZO,X,O,O,O,X,X,X
IJSTLOZ,X,O,O,O,O,X,X
IJSTZLO,X,O,O,O,X,X,X
IJSTZOL,X,O,O,O,X,X,X
IJSTOLZ,X,O,O,O,O,X,X
IJSTOZL,X,O,O,O,X,X,X
IJSLTZO,X,O,O,X,X,X,X
IJSLTOZ,X,O,O,O,X,X,X
IJSLZTO,O,O,O,X,X,O,X
IJSLZOT,O,O,O,O,X,O,X
IJSLOTZ,X,O,O,O,O,X,X
IJSLOZT,O,O,O,O,O,X,X
IJSZTLO,O,O,O,X,X,O,X
IJSZTOL,O,O,O,X,X,O,O
IJSZLTO,O,O,O,X,X,O,X
IJSZLOT,O,O,O,O,X,O,X
IJSZOTL,O,O,O,X,X,O,O
IJSZOLT,O,O,O,O,X,O,X
IJSOTLZ,X,O,O,O,O,X,X
IJSOTZL,X,O,O,O,X,X,X
IJSOLTZ,X,O,O,O,O,X,X
IJSOLZT,O,O,O,O,O,X,X
IJSOZTL,O,O,O,X,X,X,O
IJSOZLT,O,O,O,O,X,X,X
IJZTLSO,O,X,O,X,X,X,X
IJZTLOS,O,X,O,X,O,X,O
IJZTSLO,O,O,O,O,X,X,X
IJZTSOL,O,O,O,O,X,X,O
IJZTOLS,O,X,O,X,O,X,O
IJZTOSL,O,O,O,O,X,X,O
IJZLTSO,O,X,O,X,X,X,X
IJZLTOS,O,X,O,X,X,X,O
IJZLSTO,O,O,O,X,X,O,X
IJZLSOT,O,O,O,X,X,O,X
IJZLOTS,O,X,O,X,O,X,O
IJZLOST,O,O,O,X,O,O,X
IJZSTLO,O,O,O,X,X,O,X
IJZSTOL,O,O,O,X,X,O,O
IJZSLTO,O,O,O,X,X,O,X
IJZSLOT,O,O,O,O,X,O,X
IJZSOTL,O,O,O,X,X,O,O
IJZSOLT,O,O,O,O,X,O,X
IJZOTLS,O,X,O,X,O,X,O
IJZOTSL,O,O,O,O,X,X,O
IJZOLTS,O,X,O,X,O,X,O
IJZOLST,O,O,O,X,O,O,X
IJZOSTL,O,O,O,X,X,O,O
IJZOSLT,O,O,O,O,X,O,X
IJOTLSZ,X,X,O,O,O,X,X
IJOTLZS,X,X,X,X,O,X,X
IJOTSLZ,O,O,O,O,O,X,X
IJOTSZL,O,O,O,O,X,X,X
IJOTZLS,O,O,O,X,O,X,O
IJOTZSL,O,O,O,O,X,X,O
IJOLTSZ,X,X,O,O,O,X,X
IJOLTZS,X,X,X,X,O,X,X
IJOLSTZ,X,X,O,O,O,X,X
IJOLSZT,X,X,O,O,O,X,X
IJOLZTS,X,X,X,X,O,X,O
IJOLZST,X,X,X,X,O,X,X
IJOSTLZ,X,O,O,O,O,X,X
IJOSTZL,X,O,O,O,X,X,X
IJOSLTZ,X,O,O,O,O,X,X
IJOSLZT,O,O,O,O,O,X,X
IJOSZTL,O,O,O,X,X,X,O
IJOSZLT,O,O,O,O,X,X,X
IJOZTLS,O,X,O,X,O,X,O
IJOZTSL,O,O,O,O,X,X,O
IJOZLTS,O,X,O,X,O,X,O
IJOZLST,O,O,O,X,O,X,X
IJOZSTL,O,O,O,X,X,X,O
IJOZSLT,O,O,O,O,X,X,X
ISTLJZO,O,O,X,O,X,X,X
ISTLJOZ,O,O,X,O,O,X,X
ISTLZJO,O,O,X,O,X,O,X
ISTLZOJ,O,O,X,O,X,O,X
ISTLOJZ,O,O,X,O,O,X,X
ISTLOZJ,O,O,X,O,X,X,X
ISTJLZO,O,O,X,O,X,X,X
ISTJLOZ,O,O,X,O,O,X,X
ISTJZLO,O,O,X,O,X,X,X
ISTJZOL,O,O,X,O,X,X,X
ISTJOLZ,O,O,X,O,O,X,X
ISTJOZL,O,O,X,O,X,X,X
ISTZLJO,O,O,X,O,X,O,X
ISTZLOJ,O,O,X,O,X,O,X
ISTZJLO,O,O,X,O,X,O,X
ISTZJOL,O,O,X,O,X,O,X
ISTZOLJ,O,O,X,O,X,O,X
ISTZOJL,O,O,X,O,X,O,X
ISTOLJZ,O,O,X,O,O,X,X
ISTOLZJ,O,O,X,O,X,X,X
ISTOJLZ,O,O,X,O,O,X,X
ISTOJZL,O,O,X,O,X,X,X
ISTOZLJ,O,O,X,O,X,X,X
ISTOZJL,O,O,X,O,X,X,X
ISLTJZO,X,O,X,X,X,X,X
ISLTJOZ,X,O,X,O,X,X,X
ISLTZJO,O,O,X,X,X,O,X
ISLTZOJ,O,O,X,X,X,O,X
ISLTOJZ,X,O,X,O,X,X,X
ISLTOZJ,O,O,X,X,X,X,X
ISLJTZO,X,O,O,X,X,X,X
ISLJTOZ,X,O,O,O,X,X,X
ISLJZTO,O,O,O,X,X,O,X
ISLJZOT,O,O,O,O,X,O,X
ISLJOTZ,X,O,O,O,O,X,X
ISLJOZT,O,O,O,O,O,X,X
ISLZTJO,O,O,X,X,X,O,X
ISLZTOJ,O,O,O,X,X,O,X
ISLZJTO,O,O,O,X,X,O,X
ISLZJOT,O,O,O,O,X,O,X
ISLZOTJ,O,O,O,X,X,O,X
ISLZOJT,O,O,O,O,X,O,X
ISLOTJZ,X,O,X,O,X,X,X
ISLOTZJ,O,O,X,X,X,X,X
ISLOJTZ,X,O,O,O,O,X,X
ISLOJZT,O,O,O,O,O,X,X
ISLOZTJ,O,O,X,X,X,O,X
ISLOZJT,O,O,X,O,X,O,X
ISJTLZO,X,O,O,O,X,X,X
ISJTLOZ,X,O,O,O,O,X,X
ISJTZLO,X,O,O,O,X,X,X
ISJTZOL,X,O,O,O,X,X,X
ISJTOLZ,X,O,O,O,O,X,X
ISJTOZL,X,O,X,O,X,X,X
ISJLTZO,X,O,O,X,X,X,X
ISJLTOZ,X,O,O,O,X,X,X
ISJLZTO,O,O,O,X,X,O,X
ISJLZOT,O,O,O,O,X,O,X
ISJLOTZ,X,O,O,O,O,X,X
ISJLOZT,O,O,O,O,O,X,X
ISJZTLO,O,O,O,X,X,O,X
ISJZTOL,O,O,O,X,X,O,O
ISJZLTO,O,O,O,X,X,O,X
ISJZLOT,O,O,O,O,X,O,X
ISJZOTL,O,O,O,X,X,O,O
ISJZOLT,O,O,O,O,X,O,X
ISJOTLZ,X,O,O,O,O,X,X
ISJOTZL,X,O,X,O,X,X,X
ISJOLTZ,X,O,O,O,O,X,X
ISJOLZT,O,O,O,O,O,X,X
ISJOZTL,O,O,O,X,X,X,O
ISJOZLT,O,O,O,O,X,X,X
ISZTLJO,O,O,X,X,X,O,X
ISZTLOJ,O,O,O,X,X,O,X
ISZTJLO,O,O,X,X,X,O,X
ISZTJOL,O,O,X,X,X,O,O
ISZTOLJ,O,O,O,X,X,O,X
ISZTOJL,O,O,X,X,X,O,O
ISZLTJO,O,O,X,X,X,O,X
ISZLTOJ,O,O,O,X,X,O,X
ISZLJTO,O,O,O,X,X,O,X
ISZLJOT,O,O,O,O,X,O,X
ISZLOTJ,O,O,O,X,X,O,X
ISZLOJT,O,O,O,O,X,O,X
ISZJTLO,O,O,O,X,X,O,X
ISZJTOL,O,O,O,X,X,O,O
ISZJLTO,O,O,O,X,X,O,X
ISZJLOT,O,O,O,O,X,O,X
ISZJOTL,O,O,O,X,X,O,O
ISZJOLT,O,O,O,O,X,O,X
ISZOTLJ,O,O,O,X,X,O,X
ISZOTJL,O,O,X,X,X,O,O
ISZOLTJ,O,O,O,X,X,O,X
ISZOLJT,O,O,O,O,X,O,X
ISZOJTL,O,O,O,X,X,O,O
ISZOJLT,O,O,O,O,X,O,X
ISOTLJZ,O,O,X,O,O,X,X
ISOTLZJ,O,O,X,O,X,X,X
ISOTJLZ,O,O,X,O,O,X,X
ISOTJZL,O,O,X,O,X,X,X
ISOTZLJ,O,O,X,O,X,X,X
ISOTZJL,O,O,X,O,X,X,X
ISOLTJZ,X,O,X,O,X,X,X
ISOLTZJ,O,O,X,X,X,X,X
ISOLJTZ,X,O,O,O,O,X,X
ISOLJZT,O,O,O,O,O,X,X
ISOLZTJ,O,O,X,X,X,O,X
ISOLZJT,O,O,X,O,X,O,X
ISOJTLZ,X,O,O,O,O,X,X
ISOJTZL,X,O,X,O,X,X,X
ISOJLTZ,X,O,O,O,O,X,X
ISOJLZT,O,O,O,O,O,X,X
ISOJZTL,O,O,X,X,X,X,O
ISOJZLT,O,O,O,O,X,X,X
ISOZTLJ,O,O,X,X,X,O,X
ISOZTJL,O,O,X,X,X,O,O
ISOZLTJ,O,O,X,X,X,O,X
ISOZLJT,O,O,X,O,X,O,X
