sequence,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFibBGeBUhBFiBRr?B3rB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFibBUdBGeBFhBRr?B3rB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFUdBGeBxgBimBll?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFUdBGeBRgB1mBzl?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFGeBRgBFiB0mBzl?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFGeBRgBFiBXmBzm?BUrB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFRcBGeBFiB0mB/l?BKrB
TOILSJZ,X,O,X,X,X,X,X
TOILSZJ,X,O,X,X,X,X,X
TOILZJS,O,O,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X
TOIJLSZ,X,O,X,X,X,O,X
TOIJLZS,O,O,X,X,O,X,X
TOIJSLZ,X,O,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X
TOIJZLS,O,O,X,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X
TOISLJZ,X,O,X,X,X,X,X
TOISLZJ,X,O,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X
TOISZLJ,O,O,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X
TOIZLJS,O,O,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,X
TOIZJLS,O,O,X,X,X,X,X
TOIZJSL,O,O,O,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X
TOLIJSZ,X,O,X,X,X,O,X
TOLIJZS,O,O,X,X,O,X,X
TOLISJZ,X,O,X,X,X,X,X
TOLISZJ,X,O,X,X,X,X,X
TOLIZJS,O,O,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X
TOLJISZ,X,O,X,X,X,O,X
TOLJIZS,O,O,X,X,O,X,X
TOLJSIZ,X,O,X,X,X,X,X
TOLJSZI,X,O,X,X,X,X,X
TOLJZIS,O,O,X,X,X,X,X
TOLJZSI,O,O,X,X,X,X,X
TOLSIJZ,X,O,X,X,X,X,X
TOLSIZJ,X,O,X,X,X,X,X
TOLSJIZ,X,O,X,X,X,X,X
TOLSJZI,X,O,X,X,X,X,X
TOLSZIJ,X,X,X,X,X,X,X
TOLSZJI,X,O,X,X,X,X,X
TOLZIJS,O,O,X,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X
TOLZJIS,O,O,X,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X
TOLZSIJ,X,X,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X
TOJILSZ,X,O,X,X,X,O,X
TOJILZS,O,O,X,X,O,X,X
TOJISLZ,X,O,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X
TOJIZLS,O,O,X,X,X,X,X
TOJIZSL,O,O,O,X,X,X,X
TOJLISZ,X,O,X,X,X,O,X
TOJLIZS,O,O,X,X,O,X,X
TOJLSIZ,X,O,X,X,X,X,X
TOJLSZI,X,O,X,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X
TOJLZSI,O,O,X,X,X,X,X
TOJSILZ,X,O,O,X,X,O,X
TOJSIZL,O,O,O,X,X,X,X
TOJSLIZ,X,O,O,X,X,X,X
TOJSLZI,X,O,O,X,X,X,X
TOJSZIL,X,X,O,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X
TOJZILS,O,O,X,X,X,X,O
TOJZISL,O,O,O,X,X,X,X
TOJZLIS,O,O,X,X,X,X,O
TOJZLSI,O,O,X,X,X,X,O
TOJZSIL,X,X,O,X,X,X,X
TOJZSLI,O,O,O,X,X,X,O
TOSILJZ,X,O,O,X,X,O,X
TOSILZJ,X,O,O,X,X,X,X
TOSIJLZ,X,O,O,X,X,O,X
TOSIJZL,O,O,O,X,X,X,X
TOSIZLJ,O,O,X,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X
TOSLIJZ,X,O,O,X,X,X,X
TOSLIZJ,X,O,O,X,X,X,X
TOSLJIZ,X,O,O,X,X,X,X
TOSLJZI,X,O,O,X,X,X,X
TOSLZIJ,X,X,O,X,X,X,X
TOSLZJI,X,O,O,X,X,X,X
TOSJILZ,X,O,O,X,X,O,X
TOSJIZL,O,O,O,X,X,X,X
TOSJLIZ,X,O,O,X,X,X,X
TOSJLZI,X,O,O,X,X,X,X
TOSJZIL,X,X,O,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X
TOSZILJ,X,X,X,X,X,X,X
TOSZIJL,X,X,O,X,X,X,X
TOSZLIJ,X,X,O,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X
TOSZJIL,X,X,O,X,X,X,X
TOSZJLI,O,O,O,X,X,X,X
TOZILJS,O,O,X,X,X,X,O
TOZILSJ,O,O,X,X,X,X,O
TOZIJLS,O,O,X,X,X,X,O
TOZIJSL,O,O,O,X,X,X,X
TOZISLJ,O,O,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X
TOZLIJS,O,O,X,X,X,X,O
TOZLISJ,O,O,X,X,X,X,O
TOZLJIS,O,O,X,X,X,X,O
TOZLJSI,O,O,X,X,X,X,O
TOZLSIJ,X,X,X,X,X,X,O
TOZLSJI,O,O,X,X,X,X,O
TOZJILS,O,O,X,X,X,X,O
TOZJISL,O,O,O,X,X,X,X
TOZJLIS,O,O,X,X,X,X,O
TOZJLSI,O,O,X,X,X,X,O
TOZJSIL,X,X,O,X,X,X,X
TOZJSLI,O,O,O,X,X,X,O
TOZSILJ,X,X,X,X,X,X,X
TOZSIJL,X,X,O,X,X,X,X
TOZSLIJ,X,X,O,X,X,X,O
TOZSLJI,O,O,O,X,X,X,O
TOZSJIL,X,X,O,X,X,X,X
TOZSJLI,O,O,O,X,X,X,O
ITLJSZO,X,O,X,X,O,O,X
ITLJSOZ,X,O,X,X,X,O,X
ITLJZSO,O,O,X,X,O,O,X
ITLJZOS,O,O,X,X,O,X,X
ITLJOSZ,X,O,X,X,X,O,X
ITLJOZS,O,O,X,X,O,X,X
ITLSJZO,X,O,X,X,O,O,X
ITLSJOZ,X,O,X,X,X,O,X
ITLSZJO,X,O,X,X,X,O,X
ITLSZOJ,X,O,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,O,X
ITLSOZJ,X,O,X,X,X,X,X
ITLZJSO,O,O,X,X,O,O,X
ITLZJOS,O,O,X,X,O,X,X
ITLZSJO,O,O,X,X,O,X,X
ITLZSOJ,O,O,X,X,X,X,X
ITLZOJS,O,O,X,X,O,X,X
ITLZOSJ,O,O,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,O,X
ITLOJZS,O,O,X,X,O,X,X
ITLOSJZ,X,O,X,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,X
ITLOZJS,O,O,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,X,X
ITJLSZO,X,O,X,X,O,O,X
ITJLSOZ,X,O,X,X,X,O,X
ITJLZSO,O,O,X,X,O,O,X
ITJLZOS,O,O,X,X,O,X,X
ITJLOSZ,X,O,X,X,X,O,X
ITJLOZS,O,O,X,X,O,X,X
ITJSLZO,X,O,X,X,O,O,X
ITJSLOZ,X,O,X,X,X,O,X
ITJSZLO,O,O,X,X,X,O,X
ITJSZOL,O,O,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,O,X
ITJSOZL,O,O,X,X,X,X,X
ITJZLSO,O,O,X,X,O,O,X
ITJZLOS,O,O,X,X,O,X,X
ITJZSLO,O,O,X,X,O,X,X
ITJZSOL,O,O,X,X,X,X,X
ITJZOLS,O,O,X,X,O,X,X
ITJZOSL,O,O,O,X,X,X,X
ITJOLSZ,X,O,X,X,X,O,X
ITJOLZS,O,O,X,X,O,X,X
ITJOSLZ,X,O,X,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X
ITJOZLS,O,O,X,X,X,X,X
ITJOZSL,O,O,O,X,X,X,X
ITSLJZO,X,O,X,X,O,O,X
ITSLJOZ,X,O,X,X,X,O,X
ITSLZJO,X,O,X,X,X,O,X
ITSLZOJ,X,O,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,O,X
ITSLOZJ,X,O,X,X,X,X,X
ITSJLZO,X,O,X,X,O,O,X
ITSJLOZ,X,O,X,X,X,O,X
ITSJZLO,O,O,X,X,X,O,X
ITSJZOL,O,O,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,O,X
ITSJOZL,O,O,X,X,X,X,X
ITSZLJO,O,O,X,X,X,O,X
ITSZLOJ,O,O,X,X,X,X,X
ITSZJLO,O,O,X,X,X,O,X
ITSZJOL,O,O,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X
ITSOLJZ,X,O,X,X,X,O,X
ITSOLZJ,X,O,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,O,X
ITSOJZL,O,O,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X
ITZLJSO,O,O,X,X,O,O,X
ITZLJOS,O,O,X,X,O,X,X
ITZLSJO,O,O,X,X,O,X,X
ITZLSOJ,O,O,X,X,X,X,X
ITZLOJS,O,O,X,X,O,X,X
ITZLOSJ,O,O,X,X,X,X,X
ITZJLSO,O,O,X,X,O,O,X
ITZJLOS,O,O,X,X,O,X,X
ITZJSLO,O,O,X,X,O,X,X
ITZJSOL,O,O,X,X,X,X,X
ITZJOLS,O,O,X,X,O,X,X
ITZJOSL,O,O,O,X,X,X,X
ITZSLJO,O,O,X,X,O,X,X
ITZSLOJ,O,O,X,X,X,X,X
ITZSJLO,O,O,X,X,O,X,X
ITZSJOL,O,O,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X
ITZOLJS,O,O,X,X,O,X,X
ITZOLSJ,O,O,X,X,X,X,X
ITZOJLS,O,O,X,X,O,X,X
ITZOJSL,O,O,O,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X
ITOLJSZ,X,O,X,X,X,O,X
ITOLJZS,O,O,X,X,O,X,X
ITOLSJZ,X,O,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,O,X
ITOJLZS,O,O,X,X,O,X,X
ITOJSLZ,X,O,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X
ITOJZLS,O,O,X,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X
ITOSLJZ,X,O,X,X,X,X,X
ITOSLZJ,X,O,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X
ITOSZLJ,O,O,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X
ITOZLJS,O,O,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X
ITOZJLS,O,O,X,X,X,X,X
ITOZJSL,O,O,O,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X
ILTJSZO,X,O,X,X,O,O,X
ILTJSOZ,X,O,X,X,X,O,X
ILTJZSO,O,O,X,X,O,O,X
ILTJZOS,O,O,X,X,O,X,X
ILTJOSZ,X,O,X,X,X,O,X
ILTJOZS,O,O,X,X,O,X,X
ILTSJZO,X,O,X,X,O,O,X
ILTSJOZ,X,O,X,X,X,O,X
ILTSZJO,X,O,X,X,X,O,X
ILTSZOJ,X,O,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,O,X
ILTSOZJ,X,O,X,X,X,X,X
ILTZJSO,O,O,X,X,O,O,X
ILTZJOS,O,O,X,X,O,X,X
ILTZSJO,O,O,X,X,O,X,X
ILTZSOJ,O,O,X,X,X,X,X
ILTZOJS,O,O,X,X,O,X,X
ILTZOSJ,O,O,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,O,X
ILTOJZS,O,O,X,X,O,X,X
ILTOSJZ,X,O,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,X
ILTOZJS,O,O,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,X,X
ILJTSZO,X,O,X,X,O,O,X
ILJTSOZ,X,O,X,X,X,O,X
ILJTZSO,O,O,X,X,O,O,X
ILJTZOS,O,O,X,X,O,X,X
ILJTOSZ,X,O,X,X,X,O,X
ILJTOZS,O,O,X,X,O,X,X
ILJSTZO,X,O,X,O,O,O,X
ILJSTOZ,X,O,X,O,X,O,X
ILJSZTO,O,O,X,O,O,O,X
ILJSZOT,O,O,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,O,X
ILJSOZT,O,O,X,X,X,X,X
ILJZTSO,O,O,X,X,O,O,X
ILJZTOS,O,O,X,X,O,X,X
ILJZSTO,O,O,X,O,O,O,X
ILJZSOT,O,O,X,X,X,X,X
ILJZOTS,O,O,X,X,O,X,X
ILJZOST,O,O,O,X,X,X,X
ILJOTSZ,X,O,X,X,X,O,X
ILJOTZS,O,O,X,X,O,X,X
ILJOSTZ,X,O,X,X,X,O,X
ILJOSZT,O,O,X,X,X,X,X
ILJOZTS,O,O,X,X,O,X,X
ILJOZST,O,O,O,X,X,X,X
ILSTJZO,X,O,X,O,O,O,X
ILSTJOZ,X,O,X,O,X,O,X
ILSTZJO,X,O,X,O,X,O,X
ILSTZOJ,X,O,X,O,X,X,X
ILSTOJZ,X,O,X,O,X,O,X
ILSTOZJ,X,O,X,O,X,X,X
ILSJTZO,X,O,X,O,O,O,X
ILSJTOZ,X,O,X,O,X,O,X
ILSJZTO,O,O,X,O,O,O,X
ILSJZOT,O,O,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,O,X
ILSJOZT,O,O,X,X,X,X,X
ILSZTJO,O,O,X,O,O,O,X
ILSZTOJ,O,O,X,O,X,X,X
ILSZJTO,O,O,X,O,O,O,X
ILSZJOT,O,O,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,X
ILSZOJT,O,O,X,X,X,X,X
ILSOTJZ,X,O,X,X,X,O,X
ILSOTZJ,X,O,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,O,X
ILSOJZT,O,O,X,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,X
ILSOZJT,O,O,X,X,X,X,X
ILZTJSO,O,O,X,X,O,O,X
ILZTJOS,O,O,X,X,O,X,X
ILZTSJO,O,O,X,X,O,X,X
ILZTSOJ,O,O,X,X,X,X,X
ILZTOJS,O,O,X,X,O,X,X
ILZTOSJ,O,O,X,X,X,X,X
ILZJTSO,O,O,X,X,O,O,X
ILZJTOS,O,O,X,X,O,X,X
ILZJSTO,O,O,X,O,O,O,X
ILZJSOT,O,O,X,X,X,X,X
ILZJOTS,O,O,X,X,O,X,X
ILZJOST,O,O,O,X,X,X,X
ILZSTJO,O,O,X,O,O,O,X
ILZSTOJ,O,O,X,O,X,X,X
ILZSJTO,O,O,X,O,O,O,X
ILZSJOT,O,O,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X
ILZOTJS,O,O,X,X,O,X,X
ILZOTSJ,O,O,X,X,X,X,X
ILZOJTS,O,O,X,X,O,X,X
ILZOJST,O,O,O,X,X,X,X
ILZOSTJ,O,O,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X
ILOTJSZ,X,O,X,X,X,O,X
ILOTJZS,O,O,X,X,O,X,X
ILOTSJZ,X,O,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X
ILOTZJS,O,O,X,X,X,X,X
ILOTZSJ,O,O,X,X,X,X,X
ILOJTSZ,X,O,X,X,X,O,X
ILOJTZS,O,O,X,X,O,X,X
ILOJSTZ,X,O,X,X,X,O,X
ILOJSZT,O,O,X,X,X,X,X
ILOJZTS,O,O,X,X,O,X,X
ILOJZST,O,O,O,X,X,X,X
ILOSTJZ,X,O,X,X,X,O,X
ILOSTZJ,X,O,X,X,X,X,X
ILOSJTZ,X,O,X,X,X,O,X
ILOSJZT,O,O,X,X,X,X,X
ILOSZTJ,O,O,X,X,X,X,X
ILOSZJT,O,O,X,X,X,X,X
ILOZTJS,O,O,X,X,O,X,X
ILOZTSJ,O,O,X,X,X,X,X
ILOZJTS,O,O,X,X,O,X,X
ILOZJST,O,O,O,X,X,X,X
ILOZSTJ,O,O,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X
IJTLSZO,X,O,X,X,O,O,X
IJTLSOZ,X,O,X,X,X,O,X
IJTLZSO,O,O,X,X,O,O,X
IJTLZOS,O,O,X,X,O,X,X
IJTLOSZ,X,O,X,X,X,O,X
IJTLOZS,O,O,X,X,O,X,X
IJTSLZO,X,O,X,X,O,O,X
IJTSLOZ,X,O,X,X,X,O,X
IJTSZLO,O,O,X,X,X,O,X
IJTSZOL,O,O,X,X,X,X,X
IJTSOLZ,X,O,X,X,X,O,X
IJTSOZL,O,O,X,X,X,X,X
IJTZLSO,O,O,X,X,O,O,X
IJTZLOS,O,O,X,X,O,X,X
IJTZSLO,O,O,X,X,O,X,X
IJTZSOL,O,O,X,X,X,X,X
IJTZOLS,O,O,X,X,O,X,X
IJTZOSL,O,O,O,X,X,X,X
IJTOLSZ,X,O,X,X,X,O,X
IJTOLZS,O,O,X,X,O,X,X
IJTOSLZ,X,O,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X,X
IJTOZSL,O,O,O,X,X,X,X
IJLTSZO,X,O,X,X,O,O,X
IJLTSOZ,X,O,X,X,X,O,X
IJLTZSO,O,O,X,X,O,O,X
IJLTZOS,O,O,X,X,O,X,X
IJLTOSZ,X,O,X,X,X,O,X
IJLTOZS,O,O,X,X,O,X,X
IJLSTZO,X,O,X,O,O,O,X
IJLSTOZ,X,O,X,O,X,O,X
IJLSZTO,O,O,X,O,O,O,X
IJLSZOT,O,O,X,X,X,X,X
IJLSOTZ,X,O,X,X,X,O,X
IJLSOZT,O,O,X,X,X,X,X
IJLZTSO,O,O,X,X,O,O,X
IJLZTOS,O,O,X,X,O,X,X
IJLZSTO,O,O,X,O,O,O,X
IJLZSOT,O,O,X,X,X,X,X
IJLZOTS,O,O,X,X,O,X,X
IJLZOST,O,O,O,X,X,X,X
IJLOTSZ,X,O,X,X,X,O,X
IJLOTZS,O,O,X,X,O,X,X
IJLOSTZ,X,O,X,X,X,O,X
IJLOSZT,O,O,X,X,X,X,X
IJLOZTS,O,O,X,X,O,X,X
IJLOZST,O,O,O,X,X,X,X
IJSTLZO,X,O,O,O,O,O,X
IJSTLOZ,X,O,O,O,X,O,X
IJSTZLO,O,O,X,O,X,O,X
IJSTZOL,O,O,O,O,X,X,X
IJSTOLZ,X,O,O,O,X,O,X
IJSTOZL,O,O,O,O,X,X,X
IJSLTZO,X,O,O,O,O,O,X
IJSLTOZ,X,O,O,O,X,O,X
IJSLZTO,O,O,O,O,O,O,X
IJSLZOT,O,O,O,X,X,X,X
IJSLOTZ,X,O,O,X,X,O,X
IJSLOZT,O,O,O,X,X,X,X
IJSZTLO,O,O,X,O,O,O,X
IJSZTOL,O,O,O,O,X,X,X
IJSZLTO,O,O,O,O,O,O,X
IJSZLOT,O,O,O,X,X,X,X
IJSZOTL,O,O,O,X,X,X,X
IJSZOLT,O,O,O,X,X,X,X
IJSOTLZ,X,O,O,X,X,O,X
IJSOTZL,O,O,O,X,X,X,X
IJSOLTZ,X,O,O,X,X,O,X
IJSOLZT,O,O,O,X,X,X,X
IJSOZTL,O,O,O,X,X,X,X
IJSOZLT,O,O,O,X,X,X,X
IJZTLSO,O,O,X,X,O,O,O
IJZTLOS,O,O,X,X,O,X,O
IJZTSLO,O,O,X,X,O,X,X
IJZTSOL,O,O,X,X,X,X,X
IJZTOLS,O,O,X,X,O,X,O
IJZTOSL,O,O,O,X,X,X,X
IJZLTSO,O,O,X,X,O,O,X
IJZLTOS,O,O,X,X,O,X,X
IJZLSTO,O,O,X,O,O,O,X
IJZLSOT,O,O,X,X,X,X,X
IJZLOTS,O,O,X,X,O,X,X
IJZLOST,O,O,O,X,X,X,X
IJZSTLO,O,O,X,O,O,O,X
IJZSTOL,O,O,O,O,X,X,X
IJZSLTO,O,O,O,O,O,O,X
IJZSLOT,O,O,O,X,X,X,X
IJZSOTL,O,O,O,X,X,X,X
IJZSOLT,O,O,O,X,X,X,X
IJZOTLS,O,O,X,X,O,X,O
IJZOTSL,O,O,O,X,X,X,X
IJZOLTS,O,O,X,X,O,X,X
IJZOLST,O,O,O,X,X,X,X
IJZOSTL,O,O,O,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X
IJOTLSZ,X,O,X,X,X,O,X
IJOTLZS,O,O,X,X,O,X,X
IJOTSLZ,X,O,X,X,X,X,X
IJOTSZL,O,O,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X
IJOLTSZ,X,O,X,X,X,O,X
IJOLTZS,O,O,X,X,O,X,X
IJOLSTZ,X,O,X,X,X,O,X
IJOLSZT,O,O,X,X,X,X,X
IJOLZTS,O,O,X,X,O,X,X
IJOLZST,O,O,O,X,X,X,X
IJOSTLZ,X,O,O,X,X,O,X
IJOSTZL,O,O,O,X,X,X,X
IJOSLTZ,X,O,O,X,X,O,X
IJOSLZT,O,O,O,X,X,X,X
IJOSZTL,O,O,O,X,X,X,X
IJOSZLT,O,O,O,X,X,X,X
IJOZTLS,O,O,X,X,O,X,O
IJOZTSL,O,O,O,X,X,X,X
IJOZLTS,O,O,X,X,O,X,X
IJOZLST,O,O,O,X,X,X,X
IJOZSTL,O,O,O,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X
ISTLJZO,X,O,O,O,O,O,X
ISTLJOZ,X,O,O,O,X,O,X
ISTLZJO,X,O,O,O,X,O,X
ISTLZOJ,X,O,O,O,X,X,X
ISTLOJZ,X,O,O,O,X,O,X
ISTLOZJ,X,O,O,O,X,X,X
ISTJLZO,X,O,O,O,O,O,X
ISTJLOZ,X,O,O,O,X,O,X
ISTJZLO,O,O,X,O,X,O,X
ISTJZOL,O,O,O,O,X,X,X
ISTJOLZ,X,O,O,O,X,O,X
ISTJOZL,O,O,O,O,X,X,X
ISTZLJO,O,O,X,O,X,O,X
ISTZLOJ,O,O,X,O,X,X,X
ISTZJLO,O,O,X,O,X,O,X
ISTZJOL,O,O,O,O,X,X,X
ISTZOLJ,O,O,X,O,X,X,X
ISTZOJL,O,O,O,O,X,X,X
ISTOLJZ,X,O,O,O,X,O,X
ISTOLZJ,X,O,O,O,X,X,X
ISTOJLZ,X,O,O,O,X,O,X
ISTOJZL,O,O,O,O,X,X,X
ISTOZLJ,O,O,X,O,X,X,X
ISTOZJL,O,O,O,O,X,X,X
ISLTJZO,X,O,O,O,O,O,X
ISLTJOZ,X,O,O,O,X,O,X
ISLTZJO,X,O,O,O,X,O,X
ISLTZOJ,X,O,O,O,X,X,X
ISLTOJZ,X,O,O,O,X,O,X
ISLTOZJ,X,O,O,O,X,X,X
ISLJTZO,X,O,O,O,O,O,X
ISLJTOZ,X,O,O,O,X,O,X
ISLJZTO,O,O,O,O,O,O,X
ISLJZOT,O,O,O,X,X,X,X
ISLJOTZ,X,O,O,X,X,O,X
ISLJOZT,O,O,O,X,X,X,X
ISLZTJO,O,O,O,O,O,O,X
ISLZTOJ,O,O,O,O,X,X,X
ISLZJTO,O,O,O,O,O,O,X
ISLZJOT,O,O,O,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,X
ISLZOJT,O,O,O,X,X,X,X
ISLOTJZ,X,O,O,X,X,O,X
ISLOTZJ,X,O,O,X,X,X,X
ISLOJTZ,X,O,O,X,X,O,X
ISLOJZT,O,O,O,X,X,X,X
ISLOZTJ,O,O,O,X,X,X,X
ISLOZJT,O,O,O,X,X,X,X
ISJTLZO,X,O,O,O,O,O,X
ISJTLOZ,X,O,O,O,X,O,X
ISJTZLO,O,O,X,O,X,O,X
ISJTZOL,O,O,O,O,X,X,X
ISJTOLZ,X,O,O,O,X,O,X
ISJTOZL,O,O,O,O,X,X,X
ISJLTZO,X,O,O,O,O,O,X
ISJLTOZ,X,O,O,O,X,O,X
ISJLZTO,O,O,O,O,O,O,X
ISJLZOT,O,O,O,X,X,X,X
ISJLOTZ,X,O,O,X,X,O,X
ISJLOZT,O,O,O,X,X,X,X
ISJZTLO,O,O,X,O,O,O,X
ISJZTOL,O,O,O,O,X,X,X
ISJZLTO,O,O,O,O,O,O,X
ISJZLOT,O,O,O,X,X,X,X
ISJZOTL,O,O,O,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X
ISJOTLZ,X,O,O,X,X,O,X
ISJOTZL,O,O,O,X,X,X,X
ISJOLTZ,X,O,O,X,X,O,X
ISJOLZT,O,O,O,X,X,X,X
ISJOZTL,O,O,O,X,X,X,X
ISJOZLT,O,O,O,X,X,X,X
ISZTLJO,O,O,X,O,O,O,X
ISZTLOJ,O,O,X,O,X,X,X
ISZTJLO,O,O,X,O,O,O,X
ISZTJOL,O,O,O,O,X,X,X
ISZTOLJ,O,O,X,O,X,X,X
ISZTOJL,O,O,O,O,X,X,X
ISZLTJO,O,O,O,O,O,O,X
ISZLTOJ,O,O,O,O,X,X,X
ISZLJTO,O,O,O,O,O,O,X
ISZLJOT,O,O,O,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X
ISZJTLO,O,O,X,O,O,O,X
ISZJTOL,O,O,O,O,X,X,X
ISZJLTO,O,O,O,O,O,O,X
ISZJLOT,O,O,O,X,X,X,X
ISZJOTL,O,O,O,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X
ISOTLJZ,X,O,O,X,X,O,X
ISOTLZJ,X,O,O,X,X,X,X
ISOTJLZ,X,O,O,X,X,O,X
ISOTJZL,O,O,O,X,X,X,X
ISOTZLJ,O,O,X,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X
ISOLTJZ,X,O,O,X,X,O,X
ISOLTZJ,X,O,O,X,X,X,X
ISOLJTZ,X,O,O,X,X,O,X
ISOLJZT,O,O,O,X,X,X,X
ISOLZTJ,O,O,O,X,X,X,X
ISOLZJT,O,O,O,X,X,X,X
ISOJTLZ,X,O,O,X,X,O,X
ISOJTZL,O,O,O,X,X,X,X
ISOJLTZ,X,O,O,X,X,O,X
ISOJLZT,O,O,O,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X
ISOZLTJ,O,O,O,X,X,X,X
ISOZLJT,O,O,O,X,X,X,X
ISOZJTL,O,O,O,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X
IZTLJSO,O,O,X,X,O,O,O
IZTLJOS,O,O,X,X,O,X,O
IZTLSJO,O,O,X,X,O,X,O
IZTLSOJ,O,O,X,X,X,X,O
IZTLOJS,O,O,X,X,O,X,O
IZTLOSJ,O,O,X,X,X,X,O
IZTJLSO,O,O,X,X,O,O,O
IZTJLOS,O,O,X,X,O,X,O
IZTJSLO,O,O,X,X,O,X,X
IZTJSOL,O,O,X,X,X,X,X
IZTJOLS,O,O,X,X,O,X,O
IZTJOSL,O,O,O,X,X,X,X
IZTSLJO,O,O,X,X,O,X,X
IZTSLOJ,O,O,X,X,X,X,X
