sequence,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcB6jBcmBm?iBXnBFtB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcB3dBimBG?oBRsBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhF6hBxdB/nBF?jB2rBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcBWjBymBX?jBctBxwB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFViBajB5jB0?hB2rBftB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcBcmBXnBO?tB6tBlsB
TOJSZLI,O,X,O,X,O,O
TOJZILS,O,X,X,O,X,X
TOJZISL,O,X,X,X,X,X
TOJZLIS,O,X,X,X,X,X
TOJZLSI,O,X,O,X,X,X
TOJZSIL,O,X,O,X,X,O
TOJZSLI,O,X,O,X,X,O
TOSILJZ,O,O,X,X,O,X
TOSILZJ,O,X,O,O,O,X
TOSIJLZ,O,X,X,X,O,X
TOSIJZL,O,X,X,X,O,X
TOSIZLJ,O,X,X,O,O,X
TOSIZJL,O,X,X,X,X,X
TOSLIJZ,O,O,X,X,O,X
TOSLIZJ,O,X,O,X,O,X
TOSLJIZ,O,O,X,X,O,X
TOSLJZI,O,X,X,X,O,X
TOSLZIJ,O,X,O,X,O,X
TOSLZJI,O,X,O,X,X,X
TOSJILZ,O,X,X,X,O,X
TOSJIZL,O,X,X,X,O,X
TOSJLIZ,O,X,X,X,O,X
TOSJLZI,O,X,X,X,O,X
TOSJZIL,O,X,X,X,O,O
TOSJZLI,O,X,X,X,O,O
TOSZILJ,O,X,O,O,O,X
TOSZIJL,O,X,O,X,X,O
TOSZLIJ,O,X,O,X,O,X
TOSZLJI,O,X,O,X,X,X
TOSZJIL,O,X,O,X,X,O
TOSZJLI,O,X,O,X,X,O
TOZILJS,O,O,X,O,X,X
TOZILSJ,O,X,O,O,X,X
TOZIJLS,O,X,X,O,X,X
TOZIJSL,O,X,O,X,X,X
TOZISLJ,O,X,O,O,X,X
TOZISJL,O,X,O,X,X,O
TOZLIJS,O,O,X,O,X,X
TOZLISJ,O,X,O,O,X,X
TOZLJIS,O,O,X,X,X,X
TOZLJSI,O,X,O,X,X,X
TOZLSIJ,O,X,O,X,X,X
TOZLSJI,O,X,O,X,X,X
TOZJILS,O,X,X,O,X,X
TOZJISL,O,X,O,X,X,X
TOZJLIS,O,X,X,X,X,X
TOZJLSI,O,X,O,X,X,X
TOZJSIL,O,X,O,X,X,O
TOZJSLI,O,X,O,X,X,O
TOZSILJ,O,X,O,O,X,X
TOZSIJL,O,X,O,X,X,O
TOZSLIJ,O,X,O,X,X,X
TOZSLJI,O,X,O,X,X,X
TOZSJIL,O,X,O,X,X,O
TOZSJLI,O,X,O,X,X,O
ITLJSZO,X,O,X,X,X,X
ITLJSOZ,X,O,X,X,X,X
ITLJZSO,O,O,X,O,X,X
ITLJZOS,O,O,X,O,X,X
ITLJOSZ,X,O,X,X,X,X
ITLJOZS,O,O,X,O,X,X
ITLSJZO,O,O,X,X,X,X
ITLSJOZ,O,O,X,X,X,X
ITLSZJO,O,X,X,O,X,X
ITLSZOJ,O,X,X,O,X,X
ITLSOJZ,O,O,X,X,X,X
ITLSOZJ,O,X,X,O,X,X
ITLZJSO,O,O,X,O,X,X
ITLZJOS,O,O,X,O,X,X
ITLZSJO,X,X,X,O,X,X
ITLZSOJ,O,X,X,O,X,X
ITLZOJS,O,O,X,O,X,X
ITLZOSJ,O,X,X,O,X,X
ITLOJSZ,X,O,X,X,X,X
ITLOJZS,O,O,X,O,X,X
ITLOSJZ,O,O,X,X,X,X
ITLOSZJ,O,X,X,O,X,X
ITLOZJS,O,O,X,O,X,X
ITLOZSJ,O,X,X,O,X,X
ITJLSZO,X,O,X,X,X,X
ITJLSOZ,X,O,X,X,X,X
ITJLZSO,O,O,X,O,X,X
ITJLZOS,O,O,X,O,X,X
ITJLOSZ,X,O,X,X,X,X
ITJLOZS,O,O,X,O,X,X
ITJSLZO,X,X,X,X,O,X
ITJSLOZ,X,X,X,X,O,X
ITJSZLO,X,X,X,X,O,X
ITJSZOL,X,X,X,X,O,X
ITJSOLZ,X,X,X,X,O,X
ITJSOZL,X,X,X,X,O,X
ITJZLSO,O,X,X,O,X,X
ITJZLOS,O,X,X,O,X,X
ITJZSLO,O,X,X,X,X,X
ITJZSOL,O,X,X,X,X,X
ITJZOLS,O,X,X,O,X,X
ITJZOSL,O,X,X,X,X,X
ITJOLSZ,X,O,X,X,X,X
ITJOLZS,O,O,X,O,X,X
ITJOSLZ,X,X,X,X,O,X
ITJOSZL,X,X,X,X,O,X
ITJOZLS,O,X,X,O,X,X
ITJOZSL,O,X,X,X,X,X
ITSLJZO,O,O,X,X,O,X
ITSLJOZ,O,O,X,X,O,X
ITSLZJO,O,X,X,O,X,X
ITSLZOJ,O,X,X,O,O,X
ITSLOJZ,O,O,X,X,O,X
ITSLOZJ,O,X,X,O,O,X
ITSJLZO,O,X,X,X,O,X
ITSJLOZ,O,X,X,X,O,X
ITSJZLO,O,X,X,X,O,X
ITSJZOL,O,X,X,X,O,X
ITSJOLZ,O,X,X,X,O,X
ITSJOZL,O,X,X,X,O,X
ITSZLJO,O,X,X,O,X,X
ITSZLOJ,O,X,X,O,O,X
ITSZJLO,O,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X
ITSZOLJ,O,X,X,O,O,X
ITSZOJL,O,X,X,X,X,X
ITSOLJZ,O,O,X,X,O,X
ITSOLZJ,O,X,X,O,O,X
ITSOJLZ,O,X,X,X,O,X
ITSOJZL,O,X,X,X,O,X
ITSOZLJ,O,X,X,O,O,X
ITSOZJL,O,X,X,X,X,X
ITZLJSO,O,O,X,O,X,X
ITZLJOS,O,O,X,O,X,X
ITZLSJO,X,X,X,O,X,X
ITZLSOJ,O,X,X,O,X,X
ITZLOJS,O,O,X,O,X,X
ITZLOSJ,O,X,X,O,X,X
ITZJLSO,O,X,X,O,X,X
ITZJLOS,O,X,X,O,X,X
ITZJSLO,O,X,X,X,X,X
ITZJSOL,O,X,X,X,X,X
ITZJOLS,O,X,X,O,X,X
ITZJOSL,O,X,X,X,X,X
ITZSLJO,O,X,X,O,X,X
ITZSLOJ,O,X,X,O,X,X
ITZSJLO,O,X,X,X,X,O
ITZSJOL,O,X,X,X,X,O
ITZSOLJ,O,X,X,O,X,X
ITZSOJL,O,X,X,X,X,O
ITZOLJS,O,O,X,O,X,X
ITZOLSJ,O,X,X,O,X,X
ITZOJLS,O,X,X,O,X,X
ITZOJSL,O,X,X,X,X,X
ITZOSLJ,O,X,X,O,X,X
ITZOSJL,O,X,X,X,X,O
ITOLJSZ,X,O,X,X,X,X
ITOLJZS,O,O,X,O,X,X
ITOLSJZ,O,O,X,X,X,X
ITOLSZJ,O,X,X,O,X,X
ITOLZJS,O,O,X,O,X,X
ITOLZSJ,O,X,X,O,X,X
ITOJLSZ,X,O,X,X,X,X
ITOJLZS,O,O,X,O,X,X
ITOJSLZ,X,X,X,X,O,X
ITOJSZL,X,X,X,X,O,X
ITOJZLS,O,X,X,O,X,X
ITOJZSL,O,X,X,X,X,X
ITOSLJZ,O,O,X,X,O,X
ITOSLZJ,O,X,X,O,O,X
ITOSJLZ,O,X,X,X,O,X
ITOSJZL,O,X,X,X,O,X
ITOSZLJ,O,X,X,O,O,X
ITOSZJL,O,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X
ITOZLSJ,O,X,X,O,X,X
ITOZJLS,O,X,X,O,X,X
ITOZJSL,O,X,X,X,X,X
ITOZSLJ,O,X,X,O,X,X
ITOZSJL,O,X,X,X,X,O
ILTJSZO,X,O,X,X,X,X
ILTJSOZ,X,O,X,X,X,X
ILTJZSO,X,O,X,O,X,X
ILTJZOS,X,O,X,O,X,X
ILTJOSZ,X,O,X,X,X,X
ILTJOZS,O,O,X,O,X,X
ILTSJZO,X,O,X,X,X,X
ILTSJOZ,X,O,X,X,X,X
ILTSZJO,X,X,X,O,X,X
ILTSZOJ,X,X,X,O,X,X
ILTSOJZ,X,O,X,X,X,X
ILTSOZJ,O,X,X,O,X,X
ILTZJSO,O,O,X,O,X,X
ILTZJOS,O,O,X,O,X,X
ILTZSJO,X,X,X,O,X,X
ILTZSOJ,O,X,X,O,X,X
ILTZOJS,O,O,X,O,X,X
ILTZOSJ,O,X,X,O,X,X
ILTOJSZ,X,O,X,X,X,X
ILTOJZS,O,O,X,O,X,X
ILTOSJZ,X,O,X,X,X,X
ILTOSZJ,O,X,X,O,X,X
ILTOZJS,O,O,X,O,X,X
ILTOZSJ,O,X,X,O,X,X
ILJTSZO,X,O,X,X,X,X
ILJTSOZ,X,O,X,X,X,X
ILJTZSO,X,O,X,O,X,X
ILJTZOS,X,O,X,O,X,X
ILJTOSZ,X,O,X,X,X,X
ILJTOZS,X,O,X,O,X,X
ILJSTZO,X,O,X,X,O,X
ILJSTOZ,X,O,O,X,O,X
ILJSZTO,X,O,O,X,O,X
ILJSZOT,X,O,O,X,O,X
ILJSOTZ,X,O,O,X,O,X
ILJSOZT,X,O,O,X,O,X
ILJZTSO,X,O,X,O,X,X
ILJZTOS,X,O,X,O,X,X
ILJZSTO,X,O,O,O,X,X
ILJZSOT,X,O,O,O,X,X
ILJZOTS,X,O,X,O,X,X
ILJZOST,X,O,O,O,X,X
ILJOTSZ,X,O,X,X,X,X
ILJOTZS,X,O,X,O,X,X
ILJOSTZ,X,O,O,X,O,X
ILJOSZT,X,O,O,X,O,X
ILJOZTS,X,O,X,O,X,X
ILJOZST,X,O,O,O,X,X
ILSTJZO,X,O,X,X,O,X
ILSTJOZ,X,O,X,X,O,X
ILSTZJO,X,X,X,O,X,X
ILSTZOJ,X,X,X,O,O,X
ILSTOJZ,X,O,X,X,O,X
ILSTOZJ,X,X,O,O,O,X
ILSJTZO,X,O,X,X,O,X
ILSJTOZ,X,O,X,X,O,X
ILSJZTO,X,O,X,X,O,X
ILSJZOT,X,O,X,X,O,X
ILSJOTZ,X,O,X,X,O,X
ILSJOZT,X,O,O,X,O,X
ILSZTJO,X,X,O,O,X,X
ILSZTOJ,X,X,O,O,O,X
ILSZJTO,X,X,X,O,O,X
ILSZJOT,X,X,O,O,O,X
ILSZOTJ,X,X,O,O,O,X
ILSZOJT,X,X,O,O,O,X
ILSOTJZ,X,O,X,X,O,X
ILSOTZJ,X,X,O,O,O,X
ILSOJTZ,X,O,X,X,O,X
ILSOJZT,X,O,O,X,O,X
ILSOZTJ,X,X,O,O,O,X
ILSOZJT,X,X,O,O,O,X
ILZTJSO,O,O,X,O,X,X
ILZTJOS,O,O,X,O,X,X
ILZTSJO,X,X,X,O,X,X
ILZTSOJ,O,X,X,O,X,X
ILZTOJS,O,O,X,O,X,X
ILZTOSJ,O,X,X,O,X,X
ILZJTSO,X,O,X,O,X,X
ILZJTOS,X,O,X,O,X,X
ILZJSTO,X,O,O,O,X,X
ILZJSOT,X,O,O,O,X,X
ILZJOTS,X,O,X,O,X,X
ILZJOST,X,O,O,O,X,X
ILZSTJO,O,X,O,O,X,X
ILZSTOJ,O,X,O,O,X,X
ILZSJTO,O,X,X,O,X,O
ILZSJOT,O,X,O,O,X,O
ILZSOTJ,O,X,O,O,X,X
ILZSOJT,O,X,O,O,X,O
ILZOTJS,O,O,X,O,X,X
ILZOTSJ,O,X,X,O,X,X
ILZOJTS,X,O,X,O,X,X
ILZOJST,X,O,O,O,X,X
ILZOSTJ,O,X,O,O,X,X
ILZOSJT,O,X,O,O,X,O
ILOTJSZ,X,O,X,X,X,X
ILOTJZS,O,O,X,O,X,X
ILOTSJZ,X,O,X,X,X,X
ILOTSZJ,O,X,X,O,X,X
ILOTZJS,O,O,X,O,X,X
ILOTZSJ,O,X,X,O,X,X
ILOJTSZ,X,O,X,X,X,X
ILOJTZS,X,O,X,O,X,X
ILOJSTZ,X,O,O,X,O,X
ILOJSZT,X,O,O,X,O,X
ILOJZTS,X,O,X,O,X,X
ILOJZST,X,O,O,O,X,X
ILOSTJZ,X,O,X,X,O,X
ILOSTZJ,X,X,O,O,O,X
ILOSJTZ,X,O,X,X,O,X
ILOSJZT,X,O,O,X,O,X
ILOSZTJ,X,X,O,O,O,X
ILOSZJT,X,X,O,O,O,X
ILOZTJS,O,O,X,O,X,X
ILOZTSJ,O,X,X,O,X,X
ILOZJTS,X,O,X,O,X,X
ILOZJST,X,O,O,O,X,X
ILOZSTJ,O,X,O,O,X,X
ILOZSJT,O,X,O,O,X,O
IJTLSZO,X,O,X,X,X,X
IJTLSOZ,X,O,X,X,X,X
IJTLZSO,X,O,X,O,X,X
IJTLZOS,X,O,X,O,X,X
IJTLOSZ,X,O,X,X,X,X
IJTLOZS,O,O,X,O,X,X
IJTSLZO,X,X,X,X,O,X
IJTSLOZ,X,X,X,X,O,X
IJTSZLO,X,X,X,X,O,X
IJTSZOL,X,X,X,X,O,X
IJTSOLZ,X,X,X,X,O,X
IJTSOZL,X,X,X,X,O,X
IJTZLSO,O,X,X,O,X,X
IJTZLOS,O,X,X,O,X,X
IJTZSLO,O,X,X,X,X,X
IJTZSOL,O,X,X,X,X,X
IJTZOLS,O,X,X,O,X,X
IJTZOSL,O,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,X
IJTOLZS,O,O,X,O,X,X
IJTOSLZ,X,X,X,X,O,X
IJTOSZL,X,X,X,X,O,X
IJTOZLS,O,X,X,O,X,X
IJTOZSL,O,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X
IJLTSOZ,X,O,X,X,X,X
IJLTZSO,X,O,X,O,X,X
IJLTZOS,X,O,X,O,X,X
IJLTOSZ,X,O,X,X,X,X
IJLTOZS,X,O,X,O,X,X
IJLSTZO,X,O,X,X,O,X
IJLSTOZ,X,O,O,X,O,X
IJLSZTO,X,O,O,X,O,X
IJLSZOT,X,O,O,X,O,X
IJLSOTZ,X,O,O,X,O,X
IJLSOZT,X,O,O,X,O,X
IJLZTSO,X,O,X,O,X,X
IJLZTOS,X,O,X,O,X,X
IJLZSTO,X,O,O,O,X,X
IJLZSOT,X,O,O,O,X,X
IJLZOTS,X,O,X,O,X,X
IJLZOST,X,O,O,O,X,X
IJLOTSZ,X,O,X,X,X,X
IJLOTZS,X,O,X,O,X,X
IJLOSTZ,X,O,O,X,O,X
IJLOSZT,X,O,O,X,O,X
IJLOZTS,X,O,X,O,X,X
IJLOZST,X,O,O,O,X,X
IJSTLZO,X,X,X,X,O,X
IJSTLOZ,X,X,O,X,O,X
IJSTZLO,X,X,X,X,O,X
IJSTZOL,X,X,X,X,O,X
IJSTOLZ,X,X,O,X,O,X
IJSTOZL,X,X,X,X,O,X
IJSLTZO,X,X,X,X,O,X
IJSLTOZ,X,X,O,X,O,X
IJSLZTO,X,X,O,X,O,X
IJSLZOT,X,X,O,X,O,X
IJSLOTZ,X,X,O,X,O,X
IJSLOZT,X,X,O,X,O,X
IJSZTLO,X,X,O,X,O,O
IJSZTOL,X,X,O,X,O,O
IJSZLTO,X,X,O,X,O,O
IJSZLOT,X,X,O,X,O,O
IJSZOTL,X,X,O,X,O,O
IJSZOLT,X,X,O,X,O,O
IJSOTLZ,X,X,O,X,O,X
IJSOTZL,X,X,X,X,O,X
IJSOLTZ,X,X,O,X,O,X
IJSOLZT,X,X,O,X,O,X
IJSOZTL,X,X,O,X,O,O
IJSOZLT,X,X,O,X,O,O
IJZTLSO,O,X,X,O,X,X
IJZTLOS,O,X,X,O,X,X
IJZTSLO,O,X,X,X,X,X
IJZTSOL,O,X,X,X,X,X
IJZTOLS,O,X,X,O,X,X
IJZTOSL,O,X,X,X,X,X
IJZLTSO,X,X,X,O,X,X
IJZLTOS,X,X,X,O,X,X
IJZLSTO,X,X,O,O,X,X
IJZLSOT,X,X,O,O,X,X
IJZLOTS,X,X,X,O,X,X
IJZLOST,X,X,O,O,X,X
IJZSTLO,O,X,O,X,O,O
IJZSTOL,O,X,O,X,O,O
IJZSLTO,O,X,O,O,O,O
IJZSLOT,O,X,O,O,O,O
IJZSOTL,O,X,O,X,O,O
IJZSOLT,O,X,O,O,O,O
IJZOTLS,O,X,X,O,X,X
IJZOTSL,O,X,X,X,X,X
IJZOLTS,X,X,X,O,X,X
IJZOLST,X,X,O,O,X,X
IJZOSTL,O,X,O,X,O,O
IJZOSLT,O,X,O,O,O,O
IJOTLSZ,X,O,X,X,X,X
IJOTLZS,O,O,X,O,X,X
IJOTSLZ,X,X,X,X,O,X
IJOTSZL,X,X,X,X,O,X
IJOTZLS,O,X,X,O,X,X
IJOTZSL,O,X,X,X,X,X
IJOLTSZ,X,O,X,X,X,X
IJOLTZS,X,O,X,O,X,X
IJOLSTZ,X,O,O,X,O,X
IJOLSZT,X,O,O,X,O,X
IJOLZTS,X,O,X,O,X,X
IJOLZST,X,O,O,O,X,X
IJOSTLZ,X,X,O,X,O,X
IJOSTZL,X,X,X,X,O,X
IJOSLTZ,X,X,O,X,O,X
IJOSLZT,X,X,O,X,O,X
IJOSZTL,X,X,O,X,O,O
IJOSZLT,X,X,O,X,O,O
IJOZTLS,O,X,X,O,X,X
IJOZTSL,O,X,X,X,X,X
IJOZLTS,X,X,X,O,X,X
IJOZLST,X,X,O,O,X,X
IJOZSTL,O,X,O,X,O,O
IJOZSLT,O,X,O,O,O,O
ISTLJZO,O,O,X,X,O,X
ISTLJOZ,O,O,X,X,O,X
ISTLZJO,O,X,X,O,X,X
ISTLZOJ,O,X,X,O,O,X
ISTLOJZ,O,O,X,X,O,X
ISTLOZJ,O,X,O,O,O,X
ISTJLZO,O,X,X,X,O,X
ISTJLOZ,O,X,X,X,O,X
ISTJZLO,O,X,X,X,O,X
ISTJZOL,O,X,X,X,O,X
ISTJOLZ,O,X,X,X,O,X
ISTJOZL,O,X,X,X,O,X
ISTZLJO,O,X,X,O,X,X
ISTZLOJ,O,X,X,O,O,X
ISTZJLO,O,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X
ISTZOLJ,O,X,X,O,O,X
ISTZOJL,O,X,X,X,X,X
ISTOLJZ,O,O,X,X,O,X
ISTOLZJ,O,X,O,O,O,X
ISTOJLZ,O,X,X,X,O,X
ISTOJZL,O,X,X,X,O,X
ISTOZLJ,O,X,X,O,O,X
ISTOZJL,O,X,X,X,X,X
ISLTJZO,X,O,X,X,O,X
ISLTJOZ,X,O,X,X,O,X
ISLTZJO,X,X,X,O,X,X
ISLTZOJ,X,X,X,O,O,X
ISLTOJZ,X,O,X,X,O,X
ISLTOZJ,X,X,O,O,O,X
ISLJTZO,X,O,X,X,O,X
ISLJTOZ,X,O,X,X,O,X
ISLJZTO,X,O,X,X,O,X
ISLJZOT,X,O,X,X,O,X
ISLJOTZ,X,O,X,X,O,X
ISLJOZT,X,O,O,X,O,X
ISLZTJO,X,X,O,O,X,X
ISLZTOJ,X,X,O,O,O,X
ISLZJTO,X,X,X,O,O,X
ISLZJOT,X,X,O,O,O,X
ISLZOTJ,X,X,O,O,O,X
ISLZOJT,X,X,O,O,O,X
ISLOTJZ,X,O,X,X,O,X
ISLOTZJ,X,X,O,O,O,X
ISLOJTZ,X,O,X,X,O,X
ISLOJZT,X,O,O,X,O,X
ISLOZTJ,X,X,O,O,O,X
ISLOZJT,X,X,O,O,O,X
ISJTLZO,X,X,X,X,O,X
ISJTLOZ,X,X,X,X,O,X
ISJTZLO,X,X,X,X,O,X
ISJTZOL,X,X,X,X,O,X
ISJTOLZ,X,X,X,X,O,X
ISJTOZL,X,X,X,X,O,X
ISJLTZO,X,X,X,X,O,X
ISJLTOZ,X,X,X,X,O,X
ISJLZTO,O,X,X,X,O,X
ISJLZOT,O,X,X,X,O,X
ISJLOTZ,X,X,X,X,O,X
ISJLOZT,O,X,O,X,O,X
ISJZTLO,O,X,X,X,O,O
ISJZTOL,O,X,X,X,O,O
ISJZLTO,O,X,X,X,O,O
ISJZLOT,O,X,X,X,O,O
ISJZOTL,O,X,X,X,O,O
ISJZOLT,O,X,X,X,O,O
ISJOTLZ,X,X,X,X,O,X
ISJOTZL,X,X,X,X,O,X
ISJOLTZ,X,X,X,X,O,X
ISJOLZT,O,X,O,X,O,X
ISJOZTL,O,X,X,X,O,O
ISJOZLT,O,X,X,X,O,O
ISZTLJO,O,X,O,O,X,X
ISZTLOJ,O,X,O,O,O,X
ISZTJLO,O,X,O,X,X,O
ISZTJOL,O,X,O,X,X,O
ISZTOLJ,O,X,O,O,O,X
ISZTOJL,O,X,O,X,X,O
ISZLTJO,O,X,O,O,X,X
ISZLTOJ,O,X,O,O,O,X
ISZLJTO,O,X,X,O,O,O
ISZLJOT,O,X,O,O,O,O
ISZLOTJ,O,X,O,O,O,X
ISZLOJT,O,X,O,O,O,O
ISZJTLO,O,X,X,X,O,O
ISZJTOL,O,X,X,X,O,O
ISZJLTO,O,X,X,O,O,O
ISZJLOT,O,X,O,O,O,O
ISZJOTL,O,X,X,X,O,O
ISZJOLT,O,X,O,O,O,O
ISZOTLJ,O,X,O,O,O,X
ISZOTJL,O,X,O,X,X,O
ISZOLTJ,O,X,O,O,O,X
ISZOLJT,O,X,O,O,O,O
ISZOJTL,O,X,X,X,O,O
ISZOJLT,O,X,O,O,O,O
ISOTLJZ,O,O,X,X,O,X
ISOTLZJ,O,X,O,O,O,X
ISOTJLZ,O,X,X,X,O,X
ISOTJZL,O,X,X,X,O,X
ISOTZLJ,O,X,X,O,O,X
ISOTZJL,O,X,X,X,X,X
ISOLTJZ,X,O,X,X,O,X
ISOLTZJ,X,X,O,O,O,X
ISOLJTZ,X,O,X,X,O,X
ISOLJZT,X,O,O,X,O,X
ISOLZTJ,X,X,O,O,O,X
ISOLZJT,X,X,O,O,O,X
ISOJTLZ,X,X,X,X,O,X
ISOJTZL,X,X,X,X,O,X
ISOJLTZ,X,X,X,X,O,X
ISOJLZT,O,X,O,X,O,X
ISOJZTL,O,X,X,X,O,O
ISOJZLT,O,X,X,X,O,O
ISOZTLJ,O,X,O,O,O,X
ISOZTJL,O,X,O,X,X,O
ISOZLTJ,O,X,O,O,O,X
ISOZLJT,O,X,O,O,O,O
ISOZJTL,O,X,X,X,O,O
ISOZJLT,O,X,O,O,O,O
IZTLJSO,O,O,X,O,X,X
IZTLJOS,O,O,X,O,X,X
IZTLSJO,X,X,O,O,X,X
IZTLSOJ,O,X,O,O,X,X
IZTLOJS,O,O,X,O,X,X
IZTLOSJ,O,X,O,O,X,X
IZTJLSO,O,X,X,O,X,X
IZTJLOS,O,X,X,O,X,X
IZTJSLO,O,X,O,X,X,X
IZTJSOL,O,X,O,X,X,X
IZTJOLS,O,X,X,O,X,X
IZTJOSL,O,X,O,X,X,X
IZTSLJO,O,X,O,O,X,X
IZTSLOJ,O,X,O,O,X,X
IZTSJLO,O,X,O,X,X,O
IZTSJOL,O,X,O,X,X,O
IZTSOLJ,O,X,O,O,X,X
IZTSOJL,O,X,O,X,X,O
IZTOLJS,O,O,X,O,X,X
IZTOLSJ,O,X,O,O,X,X
IZTOJLS,O,X,X,O,X,X
IZTOJSL,O,X,O,X,X,X
IZTOSLJ,O,X,O,O,X,X
IZTOSJL,O,X,O,X,X,O
IZLTJSO,O,O,X,O,X,X
IZLTJOS,O,O,X,O,X,X
IZLTSJO,X,X,X,O,X,X
IZLTSOJ,O,X,X,O,X,X
IZLTOJS,O,O,X,O,X,X
IZLTOSJ,O,X,X,O,X,X
IZLJTSO,X,O,X,O,X,X
IZLJTOS,X,O,X,O,X,X
IZLJSTO,X,O,O,O,X,X
IZLJSOT,X,O,O,O,X,X
IZLJOTS,X,O,X,O,X,X
IZLJOST,X,O,O,O,X,X
IZLSTJO,O,X,O,O,X,X
IZLSTOJ,O,X,O,O,X,X
IZLSJTO,O,X,X,O,X,O
IZLSJOT,O,X,O,O,X,O
IZLSOTJ,O,X,O,O,X,X
IZLSOJT,O,X,O,O,X,O
IZLOTJS,O,O,X,O,X,X
IZLOTSJ,O,X,X,O,X,X
IZLOJTS,X,O,X,O,X,X
IZLOJST,X,O,O,O,X,X
IZLOSTJ,O,X,O,O,X,X
IZLOSJT,O,X,O,O,X,O
IZJTLSO,O,X,X,O,X,X
IZJTLOS,O,X,X,O,X,X
IZJTSLO,O,X,X,X,X,X
IZJTSOL,O,X,X,X,X,X
IZJTOLS,O,X,X,O,X,X
IZJTOSL,O,X,X,X,X,X
IZJLTSO,X,X,X,O,X,X
IZJLTOS,X,X,X,O,X,X
IZJLSTO,X,X,O,O,X,X
IZJLSOT,X,X,O,O,X,X
IZJLOTS,X,X,X,O,X,X
IZJLOST,X,X,O,O,X,X
IZJSTLO,O,X,O,X,O,O
IZJSTOL,O,X,O,X,O,O
IZJSLTO,O,X,O,O,O,O
IZJSLOT,O,X,O,O,O,O
IZJSOTL,O,X,O,X,O,O
IZJSOLT,O,X,O,O,O,O
IZJOTLS,O,X,X,O,X,X
IZJOTSL,O,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X
IZJOLST,X,X,O,O,X,X
IZJOSTL,O,X,O,X,O,O
IZJOSLT,O,X,O,O,O,O
IZSTLJO,O,X,O,O,X,X
IZSTLOJ,O,X,O,O,O,X
IZSTJLO,O,X,O,X,X,O
IZSTJOL,O,X,O,X,X,O
IZSTOLJ,O,X,O,O,O,X
IZSTOJL,O,X,O,X,X,O
IZSLTJO,O,X,O,O,X,X
IZSLTOJ,O,X,O,O,O,X
IZSLJTO,O,X,X,O,O,O
IZSLJOT,O,X,O,O,O,O
IZSLOTJ,O,X,O,O,O,X
IZSLOJT,O,X,O,O,O,O
IZSJTLO,O,X,X,X,O,O
IZSJTOL,O,X,X,X,O,O
IZSJLTO,O,X,X,O,O,O
IZSJLOT,O,X,O,O,O,O
IZSJOTL,O,X,X,X,O,O
IZSJOLT,O,X,O,O,O,O
IZSOTLJ,O,X,O,O,O,X
IZSOTJL,O,X,O,X,X,O
IZSOLTJ,O,X,O,O,O,X
IZSOLJT,O,X,O,O,O,O
IZSOJTL,O,X,X,X,O,O
IZSOJLT,O,X,O,O,O,O
IZOTLJS,O,O,X,O,X,X
IZOTLSJ,O,X,O,O,X,X
IZOTJLS,O,X,X,O,X,X
IZOTJSL,O,X,O,X,X,X
IZOTSLJ,O,X,O,O,X,X
IZOTSJL,O,X,O,X,X,O
IZOLTJS,O,O,X,O,X,X
IZOLTSJ,O,X,X,O,X,X
IZOLJTS,X,O,X,O,X,X
IZOLJST,X,O,O,O,X,X
IZOLSTJ,O,X,O,O,X,X
IZOLSJT,O,X,O,O,X,O
IZOJTLS,O,X,X,O,X,X
IZOJTSL,O,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X
IZOJLST,X,X,O,O,X,X
IZOJSTL,O,X,O,X,O,O
IZOJSLT,O,X,O,O,O,O
IZOSTLJ,O,X,O,O,O,X
IZOSTJL,O,X,O,X,X,O
IZOSLTJ,O,X,O,O,O,X
IZOSLJT,O,X,O,O,O,O
IZOSJTL,O,X,X,X,O,O
IZOSJLT,O,X,O,O,O,O
IOTLJSZ,X,O,X,X,X,X
IOTLJZS,O,O,X,O,X,X
IOTLSJZ,O,O,X,X,X,X
IOTLSZJ,O,X,X,O,X,X
IOTLZJS,O,O,X,O,X,X
IOTLZSJ,O,X,X,O,X,X
IOTJLSZ,X,O,X,X,X,X
IOTJLZS,O,O,X,O,X,X
IOTJSLZ,X,X,X,X,O,X
IOTJSZL,X,X,X,X,O,X
IOTJZLS,O,X,X,O,X,X
IOTJZSL,O,X,X,X,X,X
IOTSLJZ,O,O,X,X,O,X
IOTSLZJ,O,X,X,O,O,X
IOTSJLZ,O,X,X,X,O,X
IOTSJZL,O,X,X,X,O,X
IOTSZLJ,O,X,X,O,O,X
IOTSZJL,O,X,X,X,X,X
IOTZLJS,O,O,X,O,X,X
