sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TLSOJIZ,O,O,O,O,X,X,X,X
TLSOJZI,O,O,O,X,O,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,X
TLSOZJI,O,O,O,X,O,X,X,X
TLZIJSO,O,O,X,X,O,X,X,O
TLZIJOS,O,O,X,O,O,X,X,O
TLZISJO,O,O,X,X,X,X,X,O
TLZISOJ,O,O,X,X,X,X,X,O
TLZIOJS,O,O,X,O,O,X,X,O
TLZIOSJ,O,O,X,X,X,X,X,O
TLZJISO,O,O,X,X,O,X,X,X
TLZJIOS,O,O,X,O,O,O,X,X
TLZJSIO,O,O,X,X,O,O,X,X
TLZJSOI,O,O,X,X,O,O,X,X
TLZJOIS,O,O,X,O,O,O,X,X
TLZJOSI,O,O,X,X,O,O,X,X
TLZSIJO,O,O,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,X,X
TLZSJIO,O,O,X,X,O,X,X,X
TLZSJOI,O,O,X,X,O,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X
TLZSOJI,O,O,X,X,O,X,X,X
TLZOIJS,O,O,X,O,O,X,X,O
TLZOISJ,O,O,X,X,X,X,X,O
TLZOJIS,O,O,X,O,O,O,X,X
TLZOJSI,O,O,X,X,O,O,X,X
TLZOSIJ,O,O,X,X,X,X,X,X
TLZOSJI,O,O,X,X,O,X,X,X
TLOIJSZ,X,X,O,O,X,X,O,X
TLOIJZS,X,X,X,O,O,X,O,X
TLOISJZ,O,O,O,O,X,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X
TLOIZJS,O,O,X,O,O,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X
TLOJISZ,X,X,O,O,X,O,O,X
TLOJIZS,X,X,X,O,O,O,O,X
TLOJSIZ,X,X,O,O,X,O,X,X
TLOJSZI,X,X,O,X,O,X,X,X
TLOJZIS,X,X,X,O,O,X,X,X
TLOJZSI,X,X,X,X,O,X,X,X
TLOSIJZ,O,O,O,O,X,X,X,X
