sequence,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBfiB?xdBCjBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBzcB?5jBaoB3iBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBzcB?5jB3iBaoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeKAJvhFzbBfiB?xdBGjBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhFGeB3gB?RiBUiBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Je2AJvhFRdBSjB?UiB3gBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhFzcBGeB?3gBxnBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFfiBxdB?TgBSoBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhFyhBTgB?3iBcoBGoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeKAJvhFzbBFdB?5jBmnB8nBfsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhF0dBTgB?OsBXtB6tBlrB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFRdBcjB?TgBXnBStBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jez8IvhFGeBigB?/oBRsBcsBlqB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Je2AJvhFzcBSjB?3gBxnBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhF5jB3gB?mnB8nBzmBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFUdB5jB?TgBlnBaoBfsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhF0dB6jB?TgBXnBVtBmrB
ISZOTJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZOLJT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOTLJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
ISOTLZJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
ISOTJLZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O
ISOTJZL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O
ISOTZLJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
ISOTZJL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
ISOLTJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
ISOLTZJ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ISOLJTZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
ISOLJZT,O,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X
ISOLZTJ,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ISOLZJT,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
ISOJTLZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
ISOJTZL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
ISOJLTZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
ISOJLZT,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
ISOJZTL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
ISOJZLT,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
ISOZTLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISOZTJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOZLJT,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISOZJTL,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISOZJLT,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IZTLJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLJOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLSJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJLOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTOLJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOLSJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZTOJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOJSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZTOSLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZTOSJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZLTJSO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLJTOS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLJSTO,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLJSOT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLJOTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLJOST,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLSTJO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSTOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSJTO,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZLSJOT,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZLSOTJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSOJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLOTJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLOJST,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLOSTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJLTOS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLSTO,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJLSOT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJLOTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLOST,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJSTLO,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSTOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSLTO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZJSLOT,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZJSOTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSOLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJOTLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTLOJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTJLO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTOLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTOJL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSLTJO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSLTOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSLJTO,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
IZSLJOT,O,O,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
IZSLOTJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSLOJT,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSJTLO,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSJTOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSJLTO,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
IZSJLOT,O,O,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
IZSJOTL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSJOLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSOTLJ,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSOLTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSOLJT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOTLJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZOTLSJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTJLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZOTJSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTSLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTSJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOLTJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOJTLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZOJTSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOJLTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
IOTLJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTLSJZ,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
IOTLSZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
IOTLZJS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTLZSJ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
IOTJLSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
IOTJLZS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTJSLZ,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,O,X
IOTJSZL,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
IOTJZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTJZSL,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
IOTSLJZ,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
IOTSLZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
IOTSJLZ,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,O,O
IOTSJZL,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,O
IOTSZLJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O
IOTSZJL,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O
IOTZLJS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTZLSJ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
IOTZJLS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOTZJSL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
IOTZSLJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,O
IOTZSJL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLTJZS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
IOLTSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IOLTZJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IOLTZSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IOLJTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJTZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJSTZ,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOLJSZT,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
IOLJZTS,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOLJZST,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOLSTJZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOLSTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLSJTZ,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLSZJT,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOLZTJS,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZTSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJTS,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOLZJST,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLZSJT,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJTLSZ,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IOJTLZS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOJTSLZ,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X
IOJTSZL,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
IOJTZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOJTZSL,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X
IOJLTSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJLTZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJLSTZ,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOJLSZT,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
IOJLZTS,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJLZST,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJSTLZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IOJSTZL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IOJSLTZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IOJSLZT,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IOJSZLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IOJZTLS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJZTSL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOJZLTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZSLT,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IOSTLJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOSTLZJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOSTJLZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O
IOSTJZL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O
IOSTZLJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O
IOSTZJL,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O
IOSLTJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOSLTZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOSLJTZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IOSLJZT,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
IOSLZTJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOSLZJT,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOSJTLZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IOSJTZL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O
IOSJLTZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IOSJLZT,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
IOSJZTL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IOSJZLT,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IOSZTLJ,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOSZTJL,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOSZLTJ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSZLJT,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSZJLT,O,O,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOZTLJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOZTLSJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IOZTJLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IOZTJSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOZTSLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IOZTSJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOZLTJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZJTLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOZJTSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOZJLTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IOZSTLJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZSTJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZSLTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSLJT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOZSJTL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSJLT,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTIJSZO,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
LTIJZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIJOSZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
LTIJOZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTISJZO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
LTISJOZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
LTISZJO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
LTISZOJ,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O
LTISOJZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O
LTISOZJ,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
LTIZJSO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIZSJO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
LTIZOSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIOJSZ,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X
LTIOJZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
LTIOSJZ,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,O
LTIOSZJ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
LTIOZJS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O
LTIOZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
LTJISZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
LTJIZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZOS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTJIOZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTJSIZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJSOIZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
LTJSOZI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
LTJZISO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTJZIOS,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
