sequence,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je08IvhFxdBflBlgBO?rB6qBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhF0cBxdBWlB/?mBlqBywB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je07IvhFxdBzfBumBX?hBlqBywB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhFxdBflBlhBu?qBirB0rB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Jex9IvhFflB0gBlhB6?qBOrBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhFqgBxdBlhB/?qBOrBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhFxdBflBlhBq?qB2rB0rB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhF+gBxdBlhBy?qBzrBXrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhFqgBxdBlhB/?qBmrBTrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeX7IvhFOhBxdBSlB1?rB0qBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeX7IvhFxdBUhBFlBa?sBTmBWwB
TSJZOLI,O,O,X,O,O,X,X,X,X,X,O
TSJOILZ,O,O,X,O,X,X,X,X,X,X,X
TSJOIZL,O,O,O,O,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,X,X,X,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,X,X,X,X
TSJOZIL,O,O,O,O,X,X,X,X,X,X,X
TSJOZLI,O,O,O,O,X,X,X,X,X,X,O
TSZILJO,X,O,X,X,O,X,X,X,X,X,O
TSZILOJ,X,X,X,X,O,X,O,X,X,X,O
TSZIJLO,O,O,X,X,O,X,X,X,X,X,O
TSZIJOL,O,O,X,X,O,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,O,X,X,X,X,X,O
TSZIOJL,X,O,X,O,O,X,X,X,X,X,X
TSZLIJO,X,O,X,X,O,X,X,X,X,X,O
TSZLIOJ,X,X,X,X,O,X,O,X,X,X,O
TSZLJIO,X,O,X,X,O,X,X,X,X,X,O
TSZLJOI,X,O,X,X,O,X,X,X,X,X,O
TSZLOIJ,X,X,X,X,O,X,O,X,X,X,O
TSZLOJI,X,X,X,X,O,X,O,X,X,X,O
TSZJILO,O,O,X,X,O,X,X,X,X,X,O
TSZJIOL,O,O,X,X,O,X,X,X,X,X,X
TSZJLIO,O,O,X,X,O,X,X,X,X,X,O
TSZJLOI,O,O,X,X,O,X,X,X,X,X,O
TSZJOIL,O,O,X,X,O,X,X,X,X,X,X
TSZJOLI,O,O,X,X,O,X,X,X,X,X,O
TSZOILJ,X,X,X,X,O,X,X,X,X,X,O
TSZOIJL,X,O,X,O,O,X,X,X,X,X,X
TSZOLIJ,X,X,X,X,O,X,X,X,X,X,O
TSZOLJI,X,X,X,X,O,X,X,X,X,X,O
TSZOJIL,X,O,X,O,O,X,X,X,X,X,X
TSZOJLI,X,O,X,O,O,X,X,X,X,X,O
TSOILJZ,X,X,X,O,X,X,O,X,X,X,X
TSOILZJ,X,X,X,X,O,X,O,O,X,X,X
TSOIJLZ,O,O,X,O,X,X,X,X,X,X,X
TSOIJZL,O,O,X,O,O,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,O,X,X,X,X,X,O
TSOIZJL,O,O,X,O,O,X,X,X,X,X,X
TSOLIJZ,X,X,X,O,X,X,O,X,X,X,X
TSOLIZJ,X,X,X,X,O,X,O,O,X,X,X
TSOLJIZ,X,X,X,O,X,X,O,X,X,X,X
TSOLJZI,X,X,X,O,X,X,O,X,X,X,X
TSOLZIJ,X,X,X,X,O,X,O,O,X,X,X
TSOLZJI,X,X,X,X,O,X,O,O,X,X,X
TSOJILZ,O,O,X,O,X,X,X,X,X,X,X
TSOJIZL,O,O,O,O,O,X,X,X,X,X,X
TSOJLIZ,O,O,X,O,X,X,X,X,X,X,X
TSOJLZI,O,O,X,O,X,X,X,X,X,X,X
TSOJZIL,O,O,O,O,O,X,X,X,X,X,X
TSOJZLI,O,O,O,O,O,X,X,X,X,X,O
TSOZILJ,X,X,X,X,O,X,X,X,X,X,O
TSOZIJL,O,O,X,O,O,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,O,X,X,X,X,X,O
TSOZLJI,X,X,X,X,O,X,X,X,X,X,O
TSOZJIL,O,O,O,O,O,X,X,X,X,X,X
TSOZJLI,O,O,O,O,O,X,X,X,X,X,O
TZILJSO,X,X,X,X,X,X,X,X,X,O,O
TZILJOS,X,X,X,X,X,X,X,X,X,O,X
TZILSJO,X,O,X,X,X,X,X,X,X,O,O
TZILSOJ,X,O,X,X,X,X,O,X,X,O,O
TZILOJS,X,X,X,X,X,X,X,X,X,O,X
TZILOSJ,X,X,X,X,X,X,X,X,X,O,O
TZIJLSO,X,X,X,X,X,X,X,X,X,O,O
TZIJLOS,X,X,X,X,X,X,X,X,X,O,O
TZIJSLO,O,O,X,X,X,X,X,X,O,O,O
TZIJSOL,O,O,X,O,X,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X,X,X,X,O,X
TZIJOSL,X,O,X,X,X,X,X,X,X,X,X
TZISLJO,X,O,X,X,O,O,X,X,O,O,O
TZISLOJ,X,X,X,X,O,O,O,X,O,O,O
TZISJLO,O,O,X,X,O,X,X,X,O,O,O
TZISJOL,O,O,X,X,O,X,X,X,X,X,X
TZISOLJ,X,X,X,X,O,O,X,X,X,X,O
TZISOJL,X,O,X,O,O,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X,X,O,X,O,X
TZIOLSJ,X,X,X,X,X,X,X,O,X,O,O
TZIOJLS,X,X,X,X,X,X,X,X,X,O,X
TZIOJSL,O,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,O,O,X,X,X,X,O
TZIOSJL,O,X,X,X,O,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X,X,X,X,O,O
TZLIJOS,X,X,X,X,X,X,X,O,X,O,X
TZLISJO,X,O,X,X,X,X,X,X,X,O,O
TZLISOJ,X,O,X,X,X,X,O,X,X,O,O
TZLIOJS,X,X,X,X,X,X,X,X,X,O,X
TZLIOSJ,X,X,X,X,X,X,X,X,X,O,O
TZLJISO,X,X,X,X,X,X,X,X,X,O,O
TZLJIOS,X,X,X,X,X,X,X,O,X,O,O
TZLJSIO,X,X,X,X,X,X,X,X,X,O,O
TZLJSOI,X,X,X,X,X,X,X,O,X,O,O
TZLJOIS,X,X,X,X,X,X,X,O,X,O,O
TZLJOSI,X,X,X,X,X,X,X,O,X,O,O
TZLSIJO,X,O,X,X,X,X,X,X,X,O,O
TZLSIOJ,X,O,X,X,X,X,O,X,X,O,O
TZLSJIO,X,O,X,X,X,X,X,X,X,O,O
TZLSJOI,X,O,X,X,X,X,X,O,X,O,O
TZLSOIJ,X,O,X,X,X,X,O,X,X,O,O
TZLSOJI,X,O,X,X,X,X,O,X,X,O,O
TZLOIJS,X,X,X,X,X,X,X,X,X,O,X
TZLOISJ,X,X,X,X,X,X,X,X,X,O,O
TZLOJIS,X,X,X,X,X,X,X,O,X,O,X
TZLOJSI,X,X,X,X,X,X,X,O,X,O,X
TZLOSIJ,X,X,X,X,X,X,X,X,X,O,O
TZLOSJI,X,X,X,X,X,X,X,X,X,O,O
TZJILSO,X,X,X,X,X,X,X,X,X,O,O
TZJILOS,X,X,X,X,X,X,X,X,X,O,O
TZJISLO,O,O,X,X,X,X,X,X,O,O,O
TZJISOL,O,O,X,O,X,X,X,X,X,X,X
TZJIOLS,X,X,O,X,X,X,X,X,X,O,X
TZJIOSL,X,O,O,X,X,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X,X,X,X,O,O
TZJLIOS,X,X,X,X,X,X,X,X,X,O,O
TZJLSIO,X,X,X,X,X,X,X,X,X,O,O
TZJLSOI,X,X,X,X,X,X,X,X,X,O,O
TZJLOIS,X,X,X,X,X,X,X,X,X,O,O
TZJLOSI,X,X,X,X,X,X,X,X,X,O,O
TZJSILO,O,O,X,X,X,X,X,X,O,O,O
TZJSIOL,O,O,X,O,X,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X,O,O,O
TZJSLOI,O,O,X,X,X,X,X,X,O,O,O
TZJSOIL,O,O,X,O,X,X,X,X,X,X,X
TZJSOLI,O,O,X,O,X,X,X,X,X,X,O
TZJOILS,X,X,O,X,X,X,X,X,X,O,X
TZJOISL,X,O,O,X,X,X,X,X,X,X,X
TZJOLIS,X,X,O,X,X,X,X,X,X,O,O
TZJOLSI,X,X,O,X,X,X,X,X,X,O,O
TZJOSIL,X,O,O,X,X,X,X,X,X,X,X
TZJOSLI,X,O,O,X,X,X,X,X,X,X,O
TZSILJO,X,O,X,X,O,O,X,X,O,O,O
TZSILOJ,X,X,X,X,O,O,O,X,O,O,O
TZSIJLO,O,O,X,X,O,X,X,X,O,O,O
TZSIJOL,O,O,X,X,O,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,O,O,X,X,X,X,O
TZSIOJL,X,O,X,O,O,X,X,X,X,X,X
TZSLIJO,X,O,X,X,O,O,X,X,O,O,O
TZSLIOJ,X,X,X,X,O,O,O,X,O,O,O
TZSLJIO,X,O,X,X,O,O,X,X,O,O,O
TZSLJOI,X,O,X,X,O,O,X,X,O,O,O
TZSLOIJ,X,X,X,X,O,O,O,X,O,O,O
TZSLOJI,X,X,X,X,O,O,O,X,O,O,O
TZSJILO,O,O,X,X,O,X,X,X,O,O,O
TZSJIOL,O,O,X,X,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,O,X,X,X,O,O,O
TZSJLOI,O,O,X,X,O,X,X,X,O,O,O
TZSJOIL,O,O,X,X,O,X,X,X,X,X,X
TZSJOLI,O,O,X,X,O,X,X,X,X,X,O
TZSOILJ,X,X,X,X,O,O,X,X,X,X,O
TZSOIJL,X,O,X,O,O,X,X,X,X,X,X
TZSOLIJ,X,X,X,X,O,O,X,X,X,X,O
TZSOLJI,X,X,X,X,O,O,X,X,X,X,O
TZSOJIL,X,O,X,O,O,X,X,X,X,X,X
TZSOJLI,X,O,X,O,O,X,X,X,X,X,O
TZOILJS,X,X,X,X,X,X,X,O,X,O,X
TZOILSJ,X,X,X,X,X,X,X,O,X,O,O
TZOIJLS,X,X,O,X,X,X,X,X,X,O,X
TZOIJSL,O,X,O,X,X,X,X,X,X,X,X
TZOISLJ,X,X,X,X,O,O,X,X,X,X,O
TZOISJL,O,X,X,X,O,X,X,X,X,X,X
TZOLIJS,X,X,X,X,X,X,X,O,X,O,X
TZOLISJ,X,X,X,X,X,X,X,O,X,O,O
TZOLJIS,X,X,O,X,X,X,X,O,X,O,X
TZOLJSI,X,X,O,X,X,X,X,O,X,O,X
TZOLSIJ,X,X,X,X,X,X,X,O,X,O,O
TZOLSJI,X,X,X,X,X,X,X,O,X,O,O
TZOJILS,X,X,O,X,X,X,X,X,X,O,X
TZOJISL,O,X,O,X,X,X,X,X,X,X,X
TZOJLIS,X,X,O,X,X,X,X,X,X,O,O
TZOJLSI,X,X,O,X,X,X,X,X,X,O,O
TZOJSIL,O,X,O,X,X,X,X,X,X,X,X
TZOJSLI,O,X,O,X,X,X,X,X,X,X,O
TZOSILJ,X,X,X,X,O,O,X,X,X,X,O
TZOSIJL,O,X,X,X,O,X,X,X,X,X,X
TZOSLIJ,X,X,X,X,O,O,X,X,X,X,O
TZOSLJI,X,X,X,X,O,O,X,X,X,X,O
TZOSJIL,O,X,O,X,O,X,X,X,X,X,X
TZOSJLI,O,X,O,X,O,X,X,X,X,X,O
TOILJSZ,X,X,O,X,X,X,X,X,X,X,X
TOILJZS,X,X,O,X,X,X,X,O,X,X,X
TOILSJZ,X,X,X,X,X,X,O,X,X,X,X
TOILSZJ,X,X,X,X,O,X,O,O,X,X,X
TOILZJS,X,X,X,X,X,X,X,O,X,X,X
TOILZSJ,X,X,X,X,X,X,X,O,X,X,X
TOIJLSZ,X,O,O,X,X,X,X,X,X,X,X
TOIJLZS,X,X,O,X,X,X,X,O,X,X,X
TOIJSLZ,O,O,X,O,X,X,X,X,X,X,X
TOIJSZL,O,O,O,O,O,X,X,X,X,X,X
TOIJZLS,X,X,O,X,X,X,X,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X,X,X,X,X
TOISLJZ,X,X,X,O,X,X,O,X,X,X,X
TOISLZJ,X,X,X,X,O,X,O,O,X,X,X
TOISJLZ,O,O,X,O,X,X,X,X,X,X,X
TOISJZL,O,O,X,O,O,X,X,X,X,X,X
TOISZLJ,X,X,X,X,O,X,X,X,X,X,O
TOISZJL,O,O,X,O,O,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,X,X,O,X,X,X
TOIZLSJ,X,X,X,X,X,X,X,O,X,X,O
TOIZJLS,X,X,O,X,X,X,X,X,X,X,X
TOIZJSL,O,X,O,X,X,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,O,O,X,X,X,X,O
TOIZSJL,O,X,X,X,O,X,X,X,X,X,X
TOLIJSZ,X,X,O,X,X,X,X,X,X,X,X
TOLIJZS,X,X,O,X,X,X,X,O,X,X,X
TOLISJZ,X,X,X,X,X,X,O,X,X,X,X
TOLISZJ,X,X,X,X,O,X,O,O,X,X,X
TOLIZJS,X,X,O,X,X,X,X,O,X,X,X
TOLIZSJ,X,X,X,X,X,X,X,O,X,X,X
TOLJISZ,X,X,O,X,X,X,X,X,X,X,X
TOLJIZS,X,X,O,X,X,X,X,O,X,X,X
TOLJSIZ,X,X,O,X,X,X,X,X,X,X,X
TOLJSZI,X,X,O,X,X,X,X,X,X,X,X
TOLJZIS,X,X,O,X,X,X,X,O,X,X,X
TOLJZSI,X,X,O,X,X,X,X,O,X,X,X
TOLSIJZ,X,X,X,X,X,X,O,X,X,X,X
TOLSIZJ,X,X,X,X,O,X,O,O,X,X,X
TOLSJIZ,X,X,O,X,X,X,O,X,X,X,X
TOLSJZI,X,X,O,X,X,X,O,X,X,X,X
TOLSZIJ,X,X,X,X,O,X,O,O,X,X,X
TOLSZJI,X,X,O,X,O,X,O,O,X,X,X
TOLZIJS,X,X,O,X,X,X,X,O,X,X,X
TOLZISJ,X,X,X,X,X,X,X,O,X,X,X
TOLZJIS,X,X,O,X,X,X,X,O,X,X,X
TOLZJSI,X,X,O,X,X,X,X,O,X,X,X
TOLZSIJ,X,X,X,X,X,X,X,O,X,X,X
TOLZSJI,X,X,O,X,X,X,X,O,X,X,X
TOJILSZ,X,O,O,X,X,X,X,X,X,X,X
TOJILZS,X,X,O,X,X,X,X,O,X,X,X
TOJISLZ,O,O,X,O,X,X,X,X,X,X,X
TOJISZL,O,O,O,O,O,X,X,X,X,X,X
TOJIZLS,X,X,O,X,X,X,X,X,X,X,X
TOJIZSL,O,O,O,X,X,X,X,X,X,X,X
TOJLISZ,X,O,O,X,X,X,X,X,X,X,X
TOJLIZS,X,X,O,X,X,X,X,O,X,X,X
TOJLSIZ,X,O,O,X,X,X,X,X,X,X,X
TOJLSZI,X,O,O,X,X,X,X,X,X,X,X
TOJLZIS,X,X,O,X,X,X,X,O,X,X,X
TOJLZSI,X,X,O,X,X,X,X,O,X,X,X
TOJSILZ,O,O,X,O,X,X,X,X,X,X,X
TOJSIZL,O,O,O,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,O,X,X,X,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X,X,X,X
TOJSZIL,O,O,O,O,O,X,X,X,X,X,X
TOJSZLI,O,O,O,O,O,X,X,X,X,X,O
TOJZILS,X,X,O,X,X,X,X,X,X,X,X
TOJZISL,O,O,O,X,X,X,X,X,X,X,X
TOJZLIS,X,X,O,X,X,X,X,X,X,X,O
TOJZLSI,X,X,O,X,X,X,X,X,X,X,O
TOJZSIL,O,O,O,X,X,X,X,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X,X,X,X,O
TOSILJZ,X,X,X,O,X,X,O,X,X,X,X
TOSILZJ,X,X,X,X,O,X,O,O,X,X,X
TOSIJLZ,O,O,X,O,X,X,X,X,X,X,X
TOSIJZL,O,O,X,O,O,X,X,X,X,X,X
TOSIZLJ,X,X,X,X,O,X,X,X,X,X,O
TOSIZJL,O,O,X,O,O,X,X,X,X,X,X
TOSLIJZ,X,X,X,O,X,X,O,X,X,X,X
TOSLIZJ,X,X,X,X,O,X,O,O,X,X,X
TOSLJIZ,X,X,X,O,X,X,O,X,X,X,X
TOSLJZI,X,X,X,O,X,X,O,X,X,X,X
TOSLZIJ,X,X,X,X,O,X,O,O,X,X,X
TOSLZJI,X,X,X,X,O,X,O,O,X,X,X
TOSJILZ,O,O,X,O,X,X,X,X,X,X,X
TOSJIZL,O,O,O,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,X,O,X,X,X,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X,X,X,X
TOSJZIL,O,O,O,O,O,X,X,X,X,X,X
TOSJZLI,O,O,O,O,O,X,X,X,X,X,O
TOSZILJ,X,X,X,X,O,X,X,X,X,X,O
TOSZIJL,O,O,X,O,O,X,X,X,X,X,X
TOSZLIJ,X,X,X,X,O,X,X,X,X,X,O
TOSZLJI,X,X,X,X,O,X,X,X,X,X,O
TOSZJIL,O,O,O,O,O,X,X,X,X,X,X
TOSZJLI,O,O,O,O,O,X,X,X,X,X,O
TOZILJS,X,X,X,X,X,X,X,O,X,X,X
TOZILSJ,X,X,X,X,X,X,X,O,X,X,O
TOZIJLS,X,X,O,X,X,X,X,X,X,X,X
TOZIJSL,O,X,O,X,X,X,X,X,X,X,X
TOZISLJ,X,X,X,X,O,O,X,X,X,X,O
TOZISJL,O,X,X,X,O,X,X,X,X,X,X
TOZLIJS,X,X,X,X,X,X,X,O,X,X,X
TOZLISJ,X,X,X,X,X,X,X,O,X,X,O
TOZLJIS,X,X,O,X,X,X,X,O,X,X,X
TOZLJSI,X,X,O,X,X,X,X,O,X,X,X
TOZLSIJ,X,X,X,X,X,X,X,O,X,X,O
TOZLSJI,X,X,X,X,X,X,X,O,X,X,O
TOZJILS,X,X,O,X,X,X,X,X,X,X,X
TOZJISL,O,X,O,X,X,X,X,X,X,X,X
TOZJLIS,X,X,O,X,X,X,X,X,X,X,O
TOZJLSI,X,X,O,X,X,X,X,X,X,X,O
TOZJSIL,O,X,O,X,X,X,X,X,X,X,X
TOZJSLI,O,X,O,X,X,X,X,X,X,X,O
TOZSILJ,X,X,X,X,O,O,X,X,X,X,O
TOZSIJL,O,X,X,X,O,X,X,X,X,X,X
TOZSLIJ,X,X,X,X,O,O,X,X,X,X,O
TOZSLJI,X,X,X,X,O,O,X,X,X,X,O
TOZSJIL,O,X,O,X,O,X,X,X,X,X,X
TOZSJLI,O,X,O,X,O,X,X,X,X,X,O
ITLJSZO,X,O,X,O,X,X,O,X,X,X,X
ITLJSOZ,X,O,O,O,X,X,O,X,X,X,X
ITLJZSO,X,O,X,O,X,X,O,X,X,X,X
ITLJZOS,X,O,O,X,X,X,X,X,X,X,X
ITLJOSZ,X,O,O,O,X,X,O,X,X,X,X
ITLJOZS,X,O,O,X,X,X,X,X,X,X,X
ITLSJZO,X,O,X,O,X,X,O,X,X,X,X
ITLSJOZ,X,O,X,O,X,X,O,X,X,X,X
ITLSZJO,X,O,X,X,O,X,X,X,X,O,O
ITLSZOJ,X,O,X,X,O,X,O,X,X,O,O
ITLSOJZ,X,O,X,O,X,X,O,X,X,X,X
ITLSOZJ,X,O,X,X,X,X,O,X,X,X,X
ITLZJSO,X,O,X,X,X,X,X,X,X,O,O
ITLZJOS,X,O,X,X,X,X,X,O,X,O,X
ITLZSJO,X,O,X,X,X,X,X,X,X,O,O
ITLZSOJ,X,O,X,X,X,X,O,X,X,O,O
ITLZOJS,X,X,X,X,X,X,X,X,X,O,X
ITLZOSJ,X,X,X,X,X,X,X,X,X,O,O
ITLOJSZ,X,O,O,X,X,X,X,X,X,X,X
ITLOJZS,X,O,O,X,X,X,X,O,X,X,X
ITLOSJZ,X,O,X,X,X,X,O,X,X,X,X
ITLOSZJ,X,O,X,X,O,X,O,O,X,X,X
ITLOZJS,X,X,X,X,X,X,X,O,X,X,X
ITLOZSJ,X,X,X,X,X,X,X,O,X,X,X
ITJLSZO,X,O,X,O,X,X,X,X,X,X,X
ITJLSOZ,X,O,O,O,X,X,O,X,X,X,X
ITJLZSO,X,O,X,O,X,X,X,X,X,X,X
ITJLZOS,X,O,O,X,X,X,X,X,X,X,X
ITJLOSZ,X,O,O,O,X,X,X,X,X,X,X
ITJLOZS,X,O,O,X,X,X,X,X,X,X,X
ITJSLZO,O,O,X,O,X,X,X,X,X,X,X
ITJSLOZ,X,O,X,O,X,X,O,X,X,X,X
ITJSZLO,O,O,X,X,O,X,X,X,X,X,O
ITJSZOL,O,O,X,O,O,X,X,X,X,X,X
ITJSOLZ,X,O,X,O,X,X,X,X,X,X,X
ITJSOZL,O,O,O,O,X,X,X,X,X,X,X
ITJZLSO,X,X,X,X,X,X,X,X,X,X,O
ITJZLOS,X,X,X,X,X,X,X,X,X,X,O
ITJZSLO,O,O,X,X,X,X,X,X,O,X,O
ITJZSOL,O,O,X,O,X,X,X,X,X,X,X
ITJZOLS,X,X,O,X,X,X,X,X,X,X,X
ITJZOSL,X,O,O,X,X,X,X,X,X,X,X
ITJOLSZ,X,O,O,X,X,X,X,X,X,X,X
ITJOLZS,X,O,O,X,X,X,X,O,X,X,X
ITJOSLZ,X,O,X,O,X,X,X,X,X,X,X
ITJOSZL,X,O,O,O,O,X,X,X,X,X,X
ITJOZLS,X,X,O,X,X,X,X,X,X,X,X
ITJOZSL,X,O,O,X,X,X,X,X,X,X,X
ITSLJZO,X,O,X,O,X,X,O,X,X,X,X
ITSLJOZ,X,O,X,O,X,X,O,X,X,X,X
ITSLZJO,X,O,X,X,O,X,X,X,X,X,O
ITSLZOJ,X,X,X,X,O,X,O,X,X,X,O
ITSLOJZ,X,X,X,O,X,X,O,X,X,X,X
ITSLOZJ,X,X,X,X,X,X,O,X,X,X,X
ITSJLZO,O,O,X,O,X,X,X,X,X,X,X
ITSJLOZ,X,O,X,O,X,X,O,X,X,X,X
ITSJZLO,O,O,X,X,O,X,X,X,X,X,O
ITSJZOL,O,O,X,O,O,X,X,X,X,X,X
ITSJOLZ,X,O,X,O,X,X,X,X,X,X,X
ITSJOZL,O,O,X,O,X,X,X,X,X,X,X
ITSZLJO,X,O,X,X,O,X,X,X,X,X,O
ITSZLOJ,X,X,X,X,O,X,O,X,X,X,O
ITSZJLO,O,O,X,X,O,X,X,X,X,X,O
ITSZJOL,O,O,X,X,O,X,X,X,X,X,X
ITSZOLJ,X,X,X,X,O,X,X,X,X,X,O
ITSZOJL,X,O,X,O,O,X,X,X,X,X,X
ITSOLJZ,X,X,X,O,X,X,O,X,X,X,X
ITSOLZJ,X,X,X,X,O,X,O,O,X,X,X
ITSOJLZ,O,O,X,O,X,X,X,X,X,X,X
ITSOJZL,O,O,X,O,O,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,X,X,X,X,X,O
ITSOZJL,O,O,X,O,O,X,X,X,X,X,X
ITZLJSO,X,X,X,X,X,X,X,X,X,O,O
ITZLJOS,X,X,X,X,X,X,X,X,X,O,X
ITZLSJO,X,O,X,X,X,X,X,X,X,O,O
ITZLSOJ,X,O,X,X,X,X,O,X,X,O,O
ITZLOJS,X,X,X,X,X,X,X,X,X,O,X
ITZLOSJ,X,X,X,X,X,X,X,X,X,O,O
ITZJLSO,X,X,X,X,X,X,X,X,X,O,O
ITZJLOS,X,X,X,X,X,X,X,X,X,O,O
ITZJSLO,O,O,X,X,X,X,X,X,O,O,O
ITZJSOL,O,O,X,O,X,X,X,X,X,X,X
ITZJOLS,X,X,X,X,X,X,X,X,X,O,X
ITZJOSL,X,O,X,X,X,X,X,X,X,X,X
ITZSLJO,X,O,X,X,O,O,X,X,O,O,O
ITZSLOJ,X,X,X,X,O,O,O,X,O,O,O
ITZSJLO,O,O,X,X,O,X,X,X,O,O,O
ITZSJOL,O,O,X,X,O,X,X,X,X,X,X
ITZSOLJ,X,X,X,X,O,O,X,X,X,X,O
ITZSOJL,X,O,X,O,O,X,X,X,X,X,X
ITZOLJS,X,X,X,X,X,X,X,O,X,O,X
ITZOLSJ,X,X,X,X,X,X,X,O,X,O,O
ITZOJLS,X,X,X,X,X,X,X,X,X,O,X
ITZOJSL,O,X,X,X,X,X,X,X,X,X,X
ITZOSLJ,X,X,X,X,O,O,X,X,X,X,O
ITZOSJL,O,X,X,X,O,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,X,X,X,X,X,X,X
ITOLJZS,X,X,O,X,X,X,X,O,X,X,X
ITOLSJZ,X,X,X,X,X,X,O,X,X,X,X
ITOLSZJ,X,X,X,X,O,X,O,O,X,X,X
ITOLZJS,X,X,X,X,X,X,X,O,X,X,X
ITOLZSJ,X,X,X,X,X,X,X,O,X,X,X
ITOJLSZ,X,O,O,X,X,X,X,X,X,X,X
ITOJLZS,X,X,O,X,X,X,X,O,X,X,X
ITOJSLZ,O,O,X,O,X,X,X,X,X,X,X
ITOJSZL,O,O,O,O,O,X,X,X,X,X,X
ITOJZLS,X,X,O,X,X,X,X,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X,X,X,X,X
ITOSLJZ,X,X,X,O,X,X,O,X,X,X,X
ITOSLZJ,X,X,X,X,O,X,O,O,X,X,X
ITOSJLZ,O,O,X,O,X,X,X,X,X,X,X
ITOSJZL,O,O,X,O,O,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,O,X,X,X,X,X,O
ITOSZJL,O,O,X,O,O,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X,X,O,X,X,X
ITOZLSJ,X,X,X,X,X,X,X,O,X,X,O
ITOZJLS,X,X,O,X,X,X,X,X,X,X,X
ITOZJSL,O,X,O,X,X,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,O,O,X,X,X,X,O
ITOZSJL,O,X,X,X,O,X,X,X,X,X,X
ILTJSZO,X,O,X,O,X,X,O,X,X,X,X
ILTJSOZ,X,O,O,O,X,X,O,X,X,X,X
ILTJZSO,X,O,X,O,X,X,O,X,X,X,X
ILTJZOS,X,O,O,X,X,X,X,X,X,X,X
ILTJOSZ,X,O,O,O,X,X,O,X,X,X,X
ILTJOZS,X,O,O,X,X,X,X,X,X,X,X
ILTSJZO,X,O,X,O,X,X,O,X,X,X,X
ILTSJOZ,X,O,X,O,X,X,O,X,X,X,X
ILTSZJO,X,O,X,X,O,X,X,X,X,O,O
ILTSZOJ,X,O,X,X,O,X,O,X,X,O,O
ILTSOJZ,X,O,X,O,X,X,O,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,O,X,X,X,X
ILTZJSO,X,O,X,X,X,X,X,X,X,O,O
ILTZJOS,X,O,X,X,X,X,X,O,X,O,X
ILTZSJO,X,O,X,X,X,X,X,X,X,O,O
ILTZSOJ,X,O,X,X,X,X,O,X,X,O,O
ILTZOJS,X,X,X,X,X,X,X,X,X,O,X
ILTZOSJ,X,X,X,X,X,X,X,X,X,O,O
ILTOJSZ,X,O,O,X,X,X,X,X,X,X,X
ILTOJZS,X,O,O,X,X,X,X,O,X,X,X
ILTOSJZ,X,O,X,X,X,X,O,X,X,X,X
ILTOSZJ,X,O,X,X,O,X,O,O,X,X,X
ILTOZJS,X,X,O,X,X,X,X,O,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,O,X,X,X
ILJTSZO,X,O,X,O,X,X,O,X,X,X,X
ILJTSOZ,X,O,O,O,X,X,O,X,X,X,X
ILJTZSO,X,O,X,O,X,X,O,X,X,X,X
ILJTZOS,X,O,O,X,X,X,X,X,X,X,X
ILJTOSZ,X,O,O,O,X,X,O,X,X,X,X
