sequence,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFuf?BcgBCeBXjBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFCb?BuiBcjBXgBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BTfBOlBXjB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?BXgBziB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFcg?BqiBTeBfqBlsBupB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeBXgB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JecAJvhFTe?BOkBfqBysB5nBlpB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeC+IvhFxf?BXjBTfBOlB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jel6IvhFcg?BTeBysBmpB5nB/pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BOlBXjBTkBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB/pBOqBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeB0fB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFui?BcjBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeuCJvhFcj?BxfBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeG+IvhFxf?BziBikBXlBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFOl?BTkB3nBFoB0pBCtB
IZOTLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IOTLJZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTLSJZ,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTLSZJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTLZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOTJLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJSLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOTJSZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJZSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOTSJZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IOTZJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLTSZJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLTZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSTZJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSJTZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOJSLTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLZJT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSJLTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
LTIJZSO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
LTIJZOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
LTIJOSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
LTIJOZS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
LTISJZO,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
LTISJOZ,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
LTISZJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LTISZOJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
LTISOJZ,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,O,X
LTISOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
LTIZJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIZJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTIZSJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
LTIZSOJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIZOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
LTIZOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
LTIOJSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
LTIOJZS,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X
LTIOSJZ,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
LTIOSZJ,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
LTIOZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
LTIOZSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
LTJISZO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
LTJISOZ,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
LTJIZSO,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
LTJIZOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
LTJIOSZ,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
LTJIOZS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
LTJSIZO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
LTJSIOZ,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
LTJSZIO,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTJSZOI,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTJSOIZ,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
LTJSOZI,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTJZISO,X,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
LTJZIOS,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
LTJZSIO,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
LTJZSOI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
LTJZOIS,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
LTJZOSI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
LTJOISZ,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X
LTJOIZS,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,O,X
LTJOSIZ,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,X
LTJOSZI,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTJOZIS,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X
LTJOZSI,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
LTSIJZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
LTSIJOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
LTSIZJO,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LTSIZOJ,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
LTSIOJZ,O,X,X,O,O,O,X,O,O,X,O,O,X,X,X,O,X
LTSIOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
LTSJIZO,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
LTSJIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
LTSJZIO,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X
LTSJZOI,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
LTSJOIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
LTSJOZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
LTSZIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
LTSZIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
LTSZJIO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
LTSZJOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
LTSZOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTSZOJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
LTSOIJZ,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X,O,X
LTSOIZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X
LTSOJIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
LTSOJZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
LTSOZIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTSOZJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
LTZIJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LTZIJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTZISJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LTZISOJ,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LTZIOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
LTZIOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
LTZJISO,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
LTZJIOS,X,O,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
LTZJSIO,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
LTZJSOI,O,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
LTZJOIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
LTZJOSI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
LTZSIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
LTZSIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
LTZSJIO,O,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
LTZSJOI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LTZSOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTZSOJI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LTZOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
LTZOISJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZOJIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,O,X
LTZOJSI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
LTZOSIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTZOSJI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LTOIJSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
LTOIJZS,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X
LTOISJZ,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
LTOISZJ,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
LTOIZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
LTOIZSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
LTOJISZ,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X
LTOJIZS,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,O,X
LTOJSIZ,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,X
LTOJSZI,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTOJZIS,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X
LTOJZSI,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
LTOSIJZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X
LTOSIZJ,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
LTOSJIZ,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
LTOSJZI,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X
LTOSZIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTOSZJI,O,O,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X
LTOZIJS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
LTOZISJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOZJIS,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,O,X
LTOZJSI,O,O,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
LTOZSIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTOZSJI,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LITJSZO,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LITJSOZ,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LITJZSO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LITJZOS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LITJOSZ,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
LITJOZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
LITSJZO,O,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LITSJOZ,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LITSZJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LITSZOJ,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LITSOJZ,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,O,X
LITSOZJ,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LITZJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LITZJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LITZSJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
LITZSOJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LITZOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
LITZOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
LITOJSZ,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
LITOJZS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X
LITOSJZ,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
LITOSZJ,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
LITOZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
LITOZSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
LIJTSZO,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
LIJTSOZ,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
LIJTZSO,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
LIJTZOS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
LIJTOSZ,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X
LIJTOZS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LIJSTZO,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
LIJSTOZ,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
LIJSZTO,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
LIJSZOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJZTSO,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJZTOS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJZSTO,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJZSOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJZOTS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJZOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
