sequence,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFRbB/iBajBzgBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFygB2iB0fBziB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBmdBKlBzgB0iBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbByiBmgB0iBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBidBOlB8lBziBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hFibBmdB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jem7Iv?hFidBxfBziB0fB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFzbB/iBajBRlBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gByiB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFehB/iBajB0fBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jei6Iv?hFzbBRlB3nBUlBmnBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gBliBRlB8sB3qBisB
ISJZLTO,O,O,O,O,X,X,X,X,X,O,O,X
ISJZLOT,O,O,O,O,X,X,X,O,X,O,O,X
ISJZOTL,O,X,X,X,X,X,X,X,X,X,O,O
ISJZOLT,O,O,O,X,X,X,X,O,X,O,O,X
ISJOTLZ,O,X,X,O,X,X,O,O,O,X,X,X
ISJOTZL,X,X,X,X,X,X,O,O,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,O,X,X,X,X
ISJOLZT,O,X,X,O,X,X,X,O,O,X,O,X
ISJOZTL,X,X,X,X,X,X,X,X,X,X,O,O
ISJOZLT,O,X,X,X,X,X,X,O,X,X,O,X
ISZTLJO,X,O,O,X,O,O,X,X,X,O,O,X
ISZTLOJ,X,O,X,X,O,O,X,X,X,X,O,X
ISZTJLO,X,O,O,X,O,O,X,X,X,O,O,X
ISZTJOL,X,O,O,X,O,O,O,X,X,X,O,O
ISZTOLJ,X,O,X,X,O,O,O,X,X,X,O,X
ISZTOJL,X,O,O,X,O,O,O,X,X,X,O,O
ISZLTJO,X,O,O,X,O,O,X,X,X,O,O,X
ISZLTOJ,X,O,X,X,O,O,X,X,X,X,O,X
ISZLJTO,O,O,O,X,O,O,X,X,X,O,O,X
ISZLJOT,O,O,O,X,O,O,X,O,X,O,O,X
ISZLOTJ,O,O,O,X,O,O,X,X,X,X,O,X
ISZLOJT,O,O,O,X,O,O,X,O,X,O,O,X
ISZJTLO,O,O,O,X,O,O,X,X,X,O,O,X
ISZJTOL,X,O,X,X,O,O,O,X,X,X,O,O
ISZJLTO,O,O,O,X,O,O,X,X,X,O,O,X
ISZJLOT,O,O,O,X,O,O,X,O,X,O,O,X
ISZJOTL,O,X,X,X,O,O,X,X,X,X,O,O
ISZJOLT,O,O,O,X,O,O,X,O,X,O,O,X
ISZOTLJ,O,O,X,X,O,O,X,X,X,X,O,X
ISZOTJL,O,O,X,X,O,O,X,X,X,X,O,O
ISZOLTJ,O,O,X,X,O,O,X,X,X,X,O,X
ISZOLJT,O,O,X,X,O,O,X,O,X,O,O,X
ISZOJTL,O,X,X,X,X,O,X,X,X,X,O,O
ISZOJLT,O,O,O,X,X,O,X,O,X,O,O,X
ISOTLJZ,O,X,X,O,O,X,O,O,O,X,X,X
ISOTLZJ,X,X,X,X,O,O,O,O,X,X,X,X
ISOTJLZ,O,X,X,O,O,X,O,O,O,X,X,X
ISOTJZL,X,X,X,O,X,X,O,O,X,X,X,X
ISOTZLJ,X,X,X,X,O,O,O,O,X,X,X,X
ISOTZJL,X,X,O,X,X,O,O,O,X,X,X,X
ISOLTJZ,O,X,X,X,O,X,X,O,X,X,X,X
ISOLTZJ,X,X,X,X,O,O,X,X,X,X,X,X
ISOLJTZ,O,X,X,O,X,X,X,O,X,X,X,X
ISOLJZT,O,X,X,O,X,X,X,O,O,X,O,X
ISOLZTJ,X,X,X,X,O,X,X,X,X,X,O,X
ISOLZJT,O,X,X,X,O,O,X,O,X,X,O,X
ISOJTLZ,O,X,X,O,X,X,O,O,O,X,X,X
ISOJTZL,X,X,X,O,X,X,O,O,X,X,X,X
ISOJLTZ,O,X,X,O,X,X,X,O,X,X,X,X
ISOJLZT,O,X,X,O,X,X,X,O,O,X,O,X
ISOJZTL,X,X,X,O,X,X,X,X,X,X,O,O
ISOJZLT,O,X,X,O,X,X,X,O,X,X,O,X
ISOZTLJ,X,X,X,X,X,O,X,X,X,X,O,X
ISOZTJL,X,X,X,X,X,O,X,X,X,X,O,O
ISOZLTJ,X,X,X,X,X,O,X,X,X,X,O,X
ISOZLJT,O,X,X,X,X,O,X,O,X,X,O,X
ISOZJTL,X,X,X,X,X,O,X,X,X,X,O,O
ISOZJLT,O,X,O,X,X,O,X,O,X,X,O,X
IZTLJSO,X,O,X,X,O,O,X,X,X,O,X,X
IZTLJOS,X,O,X,X,X,O,X,X,O,X,X,O
IZTLSJO,X,O,X,X,O,O,X,X,X,O,X,X
IZTLSOJ,X,X,X,X,O,O,X,X,X,O,X,X
IZTLOJS,X,O,X,X,X,O,X,X,O,X,X,O
IZTLOSJ,X,X,X,X,X,O,X,X,X,X,X,X
IZTJLSO,O,O,X,X,O,O,X,X,X,O,X,X
IZTJLOS,X,O,X,X,X,O,X,X,O,X,X,O
IZTJSLO,O,O,X,X,O,O,X,O,X,O,X,X
IZTJSOL,O,O,X,X,O,O,X,O,X,O,X,O
IZTJOLS,O,O,X,X,O,O,O,X,O,X,X,O
IZTJOSL,O,X,X,X,O,O,X,O,X,O,X,O
IZTSLJO,O,O,X,X,O,O,X,O,X,O,X,X
IZTSLOJ,O,O,X,X,O,O,X,O,X,O,X,X
IZTSJLO,O,O,X,X,O,O,X,O,X,O,X,X
IZTSJOL,O,O,X,X,O,O,X,O,X,O,X,O
IZTSOLJ,O,O,X,X,O,O,X,O,X,O,X,X
IZTSOJL,O,O,X,X,O,O,X,O,X,O,X,O
IZTOLJS,O,O,X,X,O,O,O,X,O,X,X,O
IZTOLSJ,O,X,X,X,O,O,X,X,X,X,X,X
IZTOJLS,O,O,X,X,O,O,O,X,O,X,X,O
IZTOJSL,O,X,X,X,O,O,X,O,X,O,X,O
IZTOSLJ,O,X,X,X,O,O,X,O,X,O,X,X
IZTOSJL,O,X,X,X,O,O,X,O,X,O,X,O
IZLTJSO,X,O,X,X,X,O,X,X,X,O,X,X
IZLTJOS,X,O,X,X,X,O,X,X,X,X,X,O
IZLTSJO,X,O,X,X,X,O,X,X,X,O,X,X
IZLTSOJ,X,X,X,X,X,O,X,X,X,O,X,X
IZLTOJS,X,O,X,X,X,O,X,X,X,X,X,O
IZLTOSJ,X,X,X,X,X,O,X,X,X,X,X,X
IZLJTSO,X,O,X,X,X,X,X,X,X,O,X,X
IZLJTOS,X,O,X,X,X,O,X,X,X,X,X,O
IZLJSTO,X,O,O,X,O,O,X,X,X,O,X,X
IZLJSOT,X,O,O,X,O,O,X,X,X,O,X,X
IZLJOTS,X,O,X,X,X,O,X,X,O,X,X,O
IZLJOST,X,X,O,X,X,O,X,X,O,X,X,X
IZLSTJO,X,O,O,X,O,O,X,X,X,O,O,X
IZLSTOJ,X,X,X,X,O,O,X,X,X,X,O,X
IZLSJTO,X,O,O,X,O,O,X,X,X,O,O,X
IZLSJOT,X,X,O,X,O,O,X,X,X,O,O,X
IZLSOTJ,X,X,O,X,O,O,X,X,X,X,O,X
IZLSOJT,X,X,O,X,O,O,X,X,X,O,O,X
IZLOTJS,X,O,X,X,X,O,X,X,X,X,X,O
IZLOTSJ,X,X,X,X,X,O,X,X,X,X,X,X
IZLOJTS,X,O,X,X,X,O,X,X,O,X,X,O
IZLOJST,X,X,O,X,X,O,X,X,O,X,X,X
IZLOSTJ,X,X,O,X,X,O,X,X,X,X,X,X
IZLOSJT,X,X,O,X,X,O,X,X,X,X,X,X
IZJTLSO,O,O,X,X,O,X,X,X,X,O,X,X
IZJTLOS,X,O,X,X,X,X,X,X,O,X,X,O
IZJTSLO,O,O,X,X,O,O,X,O,X,O,X,X
IZJTSOL,O,X,X,X,O,O,X,O,X,O,X,O
IZJTOLS,O,O,X,X,O,X,O,X,O,X,X,O
IZJTOSL,O,X,X,X,O,O,X,O,X,O,X,O
IZJLTSO,O,O,X,X,X,X,X,X,X,O,X,X
IZJLTOS,X,O,X,X,X,X,X,X,X,X,X,O
IZJLSTO,O,O,O,X,O,O,X,X,X,O,X,X
IZJLSOT,O,O,O,X,O,O,X,X,X,O,X,X
IZJLOTS,X,O,X,X,X,X,X,X,O,X,X,O
IZJLOST,X,X,O,X,X,O,X,X,O,X,X,X
IZJSTLO,O,O,O,X,O,O,X,X,X,O,X,X
IZJSTOL,O,X,X,X,O,O,X,X,X,O,X,O
IZJSLTO,O,O,O,X,O,O,X,X,X,O,X,X
IZJSLOT,O,O,O,X,O,O,X,O,X,O,X,X
IZJSOTL,O,X,X,X,O,O,X,X,X,X,X,O
IZJSOLT,O,O,O,X,O,O,X,O,X,O,X,X
IZJOTLS,O,X,X,X,X,X,X,X,O,X,X,O
IZJOTSL,O,X,X,X,X,O,X,O,X,O,X,O
IZJOLTS,O,O,X,X,X,X,X,X,O,X,X,O
IZJOLST,O,X,O,X,X,O,X,X,O,X,X,X
IZJOSTL,O,X,X,X,X,O,X,X,X,X,X,O
IZJOSLT,O,X,X,X,X,O,X,O,X,O,X,X
IZSTLJO,X,O,X,X,O,O,X,X,X,O,O,X
IZSTLOJ,X,O,X,X,O,O,X,X,X,O,O,X
IZSTJLO,X,O,O,X,O,O,X,X,X,O,O,X
IZSTJOL,X,O,X,X,O,O,X,X,X,O,O,O
IZSTOLJ,X,O,X,X,O,O,X,X,X,O,O,X
IZSTOJL,X,O,X,X,O,O,X,X,X,O,O,O
IZSLTJO,X,O,O,X,O,O,X,X,X,O,O,X
IZSLTOJ,X,O,X,X,O,O,X,X,X,X,O,X
IZSLJTO,O,O,O,X,O,O,X,X,X,O,O,X
IZSLJOT,O,O,O,X,O,O,X,O,X,O,O,X
IZSLOTJ,O,O,O,X,O,O,X,X,X,X,O,X
IZSLOJT,O,O,O,X,O,O,X,O,X,O,O,X
IZSJTLO,O,O,O,X,O,O,X,X,X,O,O,X
IZSJTOL,X,O,X,X,O,O,X,X,X,O,O,O
IZSJLTO,O,O,O,X,O,O,X,X,X,O,O,X
IZSJLOT,O,O,O,X,O,O,X,O,X,O,O,X
IZSJOTL,O,X,X,X,O,O,X,X,X,X,O,O
IZSJOLT,O,O,O,X,O,O,X,O,X,O,O,X
IZSOTLJ,O,O,X,X,O,O,X,X,X,X,O,X
IZSOTJL,O,O,X,X,O,O,X,X,X,X,O,O
IZSOLTJ,O,O,X,X,O,O,X,X,X,X,O,X
IZSOLJT,O,O,X,X,O,O,X,O,X,O,O,X
IZSOJTL,O,X,X,X,X,O,X,X,X,X,O,O
IZSOJLT,O,O,O,X,X,O,X,O,X,O,O,X
IZOTLJS,O,O,X,X,X,O,X,X,O,X,X,O
IZOTLSJ,O,X,X,X,X,O,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,O,X,X,O,X,X,O
IZOTJSL,O,X,X,X,X,O,X,O,X,O,X,O
IZOTSLJ,O,X,X,X,X,O,X,O,X,O,X,X
IZOTSJL,O,X,X,X,X,O,X,O,X,O,X,O
IZOLTJS,O,O,X,X,X,O,X,X,X,X,X,O
IZOLTSJ,O,X,X,X,X,O,X,X,X,X,X,X
IZOLJTS,O,O,X,X,X,O,X,X,O,X,X,O
IZOLJST,O,X,O,X,X,O,X,X,O,X,X,X
IZOLSTJ,O,X,O,X,X,O,X,X,X,X,X,X
IZOLSJT,O,X,O,X,X,O,X,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X,O,X,X,O
IZOJTSL,O,X,X,X,X,O,X,O,X,O,X,O
IZOJLTS,O,O,X,X,X,X,X,X,O,X,X,O
IZOJLST,O,X,O,X,X,O,X,X,O,X,X,X
IZOJSTL,O,X,X,X,X,O,X,X,X,X,X,O
IZOJSLT,O,X,X,X,X,O,X,O,X,O,X,X
IZOSTLJ,O,X,X,X,X,O,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,O,X,X,X,X,X,O
IZOSLTJ,O,X,X,X,X,O,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,O,X,O,X,O,X,X
IZOSJTL,O,X,X,X,X,O,X,X,X,X,X,O
IZOSJLT,O,X,X,X,X,O,X,O,X,O,X,X
IOTLJSZ,O,X,X,O,X,X,O,O,O,X,X,X
IOTLJZS,X,X,X,X,X,O,O,X,O,X,X,X
IOTLSJZ,O,X,O,O,X,X,O,O,O,X,X,X
IOTLSZJ,O,X,O,X,X,O,X,O,X,X,X,X
IOTLZJS,X,X,O,X,X,O,O,X,O,X,X,X
IOTLZSJ,X,X,O,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,O,O,O,X,X,X
IOTJLZS,X,X,X,X,X,O,O,X,O,X,X,X
IOTJSLZ,O,X,X,O,X,X,O,O,O,X,X,X
IOTJSZL,O,X,X,O,X,X,X,O,X,X,X,X
IOTJZLS,X,X,X,X,X,O,O,X,O,X,X,O
IOTJZSL,O,X,X,X,X,O,X,O,X,X,X,O
IOTSLJZ,O,X,X,O,X,X,O,O,O,X,X,X
IOTSLZJ,O,X,X,X,X,O,X,O,X,X,X,X
IOTSJLZ,O,X,X,O,X,X,O,O,O,X,X,X
IOTSJZL,O,X,X,O,X,X,X,O,X,X,X,X
IOTSZLJ,O,X,X,X,X,O,X,O,X,X,X,X
IOTSZJL,O,X,X,X,X,O,X,O,X,X,X,X
IOTZLJS,X,X,O,X,X,O,O,X,O,X,X,O
IOTZLSJ,X,X,O,X,X,O,X,X,X,X,X,X
IOTZJLS,X,X,O,X,X,O,O,X,O,X,X,O
IOTZJSL,O,X,X,X,X,O,X,O,X,X,X,O
IOTZSLJ,O,X,X,X,X,O,X,O,X,X,X,X
IOTZSJL,O,X,X,X,X,O,X,O,X,X,X,O
IOLTJSZ,O,X,X,X,X,X,X,O,O,X,X,X
IOLTJZS,X,X,X,X,X,O,X,X,O,X,X,X
IOLTSJZ,O,X,O,X,X,X,X,O,O,X,X,X
IOLTSZJ,O,X,O,X,X,O,X,O,X,X,X,X
IOLTZJS,X,X,O,X,X,O,X,X,O,X,X,X
IOLTZSJ,X,X,O,X,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,X,O,O,X,X,X
IOLJTZS,X,X,X,X,X,O,X,X,O,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,O,X,X,X,X
IOLJSZT,O,X,X,O,X,X,X,O,O,X,X,X
IOLJZTS,X,X,X,X,X,O,X,X,O,X,X,O
IOLJZST,X,X,X,X,X,O,X,X,O,X,X,X
IOLSTJZ,O,X,O,X,X,X,X,O,X,X,X,X
IOLSTZJ,X,X,O,X,X,O,X,X,X,X,X,X
IOLSJTZ,O,X,O,O,X,X,X,O,X,X,X,X
IOLSJZT,O,X,O,O,X,X,X,O,O,X,O,X
IOLSZTJ,X,X,O,X,X,X,X,X,X,X,O,X
IOLSZJT,O,X,O,X,X,O,X,O,X,X,O,X
IOLZTJS,X,X,X,X,X,O,X,X,X,X,X,O
IOLZTSJ,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJTS,X,X,X,X,X,O,X,X,O,X,X,O
IOLZJST,X,X,O,X,X,O,X,X,O,X,X,X
IOLZSTJ,X,X,O,X,X,O,X,X,X,X,X,X
IOLZSJT,X,X,O,X,X,O,X,X,X,X,X,X
IOJTLSZ,O,X,X,O,X,X,O,O,O,X,X,X
IOJTLZS,X,X,X,X,X,O,O,X,O,X,X,X
IOJTSLZ,O,X,X,O,X,X,O,O,O,X,X,X
IOJTSZL,O,X,X,O,X,X,X,O,X,X,X,X
IOJTZLS,X,X,X,X,X,O,O,X,O,X,X,O
IOJTZSL,O,X,X,X,X,O,X,O,X,X,X,O
IOJLTSZ,O,X,X,X,X,X,X,O,O,X,X,X
IOJLTZS,X,X,X,X,X,O,X,X,O,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,O,X,X,X,X
IOJLSZT,O,X,X,O,X,X,X,O,O,X,X,X
IOJLZTS,X,X,X,X,X,O,X,X,O,X,X,O
IOJLZST,X,X,X,X,X,O,X,X,O,X,X,X
IOJSTLZ,O,X,X,O,X,X,X,O,O,X,X,X
IOJSTZL,O,X,X,O,X,X,X,O,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,O,X,X,X,X
IOJSLZT,O,X,X,O,X,X,X,O,O,X,X,X
IOJSZTL,X,X,X,O,X,X,X,X,X,X,X,O
IOJSZLT,O,X,X,O,X,X,X,O,X,X,X,X
IOJZTLS,X,X,X,X,X,X,X,X,O,X,X,O
IOJZTSL,O,X,X,X,X,O,X,O,X,X,X,O
IOJZLTS,X,X,X,X,X,X,X,X,O,X,X,O
IOJZLST,X,X,X,X,X,O,X,X,O,X,X,X
IOJZSTL,X,X,X,X,X,O,X,X,X,X,X,O
IOJZSLT,O,X,X,X,X,O,X,O,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,O,O,X,X,X
IOSTLZJ,O,X,X,X,X,O,X,O,X,X,X,X
IOSTJLZ,O,X,X,O,X,X,X,O,O,X,X,X
IOSTJZL,O,X,X,O,X,X,X,O,X,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,O,X,X,X,X
IOSTZJL,O,X,X,X,X,O,X,O,X,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,O,X,X,X,X
IOSLTZJ,X,X,X,X,X,O,X,X,X,X,X,X
IOSLJTZ,O,X,X,O,X,X,X,O,X,X,X,X
IOSLJZT,O,X,X,O,X,X,X,O,O,X,O,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,O,X
IOSLZJT,O,X,X,X,X,O,X,O,X,X,O,X
IOSJTLZ,O,X,X,O,X,X,X,O,O,X,X,X
IOSJTZL,O,X,X,O,X,X,X,O,X,X,X,X
IOSJLTZ,O,X,X,O,X,X,X,O,X,X,X,X
IOSJLZT,O,X,X,O,X,X,X,O,O,X,O,X
IOSJZTL,X,X,X,O,X,X,X,X,X,X,O,O
IOSJZLT,O,X,X,O,X,X,X,O,X,X,O,X
IOSZTLJ,X,X,X,X,X,O,X,X,X,X,O,X
IOSZTJL,X,X,X,X,X,O,X,X,X,X,O,O
IOSZLTJ,X,X,X,X,X,O,X,X,X,X,O,X
IOSZLJT,O,X,X,X,X,O,X,O,X,X,O,X
IOSZJTL,X,X,X,X,X,O,X,X,X,X,O,O
IOSZJLT,O,X,X,X,X,O,X,O,X,X,O,X
IOZTLJS,X,X,X,X,X,O,X,X,O,X,X,O
IOZTLSJ,X,X,X,X,X,O,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,O,X,X,O,X,X,O
IOZTJSL,O,X,X,X,X,O,X,O,X,X,X,O
IOZTSLJ,O,X,X,X,X,O,X,O,X,X,X,X
IOZTSJL,O,X,X,X,X,O,X,O,X,X,X,O
IOZLTJS,X,X,X,X,X,O,X,X,X,X,X,O
IOZLTSJ,X,X,X,X,X,O,X,X,X,X,X,X
IOZLJTS,X,X,X,X,X,O,X,X,O,X,X,O
IOZLJST,X,X,O,X,X,O,X,X,O,X,X,X
IOZLSTJ,X,X,O,X,X,O,X,X,X,X,X,X
IOZLSJT,X,X,O,X,X,O,X,X,X,X,X,X
IOZJTLS,X,X,X,X,X,X,X,X,O,X,X,O
IOZJTSL,O,X,X,X,X,O,X,O,X,X,X,O
IOZJLTS,X,X,X,X,X,X,X,X,O,X,X,O
IOZJLST,X,X,O,X,X,O,X,X,O,X,X,X
IOZJSTL,X,X,X,X,X,O,X,X,X,X,X,O
IOZJSLT,O,X,X,X,X,O,X,O,X,X,X,X
IOZSTLJ,X,X,X,X,X,O,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,O,X,X,X,X,X,O
IOZSLTJ,X,X,X,X,X,O,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,O,X,O,X,X,X,X
IOZSJTL,X,X,X,X,X,O,X,X,X,X,X,O
IOZSJLT,O,X,X,X,X,O,X,O,X,X,X,X
LTIJSZO,X,X,X,O,X,X,X,O,X,X,X,X
LTIJSOZ,X,X,X,O,X,X,X,O,O,X,X,X
LTIJZSO,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZOS,X,X,X,X,X,O,X,X,O,X,X,X
LTIJOSZ,X,X,X,X,X,X,O,O,O,X,X,X
LTIJOZS,X,X,X,X,X,O,O,X,O,X,X,X
LTISJZO,X,X,O,O,O,X,X,O,X,X,O,X
LTISJOZ,X,X,X,O,O,X,X,O,O,X,X,X
LTISZJO,X,X,O,X,O,O,X,O,X,X,O,X
LTISZOJ,X,X,O,X,O,O,X,O,X,X,O,X
LTISOJZ,X,X,O,O,O,X,X,O,O,X,X,X
LTISOZJ,X,X,O,X,O,O,X,O,X,X,X,X
LTIZJSO,X,X,O,X,O,O,X,X,X,X,X,X
LTIZJOS,X,X,O,X,X,O,X,X,O,X,X,X
LTIZSJO,X,X,O,X,O,O,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,O,O,X,X,X,X,X,X
LTIZOJS,X,X,O,X,X,O,X,X,O,X,X,X
LTIZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
LTIOJSZ,X,X,X,O,X,X,O,O,O,X,X,X
LTIOJZS,X,X,X,X,X,O,O,X,O,X,X,X
LTIOSJZ,X,X,O,O,X,X,O,O,O,X,X,X
LTIOSZJ,X,X,O,X,X,O,X,O,X,X,X,X
LTIOZJS,X,X,O,X,X,O,O,X,O,X,X,X
LTIOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
LTJISZO,O,X,X,O,X,X,X,O,X,X,X,X
LTJISOZ,O,X,X,O,X,X,X,O,O,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,X,O,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,O,O,X,X,X
LTJIOZS,X,X,X,X,X,X,X,X,O,X,X,X
LTJSIZO,O,O,O,O,O,X,X,O,X,O,X,X
LTJSIOZ,O,X,X,O,O,X,X,O,X,X,X,X
LTJSZIO,O,O,O,O,O,X,X,O,X,O,X,X
LTJSZOI,O,O,O,O,O,X,X,X,X,O,X,X
LTJSOIZ,O,X,O,O,X,X,X,O,X,X,X,X
LTJSOZI,O,O,O,O,X,X,X,X,X,O,X,X
LTJZISO,O,O,O,X,O,X,X,X,X,O,X,X
LTJZIOS,X,O,O,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,O,O,O,X,X,X,X,O,X,X
LTJZSOI,O,O,O,O,O,X,X,X,X,O,X,X
LTJZOIS,O,O,O,X,X,X,X,X,X,X,X,X
LTJZOSI,O,O,O,X,O,X,X,X,X,X,X,X
LTJOISZ,O,X,X,O,X,X,X,X,O,X,X,X
LTJOIZS,X,X,X,X,X,X,X,X,O,X,X,X
LTJOSIZ,O,X,O,O,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,O,X,X,X,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X,X,X,X,X
LTJOZSI,X,X,O,O,X,X,X,X,X,X,X,X
LTSIJZO,O,O,O,O,O,X,X,O,X,O,O,X
LTSIJOZ,O,X,X,O,O,X,O,O,O,X,X,X
LTSIZJO,O,O,O,X,O,X,X,O,X,O,O,X
LTSIZOJ,O,O,O,X,O,X,X,O,X,O,O,X
LTSIOJZ,O,X,O,O,O,X,O,O,O,X,X,X
LTSIOZJ,O,X,O,X,O,X,O,O,X,X,X,X
LTSJIZO,O,O,O,O,O,X,X,O,X,O,X,X
LTSJIOZ,O,X,X,O,O,X,O,O,X,X,X,X
LTSJZIO,O,O,O,O,O,X,X,O,X,O,X,X
LTSJZOI,O,O,O,O,O,X,X,X,X,O,X,X
LTSJOIZ,O,X,O,O,X,X,O,O,X,X,X,X
LTSJOZI,O,O,O,O,X,X,O,X,X,O,X,X
LTSZIJO,O,O,O,X,O,X,X,O,X,O,X,X
LTSZIOJ,O,O,O,X,O,X,X,O,X,O,X,X
LTSZJIO,O,O,O,O,O,X,X,O,X,O,X,X
LTSZJOI,O,O,O,O,O,X,X,X,X,O,X,X
LTSZOIJ,O,O,O,X,O,X,X,X,X,O,X,X
LTSZOJI,O,O,O,O,O,X,X,X,X,O,X,X
LTSOIJZ,O,X,O,O,O,X,O,O,O,X,X,X
LTSOIZJ,O,X,O,X,O,X,O,O,X,X,X,X
LTSOJIZ,O,X,O,O,O,X,O,O,X,X,X,X
LTSOJZI,O,O,O,O,O,X,O,X,X,O,X,X
LTSOZIJ,O,O,O,X,O,X,O,X,X,O,X,X
LTSOZJI,O,O,O,O,O,X,O,X,X,O,X,X
LTZIJSO,X,O,O,X,O,O,X,X,X,O,X,X
LTZIJOS,X,O,O,X,X,O,X,X,O,X,X,X
LTZISJO,X,O,O,X,O,O,X,X,X,O,X,X
LTZISOJ,X,X,O,X,O,O,X,X,X,O,X,X
LTZIOJS,X,O,O,X,X,O,X,X,O,X,X,X
LTZIOSJ,X,X,O,X,X,O,X,X,X,X,X,X
LTZJISO,O,O,O,X,O,O,X,X,X,O,X,X
LTZJIOS,X,O,O,X,X,O,X,X,X,X,X,X
LTZJSIO,O,O,O,O,O,X,X,X,X,O,X,X
LTZJSOI,O,O,O,O,O,X,X,X,X,O,X,X
LTZJOIS,O,O,O,X,O,O,X,X,X,X,X,X
LTZJOSI,O,O,O,X,O,X,X,X,X,X,X,X
LTZSIJO,O,O,O,X,O,X,X,X,X,O,X,X
LTZSIOJ,O,O,O,X,O,X,X,X,X,O,X,X
LTZSJIO,O,O,O,O,O,X,X,X,X,O,X,X
LTZSJOI,O,O,O,O,O,X,X,X,X,O,X,X
LTZSOIJ,O,O,O,X,O,X,X,X,X,O,X,X
LTZSOJI,O,O,O,O,O,X,X,X,X,O,X,X
LTZOIJS,O,O,O,X,O,O,X,X,O,X,X,X
LTZOISJ,O,X,O,X,O,O,X,X,X,X,X,X
LTZOJIS,O,O,O,X,O,O,X,X,X,X,X,X
LTZOJSI,O,O,O,O,O,X,X,X,X,X,X,X
LTZOSIJ,O,X,O,X,O,X,X,X,X,X,X,X
LTZOSJI,O,X,O,O,O,X,X,X,X,X,X,X
LTOIJSZ,O,X,X,O,X,X,O,X,O,X,X,X
LTOIJZS,X,X,X,X,X,O,O,X,O,X,X,X
LTOISJZ,O,X,O,O,O,X,O,X,O,X,X,X
LTOISZJ,O,X,O,X,O,O,O,X,X,X,X,X
LTOIZJS,X,X,O,X,O,O,O,X,O,X,X,X
LTOIZSJ,X,X,O,X,O,O,X,X,X,X,X,X
LTOJISZ,O,X,X,O,X,X,O,X,O,X,X,X
LTOJIZS,X,X,X,X,X,X,O,X,O,X,X,X
LTOJSIZ,O,X,O,O,O,X,O,X,X,X,X,X
LTOJSZI,O,X,O,O,O,X,O,X,X,X,X,X
LTOJZIS,X,X,O,X,O,X,X,X,X,X,X,X
LTOJZSI,X,X,O,O,O,X,X,X,X,X,X,X
LTOSIJZ,O,X,O,O,O,X,O,X,O,X,X,X
LTOSIZJ,O,X,O,X,O,X,O,X,X,X,X,X
LTOSJIZ,O,X,O,O,O,X,O,X,X,X,X,X
