sequence,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFRbB/iBajBzgBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFygB2iB0fBziB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBmdBKlBzgB0iBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbByiBmgB0iBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBidBOlB8lBziBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hFibBmdB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jem7Iv?hFidBxfBziB0fB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFzbB/iBajBRlBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gByiB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFehB/iBajB0fBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jei6Iv?hFzbBRlB3nBUlBmnBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gBliBRlB8sB3qBisB
TJLIOZS,X,X,X,X,X,X,X,X,O,X,X,X
TJLSIZO,O,O,O,O,O,X,X,O,X,O,X,X
TJLSIOZ,O,X,X,O,O,X,X,O,X,X,X,X
TJLSZIO,O,O,O,O,O,X,X,O,X,O,X,X
TJLSZOI,O,O,O,O,O,X,X,X,X,O,X,X
TJLSOIZ,O,X,O,O,X,X,X,O,X,X,X,X
TJLSOZI,O,O,O,O,X,X,X,X,X,O,X,X
TJLZISO,O,O,O,X,O,X,X,X,X,O,X,X
TJLZIOS,X,O,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,O,O,O,X,X,X,X,O,X,X
TJLZSOI,O,O,O,O,O,X,X,X,X,O,X,X
TJLZOIS,O,O,O,X,X,X,X,X,X,X,X,X
TJLZOSI,O,O,O,X,O,X,X,X,X,X,X,X
TJLOISZ,O,X,X,O,X,X,X,X,O,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,O,X,O,O,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,O,X,X,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,O,O,X,X,X,X,X,X,X,X
TJSILZO,O,O,X,O,O,X,X,O,X,O,X,X
TJSILOZ,O,X,X,O,O,X,O,O,X,X,X,X
TJSIZLO,O,O,O,O,X,X,X,O,X,O,X,X
TJSIZOL,O,O,O,X,X,X,O,O,X,O,X,X
TJSIOLZ,O,X,X,O,O,X,O,O,X,X,X,X
TJSIOZL,O,X,X,X,X,X,O,O,X,X,X,X
TJSLIZO,O,O,O,O,O,X,X,O,X,O,X,X
TJSLIOZ,O,X,X,O,O,X,O,O,X,X,X,X
TJSLZIO,O,O,O,O,O,X,X,O,X,O,X,X
TJSLZOI,O,O,O,O,O,X,X,X,X,O,X,X
TJSLOIZ,O,X,O,O,X,X,O,O,X,X,X,X
TJSLOZI,O,O,O,O,X,X,O,X,X,O,X,X
TJSZILO,O,O,O,O,O,X,X,O,X,O,X,X
TJSZIOL,O,O,O,X,O,X,O,O,X,O,X,X
TJSZLIO,O,O,O,O,O,X,X,O,X,O,X,X
TJSZLOI,O,O,O,O,O,X,X,X,X,O,X,X
TJSZOIL,O,O,O,X,O,X,O,X,X,O,X,X
TJSZOLI,O,O,O,X,O,X,O,X,X,O,X,X
TJSOILZ,O,X,X,O,O,X,O,O,X,X,X,X
TJSOIZL,O,X,X,O,X,X,O,O,X,X,X,X
TJSOLIZ,O,X,X,O,O,X,O,O,X,X,X,X
TJSOLZI,O,O,X,O,O,X,O,X,X,O,X,X
TJSOZIL,O,O,X,O,O,X,O,X,X,O,X,X
TJSOZLI,O,O,X,O,O,X,O,X,X,O,X,X
TJZILSO,O,O,O,X,O,O,X,X,X,O,X,X
TJZILOS,X,O,O,X,X,O,X,X,X,X,X,X
TJZISLO,O,O,O,X,O,O,X,O,X,O,X,X
TJZISOL,O,O,O,X,O,O,X,O,X,O,X,X
TJZIOLS,O,O,O,X,O,O,X,X,X,X,X,X
TJZIOSL,O,X,X,X,O,O,X,O,X,O,X,X
TJZLISO,O,O,O,X,O,O,X,X,X,O,X,X
TJZLIOS,X,O,O,X,X,O,X,X,X,X,X,X
TJZLSIO,O,O,O,O,O,X,X,X,X,O,X,X
TJZLSOI,O,O,O,O,O,X,X,X,X,O,X,X
TJZLOIS,O,O,O,X,O,O,X,X,X,X,X,X
