sequence,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFzgBfnBxiBGoBFr?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFFhB8mBziB5oBfr?BmsB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFRhBGjBfrB0mBln?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFXhBxiBzmBStBmq?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeRAJvhF3hBTlBlnBctBir?BGtB,v115@9gA8IeB8HeB8HeD8AeC8LeUAJvhFRhBSoBlmB3nBmq?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFxhB3lBcrBTnBOt?B6tB
TOILSJZ,O,X,O,O,X,X,X
TOILSZJ,O,X,O,X,O,O,X
TOILZJS,O,X,O,O,O,O,X
TOILZSJ,O,X,X,X,O,O,X
TOIJLSZ,X,X,O,O,X,O,X
TOIJLZS,X,X,O,O,X,O,X
TOIJSLZ,X,X,O,O,X,O,X
TOIJSZL,X,X,O,O,X,O,O
TOIJZLS,X,X,O,X,X,O,X
TOIJZSL,X,X,X,O,X,O,O
TOISLJZ,O,X,O,X,X,X,X
TOISLZJ,O,X,O,X,X,O,X
TOISJLZ,O,X,O,O,X,X,X
TOISJZL,X,X,O,O,X,X,O
TOISZLJ,O,X,O,X,X,O,O
TOISZJL,O,X,O,X,X,X,O
TOIZLJS,O,X,O,X,O,O,X
TOIZLSJ,O,X,X,X,O,O,X
TOIZJLS,O,X,O,X,X,O,X
TOIZJSL,O,X,X,O,X,X,O
TOIZSLJ,O,X,X,X,X,O,O
TOIZSJL,O,X,X,X,X,X,O
TOLIJSZ,X,X,O,O,X,O,X
TOLIJZS,X,X,O,O,X,O,X
TOLISJZ,O,X,O,O,X,X,X
TOLISZJ,O,X,O,X,O,O,X
TOLIZJS,O,X,O,O,O,O,X
TOLIZSJ,O,X,X,X,O,O,X
TOLJISZ,X,X,O,O,X,O,X
TOLJIZS,X,X,O,O,X,O,X
TOLJSIZ,O,X,O,O,X,O,X
TOLJSZI,O,X,O,O,X,O,O
TOLJZIS,O,X,O,O,X,O,X
TOLJZSI,O,X,O,O,X,O,X
TOLSIJZ,O,X,O,O,X,X,X
TOLSIZJ,O,X,O,X,O,O,X
TOLSJIZ,O,X,O,O,X,O,X
TOLSJZI,O,X,O,O,X,O,O
TOLSZIJ,O,X,O,X,O,O,O
TOLSZJI,O,X,O,X,O,O,O
TOLZIJS,O,X,O,O,O,O,X
TOLZISJ,O,X,X,X,O,O,X
TOLZJIS,O,X,O,O,O,O,X
TOLZJSI,O,X,O,O,O,O,X
TOLZSIJ,O,X,O,X,O,O,X
TOLZSJI,O,X,O,X,O,O,X
TOJILSZ,X,X,O,O,X,O,X
TOJILZS,X,X,O,O,X,O,X
TOJISLZ,X,X,O,O,X,O,X
TOJISZL,X,X,O,O,X,O,O
TOJIZLS,X,X,O,X,X,O,X
TOJIZSL,X,X,X,O,X,O,O
TOJLISZ,X,X,O,O,X,O,X
TOJLIZS,X,X,O,O,X,O,X
TOJLSIZ,O,X,O,O,X,O,X
TOJLSZI,O,X,O,O,X,O,O
TOJLZIS,O,X,O,O,X,O,X
TOJLZSI,O,X,O,O,X,O,X
TOJSILZ,O,X,O,O,X,O,X
TOJSIZL,X,X,O,O,X,O,O
TOJSLIZ,O,X,O,O,X,O,X
TOJSLZI,O,X,O,O,X,O,O
TOJSZIL,O,X,O,O,X,O,O
TOJSZLI,O,X,O,O,X,O,O
TOJZILS,O,X,O,X,X,O,X
TOJZISL,O,X,X,O,X,O,O
TOJZLIS,O,X,O,O,X,O,X
TOJZLSI,O,X,O,O,X,O,X
TOJZSIL,O,X,O,O,X,O,O
TOJZSLI,O,X,O,O,X,O,O
TOSILJZ,O,X,O,X,X,X,X
TOSILZJ,O,X,O,X,X,O,X
TOSIJLZ,O,X,O,O,X,X,X
TOSIJZL,X,X,O,O,X,X,O
TOSIZLJ,O,X,O,X,X,O,O
TOSIZJL,O,X,O,X,X,X,O
TOSLIJZ,O,X,O,O,X,X,X
TOSLIZJ,O,X,O,X,X,O,X
TOSLJIZ,O,X,O,O,X,O,X
TOSLJZI,O,X,O,O,X,O,O
TOSLZIJ,O,X,O,X,X,O,O
TOSLZJI,O,X,O,X,X,O,O
TOSJILZ,O,X,O,O,X,O,X
TOSJIZL,X,X,O,O,X,O,O
TOSJLIZ,O,X,O,O,X,O,X
TOSJLZI,O,X,O,O,X,O,O
TOSJZIL,O,X,O,O,X,O,O
TOSJZLI,O,X,O,O,X,O,O
TOSZILJ,O,X,O,X,X,O,O
TOSZIJL,O,X,O,X,X,X,O
TOSZLIJ,O,X,O,X,X,O,O
TOSZLJI,O,X,O,X,X,O,O
TOSZJIL,O,X,O,X,X,X,O
TOSZJLI,O,X,O,X,X,X,O
TOZILJS,O,X,O,X,O,O,X
TOZILSJ,O,X,X,X,O,O,X
TOZIJLS,O,X,O,X,X,O,X
TOZIJSL,O,X,X,O,X,X,O
TOZISLJ,O,X,X,X,O,O,O
TOZISJL,O,X,X,X,X,X,O
TOZLIJS,O,X,O,O,O,O,X
TOZLISJ,O,X,X,X,O,O,X
TOZLJIS,O,X,O,O,O,O,X
TOZLJSI,O,X,O,O,O,O,X
TOZLSIJ,O,X,O,X,O,O,X
TOZLSJI,O,X,O,X,O,O,X
TOZJILS,O,X,O,X,X,O,X
TOZJISL,O,X,X,O,X,O,O
TOZJLIS,O,X,O,O,O,O,X
TOZJLSI,O,X,O,O,O,O,X
TOZJSIL,O,X,O,O,X,O,O
TOZJSLI,O,X,O,O,O,O,O
TOZSILJ,O,X,O,X,O,O,O
TOZSIJL,O,X,O,X,X,X,O
TOZSLIJ,O,X,O,X,O,O,O
TOZSLJI,O,X,O,X,O,O,O
TOZSJIL,O,X,O,X,X,X,O
TOZSJLI,O,X,O,X,O,X,O
ITLJSZO,X,O,O,X,X,X,X
ITLJSOZ,X,O,O,X,X,X,X
ITLJZSO,X,O,O,X,X,X,X
ITLJZOS,X,O,X,X,X,X,X
ITLJOSZ,X,O,O,O,X,X,X
ITLJOZS,X,O,X,O,X,X,X
ITLSJZO,X,O,O,X,X,X,X
ITLSJOZ,O,O,O,X,X,X,X
ITLSZJO,O,O,O,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X
ITLSOJZ,O,X,O,O,X,X,X
ITLSOZJ,O,O,X,X,X,X,X
ITLZJSO,O,O,O,X,X,X,X
ITLZJOS,O,O,X,X,X,X,X
ITLZSJO,O,O,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X
ITLZOJS,O,X,X,O,X,O,X
ITLZOSJ,O,X,X,X,X,O,X
ITLOJSZ,X,X,O,O,X,X,X
ITLOJZS,X,X,X,O,X,O,X
ITLOSJZ,O,X,X,O,X,X,X
ITLOSZJ,O,X,X,X,X,O,X
ITLOZJS,O,X,X,O,X,O,X
ITLOZSJ,O,X,X,X,X,O,X
ITJLSZO,X,O,O,X,X,X,X
ITJLSOZ,X,O,O,X,X,X,X
ITJLZSO,X,O,O,X,X,X,X
ITJLZOS,X,O,X,X,X,O,X
ITJLOSZ,X,O,O,X,X,O,X
ITJLOZS,X,O,X,X,X,O,X
ITJSLZO,X,O,O,X,X,X,X
ITJSLOZ,X,O,O,X,X,X,X
ITJSZLO,X,O,O,X,X,X,X
ITJSZOL,X,O,O,X,X,O,O
ITJSOLZ,X,O,O,X,X,O,X
ITJSOZL,X,O,X,X,X,O,O
ITJZLSO,X,O,O,X,X,X,X
ITJZLOS,X,O,X,X,X,O,X
ITJZSLO,X,O,X,X,X,X,X
ITJZSOL,X,O,X,X,X,O,X
ITJZOLS,X,O,X,X,X,O,X
ITJZOSL,X,O,X,X,X,O,X
ITJOLSZ,X,O,O,X,X,O,X
ITJOLZS,X,O,X,X,X,O,X
ITJOSLZ,X,O,X,X,X,O,X
ITJOSZL,X,O,X,X,X,O,O
ITJOZLS,X,O,X,X,X,O,X
ITJOZSL,X,O,X,X,X,O,X
ITSLJZO,X,O,O,X,X,X,X
ITSLJOZ,O,O,O,X,X,X,X
ITSLZJO,O,O,O,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X
ITSLOJZ,O,X,O,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X
ITSJLZO,X,O,O,X,X,X,X
ITSJLOZ,O,O,O,X,X,X,X
ITSJZLO,X,O,O,X,X,X,X
ITSJZOL,X,O,O,X,X,X,O
ITSJOLZ,O,O,O,X,X,X,X
ITSJOZL,X,O,X,X,X,X,O
ITSZLJO,O,O,O,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,O
ITSZJLO,O,O,O,X,X,X,X
ITSZJOL,O,O,O,X,X,X,O
ITSZOLJ,O,O,O,X,X,O,O
ITSZOJL,O,O,O,X,X,X,O
ITSOLJZ,O,X,O,X,X,X,X
ITSOLZJ,O,O,X,X,X,O,X
ITSOJLZ,O,X,O,X,X,X,X
ITSOJZL,X,X,X,X,X,X,O
ITSOZLJ,O,O,X,X,X,O,O
ITSOZJL,O,O,X,X,X,X,O
ITZLJSO,O,O,O,X,X,X,X
ITZLJOS,O,O,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X
ITZLOJS,O,X,X,X,X,O,X
ITZLOSJ,O,X,X,X,X,O,X
ITZJLSO,O,O,O,X,X,X,X
ITZJLOS,O,O,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X
ITZJOLS,O,O,X,X,X,O,X
ITZJOSL,O,O,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,O,X
ITZSOJL,O,O,X,X,X,X,X
ITZOLJS,O,X,X,X,O,O,X
ITZOLSJ,O,X,X,X,O,O,X
ITZOJLS,O,X,X,X,X,O,X
ITZOJSL,O,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,O,X
ITZOSJL,O,X,X,X,X,X,X
ITOLJSZ,X,X,O,O,X,O,X
ITOLJZS,X,X,X,O,X,O,X
ITOLSJZ,O,X,X,O,X,X,X
ITOLSZJ,O,X,X,X,O,O,X
ITOLZJS,O,X,X,O,O,O,X
ITOLZSJ,O,X,X,X,O,O,X
ITOJLSZ,X,X,O,O,X,O,X
ITOJLZS,X,X,X,O,X,O,X
ITOJSLZ,X,X,X,O,X,O,X
ITOJSZL,X,X,X,O,X,O,O
ITOJZLS,X,X,X,X,X,O,X
ITOJZSL,X,X,X,O,X,O,X
ITOSLJZ,O,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,O,X
ITOSJLZ,O,X,X,O,X,X,X
ITOSJZL,X,X,X,O,X,X,O
ITOSZLJ,O,X,X,X,X,O,O
ITOSZJL,O,X,X,X,X,X,O
ITOZLJS,O,X,X,X,O,O,X
ITOZLSJ,O,X,X,X,O,O,X
ITOZJLS,O,X,X,X,X,O,X
ITOZJSL,O,X,X,O,X,X,X
ITOZSLJ,O,X,X,X,X,O,X
ITOZSJL,O,X,X,X,X,X,X
ILTJSZO,X,O,O,O,X,X,X
ILTJSOZ,X,O,O,O,X,X,X
ILTJZSO,X,O,O,O,X,X,X
ILTJZOS,X,O,X,X,X,X,X
ILTJOSZ,X,O,O,O,X,X,X
ILTJOZS,X,O,X,O,X,X,X
ILTSJZO,X,O,O,X,X,X,X
ILTSJOZ,O,O,O,X,X,X,X
ILTSZJO,O,O,O,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X
ILTSOJZ,O,X,O,O,X,X,X
ILTSOZJ,O,O,X,X,X,X,X
ILTZJSO,O,O,O,X,X,X,X
ILTZJOS,O,O,X,X,X,X,X
ILTZSJO,O,O,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X
ILTZOJS,O,X,X,O,X,X,X
ILTZOSJ,O,X,X,X,X,X,X
ILTOJSZ,X,X,O,O,X,X,X
ILTOJZS,X,X,X,O,X,X,X
ILTOSJZ,O,X,X,O,X,X,X
ILTOSZJ,O,X,X,X,X,X,X
ILTOZJS,O,X,X,O,X,X,X
ILTOZSJ,O,X,X,X,X,X,X
ILJTSZO,X,O,X,O,X,X,X
ILJTSOZ,X,O,X,O,X,X,X
ILJTZSO,X,O,X,O,X,X,X
ILJTZOS,X,O,X,X,X,X,X
ILJTOSZ,X,O,X,O,X,X,X
ILJTOZS,X,O,X,O,X,X,X
ILJSTZO,X,O,X,O,X,X,X
ILJSTOZ,X,O,X,O,X,X,X
ILJSZTO,X,O,X,O,X,X,X
ILJSZOT,X,O,X,X,X,X,X
ILJSOTZ,X,O,X,O,X,X,X
ILJSOZT,X,O,X,X,X,X,X
ILJZTSO,X,O,X,O,X,X,X
ILJZTOS,X,O,X,X,X,X,X
ILJZSTO,X,O,X,O,X,X,X
ILJZSOT,X,O,X,X,X,X,X
ILJZOTS,X,O,X,X,X,X,X
ILJZOST,X,O,X,X,X,X,X
ILJOTSZ,X,O,X,O,X,X,X
ILJOTZS,X,O,X,O,X,X,X
ILJOSTZ,X,O,X,O,X,X,X
ILJOSZT,X,O,X,O,X,X,X
ILJOZTS,X,O,X,O,X,X,X
ILJOZST,X,O,X,O,X,X,X
ILSTJZO,X,O,O,X,X,X,X
ILSTJOZ,O,O,O,X,X,X,X
ILSTZJO,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,X
ILSTOJZ,O,X,O,O,X,X,X
ILSTOZJ,O,O,O,X,X,X,X
ILSJTZO,X,O,O,O,X,X,X
ILSJTOZ,O,O,O,O,X,X,X
ILSJZTO,X,O,O,O,X,X,X
ILSJZOT,X,O,O,X,X,X,X
ILSJOTZ,X,O,O,O,X,X,X
ILSJOZT,X,O,O,X,X,X,X
ILSZTJO,O,O,O,X,X,X,X
ILSZTOJ,O,O,O,X,O,X,X
ILSZJTO,O,O,O,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X
ILSZOTJ,O,O,O,X,O,X,X
ILSZOJT,X,O,O,X,O,X,X
ILSOTJZ,O,X,O,O,X,X,X
ILSOTZJ,O,O,O,X,O,X,X
ILSOJTZ,X,O,O,O,X,X,X
ILSOJZT,X,O,O,O,O,X,X
ILSOZTJ,X,O,O,X,O,X,X
ILSOZJT,X,O,O,O,O,X,X
ILZTJSO,O,O,X,X,X,X,X
ILZTJOS,O,O,X,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X
ILZTSOJ,O,O,X,X,O,X,X
ILZTOJS,O,X,X,O,O,X,X
ILZTOSJ,O,X,X,X,O,X,X
ILZJTSO,O,O,X,O,X,X,X
ILZJTOS,O,O,X,X,X,X,X
ILZJSTO,O,O,X,O,X,X,X
ILZJSOT,O,O,X,X,X,X,X
ILZJOTS,X,O,X,X,X,X,X
ILZJOST,O,O,X,X,X,X,X
ILZSTJO,O,O,X,X,X,X,X
ILZSTOJ,O,O,X,X,O,X,X
ILZSJTO,O,O,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X
ILZSOTJ,O,O,X,X,O,X,X
ILZSOJT,X,O,X,X,O,X,X
ILZOTJS,X,X,X,O,O,X,X
ILZOTSJ,X,X,X,X,O,X,X
ILZOJTS,X,O,X,O,O,X,X
ILZOJST,X,O,X,O,O,X,X
ILZOSTJ,X,O,X,X,O,X,X
ILZOSJT,X,O,X,O,O,X,X
ILOTJSZ,X,X,O,O,X,X,X
ILOTJZS,X,X,O,O,X,X,X
ILOTSJZ,X,X,O,O,X,X,X
ILOTSZJ,X,X,O,X,O,X,X
ILOTZJS,X,X,O,O,O,X,X
ILOTZSJ,X,X,X,X,O,X,X
ILOJTSZ,X,O,O,O,X,X,X
ILOJTZS,X,O,O,O,X,X,X
ILOJSTZ,X,O,O,O,X,X,X
ILOJSZT,X,O,O,O,O,X,X
ILOJZTS,X,O,X,O,O,X,X
ILOJZST,X,O,X,O,O,X,X
ILOSTJZ,X,X,O,O,X,X,X
ILOSTZJ,X,O,O,X,O,X,X
ILOSJTZ,X,O,O,O,X,X,X
ILOSJZT,X,O,O,O,O,X,X
ILOSZTJ,X,O,O,X,O,X,X
ILOSZJT,X,O,O,O,O,X,X
ILOZTJS,X,X,X,O,O,X,X
ILOZTSJ,X,X,X,X,O,X,X
ILOZJTS,X,O,X,O,O,X,X
ILOZJST,X,O,X,O,O,X,X
ILOZSTJ,X,O,X,X,O,X,X
ILOZSJT,X,O,X,O,O,X,X
IJTLSZO,X,O,X,O,X,X,X
IJTLSOZ,X,O,X,O,X,X,X
IJTLZSO,X,O,X,O,X,X,X
IJTLZOS,X,O,X,X,X,O,X
IJTLOSZ,X,O,X,O,X,O,X
IJTLOZS,X,O,X,O,X,O,X
IJTSLZO,X,O,X,O,X,X,X
IJTSLOZ,X,O,X,O,X,X,X
IJTSZLO,X,O,X,X,X,X,X
IJTSZOL,X,O,X,X,X,O,O
IJTSOLZ,X,O,X,O,X,O,X
IJTSOZL,X,O,X,O,X,O,O
IJTZLSO,X,O,X,X,X,X,X
IJTZLOS,X,O,X,X,X,O,X
IJTZSLO,X,O,X,X,X,X,X
IJTZSOL,X,O,X,X,X,O,X
IJTZOLS,X,O,X,X,X,O,X
IJTZOSL,X,O,X,X,X,O,X
IJTOLSZ,X,O,X,O,X,O,X
IJTOLZS,X,O,X,O,X,O,X
IJTOSLZ,X,O,X,O,X,O,X
IJTOSZL,X,O,X,O,X,O,O
IJTOZLS,X,O,X,X,X,O,X
IJTOZSL,X,O,X,O,X,O,X
IJLTSZO,X,O,X,O,X,X,X
IJLTSOZ,X,O,X,O,X,X,X
IJLTZSO,X,O,X,O,X,X,X
IJLTZOS,X,O,X,X,X,X,X
IJLTOSZ,X,O,X,O,X,X,X
IJLTOZS,X,O,X,O,X,X,X
IJLSTZO,X,O,X,O,X,X,X
IJLSTOZ,X,O,X,O,X,X,X
IJLSZTO,X,O,X,O,X,X,X
IJLSZOT,X,O,X,X,X,X,X
IJLSOTZ,X,O,X,O,X,X,X
IJLSOZT,X,O,X,X,X,X,X
IJLZTSO,X,O,X,O,X,X,X
IJLZTOS,X,O,X,X,X,X,X
IJLZSTO,X,O,X,O,X,X,X
IJLZSOT,X,O,X,X,X,X,X
IJLZOTS,X,O,X,X,X,X,X
IJLZOST,X,O,X,X,X,X,X
IJLOTSZ,X,O,X,O,X,X,X
IJLOTZS,X,O,X,O,X,X,X
IJLOSTZ,X,O,X,O,X,X,X
IJLOSZT,X,O,X,O,X,X,X
IJLOZTS,X,O,X,O,X,X,X
IJLOZST,X,O,X,O,X,X,X
IJSTLZO,X,O,X,O,X,X,X
IJSTLOZ,X,O,X,O,X,X,X
IJSTZLO,X,O,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,O
IJSTOLZ,X,O,X,O,X,X,X
IJSTOZL,X,O,X,O,X,X,O
IJSLTZO,X,O,X,O,X,X,X
IJSLTOZ,X,O,X,O,X,X,X
IJSLZTO,X,O,X,O,X,X,X
IJSLZOT,X,O,X,X,X,X,X
IJSLOTZ,X,O,X,O,X,X,X
IJSLOZT,X,O,X,X,X,X,X
IJSZTLO,X,O,X,X,X,X,X
IJSZTOL,X,O,X,X,X,X,X
IJSZLTO,X,O,X,X,X,X,X
IJSZLOT,X,O,X,X,X,X,X
IJSZOTL,X,O,X,X,X,X,X
IJSZOLT,X,O,X,X,X,X,X
IJSOTLZ,X,O,X,O,X,X,X
IJSOTZL,X,O,X,O,X,X,O
IJSOLTZ,X,O,X,O,X,X,X
IJSOLZT,X,O,X,O,X,X,X
IJSOZTL,X,O,X,O,X,X,X
IJSOZLT,X,O,X,X,X,X,X
IJZTLSO,X,O,X,X,X,X,X
IJZTLOS,X,O,X,X,X,O,X
IJZTSLO,X,O,X,X,X,X,X
IJZTSOL,X,O,X,X,X,O,X
IJZTOLS,X,O,X,X,X,O,X
IJZTOSL,X,O,X,X,X,O,X
IJZLTSO,X,O,X,X,X,X,X
IJZLTOS,X,O,X,X,X,O,X
IJZLSTO,X,O,X,X,X,X,X
IJZLSOT,X,O,X,X,X,X,X
IJZLOTS,X,O,X,X,X,O,X
IJZLOST,X,O,X,X,X,X,X
IJZSTLO,X,O,X,X,X,X,X
IJZSTOL,X,O,X,X,X,O,O
IJZSLTO,X,O,X,X,X,X,X
IJZSLOT,X,O,X,X,X,X,X
IJZSOTL,X,O,X,X,X,O,O
IJZSOLT,X,O,X,X,X,X,O
IJZOTLS,X,O,X,X,X,O,X
IJZOTSL,X,O,X,X,X,O,O
IJZOLTS,X,O,X,X,O,O,X
IJZOLST,X,O,X,X,O,X,O
IJZOSTL,X,O,X,X,X,O,O
IJZOSLT,X,O,X,X,X,X,O
IJOTLSZ,X,O,X,O,X,O,X
IJOTLZS,X,O,X,O,X,O,X
IJOTSLZ,X,O,X,O,X,O,X
IJOTSZL,X,O,X,O,X,O,O
IJOTZLS,X,O,X,X,X,O,X
IJOTZSL,X,O,X,O,X,O,O
IJOLTSZ,X,O,X,O,X,O,X
IJOLTZS,X,O,X,O,X,O,X
IJOLSTZ,X,O,X,O,X,X,X
IJOLSZT,X,O,X,O,O,X,X
IJOLZTS,X,O,X,O,O,O,X
IJOLZST,X,O,X,O,O,X,O
IJOSTLZ,X,O,X,O,X,X,X
IJOSTZL,X,O,X,O,X,X,O
IJOSLTZ,X,O,X,O,X,X,X
IJOSLZT,X,O,X,O,X,X,X
IJOSZTL,X,O,X,O,X,X,O
IJOSZLT,X,O,X,X,X,X,O
IJOZTLS,X,O,X,X,X,O,X
IJOZTSL,X,O,X,O,X,O,O
IJOZLTS,X,O,X,X,O,O,X
IJOZLST,X,O,X,X,O,X,O
IJOZSTL,X,O,X,O,X,O,O
IJOZSLT,X,O,X,X,X,X,O
ISTLJZO,X,O,O,X,X,X,X
ISTLJOZ,O,O,O,X,X,X,X
ISTLZJO,O,O,O,X,X,X,X
ISTLZOJ,O,O,O,X,X,X,X
ISTLOJZ,O,X,O,X,X,X,X
ISTLOZJ,O,O,O,X,X,X,X
ISTJLZO,X,O,O,X,X,X,X
ISTJLOZ,O,O,O,X,X,X,X
ISTJZLO,X,O,O,X,X,X,X
ISTJZOL,X,O,O,X,X,X,O
ISTJOLZ,O,O,O,X,X,X,X
ISTJOZL,X,O,X,X,X,X,O
ISTZLJO,O,O,O,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,O
ISTZJLO,O,O,O,X,X,X,X
ISTZJOL,O,O,O,X,X,X,O
ISTZOLJ,O,O,O,X,X,X,O
ISTZOJL,O,O,O,X,X,X,O
ISTOLJZ,O,X,O,X,X,X,X
ISTOLZJ,O,O,O,X,X,X,X
ISTOJLZ,O,X,O,X,X,X,X
ISTOJZL,X,X,O,X,X,X,O
ISTOZLJ,O,O,O,X,X,X,O
ISTOZJL,O,O,O,X,X,X,O
ISLTJZO,X,O,O,X,X,X,X
ISLTJOZ,O,O,O,X,X,X,X
ISLTZJO,O,O,O,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X
ISLTOJZ,O,X,O,X,X,X,X
ISLTOZJ,O,O,O,X,X,X,X
ISLJTZO,X,O,O,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,X
ISLJZTO,X,O,O,X,X,X,X
ISLJZOT,X,O,O,X,X,X,X
ISLJOTZ,X,O,O,X,X,X,X
ISLJOZT,X,O,O,X,X,X,X
ISLZTJO,O,O,O,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X
ISLZJTO,O,O,O,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,X
ISLZOJT,X,O,O,X,X,X,X
ISLOTJZ,O,X,O,X,X,X,X
ISLOTZJ,O,O,O,X,X,X,X
ISLOJTZ,X,O,O,X,X,X,X
ISLOJZT,X,O,O,X,X,X,X
ISLOZTJ,X,O,O,X,X,X,X
ISLOZJT,X,O,O,X,X,X,X
ISJTLZO,X,O,O,X,X,X,X
ISJTLOZ,O,O,O,X,X,X,X
ISJTZLO,X,O,O,X,X,X,X
ISJTZOL,X,O,X,X,X,X,O
ISJTOLZ,O,O,O,X,X,X,X
ISJTOZL,X,O,X,X,X,X,O
ISJLTZO,X,O,O,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,X
ISJLZTO,X,O,O,X,X,X,X
ISJLZOT,X,O,O,X,X,X,X
ISJLOTZ,X,O,O,X,X,X,X
ISJLOZT,X,O,O,X,X,X,X
ISJZTLO,X,O,O,X,X,X,X
ISJZTOL,X,O,O,X,X,X,X
ISJZLTO,X,O,O,X,X,X,X
ISJZLOT,X,O,O,X,X,X,X
ISJZOTL,X,O,O,X,X,X,X
ISJZOLT,X,O,O,X,X,X,X
ISJOTLZ,X,O,O,X,X,X,X
ISJOTZL,X,O,O,X,X,X,O
ISJOLTZ,X,O,O,X,X,X,X
ISJOLZT,X,O,O,X,X,X,X
ISJOZTL,X,O,O,X,X,X,X
ISJOZLT,X,O,O,X,X,X,X
ISZTLJO,O,O,O,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X
ISZTJLO,O,O,O,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X
ISZLJOT,O,O,O,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,X,O,O,X,X,X,X
ISZJTLO,O,O,O,X,X,X,X
ISZJTOL,O,O,O,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X
ISZJLOT,O,O,O,X,X,X,X
ISZJOTL,O,O,O,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X
ISZOLTJ,O,O,O,X,O,X,X
ISZOLJT,X,O,O,X,O,X,X
ISZOJTL,X,O,O,X,X,X,X
ISZOJLT,X,O,O,X,X,X,X
ISOTLJZ,O,X,O,X,X,X,X
ISOTLZJ,O,O,O,X,X,X,X
ISOTJLZ,O,X,O,X,X,X,X
ISOTJZL,X,X,O,X,X,X,O
ISOTZLJ,O,O,O,X,X,X,O
ISOTZJL,X,O,O,X,X,X,O
ISOLTJZ,O,X,O,X,X,X,X
ISOLTZJ,O,O,O,X,O,X,X
ISOLJTZ,X,O,O,X,X,X,X
ISOLJZT,X,O,O,X,O,X,X
ISOLZTJ,X,O,O,X,O,X,X
ISOLZJT,X,O,O,X,O,X,X
ISOJTLZ,X,O,O,X,X,X,X
ISOJTZL,X,O,O,X,X,X,O
ISOJLTZ,X,O,O,X,X,X,X
ISOJLZT,X,O,O,X,X,X,X
ISOJZTL,X,O,O,X,X,X,X
ISOJZLT,X,O,O,X,X,X,X
ISOZTLJ,X,O,O,X,X,X,X
ISOZTJL,X,O,O,X,X,X,X
ISOZLTJ,X,O,O,X,O,X,X
ISOZLJT,X,O,O,X,O,X,X
ISOZJTL,X,O,O,X,X,X,X
ISOZJLT,X,O,O,X,X,X,X
IZTLJSO,O,O,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X
IZTLOJS,O,X,X,X,X,O,X
IZTLOSJ,O,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X
IZTJOLS,O,O,X,X,X,O,X
IZTJOSL,O,O,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,O
