sequence,v115@6gB8HeB8FeD8EeE8AeB8AeG8Jei6IvhFzcB5jBckBm?gB3gBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JecAJvhFmcB5jBTfBX?hBikBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8Je/AJvhFahBzcB5jBO?kB0fBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeaBJvhFzcB5jBOkBX?gBcqBlpB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeK/IvhFfgBlbBzcB5?jB8lBmpB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeO/IvhFzcB5jB8lB3?kBFlBiqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeeBJvhFzcB5jB/kBF?gBikBcqB
IZTJOLS,O,X,O,O,O,X,X
IZTJOSL,O,O,O,O,X,X,X
IZTSLJO,O,O,O,O,X,X,X
IZTSLOJ,O,O,O,O,X,X,X
IZTSJLO,O,O,O,O,X,O,X
IZTSJOL,O,O,O,O,X,O,X
IZTSOLJ,O,O,O,O,X,X,X
IZTSOJL,O,O,O,O,X,O,X
IZTOLJS,O,X,O,O,X,X,X
IZTOLSJ,O,X,O,O,X,X,X
IZTOJLS,O,X,O,O,O,X,X
IZTOJSL,O,O,O,O,X,X,X
IZTOSLJ,O,O,O,O,X,X,X
IZTOSJL,O,O,O,O,X,O,X
IZLTJSO,O,X,O,O,X,X,X
IZLTJOS,O,X,O,O,X,X,X
IZLTSJO,O,X,O,O,X,X,X
IZLTSOJ,O,X,O,O,X,X,X
IZLTOJS,O,X,O,O,X,X,X
IZLTOSJ,O,X,O,O,X,X,X
IZLJTSO,O,X,X,O,O,X,X
IZLJTOS,O,X,X,O,O,X,X
IZLJSTO,X,X,X,O,O,X,X
IZLJSOT,O,X,X,O,O,X,X
IZLJOTS,O,X,X,O,O,X,X
IZLJOST,O,X,X,O,O,X,X
IZLSTJO,O,X,X,O,X,X,X
IZLSTOJ,O,X,X,O,X,X,X
IZLSJTO,X,X,X,O,X,O,X
IZLSJOT,O,X,X,O,X,O,X
IZLSOTJ,O,X,X,O,X,X,X
IZLSOJT,O,X,X,O,X,O,X
IZLOTJS,O,X,O,O,X,X,X
IZLOTSJ,O,X,O,O,X,X,X
IZLOJTS,O,X,X,O,O,X,X
IZLOJST,O,X,X,O,O,X,X
IZLOSTJ,O,X,X,O,X,X,X
IZLOSJT,O,X,X,O,X,O,X
IZJTLSO,O,X,O,O,O,X,X
IZJTLOS,O,X,O,O,O,X,X
IZJTSLO,O,O,O,O,X,X,X
IZJTSOL,O,O,O,O,X,X,X
IZJTOLS,O,X,O,O,O,X,X
IZJTOSL,O,O,O,O,X,X,X
IZJLTSO,O,X,X,O,O,X,X
IZJLTOS,O,X,X,O,O,X,X
IZJLSTO,X,X,X,O,O,X,X
IZJLSOT,O,X,X,O,O,X,X
IZJLOTS,O,X,X,O,O,X,X
IZJLOST,O,X,X,O,O,X,X
IZJSTLO,X,O,X,O,X,O,X
IZJSTOL,X,O,X,O,X,O,O
IZJSLTO,X,O,X,O,O,O,X
IZJSLOT,O,X,X,O,O,O,X
IZJSOTL,X,O,X,O,X,O,O
IZJSOLT,O,X,X,O,O,O,X
IZJOTLS,O,X,O,O,O,X,X
IZJOTSL,O,X,O,O,X,X,X
IZJOLTS,O,X,X,O,O,X,X
IZJOLST,O,X,X,O,O,X,X
IZJOSTL,X,X,X,O,X,O,O
IZJOSLT,O,X,X,O,O,O,X
IZSTLJO,O,O,X,O,X,X,X
IZSTLOJ,O,O,X,O,X,X,X
IZSTJLO,O,O,X,O,X,O,X
IZSTJOL,O,O,X,O,X,O,O
IZSTOLJ,O,O,X,O,X,X,X
IZSTOJL,O,O,X,O,X,O,X
IZSLTJO,O,O,X,O,X,X,X
IZSLTOJ,O,O,X,O,X,X,X
IZSLJTO,X,O,X,O,X,O,X
IZSLJOT,O,X,X,O,X,O,X
IZSLOTJ,O,X,X,O,X,X,X
IZSLOJT,O,X,X,O,X,O,X
IZSJTLO,X,O,X,O,X,O,X
IZSJTOL,X,O,X,O,X,O,O
IZSJLTO,X,O,X,O,O,O,X
IZSJLOT,O,X,X,O,O,O,X
IZSJOTL,X,O,X,O,X,O,O
IZSJOLT,O,X,X,O,O,O,X
IZSOTLJ,O,O,X,O,X,X,X
IZSOTJL,O,O,X,O,X,O,X
IZSOLTJ,O,X,X,O,X,X,X
IZSOLJT,O,X,X,O,X,O,X
IZSOJTL,X,O,X,O,X,O,O
IZSOJLT,O,X,X,O,O,O,X
IZOTLJS,O,X,O,O,X,X,X
IZOTLSJ,O,X,O,O,X,X,X
IZOTJLS,O,X,O,O,O,X,X
IZOTJSL,O,X,O,O,X,X,X
IZOTSLJ,O,X,O,O,X,X,X
IZOTSJL,O,X,O,O,X,O,X
IZOLTJS,O,X,O,O,X,X,X
IZOLTSJ,O,X,O,O,X,X,X
IZOLJTS,O,X,X,O,O,X,X
IZOLJST,O,X,X,O,O,X,X
IZOLSTJ,O,X,X,O,X,X,X
IZOLSJT,O,X,X,O,X,O,X
IZOJTLS,O,X,O,O,O,X,X
IZOJTSL,O,X,O,O,X,X,X
IZOJLTS,O,X,X,O,O,X,X
IZOJLST,O,X,X,O,O,X,X
IZOJSTL,X,X,X,O,X,O,O
IZOJSLT,O,X,X,O,O,O,X
IZOSTLJ,O,X,X,O,X,X,X
IZOSTJL,O,X,X,O,X,O,X
IZOSLTJ,O,X,X,O,X,X,X
IZOSLJT,O,X,X,O,X,O,X
IZOSJTL,X,X,X,O,X,O,O
IZOSJLT,O,X,X,O,O,O,X
IOTLJSZ,X,O,O,X,X,X,X
IOTLJZS,O,X,O,O,X,X,X
IOTLSJZ,X,O,O,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X
IOTLZJS,O,X,O,O,X,X,X
IOTLZSJ,O,X,O,O,X,X,X
IOTJLSZ,X,O,O,X,O,X,X
IOTJLZS,O,X,O,O,O,X,X
IOTJSLZ,X,O,O,X,X,X,O
IOTJSZL,O,O,O,X,X,X,O
IOTJZLS,O,X,O,O,O,X,X
IOTJZSL,O,O,O,O,X,X,X
IOTSLJZ,X,O,O,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X
IOTSJLZ,X,O,O,X,X,X,O
IOTSJZL,O,O,O,X,X,O,O
IOTSZLJ,O,O,O,X,X,X,X
IOTSZJL,O,O,O,X,X,O,X
IOTZLJS,O,X,O,O,X,X,X
IOTZLSJ,O,X,O,O,X,X,X
IOTZJLS,O,X,O,O,O,X,X
IOTZJSL,O,O,O,O,X,X,X
IOTZSLJ,O,O,O,O,X,X,X
IOTZSJL,O,O,O,O,X,O,X
IOLTJSZ,X,X,O,X,X,X,X
IOLTJZS,O,X,O,O,X,X,X
IOLTSJZ,X,X,O,X,X,X,X
IOLTSZJ,X,X,O,X,X,X,X
IOLTZJS,O,X,O,O,X,X,X
IOLTZSJ,O,X,O,O,X,X,X
IOLJTSZ,X,X,O,X,O,X,X
IOLJTZS,O,X,O,O,O,X,X
IOLJSTZ,X,X,X,X,O,X,O
IOLJSZT,X,X,X,O,O,X,X
IOLJZTS,O,X,X,O,O,X,X
IOLJZST,O,X,X,O,O,X,X
IOLSTJZ,X,X,O,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,O
IOLSJZT,X,X,X,O,X,O,X
IOLSZTJ,X,X,X,O,X,X,X
IOLSZJT,X,X,X,O,X,O,X
IOLZTJS,O,X,O,O,X,X,X
IOLZTSJ,O,X,O,O,X,X,X
IOLZJTS,O,X,X,O,O,X,X
IOLZJST,O,X,X,O,O,X,X
IOLZSTJ,O,X,X,O,X,X,X
IOLZSJT,O,X,X,O,X,O,X
IOJTLSZ,X,O,O,X,O,X,X
IOJTLZS,O,X,O,O,O,X,X
IOJTSLZ,X,O,O,X,X,X,O
IOJTSZL,O,O,O,X,X,X,O
IOJTZLS,O,X,O,O,O,X,X
IOJTZSL,O,O,O,O,X,X,X
IOJLTSZ,X,X,O,X,O,X,X
IOJLTZS,O,X,O,O,O,X,X
IOJLSTZ,X,X,X,X,O,X,O
IOJLSZT,X,X,X,O,O,X,X
IOJLZTS,O,X,X,O,O,X,X
IOJLZST,O,X,X,O,O,X,X
IOJSTLZ,X,O,O,X,X,X,O
IOJSTZL,O,O,O,X,X,O,O
IOJSLTZ,X,X,X,X,O,X,O
IOJSLZT,X,X,X,O,O,O,X
IOJSZTL,X,O,X,O,X,O,O
IOJSZLT,O,X,X,O,O,O,X
IOJZTLS,O,X,O,O,O,X,X
IOJZTSL,O,X,O,O,X,X,X
IOJZLTS,O,X,X,O,O,X,X
IOJZLST,O,X,X,O,O,X,X
IOJZSTL,X,X,X,O,X,O,O
IOJZSLT,O,X,X,O,O,O,X
IOSTLJZ,X,O,O,X,X,X,X
IOSTLZJ,X,O,O,X,X,X,X
IOSTJLZ,X,O,O,X,X,X,O
IOSTJZL,O,O,O,X,X,O,O
IOSTZLJ,O,O,O,X,X,X,X
IOSTZJL,O,O,O,X,X,O,X
IOSLTJZ,X,X,O,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,O
IOSLJZT,X,X,X,O,X,O,X
IOSLZTJ,X,X,X,O,X,X,X
IOSLZJT,X,X,X,O,X,O,X
IOSJTLZ,X,O,O,X,X,X,O
IOSJTZL,O,O,O,X,X,O,O
IOSJLTZ,X,X,X,X,O,X,O
IOSJLZT,X,X,X,O,O,O,X
IOSJZTL,X,O,X,O,X,O,O
IOSJZLT,O,X,X,O,O,O,X
IOSZTLJ,O,O,X,O,X,X,X
IOSZTJL,O,O,X,O,X,O,X
IOSZLTJ,O,X,X,O,X,X,X
IOSZLJT,O,X,X,O,X,O,X
IOSZJTL,X,O,X,O,X,O,O
IOSZJLT,O,X,X,O,O,O,X
IOZTLJS,O,X,O,O,X,X,X
IOZTLSJ,O,X,O,O,X,X,X
IOZTJLS,O,X,O,O,O,X,X
IOZTJSL,O,X,O,O,X,X,X
IOZTSLJ,O,X,O,O,X,X,X
IOZTSJL,O,X,O,O,X,O,X
IOZLTJS,O,X,O,O,X,X,X
IOZLTSJ,O,X,O,O,X,X,X
IOZLJTS,O,X,X,O,O,X,X
IOZLJST,O,X,X,O,O,X,X
IOZLSTJ,O,X,X,O,X,X,X
IOZLSJT,O,X,X,O,X,O,X
IOZJTLS,O,X,O,O,O,X,X
IOZJTSL,O,X,O,O,X,X,X
IOZJLTS,O,X,X,O,O,X,X
IOZJLST,O,X,X,O,O,X,X
IOZJSTL,X,X,X,O,X,O,O
IOZJSLT,O,X,X,O,O,O,X
IOZSTLJ,O,X,X,O,X,X,X
IOZSTJL,O,X,X,O,X,O,X
IOZSLTJ,O,X,X,O,X,X,X
IOZSLJT,O,X,X,O,X,O,X
IOZSJTL,X,X,X,O,X,O,O
IOZSJLT,O,X,X,O,O,O,X
LTIJSZO,X,O,O,X,X,X,X
LTIJSOZ,X,O,O,X,X,X,X
LTIJZSO,O,X,O,O,X,X,X
LTIJZOS,O,X,O,O,X,X,X
LTIJOSZ,X,O,O,X,X,X,X
LTIJOZS,O,X,O,O,X,X,X
LTISJZO,X,O,O,X,X,X,X
LTISJOZ,X,O,O,X,X,X,X
LTISZJO,X,O,O,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X
LTISOJZ,X,O,O,X,X,X,X
LTISOZJ,X,O,O,X,X,X,X
LTIZJSO,O,X,O,O,X,X,X
LTIZJOS,O,X,O,O,X,X,X
LTIZSJO,O,X,O,O,X,X,X
LTIZSOJ,O,X,O,O,X,X,X
LTIZOJS,O,X,O,O,X,X,X
LTIZOSJ,O,X,O,O,X,X,X
LTIOJSZ,X,O,O,X,X,X,X
LTIOJZS,O,X,O,O,X,X,X
LTIOSJZ,X,O,O,X,X,X,X
LTIOSZJ,X,O,O,X,X,X,X
LTIOZJS,O,X,O,O,X,X,X
LTIOZSJ,O,X,O,O,X,X,X
LTJISZO,X,O,O,X,X,X,X
LTJISOZ,X,O,O,X,X,X,X
LTJIZSO,O,X,O,O,X,X,X
LTJIZOS,O,X,O,O,X,X,X
LTJIOSZ,X,O,O,X,X,X,X
LTJIOZS,O,X,O,O,X,X,X
LTJSIZO,X,O,O,X,X,X,X
LTJSIOZ,X,O,O,X,X,X,X
LTJSZIO,X,O,O,X,X,X,X
LTJSZOI,X,O,O,X,X,X,X
LTJSOIZ,X,O,O,X,X,X,X
LTJSOZI,X,O,O,X,X,X,X
LTJZISO,O,X,O,O,X,X,X
LTJZIOS,O,X,O,O,X,X,X
LTJZSIO,O,X,O,O,X,X,X
LTJZSOI,O,X,O,O,X,X,X
LTJZOIS,O,X,O,O,X,X,X
LTJZOSI,O,X,O,O,X,X,X
LTJOISZ,X,O,O,X,X,X,X
LTJOIZS,O,X,O,O,X,X,X
LTJOSIZ,X,O,O,X,X,X,X
LTJOSZI,X,O,O,X,X,X,X
LTJOZIS,O,X,O,O,X,X,X
LTJOZSI,O,X,O,O,X,X,X
LTSIJZO,X,O,O,X,X,X,X
LTSIJOZ,X,O,O,X,X,X,X
LTSIZJO,X,O,O,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,X
LTSIOJZ,X,O,O,X,X,X,X
LTSIOZJ,X,O,O,X,X,X,X
LTSJIZO,X,O,O,X,X,X,X
LTSJIOZ,X,O,O,X,X,X,X
LTSJZIO,X,O,O,X,X,X,X
LTSJZOI,X,O,O,X,X,X,X
LTSJOIZ,X,O,O,X,X,X,X
LTSJOZI,X,O,O,X,X,X,X
LTSZIJO,X,O,O,X,X,X,X
LTSZIOJ,X,O,O,X,X,X,X
LTSZJIO,X,O,O,X,X,X,X
LTSZJOI,X,O,O,X,X,X,X
LTSZOIJ,X,O,O,X,X,X,X
LTSZOJI,X,O,O,X,X,X,X
LTSOIJZ,X,O,O,X,X,X,X
LTSOIZJ,X,O,O,X,X,X,X
LTSOJIZ,X,O,O,X,X,X,X
LTSOJZI,X,O,O,X,X,X,X
LTSOZIJ,X,O,O,X,X,X,X
LTSOZJI,X,O,O,X,X,X,X
LTZIJSO,O,X,O,O,X,X,X
LTZIJOS,O,X,O,O,X,X,X
LTZISJO,O,X,O,O,X,X,X
LTZISOJ,O,X,O,O,X,X,X
LTZIOJS,O,X,O,O,X,X,X
LTZIOSJ,O,X,O,O,X,X,X
LTZJISO,O,X,O,O,X,X,X
LTZJIOS,O,X,O,O,X,X,X
LTZJSIO,O,X,O,O,X,X,X
LTZJSOI,O,X,O,O,X,X,X
LTZJOIS,O,X,O,O,X,X,X
LTZJOSI,O,X,O,O,X,X,X
LTZSIJO,O,X,O,O,X,X,X
LTZSIOJ,O,X,O,O,X,X,X
LTZSJIO,O,X,O,O,X,X,X
LTZSJOI,O,X,O,O,X,X,X
LTZSOIJ,O,X,O,O,X,X,X
LTZSOJI,O,X,O,O,X,X,X
LTZOIJS,O,X,O,O,X,X,X
LTZOISJ,O,X,O,O,X,X,X
LTZOJIS,O,X,O,O,X,X,X
LTZOJSI,O,X,O,O,X,X,X
LTZOSIJ,O,X,O,O,X,X,X
LTZOSJI,O,X,O,O,X,X,X
LTOIJSZ,X,O,O,X,X,X,X
LTOIJZS,O,X,O,O,X,X,X
LTOISJZ,X,O,O,X,X,X,X
LTOISZJ,X,O,O,X,X,X,X
LTOIZJS,O,X,O,O,X,X,X
LTOIZSJ,O,X,O,O,X,X,X
LTOJISZ,X,O,O,X,X,X,X
LTOJIZS,O,X,O,O,X,X,X
LTOJSIZ,X,O,O,X,X,X,X
LTOJSZI,X,O,O,X,X,X,X
LTOJZIS,O,X,O,O,X,X,X
LTOJZSI,O,X,O,O,X,X,X
LTOSIJZ,X,O,O,X,X,X,X
LTOSIZJ,X,O,O,X,X,X,X
LTOSJIZ,X,O,O,X,X,X,X
LTOSJZI,X,O,O,X,X,X,X
LTOSZIJ,X,O,O,X,X,X,X
LTOSZJI,X,O,O,X,X,X,X
LTOZIJS,O,X,O,O,X,X,X
LTOZISJ,O,X,O,O,X,X,X
LTOZJIS,O,X,O,O,X,X,X
LTOZJSI,O,X,O,O,X,X,X
LTOZSIJ,O,X,O,O,X,X,X
LTOZSJI,O,X,O,O,X,X,X
LITJSZO,X,O,O,X,X,X,X
LITJSOZ,X,O,O,X,X,X,X
LITJZSO,O,X,O,O,X,X,X
LITJZOS,O,X,O,O,X,X,X
LITJOSZ,X,O,O,X,X,X,X
LITJOZS,O,X,O,O,X,X,X
LITSJZO,X,O,O,X,X,X,X
LITSJOZ,X,O,O,X,X,X,X
LITSZJO,X,O,O,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X
LITSOJZ,X,O,O,X,X,X,X
LITSOZJ,X,O,O,X,X,X,X
LITZJSO,O,X,O,O,X,X,X
LITZJOS,O,X,O,O,X,X,X
LITZSJO,O,X,O,O,X,X,X
LITZSOJ,O,X,O,O,X,X,X
LITZOJS,O,X,O,O,X,X,X
LITZOSJ,O,X,O,O,X,X,X
LITOJSZ,X,O,O,X,X,X,X
LITOJZS,O,X,O,O,X,X,X
LITOSJZ,X,O,O,X,X,X,X
LITOSZJ,X,O,O,X,X,X,X
LITOZJS,O,X,O,O,X,X,X
LITOZSJ,O,X,O,O,X,X,X
LIJTSZO,X,O,O,X,O,X,X
LIJTSOZ,X,O,O,X,O,X,X
LIJTZSO,O,X,O,O,O,X,X
LIJTZOS,O,X,O,O,O,X,X
LIJTOSZ,X,O,O,X,O,X,X
LIJTOZS,O,X,O,O,O,X,X
LIJSTZO,X,O,X,X,O,X,X
LIJSTOZ,X,O,X,X,O,X,O
LIJSZTO,X,O,X,O,O,X,X
LIJSZOT,X,X,X,O,O,X,X
LIJSOTZ,X,X,X,X,O,X,O
LIJSOZT,X,X,X,O,O,X,X
LIJZTSO,X,X,X,O,O,X,X
LIJZTOS,O,X,X,O,O,X,X
LIJZSTO,X,X,X,O,O,X,X
LIJZSOT,O,X,X,O,O,X,X
LIJZOTS,O,X,X,O,O,X,X
LIJZOST,O,X,X,O,O,X,X
LIJOTSZ,X,X,O,X,O,X,X
LIJOTZS,O,X,O,O,O,X,X
LIJOSTZ,X,X,X,X,O,X,O
LIJOSZT,X,X,X,O,O,X,X
LIJOZTS,O,X,X,O,O,X,X
LIJOZST,O,X,X,O,O,X,X
LISTJZO,X,O,O,X,X,X,X
LISTJOZ,X,O,O,X,X,X,O
LISTZJO,X,O,O,X,X,X,X
LISTZOJ,X,O,O,X,X,X,X
LISTOJZ,X,O,O,X,X,X,X
LISTOZJ,X,O,O,X,X,X,X
LISJTZO,X,O,X,X,X,X,X
LISJTOZ,X,O,X,X,X,X,O
LISJZTO,X,O,X,O,X,O,X
LISJZOT,X,X,X,O,X,O,X
LISJOTZ,X,X,X,X,X,X,O
LISJOZT,X,X,X,O,X,O,X
LISZTJO,X,O,X,O,X,X,X
LISZTOJ,X,O,X,O,X,X,X
LISZJTO,X,O,X,O,X,O,X
LISZJOT,X,X,X,O,X,O,X
LISZOTJ,X,X,X,O,X,X,X
LISZOJT,X,X,X,O,X,O,X
LISOTJZ,X,X,O,X,X,X,X
LISOTZJ,X,X,O,X,X,X,X
LISOJTZ,X,X,X,X,X,X,O
LISOJZT,X,X,X,O,X,O,X
LISOZTJ,X,X,X,O,X,X,X
LISOZJT,X,X,X,O,X,O,X
LIZTJSO,O,X,O,O,X,X,X
LIZTJOS,O,X,O,O,X,X,X
LIZTSJO,O,X,O,O,X,X,X
LIZTSOJ,O,X,O,O,X,X,X
LIZTOJS,O,X,O,O,X,X,X
LIZTOSJ,O,X,O,O,X,X,X
LIZJTSO,O,X,X,O,O,X,X
LIZJTOS,O,X,X,O,O,X,X
LIZJSTO,X,X,X,O,O,X,X
LIZJSOT,O,X,X,O,O,X,X
LIZJOTS,O,X,X,O,O,X,X
LIZJOST,O,X,X,O,O,X,X
LIZSTJO,O,X,X,O,X,X,X
LIZSTOJ,O,X,X,O,X,X,X
LIZSJTO,X,X,X,O,X,O,X
LIZSJOT,O,X,X,O,X,O,X
LIZSOTJ,O,X,X,O,X,X,X
LIZSOJT,O,X,X,O,X,O,X
LIZOTJS,O,X,O,O,X,X,X
LIZOTSJ,O,X,O,O,X,X,X
LIZOJTS,O,X,X,O,O,X,X
LIZOJST,O,X,X,O,O,X,X
LIZOSTJ,O,X,X,O,X,X,X
LIZOSJT,O,X,X,O,X,O,X
LIOTJSZ,X,X,O,X,X,X,X
LIOTJZS,O,X,O,O,X,X,X
LIOTSJZ,X,X,O,X,X,X,X
LIOTSZJ,X,X,O,X,X,X,X
LIOTZJS,O,X,O,O,X,X,X
LIOTZSJ,O,X,O,O,X,X,X
LIOJTSZ,X,X,O,X,O,X,X
LIOJTZS,O,X,O,O,O,X,X
LIOJSTZ,X,X,X,X,O,X,O
LIOJSZT,X,X,X,O,O,X,X
LIOJZTS,O,X,X,O,O,X,X
LIOJZST,O,X,X,O,O,X,X
LIOSTJZ,X,X,O,X,X,X,X
LIOSTZJ,X,X,O,X,X,X,X
LIOSJTZ,X,X,X,X,X,X,O
LIOSJZT,X,X,X,O,X,O,X
LIOSZTJ,X,X,X,O,X,X,X
LIOSZJT,X,X,X,O,X,O,X
LIOZTJS,O,X,O,O,X,X,X
LIOZTSJ,O,X,O,O,X,X,X
LIOZJTS,O,X,X,O,O,X,X
LIOZJST,O,X,X,O,O,X,X
LIOZSTJ,O,X,X,O,X,X,X
LIOZSJT,O,X,X,O,X,O,X
LJTISZO,X,O,O,X,O,X,X
LJTISOZ,X,O,O,X,O,X,X
LJTIZSO,O,X,O,O,O,X,X
LJTIZOS,O,X,O,O,O,X,X
LJTIOSZ,X,O,O,X,O,X,X
LJTIOZS,O,X,O,O,O,X,X
LJTSIZO,X,O,O,X,O,X,X
LJTSIOZ,X,O,O,X,O,X,X
LJTSZIO,X,O,O,X,O,X,X
LJTSZOI,X,O,O,X,O,X,X
LJTSOIZ,X,O,O,X,O,X,X
LJTSOZI,X,O,O,X,O,X,X
LJTZISO,O,X,O,O,O,X,X
LJTZIOS,O,X,O,O,O,X,X
LJTZSIO,O,X,O,O,O,X,X
LJTZSOI,O,X,O,O,O,X,X
LJTZOIS,O,X,O,O,O,X,X
LJTZOSI,O,X,O,O,O,X,X
LJTOISZ,X,O,O,X,O,X,X
LJTOIZS,O,X,O,O,O,X,X
LJTOSIZ,X,O,O,X,O,X,X
LJTOSZI,X,O,O,X,O,X,X
LJTOZIS,O,X,O,O,O,X,X
LJTOZSI,O,X,O,O,O,X,X
LJITSZO,X,O,O,X,O,X,X
LJITSOZ,X,O,O,X,O,X,X
LJITZSO,O,X,O,O,O,X,X
LJITZOS,O,X,O,O,O,X,X
LJITOSZ,X,O,O,X,O,X,X
LJITOZS,O,X,O,O,O,X,X
LJISTZO,X,O,X,X,O,X,X
LJISTOZ,X,O,X,X,O,X,O
LJISZTO,X,O,X,O,O,X,X
LJISZOT,X,X,X,O,O,X,X
LJISOTZ,X,X,X,X,O,X,O
LJISOZT,X,X,X,O,O,X,X
LJIZTSO,X,X,X,O,O,X,X
LJIZTOS,O,X,X,O,O,X,X
LJIZSTO,X,X,X,O,O,X,X
LJIZSOT,O,X,X,O,O,X,X
LJIZOTS,O,X,X,O,O,X,X
LJIZOST,O,X,X,O,O,X,X
LJIOTSZ,X,X,O,X,O,X,X
LJIOTZS,O,X,O,O,O,X,X
LJIOSTZ,X,X,X,X,O,X,O
LJIOSZT,X,X,X,O,O,X,X
LJIOZTS,O,X,X,O,O,X,X
LJIOZST,O,X,X,O,O,X,X
LJSTIZO,X,O,X,X,O,X,X
LJSTIOZ,X,O,X,X,O,X,O
LJSTZIO,X,O,X,X,O,X,X
LJSTZOI,X,O,X,X,O,X,X
LJSTOIZ,X,O,X,X,O,X,O
LJSTOZI,X,O,X,X,O,X,X
LJSITZO,X,O,X,X,O,X,X
LJSITOZ,X,O,X,X,O,X,O
LJSIZTO,X,O,X,O,O,X,X
LJSIZOT,X,X,X,O,O,X,X
LJSIOTZ,X,X,X,X,O,X,O
LJSIOZT,X,X,X,O,O,X,X
LJSZTIO,X,O,X,O,O,X,X
LJSZTOI,X,O,X,O,O,X,X
LJSZITO,X,O,X,O,O,X,X
LJSZIOT,X,X,X,O,O,X,X
LJSZOTI,X,X,X,O,O,X,X
LJSZOIT,X,X,X,O,O,X,X
LJSOTIZ,X,X,X,X,O,X,O
LJSOTZI,X,X,X,X,O,X,X
LJSOITZ,X,X,X,X,O,X,O
LJSOIZT,X,X,X,O,O,X,X
LJSOZTI,X,X,X,O,O,X,X
LJSOZIT,X,X,X,O,O,X,X
LJZTISO,X,X,X,O,O,X,X
LJZTIOS,O,X,X,O,O,X,X
LJZTSIO,X,X,X,O,O,X,X
LJZTSOI,X,X,X,O,O,X,X
LJZTOIS,O,X,X,O,O,X,X
LJZTOSI,X,X,X,O,O,X,X
LJZITSO,X,X,X,O,O,X,X
LJZITOS,O,X,X,O,O,X,X
LJZISTO,X,X,X,O,O,X,X
LJZISOT,O,X,X,O,O,X,X
LJZIOTS,O,X,X,O,O,X,X
LJZIOST,O,X,X,O,O,X,X
LJZSTIO,X,X,X,O,O,X,X
LJZSTOI,X,X,X,O,O,X,X
LJZSITO,X,X,X,O,O,X,X
LJZSIOT,O,X,X,O,O,X,X
LJZSOTI,X,X,X,O,O,X,X
LJZSOIT,O,X,X,O,O,X,X
LJZOTIS,O,X,X,O,O,X,X
LJZOTSI,X,X,X,O,O,X,X
LJZOITS,O,X,X,O,O,X,X
LJZOIST,O,X,X,O,O,X,X
LJZOSTI,X,X,X,O,O,X,X
LJZOSIT,O,X,X,O,O,X,X
LJOTISZ,X,X,O,X,O,X,X
LJOTIZS,O,X,O,O,O,X,X
LJOTSIZ,X,X,O,X,O,X,X
LJOTSZI,X,X,O,X,O,X,X
LJOTZIS,O,X,O,O,O,X,X
LJOTZSI,O,X,O,O,O,X,X
LJOITSZ,X,X,O,X,O,X,X
LJOITZS,O,X,O,O,O,X,X
LJOISTZ,X,X,X,X,O,X,O
LJOISZT,X,X,X,O,O,X,X
LJOIZTS,O,X,X,O,O,X,X
LJOIZST,O,X,X,O,O,X,X
LJOSTIZ,X,X,X,X,O,X,O
LJOSTZI,X,X,X,X,O,X,X
LJOSITZ,X,X,X,X,O,X,O
LJOSIZT,X,X,X,O,O,X,X
LJOSZTI,X,X,X,O,O,X,X
LJOSZIT,X,X,X,O,O,X,X
LJOZTIS,O,X,X,O,O,X,X
LJOZTSI,X,X,X,O,O,X,X
LJOZITS,O,X,X,O,O,X,X
LJOZIST,O,X,X,O,O,X,X
LJOZSTI,X,X,X,O,O,X,X
LJOZSIT,O,X,X,O,O,X,X
LSTIJZO,X,O,O,X,X,X,X
LSTIJOZ,X,O,O,X,X,X,O
LSTIZJO,X,O,O,X,X,X,X
LSTIZOJ,X,O,O,X,X,X,X
LSTIOJZ,X,O,O,X,X,X,X
LSTIOZJ,X,O,O,X,X,X,X
LSTJIZO,X,O,O,X,X,X,X
LSTJIOZ,X,O,O,X,X,X,O
LSTJZIO,X,O,O,X,X,X,X
LSTJZOI,X,O,O,X,X,X,X
LSTJOIZ,X,O,O,X,X,X,O
LSTJOZI,X,O,O,X,X,X,X
LSTZIJO,X,O,O,X,X,X,X
LSTZIOJ,X,O,O,X,X,X,X
LSTZJIO,X,O,O,X,X,X,X
LSTZJOI,X,O,O,X,X,X,X
LSTZOIJ,X,O,O,X,X,X,X
LSTZOJI,X,O,O,X,X,X,X
LSTOIJZ,X,O,O,X,X,X,X
LSTOIZJ,X,O,O,X,X,X,X
LSTOJIZ,X,O,O,X,X,X,X
LSTOJZI,X,O,O,X,X,X,X
LSTOZIJ,X,O,O,X,X,X,X
LSTOZJI,X,O,O,X,X,X,X
LSITJZO,X,O,O,X,X,X,X
