sequence,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFicBuiBcjBX?gBzhBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBqiBTeBX?gB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBSjBXgB0?hBziBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Je2AJvhFRcBCeBzhBX?jB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhF/hBRdBSjB2?nB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jei7IvhFWjBRhB0fBz?hBXjBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFyhBGeBXgBz?iB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhF2hBTeBXgBS?nB8sBFsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhFxhBOoB0fBl?hBCjB/sB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFTcBcjBXgBS?nB2sBlsB
TLOIJSZ,X,X,X,O,O,X,O,X,X,X
TLOIJZS,O,O,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,O,O,X,O,X,X,X
TLOISZJ,O,O,X,O,X,X,O,X,X,X
TLOIZJS,O,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,O,O,X,O,X,X,X
TLOJIZS,O,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,O,X,O,X,X,X
TLOJSZI,O,O,X,O,O,X,O,X,X,X
TLOJZIS,O,O,X,X,X,X,X,X,X,X
TLOJZSI,O,O,X,X,O,X,O,X,X,X
TLOSIJZ,O,O,X,O,O,X,O,X,X,X
TLOSIZJ,O,O,O,O,X,X,O,X,X,O
TLOSJIZ,O,O,X,O,O,X,O,X,X,X
TLOSJZI,O,O,X,O,O,X,O,X,X,X
TLOSZIJ,O,O,O,O,X,X,O,X,X,O
TLOSZJI,O,O,O,O,O,X,O,X,X,O
TLOZIJS,O,O,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X,X,X
TLOZJIS,O,O,X,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,O,X,O,X,X,X
TLOZSIJ,O,O,O,X,X,X,O,X,X,O
TLOZSJI,O,O,O,X,O,X,O,X,X,O
TJILSZO,X,X,X,X,O,O,X,X,X,X
TJILSOZ,X,X,X,X,O,O,X,X,X,X
TJILZSO,O,O,X,X,X,O,X,X,X,X
TJILZOS,O,O,X,X,X,O,X,X,X,X
TJILOSZ,X,X,X,O,O,O,X,X,X,X
TJILOZS,O,O,X,X,X,O,X,X,X,X
TJISLZO,X,X,X,X,O,O,X,X,X,X
TJISLOZ,X,X,X,O,O,O,O,X,X,X
TJISZLO,X,X,X,X,O,X,X,X,X,X
TJISZOL,X,X,X,X,O,X,O,X,X,X
TJISOLZ,X,X,X,O,O,X,O,X,X,X
TJISOZL,X,X,X,O,O,X,O,X,X,X
TJIZLSO,O,O,X,X,X,O,X,X,X,X
TJIZLOS,O,O,X,X,X,O,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,O,O,O,X,X,X
TJIOLZS,O,O,X,X,X,O,X,X,X,X
TJIOSLZ,X,X,X,O,O,X,O,X,O,X
TJIOSZL,X,X,X,O,O,X,O,X,O,X
TJIOZLS,O,O,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,O,X,X,X,X,O,X
TJLISZO,X,X,X,X,O,O,X,X,X,X
TJLISOZ,X,X,X,X,O,O,X,X,X,X
TJLIZSO,O,O,X,X,X,O,X,X,X,X
TJLIZOS,O,O,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,X,O,O,O,X,X,X,X
TJLIOZS,O,O,X,X,X,O,X,X,X,X
TJLSIZO,O,O,O,X,O,X,X,X,X,X
TJLSIOZ,O,O,X,O,O,X,O,X,X,X
TJLSZIO,O,O,O,X,O,X,X,X,X,X
TJLSZOI,O,O,O,O,O,X,X,X,X,X
TJLSOIZ,O,O,X,O,O,X,O,X,X,X
TJLSOZI,O,O,X,O,O,X,O,X,X,X
TJLZISO,O,O,O,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,X,X,X,X,X,X
TJLZSIO,O,O,O,X,O,X,X,X,X,X
TJLZSOI,O,O,O,X,O,X,X,X,X,X
TJLZOIS,O,O,X,X,X,X,X,X,X,X
TJLZOSI,O,O,O,X,O,X,X,X,X,X
TJLOISZ,X,X,X,O,O,X,O,X,X,X
TJLOIZS,O,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,O,O,X,O,X,X,X
TJLOSZI,O,O,X,O,O,X,O,X,X,X
TJLOZIS,O,O,X,X,X,X,X,X,X,X
TJLOZSI,O,O,X,X,O,X,O,X,X,X
TJSILZO,O,O,O,X,O,O,X,X,X,X
TJSILOZ,O,O,X,O,O,O,O,X,X,X
TJSIZLO,O,O,O,X,O,X,X,O,X,X
