sequence,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgBxcBXeBenBFm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFdBXeBxgBmlBzm?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFUdBFeBxgB3gBmm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgB2hBXeBRmBFn?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhF1gB0cBXeBOnBxl?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBTgBxhBmmB3m?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBxgBXiBmlBzm?BUrB
TOILSJZ,X,O,X,X,O,O,X
TOILSZJ,X,O,X,X,O,X,X
TOILZJS,X,X,O,X,O,O,X
TOILZSJ,X,O,X,X,O,X,X
TOIJLSZ,X,O,O,X,O,O,X
TOIJLZS,X,O,O,X,O,O,X
TOIJSLZ,X,O,O,X,O,O,X
TOIJSZL,X,O,O,O,O,X,X
TOIJZLS,X,O,O,O,O,O,X
TOIJZSL,X,O,O,O,O,X,X
TOISLJZ,X,O,X,X,O,O,X
TOISLZJ,X,O,X,X,O,X,X
TOISJLZ,X,O,X,X,O,X,X
TOISJZL,X,O,X,O,O,X,X
TOISZLJ,X,O,X,O,O,X,X
TOISZJL,X,X,X,O,O,X,X
TOIZLJS,X,X,O,O,O,O,X
TOIZLSJ,X,O,X,O,O,X,X
TOIZJLS,X,X,O,O,O,X,X
TOIZJSL,X,X,O,O,O,X,X
TOIZSLJ,X,O,X,O,O,X,X
TOIZSJL,X,X,X,O,O,X,X
TOLIJSZ,X,O,O,X,O,O,X
TOLIJZS,X,O,O,X,O,O,X
TOLISJZ,X,O,X,X,O,O,X
TOLISZJ,X,O,X,X,O,X,X
TOLIZJS,X,X,O,X,O,O,X
TOLIZSJ,X,O,X,X,O,X,X
TOLJISZ,X,O,O,X,X,O,O
TOLJIZS,X,O,O,X,X,O,X
TOLJSIZ,X,O,O,X,X,O,O
TOLJSZI,X,O,O,X,X,X,X
TOLJZIS,X,O,O,X,X,O,X
TOLJZSI,X,O,O,X,X,X,X
TOLSIJZ,X,O,X,X,O,O,O
TOLSIZJ,X,O,X,X,O,X,X
TOLSJIZ,X,O,O,X,X,O,O
TOLSJZI,X,O,O,X,X,X,X
TOLSZIJ,X,O,X,O,X,X,X
TOLSZJI,X,O,O,X,X,X,X
TOLZIJS,X,X,O,O,X,O,X
TOLZISJ,X,O,X,O,X,X,X
TOLZJIS,X,O,O,X,X,O,X
TOLZJSI,X,O,O,X,X,X,X
TOLZSIJ,X,O,X,O,X,X,X
TOLZSJI,X,O,O,X,X,X,X
TOJILSZ,X,O,O,X,X,O,O
TOJILZS,X,O,O,X,X,O,X
TOJISLZ,X,O,O,X,X,O,O
TOJISZL,O,O,O,X,X,X,X
TOJIZLS,O,O,O,X,X,O,X
TOJIZSL,O,O,O,X,X,X,X
TOJLISZ,X,O,O,X,X,O,O
TOJLIZS,X,O,O,X,X,O,X
TOJLSIZ,X,O,O,X,X,O,O
TOJLSZI,X,O,O,X,X,X,X
TOJLZIS,X,O,O,X,X,O,X
TOJLZSI,X,O,O,X,X,X,X
TOJSILZ,X,O,O,X,X,O,O
TOJSIZL,O,O,O,X,X,X,X
TOJSLIZ,X,O,O,X,X,O,O
TOJSLZI,X,O,O,X,X,X,X
TOJSZIL,O,O,O,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X
TOJZILS,O,O,O,X,X,O,X
TOJZISL,O,O,O,X,X,X,X
TOJZLIS,O,O,O,X,X,O,X
TOJZLSI,O,O,O,X,X,X,X
TOJZSIL,O,O,O,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X
TOSILJZ,X,O,X,X,O,O,O
TOSILZJ,X,O,X,X,O,X,X
TOSIJLZ,X,O,X,X,O,X,X
TOSIJZL,X,O,X,O,O,X,X
TOSIZLJ,X,O,X,O,O,X,X
TOSIZJL,X,X,X,O,O,X,X
TOSLIJZ,X,O,X,X,O,O,O
TOSLIZJ,X,O,X,X,O,X,X
TOSLJIZ,X,O,O,X,X,O,O
TOSLJZI,X,O,O,X,X,X,X
TOSLZIJ,X,O,X,O,X,X,X
TOSLZJI,X,O,O,X,X,X,X
TOSJILZ,X,O,O,X,X,O,O
TOSJIZL,X,O,O,X,X,X,X
TOSJLIZ,X,O,O,X,X,O,O
TOSJLZI,X,O,O,X,X,X,X
TOSJZIL,X,O,O,X,X,X,X
TOSJZLI,X,O,O,X,X,X,X
TOSZILJ,X,O,X,O,X,X,X
TOSZIJL,X,X,X,O,X,X,X
TOSZLIJ,X,O,X,O,X,X,X
TOSZLJI,X,O,O,X,X,X,X
TOSZJIL,X,O,O,X,X,X,X
TOSZJLI,X,O,O,X,X,X,X
TOZILJS,X,X,O,O,X,O,X
TOZILSJ,X,O,X,O,X,X,X
TOZIJLS,X,X,O,O,X,X,X
TOZIJSL,X,X,O,O,X,X,X
TOZISLJ,X,O,X,O,X,X,X
TOZISJL,X,X,X,O,X,X,X
TOZLIJS,X,X,O,O,X,O,X
TOZLISJ,X,O,X,O,X,X,X
TOZLJIS,O,O,O,X,X,O,X
TOZLJSI,O,O,O,X,X,X,X
TOZLSIJ,X,O,X,O,X,X,X
TOZLSJI,X,O,O,X,X,X,X
TOZJILS,O,O,O,X,X,O,X
TOZJISL,O,O,O,X,X,X,X
TOZJLIS,O,O,O,X,X,O,X
TOZJLSI,O,O,O,X,X,X,X
TOZJSIL,O,O,O,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X
TOZSILJ,X,O,X,O,X,X,X
TOZSIJL,X,X,X,O,X,X,X
TOZSLIJ,X,O,X,O,X,X,X
TOZSLJI,X,O,O,X,X,X,X
TOZSJIL,X,O,O,X,X,X,X
TOZSJLI,X,O,O,X,X,X,X
ITLJSZO,X,X,O,X,O,X,O
ITLJSOZ,X,X,X,X,X,X,O
ITLJZSO,X,X,O,X,O,X,O
ITLJZOS,X,X,O,X,X,X,X
ITLJOSZ,X,X,X,X,X,O,O
ITLJOZS,X,X,O,X,X,O,X
ITLSJZO,X,X,X,X,O,X,O
ITLSJOZ,X,X,X,X,X,X,O
ITLSZJO,X,X,X,X,O,X,O
ITLSZOJ,X,X,X,X,O,X,X
ITLSOJZ,X,X,X,X,X,X,O
ITLSOZJ,X,X,X,X,O,X,X
ITLZJSO,X,X,O,X,O,X,X
ITLZJOS,X,X,O,X,X,X,X
ITLZSJO,X,X,X,X,O,X,X
ITLZSOJ,X,X,X,X,O,X,X
ITLZOJS,X,X,O,X,X,X,X
ITLZOSJ,X,X,X,X,O,X,X
ITLOJSZ,X,X,O,X,X,O,X
ITLOJZS,X,X,O,X,X,O,X
ITLOSJZ,X,X,X,X,X,O,X
ITLOSZJ,X,X,X,X,O,X,X
ITLOZJS,X,X,O,X,X,O,X
ITLOZSJ,X,X,X,X,O,X,X
ITJLSZO,O,X,O,X,O,X,O
ITJLSOZ,X,X,X,X,X,X,O
ITJLZSO,O,X,O,X,O,X,O
ITJLZOS,O,X,O,X,X,X,X
ITJLOSZ,X,X,X,X,X,O,O
ITJLOZS,X,X,O,X,X,O,X
ITJSLZO,O,X,O,X,O,X,O
ITJSLOZ,X,X,X,X,X,X,O
ITJSZLO,O,X,O,O,O,X,O
ITJSZOL,O,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,O,O
ITJSOZL,O,X,X,X,X,X,X
ITJZLSO,O,X,O,O,O,X,O
ITJZLOS,O,X,O,X,X,X,X
ITJZSLO,O,X,O,O,O,X,O
ITJZSOL,O,X,X,X,X,X,X
ITJZOLS,O,X,O,X,X,O,X
ITJZOSL,O,X,X,X,X,X,X
ITJOLSZ,X,X,X,X,X,O,O
ITJOLZS,X,X,O,X,X,O,X
ITJOSLZ,X,X,X,X,X,O,O
ITJOSZL,O,X,X,X,X,X,X
ITJOZLS,O,X,O,X,X,O,X
ITJOZSL,O,X,X,X,X,X,X
ITSLJZO,X,X,X,X,O,X,O
ITSLJOZ,X,X,X,X,X,X,O
ITSLZJO,X,X,X,X,O,X,O
ITSLZOJ,X,X,X,X,O,X,X
ITSLOJZ,X,X,X,X,X,X,O
ITSLOZJ,X,X,X,X,O,X,X
ITSJLZO,X,X,X,X,O,X,O
ITSJLOZ,X,X,X,X,X,X,O
ITSJZLO,X,X,X,O,O,X,O
ITSJZOL,X,X,X,X,X,X,X
ITSJOLZ,X,X,X,X,X,O,O
ITSJOZL,X,X,X,X,X,X,X
ITSZLJO,X,X,X,X,O,X,O
ITSZLOJ,X,X,X,O,O,X,X
ITSZJLO,X,X,X,X,O,X,X
ITSZJOL,X,X,X,X,X,X,X
ITSZOLJ,X,X,X,O,O,X,X
ITSZOJL,X,X,X,O,X,X,X
ITSOLJZ,X,X,X,X,X,O,O
ITSOLZJ,X,X,X,X,O,X,X
ITSOJLZ,X,X,X,X,X,X,X
ITSOJZL,X,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,X,X
ITSOZJL,X,X,X,X,X,X,X
ITZLJSO,O,X,O,X,O,X,X
ITZLJOS,O,X,O,X,X,X,X
ITZLSJO,X,X,X,X,O,X,X
ITZLSOJ,X,X,X,O,O,X,X
ITZLOJS,X,X,O,O,X,X,X
ITZLOSJ,X,X,X,O,O,X,X
ITZJLSO,O,X,O,X,O,X,X
ITZJLOS,O,X,O,X,X,X,X
ITZJSLO,O,X,O,X,O,X,X
ITZJSOL,O,X,X,X,X,X,X
ITZJOLS,O,X,O,X,X,O,X
ITZJOSL,O,X,X,X,X,X,X
ITZSLJO,X,X,X,X,O,X,X
ITZSLOJ,X,X,X,O,O,X,X
ITZSJLO,X,X,X,X,O,X,X
ITZSJOL,X,X,X,X,X,X,X
ITZSOLJ,X,X,X,O,O,X,X
ITZSOJL,X,X,X,O,X,X,X
ITZOLJS,X,X,O,O,X,O,X
ITZOLSJ,X,X,X,O,O,X,X
ITZOJLS,X,X,O,O,X,X,X
ITZOJSL,X,X,O,O,X,X,X
ITZOSLJ,X,X,X,O,O,X,X
ITZOSJL,X,X,X,O,X,X,X
ITOLJSZ,X,X,O,X,X,O,X
ITOLJZS,X,X,O,X,X,O,X
ITOLSJZ,X,X,X,X,X,O,X
ITOLSZJ,X,X,X,X,O,X,X
ITOLZJS,X,X,O,X,X,O,X
ITOLZSJ,X,X,X,X,O,X,X
ITOJLSZ,X,X,O,X,X,O,X
ITOJLZS,X,X,O,X,X,O,X
ITOJSLZ,X,X,O,X,X,O,X
ITOJSZL,X,X,O,X,X,X,X
ITOJZLS,X,X,O,X,X,O,X
ITOJZSL,X,X,O,X,X,X,X
ITOSLJZ,X,X,X,X,X,O,X
ITOSLZJ,X,X,X,X,O,X,X
ITOSJLZ,X,X,X,X,X,X,X
ITOSJZL,X,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,O,X,X
ITOSZJL,X,X,X,X,X,X,X
ITOZLJS,X,X,O,X,X,O,X
ITOZLSJ,X,X,X,X,O,X,X
ITOZJLS,X,X,O,X,X,X,X
ITOZJSL,X,X,O,X,X,X,X
ITOZSLJ,X,X,X,X,O,X,X
ITOZSJL,X,X,X,X,X,X,X
ILTJSZO,X,X,O,X,O,X,O
ILTJSOZ,X,X,X,X,X,X,O
ILTJZSO,X,X,O,X,O,X,O
ILTJZOS,X,X,O,X,X,X,X
ILTJOSZ,X,X,X,X,X,O,O
ILTJOZS,X,X,O,X,X,O,X
ILTSJZO,X,X,X,X,O,X,O
ILTSJOZ,X,X,X,X,X,X,O
ILTSZJO,X,X,X,X,O,X,O
ILTSZOJ,X,X,X,X,O,X,X
ILTSOJZ,X,X,X,X,X,X,O
ILTSOZJ,X,X,X,X,O,X,X
ILTZJSO,X,X,O,X,O,X,X
ILTZJOS,X,X,O,X,X,X,X
ILTZSJO,X,X,X,X,O,X,X
ILTZSOJ,X,X,X,X,O,X,X
ILTZOJS,X,X,O,X,X,X,X
ILTZOSJ,X,X,X,X,O,X,X
ILTOJSZ,X,X,O,X,X,O,X
ILTOJZS,X,X,O,X,X,O,X
ILTOSJZ,X,X,X,X,X,O,X
ILTOSZJ,X,X,X,X,O,X,X
ILTOZJS,X,X,O,X,X,O,X
ILTOZSJ,X,X,X,X,O,X,X
ILJTSZO,X,X,O,X,O,X,O
ILJTSOZ,X,X,X,X,X,X,O
ILJTZSO,X,X,O,X,O,X,O
ILJTZOS,X,X,O,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,O
ILJTOZS,X,X,O,X,X,O,X
ILJSTZO,X,X,O,X,O,X,O
ILJSTOZ,X,X,X,X,X,X,O
ILJSZTO,O,X,O,O,X,X,O
ILJSZOT,O,X,X,O,X,X,X
ILJSOTZ,X,O,X,X,X,X,O
ILJSOZT,X,O,X,X,X,X,X
ILJZTSO,O,X,O,O,X,X,O
ILJZTOS,O,X,O,X,X,X,X
ILJZSTO,O,X,O,O,X,X,O
ILJZSOT,O,X,X,O,X,X,X
ILJZOTS,X,X,O,X,X,X,X
ILJZOST,O,X,X,O,X,X,X
ILJOTSZ,X,O,X,X,X,O,O
ILJOTZS,X,O,O,X,X,O,X
ILJOSTZ,X,O,X,X,X,O,O
ILJOSZT,X,O,X,X,X,X,X
ILJOZTS,X,O,O,X,X,O,X
ILJOZST,X,O,X,X,X,X,X
ILSTJZO,X,X,X,X,O,X,O
ILSTJOZ,X,X,X,X,X,X,O
ILSTZJO,X,X,X,X,O,X,O
ILSTZOJ,X,X,X,X,O,X,X
ILSTOJZ,X,O,X,X,X,X,O
ILSTOZJ,X,O,X,X,O,X,X
ILSJTZO,X,X,X,X,O,X,O
ILSJTOZ,X,X,X,X,X,X,O
ILSJZTO,O,X,X,O,X,X,O
ILSJZOT,O,X,X,O,X,X,X
ILSJOTZ,X,O,X,X,X,X,O
ILSJOZT,X,O,X,X,X,X,X
ILSZTJO,O,X,X,X,O,X,O
ILSZTOJ,X,X,X,O,O,X,X
ILSZJTO,O,X,X,X,X,X,X
ILSZJOT,O,X,X,O,X,X,X
ILSZOTJ,X,X,X,O,X,X,X
ILSZOJT,O,X,X,O,X,X,X
ILSOTJZ,X,O,X,X,O,X,O
ILSOTZJ,X,O,X,X,O,X,X
ILSOJTZ,X,O,X,X,O,X,X
ILSOJZT,X,O,X,X,X,X,X
ILSOZTJ,X,O,X,O,O,X,X
ILSOZJT,X,X,X,O,X,X,X
ILZTJSO,O,X,O,X,O,X,X
ILZTJOS,O,X,O,X,X,X,X
ILZTSJO,X,X,X,X,O,X,X
ILZTSOJ,X,X,X,O,O,X,X
ILZTOJS,X,X,O,O,X,X,X
ILZTOSJ,X,X,X,O,O,X,X
ILZJTSO,O,X,O,X,X,X,X
ILZJTOS,O,X,O,X,X,X,X
ILZJSTO,O,X,O,X,X,X,X
ILZJSOT,O,X,X,O,X,X,X
ILZJOTS,X,X,O,O,X,X,X
ILZJOST,O,X,X,O,X,X,X
ILZSTJO,O,X,X,X,O,X,X
ILZSTOJ,X,X,X,O,O,X,X
ILZSJTO,O,X,X,X,X,X,X
ILZSJOT,O,X,X,O,X,X,X
ILZSOTJ,X,X,X,O,X,X,X
ILZSOJT,O,X,X,O,X,X,X
ILZOTJS,X,X,O,O,X,X,X
ILZOTSJ,X,X,X,O,X,X,X
ILZOJTS,X,X,O,O,X,X,X
ILZOJST,X,X,O,O,X,X,X
ILZOSTJ,X,X,X,O,X,X,X
ILZOSJT,X,X,X,O,X,X,X
ILOTJSZ,X,O,O,X,O,O,X
ILOTJZS,X,O,O,X,O,O,X
ILOTSJZ,X,O,X,X,O,O,X
ILOTSZJ,X,O,X,X,O,X,X
ILOTZJS,X,X,O,X,O,O,X
ILOTZSJ,X,O,X,X,O,X,X
ILOJTSZ,X,O,O,X,O,O,X
ILOJTZS,X,O,O,X,O,O,X
ILOJSTZ,X,O,O,X,O,O,X
ILOJSZT,X,O,O,X,X,X,X
ILOJZTS,X,O,O,X,X,O,X
ILOJZST,X,O,O,X,X,X,X
ILOSTJZ,X,O,X,X,O,O,X
ILOSTZJ,X,O,X,X,O,X,X
ILOSJTZ,X,O,X,X,O,X,X
ILOSJZT,X,O,X,X,X,X,X
ILOSZTJ,X,O,X,O,O,X,X
ILOSZJT,X,X,X,O,X,X,X
ILOZTJS,X,X,O,O,O,O,X
ILOZTSJ,X,O,X,O,O,X,X
ILOZJTS,X,X,O,O,X,X,X
ILOZJST,X,X,O,O,X,X,X
ILOZSTJ,X,O,X,O,O,X,X
ILOZSJT,X,X,X,O,X,X,X
IJTLSZO,O,X,O,X,O,X,O
IJTLSOZ,X,X,X,X,X,X,O
IJTLZSO,O,X,O,X,O,X,O
IJTLZOS,O,X,O,X,X,X,X
IJTLOSZ,X,X,X,X,X,O,O
IJTLOZS,X,X,O,X,X,O,X
IJTSLZO,O,X,O,X,O,X,O
IJTSLOZ,X,X,X,X,X,X,O
IJTSZLO,O,X,O,O,O,X,O
IJTSZOL,O,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,O,O
IJTSOZL,O,X,X,X,X,X,X
IJTZLSO,O,X,O,O,O,X,O
IJTZLOS,O,X,O,X,X,X,X
IJTZSLO,O,X,O,O,O,X,O
IJTZSOL,O,X,X,X,X,X,X
IJTZOLS,O,X,O,X,X,O,X
IJTZOSL,O,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,O
IJTOLZS,X,X,O,X,X,O,X
IJTOSLZ,X,X,X,X,X,O,O
IJTOSZL,O,X,X,X,X,X,X
IJTOZLS,O,X,O,X,X,O,X
IJTOZSL,O,X,X,X,X,X,X
IJLTSZO,O,X,O,X,O,X,O
IJLTSOZ,X,X,X,X,X,X,O
IJLTZSO,O,X,O,X,O,X,O
IJLTZOS,O,X,O,X,X,X,X
IJLTOSZ,X,X,X,X,X,O,O
IJLTOZS,X,X,O,X,X,O,X
IJLSTZO,O,X,O,X,O,X,O
IJLSTOZ,X,X,X,X,X,X,O
IJLSZTO,O,X,O,O,X,X,O
IJLSZOT,O,X,X,O,X,X,X
IJLSOTZ,X,O,X,X,X,X,O
IJLSOZT,X,O,X,X,X,X,X
IJLZTSO,O,X,O,O,X,X,O
IJLZTOS,O,X,O,X,X,X,X
IJLZSTO,O,X,O,O,X,X,O
IJLZSOT,O,X,X,O,X,X,X
IJLZOTS,X,X,O,X,X,X,X
IJLZOST,O,X,X,O,X,X,X
IJLOTSZ,X,O,X,X,X,O,O
IJLOTZS,X,O,O,X,X,O,X
IJLOSTZ,X,O,X,X,X,O,O
IJLOSZT,X,O,X,X,X,X,X
IJLOZTS,X,O,O,X,X,O,X
IJLOZST,X,O,X,X,X,X,X
IJSTLZO,O,X,O,X,O,X,O
IJSTLOZ,X,X,X,X,X,X,O
IJSTZLO,O,X,O,O,O,X,O
IJSTZOL,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,X,O,O
IJSTOZL,O,X,X,X,X,X,X
IJSLTZO,O,X,O,X,O,X,O
IJSLTOZ,X,X,X,X,X,X,O
IJSLZTO,O,X,O,O,X,X,O
IJSLZOT,O,X,X,O,X,X,X
IJSLOTZ,X,O,X,X,X,X,O
IJSLOZT,X,O,X,X,X,X,X
IJSZTLO,O,X,O,O,X,X,O
IJSZTOL,O,X,X,X,X,X,X
IJSZLTO,O,X,O,O,X,X,O
IJSZLOT,O,X,X,O,X,X,X
IJSZOTL,X,X,X,O,X,X,X
IJSZOLT,O,X,X,O,X,X,X
IJSOTLZ,X,O,X,X,X,O,O
IJSOTZL,O,O,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,O,O
IJSOLZT,X,O,X,X,X,X,X
IJSOZTL,X,O,X,X,X,X,X
IJSOZLT,O,O,X,O,X,X,X
IJZTLSO,O,X,O,O,X,X,O
IJZTLOS,O,X,O,X,X,X,X
IJZTSLO,O,X,O,O,X,X,O
IJZTSOL,O,X,X,X,X,X,X
IJZTOLS,O,X,O,X,X,O,X
IJZTOSL,O,X,X,X,X,X,X
IJZLTSO,O,X,O,O,X,X,O
IJZLTOS,O,X,O,X,X,X,X
IJZLSTO,O,X,O,O,X,X,O
IJZLSOT,O,X,X,O,X,X,X
IJZLOTS,X,X,O,O,X,X,X
IJZLOST,O,X,X,O,X,X,X
IJZSTLO,O,X,O,O,X,X,O
IJZSTOL,O,X,X,X,X,X,X
IJZSLTO,O,X,O,O,X,X,O
IJZSLOT,O,X,X,O,X,X,X
IJZSOTL,X,X,X,O,X,X,X
IJZSOLT,O,X,X,O,X,X,X
IJZOTLS,X,X,O,O,X,O,X
IJZOTSL,X,X,X,O,X,X,X
IJZOLTS,X,X,O,O,X,O,X
IJZOLST,O,X,X,O,X,X,X
IJZOSTL,X,X,X,O,X,X,X
IJZOSLT,O,X,X,O,X,X,X
IJOTLSZ,X,O,X,X,X,O,O
IJOTLZS,X,O,O,X,X,O,X
IJOTSLZ,X,O,X,X,X,O,O
IJOTSZL,O,O,X,X,X,X,X
IJOTZLS,O,O,O,X,X,O,X
IJOTZSL,O,O,X,X,X,X,X
IJOLTSZ,X,O,X,X,X,O,O
IJOLTZS,X,O,O,X,X,O,X
IJOLSTZ,X,O,X,X,X,O,O
IJOLSZT,X,O,X,X,X,X,X
IJOLZTS,X,O,O,X,X,O,X
IJOLZST,X,O,X,X,X,X,X
IJOSTLZ,X,O,X,X,X,O,O
IJOSTZL,O,O,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,O,O
IJOSLZT,X,O,X,X,X,X,X
IJOSZTL,X,O,X,X,X,X,X
IJOSZLT,O,O,X,O,X,X,X
IJOZTLS,X,O,O,X,X,O,X
IJOZTSL,X,O,X,X,X,X,X
IJOZLTS,X,O,O,X,X,O,X
IJOZLST,O,O,X,O,X,X,X
IJOZSTL,X,O,X,X,X,X,X
IJOZSLT,O,O,X,O,X,X,X
ISTLJZO,X,X,X,X,O,X,O
ISTLJOZ,X,X,X,X,X,X,O
ISTLZJO,X,X,X,X,O,X,O
ISTLZOJ,X,X,X,X,O,X,X
ISTLOJZ,X,O,X,X,X,X,O
ISTLOZJ,X,O,X,X,O,X,X
ISTJLZO,O,X,X,X,O,X,O
ISTJLOZ,X,X,X,X,X,X,O
ISTJZLO,O,X,X,O,O,X,O
ISTJZOL,O,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,X,O,O
ISTJOZL,O,X,X,X,X,X,X
ISTZLJO,O,X,X,X,O,X,O
ISTZLOJ,X,X,X,O,O,X,X
ISTZJLO,X,X,X,X,O,X,X
ISTZJOL,X,X,X,X,X,X,X
ISTZOLJ,X,X,X,O,O,X,X
ISTZOJL,X,X,X,O,X,X,X
ISTOLJZ,X,O,X,X,X,O,O
ISTOLZJ,X,O,X,X,O,X,X
ISTOJLZ,X,O,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X
ISTOZLJ,X,O,X,X,O,X,X
ISTOZJL,X,X,X,X,X,X,X
ISLTJZO,X,X,X,X,O,X,O
ISLTJOZ,X,X,X,X,X,X,O
ISLTZJO,X,X,X,X,O,X,O
ISLTZOJ,X,X,X,X,O,X,X
ISLTOJZ,X,O,X,X,X,X,O
ISLTOZJ,X,O,X,X,O,X,X
ISLJTZO,O,X,X,X,O,X,O
ISLJTOZ,X,X,X,X,X,X,O
ISLJZTO,O,X,X,O,X,X,O
ISLJZOT,O,X,X,O,X,X,X
ISLJOTZ,X,O,X,X,X,X,O
ISLJOZT,X,O,X,X,X,X,X
ISLZTJO,O,X,X,X,O,X,O
ISLZTOJ,X,X,X,O,O,X,X
ISLZJTO,O,X,X,X,X,X,X
ISLZJOT,O,X,X,O,X,X,X
ISLZOTJ,X,X,X,O,X,X,X
ISLZOJT,O,X,X,O,X,X,X
ISLOTJZ,X,O,X,X,O,X,O
ISLOTZJ,X,O,X,X,O,X,X
ISLOJTZ,X,O,X,X,O,X,X
ISLOJZT,X,O,X,X,X,X,X
ISLOZTJ,X,O,X,O,O,X,X
ISLOZJT,X,X,X,O,X,X,X
ISJTLZO,O,X,X,X,O,X,O
ISJTLOZ,X,X,X,X,X,X,O
ISJTZLO,O,X,X,O,O,X,O
ISJTZOL,O,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,X,O,O
ISJTOZL,O,X,X,X,X,X,X
ISJLTZO,O,X,X,X,O,X,O
ISJLTOZ,X,X,X,X,X,X,O
ISJLZTO,O,X,X,O,X,X,O
ISJLZOT,O,X,X,O,X,X,X
ISJLOTZ,X,O,X,X,X,X,O
ISJLOZT,X,O,X,X,X,X,X
ISJZTLO,O,X,X,O,X,X,O
ISJZTOL,O,X,X,X,X,X,X
ISJZLTO,O,X,X,O,X,X,O
ISJZLOT,O,X,X,O,X,X,X
ISJZOTL,X,X,X,O,X,X,X
ISJZOLT,O,X,X,O,X,X,X
ISJOTLZ,X,O,X,X,X,O,O
ISJOTZL,O,O,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,O,O
ISJOLZT,X,O,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X
ISJOZLT,O,O,X,O,X,X,X
ISZTLJO,O,X,X,X,O,X,O
ISZTLOJ,X,X,X,O,O,X,X
ISZTJLO,X,X,X,X,O,X,X
ISZTJOL,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,O,O,X,X
ISZTOJL,X,X,X,O,X,X,X
ISZLTJO,O,X,X,X,O,X,O
ISZLTOJ,X,X,X,O,O,X,X
ISZLJTO,O,X,X,X,X,X,X
ISZLJOT,O,X,X,O,X,X,X
ISZLOTJ,X,X,X,O,X,X,X
ISZLOJT,O,X,X,O,X,X,X
ISZJTLO,O,X,X,O,X,X,X
ISZJTOL,O,X,X,X,X,X,X
ISZJLTO,O,X,X,O,X,X,X
ISZJLOT,O,X,X,O,X,X,X
ISZJOTL,X,X,X,O,X,X,X
ISZJOLT,O,X,X,O,X,X,X
ISZOTLJ,X,X,X,O,X,X,X
ISZOTJL,X,X,X,O,X,X,X
ISZOLTJ,X,X,X,O,X,X,X
ISZOLJT,O,X,X,O,X,X,X
ISZOJTL,X,X,X,O,X,X,X
ISZOJLT,X,X,X,O,X,X,X
ISOTLJZ,X,O,X,X,O,O,O
ISOTLZJ,X,O,X,X,O,X,X
ISOTJLZ,X,O,X,X,O,X,X
ISOTJZL,X,O,X,O,O,X,X
ISOTZLJ,X,O,X,O,O,X,X
ISOTZJL,X,X,X,O,O,X,X
ISOLTJZ,X,O,X,X,O,O,O
ISOLTZJ,X,O,X,X,O,X,X
ISOLJTZ,X,O,X,X,O,X,X
ISOLJZT,X,O,X,O,X,X,X
ISOLZTJ,X,O,X,O,O,X,X
ISOLZJT,X,X,X,O,X,X,X
ISOJTLZ,X,O,X,X,O,X,X
ISOJTZL,O,O,X,O,O,X,X
ISOJLTZ,X,O,X,X,O,X,X
ISOJLZT,X,O,X,O,X,X,X
ISOJZTL,X,O,X,O,X,X,X
ISOJZLT,O,O,X,O,X,X,X
ISOZTLJ,X,O,X,O,O,X,X
ISOZTJL,X,X,X,O,O,X,X
ISOZLTJ,X,O,X,O,O,X,X
ISOZLJT,O,X,X,O,X,X,X
ISOZJTL,X,X,X,O,X,X,X
ISOZJLT,X,X,X,O,X,X,X
IZTLJSO,O,X,O,X,O,X,X
IZTLJOS,O,X,O,X,X,X,X
IZTLSJO,X,X,X,X,O,X,X
IZTLSOJ,X,X,X,O,O,X,X
IZTLOJS,X,X,O,O,X,X,X
IZTLOSJ,X,X,X,O,O,X,X
IZTJLSO,O,X,O,X,O,X,X
IZTJLOS,O,X,O,X,X,X,X
IZTJSLO,O,X,O,X,O,X,X
IZTJSOL,O,X,X,X,X,X,X
IZTJOLS,O,X,O,X,X,O,X
IZTJOSL,O,X,X,X,X,X,X
IZTSLJO,X,X,X,X,O,X,X
IZTSLOJ,X,X,X,O,O,X,X
