sequence,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8Jei6IvhFGcBTdB?5jB3fBllBUrB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBzbB?SiB5jBllB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBTdB?5jBllBfrB6rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhFlbBSiB?5jBzfB8lB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeT6IvhFlbBGdB?5jBykB8lB3rB
JTZOILS,X,O,O,X,O
JTZOISL,O,O,O,X,X
JTZOLIS,X,O,O,X,O
JTZOLSI,X,O,X,X,O
JTZOSIL,O,O,O,X,X
JTZOSLI,O,O,X,X,X
JTOILSZ,O,X,X,X,X
JTOILZS,X,O,X,O,X
JTOISLZ,O,X,X,X,X
JTOISZL,O,X,X,X,X
JTOIZLS,X,O,O,O,X
JTOIZSL,O,O,O,O,X
JTOLISZ,O,X,X,X,X
JTOLIZS,X,O,X,O,X
JTOLSIZ,O,X,X,X,X
JTOLSZI,O,X,X,X,X
JTOLZIS,X,O,X,O,X
JTOLZSI,X,O,X,O,X
JTOSILZ,O,X,X,X,X
JTOSIZL,O,X,X,X,X
JTOSLIZ,O,X,X,X,X
JTOSLZI,O,X,X,X,X
JTOSZIL,O,X,X,X,X
JTOSZLI,O,X,X,X,X
JTOZILS,X,O,O,O,X
JTOZISL,O,O,O,O,X
JTOZLIS,X,O,O,O,X
JTOZLSI,X,O,X,O,X
JTOZSIL,O,O,O,O,X
JTOZSLI,O,O,X,O,X
JITLSZO,O,X,X,X,X
JITLSOZ,O,X,X,X,X
JITLZSO,X,O,X,X,O
JITLZOS,X,O,X,X,O
JITLOSZ,O,X,X,X,X
JITLOZS,X,O,X,O,O
JITSLZO,O,X,X,X,X
JITSLOZ,O,X,X,X,X
JITSZLO,O,X,X,X,X
JITSZOL,O,X,X,X,X
JITSOLZ,O,X,X,X,X
JITSOZL,O,X,X,X,X
JITZLSO,X,O,O,X,O
JITZLOS,X,O,O,X,O
JITZSLO,O,O,O,X,O
JITZSOL,O,O,O,X,X
JITZOLS,X,O,O,X,O
JITZOSL,O,O,O,X,X
JITOLSZ,O,X,X,X,X
JITOLZS,X,O,X,O,X
JITOSLZ,O,X,X,X,X
JITOSZL,O,X,X,X,X
JITOZLS,X,O,O,O,X
JITOZSL,O,O,O,O,X
JILTSZO,O,X,X,X,X
JILTSOZ,O,X,X,X,X
JILTZSO,X,O,X,X,O
JILTZOS,X,O,X,X,O
JILTOSZ,O,X,X,X,X
JILTOZS,X,O,X,O,O
JILSTZO,X,X,X,X,X
JILSTOZ,O,X,X,X,X
JILSZTO,X,O,X,X,O
JILSZOT,O,X,X,X,O
JILSOTZ,O,X,X,X,X
JILSOZT,O,X,X,O,O
JILZTSO,X,O,O,X,O
JILZTOS,X,O,O,O,O
JILZSTO,X,O,X,X,O
JILZSOT,X,X,X,X,O
JILZOTS,X,O,O,O,O
JILZOST,X,X,X,O,O
JILOTSZ,O,X,X,X,X
JILOTZS,X,X,X,O,O
JILOSTZ,O,X,X,X,X
JILOSZT,O,X,X,O,O
JILOZTS,X,O,O,O,O
JILOZST,X,X,X,O,O
JISTLZO,O,X,X,X,X
JISTLOZ,O,X,X,X,X
JISTZLO,O,X,X,X,X
JISTZOL,O,X,X,X,X
JISTOLZ,O,X,X,X,X
JISTOZL,O,X,X,X,X
JISLTZO,O,X,X,X,X
JISLTOZ,O,X,X,X,X
JISLZTO,X,O,X,X,O
JISLZOT,O,X,X,X,O
JISLOTZ,O,X,X,X,X
JISLOZT,O,X,X,O,O
JISZTLO,X,O,O,X,O
JISZTOL,X,O,O,X,X
JISZLTO,X,O,X,X,O
JISZLOT,O,X,X,X,O
JISZOTL,X,X,O,X,X
JISZOLT,O,X,X,X,X
JISOTLZ,O,X,X,X,X
JISOTZL,O,X,X,X,X
JISOLTZ,O,X,X,X,X
JISOLZT,O,X,X,O,X
JISOZTL,X,X,O,O,X
JISOZLT,O,X,X,O,X
JIZTLSO,X,O,O,X,O
JIZTLOS,X,O,O,O,O
JIZTSLO,O,O,O,X,O
JIZTSOL,O,O,O,X,X
JIZTOLS,X,O,O,O,O
JIZTOSL,O,O,O,O,X
JIZLTSO,X,O,O,X,O
JIZLTOS,X,O,O,O,O
JIZLSTO,X,O,X,X,O
JIZLSOT,X,X,X,X,O
JIZLOTS,X,O,O,O,O
JIZLOST,X,X,X,O,O
JIZSTLO,X,O,O,X,O
JIZSTOL,X,O,O,X,X
JIZSLTO,X,O,X,X,O
JIZSLOT,O,X,X,X,O
JIZSOTL,X,X,O,X,X
JIZSOLT,O,X,X,X,X
JIZOTLS,X,O,O,O,O
JIZOTSL,O,O,O,O,X
JIZOLTS,X,O,O,O,O
JIZOLST,X,X,X,O,O
JIZOSTL,X,X,O,O,X
JIZOSLT,O,X,X,O,X
JIOTLSZ,O,X,X,X,X
JIOTLZS,X,X,X,O,X
JIOTSLZ,O,X,X,X,X
JIOTSZL,O,X,X,X,X
JIOTZLS,X,X,O,O,X
JIOTZSL,O,X,O,O,X
JIOLTSZ,O,X,X,X,X
JIOLTZS,X,X,X,O,O
JIOLSTZ,O,X,X,X,X
JIOLSZT,O,X,X,O,O
JIOLZTS,X,O,O,O,O
JIOLZST,X,X,X,O,O
JIOSTLZ,O,X,X,X,X
JIOSTZL,O,X,X,X,X
JIOSLTZ,O,X,X,X,X
JIOSLZT,O,X,X,O,X
JIOSZTL,X,X,O,O,X
JIOSZLT,O,X,X,O,X
JIOZTLS,X,O,O,O,O
JIOZTSL,O,O,O,O,X
JIOZLTS,X,O,O,O,O
JIOZLST,X,X,X,O,O
JIOZSTL,X,X,O,O,X
JIOZSLT,O,X,X,O,X
JLTISZO,O,X,X,X,X
JLTISOZ,O,X,X,X,X
JLTIZSO,X,O,X,X,O
JLTIZOS,X,O,X,X,O
JLTIOSZ,O,X,X,X,X
JLTIOZS,X,O,X,O,O
JLTSIZO,O,X,X,X,X
JLTSIOZ,O,X,X,X,X
JLTSZIO,O,X,X,X,X
JLTSZOI,O,X,X,X,X
JLTSOIZ,O,X,X,X,X
JLTSOZI,O,X,X,X,X
JLTZISO,X,O,X,X,O
JLTZIOS,X,O,X,X,O
JLTZSIO,X,O,X,X,O
JLTZSOI,X,O,X,X,O
JLTZOIS,X,O,X,X,O
JLTZOSI,X,O,X,X,O
JLTOISZ,O,X,X,X,X
JLTOIZS,X,O,X,O,O
JLTOSIZ,O,X,X,X,X
JLTOSZI,O,X,X,X,X
JLTOZIS,X,O,X,O,O
JLTOZSI,X,O,X,O,O
JLITSZO,O,X,X,X,X
JLITSOZ,O,X,X,X,X
JLITZSO,X,O,X,X,O
JLITZOS,X,O,X,X,O
JLITOSZ,O,X,X,X,X
JLITOZS,X,O,X,O,O
JLISTZO,X,X,X,X,X
JLISTOZ,O,X,X,X,X
JLISZTO,X,O,X,X,O
JLISZOT,O,X,X,X,O
JLISOTZ,O,X,X,X,X
JLISOZT,O,X,X,O,O
JLIZTSO,X,O,O,X,O
JLIZTOS,X,O,O,O,O
JLIZSTO,X,O,X,X,O
JLIZSOT,X,X,X,X,O
JLIZOTS,X,O,O,O,O
JLIZOST,X,X,X,O,O
JLIOTSZ,O,X,X,X,X
JLIOTZS,X,X,X,O,O
JLIOSTZ,O,X,X,X,X
JLIOSZT,O,X,X,O,O
JLIOZTS,X,O,O,O,O
JLIOZST,X,X,X,O,O
JLSTIZO,X,X,X,X,X
JLSTIOZ,O,X,X,X,X
JLSTZIO,X,X,X,X,X
JLSTZOI,X,X,X,X,X
JLSTOIZ,O,X,X,X,X
JLSTOZI,X,X,X,X,X
JLSITZO,X,X,X,X,X
JLSITOZ,O,X,X,X,X
JLSIZTO,X,O,X,X,O
JLSIZOT,O,X,X,X,O
JLSIOTZ,O,X,X,X,X
JLSIOZT,O,X,X,O,O
JLSZTIO,X,O,X,X,O
JLSZTOI,X,O,X,X,O
JLSZITO,X,O,X,X,O
JLSZIOT,O,X,X,X,O
JLSZOTI,X,X,X,X,O
JLSZOIT,O,X,X,X,O
JLSOTIZ,O,X,X,X,X
JLSOTZI,X,X,X,X,X
JLSOITZ,O,X,X,X,X
JLSOIZT,O,X,X,O,O
JLSOZTI,X,X,X,O,O
JLSOZIT,O,X,X,O,O
JLZTISO,X,O,O,X,O
JLZTIOS,X,O,O,O,O
JLZTSIO,X,O,X,X,O
JLZTSOI,X,O,X,X,O
JLZTOIS,X,O,O,O,O
JLZTOSI,X,O,X,O,O
JLZITSO,X,O,O,X,O
JLZITOS,X,O,O,O,O
JLZISTO,X,O,X,X,O
JLZISOT,X,X,X,X,O
JLZIOTS,X,O,O,O,O
JLZIOST,X,X,X,O,O
JLZSTIO,X,O,X,X,O
JLZSTOI,X,O,X,X,O
JLZSITO,X,O,X,X,O
JLZSIOT,X,X,X,X,O
JLZSOTI,X,X,X,X,O
JLZSOIT,X,X,X,X,O
JLZOTIS,X,O,O,O,O
JLZOTSI,X,O,X,O,O
JLZOITS,X,O,O,O,O
JLZOIST,X,X,X,O,O
JLZOSTI,X,X,X,O,O
JLZOSIT,X,X,X,O,O
JLOTISZ,O,X,X,X,X
JLOTIZS,X,X,X,O,O
JLOTSIZ,O,X,X,X,X
JLOTSZI,O,X,X,X,X
JLOTZIS,X,X,X,O,O
JLOTZSI,X,X,X,O,O
JLOITSZ,O,X,X,X,X
JLOITZS,X,X,X,O,O
JLOISTZ,O,X,X,X,X
JLOISZT,O,X,X,O,O
JLOIZTS,X,O,O,O,O
JLOIZST,X,X,X,O,O
JLOSTIZ,O,X,X,X,X
JLOSTZI,X,X,X,X,X
JLOSITZ,O,X,X,X,X
JLOSIZT,O,X,X,O,O
JLOSZTI,X,X,X,O,O
JLOSZIT,O,X,X,O,O
JLOZTIS,X,O,O,O,O
JLOZTSI,X,O,X,O,O
JLOZITS,X,O,O,O,O
JLOZIST,X,X,X,O,O
JLOZSTI,X,X,X,O,O
JLOZSIT,X,X,X,O,O
JSTILZO,O,X,X,X,X
JSTILOZ,O,X,X,X,X
JSTIZLO,O,X,X,X,X
JSTIZOL,O,X,X,X,X
JSTIOLZ,O,X,X,X,X
JSTIOZL,O,X,X,X,X
JSTLIZO,O,X,X,X,X
JSTLIOZ,O,X,X,X,X
JSTLZIO,O,X,X,X,X
JSTLZOI,O,X,X,X,X
JSTLOIZ,O,X,X,X,X
JSTLOZI,O,X,X,X,X
JSTZILO,O,X,X,X,X
JSTZIOL,O,X,X,X,X
JSTZLIO,O,X,X,X,X
JSTZLOI,O,X,X,X,X
JSTZOIL,O,X,X,X,X
JSTZOLI,O,X,X,X,X
JSTOILZ,O,X,X,X,X
JSTOIZL,O,X,X,X,X
JSTOLIZ,O,X,X,X,X
JSTOLZI,O,X,X,X,X
JSTOZIL,O,X,X,X,X
JSTOZLI,O,X,X,X,X
JSITLZO,O,X,X,X,X
JSITLOZ,O,X,X,X,X
JSITZLO,O,X,X,X,X
JSITZOL,O,X,X,X,X
JSITOLZ,O,X,X,X,X
JSITOZL,O,X,X,X,X
JSILTZO,O,X,X,X,X
JSILTOZ,O,X,X,X,X
JSILZTO,X,O,X,X,O
JSILZOT,O,X,X,X,O
JSILOTZ,O,X,X,X,X
JSILOZT,O,X,X,O,O
JSIZTLO,X,O,O,X,O
JSIZTOL,X,O,O,X,X
JSIZLTO,X,O,X,X,O
JSIZLOT,O,X,X,X,O
JSIZOTL,X,X,O,X,X
JSIZOLT,O,X,X,X,X
JSIOTLZ,O,X,X,X,X
JSIOTZL,O,X,X,X,X
JSIOLTZ,O,X,X,X,X
JSIOLZT,O,X,X,O,X
JSIOZTL,X,X,O,O,X
JSIOZLT,O,X,X,O,X
JSLTIZO,O,X,X,X,X
JSLTIOZ,O,X,X,X,X
JSLTZIO,O,X,X,X,X
JSLTZOI,O,X,X,X,X
JSLTOIZ,O,X,X,X,X
JSLTOZI,O,X,X,X,X
JSLITZO,O,X,X,X,X
JSLITOZ,O,X,X,X,X
JSLIZTO,X,O,X,X,O
JSLIZOT,O,X,X,X,O
JSLIOTZ,O,X,X,X,X
JSLIOZT,O,X,X,O,O
JSLZTIO,X,O,X,X,O
JSLZTOI,X,O,X,X,O
JSLZITO,X,O,X,X,O
JSLZIOT,O,X,X,X,O
JSLZOTI,X,X,X,X,O
JSLZOIT,O,X,X,X,O
JSLOTIZ,O,X,X,X,X
JSLOTZI,O,X,X,X,X
JSLOITZ,O,X,X,X,X
JSLOIZT,O,X,X,O,O
JSLOZTI,X,X,X,O,O
JSLOZIT,O,X,X,O,O
JSZTILO,X,O,O,X,O
JSZTIOL,X,O,O,X,X
JSZTLIO,X,O,X,X,O
JSZTLOI,X,O,X,X,O
JSZTOIL,X,O,O,X,X
JSZTOLI,X,O,X,X,X
JSZITLO,X,O,O,X,O
JSZITOL,X,O,O,X,X
JSZILTO,X,O,X,X,O
JSZILOT,O,X,X,X,O
JSZIOTL,X,X,O,X,X
JSZIOLT,O,X,X,X,X
JSZLTIO,X,O,X,X,O
JSZLTOI,X,O,X,X,O
JSZLITO,X,O,X,X,O
JSZLIOT,O,X,X,X,O
JSZLOTI,X,X,X,X,O
JSZLOIT,O,X,X,X,O
JSZOTIL,X,X,O,X,X
JSZOTLI,X,X,X,X,X
JSZOITL,X,X,O,X,X
JSZOILT,O,X,X,X,X
JSZOLTI,X,X,X,X,X
JSZOLIT,O,X,X,X,X
JSOTILZ,O,X,X,X,X
JSOTIZL,O,X,X,X,X
JSOTLIZ,O,X,X,X,X
JSOTLZI,O,X,X,X,X
JSOTZIL,O,X,X,X,X
JSOTZLI,O,X,X,X,X
JSOITLZ,O,X,X,X,X
JSOITZL,O,X,X,X,X
JSOILTZ,O,X,X,X,X
JSOILZT,O,X,X,O,X
JSOIZTL,X,X,O,O,X
JSOIZLT,O,X,X,O,X
JSOLTIZ,O,X,X,X,X
JSOLTZI,O,X,X,X,X
JSOLITZ,O,X,X,X,X
JSOLIZT,O,X,X,O,X
JSOLZTI,X,X,X,O,X
JSOLZIT,O,X,X,O,X
JSOZTIL,X,X,O,O,X
JSOZTLI,X,X,X,O,X
JSOZITL,X,X,O,O,X
JSOZILT,O,X,X,O,X
JSOZLTI,X,X,X,O,X
JSOZLIT,O,X,X,O,X
JZTILSO,X,O,O,X,O
JZTILOS,X,O,O,O,O
JZTISLO,O,O,O,X,O
JZTISOL,O,O,O,X,X
JZTIOLS,X,O,O,O,O
JZTIOSL,O,O,O,O,X
JZTLISO,X,O,O,X,O
JZTLIOS,X,O,O,O,O
JZTLSIO,X,O,X,X,O
JZTLSOI,X,O,X,X,O
JZTLOIS,X,O,O,O,O
JZTLOSI,X,O,X,O,O
JZTSILO,O,O,O,X,O
JZTSIOL,O,O,O,X,X
JZTSLIO,O,O,X,X,O
JZTSLOI,O,O,X,X,O
JZTSOIL,O,O,O,X,X
JZTSOLI,O,O,X,X,X
JZTOILS,X,O,O,O,O
JZTOISL,O,O,O,O,X
JZTOLIS,X,O,O,O,O
JZTOLSI,X,O,X,O,O
JZTOSIL,O,O,O,O,X
JZTOSLI,O,O,X,O,X
JZITLSO,X,O,O,X,O
JZITLOS,X,O,O,O,O
JZITSLO,O,O,O,X,O
JZITSOL,O,O,O,X,X
JZITOLS,X,O,O,O,O
JZITOSL,O,O,O,O,X
JZILTSO,X,O,O,X,O
JZILTOS,X,O,O,O,O
JZILSTO,X,O,X,X,O
JZILSOT,X,X,X,X,O
JZILOTS,X,O,O,O,O
JZILOST,X,X,X,O,O
JZISTLO,X,O,O,X,O
JZISTOL,X,O,O,X,X
JZISLTO,X,O,X,X,O
JZISLOT,O,X,X,X,O
JZISOTL,X,X,O,X,X
JZISOLT,O,X,X,X,X
JZIOTLS,X,O,O,O,O
JZIOTSL,O,O,O,O,X
JZIOLTS,X,O,O,O,O
JZIOLST,X,X,X,O,O
JZIOSTL,X,X,O,O,X
JZIOSLT,O,X,X,O,X
JZLTISO,X,O,O,X,O
JZLTIOS,X,O,O,O,O
JZLTSIO,X,O,X,X,O
JZLTSOI,X,O,X,X,O
JZLTOIS,X,O,O,O,O
JZLTOSI,X,O,X,O,O
JZLITSO,X,O,O,X,O
JZLITOS,X,O,O,O,O
JZLISTO,X,O,X,X,O
JZLISOT,X,X,X,X,O
JZLIOTS,X,O,O,O,O
JZLIOST,X,X,X,O,O
JZLSTIO,X,O,X,X,O
JZLSTOI,X,O,X,X,O
JZLSITO,X,O,X,X,O
JZLSIOT,X,X,X,X,O
JZLSOTI,X,X,X,X,O
JZLSOIT,X,X,X,X,O
JZLOTIS,X,O,O,O,O
JZLOTSI,X,O,X,O,O
JZLOITS,X,O,O,O,O
JZLOIST,X,X,X,O,O
JZLOSTI,X,X,X,O,O
JZLOSIT,X,X,X,O,O
JZSTILO,X,O,O,X,O
JZSTIOL,X,O,O,X,X
JZSTLIO,X,O,X,X,O
JZSTLOI,X,O,X,X,O
JZSTOIL,X,O,O,X,X
JZSTOLI,X,O,X,X,X
JZSITLO,X,O,O,X,O
JZSITOL,X,O,O,X,X
JZSILTO,X,O,X,X,O
JZSILOT,O,X,X,X,O
JZSIOTL,X,X,O,X,X
JZSIOLT,O,X,X,X,X
JZSLTIO,X,O,X,X,O
JZSLTOI,X,O,X,X,O
JZSLITO,X,O,X,X,O
JZSLIOT,O,X,X,X,O
JZSLOTI,X,X,X,X,O
JZSLOIT,O,X,X,X,O
JZSOTIL,X,X,O,X,X
JZSOTLI,X,X,X,X,X
JZSOITL,X,X,O,X,X
JZSOILT,O,X,X,X,X
JZSOLTI,X,X,X,X,X
JZSOLIT,O,X,X,X,X
JZOTILS,X,O,O,O,O
JZOTISL,O,O,O,O,X
JZOTLIS,X,O,O,O,O
JZOTLSI,X,O,X,O,O
JZOTSIL,O,O,O,O,X
JZOTSLI,O,O,X,O,X
JZOITLS,X,O,O,O,O
JZOITSL,O,O,O,O,X
JZOILTS,X,O,O,O,O
JZOILST,X,X,X,O,O
JZOISTL,X,X,O,O,X
JZOISLT,O,X,X,O,X
JZOLTIS,X,O,O,O,O
JZOLTSI,X,O,X,O,O
JZOLITS,X,O,O,O,O
JZOLIST,X,X,X,O,O
JZOLSTI,X,X,X,O,O
JZOLSIT,X,X,X,O,O
JZOSTIL,X,X,O,O,X
JZOSTLI,X,X,X,O,X
JZOSITL,X,X,O,O,X
JZOSILT,O,X,X,O,X
JZOSLTI,X,X,X,O,X
JZOSLIT,O,X,X,O,X
JOTILSZ,O,X,X,X,X
JOTILZS,X,X,X,O,X
JOTISLZ,O,X,X,X,X
JOTISZL,O,X,X,X,X
JOTIZLS,X,X,O,O,X
JOTIZSL,O,X,O,O,X
JOTLISZ,O,X,X,X,X
JOTLIZS,X,X,X,O,X
JOTLSIZ,O,X,X,X,X
JOTLSZI,O,X,X,X,X
JOTLZIS,X,X,X,O,X
JOTLZSI,X,X,X,O,X
JOTSILZ,O,X,X,X,X
JOTSIZL,O,X,X,X,X
JOTSLIZ,O,X,X,X,X
JOTSLZI,O,X,X,X,X
JOTSZIL,O,X,X,X,X
JOTSZLI,O,X,X,X,X
JOTZILS,X,X,O,O,X
JOTZISL,O,X,O,O,X
JOTZLIS,X,X,O,O,X
JOTZLSI,X,X,X,O,X
JOTZSIL,O,X,O,O,X
JOTZSLI,O,X,X,O,X
JOITLSZ,O,X,X,X,X
JOITLZS,X,X,X,O,X
JOITSLZ,O,X,X,X,X
JOITSZL,O,X,X,X,X
JOITZLS,X,X,O,O,X
JOITZSL,O,X,O,O,X
JOILTSZ,O,X,X,X,X
JOILTZS,X,X,X,O,O
JOILSTZ,O,X,X,X,X
JOILSZT,O,X,X,O,O
JOILZTS,X,O,O,O,O
JOILZST,X,X,X,O,O
JOISTLZ,O,X,X,X,X
JOISTZL,O,X,X,X,X
JOISLTZ,O,X,X,X,X
JOISLZT,O,X,X,O,X
JOISZTL,X,X,O,O,X
JOISZLT,O,X,X,O,X
JOIZTLS,X,O,O,O,O
JOIZTSL,O,O,O,O,X
JOIZLTS,X,O,O,O,O
JOIZLST,X,X,X,O,O
JOIZSTL,X,X,O,O,X
JOIZSLT,O,X,X,O,X
JOLTISZ,O,X,X,X,X
JOLTIZS,X,X,X,O,O
JOLTSIZ,O,X,X,X,X
JOLTSZI,O,X,X,X,X
JOLTZIS,X,X,X,O,O
JOLTZSI,X,X,X,O,O
JOLITSZ,O,X,X,X,X
JOLITZS,X,X,X,O,O
JOLISTZ,O,X,X,X,X
JOLISZT,O,X,X,O,O
JOLIZTS,X,O,O,O,O
JOLIZST,X,X,X,O,O
JOLSTIZ,O,X,X,X,X
JOLSTZI,X,X,X,X,X
JOLSITZ,O,X,X,X,X
JOLSIZT,O,X,X,O,O
JOLSZTI,X,X,X,O,O
JOLSZIT,O,X,X,O,O
JOLZTIS,X,O,O,O,O
JOLZTSI,X,O,X,O,O
JOLZITS,X,O,O,O,O
JOLZIST,X,X,X,O,O
JOLZSTI,X,X,X,O,O
JOLZSIT,X,X,X,O,O
JOSTILZ,O,X,X,X,X
JOSTIZL,O,X,X,X,X
JOSTLIZ,O,X,X,X,X
JOSTLZI,O,X,X,X,X
JOSTZIL,O,X,X,X,X
JOSTZLI,O,X,X,X,X
JOSITLZ,O,X,X,X,X
JOSITZL,O,X,X,X,X
JOSILTZ,O,X,X,X,X
JOSILZT,O,X,X,O,X
JOSIZTL,X,X,O,O,X
JOSIZLT,O,X,X,O,X
JOSLTIZ,O,X,X,X,X
JOSLTZI,O,X,X,X,X
JOSLITZ,O,X,X,X,X
JOSLIZT,O,X,X,O,X
JOSLZTI,X,X,X,O,X
JOSLZIT,O,X,X,O,X
JOSZTIL,X,X,O,O,X
JOSZTLI,X,X,X,O,X
JOSZITL,X,X,O,O,X
JOSZILT,O,X,X,O,X
JOSZLTI,X,X,X,O,X
JOSZLIT,O,X,X,O,X
JOZTILS,X,O,O,O,O
JOZTISL,O,O,O,O,X
JOZTLIS,X,O,O,O,O
JOZTLSI,X,O,X,O,O
JOZTSIL,O,O,O,O,X
JOZTSLI,O,O,X,O,X
JOZITLS,X,O,O,O,O
JOZITSL,O,O,O,O,X
JOZILTS,X,O,O,O,O
JOZILST,X,X,X,O,O
JOZISTL,X,X,O,O,X
JOZISLT,O,X,X,O,X
JOZLTIS,X,O,O,O,O
JOZLTSI,X,O,X,O,O
JOZLITS,X,O,O,O,O
JOZLIST,X,X,X,O,O
JOZLSTI,X,X,X,O,O
JOZLSIT,X,X,X,O,O
JOZSTIL,X,X,O,O,X
JOZSTLI,X,X,X,O,X
JOZSITL,X,X,O,O,X
JOZSILT,O,X,X,O,X
JOZSLTI,X,X,X,O,X
JOZSLIT,O,X,X,O,X
STILJZO,O,X,X,X,X
STILJOZ,O,X,X,X,X
STILZJO,O,O,X,X,X
STILZOJ,O,O,X,X,X
STILOJZ,O,X,X,X,X
STILOZJ,O,O,X,X,X
STIJLZO,O,X,X,X,X
STIJLOZ,O,X,X,X,X
STIJZLO,O,X,X,X,X
STIJZOL,O,X,X,X,X
STIJOLZ,O,X,X,X,X
STIJOZL,O,X,X,X,X
STIZLJO,O,O,X,X,X
STIZLOJ,O,O,X,X,X
STIZJLO,O,O,O,X,X
STIZJOL,O,O,O,X,X
STIZOLJ,O,O,X,X,X
STIZOJL,O,O,O,X,X
STIOLJZ,O,X,X,X,X
STIOLZJ,O,O,X,X,X
STIOJLZ,O,X,X,X,X
STIOJZL,O,X,X,X,X
STIOZLJ,O,O,X,X,X
STIOZJL,O,O,O,X,X
STLIJZO,O,X,X,X,X
STLIJOZ,O,X,X,X,X
STLIZJO,O,O,X,X,X
STLIZOJ,O,O,X,X,X
STLIOJZ,O,X,X,X,X
STLIOZJ,O,O,X,X,X
STLJIZO,O,X,X,X,X
STLJIOZ,O,X,X,X,X
STLJZIO,O,X,X,X,X
STLJZOI,O,X,X,X,X
STLJOIZ,O,X,X,X,X
STLJOZI,O,X,X,X,X
STLZIJO,O,O,X,X,X
STLZIOJ,O,O,X,X,X
STLZJIO,O,O,X,X,X
STLZJOI,O,O,X,X,X
STLZOIJ,O,O,X,X,X
STLZOJI,O,O,X,X,X
STLOIJZ,O,X,X,X,X
STLOIZJ,O,O,X,X,X
STLOJIZ,O,X,X,X,X
STLOJZI,O,X,X,X,X
STLOZIJ,O,O,X,X,X
STLOZJI,O,O,X,X,X
STJILZO,O,X,X,X,X
STJILOZ,O,X,X,X,X
STJIZLO,O,X,X,X,X
STJIZOL,O,X,X,X,X
STJIOLZ,O,X,X,X,X
STJIOZL,O,X,X,X,X
STJLIZO,O,X,X,X,X
STJLIOZ,O,X,X,X,X
STJLZIO,O,X,X,X,X
STJLZOI,O,X,X,X,X
STJLOIZ,O,X,X,X,X
STJLOZI,O,X,X,X,X
STJZILO,O,X,X,X,X
STJZIOL,O,X,X,X,X
STJZLIO,O,X,X,X,X
STJZLOI,O,X,X,X,X
STJZOIL,O,X,X,X,X
STJZOLI,O,X,X,X,X
STJOILZ,O,X,X,X,X
STJOIZL,O,X,X,X,X
STJOLIZ,O,X,X,X,X
STJOLZI,O,X,X,X,X
STJOZIL,O,X,X,X,X
STJOZLI,O,X,X,X,X
STZILJO,O,O,X,X,X
STZILOJ,O,O,X,X,X
STZIJLO,O,O,O,X,X
STZIJOL,O,O,O,X,X
STZIOLJ,O,O,X,X,X
STZIOJL,O,O,O,X,X
STZLIJO,O,O,X,X,X
STZLIOJ,O,O,X,X,X
STZLJIO,O,O,X,X,X
STZLJOI,O,O,X,X,X
STZLOIJ,O,O,X,X,X
STZLOJI,O,O,X,X,X
STZJILO,O,O,O,X,X
STZJIOL,O,O,O,X,X
STZJLIO,O,O,X,X,X
STZJLOI,O,O,X,X,X
STZJOIL,O,O,O,X,X
STZJOLI,O,O,X,X,X
STZOILJ,O,O,X,X,X
STZOIJL,O,O,O,X,X
STZOLIJ,O,O,X,X,X
STZOLJI,O,O,X,X,X
STZOJIL,O,O,O,X,X
STZOJLI,O,O,X,X,X
STOILJZ,O,X,X,X,X
STOILZJ,O,O,X,X,X
STOIJLZ,O,X,X,X,X
STOIJZL,O,X,X,X,X
STOIZLJ,O,O,X,X,X
STOIZJL,O,O,O,X,X
STOLIJZ,O,X,X,X,X
STOLIZJ,O,O,X,X,X
STOLJIZ,O,X,X,X,X
STOLJZI,O,X,X,X,X
STOLZIJ,O,O,X,X,X
STOLZJI,O,O,X,X,X
STOJILZ,O,X,X,X,X
STOJIZL,O,X,X,X,X
STOJLIZ,O,X,X,X,X
STOJLZI,O,X,X,X,X
STOJZIL,O,X,X,X,X
STOJZLI,O,X,X,X,X
STOZILJ,O,O,X,X,X
STOZIJL,O,O,O,X,X
STOZLIJ,O,O,X,X,X
STOZLJI,O,O,X,X,X
STOZJIL,O,O,O,X,X
STOZJLI,O,O,X,X,X
SITLJZO,O,X,X,X,X
SITLJOZ,O,X,X,X,X
SITLZJO,O,O,X,X,X
SITLZOJ,O,O,X,X,X
SITLOJZ,O,X,X,X,X
SITLOZJ,O,O,X,X,X
SITJLZO,O,X,X,X,X
SITJLOZ,O,X,X,X,X
SITJZLO,O,X,X,X,X
SITJZOL,O,X,X,X,X
SITJOLZ,O,X,X,X,X
SITJOZL,O,X,X,X,X
SITZLJO,O,O,X,X,X
SITZLOJ,O,O,X,X,X
SITZJLO,O,O,O,X,X
SITZJOL,O,O,O,X,X
SITZOLJ,O,O,X,X,X
SITZOJL,O,O,O,X,X
SITOLJZ,O,X,X,X,X
SITOLZJ,O,O,X,X,X
SITOJLZ,O,X,X,X,X
SITOJZL,O,X,X,X,X
SITOZLJ,O,O,X,X,X
SITOZJL,O,O,O,X,X
SILTJZO,O,X,X,X,X
SILTJOZ,O,X,X,X,X
SILTZJO,O,O,X,X,X
