sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB
TZLSOIJ,O,O,O,O,O,O,X
TZLSOJI,O,O,O,O,O,O,X
TZLOIJS,O,O,X,O,O,O,X
TZLOISJ,O,O,X,O,O,O,X
TZLOJIS,O,O,X,O,O,O,X
TZLOJSI,O,O,X,O,O,O,X
TZLOSIJ,O,O,X,O,O,O,X
TZLOSJI,O,O,X,O,O,O,X
TZJILSO,O,O,O,O,O,O,X
TZJILOS,O,O,X,O,O,O,X
TZJISLO,O,O,O,O,O,O,X
TZJISOL,O,O,O,O,O,O,O
TZJIOLS,O,O,X,O,O,O,X
TZJIOSL,O,O,X,O,O,O,O
TZJLISO,O,O,O,O,O,O,X
TZJLIOS,O,O,X,O,O,O,X
TZJLSIO,O,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,O,X
TZJLOIS,O,O,X,O,O,O,X
TZJLOSI,O,O,X,O,O,O,X
TZJSILO,O,O,O,O,O,O,X
TZJSIOL,O,O,O,O,O,O,O
TZJSLIO,O,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,O,O
TZJSOLI,O,O,O,O,O,O,X
TZJOILS,O,O,X,O,O,O,X
TZJOISL,O,O,X,O,O,O,O
TZJOLIS,O,O,X,O,O,O,X
TZJOLSI,O,O,X,O,O,O,X
TZJOSIL,O,O,X,O,O,O,O
TZJOSLI,O,O,X,O,O,O,X
TZSILJO,O,O,O,O,O,O,X
TZSILOJ,O,O,O,O,O,O,X
TZSIJLO,O,O,O,O,O,O,X
TZSIJOL,O,O,O,O,O,O,O
TZSIOLJ,O,O,O,O,O,O,X
TZSIOJL,O,O,O,O,O,O,O
TZSLIJO,O,O,O,O,O,O,X
