sequence,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeT6IvhFOgBfiB?xdBCjB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeO/IvhFXbBRdB?SjBUiBzkBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFfiB6iB?TeBmfB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFzcBGeB?ykB3iB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFGdBTeB?/kBalBUiBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeOAJvhFfiBxdB?TfBCjB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFzcBSjB?mfB3iB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeT6IvhFGeBykB?RiBUiBXlBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFSjBTfB?elBUiBfsBlsB
TZISJOL,O,O,O,O,O,X,X,X,X
TZISOLJ,O,O,O,X,O,X,X,X,X
TZISOJL,O,O,O,O,O,X,X,X,X
TZIOLJS,O,O,X,X,O,X,O,X,X
TZIOLSJ,O,O,O,X,X,X,X,X,X
TZIOJLS,O,O,O,O,O,X,O,X,X
TZIOJSL,O,O,O,O,O,X,O,X,X
TZIOSLJ,O,O,O,X,O,X,X,X,X
TZIOSJL,O,O,O,X,O,X,X,X,X
TZLIJSO,O,O,X,O,X,X,O,X,X
TZLIJOS,O,O,X,O,O,X,O,O,X
TZLISJO,O,O,O,O,X,X,X,X,X
TZLISOJ,O,O,O,O,X,X,X,X,X
TZLIOJS,O,O,X,O,O,X,O,O,X
TZLIOSJ,O,O,O,X,X,X,X,X,X
TZLJISO,O,O,O,O,X,X,O,X,X
TZLJIOS,O,O,O,O,O,X,O,O,X
TZLJSIO,O,O,O,O,O,O,O,X,X
TZLJSOI,O,O,O,O,O,O,O,X,X
TZLJOIS,O,O,O,O,O,X,O,O,O
TZLJOSI,O,O,O,X,O,O,O,X,O
TZLSIJO,O,O,O,O,O,O,X,X,X
TZLSIOJ,O,O,O,O,O,O,X,X,X
TZLSJIO,O,O,O,O,O,O,O,X,X
TZLSJOI,O,O,O,O,O,O,O,X,X
TZLSOIJ,O,O,O,O,O,O,X,X,X
TZLSOJI,O,O,O,O,O,O,O,X,X
TZLOIJS,O,O,X,O,O,X,O,O,X
TZLOISJ,O,O,O,X,X,X,X,X,X
TZLOJIS,O,O,O,O,O,X,O,O,X
TZLOJSI,O,O,O,X,O,O,O,X,X
TZLOSIJ,O,O,O,X,O,O,X,X,X
TZLOSJI,O,O,O,X,O,O,O,X,X
TZJILSO,O,O,O,X,X,X,O,X,X
TZJILOS,O,O,O,X,O,X,O,O,X
TZJISLO,O,O,O,X,O,X,O,X,X
TZJISOL,O,O,O,O,O,X,O,X,X
TZJIOLS,O,O,O,O,O,X,O,X,X
TZJIOSL,O,O,O,O,O,X,O,X,X
TZJLISO,O,O,O,O,X,X,O,X,X
TZJLIOS,O,O,O,O,O,X,O,O,X
TZJLSIO,O,O,O,O,O,O,O,X,X
TZJLSOI,O,O,O,O,O,O,O,X,X
TZJLOIS,O,O,O,O,O,X,O,O,O
TZJLOSI,O,O,O,X,O,O,O,X,O
TZJSILO,O,O,O,X,O,X,O,X,X
TZJSIOL,O,O,O,O,O,X,O,X,X
TZJSLIO,O,O,O,O,O,O,O,X,X
TZJSLOI,O,O,O,O,O,O,O,X,X
TZJSOIL,O,O,O,O,O,X,O,X,X
TZJSOLI,O,O,O,O,O,O,O,X,X
TZJOILS,O,O,O,O,O,X,O,X,O
TZJOISL,O,O,O,O,O,X,O,X,X
TZJOLIS,O,O,O,O,O,X,O,X,O
TZJOLSI,O,O,O,X,O,O,O,X,O
TZJOSIL,O,O,O,X,O,X,O,X,X
TZJOSLI,O,O,O,X,O,O,O,X,X
TZSILJO,O,O,O,X,O,X,X,X,X
TZSILOJ,O,O,O,X,O,X,X,X,X
TZSIJLO,O,O,O,X,O,X,X,X,X
TZSIJOL,O,O,O,O,O,X,X,X,X
TZSIOLJ,O,O,O,X,O,X,X,X,X
TZSIOJL,O,O,O,O,O,X,X,X,X
TZSLIJO,O,O,O,O,O,O,X,X,X
TZSLIOJ,O,O,O,O,O,O,X,X,X
TZSLJIO,O,O,O,O,O,O,O,X,X
TZSLJOI,O,O,O,O,O,O,O,X,X
TZSLOIJ,O,O,O,O,O,O,X,X,X
TZSLOJI,O,O,O,O,O,O,O,X,X
TZSJILO,O,O,O,X,O,X,O,X,X
TZSJIOL,O,O,O,O,O,X,O,X,X
TZSJLIO,O,O,O,O,O,O,O,X,X
TZSJLOI,O,O,O,O,O,O,O,X,X
TZSJOIL,O,O,O,O,O,X,O,X,X
TZSJOLI,O,O,O,O,O,O,O,X,X
TZSOILJ,O,O,O,X,O,X,X,X,X
TZSOIJL,O,O,O,O,O,X,X,X,X
TZSOLIJ,O,O,O,O,O,O,X,X,X
TZSOLJI,O,O,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,O,X,O,X,X
TZSOJLI,O,O,O,O,O,O,O,X,X
TZOILJS,O,O,X,X,O,X,O,X,X
TZOILSJ,O,O,O,X,X,X,X,X,X
TZOIJLS,O,O,O,O,O,X,O,X,X
TZOIJSL,O,O,O,O,O,X,O,X,X
TZOISLJ,O,O,O,X,O,X,X,X,X
TZOISJL,O,O,O,X,O,X,X,X,X
TZOLIJS,O,O,X,O,O,X,O,X,X
TZOLISJ,O,O,O,X,X,X,X,X,X
TZOLJIS,O,O,O,O,O,X,O,X,X
TZOLJSI,O,O,O,X,O,O,O,X,X
TZOLSIJ,O,O,O,X,O,O,X,X,X
TZOLSJI,O,O,O,X,O,O,O,X,X
TZOJILS,O,O,O,O,O,X,O,X,X
TZOJISL,O,O,O,O,O,X,O,X,X
TZOJLIS,O,O,O,O,O,X,O,X,X
TZOJLSI,O,O,O,X,O,O,O,X,X
TZOJSIL,O,O,O,X,O,X,O,X,X
TZOJSLI,O,O,O,X,O,O,O,X,X
TZOSILJ,O,O,O,X,O,X,X,X,X
TZOSIJL,O,O,O,X,O,X,X,X,X
TZOSLIJ,O,O,O,X,O,O,X,X,X
TZOSLJI,O,O,O,X,O,O,O,X,X
TZOSJIL,O,O,O,X,O,X,O,X,X
TZOSJLI,O,O,O,X,O,O,O,X,X
TOILJSZ,X,O,X,O,X,O,X,O,X
TOILJZS,X,O,X,O,X,X,X,O,X
TOILSJZ,X,O,O,O,X,O,X,O,X
TOILSZJ,X,O,O,X,X,O,X,X,X
TOILZJS,X,O,X,O,O,X,O,O,X
TOILZSJ,X,O,X,X,X,X,X,X,X
TOIJLSZ,X,O,X,O,X,O,X,O,X
TOIJLZS,X,O,X,O,X,X,X,O,X
TOIJSLZ,X,O,O,O,X,O,X,X,X
TOIJSZL,X,O,X,O,X,X,X,X,X
TOIJZLS,X,O,X,O,O,X,X,X,X
TOIJZSL,X,O,X,O,O,X,X,X,X
TOISLJZ,X,O,O,O,O,O,X,X,X
TOISLZJ,X,O,O,X,O,O,X,X,X
TOISJLZ,X,O,O,O,X,O,X,X,X
TOISJZL,X,O,X,O,O,X,X,X,X
TOISZLJ,X,O,O,X,O,X,X,X,X
TOISZJL,X,O,O,O,O,X,X,X,X
TOIZLJS,X,O,X,X,O,X,O,X,X
TOIZLSJ,X,O,O,X,X,X,X,X,X
TOIZJLS,X,O,O,O,O,X,O,X,X
TOIZJSL,X,O,O,O,O,X,O,X,X
TOIZSLJ,X,O,O,X,O,X,X,X,X
TOIZSJL,X,O,O,X,O,X,X,X,X
TOLIJSZ,X,O,X,O,X,O,X,O,X
TOLIJZS,X,O,X,O,X,X,X,O,X
TOLISJZ,X,O,O,O,X,O,X,O,X
TOLISZJ,X,O,O,O,X,O,X,X,X
TOLIZJS,X,O,X,O,O,X,O,O,X
TOLIZSJ,X,O,X,X,X,X,X,X,X
TOLJISZ,X,O,X,O,X,O,X,O,X
TOLJIZS,X,O,X,O,X,X,X,O,X
TOLJSIZ,O,O,X,O,X,O,X,O,X
TOLJSZI,O,O,X,O,X,O,X,X,X
TOLJZIS,O,O,X,O,X,X,O,O,X
TOLJZSI,O,O,X,X,X,O,O,X,X
TOLSIJZ,O,O,O,O,O,O,X,O,X
TOLSIZJ,O,O,O,O,O,O,X,X,X
TOLSJIZ,O,O,O,O,O,O,X,O,X
TOLSJZI,O,O,O,O,O,O,X,X,X
TOLSZIJ,O,O,O,O,O,O,X,X,X
TOLSZJI,O,O,O,O,O,O,O,X,X
TOLZIJS,O,O,X,O,O,X,O,O,X
TOLZISJ,O,O,O,X,X,X,X,X,X
TOLZJIS,O,O,O,O,O,X,O,O,X
TOLZJSI,O,O,O,X,O,O,O,X,X
TOLZSIJ,O,O,O,X,O,O,X,X,X
TOLZSJI,O,O,O,X,O,O,O,X,X
TOJILSZ,X,O,X,O,X,O,X,O,X
TOJILZS,X,O,X,O,X,X,X,O,X
TOJISLZ,X,O,O,O,X,O,X,X,X
TOJISZL,X,O,X,O,X,X,X,X,X
TOJIZLS,X,O,X,O,O,X,X,X,X
TOJIZSL,X,O,X,O,O,X,X,X,X
TOJLISZ,X,O,X,O,X,O,X,O,X
TOJLIZS,X,O,X,O,X,X,X,O,X
TOJLSIZ,O,O,X,O,X,O,X,O,X
TOJLSZI,O,O,X,O,X,O,X,X,X
TOJLZIS,O,O,X,O,X,X,O,O,X
TOJLZSI,O,O,X,X,X,O,O,X,X
TOJSILZ,X,O,O,O,X,O,X,X,X
TOJSIZL,O,O,X,O,O,X,X,X,X
TOJSLIZ,O,O,O,O,O,O,X,X,X
TOJSLZI,O,O,O,O,O,O,X,X,X
TOJSZIL,O,O,O,O,O,X,X,X,X
TOJSZLI,O,O,O,O,O,O,X,X,X
TOJZILS,O,O,O,O,O,X,O,X,X
TOJZISL,O,O,O,O,O,X,O,X,X
TOJZLIS,O,O,O,O,O,X,O,X,X
TOJZLSI,O,O,O,X,O,O,O,X,X
TOJZSIL,O,O,O,X,O,X,O,X,X
TOJZSLI,O,O,O,X,O,O,O,X,X
TOSILJZ,X,O,O,O,O,O,X,X,X
TOSILZJ,X,O,O,O,O,O,X,X,X
TOSIJLZ,X,O,O,O,X,O,X,X,X
TOSIJZL,O,O,X,O,O,X,X,X,X
TOSIZLJ,O,O,O,X,O,X,X,X,X
TOSIZJL,O,O,O,O,O,X,X,X,X
TOSLIJZ,O,O,O,O,O,O,X,X,X
TOSLIZJ,O,O,O,O,O,O,X,X,X
TOSLJIZ,O,O,O,O,O,O,X,X,X
TOSLJZI,O,O,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,O,O,O,X,X,X
TOSLZJI,O,O,O,O,O,O,O,X,X
TOSJILZ,X,O,O,O,X,O,X,X,X
TOSJIZL,O,O,X,O,O,X,X,X,X
TOSJLIZ,O,O,O,O,O,O,X,X,X
TOSJLZI,O,O,O,O,O,O,X,X,X
TOSJZIL,O,O,O,O,O,X,X,X,X
TOSJZLI,O,O,O,O,O,O,X,X,X
TOSZILJ,O,O,O,X,O,X,X,X,X
TOSZIJL,O,O,O,O,O,X,X,X,X
TOSZLIJ,O,O,O,O,O,O,X,X,X
TOSZLJI,O,O,O,O,O,O,O,X,X
TOSZJIL,O,O,O,O,O,X,O,X,X
TOSZJLI,O,O,O,O,O,O,O,X,X
TOZILJS,O,O,X,X,O,X,O,X,X
TOZILSJ,O,O,O,X,X,X,X,X,X
TOZIJLS,O,O,O,O,O,X,O,X,X
TOZIJSL,O,O,O,O,O,X,O,X,X
TOZISLJ,O,O,O,X,O,X,X,X,X
TOZISJL,O,O,O,X,O,X,X,X,X
TOZLIJS,O,O,X,O,O,X,O,X,X
TOZLISJ,O,O,O,X,X,X,X,X,X
TOZLJIS,O,O,O,O,O,X,O,X,X
TOZLJSI,O,O,O,X,O,O,O,X,X
TOZLSIJ,O,O,O,X,O,O,X,X,X
TOZLSJI,O,O,O,X,O,O,O,X,X
TOZJILS,O,O,O,O,O,X,O,X,X
TOZJISL,O,O,O,O,O,X,O,X,X
TOZJLIS,O,O,O,O,O,X,O,X,X
TOZJLSI,O,O,O,X,O,O,O,X,X
TOZJSIL,O,O,O,X,O,X,O,X,X
TOZJSLI,O,O,O,X,O,O,O,X,X
TOZSILJ,O,O,O,X,O,X,X,X,X
TOZSIJL,O,O,O,X,O,X,X,X,X
TOZSLIJ,O,O,O,X,O,O,X,X,X
TOZSLJI,O,O,O,X,O,O,O,X,X
TOZSJIL,O,O,O,X,O,X,O,X,X
TOZSJLI,O,O,O,X,O,O,O,X,X
ITLJSZO,O,O,X,O,X,O,X,X,X
ITLJSOZ,O,O,X,O,X,O,X,O,X
ITLJZSO,O,O,X,O,X,X,X,X,X
ITLJZOS,O,O,X,O,X,X,X,O,X
ITLJOSZ,X,O,X,O,X,O,X,O,X
ITLJOZS,X,O,X,O,X,X,X,O,X
ITLSJZO,O,O,X,O,X,O,X,X,X
ITLSJOZ,O,O,O,O,X,O,X,O,X
ITLSZJO,O,O,X,O,X,O,X,X,X
ITLSZOJ,O,O,O,O,X,O,X,X,X
ITLSOJZ,O,O,O,O,X,O,X,O,X
ITLSOZJ,O,O,O,O,X,O,X,X,X
ITLZJSO,O,O,X,O,X,X,O,X,X
ITLZJOS,O,O,X,O,O,X,O,O,X
ITLZSJO,O,O,X,O,X,X,X,X,X
ITLZSOJ,O,O,X,O,X,X,X,X,X
ITLZOJS,O,O,X,O,O,X,O,O,X
ITLZOSJ,O,O,X,X,X,X,X,X,X
ITLOJSZ,X,O,X,O,X,O,X,O,X
ITLOJZS,X,O,X,O,X,X,X,O,X
ITLOSJZ,X,O,O,O,X,O,X,O,X
ITLOSZJ,X,O,O,O,X,O,X,X,X
ITLOZJS,X,O,X,O,O,X,O,O,X
ITLOZSJ,X,O,X,X,X,X,X,X,X
ITJLSZO,O,O,X,O,X,O,X,X,X
ITJLSOZ,O,O,X,O,X,O,X,O,X
ITJLZSO,O,O,X,O,X,X,X,X,X
ITJLZOS,O,O,X,O,X,X,X,O,X
ITJLOSZ,X,O,X,O,X,O,X,O,X
ITJLOZS,X,X,X,O,X,X,X,O,X
ITJSLZO,O,O,X,O,X,O,X,X,X
ITJSLOZ,O,O,O,O,X,O,X,O,X
ITJSZLO,O,O,X,X,X,X,X,X,X
ITJSZOL,O,O,X,O,X,X,X,X,X
ITJSOLZ,X,X,O,O,X,O,X,X,X
ITJSOZL,O,X,X,O,X,X,X,X,X
ITJZLSO,O,O,X,X,X,X,X,X,X
ITJZLOS,O,O,X,X,O,X,X,O,X
ITJZSLO,O,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,O,O,X,X,X,X
ITJZOLS,O,O,X,O,O,X,X,X,X
ITJZOSL,O,O,X,O,O,X,X,X,X
ITJOLSZ,X,X,X,O,X,O,X,O,X
ITJOLZS,X,X,X,O,X,X,X,O,X
ITJOSLZ,X,X,O,O,X,O,X,X,X
ITJOSZL,X,X,X,O,X,X,X,X,X
ITJOZLS,X,X,X,O,O,X,X,X,X
ITJOZSL,X,X,X,O,O,X,X,X,X
ITSLJZO,O,O,X,O,O,O,X,X,X
ITSLJOZ,O,O,O,O,O,O,X,O,X
ITSLZJO,O,O,O,O,O,O,X,X,X
ITSLZOJ,O,O,O,O,O,O,X,X,X
ITSLOJZ,O,O,O,O,O,O,X,O,X
ITSLOZJ,O,X,O,O,O,O,X,X,X
ITSJLZO,O,O,X,O,X,O,X,X,X
ITSJLOZ,O,O,O,O,X,O,X,O,X
ITSJZLO,O,O,X,X,O,X,X,X,X
ITSJZOL,O,O,X,O,O,X,X,X,X
ITSJOLZ,X,X,O,O,X,O,X,X,X
ITSJOZL,O,X,X,O,O,X,X,X,X
ITSZLJO,O,O,O,X,O,X,X,X,X
ITSZLOJ,O,O,O,X,O,X,X,X,X
ITSZJLO,O,O,O,X,O,X,X,X,X
ITSZJOL,O,O,O,O,O,X,X,X,X
ITSZOLJ,O,O,O,X,O,X,X,X,X
ITSZOJL,O,O,O,O,O,X,X,X,X
ITSOLJZ,X,X,O,O,O,O,X,X,X
ITSOLZJ,X,X,O,O,O,O,X,X,X
ITSOJLZ,X,X,O,O,X,O,X,X,X
ITSOJZL,O,X,X,O,O,X,X,X,X
ITSOZLJ,O,X,O,X,O,X,X,X,X
ITSOZJL,O,X,O,O,O,X,X,X,X
ITZLJSO,O,O,X,X,X,X,O,X,X
ITZLJOS,O,O,X,X,O,X,O,O,X
ITZLSJO,O,O,O,X,X,X,X,X,X
ITZLSOJ,O,O,O,X,X,X,X,X,X
ITZLOJS,O,O,X,X,O,X,O,O,X
ITZLOSJ,O,O,O,X,X,X,X,X,X
ITZJLSO,O,O,O,X,X,X,O,X,X
ITZJLOS,O,O,O,X,O,X,O,O,X
ITZJSLO,O,O,O,X,O,X,O,X,X
ITZJSOL,O,O,O,O,O,X,O,X,X
ITZJOLS,O,O,O,O,O,X,O,X,X
ITZJOSL,O,O,O,O,O,X,O,X,X
ITZSLJO,O,O,O,X,O,X,X,X,X
ITZSLOJ,O,O,O,X,O,X,X,X,X
ITZSJLO,O,O,O,X,O,X,X,X,X
ITZSJOL,O,O,O,O,O,X,X,X,X
ITZSOLJ,O,O,O,X,O,X,X,X,X
ITZSOJL,O,O,O,O,O,X,X,X,X
ITZOLJS,O,O,X,X,O,X,O,X,X
ITZOLSJ,O,O,O,X,X,X,X,X,X
ITZOJLS,O,O,O,O,O,X,O,X,X
ITZOJSL,O,O,O,O,O,X,O,X,X
ITZOSLJ,O,O,O,X,O,X,X,X,X
ITZOSJL,O,O,O,X,O,X,X,X,X
ITOLJSZ,X,O,X,O,X,O,X,O,X
ITOLJZS,X,O,X,O,X,X,X,O,X
ITOLSJZ,X,O,O,O,X,O,X,O,X
ITOLSZJ,X,O,O,X,X,O,X,X,X
ITOLZJS,X,O,X,O,O,X,O,O,X
ITOLZSJ,X,O,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,O,X,O,X,O,X
ITOJLZS,X,O,X,O,X,X,X,O,X
ITOJSLZ,X,O,O,O,X,O,X,X,X
ITOJSZL,X,O,X,O,X,X,X,X,X
ITOJZLS,X,O,X,O,O,X,X,X,X
ITOJZSL,X,O,X,O,O,X,X,X,X
ITOSLJZ,X,O,O,O,O,O,X,X,X
ITOSLZJ,X,O,O,X,O,O,X,X,X
ITOSJLZ,X,O,O,O,X,O,X,X,X
ITOSJZL,X,O,X,O,O,X,X,X,X
ITOSZLJ,X,O,O,X,O,X,X,X,X
ITOSZJL,X,O,O,O,O,X,X,X,X
ITOZLJS,X,O,X,X,O,X,O,X,X
ITOZLSJ,X,O,O,X,X,X,X,X,X
ITOZJLS,X,O,O,O,O,X,O,X,X
ITOZJSL,X,O,O,O,O,X,O,X,X
ITOZSLJ,X,O,O,X,O,X,X,X,X
ITOZSJL,X,O,O,X,O,X,X,X,X
ILTJSZO,X,O,X,O,X,X,X,X,X
ILTJSOZ,X,X,X,O,X,X,X,O,X
ILTJZSO,X,X,X,O,X,X,X,X,X
ILTJZOS,X,X,X,O,X,X,X,O,X
ILTJOSZ,X,X,X,O,X,X,X,O,X
ILTJOZS,X,X,X,O,X,X,X,O,X
ILTSJZO,X,O,X,O,X,X,X,X,X
ILTSJOZ,X,X,O,O,X,X,X,O,X
ILTSZJO,X,X,X,O,X,X,X,X,X
ILTSZOJ,X,X,O,O,X,X,X,X,X
ILTSOJZ,X,X,O,O,X,X,X,O,X
ILTSOZJ,X,X,O,O,X,X,X,X,X
ILTZJSO,X,X,X,O,X,X,X,X,X
ILTZJOS,X,X,X,O,O,X,X,O,X
ILTZSJO,X,X,X,O,X,X,X,X,X
ILTZSOJ,X,X,X,O,X,X,X,X,X
ILTZOJS,X,X,X,O,O,X,X,O,X
ILTZOSJ,X,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,O,X,X,X,O,X
ILTOJZS,X,X,X,O,X,X,X,O,X
ILTOSJZ,X,O,O,O,X,X,X,O,X
ILTOSZJ,X,X,O,O,X,X,X,X,X
ILTOZJS,X,X,X,O,O,X,X,O,X
ILTOZSJ,X,X,X,X,X,X,X,X,X
ILJTSZO,X,O,X,O,X,X,X,X,X
ILJTSOZ,X,X,X,O,X,X,X,O,X
ILJTZSO,X,X,X,O,X,X,X,X,X
ILJTZOS,X,X,X,O,X,X,X,O,X
ILJTOSZ,X,X,X,O,X,X,X,O,X
ILJTOZS,X,X,X,O,X,X,X,O,X
ILJSTZO,O,O,X,O,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,O,X,X,X
ILJSZTO,O,O,X,O,X,X,X,X,X
ILJSZOT,O,O,X,O,X,O,X,X,X
ILJSOTZ,X,X,X,O,X,O,X,X,X
ILJSOZT,O,O,X,O,X,O,X,O,X
ILJZTSO,X,O,X,O,X,X,X,X,X
ILJZTOS,X,X,X,O,X,X,X,X,X
ILJZSTO,O,O,X,O,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,X,X,X
ILJZOTS,X,X,X,X,X,X,X,O,O
ILJZOST,O,O,X,O,X,X,X,O,O
ILJOTSZ,X,O,X,O,X,X,X,O,X
ILJOTZS,X,X,X,O,X,X,X,O,O
ILJOSTZ,X,O,X,O,X,O,X,X,X
ILJOSZT,X,O,X,O,X,O,X,O,O
ILJOZTS,X,X,X,X,X,X,X,O,O
ILJOZST,X,O,X,O,X,X,X,O,O
ILSTJZO,O,O,X,O,X,X,X,X,X
ILSTJOZ,X,X,X,O,X,O,X,X,X
ILSTZJO,O,X,X,O,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,X,X,X
ILSTOJZ,X,X,X,O,X,O,X,X,X
ILSTOZJ,X,X,O,O,X,X,X,X,X
ILSJTZO,O,O,X,O,X,X,X,X,X
ILSJTOZ,X,X,X,O,X,O,X,X,X
ILSJZTO,O,O,X,O,X,X,X,X,X
ILSJZOT,O,O,X,O,X,O,X,X,X
ILSJOTZ,X,X,X,O,X,O,X,X,X
ILSJOZT,O,O,O,O,X,O,X,O,X
ILSZTJO,O,O,X,O,X,X,X,X,X
ILSZTOJ,O,X,X,O,X,X,X,X,X
ILSZJTO,O,O,X,O,X,X,X,X,X
ILSZJOT,O,O,X,O,X,O,X,X,X
ILSZOTJ,O,X,O,O,X,X,X,X,X
ILSZOJT,O,O,O,O,X,O,X,X,X
ILSOTJZ,X,O,X,O,X,O,X,X,X
ILSOTZJ,X,X,O,O,X,X,X,X,X
ILSOJTZ,X,O,X,O,X,O,X,X,X
ILSOJZT,O,O,O,O,X,O,X,O,X
ILSOZTJ,O,X,O,X,X,X,X,X,X
ILSOZJT,O,O,O,X,X,O,X,X,X
ILZTJSO,X,O,X,O,X,X,X,X,X
ILZTJOS,X,X,X,O,X,X,X,X,X
ILZTSJO,X,O,X,O,X,X,X,X,X
ILZTSOJ,X,X,X,O,X,X,X,X,X
ILZTOJS,X,O,X,O,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X,X,X
ILZJTSO,X,O,X,O,X,X,X,X,X
ILZJTOS,X,X,X,O,X,X,O,X,X
ILZJSTO,O,O,X,O,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,O,X,X
ILZJOTS,X,O,X,X,X,X,O,O,O
ILZJOST,O,O,X,O,O,X,O,O,O
ILZSTJO,O,O,X,O,X,X,X,X,X
ILZSTOJ,O,X,X,O,X,X,X,X,X
ILZSJTO,O,O,X,O,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X,X
ILZOTJS,X,O,X,X,X,X,X,X,X
ILZOTSJ,X,O,X,X,X,X,X,X,X
ILZOJTS,X,O,X,X,X,X,O,O,X
ILZOJST,O,O,X,O,O,X,O,O,X
ILZOSTJ,O,O,X,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,O,X,X,X,O,X
ILOTJZS,X,X,X,O,X,X,X,O,X
ILOTSJZ,X,O,O,O,X,X,X,O,X
ILOTSZJ,X,X,O,O,X,X,X,X,X
ILOTZJS,X,X,X,O,O,X,X,O,X
ILOTZSJ,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,O,X,X,X,O,X
ILOJTZS,X,X,X,O,X,X,X,O,X
ILOJSTZ,X,O,X,O,X,O,X,X,X
ILOJSZT,X,O,X,O,X,O,X,O,X
ILOJZTS,X,O,X,X,X,X,X,O,X
ILOJZST,X,O,X,O,X,X,X,O,X
ILOSTJZ,X,O,X,O,X,O,X,X,X
ILOSTZJ,X,X,O,O,X,X,X,X,X
ILOSJTZ,X,O,X,O,X,O,X,X,X
ILOSJZT,X,O,O,O,X,O,X,O,X
ILOSZTJ,X,O,O,X,X,X,X,X,X
ILOSZJT,X,O,O,X,X,O,X,X,X
ILOZTJS,X,O,X,X,X,X,X,X,X
ILOZTSJ,X,O,X,X,X,X,X,X,X
ILOZJTS,X,O,X,X,X,X,O,O,X
ILOZJST,X,O,X,O,O,X,O,O,X
ILOZSTJ,X,O,X,X,X,X,X,X,X
ILOZSJT,X,O,X,X,X,X,X,X,X
IJTLSZO,O,O,X,O,X,O,X,X,X
IJTLSOZ,O,O,X,O,X,O,X,O,X
IJTLZSO,O,O,X,O,X,X,X,X,X
IJTLZOS,O,O,X,O,X,X,X,O,X
IJTLOSZ,X,O,X,O,X,O,X,O,X
IJTLOZS,X,X,X,O,X,X,X,O,X
IJTSLZO,O,O,X,O,X,O,X,X,X
IJTSLOZ,O,O,O,O,X,O,X,O,X
IJTSZLO,O,O,X,X,X,X,X,X,X
IJTSZOL,O,O,X,O,X,X,X,X,X
IJTSOLZ,X,X,O,O,X,O,X,X,X
IJTSOZL,O,X,X,O,X,X,X,X,X
IJTZLSO,O,O,X,X,X,X,X,X,X
IJTZLOS,O,O,X,X,O,X,X,O,X
IJTZSLO,O,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,O,O,X,X,X,X
IJTZOLS,O,O,X,O,O,X,X,X,X
IJTZOSL,O,O,X,O,O,X,X,X,X
IJTOLSZ,X,X,X,O,X,O,X,O,X
IJTOLZS,X,X,X,O,X,X,X,O,X
IJTOSLZ,X,X,O,O,X,O,X,X,X
IJTOSZL,X,X,X,O,X,X,X,X,X
IJTOZLS,X,X,X,O,O,X,X,X,X
IJTOZSL,X,X,X,O,O,X,X,X,X
IJLTSZO,X,O,X,O,X,X,X,X,X
IJLTSOZ,X,X,X,O,X,X,X,O,X
IJLTZSO,X,X,X,O,X,X,X,X,X
IJLTZOS,X,X,X,O,X,X,X,O,X
IJLTOSZ,X,X,X,O,X,X,X,O,X
IJLTOZS,X,X,X,O,X,X,X,O,X
IJLSTZO,O,O,X,O,X,X,X,X,X
IJLSTOZ,X,X,X,O,X,O,X,X,X
IJLSZTO,O,O,X,O,X,X,X,X,X
IJLSZOT,O,O,X,O,X,O,X,X,X
IJLSOTZ,X,X,X,O,X,O,X,X,X
IJLSOZT,O,O,X,O,X,O,X,O,X
IJLZTSO,X,O,X,O,X,X,X,X,X
IJLZTOS,X,X,X,O,X,X,X,X,X
IJLZSTO,O,O,X,O,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,X,O,O
IJLZOST,O,O,X,O,X,X,X,O,O
IJLOTSZ,X,X,X,O,X,X,X,O,X
IJLOTZS,X,X,X,O,X,X,X,O,O
IJLOSTZ,X,X,X,O,X,O,X,X,X
IJLOSZT,X,O,X,O,X,O,X,O,O
IJLOZTS,X,X,X,X,X,X,X,O,O
IJLOZST,X,X,X,O,X,X,X,O,O
