sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
TIOSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TLIJSOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TLIJZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TLIJOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
TLISJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TLISJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TLISZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLISZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLISOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLISOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLIZJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLIOJZS,O,O,X,X,O,O,X,X,X,X,X,X,O
TLIOSJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLIOSZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLIOZJS,O,X,O,X,X,O,X,X,X,X,X,X,O
TLIOZSJ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLJISZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TLJISOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TLJIZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TLJIOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
TLJSIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TLJSIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TLJSZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
TLJSZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
TLJSOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TLJSOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
TLJZISO,O,O,O,O,O,X,X,X,O,X,X,O,X
TLJZIOS,O,X,O,O,X,X,X,X,O,X,X,O,X
TLJZSIO,O,O,O,O,O,X,X,X,O,X,X,O,X
TLJZSOI,O,O,O,O,O,X,X,X,O,X,X,O,X
TLJZOIS,O,X,O,O,O,X,X,X,O,X,X,O,X
TLJZOSI,O,X,O,O,O,X,X,X,O,X,X,O,X
TLJOISZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TLJOIZS,O,O,X,X,O,X,X,X,O,X,O,X,O
TLJOSIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TLJOSZI,O,O,O,O,O,X,X,X,O,X,O,X,O
TLJOZIS,O,O,O,O,O,X,X,X,O,X,O,X,O
TLJOZSI,O,O,O,O,O,X,X,X,O,X,O,X,O
TLSIJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TLSIJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TLSIZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLSIOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLSJIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TLSJIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
TLSJZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
TLSJOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TLSJOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
TLSZIJO,O,O,O,O,O,X,X,O,X,X,X,O,X
TLSZIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
TLSZJIO,O,O,O,O,O,X,X,O,X,X,X,O,X
TLSZJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
TLSZOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
TLSZOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
TLSOIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TLSOIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TLSOJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TLSOJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
TLSOZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TLSOZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
TLZIJSO,O,X,O,O,X,X,X,O,X,X,X,O,X
TLZIJOS,O,X,O,O,X,X,X,X,X,X,X,O,X
TLZISJO,O,O,O,O,O,X,X,O,X,X,X,O,X
TLZISOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
TLZIOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,O,X,X,X,O,X,X,X,O,X
TLZJISO,O,O,O,O,O,X,X,O,X,X,X,O,X
TLZJIOS,O,X,O,O,X,X,X,X,X,X,X,O,X
TLZJSIO,O,O,O,O,O,X,X,O,X,X,X,O,X
TLZJSOI,O,O,O,O,O,X,X,X,X,X,X,O,X
