sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
LTISZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
LTISZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTISOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
LTISOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
LTIZJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJOS,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIZSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,O,O,X,O,O,X,X,X,X,X,X,O
LTIOJZS,O,O,X,X,O,O,X,X,X,X,X,X,O
LTIOSJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
LTIOSZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
LTIOZJS,O,X,O,X,X,O,X,X,X,X,X,X,O
LTIOZSJ,O,O,O,X,O,O,X,X,X,X,X,X,O
LTJISZO,O,O,O,O,O,X,X,X,O,X,X,X,X
LTJISOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
LTJIZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJIOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
LTJIOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
LTJSIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
LTJSIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
LTJSZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
LTJSZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
LTJSOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
LTJSOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
LTJZISO,O,O,O,O,O,X,X,X,O,X,X,O,X
LTJZIOS,O,X,O,O,X,X,X,X,O,X,X,O,X
LTJZSIO,O,O,O,O,O,X,X,X,O,X,X,O,X
LTJZSOI,O,O,O,O,O,X,X,X,O,X,X,O,X
LTJZOIS,O,X,O,O,O,X,X,X,O,X,X,O,X
LTJZOSI,O,X,O,O,O,X,X,X,O,X,X,O,X
LTJOISZ,O,O,O,O,O,X,X,X,O,X,O,X,O
LTJOIZS,O,O,X,X,O,X,X,X,O,X,O,X,O
LTJOSIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
LTJOSZI,O,O,O,O,O,X,X,X,O,X,O,X,O
LTJOZIS,O,O,O,O,O,X,X,X,O,X,O,X,O
LTJOZSI,O,O,O,O,O,X,X,X,O,X,O,X,O
LTSIJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
LTSIJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
LTSIZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSIOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
LTSIOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
LTSJIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
LTSJIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
LTSJZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
LTSJZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
LTSJOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
LTSJOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
LTSZIJO,O,O,O,O,O,X,X,O,X,X,X,O,X
LTSZIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LTSZJIO,O,O,O,O,O,X,X,O,X,X,X,O,X
LTSZJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
LTSZOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LTSZOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
LTSOIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LTSOIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
LTSOJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
LTSOJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
LTSOZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
LTSOZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
LTZIJSO,O,X,O,O,X,X,X,O,X,X,X,O,X
LTZIJOS,O,X,O,O,X,X,X,X,X,X,X,O,X
LTZISJO,O,O,O,O,O,X,X,O,X,X,X,O,X
LTZISOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LTZIOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,O,O,X,X,X,O,X,X,X,O,X
LTZJISO,O,O,O,O,O,X,X,O,X,X,X,O,X
LTZJIOS,O,X,O,O,X,X,X,X,X,X,X,O,X
LTZJSIO,O,O,O,O,O,X,X,O,X,X,X,O,X
LTZJSOI,O,O,O,O,O,X,X,X,X,X,X,O,X
LTZJOIS,O,X,O,O,O,X,X,X,X,X,X,O,X
LTZJOSI,O,X,O,O,O,X,X,X,X,X,X,O,X
LTZSIJO,O,O,O,O,O,X,X,O,X,X,X,O,X
LTZSIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LTZSJIO,O,O,O,O,O,X,X,O,X,X,X,O,X
LTZSJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
LTZSOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LTZSOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
LTZOIJS,O,X,O,O,X,X,X,X,X,X,X,X,O
LTZOISJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LTZOJIS,O,O,O,O,O,X,X,X,X,X,X,O,O
LTZOJSI,O,O,O,O,O,X,X,X,X,X,X,O,O
LTZOSIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LTZOSJI,O,O,O,O,O,X,X,X,X,X,X,O,O
LTOIJSZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LTOIJZS,O,O,X,X,O,X,X,X,X,X,X,X,O
LTOISJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LTOISZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
LTOIZJS,O,X,O,X,X,X,X,X,X,X,X,X,O
LTOIZSJ,O,O,O,X,O,X,X,X,X,X,X,X,O
LTOJISZ,O,O,O,O,O,X,X,X,O,O,X,X,O
LTOJIZS,O,O,X,X,O,X,X,X,O,O,X,X,O
LTOJSIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
LTOJSZI,O,O,O,O,O,X,X,X,O,O,X,X,O
LTOJZIS,O,O,O,O,O,X,X,X,O,O,X,X,O
LTOJZSI,O,O,O,O,O,X,X,X,O,O,X,X,O
LTOSIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LTOSIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
LTOSJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
LTOSJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
LTOSZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
LTOSZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
LTOZIJS,O,X,O,O,X,X,X,X,X,X,X,X,O
LTOZISJ,O,O,O,O,O,X,X,X,X,X,X,X,O
LTOZJIS,O,O,O,O,O,X,X,X,X,X,X,X,O
LTOZJSI,O,O,O,O,O,X,X,X,X,X,X,X,O
LTOZSIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
LTOZSJI,O,O,O,O,O,X,X,X,X,X,X,X,O
LITJSZO,O,X,X,X,O,X,X,X,O,X,X,X,X
LITJSOZ,O,X,X,X,O,O,X,X,O,X,X,X,X
LITJZSO,O,X,X,X,O,X,X,X,O,X,X,X,X
LITJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
LITJOSZ,O,X,X,X,O,O,X,X,O,X,X,X,X
LITJOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
LITSJZO,O,X,X,X,O,X,X,X,O,X,X,X,X
LITSJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X
LITSZJO,O,X,O,X,O,X,X,X,X,X,X,X,X
LITSZOJ,O,X,O,X,O,X,X,X,X,X,X,X,X
LITSOJZ,O,X,O,X,O,O,X,X,X,X,X,X,O
LITSOZJ,O,X,O,X,O,O,X,X,X,X,X,X,O
LITZJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
LITZJOS,O,X,O,X,X,X,X,X,X,X,X,X,X
LITZSJO,O,X,O,X,O,X,X,X,X,X,X,X,X
LITZSOJ,O,X,O,X,O,X,X,X,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
LITOJSZ,O,X,O,X,O,O,X,X,X,X,X,X,O
LITOJZS,O,X,X,X,O,O,X,X,X,X,X,X,O
LITOSJZ,O,X,O,X,O,O,X,X,X,X,X,X,O
LITOSZJ,O,X,O,X,O,O,X,X,X,X,X,X,O
LITOZJS,O,X,O,X,X,O,X,X,X,X,X,X,O
LITOZSJ,O,X,O,X,O,O,X,X,X,X,X,X,O
LIJTSZO,X,X,O,O,X,X,X,X,O,X,X,X,X
LIJTSOZ,O,X,X,O,X,X,X,X,O,X,X,X,X
LIJTZSO,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJTZOS,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJTOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
LIJTOZS,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJSTZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LIJSTOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LIJSZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
LIJSZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
LIJSOTZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LIJSOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LIJZTSO,O,X,O,O,X,X,X,X,O,X,X,O,X
LIJZTOS,O,X,X,O,X,X,X,X,O,X,X,O,X
LIJZSTO,O,X,O,O,X,X,X,X,O,X,X,O,X
LIJZSOT,O,X,O,O,X,X,X,X,O,X,X,X,X
LIJZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJZOST,O,X,O,O,X,X,X,X,O,X,X,X,X
LIJOTSZ,O,X,X,O,X,X,X,X,O,X,X,X,X
LIJOTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJOSTZ,O,X,X,O,X,X,X,X,O,X,X,X,X
LIJOSZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LIJOZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJOZST,O,X,X,O,X,X,X,X,O,X,X,X,X
LISTJZO,O,X,X,X,O,X,X,X,O,X,X,X,X
LISTJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X
LISTZJO,O,X,O,X,O,X,X,X,X,X,X,X,X
LISTZOJ,O,X,O,X,O,X,X,X,X,X,X,X,X
LISTOJZ,O,X,O,X,O,O,X,X,X,X,X,X,O
LISTOZJ,O,X,O,X,O,O,X,X,X,X,X,X,O
LISJTZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LISJTOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LISJZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
LISJZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
LISJOTZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LISJOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LISZTJO,O,X,O,O,O,X,X,O,X,X,X,O,X
LISZTOJ,O,X,O,O,O,X,X,O,X,X,X,O,X
LISZJTO,O,X,O,O,X,X,X,O,X,X,X,O,X
LISZJOT,O,X,O,O,X,X,X,O,X,X,X,X,X
LISZOTJ,O,X,O,O,O,X,X,O,X,X,X,X,X
LISZOJT,O,X,O,O,X,X,X,O,X,X,X,X,X
LISOTJZ,O,X,X,X,O,O,X,X,X,X,X,X,O
LISOTZJ,X,X,X,X,O,O,X,X,X,X,X,X,O
LISOJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
LISOJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
LISOZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LISOZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
LIZTJSO,O,X,X,O,X,X,X,O,X,X,X,O,X
LIZTJOS,O,X,X,O,X,X,X,X,X,X,X,O,X
LIZTSJO,O,X,O,O,X,X,X,O,X,X,X,O,X
LIZTSOJ,O,X,O,O,X,X,X,O,X,X,X,O,X
LIZTOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LIZTOSJ,O,X,X,O,X,X,X,O,X,X,X,O,X
LIZJTSO,O,X,O,O,X,X,X,X,X,X,X,O,X
LIZJTOS,O,X,X,O,X,X,X,X,X,X,X,O,X
LIZJSTO,O,X,O,O,X,X,X,O,X,X,X,O,X
LIZJSOT,O,X,O,O,X,X,X,O,X,X,X,X,X
LIZJOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LIZJOST,O,X,O,O,X,X,X,X,X,X,X,X,X
LIZSTJO,O,X,O,O,O,X,X,O,X,X,X,O,X
LIZSTOJ,O,X,O,O,O,X,X,O,X,X,X,O,X
LIZSJTO,O,X,O,O,X,X,X,O,X,X,X,O,X
LIZSJOT,O,X,O,O,X,X,X,O,X,X,X,X,X
LIZSOTJ,O,X,O,O,O,X,X,O,X,X,X,X,X
LIZSOJT,O,X,O,O,X,X,X,O,X,X,X,X,X
LIZOTJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LIZOTSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
LIZOJTS,O,X,X,O,X,X,X,X,X,X,X,X,X
LIZOJST,O,X,X,O,X,X,X,X,X,X,X,X,X
LIZOSTJ,O,X,O,O,X,X,X,O,X,X,X,X,X
LIZOSJT,O,X,O,O,X,X,X,O,X,X,X,X,X
LIOTJSZ,O,X,X,X,X,O,X,X,X,X,X,X,O
LIOTJZS,X,X,X,X,X,O,X,X,X,X,X,X,O
LIOTSJZ,O,X,X,X,O,O,X,X,X,X,X,X,O
LIOTSZJ,X,X,X,X,O,O,X,X,X,X,X,X,O
LIOTZJS,X,X,X,X,X,O,X,X,X,X,X,X,O
LIOTZSJ,X,X,X,X,X,O,X,X,X,X,X,X,O
LIOJTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOJTZS,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOJSTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
LIOJSZT,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOJZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOJZST,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOSTJZ,O,X,X,X,O,O,X,X,X,X,X,X,O
LIOSTZJ,X,X,X,X,O,O,X,X,X,X,X,X,O
LIOSJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
LIOSJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOSZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LIOSZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOZTJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOZTSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOZJTS,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOZJST,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOZSTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LIOZSJT,O,X,X,O,X,X,X,X,X,X,X,X,X
LJTISZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LJTISOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LJTIZSO,X,X,X,X,O,X,X,X,O,X,X,X,X
LJTIZOS,X,X,X,X,X,X,X,X,O,X,X,X,X
LJTIOSZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LJTIOZS,X,X,X,X,O,X,X,X,O,X,X,X,X
LJTSIZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LJTSIOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LJTSZIO,X,X,O,O,O,X,X,X,O,X,X,O,X
LJTSZOI,X,X,O,O,O,X,X,X,O,X,X,O,X
LJTSOIZ,O,X,O,O,O,X,X,X,O,X,O,X,O
LJTSOZI,X,X,O,O,O,X,X,X,O,X,O,X,O
LJTZISO,X,X,O,O,O,X,X,X,O,X,X,O,X
LJTZIOS,X,X,O,O,X,X,X,X,O,X,X,O,X
LJTZSIO,X,X,O,O,O,X,X,X,O,X,X,O,X
LJTZSOI,X,X,O,O,O,X,X,X,O,X,X,O,X
LJTZOIS,X,X,O,O,O,X,X,X,O,X,X,O,X
LJTZOSI,X,X,O,O,O,X,X,X,O,X,X,O,X
LJTOISZ,O,X,O,O,O,X,X,X,O,X,O,X,O
LJTOIZS,X,X,X,X,O,X,X,X,O,X,O,X,O
LJTOSIZ,O,X,O,O,O,X,X,X,O,X,O,X,O
LJTOSZI,X,X,O,O,O,X,X,X,O,X,O,X,O
LJTOZIS,X,X,O,O,O,X,X,X,O,X,O,X,O
LJTOZSI,X,X,O,O,O,X,X,X,O,X,O,X,O
LJITSZO,X,X,O,O,X,X,X,X,O,X,X,X,X
LJITSOZ,O,X,X,O,X,X,X,X,O,X,X,X,X
LJITZSO,X,X,X,X,X,X,X,X,O,X,X,X,X
LJITZOS,X,X,X,X,X,X,X,X,O,X,X,X,X
LJITOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
LJITOZS,X,X,X,X,X,X,X,X,O,X,X,X,X
LJISTZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LJISTOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LJISZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
LJISZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJISOTZ,O,X,X,O,O,X,X,X,O,O,X,X,X
LJISOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJIZTSO,O,X,O,O,X,X,X,X,O,X,X,O,X
LJIZTOS,O,X,X,O,X,X,X,X,O,X,X,O,X
LJIZSTO,O,X,O,O,X,X,X,X,O,X,X,O,X
LJIZSOT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJIZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LJIZOST,O,X,O,O,X,X,X,X,O,X,X,X,X
LJIOTSZ,O,X,X,O,X,X,X,X,O,X,X,X,X
LJIOTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
LJIOSTZ,O,X,X,O,X,X,X,X,O,X,X,X,X
LJIOSZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJIOZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
LJIOZST,O,X,X,O,X,X,X,X,O,X,X,X,X
LJSTIZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LJSTIOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LJSTZIO,X,X,O,O,O,X,X,X,O,X,X,O,X
LJSTZOI,X,X,O,O,O,X,X,X,O,X,X,O,X
LJSTOIZ,O,X,O,O,O,X,X,X,O,X,O,X,O
LJSTOZI,X,X,O,O,O,X,X,X,O,X,O,X,O
LJSITZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LJSITOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LJSIZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
LJSIZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJSIOTZ,O,X,X,O,O,X,X,X,O,O,X,X,X
LJSIOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJSZTIO,O,X,O,O,X,X,O,O,O,X,X,O,X
LJSZTOI,O,X,X,O,X,X,X,X,O,X,X,O,X
LJSZITO,O,X,O,O,X,X,O,O,O,X,X,O,X
LJSZIOT,O,X,O,O,X,X,O,O,O,X,X,X,X
LJSZOTI,O,X,X,O,X,X,X,X,X,X,X,O,X
LJSZOIT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJSOTIZ,O,X,X,O,X,X,X,X,O,O,X,X,O
LJSOTZI,X,X,X,O,X,X,X,X,O,O,X,X,O
LJSOITZ,O,X,X,O,O,X,X,X,O,O,X,X,X
LJSOIZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJSOZTI,X,X,X,O,X,X,X,X,X,X,X,O,X
LJSOZIT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJZTISO,O,X,O,O,X,X,O,O,O,X,X,O,X
LJZTIOS,O,X,X,O,X,X,X,X,O,X,X,O,X
LJZTSIO,O,X,O,O,X,X,O,O,O,X,X,O,X
LJZTSOI,O,X,X,O,X,X,X,X,O,X,X,O,X
LJZTOIS,O,X,X,O,X,X,X,X,O,X,X,O,X
LJZTOSI,O,X,X,O,X,X,X,X,O,X,X,O,X
LJZITSO,O,X,O,O,X,X,X,X,O,X,X,O,X
LJZITOS,O,X,X,O,X,X,X,X,O,X,X,O,X
LJZISTO,O,X,O,O,X,X,O,O,O,X,X,O,X
LJZISOT,O,X,O,O,X,X,O,O,O,X,X,X,X
LJZIOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LJZIOST,O,X,O,O,X,X,X,X,O,X,X,X,X
LJZSTIO,O,X,O,O,X,X,O,O,O,X,X,O,X
LJZSTOI,O,X,X,O,X,X,X,X,O,X,X,O,X
LJZSITO,O,X,O,O,X,X,O,O,O,X,X,O,X
LJZSIOT,O,X,O,O,X,X,O,O,O,X,X,X,X
LJZSOTI,O,X,X,O,X,X,X,X,X,X,X,O,X
LJZSOIT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJZOTIS,O,X,X,O,X,X,X,X,X,X,X,O,X
LJZOTSI,O,X,X,O,X,X,X,X,X,X,X,O,X
LJZOITS,O,X,X,O,X,X,X,X,X,X,X,X,X
LJZOIST,O,X,O,O,X,X,X,X,O,X,X,X,X
LJZOSTI,O,X,X,O,X,X,X,X,X,X,X,O,X
LJZOSIT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJOTISZ,O,X,X,O,X,X,X,X,O,O,X,X,O
LJOTIZS,X,X,X,X,X,X,X,X,O,O,X,X,O
LJOTSIZ,O,X,X,O,X,X,X,X,O,O,X,X,O
LJOTSZI,X,X,X,O,X,X,X,X,O,O,X,X,O
LJOTZIS,X,X,X,O,X,X,X,X,O,O,X,X,O
LJOTZSI,X,X,X,O,X,X,X,X,O,O,X,X,O
LJOITSZ,O,X,X,O,X,X,X,X,O,X,X,X,X
LJOITZS,X,X,X,X,X,X,X,X,O,X,X,X,X
LJOISTZ,O,X,X,O,O,X,X,X,O,O,X,X,X
LJOISZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJOIZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
LJOIZST,O,X,X,O,X,X,X,X,O,X,X,X,X
LJOSTIZ,O,X,X,O,X,X,X,X,O,O,X,X,O
LJOSTZI,X,X,X,O,X,X,X,X,O,O,X,X,O
LJOSITZ,O,X,X,O,O,X,X,X,O,O,X,X,X
LJOSIZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJOSZTI,X,X,X,O,X,X,X,X,X,X,X,O,X
LJOSZIT,O,X,O,O,X,X,X,X,O,X,X,X,X
LJOZTIS,X,X,X,O,X,X,X,X,X,X,X,O,X
LJOZTSI,X,X,X,O,X,X,X,X,X,X,X,O,X
LJOZITS,X,X,X,O,X,X,X,X,X,X,X,X,X
LJOZIST,O,X,O,O,X,X,X,X,O,X,X,X,X
LJOZSTI,X,X,X,O,X,X,X,X,X,X,X,O,X
LJOZSIT,O,X,O,O,X,X,X,X,O,X,X,X,X
LSTIJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
LSTIJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
LSTIZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
LSTIZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LSTIOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
LSTIOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
LSTJIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
LSTJIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
LSTJZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
LSTJZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
LSTJOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
LSTJOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
LSTZIJO,O,O,O,O,O,X,X,O,X,X,X,O,X
LSTZIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LSTZJIO,O,O,O,O,O,X,X,O,X,X,X,O,X
LSTZJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
LSTZOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LSTZOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
LSTOIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LSTOIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
LSTOJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
LSTOJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
LSTOZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
LSTOZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
LSITJZO,O,X,X,X,O,X,X,X,O,X,X,X,X
LSITJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X
LSITZJO,O,X,O,X,O,X,X,X,X,X,X,X,X
LSITZOJ,O,X,O,X,O,X,X,X,X,X,X,X,X
LSITOJZ,O,X,O,X,O,O,X,X,X,X,X,X,O
LSITOZJ,O,X,O,X,O,O,X,X,X,X,X,X,O
LSIJTZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LSIJTOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LSIJZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
LSIJZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
LSIJOTZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LSIJOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LSIZTJO,O,X,O,O,O,X,X,O,X,X,X,O,X
LSIZTOJ,O,X,O,O,O,X,X,O,X,X,X,O,X
