sequence,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFThB/nBGjBClB0q?BlrB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFlhBGjBClB/rBTn?B0qB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF/nBGjBzkBCmB0m?BVwB
TSIOLZJ,X,X,X
TSIOJLZ,O,X,X
TSIOJZL,X,X,X
TSIOZLJ,X,X,X
TSIOZJL,X,X,X
TSLIJZO,X,X,X
TSLIJOZ,O,X,X
TSLIZJO,X,X,X
TSLIZOJ,X,X,X
TSLIOJZ,O,X,X
TSLIOZJ,X,X,X
TSLJIZO,X,X,X
TSLJIOZ,O,X,X
TSLJZIO,X,X,X
TSLJZOI,X,X,X
TSLJOIZ,O,X,O
TSLJOZI,X,X,O
TSLZIJO,X,X,X
TSLZIOJ,X,X,X
TSLZJIO,X,X,X
TSLZJOI,X,X,X
TSLZOIJ,X,X,X
TSLZOJI,X,X,X
TSLOIJZ,O,X,O
TSLOIZJ,X,X,X
TSLOJIZ,O,X,O
TSLOJZI,X,X,O
TSLOZIJ,X,X,X
TSLOZJI,X,X,X
TSJILZO,X,X,X
TSJILOZ,O,X,X
TSJIZLO,X,X,X
TSJIZOL,X,X,X
TSJIOLZ,O,X,X
TSJIOZL,X,X,X
TSJLIZO,X,X,X
TSJLIOZ,O,X,X
TSJLZIO,X,X,X
TSJLZOI,X,X,X
TSJLOIZ,O,X,O
TSJLOZI,X,X,O
TSJZILO,O,X,X
TSJZIOL,O,X,X
TSJZLIO,O,X,X
TSJZLOI,O,X,X
TSJZOIL,O,X,X
TSJZOLI,O,X,X
TSJOILZ,O,X,O
TSJOIZL,X,X,X
TSJOLIZ,O,X,O
TSJOLZI,X,X,O
TSJOZIL,X,X,X
TSJOZLI,X,X,X
TSZILJO,O,X,X
TSZILOJ,O,X,X
TSZIJLO,O,X,X
TSZIJOL,O,X,X
TSZIOLJ,X,X,X
TSZIOJL,O,X,X
TSZLIJO,O,X,X
TSZLIOJ,O,X,X
TSZLJIO,O,X,X
TSZLJOI,O,X,X
TSZLOIJ,O,X,X
TSZLOJI,O,X,X
TSZJILO,O,X,X
TSZJIOL,O,X,X
TSZJLIO,O,X,X
TSZJLOI,O,X,X
TSZJOIL,O,X,X
TSZJOLI,O,X,X
TSZOILJ,X,X,X
TSZOIJL,O,X,X
TSZOLIJ,O,X,X
TSZOLJI,O,X,X
TSZOJIL,O,X,X
TSZOJLI,O,X,X
TSOILJZ,X,X,O
TSOILZJ,X,X,X
TSOIJLZ,O,X,O
TSOIJZL,X,X,X
TSOIZLJ,X,X,X
TSOIZJL,X,X,X
TSOLIJZ,O,X,O
TSOLIZJ,X,X,X
TSOLJIZ,O,X,O
TSOLJZI,X,X,O
TSOLZIJ,X,X,X
TSOLZJI,X,X,X
TSOJILZ,O,X,O
TSOJIZL,X,X,X
TSOJLIZ,O,X,O
TSOJLZI,X,X,O
TSOJZIL,X,X,X
TSOJZLI,X,X,X
TSOZILJ,X,X,X
TSOZIJL,X,X,X
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,X,X,X
TSOZJLI,X,X,X
TZILJSO,X,X,X
TZILJOS,X,X,X
TZILSJO,O,X,X
TZILSOJ,O,X,X
TZILOJS,X,X,X
TZILOSJ,O,X,X
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,X,X,X
TZIJSOL,X,X,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,O,X,X
TZISLOJ,O,X,X
TZISJLO,O,X,X
TZISJOL,O,X,X
TZISOLJ,X,X,X
TZISOJL,O,X,X
TZIOLJS,X,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,O,X,X
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,O,X,X
TZLISOJ,O,X,X
TZLIOJS,X,X,X
TZLIOSJ,O,X,X
TZLJISO,X,X,X
TZLJIOS,X,X,X
TZLJSIO,X,X,X
TZLJSOI,X,X,X
TZLJOIS,X,X,X
TZLJOSI,X,X,X
TZLSIJO,O,X,X
TZLSIOJ,O,X,X
TZLSJIO,O,X,X
TZLSJOI,O,X,X
TZLSOIJ,O,X,X
TZLSOJI,O,X,X
TZLOIJS,X,X,X
TZLOISJ,O,X,X
TZLOJIS,X,X,X
TZLOJSI,X,X,X
TZLOSIJ,O,X,X
TZLOSJI,O,X,X
TZJILSO,X,X,X
TZJILOS,X,X,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,X,X,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,X,X,X
TZJSIOL,X,X,X
TZJSLIO,X,X,X
TZJSLOI,X,X,X
