sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFGc?BxdB0iB6oBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFSh?BmdB5jB0iBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeG7IvhFTc?B/iBajB5jBllBUqB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JefAJvhFlb?BchBidB5jBziB+qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeR7IvhFch?BTdBFgB6oBXjB+qB
TZJLISO,O,O,X,X,X
TZJLIOS,O,O,X,X,X
TZJLSIO,O,O,X,X,X
TZJLSOI,O,O,X,X,X
TZJLOIS,O,O,X,X,X
TZJLOSI,O,O,X,X,X
TZJSILO,X,O,O,X,X
TZJSIOL,O,O,O,X,X
TZJSLIO,O,O,O,X,X
TZJSLOI,O,O,O,X,X
TZJSOIL,O,O,O,X,X
TZJSOLI,O,O,O,X,X
TZJOILS,O,O,X,X,X
TZJOISL,O,O,O,X,X
TZJOLIS,O,O,X,X,X
TZJOLSI,O,O,X,X,X
TZJOSIL,O,O,O,X,X
TZJOSLI,O,O,O,X,X
TZSILJO,X,O,O,X,X
TZSILOJ,X,O,O,X,X
TZSIJLO,X,O,O,X,X
TZSIJOL,O,O,O,X,X
TZSIOLJ,X,O,O,X,X
TZSIOJL,O,O,O,X,X
TZSLIJO,O,O,O,X,X
TZSLIOJ,O,O,O,X,X
TZSLJIO,O,O,O,X,X
TZSLJOI,O,O,O,X,X
TZSLOIJ,O,O,O,X,X
TZSLOJI,O,O,O,X,X
TZSJILO,X,O,O,X,X
TZSJIOL,O,O,O,X,X
TZSJLIO,O,O,O,X,X
TZSJLOI,O,O,O,X,X
TZSJOIL,O,O,O,X,X
TZSJOLI,O,O,O,X,X
TZSOILJ,X,O,O,X,X
TZSOIJL,O,O,O,X,X
TZSOLIJ,O,O,O,X,X
TZSOLJI,O,O,O,X,X
TZSOJIL,O,O,O,X,X
TZSOJLI,O,O,O,X,X
TZOILJS,O,O,X,X,X
TZOILSJ,O,O,X,X,X
TZOIJLS,O,O,X,X,X
TZOIJSL,O,O,O,X,X
TZOISLJ,X,O,O,X,X
TZOISJL,O,O,O,X,X
TZOLIJS,O,O,X,X,X
TZOLISJ,O,O,X,X,X
TZOLJIS,O,O,X,X,X
TZOLJSI,O,O,X,X,X
TZOLSIJ,O,O,X,X,X
TZOLSJI,O,O,X,X,X
TZOJILS,O,O,X,X,X
TZOJISL,O,O,O,X,X
TZOJLIS,O,O,X,X,X
TZOJLSI,O,O,X,X,X
TZOJSIL,O,O,O,X,X
TZOJSLI,O,O,O,X,X
TZOSILJ,X,O,O,X,X
TZOSIJL,O,O,O,X,X
TZOSLIJ,O,O,O,X,X
TZOSLJI,O,O,O,X,X
TZOSJIL,O,O,O,X,X
TZOSJLI,O,O,O,X,X
TOILJSZ,O,X,O,O,X
TOILJZS,O,O,X,O,X
TOILSJZ,O,X,O,O,X
TOILSZJ,X,O,O,X,X
TOILZJS,O,O,X,X,X
TOILZSJ,O,O,X,X,X
TOIJLSZ,O,X,O,O,X
TOIJLZS,O,O,X,O,X
TOIJSLZ,X,X,O,O,X
TOIJSZL,X,X,O,O,X
TOIJZLS,O,O,X,O,X
TOIJZSL,O,O,O,O,X
TOISLJZ,X,X,O,O,X
TOISLZJ,X,O,O,X,X
TOISJLZ,X,X,O,O,X
TOISJZL,X,X,O,O,X
TOISZLJ,X,O,O,X,X
TOISZJL,X,O,O,X,X
TOIZLJS,O,O,X,X,X
TOIZLSJ,O,O,X,X,X
TOIZJLS,O,O,X,X,X
TOIZJSL,O,O,O,X,X
TOIZSLJ,X,O,O,X,X
TOIZSJL,O,O,O,X,X
TOLIJSZ,O,X,O,O,X
TOLIJZS,O,O,X,O,X
TOLISJZ,O,X,O,O,X
TOLISZJ,X,O,O,X,X
TOLIZJS,O,O,X,X,X
TOLIZSJ,O,O,X,X,X
TOLJISZ,O,X,O,O,X
TOLJIZS,O,O,X,O,O
TOLJSIZ,O,X,O,O,X
TOLJSZI,O,X,O,O,O
TOLJZIS,O,O,X,O,O
TOLJZSI,O,O,X,O,O
TOLSIJZ,O,X,O,O,X
TOLSIZJ,X,O,O,X,X
TOLSJIZ,O,X,O,O,X
TOLSJZI,O,X,O,O,X
TOLSZIJ,O,O,O,X,X
TOLSZJI,O,O,O,X,X
TOLZIJS,O,O,X,X,X
TOLZISJ,O,O,X,X,X
TOLZJIS,O,O,X,X,X
TOLZJSI,O,O,X,X,X
TOLZSIJ,O,O,X,X,X
TOLZSJI,O,O,X,X,X
TOJILSZ,O,X,O,O,X
TOJILZS,O,O,X,O,O
TOJISLZ,X,X,O,O,X
TOJISZL,X,X,O,O,X
TOJIZLS,O,O,X,O,O
TOJIZSL,O,O,O,O,O
TOJLISZ,O,X,O,O,X
TOJLIZS,O,O,X,O,O
TOJLSIZ,O,X,O,O,X
TOJLSZI,O,X,O,O,O
TOJLZIS,O,O,X,O,O
TOJLZSI,O,O,X,O,O
TOJSILZ,X,X,O,O,X
TOJSIZL,X,X,O,O,X
TOJSLIZ,O,X,O,O,X
TOJSLZI,O,X,O,O,O
TOJSZIL,O,X,O,O,O
TOJSZLI,O,X,O,O,O
TOJZILS,O,O,X,O,O
TOJZISL,O,O,O,O,O
TOJZLIS,O,O,X,O,O
TOJZLSI,O,O,X,O,O
TOJZSIL,O,O,O,O,O
TOJZSLI,O,O,O,O,O
TOSILJZ,X,X,O,O,X
TOSILZJ,X,O,O,X,X
TOSIJLZ,X,X,O,O,X
TOSIJZL,X,X,O,O,X
TOSIZLJ,X,O,O,X,X
TOSIZJL,X,O,O,X,X
TOSLIJZ,O,X,O,O,X
TOSLIZJ,X,O,O,X,X
TOSLJIZ,O,X,O,O,X
TOSLJZI,O,X,O,O,X
TOSLZIJ,O,O,O,X,X
TOSLZJI,O,O,O,X,X
TOSJILZ,X,X,O,O,X
TOSJIZL,X,X,O,O,X
TOSJLIZ,O,X,O,O,X
TOSJLZI,O,X,O,O,X
TOSJZIL,O,X,O,O,X
