sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFGc?BxdB0iB6oBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFSh?BmdB5jB0iBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeG7IvhFTc?B/iBajB5jBllBUqB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JefAJvhFlb?BchBidB5jBziB+qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeR7IvhFch?BTdBFgB6oBXjB+qB
JTLZISO,O,O,X,O,O
JTLZIOS,O,O,X,X,O
JTLZSIO,O,O,X,O,O
JTLZSOI,O,O,X,O,O
JTLZOIS,O,O,X,X,O
JTLZOSI,O,O,X,X,O
JTLOISZ,O,X,O,X,X
JTLOIZS,O,O,X,X,O
JTLOSIZ,O,X,O,X,X
JTLOSZI,O,X,O,X,O
JTLOZIS,O,O,X,X,O
JTLOZSI,O,O,X,X,O
JTSILZO,X,X,O,O,X
JTSILOZ,X,X,O,X,X
JTSIZLO,X,X,O,O,X
JTSIZOL,X,X,O,O,X
JTSIOLZ,X,X,O,O,X
JTSIOZL,X,X,O,O,X
JTSLIZO,X,X,O,O,X
JTSLIOZ,O,X,O,X,X
JTSLZIO,O,X,O,O,O
JTSLZOI,O,X,O,O,O
JTSLOIZ,O,X,O,X,X
JTSLOZI,O,X,O,X,O
JTSZILO,X,X,O,O,O
JTSZIOL,O,X,O,O,O
JTSZLIO,O,X,O,O,O
JTSZLOI,O,X,O,O,O
JTSZOIL,O,X,O,O,O
JTSZOLI,O,X,O,O,O
JTSOILZ,X,X,O,O,X
JTSOIZL,X,X,O,O,X
JTSOLIZ,O,X,O,O,X
JTSOLZI,O,X,O,O,O
JTSOZIL,O,X,O,O,O
JTSOZLI,O,X,O,O,O
JTZILSO,O,O,X,O,O
JTZILOS,O,O,X,X,O
JTZISLO,X,O,O,O,O
JTZISOL,O,O,O,O,O
JTZIOLS,O,O,X,O,O
JTZIOSL,O,O,O,O,O
JTZLISO,O,O,X,O,O
JTZLIOS,O,O,X,X,O
JTZLSIO,O,O,X,O,O
JTZLSOI,O,O,X,O,O
JTZLOIS,O,O,X,X,O
JTZLOSI,O,O,X,X,O
JTZSILO,X,O,O,O,O
JTZSIOL,O,O,O,O,O
JTZSLIO,O,O,O,O,O
JTZSLOI,O,O,O,O,O
JTZSOIL,O,O,O,O,O
JTZSOLI,O,O,O,O,O
JTZOILS,O,O,X,O,O
JTZOISL,O,O,O,O,O
JTZOLIS,O,O,X,O,O
JTZOLSI,O,O,X,O,O
JTZOSIL,O,O,O,O,O
JTZOSLI,O,O,O,O,O
JTOILSZ,O,X,O,O,X
JTOILZS,O,O,X,O,O
JTOISLZ,X,X,O,O,X
JTOISZL,X,X,O,O,X
JTOIZLS,O,O,X,O,O
JTOIZSL,O,O,O,O,O
JTOLISZ,O,X,O,O,X
JTOLIZS,O,O,X,O,O
JTOLSIZ,O,X,O,O,X
JTOLSZI,O,X,O,O,O
JTOLZIS,O,O,X,O,O
JTOLZSI,O,O,X,O,O
JTOSILZ,X,X,O,O,X
JTOSIZL,X,X,O,O,X
JTOSLIZ,O,X,O,O,X
JTOSLZI,O,X,O,O,O
JTOSZIL,O,X,O,O,O
JTOSZLI,O,X,O,O,O
JTOZILS,O,O,X,O,O
JTOZISL,O,O,O,O,O
JTOZLIS,O,O,X,O,O
JTOZLSI,O,O,X,O,O
JTOZSIL,O,O,O,O,O
JTOZSLI,O,O,O,O,O
JITLSZO,X,X,O,O,X
JITLSOZ,O,X,O,X,X
JITLZSO,O,O,X,O,O
JITLZOS,O,O,X,X,O
JITLOSZ,O,X,O,X,X
JITLOZS,O,O,X,X,O
JITSLZO,X,X,O,O,X
JITSLOZ,X,X,O,X,X
JITSZLO,X,X,O,O,X
JITSZOL,X,X,O,O,X
JITSOLZ,X,X,O,O,X
JITSOZL,X,X,O,O,X
JITZLSO,O,O,X,O,O
JITZLOS,O,O,X,X,O
JITZSLO,X,O,O,O,O
JITZSOL,O,O,O,O,O
JITZOLS,O,O,X,O,O
JITZOSL,O,O,O,O,O
JITOLSZ,O,X,O,O,X
JITOLZS,O,O,X,O,O
JITOSLZ,X,X,O,O,X
JITOSZL,X,X,O,O,X
JITOZLS,O,O,X,O,O
JITOZSL,O,O,O,O,O
JILTSZO,X,X,X,O,X
JILTSOZ,O,X,X,X,X
JILTZSO,O,X,X,O,O
JILTZOS,O,X,X,X,O
JILTOSZ,O,X,X,X,X
JILTOZS,O,X,X,X,O
JILSTZO,X,X,X,O,X
JILSTOZ,O,X,X,X,X
JILSZTO,X,X,X,O,X
JILSZOT,X,X,X,O,X
JILSOTZ,O,X,X,O,X
JILSOZT,O,X,X,O,X
JILZTSO,O,X,X,O,O
JILZTOS,O,O,X,X,O
JILZSTO,O,X,X,O,X
JILZSOT,O,O,X,O,X
JILZOTS,O,O,X,O,O
JILZOST,O,O,X,O,X
JILOTSZ,O,X,X,O,X
JILOTZS,O,X,X,O,O
JILOSTZ,O,X,X,O,X
JILOSZT,O,X,X,O,X
JILOZTS,O,O,X,O,O
JILOZST,O,O,X,O,X
JISTLZO,X,X,O,O,X
JISTLOZ,X,X,O,X,X
JISTZLO,X,X,O,O,X
JISTZOL,X,X,O,O,X
JISTOLZ,X,X,O,O,X
JISTOZL,X,X,O,O,X
JISLTZO,X,X,O,O,X
JISLTOZ,X,X,O,X,X
JISLZTO,X,X,X,O,X
JISLZOT,X,X,X,O,X
JISLOTZ,X,X,O,O,X
JISLOZT,X,X,X,O,X
JISZTLO,X,X,X,O,X
JISZTOL,X,X,X,O,X
JISZLTO,X,X,X,O,X
JISZLOT,X,X,X,O,X
JISZOTL,X,X,X,O,X
JISZOLT,X,X,X,O,X
JISOTLZ,X,X,O,O,X
JISOTZL,X,X,O,O,X
JISOLTZ,X,X,O,O,X
JISOLZT,X,X,X,O,X
JISOZTL,X,X,X,O,X
JISOZLT,X,X,X,O,X
JIZTLSO,O,O,X,O,O
JIZTLOS,O,O,X,X,O
JIZTSLO,X,O,X,O,O
JIZTSOL,O,O,X,O,O
JIZTOLS,O,O,X,O,O
JIZTOSL,O,O,X,O,O
JIZLTSO,O,O,X,O,O
JIZLTOS,O,O,X,X,O
JIZLSTO,O,X,X,O,X
JIZLSOT,O,O,X,O,X
JIZLOTS,O,O,X,O,O
JIZLOST,O,O,X,O,X
JIZSTLO,X,O,X,O,X
JIZSTOL,O,O,X,O,X
JIZSLTO,X,X,X,O,X
JIZSLOT,X,O,X,O,X
JIZSOTL,O,O,X,O,X
JIZSOLT,O,O,X,O,X
JIZOTLS,O,O,X,O,O
JIZOTSL,O,O,X,O,O
JIZOLTS,O,O,X,O,O
JIZOLST,O,O,X,O,X
JIZOSTL,O,O,X,O,X
JIZOSLT,O,O,X,O,X
JIOTLSZ,X,X,O,O,X
JIOTLZS,X,O,X,O,O
JIOTSLZ,X,X,O,O,X
JIOTSZL,X,X,O,O,X
JIOTZLS,X,O,X,O,O
JIOTZSL,X,O,O,O,O
JIOLTSZ,O,X,X,O,X
JIOLTZS,O,X,X,O,O
JIOLSTZ,O,X,X,O,X
JIOLSZT,O,X,X,O,X
JIOLZTS,O,O,X,O,O
JIOLZST,O,O,X,O,X
JIOSTLZ,X,X,O,O,X
JIOSTZL,X,X,O,O,X
JIOSLTZ,X,X,O,O,X
JIOSLZT,X,X,X,O,X
JIOSZTL,X,X,X,O,X
JIOSZLT,X,X,X,O,X
JIOZTLS,O,O,X,O,O
JIOZTSL,O,O,X,O,O
JIOZLTS,O,O,X,O,O
JIOZLST,O,O,X,O,X
JIOZSTL,O,O,X,O,X
JIOZSLT,O,O,X,O,X
JLTISZO,X,X,X,O,X
JLTISOZ,O,X,X,X,X
JLTIZSO,O,X,X,O,O
JLTIZOS,O,X,X,X,O
JLTIOSZ,O,X,X,X,X
JLTIOZS,O,X,X,X,O
JLTSIZO,X,X,X,O,X
JLTSIOZ,O,X,X,X,X
JLTSZIO,O,X,X,O,O
JLTSZOI,O,X,X,O,O
JLTSOIZ,O,X,X,X,X
JLTSOZI,O,X,X,X,O
JLTZISO,O,X,X,O,O
JLTZIOS,O,X,X,X,O
JLTZSIO,O,X,X,O,O
JLTZSOI,O,X,X,O,O
JLTZOIS,O,X,X,X,O
JLTZOSI,O,X,X,X,O
JLTOISZ,O,X,X,X,X
JLTOIZS,O,X,X,X,O
JLTOSIZ,O,X,X,X,X
JLTOSZI,O,X,X,X,O
JLTOZIS,O,X,X,X,O
JLTOZSI,O,X,X,X,O
JLITSZO,X,X,X,O,X
JLITSOZ,O,X,X,X,X
JLITZSO,O,X,X,O,O
JLITZOS,O,X,X,X,O
JLITOSZ,O,X,X,X,X
JLITOZS,O,X,X,X,O
JLISTZO,X,X,X,O,X
JLISTOZ,O,X,X,X,X
JLISZTO,X,X,X,O,X
JLISZOT,X,X,X,O,X
JLISOTZ,O,X,X,O,X
JLISOZT,O,X,X,O,X
JLIZTSO,O,X,X,O,O
JLIZTOS,O,O,X,X,O
JLIZSTO,O,X,X,O,X
JLIZSOT,O,O,X,O,X
JLIZOTS,O,O,X,O,O
JLIZOST,O,O,X,O,X
JLIOTSZ,O,X,X,O,X
JLIOTZS,O,X,X,O,O
JLIOSTZ,O,X,X,O,X
JLIOSZT,O,X,X,O,X
JLIOZTS,O,O,X,O,O
JLIOZST,O,O,X,O,X
JLSTIZO,X,X,X,O,X
JLSTIOZ,O,X,X,X,X
JLSTZIO,O,X,X,O,O
JLSTZOI,O,X,X,O,O
JLSTOIZ,O,X,X,X,X
JLSTOZI,O,X,X,X,O
JLSITZO,X,X,X,O,X
JLSITOZ,O,X,X,X,X
JLSIZTO,X,X,X,O,X
JLSIZOT,X,X,X,O,X
JLSIOTZ,O,X,X,O,X
JLSIOZT,O,X,X,O,X
JLSZTIO,O,X,X,O,O
JLSZTOI,O,X,X,O,O
JLSZITO,O,X,X,O,X
JLSZIOT,O,X,X,O,X
JLSZOTI,X,X,X,O,O
JLSZOIT,O,X,X,O,X
JLSOTIZ,X,X,X,O,X
JLSOTZI,X,X,X,O,O
JLSOITZ,O,X,X,O,X
JLSOIZT,O,X,X,O,X
JLSOZTI,X,X,X,O,O
JLSOZIT,O,X,X,O,X
JLZTISO,O,X,X,O,O
JLZTIOS,O,O,X,X,O
JLZTSIO,O,X,X,O,O
JLZTSOI,O,X,X,O,O
JLZTOIS,O,O,X,X,O
JLZTOSI,O,X,X,X,O
JLZITSO,O,X,X,O,O
JLZITOS,O,O,X,X,O
JLZISTO,O,X,X,O,X
JLZISOT,O,O,X,O,X
JLZIOTS,O,O,X,O,O
JLZIOST,O,O,X,O,X
JLZSTIO,O,X,X,O,O
JLZSTOI,O,X,X,O,O
JLZSITO,O,X,X,O,X
JLZSIOT,O,O,X,O,X
JLZSOTI,X,X,X,O,O
JLZSOIT,O,O,X,O,X
JLZOTIS,O,O,X,O,O
JLZOTSI,O,X,X,O,O
JLZOITS,O,O,X,O,O
JLZOIST,O,O,X,O,X
JLZOSTI,X,X,X,O,O
JLZOSIT,O,O,X,O,X
JLOTISZ,O,X,X,O,X
JLOTIZS,O,X,X,O,O
JLOTSIZ,O,X,X,O,X
JLOTSZI,O,X,X,O,O
JLOTZIS,O,X,X,O,O
JLOTZSI,O,X,X,O,O
JLOITSZ,O,X,X,O,X
JLOITZS,O,X,X,O,O
JLOISTZ,O,X,X,O,X
JLOISZT,O,X,X,O,X
JLOIZTS,O,O,X,O,O
JLOIZST,O,O,X,O,X
JLOSTIZ,X,X,X,O,X
JLOSTZI,X,X,X,O,O
JLOSITZ,O,X,X,O,X
JLOSIZT,O,X,X,O,X
JLOSZTI,X,X,X,O,O
JLOSZIT,O,X,X,O,X
JLOZTIS,O,O,X,O,O
JLOZTSI,O,X,X,O,O
JLOZITS,O,O,X,O,O
JLOZIST,O,O,X,O,X
JLOZSTI,X,X,X,O,O
JLOZSIT,O,O,X,O,X
JSTILZO,X,X,O,O,X
JSTILOZ,X,X,O,X,X
JSTIZLO,X,X,O,O,X
JSTIZOL,X,X,O,O,X
JSTIOLZ,X,X,O,O,X
JSTIOZL,X,X,O,O,X
JSTLIZO,X,X,O,O,X
JSTLIOZ,O,X,O,X,X
JSTLZIO,O,X,O,O,O
JSTLZOI,O,X,O,O,O
JSTLOIZ,O,X,O,X,X
JSTLOZI,O,X,O,X,O
JSTZILO,X,X,O,O,O
JSTZIOL,O,X,O,O,O
JSTZLIO,O,X,O,O,O
JSTZLOI,O,X,O,O,O
JSTZOIL,O,X,O,O,O
JSTZOLI,O,X,O,O,O
JSTOILZ,X,X,O,O,X
JSTOIZL,X,X,O,O,X
JSTOLIZ,O,X,O,O,X
JSTOLZI,O,X,O,O,O
JSTOZIL,O,X,O,O,O
JSTOZLI,O,X,O,O,O
JSITLZO,X,X,O,O,X
JSITLOZ,X,X,O,X,X
JSITZLO,X,X,O,O,X
JSITZOL,X,X,O,O,X
JSITOLZ,X,X,O,O,X
JSITOZL,X,X,O,O,X
JSILTZO,X,X,O,O,X
JSILTOZ,X,X,O,X,X
JSILZTO,X,X,X,O,X
JSILZOT,X,X,X,O,X
JSILOTZ,X,X,O,O,X
JSILOZT,X,X,X,O,X
JSIZTLO,X,X,X,O,X
JSIZTOL,X,X,X,O,X
JSIZLTO,X,X,X,O,X
JSIZLOT,X,X,X,O,X
JSIZOTL,X,X,X,O,X
JSIZOLT,X,X,X,O,X
JSIOTLZ,X,X,O,O,X
JSIOTZL,X,X,O,O,X
JSIOLTZ,X,X,O,O,X
JSIOLZT,X,X,X,O,X
JSIOZTL,X,X,X,O,X
JSIOZLT,X,X,X,O,X
JSLTIZO,X,X,O,O,X
JSLTIOZ,O,X,O,X,X
JSLTZIO,O,X,O,O,O
JSLTZOI,O,X,O,O,O
JSLTOIZ,O,X,O,X,X
JSLTOZI,O,X,O,X,O
JSLITZO,X,X,O,O,X
JSLITOZ,O,X,O,X,X
JSLIZTO,X,X,X,O,X
JSLIZOT,X,X,X,O,X
JSLIOTZ,O,X,O,O,X
JSLIOZT,O,X,X,O,X
JSLZTIO,O,X,X,O,O
JSLZTOI,O,X,X,O,O
JSLZITO,O,X,X,O,X
JSLZIOT,O,X,X,O,X
JSLZOTI,X,X,X,O,O
JSLZOIT,O,X,X,O,X
JSLOTIZ,X,X,O,O,X
JSLOTZI,X,X,O,O,O
JSLOITZ,O,X,O,O,X
JSLOIZT,O,X,X,O,X
JSLOZTI,X,X,X,O,O
JSLOZIT,O,X,X,O,X
JSZTILO,X,X,X,O,O
JSZTIOL,O,X,X,O,O
JSZTLIO,O,X,X,O,O
JSZTLOI,O,X,X,O,O
JSZTOIL,O,X,X,O,O
JSZTOLI,O,X,X,O,O
JSZITLO,X,X,X,O,X
JSZITOL,O,X,X,O,X
JSZILTO,X,X,X,O,X
JSZILOT,X,X,X,O,X
JSZIOTL,O,X,X,O,X
JSZIOLT,O,X,X,O,X
JSZLTIO,O,X,X,O,O
JSZLTOI,O,X,X,O,O
JSZLITO,O,X,X,O,X
JSZLIOT,O,X,X,O,X
JSZLOTI,X,X,X,O,O
JSZLOIT,O,X,X,O,X
JSZOTIL,X,X,X,O,O
JSZOTLI,X,X,X,O,O
JSZOITL,O,X,X,O,X
JSZOILT,O,X,X,O,X
JSZOLTI,X,X,X,O,O
JSZOLIT,O,X,X,O,X
JSOTILZ,X,X,O,O,X
JSOTIZL,X,X,O,O,X
JSOTLIZ,X,X,O,O,X
JSOTLZI,X,X,O,O,O
JSOTZIL,X,X,O,O,O
JSOTZLI,X,X,O,O,O
JSOITLZ,X,X,O,O,X
JSOITZL,X,X,O,O,X
JSOILTZ,X,X,O,O,X
JSOILZT,X,X,X,O,X
JSOIZTL,X,X,X,O,X
JSOIZLT,X,X,X,O,X
JSOLTIZ,X,X,O,O,X
JSOLTZI,X,X,O,O,O
JSOLITZ,O,X,O,O,X
JSOLIZT,O,X,X,O,X
JSOLZTI,X,X,X,O,O
JSOLZIT,O,X,X,O,X
JSOZTIL,X,X,X,O,O
JSOZTLI,X,X,X,O,O
JSOZITL,O,X,X,O,X
JSOZILT,O,X,X,O,X
JSOZLTI,X,X,X,O,O
JSOZLIT,O,X,X,O,X
JZTILSO,O,O,X,O,O
JZTILOS,O,O,X,X,O
JZTISLO,X,O,X,O,O
JZTISOL,O,O,X,O,O
JZTIOLS,O,O,X,O,O
JZTIOSL,O,O,X,O,O
JZTLISO,O,O,X,O,O
JZTLIOS,O,O,X,X,O
JZTLSIO,O,O,X,O,O
JZTLSOI,O,O,X,O,O
JZTLOIS,O,O,X,X,O
JZTLOSI,O,O,X,X,O
JZTSILO,X,O,X,O,O
JZTSIOL,O,O,X,O,O
JZTSLIO,O,O,X,O,O
JZTSLOI,O,O,X,O,O
JZTSOIL,O,O,X,O,O
JZTSOLI,O,O,X,O,O
JZTOILS,O,O,X,O,O
JZTOISL,O,O,X,O,O
JZTOLIS,O,O,X,O,O
JZTOLSI,O,O,X,O,O
JZTOSIL,O,O,X,O,O
JZTOSLI,O,O,X,O,O
JZITLSO,O,O,X,O,O
JZITLOS,O,O,X,X,O
JZITSLO,X,O,X,O,O
JZITSOL,O,O,X,O,O
JZITOLS,O,O,X,O,O
JZITOSL,O,O,X,O,O
JZILTSO,O,O,X,O,O
JZILTOS,O,O,X,X,O
JZILSTO,O,X,X,O,X
JZILSOT,O,O,X,O,X
JZILOTS,O,O,X,O,O
JZILOST,O,O,X,O,X
JZISTLO,X,O,X,O,X
JZISTOL,O,O,X,O,X
JZISLTO,X,X,X,O,X
JZISLOT,X,O,X,O,X
JZISOTL,O,O,X,O,X
JZISOLT,O,O,X,O,X
JZIOTLS,O,O,X,O,O
JZIOTSL,O,O,X,O,O
JZIOLTS,O,O,X,O,O
JZIOLST,O,O,X,O,X
JZIOSTL,O,O,X,O,X
JZIOSLT,O,O,X,O,X
JZLTISO,O,O,X,O,O
JZLTIOS,O,O,X,X,O
JZLTSIO,O,O,X,O,O
JZLTSOI,O,O,X,O,O
JZLTOIS,O,O,X,X,O
JZLTOSI,O,O,X,X,O
JZLITSO,O,O,X,O,O
JZLITOS,O,O,X,X,O
JZLISTO,O,X,X,O,X
JZLISOT,O,O,X,O,X
JZLIOTS,O,O,X,O,O
JZLIOST,O,O,X,O,X
JZLSTIO,O,X,X,O,O
JZLSTOI,O,X,X,O,O
JZLSITO,O,X,X,O,X
JZLSIOT,O,O,X,O,X
JZLSOTI,X,X,X,O,O
JZLSOIT,O,O,X,O,X
JZLOTIS,O,O,X,O,O
JZLOTSI,O,O,X,O,O
JZLOITS,O,O,X,O,O
JZLOIST,O,O,X,O,X
JZLOSTI,X,X,X,O,O
JZLOSIT,O,O,X,O,X
JZSTILO,X,O,X,O,O
JZSTIOL,O,O,X,O,O
JZSTLIO,O,O,X,O,O
JZSTLOI,O,O,X,O,O
JZSTOIL,O,O,X,O,O
JZSTOLI,O,O,X,O,O
JZSITLO,X,O,X,O,X
JZSITOL,O,O,X,O,X
JZSILTO,X,X,X,O,X
JZSILOT,X,O,X,O,X
JZSIOTL,O,O,X,O,X
JZSIOLT,O,O,X,O,X
JZSLTIO,O,X,X,O,O
JZSLTOI,O,X,X,O,O
JZSLITO,O,X,X,O,X
JZSLIOT,O,O,X,O,X
JZSLOTI,X,X,X,O,O
JZSLOIT,O,O,X,O,X
JZSOTIL,X,O,X,O,O
JZSOTLI,X,O,X,O,O
JZSOITL,O,O,X,O,X
JZSOILT,O,O,X,O,X
JZSOLTI,X,X,X,O,O
JZSOLIT,O,O,X,O,X
JZOTILS,O,O,X,O,O
JZOTISL,O,O,X,O,O
JZOTLIS,O,O,X,O,O
JZOTLSI,O,O,X,O,O
JZOTSIL,O,O,X,O,O
JZOTSLI,O,O,X,O,O
JZOITLS,O,O,X,O,O
JZOITSL,O,O,X,O,O
JZOILTS,O,O,X,O,O
JZOILST,O,O,X,O,X
JZOISTL,O,O,X,O,X
JZOISLT,O,O,X,O,X
JZOLTIS,O,O,X,O,O
JZOLTSI,O,O,X,O,O
JZOLITS,O,O,X,O,O
JZOLIST,O,O,X,O,X
JZOLSTI,X,X,X,O,O
JZOLSIT,O,O,X,O,X
JZOSTIL,X,O,X,O,O
JZOSTLI,X,O,X,O,O
JZOSITL,O,O,X,O,X
JZOSILT,O,O,X,O,X
JZOSLTI,X,X,X,O,O
JZOSLIT,O,O,X,O,X
JOTILSZ,O,X,O,O,X
JOTILZS,O,O,X,O,O
JOTISLZ,X,X,O,O,X
JOTISZL,X,X,O,O,X
JOTIZLS,O,O,X,O,O
JOTIZSL,O,O,O,O,O
JOTLISZ,O,X,O,O,X
JOTLIZS,O,O,X,O,O
JOTLSIZ,O,X,O,O,X
JOTLSZI,O,X,O,O,O
JOTLZIS,O,O,X,O,O
JOTLZSI,O,O,X,O,O
JOTSILZ,X,X,O,O,X
JOTSIZL,X,X,O,O,X
JOTSLIZ,O,X,O,O,X
JOTSLZI,O,X,O,O,O
JOTSZIL,O,X,O,O,O
JOTSZLI,O,X,O,O,O
JOTZILS,O,O,X,O,O
JOTZISL,O,O,O,O,O
JOTZLIS,O,O,X,O,O
JOTZLSI,O,O,X,O,O
JOTZSIL,O,O,O,O,O
JOTZSLI,O,O,O,O,O
JOITLSZ,X,X,O,O,X
JOITLZS,X,O,X,O,O
JOITSLZ,X,X,O,O,X
JOITSZL,X,X,O,O,X
JOITZLS,X,O,X,O,O
JOITZSL,X,O,O,O,O
JOILTSZ,O,X,X,O,X
JOILTZS,O,X,X,O,O
JOILSTZ,O,X,X,O,X
JOILSZT,O,X,X,O,X
JOILZTS,O,O,X,O,O
JOILZST,O,O,X,O,X
JOISTLZ,X,X,O,O,X
JOISTZL,X,X,O,O,X
JOISLTZ,X,X,O,O,X
JOISLZT,X,X,X,O,X
JOISZTL,X,X,X,O,X
JOISZLT,X,X,X,O,X
JOIZTLS,O,O,X,O,O
JOIZTSL,O,O,X,O,O
JOIZLTS,O,O,X,O,O
JOIZLST,O,O,X,O,X
JOIZSTL,O,O,X,O,X
JOIZSLT,O,O,X,O,X
JOLTISZ,O,X,X,O,X
JOLTIZS,O,X,X,O,O
JOLTSIZ,O,X,X,O,X
JOLTSZI,O,X,X,O,O
JOLTZIS,O,X,X,O,O
JOLTZSI,O,X,X,O,O
JOLITSZ,O,X,X,O,X
JOLITZS,O,X,X,O,O
JOLISTZ,O,X,X,O,X
JOLISZT,O,X,X,O,X
JOLIZTS,O,O,X,O,O
JOLIZST,O,O,X,O,X
JOLSTIZ,X,X,X,O,X
JOLSTZI,X,X,X,O,O
JOLSITZ,O,X,X,O,X
JOLSIZT,O,X,X,O,X
JOLSZTI,X,X,X,O,O
JOLSZIT,O,X,X,O,X
JOLZTIS,O,O,X,O,O
JOLZTSI,O,X,X,O,O
JOLZITS,O,O,X,O,O
JOLZIST,O,O,X,O,X
JOLZSTI,X,X,X,O,O
JOLZSIT,O,O,X,O,X
JOSTILZ,X,X,O,O,X
JOSTIZL,X,X,O,O,X
JOSTLIZ,X,X,O,O,X
JOSTLZI,X,X,O,O,O
JOSTZIL,X,X,O,O,O
JOSTZLI,X,X,O,O,O
JOSITLZ,X,X,O,O,X
JOSITZL,X,X,O,O,X
JOSILTZ,X,X,O,O,X
JOSILZT,X,X,X,O,X
JOSIZTL,X,X,X,O,X
JOSIZLT,X,X,X,O,X
JOSLTIZ,X,X,O,O,X
JOSLTZI,X,X,O,O,O
JOSLITZ,O,X,O,O,X
JOSLIZT,O,X,X,O,X
JOSLZTI,X,X,X,O,O
JOSLZIT,O,X,X,O,X
JOSZTIL,X,X,X,O,O
JOSZTLI,X,X,X,O,O
JOSZITL,O,X,X,O,X
JOSZILT,O,X,X,O,X
JOSZLTI,X,X,X,O,O
JOSZLIT,O,X,X,O,X
JOZTILS,O,O,X,O,O
JOZTISL,O,O,X,O,O
JOZTLIS,O,O,X,O,O
JOZTLSI,O,O,X,O,O
JOZTSIL,O,O,X,O,O
JOZTSLI,O,O,X,O,O
JOZITLS,O,O,X,O,O
JOZITSL,O,O,X,O,O
JOZILTS,O,O,X,O,O
JOZILST,O,O,X,O,X
JOZISTL,O,O,X,O,X
JOZISLT,O,O,X,O,X
JOZLTIS,O,O,X,O,O
JOZLTSI,O,O,X,O,O
JOZLITS,O,O,X,O,O
JOZLIST,O,O,X,O,X
JOZLSTI,X,X,X,O,O
JOZLSIT,O,O,X,O,X
JOZSTIL,X,O,X,O,O
JOZSTLI,X,O,X,O,O
JOZSITL,O,O,X,O,X
JOZSILT,O,O,X,O,X
JOZSLTI,X,X,X,O,O
JOZSLIT,O,O,X,O,X
STILJZO,X,X,O,O,X
STILJOZ,X,X,O,X,X
STILZJO,X,O,O,X,X
STILZOJ,X,O,O,X,X
STILOJZ,X,X,O,X,X
STILOZJ,X,O,O,X,X
STIJLZO,X,X,O,O,X
STIJLOZ,X,X,O,X,X
STIJZLO,X,X,O,O,X
STIJZOL,X,X,O,O,X
STIJOLZ,X,X,O,O,X
STIJOZL,X,X,O,O,X
STIZLJO,X,O,O,X,X
STIZLOJ,X,O,O,X,X
STIZJLO,X,O,O,X,X
STIZJOL,X,O,O,X,X
STIZOLJ,X,O,O,X,X
STIZOJL,X,O,O,X,X
STIOLJZ,X,X,O,O,X
STIOLZJ,X,O,O,X,X
STIOJLZ,X,X,O,O,X
STIOJZL,X,X,O,O,X
STIOZLJ,X,O,O,X,X
STIOZJL,X,O,O,X,X
STLIJZO,X,X,O,O,X
STLIJOZ,O,X,O,X,X
STLIZJO,X,O,O,X,X
STLIZOJ,X,O,O,X,X
STLIOJZ,O,X,O,X,X
STLIOZJ,X,O,O,X,X
STLJIZO,X,X,O,O,X
STLJIOZ,O,X,O,X,X
STLJZIO,O,X,O,O,X
STLJZOI,O,X,O,O,X
STLJOIZ,O,X,O,X,X
STLJOZI,O,X,O,X,X
STLZIJO,O,O,O,X,X
STLZIOJ,O,O,O,X,X
STLZJIO,O,O,O,X,X
STLZJOI,O,O,O,X,X
STLZOIJ,O,O,O,X,X
STLZOJI,O,O,O,X,X
STLOIJZ,O,X,O,X,X
STLOIZJ,X,O,O,X,X
STLOJIZ,O,X,O,X,X
STLOJZI,O,X,O,X,X
STLOZIJ,O,O,O,X,X
STLOZJI,O,O,O,X,X
STJILZO,X,X,O,O,X
STJILOZ,X,X,O,X,X
STJIZLO,X,X,O,O,X
STJIZOL,X,X,O,O,X
STJIOLZ,X,X,O,O,X
STJIOZL,X,X,O,O,X
STJLIZO,X,X,O,O,X
STJLIOZ,O,X,O,X,X
STJLZIO,O,X,O,O,X
STJLZOI,O,X,O,O,X
STJLOIZ,O,X,O,X,X
STJLOZI,O,X,O,X,X
STJZILO,X,X,O,O,X
STJZIOL,O,X,O,O,X
STJZLIO,O,X,O,O,X
STJZLOI,O,X,O,O,X
STJZOIL,O,X,O,O,X
STJZOLI,O,X,O,O,X
STJOILZ,X,X,O,O,X
STJOIZL,X,X,O,O,X
STJOLIZ,O,X,O,O,X
STJOLZI,O,X,O,O,X
STJOZIL,O,X,O,O,X
STJOZLI,O,X,O,O,X
STZILJO,X,O,O,X,X
STZILOJ,X,O,O,X,X
STZIJLO,X,O,O,X,X
STZIJOL,O,O,O,X,X
STZIOLJ,X,O,O,X,X
STZIOJL,O,O,O,X,X
STZLIJO,O,O,O,X,X
STZLIOJ,O,O,O,X,X
STZLJIO,O,O,O,X,X
STZLJOI,O,O,O,X,X
STZLOIJ,O,O,O,X,X
STZLOJI,O,O,O,X,X
STZJILO,X,O,O,X,X
STZJIOL,O,O,O,X,X
STZJLIO,O,O,O,X,X
STZJLOI,O,O,O,X,X
STZJOIL,O,O,O,X,X
STZJOLI,O,O,O,X,X
