sequence,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFXhB8mBziB5oB2q?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KeGAJvhFihBziB5oBUlB3m?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF6lBOmB8mBziB5o?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF0gBmhBziB5oBSr?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiBUmB6tB3l?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiB3lB6tBUm?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhF+lBihB3iB5oB1r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFlhB3iB5oBTlB2r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFGhBliB5oB3lByr?B8sB
TZIOSLJ,O,O,O,O,X,X,O,O,O
TZIOSJL,O,O,O,O,X,X,O,O,O
TZLIJSO,O,O,O,O,O,O,O,O,O
TZLIJOS,O,O,O,O,O,O,O,O,O
TZLISJO,O,O,O,O,O,O,O,O,O
TZLISOJ,O,O,O,O,O,O,O,O,O
TZLIOJS,O,O,O,O,O,O,O,O,O
TZLIOSJ,O,O,O,O,O,O,O,O,O
TZLJISO,O,O,O,O,O,O,O,O,O
TZLJIOS,O,O,O,O,O,O,O,O,O
TZLJSIO,O,O,O,O,O,O,O,O,O
TZLJSOI,O,O,O,O,O,O,O,O,O
TZLJOIS,O,O,O,O,O,O,O,O,O
TZLJOSI,O,O,O,O,O,O,O,O,O
TZLSIJO,O,O,O,O,O,O,O,O,O
TZLSIOJ,O,O,O,O,O,O,O,O,O
TZLSJIO,O,O,O,O,O,O,O,O,O
TZLSJOI,O,O,O,O,O,O,O,O,O
TZLSOIJ,O,O,O,O,O,O,O,O,O
TZLSOJI,O,O,O,O,O,O,O,O,O
TZLOIJS,O,O,O,O,O,O,O,O,O
TZLOISJ,O,O,O,O,O,O,O,O,O
TZLOJIS,O,O,O,O,O,O,O,O,O
TZLOJSI,O,O,O,O,O,O,O,O,O
TZLOSIJ,O,O,O,O,O,O,O,O,O
TZLOSJI,O,O,O,O,O,O,O,O,O
TZJILSO,O,O,O,O,O,X,O,O,O
TZJILOS,O,O,O,O,O,X,O,O,O
TZJISLO,O,O,O,O,X,X,O,O,O
TZJISOL,O,O,O,O,X,X,O,O,O
TZJIOLS,O,O,O,O,O,X,O,O,O
TZJIOSL,O,O,O,O,X,X,O,O,O
TZJLISO,O,O,O,O,O,O,O,O,O
TZJLIOS,O,O,O,O,O,O,O,O,O
TZJLSIO,O,O,O,O,O,O,O,O,O
TZJLSOI,O,O,O,O,O,O,O,O,O
TZJLOIS,O,O,O,O,O,O,O,O,O
TZJLOSI,O,O,O,O,O,O,O,O,O
TZJSILO,O,O,O,O,X,X,O,O,O
TZJSIOL,O,O,O,O,X,X,O,O,O
TZJSLIO,O,O,O,O,O,O,O,O,O
TZJSLOI,O,O,O,O,O,O,O,O,O
TZJSOIL,O,O,O,O,X,X,O,O,O
TZJSOLI,O,O,O,O,O,O,O,O,O
TZJOILS,O,O,O,O,O,X,O,O,O
TZJOISL,O,O,O,O,X,X,O,O,O
TZJOLIS,O,O,O,O,O,O,O,O,O
TZJOLSI,O,O,O,O,O,O,O,O,O
TZJOSIL,O,O,O,O,X,X,O,O,O
TZJOSLI,O,O,O,O,O,O,O,O,O
TZSILJO,O,O,O,O,X,X,O,O,O
TZSILOJ,O,O,O,O,X,X,O,O,O
TZSIJLO,O,O,O,O,X,X,O,O,O
TZSIJOL,O,O,O,O,X,X,O,O,O
TZSIOLJ,O,O,O,O,X,X,O,O,O
TZSIOJL,O,O,O,O,X,X,O,O,O
TZSLIJO,O,O,O,O,O,O,O,O,O
TZSLIOJ,O,O,O,O,O,O,O,O,O
TZSLJIO,O,O,O,O,O,O,O,O,O
TZSLJOI,O,O,O,O,O,O,O,O,O
TZSLOIJ,O,O,O,O,O,O,O,O,O
TZSLOJI,O,O,O,O,O,O,O,O,O
TZSJILO,O,O,O,O,X,X,O,O,O
TZSJIOL,O,O,O,O,X,X,O,O,O
TZSJLIO,O,O,O,O,O,O,O,O,O
TZSJLOI,O,O,O,O,O,O,O,O,O
TZSJOIL,O,O,O,O,X,X,O,O,O
TZSJOLI,O,O,O,O,O,O,O,O,O
TZSOILJ,O,O,O,O,X,X,O,O,O
TZSOIJL,O,O,O,O,X,X,O,O,O
TZSOLIJ,O,O,O,O,O,O,O,O,O
TZSOLJI,O,O,O,O,O,O,O,O,O
TZSOJIL,O,O,O,O,X,X,O,O,O
TZSOJLI,O,O,O,O,O,O,O,O,O
TZOILJS,O,O,O,O,O,X,O,O,O
TZOILSJ,O,O,O,O,O,X,O,O,O
TZOIJLS,O,O,O,O,O,X,O,O,O
TZOIJSL,O,O,O,O,X,X,O,O,O
TZOISLJ,O,O,O,O,X,X,O,O,O
TZOISJL,O,O,O,O,X,X,O,O,O
TZOLIJS,O,O,O,O,O,O,O,O,O
TZOLISJ,O,O,O,O,O,O,O,O,O
TZOLJIS,O,O,O,O,O,O,O,O,O
TZOLJSI,O,O,O,O,O,O,O,O,O
TZOLSIJ,O,O,O,O,O,O,O,O,O
TZOLSJI,O,O,O,O,O,O,O,O,O
TZOJILS,O,O,O,O,O,X,O,O,O
TZOJISL,O,O,O,O,X,X,O,O,O
TZOJLIS,O,O,O,O,O,O,O,O,O
TZOJLSI,O,O,O,O,O,O,O,O,O
TZOJSIL,O,O,O,O,X,X,O,O,O
TZOJSLI,O,O,O,O,O,O,O,O,O
TZOSILJ,O,O,O,O,X,X,O,O,O
TZOSIJL,O,O,O,O,X,X,O,O,O
TZOSLIJ,O,O,O,O,O,O,O,O,O
TZOSLJI,O,O,O,O,O,O,O,O,O
TZOSJIL,O,O,O,O,X,X,O,O,O
TZOSJLI,O,O,O,O,O,O,O,O,O
TOILJSZ,O,X,X,O,O,O,O,O,X
TOILJZS,O,X,X,O,O,O,O,O,O
TOILSJZ,O,O,O,O,O,O,X,X,X
TOILSZJ,O,O,O,O,O,O,X,X,X
TOILZJS,O,O,O,O,O,O,O,O,O
TOILZSJ,O,O,O,O,O,O,O,O,O
TOIJLSZ,O,X,X,O,O,O,O,O,X
TOIJLZS,O,X,X,O,O,O,O,O,X
TOIJSLZ,O,O,O,O,X,O,O,O,X
TOIJSZL,O,O,O,O,X,X,O,O,X
TOIJZLS,O,O,O,O,O,X,O,O,X
TOIJZSL,O,O,O,O,X,X,O,O,X
TOISLJZ,O,O,O,O,X,O,X,X,O
TOISLZJ,O,O,O,O,X,O,X,X,O
TOISJLZ,O,O,O,O,X,O,O,X,O
TOISJZL,O,O,O,O,X,X,O,X,O
TOISZLJ,O,O,O,O,X,X,O,X,O
TOISZJL,O,O,O,O,X,X,O,X,O
TOIZLJS,O,O,O,O,O,X,O,O,O
TOIZLSJ,O,O,O,O,O,X,O,O,O
TOIZJLS,O,O,O,O,O,X,O,O,O
TOIZJSL,O,O,O,O,X,X,O,O,O
TOIZSLJ,O,O,O,O,X,X,O,O,O
TOIZSJL,O,O,O,O,X,X,O,O,O
TOLIJSZ,O,X,X,O,O,O,O,O,X
TOLIJZS,O,X,X,O,O,O,O,O,O
TOLISJZ,O,O,O,O,O,O,X,X,X
TOLISZJ,O,O,O,O,O,O,X,X,X
TOLIZJS,O,O,O,O,O,O,O,O,O
TOLIZSJ,O,O,O,O,O,O,O,O,O
TOLJISZ,O,X,X,O,O,O,O,O,X
TOLJIZS,O,X,X,O,O,O,O,O,O
TOLJSIZ,O,X,X,O,O,O,O,O,X
TOLJSZI,O,X,X,O,O,O,O,O,X
TOLJZIS,O,X,X,O,O,O,O,O,O
TOLJZSI,O,X,X,O,O,O,O,O,O
TOLSIJZ,O,O,O,O,O,O,X,X,X
TOLSIZJ,O,O,O,O,O,O,X,X,X
TOLSJIZ,O,O,O,O,O,O,X,X,X
TOLSJZI,O,O,O,O,O,O,X,X,X
TOLSZIJ,O,O,O,O,O,O,X,X,X
TOLSZJI,O,O,O,O,O,O,X,X,X
TOLZIJS,O,O,O,O,O,O,O,O,O
TOLZISJ,O,O,O,O,O,O,O,O,O
TOLZJIS,O,O,O,O,O,O,O,O,O
TOLZJSI,O,O,O,O,O,O,O,O,O
TOLZSIJ,O,O,O,O,O,O,O,O,O
TOLZSJI,O,O,O,O,O,O,O,O,O
TOJILSZ,O,X,X,O,O,O,O,O,X
TOJILZS,O,X,X,O,O,O,O,O,X
TOJISLZ,O,O,O,O,X,O,O,O,X
TOJISZL,O,O,O,O,X,X,O,O,X
TOJIZLS,O,O,O,O,O,X,O,O,X
TOJIZSL,O,O,O,O,X,X,O,O,X
TOJLISZ,O,X,X,O,O,O,O,O,X
TOJLIZS,O,X,X,O,O,O,O,O,X
TOJLSIZ,O,X,X,O,O,O,O,O,X
TOJLSZI,O,X,X,O,O,O,O,O,X
TOJLZIS,O,X,X,O,O,O,O,O,X
TOJLZSI,O,X,X,O,O,O,O,O,X
TOJSILZ,O,O,O,O,X,O,O,O,X
TOJSIZL,O,O,O,O,X,X,O,O,X
TOJSLIZ,O,O,O,O,O,O,O,O,X
TOJSLZI,O,O,O,O,O,O,O,O,X
TOJSZIL,O,O,O,O,X,X,O,O,X
TOJSZLI,O,O,O,O,O,O,O,O,X
TOJZILS,O,O,O,O,O,X,O,O,X
TOJZISL,O,O,O,O,X,X,O,O,X
TOJZLIS,O,O,O,O,O,O,O,O,X
TOJZLSI,O,O,O,O,O,O,O,O,X
TOJZSIL,O,O,O,O,X,X,O,O,X
TOJZSLI,O,O,O,O,O,O,O,O,X
TOSILJZ,O,O,O,O,X,O,X,X,O
TOSILZJ,O,O,O,O,X,O,X,X,O
TOSIJLZ,O,O,O,O,X,O,O,X,O
TOSIJZL,O,O,O,O,X,X,O,X,O
TOSIZLJ,O,O,O,O,X,X,O,X,O
TOSIZJL,O,O,O,O,X,X,O,X,O
TOSLIJZ,O,O,O,O,O,O,X,X,O
TOSLIZJ,O,O,O,O,O,O,X,X,O
TOSLJIZ,O,O,O,O,O,O,X,X,O
TOSLJZI,O,O,O,O,O,O,X,X,O
TOSLZIJ,O,O,O,O,O,O,X,X,O
TOSLZJI,O,O,O,O,O,O,X,X,O
TOSJILZ,O,O,O,O,X,O,O,X,O
TOSJIZL,O,O,O,O,X,X,O,X,O
TOSJLIZ,O,O,O,O,O,O,O,X,O
TOSJLZI,O,O,O,O,O,O,O,X,O
TOSJZIL,O,O,O,O,X,X,O,X,O
TOSJZLI,O,O,O,O,O,O,O,X,O
TOSZILJ,O,O,O,O,X,X,O,X,O
TOSZIJL,O,O,O,O,X,X,O,X,O
TOSZLIJ,O,O,O,O,O,O,O,X,O
TOSZLJI,O,O,O,O,O,O,O,X,O
TOSZJIL,O,O,O,O,X,X,O,X,O
TOSZJLI,O,O,O,O,O,O,O,X,O
TOZILJS,O,O,O,O,O,X,O,O,O
TOZILSJ,O,O,O,O,O,X,O,O,O
TOZIJLS,O,O,O,O,O,X,O,O,O
TOZIJSL,O,O,O,O,X,X,O,O,O
TOZISLJ,O,O,O,O,X,X,O,O,O
TOZISJL,O,O,O,O,X,X,O,O,O
TOZLIJS,O,O,O,O,O,O,O,O,O
TOZLISJ,O,O,O,O,O,O,O,O,O
TOZLJIS,O,O,O,O,O,O,O,O,O
TOZLJSI,O,O,O,O,O,O,O,O,O
TOZLSIJ,O,O,O,O,O,O,O,O,O
TOZLSJI,O,O,O,O,O,O,O,O,O
TOZJILS,O,O,O,O,O,X,O,O,O
TOZJISL,O,O,O,O,X,X,O,O,O
TOZJLIS,O,O,O,O,O,O,O,O,O
TOZJLSI,O,O,O,O,O,O,O,O,O
TOZJSIL,O,O,O,O,X,X,O,O,O
TOZJSLI,O,O,O,O,O,O,O,O,O
TOZSILJ,O,O,O,O,X,X,O,O,O
TOZSIJL,O,O,O,O,X,X,O,O,O
TOZSLIJ,O,O,O,O,O,O,O,O,O
TOZSLJI,O,O,O,O,O,O,O,O,O
TOZSJIL,O,O,O,O,X,X,O,O,O
TOZSJLI,O,O,O,O,O,O,O,O,O
ITLJSZO,O,X,X,O,O,O,O,O,O
ITLJSOZ,O,X,X,O,O,O,O,X,O
ITLJZSO,O,X,X,O,O,O,O,O,O
ITLJZOS,O,X,X,O,O,O,O,O,O
ITLJOSZ,O,X,X,O,O,O,O,X,X
ITLJOZS,O,X,X,O,O,O,O,O,O
ITLSJZO,O,O,O,O,O,O,O,X,O
ITLSJOZ,O,O,O,O,O,O,O,X,O
ITLSZJO,O,O,O,O,O,O,O,X,O
ITLSZOJ,O,O,O,O,O,O,O,X,O
ITLSOJZ,O,O,O,O,O,O,X,X,O
ITLSOZJ,O,O,O,O,O,O,X,X,O
ITLZJSO,O,O,O,O,O,O,O,O,O
ITLZJOS,O,O,O,O,O,O,O,O,O
ITLZSJO,O,O,O,O,O,O,O,O,O
ITLZSOJ,O,O,O,O,O,O,O,O,O
ITLZOJS,O,O,O,O,O,O,O,O,O
ITLZOSJ,O,O,O,O,O,O,O,O,O
ITLOJSZ,O,X,X,O,O,O,O,O,X
ITLOJZS,O,X,X,O,O,O,O,O,O
ITLOSJZ,O,O,O,O,O,O,X,X,X
ITLOSZJ,O,O,O,O,O,O,X,X,X
ITLOZJS,O,O,O,O,O,O,O,O,O
ITLOZSJ,O,O,O,O,O,O,O,O,O
ITJLSZO,O,X,X,O,O,O,O,O,X
ITJLSOZ,O,X,X,O,O,O,O,X,X
ITJLZSO,O,X,X,O,O,O,O,O,X
ITJLZOS,O,X,X,O,O,O,O,O,X
ITJLOSZ,O,X,X,O,O,O,O,O,X
ITJLOZS,O,X,X,O,O,O,O,O,X
ITJSLZO,O,O,O,O,X,O,O,O,X
ITJSLOZ,O,O,O,O,X,O,O,X,X
ITJSZLO,O,O,O,O,X,X,O,O,X
ITJSZOL,O,O,O,O,X,X,O,O,X
ITJSOLZ,O,O,O,O,X,O,O,O,X
ITJSOZL,O,O,O,O,X,X,O,O,X
ITJZLSO,O,O,O,O,O,X,O,O,X
ITJZLOS,O,O,O,O,O,X,O,O,X
ITJZSLO,O,O,O,O,X,X,O,O,X
ITJZSOL,O,O,O,O,X,X,O,O,X
ITJZOLS,O,O,O,O,O,X,O,O,X
ITJZOSL,O,O,O,O,X,X,O,O,X
ITJOLSZ,O,X,X,O,O,O,O,O,X
ITJOLZS,O,X,X,O,O,O,O,O,X
ITJOSLZ,O,O,O,O,X,O,O,O,X
ITJOSZL,O,O,O,O,X,X,O,O,X
ITJOZLS,O,O,O,O,O,X,O,O,X
ITJOZSL,O,O,O,O,X,X,O,O,X
ITSLJZO,O,O,O,O,X,O,O,X,O
ITSLJOZ,O,O,O,O,X,O,O,X,O
ITSLZJO,O,O,O,O,X,O,O,X,O
ITSLZOJ,O,O,O,O,X,O,O,X,O
ITSLOJZ,O,O,O,O,X,O,X,X,O
ITSLOZJ,O,O,O,O,X,O,X,X,O
ITSJLZO,O,O,O,O,X,O,O,X,O
ITSJLOZ,O,O,O,O,X,O,O,X,O
ITSJZLO,O,O,O,O,X,X,O,X,O
ITSJZOL,O,O,O,O,X,X,O,X,O
ITSJOLZ,O,O,O,O,X,O,O,X,O
ITSJOZL,O,O,O,O,X,X,O,X,O
ITSZLJO,O,O,O,O,X,X,O,X,O
ITSZLOJ,O,O,O,O,X,X,O,X,O
ITSZJLO,O,O,O,O,X,X,O,X,O
ITSZJOL,O,O,O,O,X,X,O,X,O
ITSZOLJ,O,O,O,O,X,X,O,X,O
ITSZOJL,O,O,O,O,X,X,O,X,O
ITSOLJZ,O,O,O,O,X,O,X,X,O
ITSOLZJ,O,O,O,O,X,O,X,X,O
ITSOJLZ,O,O,O,O,X,O,O,X,O
ITSOJZL,O,O,O,O,X,X,O,X,O
ITSOZLJ,O,O,O,O,X,X,O,X,O
ITSOZJL,O,O,O,O,X,X,O,X,O
ITZLJSO,O,O,O,O,O,X,O,O,O
ITZLJOS,O,O,O,O,O,X,O,O,O
ITZLSJO,O,O,O,O,O,X,O,O,O
ITZLSOJ,O,O,O,O,O,X,O,O,O
ITZLOJS,O,O,O,O,O,X,O,O,O
ITZLOSJ,O,O,O,O,O,X,O,O,O
ITZJLSO,O,O,O,O,O,X,O,O,O
ITZJLOS,O,O,O,O,O,X,O,O,O
ITZJSLO,O,O,O,O,X,X,O,O,O
ITZJSOL,O,O,O,O,X,X,O,O,O
ITZJOLS,O,O,O,O,O,X,O,O,O
ITZJOSL,O,O,O,O,X,X,O,O,O
ITZSLJO,O,O,O,O,X,X,O,O,O
ITZSLOJ,O,O,O,O,X,X,O,O,O
ITZSJLO,O,O,O,O,X,X,O,O,O
ITZSJOL,O,O,O,O,X,X,O,O,O
ITZSOLJ,O,O,O,O,X,X,O,O,O
ITZSOJL,O,O,O,O,X,X,O,O,O
ITZOLJS,O,O,O,O,O,X,O,O,O
ITZOLSJ,O,O,O,O,O,X,O,O,O
ITZOJLS,O,O,O,O,O,X,O,O,O
ITZOJSL,O,O,O,O,X,X,O,O,O
ITZOSLJ,O,O,O,O,X,X,O,O,O
ITZOSJL,O,O,O,O,X,X,O,O,O
ITOLJSZ,O,X,X,O,O,O,O,O,X
ITOLJZS,O,X,X,O,O,O,O,O,O
ITOLSJZ,O,O,O,O,O,O,X,X,X
ITOLSZJ,O,O,O,O,O,O,X,X,X
ITOLZJS,O,O,O,O,O,O,O,O,O
ITOLZSJ,O,O,O,O,O,O,O,O,O
ITOJLSZ,O,X,X,O,O,O,O,O,X
ITOJLZS,O,X,X,O,O,O,O,O,X
ITOJSLZ,O,O,O,O,X,O,O,O,X
ITOJSZL,O,O,O,O,X,X,O,O,X
ITOJZLS,O,O,O,O,O,X,O,O,X
ITOJZSL,O,O,O,O,X,X,O,O,X
ITOSLJZ,O,O,O,O,X,O,X,X,O
ITOSLZJ,O,O,O,O,X,O,X,X,O
ITOSJLZ,O,O,O,O,X,O,O,X,O
ITOSJZL,O,O,O,O,X,X,O,X,O
ITOSZLJ,O,O,O,O,X,X,O,X,O
ITOSZJL,O,O,O,O,X,X,O,X,O
ITOZLJS,O,O,O,O,O,X,O,O,O
ITOZLSJ,O,O,O,O,O,X,O,O,O
ITOZJLS,O,O,O,O,O,X,O,O,O
ITOZJSL,O,O,O,O,X,X,O,O,O
ITOZSLJ,O,O,O,O,X,X,O,O,O
ITOZSJL,O,O,O,O,X,X,O,O,O
ILTJSZO,O,X,X,O,O,O,O,O,O
ILTJSOZ,O,X,X,O,O,O,O,X,O
ILTJZSO,O,X,X,O,O,O,O,O,O
ILTJZOS,O,X,X,O,O,O,O,O,O
ILTJOSZ,O,X,X,O,O,O,O,X,X
ILTJOZS,O,X,X,O,O,O,O,O,O
ILTSJZO,O,O,O,O,O,O,O,X,O
ILTSJOZ,O,O,O,O,O,O,O,X,O
ILTSZJO,O,O,O,O,O,O,O,X,O
ILTSZOJ,O,O,O,O,O,O,O,X,O
ILTSOJZ,O,O,O,O,O,O,X,X,O
ILTSOZJ,O,O,O,O,O,O,X,X,O
ILTZJSO,O,O,O,O,O,O,O,O,O
ILTZJOS,O,O,O,O,O,O,O,O,O
ILTZSJO,O,O,O,O,O,O,O,O,O
ILTZSOJ,O,O,O,O,O,O,O,O,O
ILTZOJS,O,O,O,O,O,O,O,O,O
ILTZOSJ,O,O,O,O,O,O,O,O,O
ILTOJSZ,O,X,X,O,O,O,O,O,X
ILTOJZS,O,X,X,O,O,O,O,O,O
ILTOSJZ,O,O,O,O,O,O,X,X,X
ILTOSZJ,O,O,O,O,O,O,X,X,X
ILTOZJS,O,O,O,O,O,O,O,O,O
ILTOZSJ,O,O,O,O,O,O,O,O,O
ILJTSZO,O,X,X,O,O,O,O,O,O
ILJTSOZ,O,X,X,O,O,O,O,X,O
ILJTZSO,O,X,X,O,O,O,O,O,O
ILJTZOS,O,X,X,O,O,O,O,O,O
ILJTOSZ,O,X,X,O,O,O,O,O,X
ILJTOZS,O,X,X,O,O,O,O,O,O
ILJSTZO,O,X,O,O,X,X,X,O,O
ILJSTOZ,O,X,X,O,X,X,X,X,O
ILJSZTO,O,X,O,O,X,X,X,O,O
ILJSZOT,O,X,O,O,X,X,X,O,O
ILJSOTZ,X,X,X,O,X,X,X,X,O
ILJSOZT,O,X,O,O,X,X,X,X,O
ILJZTSO,O,X,O,O,X,X,O,O,O
ILJZTOS,O,X,O,O,O,X,O,O,O
ILJZSTO,O,X,O,O,X,X,O,O,O
ILJZSOT,O,X,O,O,O,X,O,O,O
ILJZOTS,O,X,X,X,O,X,O,O,O
ILJZOST,O,X,X,X,O,X,O,O,O
ILJOTSZ,O,X,X,O,O,O,O,O,X
ILJOTZS,O,X,X,O,O,O,O,O,O
ILJOSTZ,X,X,X,O,X,X,X,O,O
ILJOSZT,O,X,X,O,X,X,X,O,O
ILJOZTS,O,X,X,X,O,X,O,O,O
ILJOZST,O,X,X,X,O,X,O,O,O
ILSTJZO,O,O,O,O,O,O,X,X,O
ILSTJOZ,O,O,O,O,O,O,X,X,O
ILSTZJO,O,O,O,O,O,O,X,X,O
ILSTZOJ,O,O,O,O,O,O,X,X,O
ILSTOJZ,O,O,O,O,O,O,X,X,O
ILSTOZJ,O,O,O,O,O,O,X,X,O
ILSJTZO,O,O,O,O,X,X,X,O,O
ILSJTOZ,O,O,O,O,X,X,X,X,O
ILSJZTO,O,O,O,O,X,X,X,O,O
ILSJZOT,O,O,O,O,X,X,X,O,O
ILSJOTZ,X,X,X,O,X,X,X,X,O
ILSJOZT,O,X,O,O,X,X,X,X,O
ILSZTJO,O,O,O,O,X,X,X,O,O
ILSZTOJ,O,O,O,O,X,X,X,O,O
ILSZJTO,O,O,O,O,X,X,X,O,O
ILSZJOT,O,O,O,O,O,X,X,O,O
ILSZOTJ,O,O,O,O,X,X,X,O,O
ILSZOJT,X,O,O,O,O,X,X,O,O
ILSOTJZ,X,O,O,O,O,O,X,X,O
ILSOTZJ,X,O,O,O,O,O,X,X,O
ILSOJTZ,X,X,X,O,X,X,X,O,O
ILSOJZT,X,X,O,O,X,X,X,O,O
ILSOZTJ,X,O,O,O,X,X,X,O,O
ILSOZJT,X,O,O,O,O,X,X,O,O
ILZTJSO,O,O,O,O,O,O,O,O,O
ILZTJOS,O,O,O,O,O,O,O,O,O
ILZTSJO,O,O,O,O,O,O,O,O,O
ILZTSOJ,O,O,O,O,O,O,O,O,O
ILZTOJS,O,O,O,O,O,O,O,O,O
ILZTOSJ,O,O,O,O,O,O,O,O,O
ILZJTSO,O,O,O,O,X,X,O,O,O
ILZJTOS,O,O,O,O,O,X,O,O,O
ILZJSTO,O,O,O,O,X,X,O,O,O
ILZJSOT,O,O,O,O,O,X,O,O,O
ILZJOTS,O,X,X,X,O,X,O,O,O
ILZJOST,O,X,X,X,O,X,O,O,O
ILZSTJO,O,O,O,O,X,X,O,O,O
ILZSTOJ,O,O,O,O,X,X,O,O,O
ILZSJTO,O,O,O,O,X,X,O,O,O
ILZSJOT,O,O,O,O,O,X,O,O,O
ILZSOTJ,O,O,O,O,X,X,O,O,O
ILZSOJT,X,O,O,O,O,X,O,O,O
ILZOTJS,O,X,X,X,O,O,O,O,O
ILZOTSJ,O,X,X,X,O,O,O,O,O
ILZOJTS,O,X,X,X,O,X,O,O,O
ILZOJST,O,X,X,X,O,X,O,O,O
ILZOSTJ,O,X,X,X,X,X,O,O,O
ILZOSJT,X,X,X,X,O,X,O,O,O
ILOTJSZ,O,X,X,O,O,O,O,O,X
ILOTJZS,O,X,X,O,O,O,O,O,O
ILOTSJZ,O,X,X,O,O,O,X,X,X
ILOTSZJ,O,X,X,O,O,O,X,X,X
ILOTZJS,O,X,X,O,O,O,O,O,O
ILOTZSJ,O,X,X,O,O,O,O,O,O
ILOJTSZ,O,X,X,O,O,O,O,O,X
ILOJTZS,O,X,X,O,O,O,O,O,O
ILOJSTZ,X,X,X,O,X,X,X,O,O
ILOJSZT,O,X,X,O,X,X,X,O,O
ILOJZTS,O,X,X,X,O,X,O,O,O
ILOJZST,O,X,X,X,O,X,O,O,O
ILOSTJZ,X,X,X,O,O,O,X,X,O
ILOSTZJ,X,X,X,O,O,O,X,X,O
ILOSJTZ,X,X,X,O,X,X,X,O,O
ILOSJZT,X,X,X,O,X,X,X,O,O
ILOSZTJ,X,X,X,O,X,X,X,O,O
ILOSZJT,X,X,X,O,O,X,X,O,O
ILOZTJS,O,X,X,X,O,O,O,O,O
ILOZTSJ,O,X,X,X,O,O,O,O,O
ILOZJTS,O,X,X,X,O,X,O,O,O
ILOZJST,O,X,X,X,O,X,O,O,O
ILOZSTJ,O,X,X,X,X,X,O,O,O
ILOZSJT,X,X,X,X,O,X,O,O,O
IJTLSZO,O,X,X,O,X,X,O,O,X
IJTLSOZ,O,X,X,O,X,X,O,X,X
IJTLZSO,O,X,X,O,X,X,O,O,X
IJTLZOS,O,X,X,O,X,X,O,O,X
IJTLOSZ,O,X,X,O,X,X,O,O,X
IJTLOZS,O,X,X,O,X,X,O,O,X
IJTSLZO,O,O,O,O,X,X,O,O,X
IJTSLOZ,O,O,O,O,X,X,O,X,X
IJTSZLO,O,O,O,O,X,X,O,O,X
IJTSZOL,O,O,O,O,X,X,O,O,X
IJTSOLZ,O,O,O,O,X,X,O,O,X
IJTSOZL,O,O,O,O,X,X,O,O,X
IJTZLSO,O,O,O,O,X,X,O,O,X
IJTZLOS,O,O,O,O,X,X,O,O,X
IJTZSLO,O,O,O,O,X,X,O,O,X
IJTZSOL,O,O,O,O,X,X,O,O,X
IJTZOLS,O,O,O,O,X,X,O,O,X
IJTZOSL,O,O,O,O,X,X,O,O,X
IJTOLSZ,O,X,X,O,X,X,O,O,X
IJTOLZS,O,X,X,O,X,X,O,O,X
IJTOSLZ,O,O,O,O,X,X,O,O,X
IJTOSZL,O,O,O,O,X,X,O,O,X
IJTOZLS,O,O,O,O,X,X,O,O,X
IJTOZSL,O,O,O,O,X,X,O,O,X
IJLTSZO,O,X,X,O,X,X,O,O,O
IJLTSOZ,O,X,X,O,X,X,O,X,O
IJLTZSO,O,X,X,O,X,X,O,O,O
IJLTZOS,O,X,X,O,X,X,O,O,O
IJLTOSZ,O,X,X,O,X,X,O,O,X
IJLTOZS,O,X,X,O,X,X,O,O,O
IJLSTZO,O,X,O,O,X,X,X,O,O
IJLSTOZ,O,X,X,O,X,X,X,X,O
IJLSZTO,O,X,O,O,X,X,X,O,O
IJLSZOT,O,X,O,O,X,X,X,O,O
IJLSOTZ,X,X,X,O,X,X,X,X,O
IJLSOZT,O,X,O,O,X,X,X,X,O
IJLZTSO,O,X,O,O,X,X,O,O,O
IJLZTOS,O,X,O,O,X,X,O,O,O
IJLZSTO,O,X,O,O,X,X,O,O,O
IJLZSOT,O,X,O,O,X,X,O,O,O
IJLZOTS,O,X,X,X,X,X,O,O,O
IJLZOST,O,X,X,X,X,X,O,O,O
IJLOTSZ,O,X,X,O,X,X,O,O,X
IJLOTZS,O,X,X,O,X,X,O,O,O
IJLOSTZ,X,X,X,O,X,X,X,O,O
IJLOSZT,O,X,X,O,X,X,X,O,O
IJLOZTS,O,X,X,X,X,X,O,O,O
IJLOZST,O,X,X,X,X,X,O,O,O
IJSTLZO,O,O,O,O,X,X,O,O,O
IJSTLOZ,O,O,O,O,X,X,O,X,O
IJSTZLO,O,O,O,O,X,X,O,O,O
IJSTZOL,O,O,O,O,X,X,O,O,O
IJSTOLZ,O,O,O,O,X,X,O,O,O
IJSTOZL,O,O,O,O,X,X,O,O,O
IJSLTZO,O,O,O,O,X,X,X,O,O
IJSLTOZ,O,O,O,O,X,X,X,X,O
IJSLZTO,O,O,O,O,X,X,X,O,O
IJSLZOT,O,O,O,O,X,X,X,O,O
