sequence,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhF/hBUdBGeBC?gBllBTsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhFTcB/iBGeBC?gBllBUsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jel6IvhFRcBGeBXgB8?lBCnBTsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhF/hBGeBCgBT?iBllBUsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Je6/IvhF0bBlcBGeB/?lBxrBTsB
TSIJLOZ,O,O,X,X,O
TSIJZLO,O,O,O,X,O
TSIJZOL,O,O,O,X,O
TSIJOLZ,O,O,X,X,O
TSIJOZL,O,O,X,X,O
TSIZLJO,O,O,O,X,O
TSIZLOJ,O,O,O,X,O
TSIZJLO,O,O,O,X,O
TSIZJOL,O,O,O,X,O
TSIZOLJ,O,O,O,X,O
TSIZOJL,O,O,O,X,O
TSIOLJZ,O,O,X,X,O
TSIOLZJ,O,O,X,X,O
TSIOJLZ,O,O,X,X,O
TSIOJZL,O,O,X,X,O
TSIOZLJ,O,O,X,X,O
TSIOZJL,O,O,X,X,O
TSLIJZO,O,O,O,X,O
TSLIJOZ,O,O,X,X,O
TSLIZJO,O,O,O,X,O
TSLIZOJ,O,O,O,X,O
TSLIOJZ,O,O,X,X,O
TSLIOZJ,O,O,X,X,O
TSLJIZO,O,O,O,X,O
TSLJIOZ,O,O,X,X,O
TSLJZIO,O,O,O,X,O
TSLJZOI,O,O,O,X,O
TSLJOIZ,O,O,X,X,X
TSLJOZI,O,O,O,X,X
TSLZIJO,O,O,O,X,O
TSLZIOJ,O,O,O,X,O
TSLZJIO,O,O,O,X,O
TSLZJOI,O,O,O,X,O
TSLZOIJ,O,O,O,X,O
TSLZOJI,O,O,O,X,O
TSLOIJZ,O,O,X,X,X
TSLOIZJ,O,O,X,X,X
TSLOJIZ,O,O,X,O,X
TSLOJZI,O,O,O,O,X
TSLOZIJ,O,O,O,X,X
TSLOZJI,O,O,O,X,X
TSJILZO,O,O,O,X,O
TSJILOZ,O,O,X,X,O
TSJIZLO,O,O,O,X,O
TSJIZOL,O,O,O,X,O
TSJIOLZ,O,O,X,X,O
TSJIOZL,O,O,X,X,O
TSJLIZO,O,O,O,X,O
TSJLIOZ,O,O,X,X,O
TSJLZIO,O,O,O,X,O
TSJLZOI,O,O,O,X,O
TSJLOIZ,O,O,X,X,X
TSJLOZI,O,O,O,X,X
TSJZILO,O,O,O,X,O
TSJZIOL,O,O,O,X,O
TSJZLIO,O,O,O,X,O
TSJZLOI,O,O,O,X,O
TSJZOIL,O,O,O,X,X
TSJZOLI,O,O,O,X,O
TSJOILZ,O,O,X,X,X
TSJOIZL,O,O,X,X,X
TSJOLIZ,O,O,X,X,X
TSJOLZI,O,O,O,X,X
TSJOZIL,O,O,O,X,X
TSJOZLI,O,O,O,X,X
TSZILJO,O,O,O,X,O
TSZILOJ,O,O,O,X,O
TSZIJLO,O,O,O,X,O
TSZIJOL,O,O,O,X,O
TSZIOLJ,O,O,O,X,O
TSZIOJL,O,O,O,X,O
TSZLIJO,O,O,O,X,O
TSZLIOJ,O,O,O,X,O
TSZLJIO,O,O,O,X,O
TSZLJOI,O,O,O,X,O
TSZLOIJ,O,O,O,X,O
TSZLOJI,O,O,O,X,O
TSZJILO,O,O,O,X,O
TSZJIOL,O,O,O,X,O
TSZJLIO,O,O,O,X,O
TSZJLOI,O,O,O,X,O
TSZJOIL,O,O,O,X,X
TSZJOLI,O,O,O,X,O
TSZOILJ,O,O,O,X,O
TSZOIJL,O,O,O,X,O
TSZOLIJ,O,O,O,X,O
TSZOLJI,O,O,O,X,O
TSZOJIL,O,O,O,X,X
TSZOJLI,O,O,O,X,O
TSOILJZ,O,O,X,O,X
TSOILZJ,O,O,X,O,X
TSOIJLZ,O,O,X,O,X
TSOIJZL,O,O,X,X,X
TSOIZLJ,O,O,X,X,X
TSOIZJL,O,O,X,X,X
TSOLIJZ,O,O,X,O,X
TSOLIZJ,O,O,X,O,X
TSOLJIZ,O,O,X,O,X
TSOLJZI,O,O,O,O,X
TSOLZIJ,O,O,O,O,X
TSOLZJI,O,O,O,O,X
TSOJILZ,O,O,X,O,X
TSOJIZL,O,O,X,X,X
TSOJLIZ,O,O,X,O,X
TSOJLZI,O,O,O,O,X
TSOJZIL,O,O,O,X,X
TSOJZLI,O,O,O,O,X
TSOZILJ,O,O,O,X,X
TSOZIJL,O,O,O,X,X
TSOZLIJ,O,O,O,O,X
TSOZLJI,O,O,O,O,X
TSOZJIL,O,O,O,X,X
TSOZJLI,O,O,O,O,X
TZILJSO,O,O,O,X,X
TZILJOS,O,O,O,X,X
TZILSJO,O,O,O,X,X
TZILSOJ,O,O,O,X,X
TZILOJS,O,O,O,X,X
TZILOSJ,O,O,X,X,X
TZIJLSO,O,O,O,X,X
TZIJLOS,O,O,O,X,X
TZIJSLO,O,O,O,X,X
TZIJSOL,O,O,O,X,X
TZIJOLS,O,X,O,X,X
TZIJOSL,O,O,O,X,X
TZISLJO,O,O,O,X,X
TZISLOJ,X,O,O,X,X
TZISJLO,O,O,O,X,X
TZISJOL,O,O,O,X,X
TZISOLJ,O,O,O,X,X
TZISOJL,O,O,O,X,X
TZIOLJS,O,O,O,X,X
TZIOLSJ,O,O,O,X,X
TZIOJLS,O,X,O,X,X
TZIOJSL,O,O,O,X,X
TZIOSLJ,O,O,O,X,X
TZIOSJL,O,O,O,X,X
TZLIJSO,O,O,O,X,X
TZLIJOS,O,O,O,X,X
TZLISJO,O,O,O,X,X
TZLISOJ,O,O,O,X,X
TZLIOJS,O,O,O,X,X
TZLIOSJ,O,O,X,X,X
TZLJISO,O,O,O,X,X
TZLJIOS,O,O,O,X,X
TZLJSIO,O,O,O,X,X
TZLJSOI,O,O,O,X,X
TZLJOIS,O,O,O,X,X
TZLJOSI,O,O,O,X,X
TZLSIJO,O,O,O,X,X
TZLSIOJ,O,O,O,X,X
TZLSJIO,O,O,O,X,X
TZLSJOI,O,O,O,X,X
TZLSOIJ,O,O,O,X,X
TZLSOJI,O,O,O,X,X
TZLOIJS,O,O,O,X,X
TZLOISJ,O,O,O,X,X
TZLOJIS,O,O,O,X,X
TZLOJSI,O,O,O,X,X
TZLOSIJ,O,O,O,X,X
TZLOSJI,O,O,O,X,X
TZJILSO,O,O,O,X,X
TZJILOS,O,O,O,X,X
TZJISLO,O,O,O,X,X
TZJISOL,O,O,O,X,X
TZJIOLS,O,X,O,X,X
TZJIOSL,O,O,O,X,X
TZJLISO,O,O,O,X,X
TZJLIOS,O,O,O,X,X
TZJLSIO,O,O,O,X,X
TZJLSOI,O,O,O,X,X
TZJLOIS,O,O,O,X,X
TZJLOSI,O,O,O,X,X
TZJSILO,O,O,O,X,X
TZJSIOL,O,O,O,X,X
TZJSLIO,O,O,O,X,X
TZJSLOI,O,O,O,X,X
TZJSOIL,O,O,O,X,X
TZJSOLI,O,O,O,X,X
TZJOILS,O,X,O,X,X
TZJOISL,O,O,O,X,X
TZJOLIS,O,O,O,X,X
TZJOLSI,O,O,O,X,X
TZJOSIL,O,O,O,X,X
TZJOSLI,O,O,O,X,X
TZSILJO,O,O,O,X,X
TZSILOJ,O,O,O,X,X
TZSIJLO,O,O,O,X,X
TZSIJOL,O,O,O,X,X
TZSIOLJ,O,O,O,X,X
TZSIOJL,O,O,O,X,X
TZSLIJO,O,O,O,X,X
TZSLIOJ,O,O,O,X,X
TZSLJIO,O,O,O,X,X
TZSLJOI,O,O,O,X,X
TZSLOIJ,O,O,O,X,X
TZSLOJI,O,O,O,X,X
TZSJILO,O,O,O,X,X
TZSJIOL,O,O,O,X,X
TZSJLIO,O,O,O,X,X
TZSJLOI,O,O,O,X,X
TZSJOIL,O,O,O,X,X
TZSJOLI,O,O,O,X,X
TZSOILJ,O,O,O,X,X
TZSOIJL,O,O,O,X,X
TZSOLIJ,O,O,O,X,X
TZSOLJI,O,O,O,X,X
TZSOJIL,O,O,O,X,X
TZSOJLI,O,O,O,X,X
TZOILJS,O,O,O,X,X
TZOILSJ,O,O,O,X,X
TZOIJLS,O,X,O,X,X
TZOIJSL,O,O,O,X,X
TZOISLJ,O,O,O,X,X
TZOISJL,O,O,O,X,X
TZOLIJS,O,O,O,X,X
TZOLISJ,O,O,O,X,X
TZOLJIS,O,O,O,X,X
TZOLJSI,O,O,O,X,X
TZOLSIJ,O,O,O,X,X
TZOLSJI,O,O,O,X,X
TZOJILS,O,X,O,X,X
TZOJISL,O,O,O,X,X
TZOJLIS,O,O,O,X,X
TZOJLSI,O,O,O,X,X
TZOJSIL,O,O,O,X,X
TZOJSLI,O,O,O,X,X
TZOSILJ,O,O,O,X,X
TZOSIJL,O,O,O,X,X
TZOSLIJ,O,O,O,X,X
TZOSLJI,O,O,O,X,X
TZOSJIL,O,O,O,X,X
TZOSJLI,O,O,O,X,X
TOILJSZ,O,X,X,O,X
TOILJZS,O,O,X,O,X
TOILSJZ,O,X,X,O,X
TOILSZJ,O,O,X,O,X
TOILZJS,O,O,X,O,X
TOILZSJ,O,O,X,O,X
