sequence,v115@6gC8IeB8GeC8AeA8CeH8AeE8Je2/IvhFRbBzcBUhB3?iBClBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jex6IvhFOhB8hB6kBT?gB3iBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbB8hBmgB3?iBClBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbB2iB8kBF?hBfrBCsB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeaBJvhFzcBxfB3iBG?lBcrBlpB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jem7IvhFzcBxfB3iB6?kBllBcrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbByhB8kBW?mB3iBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFFcB2iBClBx?mB/lBcrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jex7IvhF8hBmfBzgB3?iB6kBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhF8kBliBRmBC?mB3mBmqB
TSOIJZL,O,O,O,O,X,X,X,X,O,X
TSOIZLJ,O,O,O,O,X,O,X,X,O,X
TSOIZJL,O,O,O,O,X,O,X,X,O,X
TSOLIJZ,O,O,O,O,X,X,O,X,X,X
TSOLIZJ,X,O,O,O,X,X,O,X,X,X
TSOLJIZ,O,O,O,O,X,X,O,X,X,X
TSOLJZI,O,O,O,O,X,X,O,X,O,X
TSOLZIJ,O,O,O,O,X,X,O,X,O,X
TSOLZJI,O,O,O,O,X,X,O,X,O,X
TSOJILZ,O,X,X,X,X,X,O,X,X,X
TSOJIZL,O,O,O,O,X,X,O,X,O,X
TSOJLIZ,O,O,O,X,X,X,O,X,X,X
TSOJLZI,O,O,O,X,X,X,O,X,O,X
TSOJZIL,O,O,O,O,X,X,O,X,O,X
TSOJZLI,O,O,O,O,X,X,O,X,O,X
TSOZILJ,O,O,O,O,O,O,O,X,O,X
TSOZIJL,O,O,O,O,X,O,O,X,O,X
TSOZLIJ,O,O,O,O,O,O,O,X,O,X
TSOZLJI,O,O,O,O,O,O,O,X,O,X
TSOZJIL,O,O,O,O,O,O,O,X,O,X
TSOZJLI,O,O,O,O,O,O,O,X,O,X
TZILJSO,O,O,O,X,X,O,O,X,X,X
TZILJOS,O,O,O,O,X,X,O,X,X,O
TZILSJO,O,O,O,X,X,O,X,X,X,X
TZILSOJ,O,X,O,X,O,O,X,X,X,O
TZILOJS,O,O,O,O,X,X,O,X,X,O
TZILOSJ,O,O,O,X,X,X,X,X,X,O
TZIJLSO,O,O,O,X,X,O,O,X,X,X
TZIJLOS,O,O,O,X,X,X,O,X,X,O
TZIJSLO,O,X,O,X,X,O,O,X,X,X
TZIJSOL,O,X,O,X,X,O,O,X,X,X
TZIJOLS,O,O,O,O,X,X,O,X,X,O
TZIJOSL,O,O,O,O,X,O,O,X,X,X
TZISLJO,O,X,O,X,X,O,O,X,X,X
TZISLOJ,O,X,O,X,O,O,O,X,X,O
TZISJLO,O,X,O,X,X,O,O,X,X,X
TZISJOL,O,X,O,X,X,O,O,X,X,X
TZISOLJ,O,X,O,X,O,O,O,X,X,O
TZISOJL,O,X,O,X,X,O,O,X,X,X
TZIOLJS,O,O,O,O,X,X,O,X,X,O
TZIOLSJ,O,O,O,X,X,X,X,X,X,O
TZIOJLS,O,O,O,O,X,X,O,X,X,O
TZIOJSL,O,O,O,O,X,O,O,X,X,X
TZIOSLJ,O,X,O,X,X,O,O,X,X,O
TZIOSJL,O,O,O,X,X,O,O,X,X,X
TZLIJSO,O,O,O,X,X,O,O,X,X,X
TZLIJOS,O,O,O,O,X,X,O,X,X,O
TZLISJO,O,O,O,X,X,O,X,X,X,X
TZLISOJ,O,O,O,X,O,O,X,X,X,O
TZLIOJS,O,O,O,O,X,X,O,X,X,O
TZLIOSJ,O,O,O,X,X,X,X,X,X,O
TZLJISO,O,O,O,X,O,O,O,X,X,X
TZLJIOS,O,O,O,O,X,X,O,X,X,X
TZLJSIO,O,O,O,O,O,O,O,X,X,X
TZLJSOI,O,O,O,O,O,O,O,X,X,X
TZLJOIS,O,O,O,O,X,X,O,X,X,X
TZLJOSI,O,O,O,O,X,X,O,X,X,X
TZLSIJO,O,O,O,O,X,O,O,X,X,X
TZLSIOJ,O,O,O,O,O,O,O,X,X,X
TZLSJIO,O,O,O,O,O,O,O,X,X,X
TZLSJOI,O,O,O,O,O,O,O,X,X,X
TZLSOIJ,O,O,O,O,O,O,O,X,X,X
TZLSOJI,O,O,O,O,O,O,O,X,X,X
TZLOIJS,O,O,O,O,X,X,O,X,X,O
TZLOISJ,O,O,O,X,X,X,X,X,X,O
TZLOJIS,O,O,O,O,X,X,O,X,X,X
TZLOJSI,O,O,O,O,X,X,O,X,X,X
TZLOSIJ,O,O,O,O,X,X,O,X,X,X
TZLOSJI,O,O,O,O,X,X,O,X,X,X
TZJILSO,O,O,O,X,O,O,O,X,X,X
TZJILOS,O,O,O,X,X,X,O,X,X,O
TZJISLO,O,X,O,X,O,O,O,X,X,X
TZJISOL,O,X,O,X,O,O,O,X,X,X
TZJIOLS,O,O,O,O,X,X,O,X,X,O
TZJIOSL,O,O,O,O,X,O,O,X,X,X
TZJLISO,O,O,O,X,O,O,O,X,X,X
TZJLIOS,O,O,O,O,X,X,O,X,X,X
TZJLSIO,O,O,O,O,O,O,O,X,X,X
TZJLSOI,O,O,O,O,O,O,O,X,X,X
TZJLOIS,O,O,O,O,X,X,O,X,X,X
TZJLOSI,O,O,O,O,X,X,O,X,X,X
TZJSILO,O,X,O,O,O,O,O,X,X,X
TZJSIOL,O,X,O,O,O,O,O,X,O,X
TZJSLIO,O,O,O,O,O,O,O,X,X,X
TZJSLOI,O,O,O,O,O,O,O,X,O,X
TZJSOIL,O,O,O,O,O,O,O,X,O,X
TZJSOLI,O,O,O,O,O,O,O,X,O,X
TZJOILS,O,O,O,O,X,X,O,X,X,O
TZJOISL,O,O,O,O,X,O,O,X,X,X
TZJOLIS,O,O,O,O,X,X,O,X,X,X
TZJOLSI,O,O,O,O,X,X,O,X,X,X
TZJOSIL,O,O,O,O,X,O,O,X,O,X
TZJOSLI,O,O,O,O,X,O,O,X,O,X
TZSILJO,O,O,O,O,X,O,O,X,X,X
TZSILOJ,O,O,O,O,O,O,O,X,X,O
TZSIJLO,O,O,O,O,X,O,O,X,X,X
TZSIJOL,O,O,O,O,X,O,O,X,O,X
TZSIOLJ,O,O,O,O,O,O,O,X,O,O
TZSIOJL,O,O,O,O,X,O,O,X,O,X
TZSLIJO,O,O,O,O,X,O,O,X,X,X
TZSLIOJ,O,O,O,O,O,O,O,X,X,X
TZSLJIO,O,O,O,O,O,O,O,X,X,X
TZSLJOI,O,O,O,O,O,O,O,X,O,X
TZSLOIJ,O,O,O,O,O,O,O,X,O,X
TZSLOJI,O,O,O,O,O,O,O,X,O,X
TZSJILO,O,O,O,O,O,O,O,X,X,X
TZSJIOL,O,O,O,O,O,O,O,X,O,X
TZSJLIO,O,O,O,O,O,O,O,X,X,X
TZSJLOI,O,O,O,O,O,O,O,X,O,X
TZSJOIL,O,O,O,O,O,O,O,X,O,X
TZSJOLI,O,O,O,O,O,O,O,X,O,X
TZSOILJ,O,O,O,O,O,O,O,X,O,O
TZSOIJL,O,O,O,O,X,O,O,X,O,X
TZSOLIJ,O,O,O,O,O,O,O,X,O,X
TZSOLJI,O,O,O,O,O,O,O,X,O,X
TZSOJIL,O,O,O,O,O,O,O,X,O,X
TZSOJLI,O,O,O,O,O,O,O,X,O,X
TZOILJS,O,O,O,O,X,X,O,X,X,O
TZOILSJ,O,O,O,X,X,X,X,X,X,O
TZOIJLS,O,O,O,O,X,X,O,X,X,O
TZOIJSL,O,O,O,O,X,O,O,X,X,X
TZOISLJ,O,O,O,X,X,O,O,X,X,O
TZOISJL,O,O,O,X,X,O,O,X,X,X
TZOLIJS,O,O,O,O,X,X,O,X,X,O
TZOLISJ,O,O,O,X,X,X,X,X,X,O
TZOLJIS,O,O,O,O,X,X,O,X,X,X
TZOLJSI,O,O,O,O,X,X,O,X,X,X
TZOLSIJ,O,O,O,O,X,X,O,X,X,X
TZOLSJI,O,O,O,O,X,X,O,X,X,X
TZOJILS,O,O,O,O,X,X,O,X,X,O
TZOJISL,O,O,O,O,X,O,O,X,X,X
TZOJLIS,O,O,O,O,X,X,O,X,X,X
TZOJLSI,O,O,O,O,X,X,O,X,X,X
TZOJSIL,O,O,O,O,X,O,O,X,O,X
TZOJSLI,O,O,O,O,X,O,O,X,O,X
TZOSILJ,O,O,O,O,X,O,O,X,O,O
TZOSIJL,O,O,O,O,X,O,O,X,O,X
TZOSLIJ,O,O,O,O,X,O,O,X,O,X
TZOSLJI,O,O,O,O,X,O,O,X,O,X
TZOSJIL,O,O,O,O,X,O,O,X,O,X
TZOSJLI,O,O,O,O,X,O,O,X,O,X
TOILJSZ,X,O,O,X,X,X,X,O,X,X
TOILJZS,X,O,O,X,X,X,X,O,X,X
TOILSJZ,X,O,O,X,X,X,X,O,X,X
TOILSZJ,X,O,O,X,X,X,X,O,X,X
TOILZJS,X,O,O,X,X,X,X,O,X,X
TOILZSJ,X,O,O,X,X,X,X,O,X,X
TOIJLSZ,X,X,X,X,X,X,X,O,X,X
TOIJLZS,X,X,X,X,X,X,X,O,X,X
TOIJSLZ,X,X,X,X,X,X,X,X,X,X
TOIJSZL,X,O,O,X,X,X,X,X,O,X
TOIJZLS,X,O,O,X,X,X,X,X,X,X
TOIJZSL,X,O,O,X,X,X,X,X,X,X
TOISLJZ,X,O,O,X,X,X,X,X,X,X
TOISLZJ,X,O,O,X,X,X,X,X,X,X
TOISJLZ,X,X,X,X,X,X,X,X,X,X
TOISJZL,X,O,O,X,X,X,X,X,O,X
TOISZLJ,X,O,O,X,X,O,X,X,O,X
TOISZJL,X,O,O,X,X,O,X,X,O,X
TOIZLJS,X,O,O,X,X,X,X,X,X,O
TOIZLSJ,X,O,O,X,X,X,X,X,X,O
TOIZJLS,X,O,O,X,X,X,X,X,X,O
TOIZJSL,X,O,O,X,X,O,X,X,X,X
TOIZSLJ,X,O,O,X,X,O,X,X,X,O
TOIZSJL,X,O,O,X,X,O,X,X,X,X
TOLIJSZ,X,O,O,X,X,X,X,O,X,X
TOLIJZS,X,O,O,X,X,X,X,O,X,X
TOLISJZ,X,O,O,X,X,X,X,O,X,X
TOLISZJ,X,O,O,X,X,X,X,O,X,X
TOLIZJS,X,O,O,X,X,X,X,O,X,X
TOLIZSJ,X,O,O,X,X,X,X,O,X,X
TOLJISZ,O,O,O,X,X,X,X,O,X,X
TOLJIZS,O,O,O,X,X,X,X,O,X,X
TOLJSIZ,O,O,O,X,X,X,X,X,X,X
TOLJSZI,O,O,O,X,X,X,X,X,O,X
TOLJZIS,O,O,O,X,X,X,X,X,X,X
TOLJZSI,O,O,O,X,X,X,X,X,X,X
TOLSIJZ,O,O,O,X,X,X,X,X,X,X
TOLSIZJ,X,O,O,X,X,X,X,X,X,X
TOLSJIZ,O,O,O,X,X,X,X,X,X,X
TOLSJZI,O,O,O,X,X,X,X,X,O,X
TOLSZIJ,O,O,O,X,X,X,X,X,O,X
TOLSZJI,O,O,O,X,X,X,X,X,O,X
TOLZIJS,O,O,O,X,X,X,X,X,X,X
TOLZISJ,O,O,O,X,X,X,X,X,X,X
TOLZJIS,O,O,O,X,X,X,X,X,X,X
TOLZJSI,O,O,O,X,X,X,X,X,X,X
TOLZSIJ,O,O,O,X,X,X,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X,X,X,X
TOJILSZ,O,X,X,X,X,X,X,O,X,X
TOJILZS,O,X,X,X,X,X,O,O,X,X
TOJISLZ,O,X,X,X,X,X,X,X,X,X
TOJISZL,O,O,O,X,X,X,X,X,O,X
TOJIZLS,O,O,O,X,X,X,O,X,X,X
TOJIZSL,O,O,O,X,X,X,O,X,X,X
TOJLISZ,O,O,O,X,X,X,X,O,X,X
TOJLIZS,O,O,O,X,X,X,O,O,X,X
TOJLSIZ,O,O,O,X,X,X,X,X,X,X
TOJLSZI,O,O,O,X,X,X,X,X,O,X
TOJLZIS,O,O,O,X,X,X,O,X,X,X
TOJLZSI,O,O,O,X,X,X,O,X,X,X
TOJSILZ,O,X,X,X,X,X,O,X,X,X
TOJSIZL,O,O,O,X,X,X,O,X,O,X
TOJSLIZ,O,O,O,X,X,X,O,X,X,X
TOJSLZI,O,O,O,X,X,X,O,X,O,X
TOJSZIL,O,O,O,X,X,X,O,X,O,X
TOJSZLI,O,O,O,X,X,X,O,X,O,X
TOJZILS,O,O,O,X,X,X,O,X,X,X
TOJZISL,O,O,O,X,X,X,O,X,X,X
TOJZLIS,O,O,O,X,X,X,O,X,X,X
TOJZLSI,X,O,O,X,X,X,O,X,X,X
TOJZSIL,O,O,O,X,X,X,O,X,O,X
TOJZSLI,O,O,O,X,X,X,O,X,O,X
TOSILJZ,O,O,O,X,X,X,X,X,X,X
TOSILZJ,X,O,O,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,X,X,X,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X,X,O,X
TOSIZLJ,O,O,O,X,X,O,X,X,O,X
TOSIZJL,O,O,O,X,X,O,X,X,O,X
TOSLIJZ,O,O,O,X,X,X,O,X,X,X
TOSLIZJ,X,O,O,X,X,X,O,X,X,X
TOSLJIZ,O,O,O,X,X,X,O,X,X,X
TOSLJZI,O,O,O,X,X,X,O,X,O,X
TOSLZIJ,O,O,O,X,X,X,O,X,O,X
TOSLZJI,O,O,O,X,X,X,O,X,O,X
TOSJILZ,O,X,X,X,X,X,O,X,X,X
TOSJIZL,O,O,O,X,X,X,O,X,O,X
TOSJLIZ,O,O,O,X,X,X,O,X,X,X
TOSJLZI,O,O,O,X,X,X,O,X,O,X
TOSJZIL,O,O,O,X,X,X,O,X,O,X
TOSJZLI,O,O,O,X,X,X,O,X,O,X
TOSZILJ,O,O,O,X,X,X,O,X,O,X
TOSZIJL,O,O,O,X,X,X,O,X,O,X
TOSZLIJ,O,O,O,X,X,X,O,X,O,X
TOSZLJI,O,O,O,X,X,X,O,X,O,X
TOSZJIL,O,O,O,X,X,X,O,X,O,X
TOSZJLI,O,O,O,X,X,X,O,X,O,X
TOZILJS,O,O,O,X,X,X,O,X,X,O
TOZILSJ,O,O,O,X,X,X,X,X,X,O
TOZIJLS,O,O,O,X,X,X,O,X,X,O
TOZIJSL,O,O,O,X,X,X,O,X,X,X
TOZISLJ,O,O,O,X,X,X,O,X,X,O
TOZISJL,O,O,O,X,X,X,O,X,X,X
TOZLIJS,O,O,O,X,X,X,O,X,X,O
TOZLISJ,O,O,O,X,X,X,X,X,X,O
TOZLJIS,O,O,O,X,X,X,O,X,X,X
TOZLJSI,O,O,O,X,X,X,O,X,X,X
TOZLSIJ,O,O,O,X,X,X,O,X,X,X
TOZLSJI,O,O,O,X,X,X,O,X,X,X
TOZJILS,O,O,O,X,X,X,O,X,X,O
TOZJISL,O,O,O,X,X,X,O,X,X,X
TOZJLIS,O,O,O,X,X,X,O,X,X,X
TOZJLSI,O,O,O,X,X,X,O,X,X,X
TOZJSIL,O,O,O,X,X,X,O,X,O,X
TOZJSLI,O,O,O,X,X,X,O,X,O,X
TOZSILJ,O,O,O,X,X,X,O,X,O,O
TOZSIJL,O,O,O,X,X,X,O,X,O,X
TOZSLIJ,O,O,O,X,X,X,O,X,O,X
TOZSLJI,O,O,O,X,X,X,O,X,O,X
TOZSJIL,O,O,O,X,X,X,O,X,O,X
TOZSJLI,O,O,O,X,X,X,O,X,O,X
ITLJSZO,O,O,O,X,X,X,X,O,X,X
ITLJSOZ,O,O,O,X,X,X,X,O,X,X
ITLJZSO,O,O,O,X,X,X,X,O,X,X
ITLJZOS,O,O,O,X,X,X,X,O,X,X
ITLJOSZ,O,O,O,X,X,X,X,O,X,X
ITLJOZS,O,O,O,X,X,X,X,O,X,X
ITLSJZO,O,O,O,X,X,X,X,O,X,X
ITLSJOZ,O,O,O,X,X,X,X,O,X,X
ITLSZJO,O,O,O,X,X,O,X,O,X,X
ITLSZOJ,O,O,O,X,X,O,X,O,X,X
ITLSOJZ,O,O,O,X,X,X,X,O,X,X
ITLSOZJ,X,O,O,X,X,X,X,O,X,X
ITLZJSO,O,O,O,X,X,O,X,O,X,X
ITLZJOS,O,O,O,X,X,X,X,O,X,O
ITLZSJO,O,O,O,X,X,O,X,O,X,X
ITLZSOJ,O,O,O,X,X,O,X,O,X,O
ITLZOJS,O,O,O,X,X,X,X,O,X,O
ITLZOSJ,O,O,O,X,X,X,X,O,X,O
ITLOJSZ,X,O,O,X,X,X,X,O,X,X
ITLOJZS,X,O,O,X,X,X,X,O,X,X
ITLOSJZ,X,O,O,X,X,X,X,O,X,X
ITLOSZJ,X,O,O,X,X,X,X,O,X,X
ITLOZJS,X,O,O,X,X,X,X,O,X,X
ITLOZSJ,X,O,O,X,X,X,X,O,X,X
ITJLSZO,O,X,O,X,X,X,O,O,X,X
ITJLSOZ,O,X,O,X,X,X,X,O,X,X
ITJLZSO,O,X,O,X,X,X,O,O,X,X
ITJLZOS,O,X,O,X,X,X,O,O,X,X
ITJLOSZ,O,X,O,X,X,X,X,O,X,X
ITJLOZS,O,X,O,X,X,X,O,O,X,X
ITJSLZO,O,X,O,X,X,X,O,X,X,X
ITJSLOZ,O,X,O,X,X,X,O,X,X,X
ITJSZLO,O,X,O,X,O,O,O,X,X,X
ITJSZOL,O,X,O,X,O,O,O,X,O,X
ITJSOLZ,O,X,X,X,X,O,O,X,X,X
ITJSOZL,O,X,O,X,X,X,O,X,O,X
ITJZLSO,O,X,O,X,O,O,O,X,X,X
ITJZLOS,O,X,O,X,X,X,O,X,X,O
ITJZSLO,O,X,O,X,O,O,O,X,X,X
ITJZSOL,O,X,O,X,O,O,O,X,X,X
ITJZOLS,O,X,O,X,X,X,O,X,X,O
ITJZOSL,O,X,O,X,X,O,O,X,X,X
ITJOLSZ,O,X,X,X,X,X,X,O,X,X
ITJOLZS,O,X,X,X,X,X,O,O,X,X
ITJOSLZ,O,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,O,X,X,X,X,X,O,X
ITJOZLS,O,X,O,X,X,X,O,X,X,X
ITJOZSL,O,X,O,X,X,X,O,X,X,X
ITSLJZO,O,O,O,X,X,X,O,X,X,X
ITSLJOZ,O,O,O,X,X,X,O,X,X,X
ITSLZJO,O,O,O,X,X,O,O,X,X,X
ITSLZOJ,O,O,O,X,X,O,O,X,X,X
ITSLOJZ,O,O,O,X,X,X,O,X,X,X
ITSLOZJ,X,O,O,X,X,X,O,X,X,X
ITSJLZO,O,X,O,X,X,X,O,X,X,X
ITSJLOZ,O,X,O,X,X,X,O,X,X,X
ITSJZLO,O,X,O,X,O,O,O,X,X,X
ITSJZOL,O,X,O,X,O,O,O,X,O,X
ITSJOLZ,O,X,X,X,X,O,O,X,X,X
ITSJOZL,O,X,O,X,X,X,O,X,O,X
ITSZLJO,O,O,O,X,X,O,O,X,X,X
ITSZLOJ,O,O,O,X,O,O,O,X,X,O
ITSZJLO,O,O,O,X,X,O,O,X,X,X
ITSZJOL,O,O,O,X,X,O,O,X,O,X
ITSZOLJ,O,O,O,X,O,O,O,X,O,O
ITSZOJL,O,O,O,X,X,O,O,X,O,X
ITSOLJZ,O,O,O,X,X,X,X,X,X,X
ITSOLZJ,X,O,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,O,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X,X,O,X
ITSOZLJ,O,O,O,X,X,O,X,X,O,X
ITSOZJL,O,O,O,X,X,O,X,X,O,X
ITZLJSO,O,O,O,X,X,O,O,X,X,X
ITZLJOS,O,O,O,X,X,X,O,X,X,O
ITZLSJO,O,O,O,X,X,O,X,X,X,X
ITZLSOJ,O,X,O,X,O,O,X,X,X,O
ITZLOJS,O,O,O,X,X,X,O,X,X,O
ITZLOSJ,O,O,O,X,X,X,X,X,X,O
ITZJLSO,O,O,O,X,X,O,O,X,X,X
ITZJLOS,O,O,O,X,X,X,O,X,X,O
ITZJSLO,O,X,O,X,X,O,O,X,X,X
ITZJSOL,O,X,O,X,X,O,O,X,X,X
ITZJOLS,O,O,O,X,X,X,O,X,X,O
ITZJOSL,O,O,O,X,X,O,O,X,X,X
ITZSLJO,O,X,O,X,X,O,O,X,X,X
ITZSLOJ,O,X,O,X,O,O,O,X,X,O
ITZSJLO,O,X,O,X,X,O,O,X,X,X
ITZSJOL,O,X,O,X,X,O,O,X,X,X
ITZSOLJ,O,X,O,X,O,O,O,X,X,O
ITZSOJL,O,X,O,X,X,O,O,X,X,X
ITZOLJS,O,O,O,X,X,X,O,X,X,O
ITZOLSJ,O,O,O,X,X,X,X,X,X,O
ITZOJLS,O,O,O,X,X,X,O,X,X,O
ITZOJSL,O,O,O,X,X,O,O,X,X,X
ITZOSLJ,O,X,O,X,X,O,O,X,X,O
ITZOSJL,O,O,O,X,X,O,O,X,X,X
ITOLJSZ,X,O,O,X,X,X,X,O,X,X
ITOLJZS,X,O,O,X,X,X,X,O,X,X
ITOLSJZ,X,O,O,X,X,X,X,O,X,X
ITOLSZJ,X,O,O,X,X,X,X,O,X,X
ITOLZJS,X,O,O,X,X,X,X,O,X,X
ITOLZSJ,X,O,O,X,X,X,X,O,X,X
ITOJLSZ,X,X,X,X,X,X,X,O,X,X
ITOJLZS,X,X,X,X,X,X,X,O,X,X
ITOJSLZ,X,X,X,X,X,X,X,X,X,X
ITOJSZL,X,O,O,X,X,X,X,X,O,X
ITOJZLS,X,O,O,X,X,X,X,X,X,X
ITOJZSL,X,O,O,X,X,X,X,X,X,X
ITOSLJZ,X,O,O,X,X,X,X,X,X,X
ITOSLZJ,X,O,O,X,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,O,X,X,X,X,X,O,X
ITOSZLJ,X,O,O,X,X,O,X,X,O,X
ITOSZJL,X,O,O,X,X,O,X,X,O,X
ITOZLJS,X,O,O,X,X,X,X,X,X,O
ITOZLSJ,X,O,O,X,X,X,X,X,X,O
ITOZJLS,X,O,O,X,X,X,X,X,X,O
ITOZJSL,X,O,O,X,X,O,X,X,X,X
ITOZSLJ,X,O,O,X,X,O,X,X,X,O
ITOZSJL,X,O,O,X,X,O,X,X,X,X
ILTJSZO,O,O,O,X,X,X,X,O,X,X
ILTJSOZ,O,O,O,X,X,X,X,O,X,X
ILTJZSO,O,O,O,X,X,X,X,O,X,X
ILTJZOS,O,O,O,X,X,X,X,O,X,X
ILTJOSZ,O,O,O,X,X,X,X,O,X,X
ILTJOZS,O,O,O,X,X,X,X,O,X,X
ILTSJZO,O,O,O,X,X,X,X,O,X,X
ILTSJOZ,O,O,O,X,X,X,X,O,X,X
ILTSZJO,O,O,O,X,X,O,X,O,X,X
ILTSZOJ,O,O,O,X,X,O,X,O,X,X
ILTSOJZ,O,O,O,X,X,X,X,O,X,X
ILTSOZJ,X,O,O,X,X,X,X,O,X,X
ILTZJSO,O,O,O,X,X,O,X,O,X,X
ILTZJOS,O,O,O,X,X,X,X,O,X,X
ILTZSJO,O,O,O,X,X,O,X,O,X,X
ILTZSOJ,O,O,O,X,X,O,X,O,X,X
ILTZOJS,O,O,O,X,X,X,X,O,X,X
ILTZOSJ,O,O,O,X,X,X,X,O,X,X
ILTOJSZ,X,O,O,X,X,X,X,O,X,X
ILTOJZS,X,O,O,X,X,X,X,O,X,X
ILTOSJZ,X,O,O,X,X,X,X,O,X,X
ILTOSZJ,X,O,O,X,X,X,X,O,X,X
ILTOZJS,X,O,O,X,X,X,X,O,X,X
ILTOZSJ,X,O,O,X,X,X,X,O,X,X
ILJTSZO,O,O,X,X,X,X,X,O,X,X
ILJTSOZ,O,O,X,X,X,X,X,O,X,X
ILJTZSO,O,O,X,X,X,X,X,O,X,X
ILJTZOS,O,O,X,X,X,X,X,O,X,X
ILJTOSZ,O,O,X,X,X,X,X,O,X,X
ILJTOZS,O,O,X,X,X,X,X,O,X,X
ILJSTZO,O,O,X,O,X,X,X,O,X,X
ILJSTOZ,O,O,X,O,X,X,X,O,X,X
ILJSZTO,O,O,O,O,O,X,X,O,X,X
ILJSZOT,O,O,O,O,O,X,X,O,X,X
ILJSOTZ,O,O,X,X,X,O,X,O,X,X
ILJSOZT,O,O,O,X,X,O,X,O,X,X
ILJZTSO,O,X,X,X,O,X,X,O,X,X
ILJZTOS,O,X,X,O,X,X,X,O,X,X
ILJZSTO,O,X,X,O,O,X,X,O,X,X
ILJZSOT,O,X,X,O,O,O,X,O,X,X
ILJZOTS,O,X,X,O,X,X,X,O,X,X
ILJZOST,O,X,X,O,O,X,X,O,X,X
ILJOTSZ,O,O,X,X,X,X,X,O,X,X
ILJOTZS,O,O,X,X,X,X,X,O,X,X
ILJOSTZ,O,O,X,X,X,X,X,O,X,X
ILJOSZT,O,O,O,X,X,X,X,O,X,X
ILJOZTS,O,X,X,X,X,X,X,O,X,X
ILJOZST,O,X,X,X,X,X,X,O,X,X
ILSTJZO,O,O,O,O,X,X,X,O,X,X
ILSTJOZ,O,O,O,O,X,X,X,O,X,X
ILSTZJO,O,O,O,O,X,O,X,O,X,X
ILSTZOJ,O,O,O,O,X,O,X,O,X,X
ILSTOJZ,O,O,O,O,X,X,X,O,X,X
ILSTOZJ,X,O,O,O,X,X,X,O,X,X
ILSJTZO,O,O,X,O,X,X,X,O,X,X
ILSJTOZ,O,O,X,O,X,X,X,O,X,X
ILSJZTO,O,O,O,O,O,X,X,O,X,X
ILSJZOT,O,O,O,O,O,X,X,O,X,X
ILSJOTZ,O,O,X,X,X,O,X,O,X,X
ILSJOZT,O,O,O,X,X,O,X,O,X,X
ILSZTJO,O,O,O,O,X,X,X,O,X,X
ILSZTOJ,O,O,O,O,O,X,X,O,X,X
ILSZJTO,O,O,O,O,X,X,X,O,X,X
ILSZJOT,O,O,O,O,O,O,X,O,X,X
ILSZOTJ,O,O,O,O,O,X,X,O,X,X
ILSZOJT,O,O,O,O,O,O,X,O,X,X
ILSOTJZ,X,O,O,X,X,X,X,O,X,X
ILSOTZJ,X,O,O,X,X,X,X,O,X,X
ILSOJTZ,O,O,X,X,X,O,X,O,X,X
ILSOJZT,O,O,O,X,X,O,X,O,X,X
ILSOZTJ,X,O,O,X,X,X,X,O,X,X
ILSOZJT,X,O,O,X,X,X,X,O,X,X
ILZTJSO,O,O,X,X,X,X,X,O,X,X
ILZTJOS,O,O,X,O,X,X,X,O,X,X
ILZTSJO,O,O,X,X,X,X,X,O,X,X
ILZTSOJ,O,O,X,X,O,X,X,O,X,X
ILZTOJS,O,O,X,O,X,X,X,O,X,X
ILZTOSJ,X,O,X,X,X,X,X,O,X,X
ILZJTSO,O,X,X,X,X,X,X,O,X,X
ILZJTOS,O,X,X,O,X,X,X,O,X,X
ILZJSTO,O,X,X,O,X,X,X,O,X,X
ILZJSOT,O,X,X,O,O,O,X,O,X,X
ILZJOTS,O,X,X,O,X,X,X,O,X,X
ILZJOST,O,X,X,O,X,X,X,O,X,X
ILZSTJO,O,O,X,O,X,X,X,O,X,X
ILZSTOJ,O,O,X,O,O,X,X,O,X,X
ILZSJTO,O,O,X,O,X,X,X,O,X,X
ILZSJOT,O,O,X,O,O,O,X,O,X,X
ILZSOTJ,O,O,X,O,O,X,X,O,X,X
ILZSOJT,O,O,X,O,O,O,X,O,X,X
ILZOTJS,O,O,X,O,X,X,X,O,X,X
ILZOTSJ,X,O,X,X,X,X,X,O,X,X
ILZOJTS,O,X,X,O,X,X,X,O,X,X
ILZOJST,O,X,X,O,X,X,X,O,X,X
ILZOSTJ,O,O,X,O,O,X,X,O,X,X
ILZOSJT,O,O,X,O,O,X,X,O,X,X
