sequence,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFNgBGcB5jB8lBKp?BfqB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFdgBqgBTcB5jBcp?BXqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFugBchB5jB3fBNq?BTpB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jB2kBtlBip?B0pB,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFGcB5jB8lBikB3p?BNqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFcgBTcB5jB9kB3l?B2uB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFCcB5jBXhBUlBTp?BdqB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jBtlBmpBKp?B0pB,v115@5gC8GeC8FeD8EeE8DeG8Je//IvhFTcB5jB0gBKpBdq?BGqB
TZIOJSL,X,X,O,X,X,X,X,X,X
TZIOSLJ,X,X,O,X,X,X,X,X,X
TZIOSJL,X,X,O,X,X,X,X,X,X
TZLIJSO,O,O,O,O,X,X,X,X,X
TZLIJOS,X,O,O,O,X,X,X,X,X
TZLISJO,O,O,O,O,X,X,X,X,X
TZLISOJ,O,O,O,O,X,X,X,X,X
TZLIOJS,X,O,O,O,X,X,X,X,X
TZLIOSJ,X,O,O,O,X,X,X,X,X
TZLJISO,O,O,O,O,X,X,X,X,X
TZLJIOS,X,O,O,O,X,X,X,X,X
TZLJSIO,O,O,O,O,X,X,X,X,X
TZLJSOI,O,O,O,O,X,X,X,X,X
TZLJOIS,X,O,O,O,X,X,X,X,X
TZLJOSI,X,O,O,O,X,X,X,X,X
TZLSIJO,O,O,O,O,X,X,X,X,X
TZLSIOJ,O,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,O,X,X,X,X,X
TZLSJOI,O,O,O,O,X,X,X,X,X
TZLSOIJ,O,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,O,X,X,X,X,X
TZLOIJS,X,O,O,O,X,X,X,X,X
TZLOISJ,X,O,O,O,X,X,X,X,X
TZLOJIS,X,O,O,O,X,X,X,X,X
TZLOJSI,X,O,O,O,X,X,X,X,X
TZLOSIJ,X,O,O,O,X,X,X,X,X
TZLOSJI,X,O,O,O,X,X,X,X,X
TZJILSO,O,O,O,X,X,X,X,O,X
TZJILOS,X,O,O,X,X,X,X,O,X
TZJISLO,X,O,O,X,O,X,X,X,X
TZJISOL,X,X,O,X,X,X,X,X,X
TZJIOLS,X,O,O,X,X,X,X,O,X
TZJIOSL,X,X,O,X,X,X,X,X,X
TZJLISO,O,O,O,X,X,X,X,X,X
TZJLIOS,X,O,O,X,X,X,X,X,X
TZJLSIO,O,O,O,X,X,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X,X,X
TZJLOIS,X,O,O,X,X,X,X,X,X
TZJLOSI,X,O,O,X,X,X,X,X,X
TZJSILO,X,O,O,X,O,X,X,X,X
TZJSIOL,X,X,O,X,X,X,X,X,X
TZJSLIO,X,O,O,X,O,X,X,X,X
TZJSLOI,X,O,O,X,X,X,X,X,X
TZJSOIL,X,X,O,X,X,X,X,X,X
TZJSOLI,X,X,O,X,X,X,X,X,X
TZJOILS,X,O,O,X,X,X,X,O,X
TZJOISL,X,X,O,X,X,X,X,X,X
TZJOLIS,X,O,O,X,X,X,X,X,X
TZJOLSI,X,O,O,X,X,X,X,X,X
TZJOSIL,X,X,O,X,X,X,X,X,X
TZJOSLI,X,X,O,X,X,X,X,X,X
TZSILJO,X,O,O,X,O,X,X,X,X
TZSILOJ,X,O,O,X,O,X,X,X,X
TZSIJLO,X,O,O,X,O,X,X,X,X
TZSIJOL,X,X,O,X,X,X,X,X,X
TZSIOLJ,X,X,O,X,X,X,X,X,X
TZSIOJL,X,X,O,X,X,X,X,X,X
TZSLIJO,X,O,O,X,O,X,X,X,X
TZSLIOJ,X,O,O,X,O,X,X,X,X
TZSLJIO,X,O,O,X,O,X,X,X,X
TZSLJOI,X,O,O,X,X,X,X,X,X
TZSLOIJ,X,O,O,X,O,X,X,X,X
TZSLOJI,X,O,O,X,X,X,X,X,X
TZSJILO,X,O,O,X,O,X,X,X,X
TZSJIOL,X,X,O,X,X,X,X,X,X
TZSJLIO,X,O,O,X,O,X,X,X,X
TZSJLOI,X,O,O,X,X,X,X,X,X
TZSJOIL,X,X,O,X,X,X,X,X,X
TZSJOLI,X,X,O,X,X,X,X,X,X
TZSOILJ,X,X,O,X,X,X,X,X,X
TZSOIJL,X,X,O,X,X,X,X,X,X
TZSOLIJ,X,X,O,X,X,X,X,X,X
TZSOLJI,X,X,O,X,X,X,X,X,X
TZSOJIL,X,X,O,X,X,X,X,X,X
TZSOJLI,X,X,O,X,X,X,X,X,X
TZOILJS,X,O,O,O,X,X,X,X,X
TZOILSJ,X,O,O,O,X,X,X,X,X
TZOIJLS,X,O,O,X,X,X,X,O,X
TZOIJSL,X,X,O,X,X,X,X,X,X
TZOISLJ,X,X,O,X,X,X,X,X,X
TZOISJL,X,X,O,X,X,X,X,X,X
TZOLIJS,X,O,O,O,X,X,X,X,X
TZOLISJ,X,O,O,O,X,X,X,X,X
TZOLJIS,X,O,O,O,X,X,X,X,X
TZOLJSI,X,O,O,O,X,X,X,X,X
TZOLSIJ,X,O,O,O,X,X,X,X,X
TZOLSJI,X,O,O,O,X,X,X,X,X
TZOJILS,X,O,O,X,X,X,X,O,X
TZOJISL,X,X,O,X,X,X,X,X,X
TZOJLIS,X,O,O,X,X,X,X,X,X
TZOJLSI,X,O,O,X,X,X,X,X,X
TZOJSIL,X,X,O,X,X,X,X,X,X
TZOJSLI,X,X,O,X,X,X,X,X,X
TZOSILJ,X,X,O,X,X,X,X,X,X
TZOSIJL,X,X,O,X,X,X,X,X,X
TZOSLIJ,X,X,O,X,X,X,X,X,X
TZOSLJI,X,X,O,X,X,X,X,X,X
TZOSJIL,X,X,O,X,X,X,X,X,X
TZOSJLI,X,X,O,X,X,X,X,X,X
TOILJSZ,X,X,X,O,X,X,X,O,X
TOILJZS,X,X,X,O,X,X,X,O,X
TOILSJZ,X,X,O,O,X,X,X,X,X
TOILSZJ,X,O,O,O,X,X,X,X,X
TOILZJS,X,O,O,O,X,X,X,X,X
TOILZSJ,X,O,O,O,X,X,X,X,X
TOIJLSZ,X,X,X,O,X,O,X,O,X
TOIJLZS,X,X,X,O,X,X,X,O,X
TOIJSLZ,X,X,O,X,X,O,X,O,X
TOIJSZL,X,X,O,X,X,O,O,X,X
TOIJZLS,X,X,O,X,X,X,X,O,X
TOIJZSL,X,X,O,X,X,O,O,X,X
TOISLJZ,X,X,O,O,X,X,X,X,X
TOISLZJ,X,O,O,O,X,X,X,X,X
TOISJLZ,X,X,O,X,X,O,X,O,X
TOISJZL,X,X,O,X,X,O,O,X,X
TOISZLJ,X,O,O,X,X,X,X,X,X
TOISZJL,X,X,O,X,X,O,O,X,X
TOIZLJS,X,O,O,O,X,X,X,X,X
TOIZLSJ,X,O,O,O,X,X,X,X,X
TOIZJLS,X,X,O,X,X,X,X,O,X
TOIZJSL,X,X,O,X,X,X,O,X,X
TOIZSLJ,X,X,O,X,X,X,X,X,X
TOIZSJL,X,X,O,X,X,X,O,X,X
TOLIJSZ,X,X,X,O,X,X,X,O,X
TOLIJZS,X,X,X,O,X,X,X,O,X
TOLISJZ,X,X,O,O,X,X,X,X,X
TOLISZJ,X,O,O,O,X,X,X,X,X
TOLIZJS,X,O,O,O,X,X,X,X,X
TOLIZSJ,X,O,O,O,X,X,X,X,X
TOLJISZ,X,X,X,O,X,X,X,O,X
TOLJIZS,X,X,X,O,X,X,X,O,X
TOLJSIZ,X,X,X,O,X,X,X,X,X
TOLJSZI,X,X,X,O,X,X,X,X,X
TOLJZIS,X,X,X,O,X,X,X,X,X
TOLJZSI,X,X,X,O,X,X,X,X,X
TOLSIJZ,X,X,O,O,X,X,X,X,X
TOLSIZJ,X,O,O,O,X,X,X,X,X
TOLSJIZ,X,X,O,O,X,X,X,X,X
TOLSJZI,X,X,O,O,X,X,X,X,X
TOLSZIJ,X,O,O,O,X,X,X,X,X
TOLSZJI,X,O,O,O,X,X,X,X,X
TOLZIJS,X,O,O,O,X,X,X,X,X
TOLZISJ,X,O,O,O,X,X,X,X,X
TOLZJIS,X,O,O,O,X,X,X,X,X
TOLZJSI,X,O,O,O,X,X,X,X,X
TOLZSIJ,X,O,O,O,X,X,X,X,X
TOLZSJI,X,O,O,O,X,X,X,X,X
TOJILSZ,X,X,X,O,X,O,X,O,X
TOJILZS,X,X,X,O,X,X,X,O,X
TOJISLZ,X,X,O,X,X,O,X,O,X
TOJISZL,X,X,O,X,X,O,O,X,X
TOJIZLS,X,X,O,X,X,X,X,O,X
TOJIZSL,X,X,O,X,X,O,O,X,X
TOJLISZ,X,X,X,O,X,O,X,O,X
TOJLIZS,X,X,X,O,X,X,X,O,X
TOJLSIZ,X,X,X,O,X,O,X,X,X
TOJLSZI,X,X,X,O,X,O,X,X,X
TOJLZIS,X,X,X,O,X,X,X,X,X
TOJLZSI,X,X,X,O,X,X,X,X,X
TOJSILZ,X,X,O,X,X,O,X,O,X
TOJSIZL,X,X,O,X,X,O,O,X,X
TOJSLIZ,X,X,O,X,X,O,X,X,X
TOJSLZI,X,X,O,X,X,O,X,X,X
TOJSZIL,X,X,O,X,X,O,O,X,X
TOJSZLI,X,X,O,X,X,O,X,X,X
TOJZILS,X,X,O,X,X,X,X,O,X
TOJZISL,X,X,O,X,X,O,O,X,X
TOJZLIS,X,X,O,X,X,X,X,X,X
TOJZLSI,X,X,O,X,X,X,X,X,X
TOJZSIL,X,X,O,X,X,O,O,X,X
TOJZSLI,X,X,O,X,X,O,X,X,X
TOSILJZ,X,X,O,O,X,X,X,X,X
TOSILZJ,X,O,O,O,X,X,X,X,X
TOSIJLZ,X,X,O,X,X,O,X,O,X
TOSIJZL,X,X,O,X,X,O,O,X,X
TOSIZLJ,X,O,O,X,X,X,X,X,X
TOSIZJL,X,X,O,X,X,O,O,X,X
TOSLIJZ,X,X,O,O,X,X,X,X,X
TOSLIZJ,X,O,O,O,X,X,X,X,X
TOSLJIZ,X,X,O,O,X,X,X,X,X
TOSLJZI,X,X,O,O,X,X,X,X,X
TOSLZIJ,X,O,O,O,X,X,X,X,X
TOSLZJI,X,O,O,O,X,X,X,X,X
TOSJILZ,X,X,O,X,X,O,X,O,X
TOSJIZL,X,X,O,X,X,O,O,X,X
TOSJLIZ,X,X,O,X,X,O,X,X,X
TOSJLZI,X,X,O,X,X,O,X,X,X
TOSJZIL,X,X,O,X,X,O,O,X,X
TOSJZLI,X,X,O,X,X,O,X,X,X
TOSZILJ,X,O,O,X,X,X,X,X,X
TOSZIJL,X,X,O,X,X,O,O,X,X
TOSZLIJ,X,O,O,X,X,X,X,X,X
TOSZLJI,X,O,O,X,X,X,X,X,X
TOSZJIL,X,X,O,X,X,O,O,X,X
TOSZJLI,X,X,O,X,X,O,X,X,X
TOZILJS,X,O,O,O,X,X,X,X,X
TOZILSJ,X,O,O,O,X,X,X,X,X
TOZIJLS,X,X,O,X,X,X,X,O,X
TOZIJSL,X,X,O,X,X,X,O,X,X
TOZISLJ,X,X,O,X,X,X,X,X,X
TOZISJL,X,X,O,X,X,X,O,X,X
TOZLIJS,X,O,O,O,X,X,X,X,X
TOZLISJ,X,O,O,O,X,X,X,X,X
TOZLJIS,X,O,O,O,X,X,X,X,X
TOZLJSI,X,O,O,O,X,X,X,X,X
TOZLSIJ,X,O,O,O,X,X,X,X,X
TOZLSJI,X,O,O,O,X,X,X,X,X
TOZJILS,X,X,O,X,X,X,X,O,X
TOZJISL,X,X,O,X,X,X,O,X,X
TOZJLIS,X,X,O,X,X,X,X,X,X
TOZJLSI,X,X,O,X,X,X,X,X,X
TOZJSIL,X,X,O,X,X,X,O,X,X
TOZJSLI,X,X,O,X,X,X,X,X,X
TOZSILJ,X,X,O,X,X,X,X,X,X
TOZSIJL,X,X,O,X,X,X,O,X,X
TOZSLIJ,X,X,O,X,X,X,X,X,X
TOZSLJI,X,X,O,X,X,X,X,X,X
TOZSJIL,X,X,O,X,X,X,O,X,X
TOZSJLI,X,X,O,X,X,X,X,X,X
ITLJSZO,O,X,X,O,X,X,X,O,O
ITLJSOZ,X,X,X,O,X,X,X,O,X
ITLJZSO,O,X,X,O,X,X,X,O,O
ITLJZOS,X,X,X,O,X,X,X,O,O
ITLJOSZ,X,X,X,O,X,X,X,O,X
ITLJOZS,X,X,X,O,X,X,X,O,X
ITLSJZO,O,X,O,O,X,X,X,X,O
ITLSJOZ,O,X,X,O,X,X,X,X,X
ITLSZJO,O,O,O,O,X,X,X,X,O
ITLSZOJ,O,O,O,O,X,X,X,X,O
ITLSOJZ,O,X,X,O,X,X,X,X,X
ITLSOZJ,O,O,O,O,X,X,X,X,O
ITLZJSO,O,O,O,O,X,X,X,X,O
ITLZJOS,X,O,O,O,X,X,X,X,O
ITLZSJO,O,O,O,O,X,X,X,X,O
ITLZSOJ,O,O,O,O,X,X,X,X,O
ITLZOJS,X,O,O,O,X,X,X,X,O
ITLZOSJ,X,O,O,O,X,X,X,X,O
ITLOJSZ,X,X,X,O,X,X,X,O,X
ITLOJZS,X,X,X,O,X,X,X,O,X
ITLOSJZ,O,X,O,O,X,X,X,X,X
ITLOSZJ,O,O,O,O,X,X,X,X,O
ITLOZJS,X,O,O,O,X,X,X,X,O
ITLOZSJ,X,O,O,O,X,X,X,X,O
ITJLSZO,O,X,X,O,X,O,X,O,X
ITJLSOZ,X,X,X,O,X,O,X,O,X
ITJLZSO,O,X,X,O,X,X,X,O,X
ITJLZOS,X,X,X,O,X,X,X,O,X
ITJLOSZ,X,X,X,O,X,O,X,O,X
ITJLOZS,X,X,X,O,X,X,X,O,X
ITJSLZO,X,X,O,X,X,O,X,O,X
ITJSLOZ,X,X,X,X,X,O,X,O,X
ITJSZLO,X,X,O,X,O,O,X,X,X
ITJSZOL,X,X,O,X,X,O,X,X,X
ITJSOLZ,X,X,X,X,X,O,X,O,X
ITJSOZL,X,X,X,X,X,O,X,X,X
ITJZLSO,O,X,O,X,X,X,X,O,X
ITJZLOS,X,X,O,X,X,X,X,O,X
ITJZSLO,X,X,O,X,O,O,X,X,X
ITJZSOL,X,X,O,X,X,O,X,X,X
ITJZOLS,X,X,O,X,X,X,X,O,X
ITJZOSL,X,X,O,X,X,O,X,X,X
ITJOLSZ,X,X,X,O,X,O,X,O,X
ITJOLZS,X,X,X,O,X,X,X,O,X
ITJOSLZ,X,X,O,X,X,O,X,O,X
ITJOSZL,X,X,O,X,X,O,X,X,X
ITJOZLS,X,X,O,X,X,X,X,O,X
ITJOZSL,X,X,O,X,X,O,X,X,X
ITSLJZO,X,X,O,O,X,X,X,X,X
ITSLJOZ,X,X,X,O,X,X,X,X,X
ITSLZJO,X,O,O,O,O,X,X,X,X
ITSLZOJ,X,O,O,O,O,X,X,X,X
ITSLOJZ,X,X,X,O,X,X,X,X,X
ITSLOZJ,X,O,O,O,O,X,X,X,X
ITSJLZO,X,X,O,X,X,O,X,O,X
ITSJLOZ,X,X,X,X,X,O,X,O,X
ITSJZLO,X,X,O,X,O,O,X,X,X
ITSJZOL,X,X,O,X,X,O,X,X,X
ITSJOLZ,X,X,X,X,X,O,X,O,X
ITSJOZL,X,X,X,X,X,O,X,X,X
ITSZLJO,X,O,O,X,O,X,X,X,X
ITSZLOJ,X,O,O,X,O,X,X,X,X
ITSZJLO,X,O,O,X,O,O,X,X,X
ITSZJOL,X,O,O,X,X,O,X,X,X
ITSZOLJ,X,O,O,X,X,X,X,X,X
ITSZOJL,X,O,O,X,X,O,X,X,X
ITSOLJZ,X,X,O,O,X,X,X,X,X
ITSOLZJ,X,O,O,O,X,X,X,X,X
ITSOJLZ,X,X,O,X,X,O,X,O,X
ITSOJZL,X,X,O,X,X,O,O,X,X
ITSOZLJ,X,O,O,X,X,X,X,X,X
ITSOZJL,X,X,O,X,X,O,O,X,X
ITZLJSO,O,O,O,O,X,X,X,X,X
ITZLJOS,X,O,O,O,X,X,X,X,X
ITZLSJO,O,O,O,O,X,X,X,X,X
ITZLSOJ,O,O,O,O,X,X,X,X,X
ITZLOJS,X,O,O,O,X,X,X,X,X
ITZLOSJ,X,O,O,O,X,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X,O,X
ITZJLOS,X,O,O,X,X,X,X,O,X
ITZJSLO,X,O,O,X,O,X,X,X,X
ITZJSOL,X,X,O,X,X,X,X,X,X
ITZJOLS,X,O,O,X,X,X,X,O,X
ITZJOSL,X,X,O,X,X,X,X,X,X
ITZSLJO,X,O,O,X,O,X,X,X,X
ITZSLOJ,X,O,O,X,O,X,X,X,X
ITZSJLO,X,O,O,X,O,X,X,X,X
ITZSJOL,X,X,O,X,X,X,X,X,X
ITZSOLJ,X,X,O,X,X,X,X,X,X
ITZSOJL,X,X,O,X,X,X,X,X,X
ITZOLJS,X,O,O,O,X,X,X,X,X
ITZOLSJ,X,O,O,O,X,X,X,X,X
ITZOJLS,X,O,O,X,X,X,X,O,X
ITZOJSL,X,X,O,X,X,X,X,X,X
ITZOSLJ,X,X,O,X,X,X,X,X,X
ITZOSJL,X,X,O,X,X,X,X,X,X
ITOLJSZ,X,X,X,O,X,X,X,O,X
ITOLJZS,X,X,X,O,X,X,X,O,X
ITOLSJZ,X,X,O,O,X,X,X,X,X
ITOLSZJ,X,O,O,O,X,X,X,X,X
ITOLZJS,X,O,O,O,X,X,X,X,X
ITOLZSJ,X,O,O,O,X,X,X,X,X
ITOJLSZ,X,X,X,O,X,O,X,O,X
ITOJLZS,X,X,X,O,X,X,X,O,X
ITOJSLZ,X,X,O,X,X,O,X,O,X
ITOJSZL,X,X,O,X,X,O,O,X,X
ITOJZLS,X,X,O,X,X,X,X,O,X
ITOJZSL,X,X,O,X,X,O,O,X,X
ITOSLJZ,X,X,O,O,X,X,X,X,X
ITOSLZJ,X,O,O,O,X,X,X,X,X
ITOSJLZ,X,X,O,X,X,O,X,O,X
ITOSJZL,X,X,O,X,X,O,O,X,X
ITOSZLJ,X,O,O,X,X,X,X,X,X
ITOSZJL,X,X,O,X,X,O,O,X,X
ITOZLJS,X,O,O,O,X,X,X,X,X
ITOZLSJ,X,O,O,O,X,X,X,X,X
ITOZJLS,X,X,O,X,X,X,X,O,X
ITOZJSL,X,X,O,X,X,X,O,X,X
ITOZSLJ,X,X,O,X,X,X,X,X,X
ITOZSJL,X,X,O,X,X,X,O,X,X
ILTJSZO,O,X,X,O,X,X,X,O,O
ILTJSOZ,X,X,X,O,X,X,X,O,X
ILTJZSO,O,X,X,O,X,X,X,O,O
ILTJZOS,X,X,X,O,X,X,X,O,O
ILTJOSZ,X,X,X,O,X,X,X,O,X
ILTJOZS,X,X,X,O,X,X,X,O,X
ILTSJZO,O,X,O,O,X,X,X,X,O
ILTSJOZ,O,X,X,O,X,X,X,X,X
ILTSZJO,O,O,O,O,X,X,X,X,O
ILTSZOJ,O,O,O,O,X,X,X,X,O
ILTSOJZ,O,X,X,O,X,X,X,X,X
ILTSOZJ,O,O,O,O,X,X,X,X,O
ILTZJSO,O,O,O,O,X,X,X,X,O
ILTZJOS,X,O,O,O,X,X,X,X,O
ILTZSJO,O,O,O,O,X,X,X,X,O
ILTZSOJ,O,O,O,O,X,X,X,X,O
ILTZOJS,X,O,O,O,X,X,X,X,O
ILTZOSJ,X,O,O,O,X,X,X,X,O
ILTOJSZ,X,X,X,O,X,X,X,O,X
ILTOJZS,X,X,X,O,X,X,X,O,X
ILTOSJZ,O,X,O,O,X,X,X,X,X
ILTOSZJ,O,O,O,O,X,X,X,X,O
ILTOZJS,X,O,O,O,X,X,X,X,O
ILTOZSJ,X,O,O,O,X,X,X,X,O
ILJTSZO,O,X,X,O,X,O,X,O,O
ILJTSOZ,X,X,X,O,X,O,X,O,X
ILJTZSO,O,X,X,O,X,X,X,O,O
ILJTZOS,X,X,X,O,X,X,X,O,O
ILJTOSZ,X,X,X,O,X,O,X,O,X
ILJTOZS,X,X,X,O,X,X,X,O,X
ILJSTZO,O,X,X,O,X,O,X,X,O
ILJSTOZ,O,X,X,O,X,O,X,X,X
ILJSZTO,O,O,X,X,O,O,X,X,X
ILJSZOT,O,O,X,X,O,O,X,X,X
ILJSOTZ,O,X,X,X,X,O,X,X,X
ILJSOZT,O,O,X,X,X,O,X,X,X
ILJZTSO,O,O,X,O,X,X,X,X,X
ILJZTOS,X,O,X,O,X,X,X,X,X
ILJZSTO,O,X,X,X,O,X,X,X,X
ILJZSOT,O,X,X,X,O,X,X,X,X
ILJZOTS,X,O,X,X,X,X,X,X,X
ILJZOST,O,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,X,O,X,O,X,O,X
ILJOTZS,X,X,X,O,X,X,X,O,X
ILJOSTZ,O,X,X,X,X,O,X,X,X
ILJOSZT,O,O,X,X,X,O,X,X,X
ILJOZTS,X,O,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,X,X,X
ILSTJZO,O,X,X,O,X,X,X,X,O
ILSTJOZ,O,X,X,O,X,X,X,X,X
ILSTZJO,O,O,X,O,O,X,X,X,O
ILSTZOJ,O,O,X,O,O,X,X,X,O
ILSTOJZ,O,X,X,O,X,X,X,X,X
ILSTOZJ,O,O,X,O,O,X,X,X,O
ILSJTZO,O,X,X,O,X,O,X,X,O
ILSJTOZ,O,X,X,O,X,O,X,X,X
ILSJZTO,O,O,X,X,O,O,X,X,X
ILSJZOT,O,O,X,X,O,O,X,X,X
ILSJOTZ,O,X,X,X,X,O,X,X,X
ILSJOZT,O,O,X,X,O,O,X,X,X
ILSZTJO,O,O,X,X,O,X,X,X,O
ILSZTOJ,O,O,X,X,O,X,X,X,O
ILSZJTO,O,O,X,X,O,O,X,X,X
ILSZJOT,O,O,X,X,O,O,X,X,X
ILSZOTJ,O,O,X,X,O,X,X,X,X
ILSZOJT,O,O,X,X,O,O,X,X,X
ILSOTJZ,O,X,X,O,X,X,X,X,X
ILSOTZJ,O,O,X,O,O,X,X,X,O
ILSOJTZ,O,X,X,X,X,O,X,X,X
ILSOJZT,O,O,X,X,O,O,O,X,X
ILSOZTJ,O,O,X,X,O,X,X,X,X
ILSOZJT,O,O,X,X,O,O,O,X,X
ILZTJSO,O,O,O,O,X,X,X,X,O
ILZTJOS,X,O,O,O,X,X,X,X,O
ILZTSJO,O,O,O,O,X,X,X,X,O
ILZTSOJ,O,O,O,O,X,X,X,X,O
ILZTOJS,X,O,O,O,X,X,X,X,O
ILZTOSJ,X,O,O,O,X,X,X,X,O
ILZJTSO,O,O,O,O,X,X,X,X,X
ILZJTOS,X,O,O,O,X,X,X,X,X
ILZJSTO,O,X,X,X,O,X,X,X,X
ILZJSOT,O,X,X,X,O,X,X,X,X
ILZJOTS,X,O,X,X,X,X,X,X,X
ILZJOST,O,X,X,X,X,X,X,X,X
ILZSTJO,O,O,X,X,O,X,X,X,O
ILZSTOJ,O,O,X,X,O,X,X,X,O
ILZSJTO,O,O,X,X,O,X,X,X,X
ILZSJOT,O,O,X,X,O,X,X,X,X
ILZSOTJ,O,O,X,X,O,X,X,X,X
ILZSOJT,O,O,X,X,O,X,X,X,X
ILZOTJS,X,O,O,O,X,X,X,X,X
ILZOTSJ,X,O,O,O,X,X,X,X,X
ILZOJTS,X,O,X,X,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,X,X,X
ILZOSTJ,O,O,X,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X,X
ILOTJSZ,X,X,X,O,X,X,X,O,X
ILOTJZS,X,X,X,O,X,X,X,O,X
ILOTSJZ,O,X,O,O,X,X,X,X,X
ILOTSZJ,O,O,O,O,X,X,X,X,O
ILOTZJS,X,O,O,O,X,X,X,X,O
ILOTZSJ,X,O,O,O,X,X,X,X,O
ILOJTSZ,X,X,X,O,X,O,X,O,X
ILOJTZS,X,X,X,O,X,X,X,O,X
ILOJSTZ,O,X,X,X,X,O,X,X,X
ILOJSZT,O,O,X,X,X,O,O,X,X
ILOJZTS,X,O,X,X,X,X,X,X,X
ILOJZST,O,X,X,X,X,X,O,X,X
ILOSTJZ,O,X,X,O,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,X,X,O
ILOSJTZ,O,X,X,X,X,O,X,X,X
ILOSJZT,O,O,X,X,X,O,O,X,X
ILOSZTJ,O,O,X,X,X,X,X,X,X
ILOSZJT,O,O,X,X,X,O,O,X,X
ILOZTJS,X,O,O,O,X,X,X,X,X
ILOZTSJ,X,O,O,O,X,X,X,X,X
ILOZJTS,X,O,X,X,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,O,X,X
ILOZSTJ,O,O,X,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,O,X,X
IJTLSZO,O,X,X,O,X,O,X,O,X
IJTLSOZ,X,X,X,O,X,O,X,O,X
IJTLZSO,O,X,X,O,X,X,X,O,X
IJTLZOS,X,X,X,O,X,X,X,O,X
IJTLOSZ,X,X,X,O,X,O,X,O,X
IJTLOZS,X,X,X,O,X,X,X,O,X
IJTSLZO,X,X,O,X,X,O,X,O,X
IJTSLOZ,X,X,X,X,X,O,X,O,X
IJTSZLO,X,X,O,X,O,O,X,X,X
IJTSZOL,X,X,O,X,X,O,X,X,X
IJTSOLZ,X,X,X,X,X,O,X,O,X
IJTSOZL,X,X,X,X,X,O,X,X,X
IJTZLSO,O,X,O,X,X,X,X,O,X
IJTZLOS,X,X,O,X,X,X,X,O,X
IJTZSLO,X,X,O,X,O,O,X,X,X
IJTZSOL,X,X,O,X,X,O,X,X,X
IJTZOLS,X,X,O,X,X,X,X,O,X
IJTZOSL,X,X,O,X,X,O,X,X,X
IJTOLSZ,X,X,X,O,X,O,X,O,X
IJTOLZS,X,X,X,O,X,X,X,O,X
IJTOSLZ,X,X,O,X,X,O,X,O,X
IJTOSZL,X,X,O,X,X,O,X,X,X
IJTOZLS,X,X,O,X,X,X,X,O,X
IJTOZSL,X,X,O,X,X,O,X,X,X
IJLTSZO,O,X,X,O,X,O,X,O,O
IJLTSOZ,X,X,X,O,X,O,X,O,X
IJLTZSO,O,X,X,O,X,X,X,O,O
IJLTZOS,X,X,X,O,X,X,X,O,O
IJLTOSZ,X,X,X,O,X,O,X,O,X
IJLTOZS,X,X,X,O,X,X,X,O,X
IJLSTZO,O,X,X,O,X,O,X,X,O
IJLSTOZ,O,X,X,O,X,O,X,X,X
IJLSZTO,O,O,X,X,O,O,X,X,X
IJLSZOT,O,O,X,X,O,O,X,X,X
IJLSOTZ,O,X,X,X,X,O,X,X,X
IJLSOZT,O,O,X,X,X,O,X,X,X
IJLZTSO,O,O,X,O,X,X,X,X,X
IJLZTOS,X,O,X,O,X,X,X,X,X
IJLZSTO,O,X,X,X,O,X,X,X,X
IJLZSOT,O,X,X,X,O,X,X,X,X
IJLZOTS,X,O,X,X,X,X,X,X,X
IJLZOST,O,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,O,X,O,X,O,X
IJLOTZS,X,X,X,O,X,X,X,O,X
IJLOSTZ,O,X,X,X,X,O,X,X,X
IJLOSZT,O,O,X,X,X,O,X,X,X
IJLOZTS,X,O,X,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,X,X,X
IJSTLZO,X,X,X,X,X,O,X,O,X
IJSTLOZ,X,X,X,X,X,O,X,O,X
IJSTZLO,X,X,X,X,O,O,X,X,X
IJSTZOL,X,X,X,X,X,O,X,X,X
IJSTOLZ,X,X,X,X,X,O,X,O,X
IJSTOZL,X,X,X,X,X,O,X,X,X
IJSLTZO,O,X,X,X,X,O,X,X,X
IJSLTOZ,X,X,X,X,X,O,X,X,X
IJSLZTO,O,O,X,X,O,O,X,X,X
