sequence,v115@zgC8GeB8HeB8HeF8AeI8Ne37IvhFzcBGeBylBUjBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NeaBJvhFUdBGeBTgBfnBVt?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFehBzcBfjB6jBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NeU8IvhFFdBXeBTgBSoBmm?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Nez7IvhFUdBFeB2lBfnBSt?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFmcBCeBXhBTjBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Ne/CJvhFajBTgB0hB2xB5o?BFrB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFyhBzdB+jBXhBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Nez7IvhFxdB2lBUjBFnBfs?BSyB,v115@zgC8GeB8HeB8HeF8AeI8NeF8IvhFxdBTgBmmBftB6t?BUsB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFmcBzdBXhBFnB5o?ByxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFxcB+jBXhBFnBKt?BTsB
TSLZJIO,O,O,O,X,X,O,X,X,X,X,O,X
TSLZJOI,O,O,O,X,X,O,X,X,X,X,O,X
TSLZOIJ,O,O,X,X,X,X,X,X,X,X,O,X
TSLZOJI,O,O,O,X,X,X,X,X,X,X,O,X
TSLOIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,X,X,O,X
TSLOJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLOJZI,O,O,X,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X,X,X,O,X
TSLOZJI,O,O,O,X,X,X,X,X,X,X,O,X
TSJILZO,X,O,O,X,O,X,X,X,X,X,X,X
TSJILOZ,X,X,X,X,O,X,X,X,X,X,X,X
TSJIZLO,X,O,O,X,O,X,X,X,X,X,X,X
TSJIZOL,X,O,O,X,O,X,X,X,X,X,X,X
TSJIOLZ,X,O,X,X,O,X,X,X,X,X,X,X
TSJIOZL,X,O,X,X,O,X,X,X,X,X,X,X
TSJLIZO,X,O,X,X,X,X,X,X,X,X,X,X
TSJLIOZ,X,O,X,X,X,X,X,X,X,X,X,X
TSJLZIO,X,O,O,X,X,X,X,X,X,X,X,X
TSJLZOI,X,O,O,X,X,X,X,X,X,X,X,X
TSJLOIZ,X,O,X,X,X,X,X,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X,X,X,X,X
TSJZILO,X,O,O,X,O,X,X,X,O,X,X,X
TSJZIOL,X,O,O,X,O,X,X,X,O,X,X,X
TSJZLIO,X,O,O,X,X,X,X,X,O,X,X,X
TSJZLOI,X,O,O,X,O,X,X,X,O,X,X,X
TSJZOIL,X,O,O,X,O,X,X,X,O,X,X,X
TSJZOLI,X,O,O,X,O,X,X,X,O,X,X,X
TSJOILZ,X,O,X,X,O,X,X,X,X,X,X,X
TSJOIZL,X,O,X,X,O,X,X,X,X,X,X,X
TSJOLIZ,X,O,X,X,X,X,X,X,X,X,X,X
TSJOLZI,X,O,X,X,X,X,X,X,X,X,X,X
TSJOZIL,X,O,X,X,O,X,X,X,O,X,X,X
TSJOZLI,X,O,X,X,O,X,X,X,O,X,X,X
TSZILJO,X,O,O,X,O,O,X,O,X,X,O,X
TSZILOJ,X,O,O,X,O,X,X,X,X,X,O,X
TSZIJLO,X,O,O,X,O,O,X,O,X,X,O,X
TSZIJOL,X,O,O,X,O,O,X,O,X,X,O,X
TSZIOLJ,X,O,O,X,X,O,X,X,X,X,X,X
TSZIOJL,X,O,O,X,O,O,X,X,X,X,O,X
TSZLIJO,O,O,O,X,X,X,X,O,X,X,O,X
TSZLIOJ,O,O,O,X,X,X,X,X,X,X,O,X
TSZLJIO,O,O,O,X,X,O,X,X,X,X,O,X
TSZLJOI,O,O,O,X,O,O,X,X,X,X,O,X
TSZLOIJ,O,O,X,X,X,X,X,X,X,X,O,X
TSZLOJI,O,O,O,X,X,X,X,X,X,X,O,X
TSZJILO,X,O,O,X,O,O,X,X,O,X,O,X
TSZJIOL,X,O,O,X,O,O,X,X,O,X,O,X
TSZJLIO,O,O,O,X,X,O,X,X,O,X,O,X
TSZJLOI,O,O,O,X,O,O,X,X,O,X,O,X
TSZJOIL,X,O,O,X,O,X,X,X,O,X,O,X
TSZJOLI,O,O,O,X,O,X,X,X,O,X,X,X
TSZOILJ,X,O,O,X,X,X,X,X,X,X,X,X
TSZOIJL,X,O,O,X,X,X,X,X,X,X,O,X
TSZOLIJ,O,O,X,X,X,X,X,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X,X,X,X,X
TSZOJIL,X,O,O,X,O,X,X,X,X,X,O,X
TSZOJLI,O,O,O,X,O,X,X,X,X,X,X,X
TSOILJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOILZJ,O,O,O,X,X,X,X,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TSOIJZL,X,O,X,X,X,X,X,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,X,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X,X,X,O,X
TSOLIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOLJZI,O,O,X,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X,X,X,X,X
TSOJILZ,X,O,X,X,X,X,X,X,X,X,X,X
TSOJIZL,X,O,X,X,X,X,X,X,X,X,X,X
TSOJLIZ,X,O,X,X,X,X,X,X,X,X,X,X
TSOJLZI,X,O,X,X,X,X,X,X,X,X,X,X
TSOJZIL,X,O,X,X,X,X,X,X,X,X,X,X
TSOJZLI,X,O,X,X,X,X,X,X,X,X,X,X
TSOZILJ,X,O,O,X,X,X,X,X,X,X,X,X
TSOZIJL,X,O,O,X,X,X,X,X,X,X,O,X
TSOZLIJ,O,O,X,X,X,X,X,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X,X,X,X,X
TSOZJIL,X,O,O,X,X,X,X,X,X,X,O,X
TSOZJLI,O,O,O,X,X,X,X,X,X,X,X,X
TZILJSO,O,X,O,X,X,O,X,O,X,X,O,X
TZILJOS,O,X,O,X,X,O,X,O,X,X,O,X
TZILSJO,O,X,O,X,X,O,X,O,X,X,O,X
TZILSOJ,O,X,O,X,X,X,X,X,X,X,O,X
TZILOJS,O,X,X,X,X,O,X,O,X,X,O,X
TZILOSJ,O,X,X,X,X,O,X,X,X,X,O,X
TZIJLSO,O,X,O,X,X,O,X,O,O,X,O,X
TZIJLOS,O,X,O,X,X,O,X,O,O,X,O,X
TZIJSLO,O,X,O,X,X,O,X,O,O,X,O,X
TZIJSOL,O,X,O,X,X,O,X,O,O,X,O,X
TZIJOLS,O,X,O,X,X,O,X,O,O,X,O,X
TZIJOSL,O,X,O,X,X,O,X,O,O,X,O,X
TZISLJO,O,X,O,X,X,O,X,O,X,X,O,X
TZISLOJ,O,X,O,X,X,O,X,X,X,X,O,X
TZISJLO,O,X,O,X,X,O,X,O,X,X,O,X
TZISJOL,O,X,O,X,X,O,X,O,X,X,O,X
TZISOLJ,O,X,O,X,X,O,X,X,X,X,X,X
TZISOJL,O,X,O,X,X,O,X,X,X,X,O,X
TZIOLJS,O,X,X,X,X,O,X,O,X,X,O,X
TZIOLSJ,O,X,X,X,X,O,X,X,X,X,O,X
TZIOJLS,O,X,O,X,X,O,X,O,X,X,O,X
TZIOJSL,O,X,O,X,X,O,X,O,X,X,O,X
TZIOSLJ,O,X,O,X,X,O,X,X,X,X,X,X
TZIOSJL,O,X,O,X,X,O,X,X,X,X,O,X
TZLIJSO,O,O,O,X,X,O,X,O,X,X,O,X
TZLIJOS,O,X,O,X,X,O,X,O,X,X,O,X
TZLISJO,O,O,O,X,X,O,X,O,X,X,O,X
TZLISOJ,O,O,O,X,X,X,X,X,X,X,O,X
TZLIOJS,O,X,X,X,X,O,X,O,X,X,O,X
TZLIOSJ,O,X,X,X,X,O,X,X,X,X,O,X
TZLJISO,O,O,O,X,X,O,X,O,O,X,O,X
TZLJIOS,O,X,O,X,X,O,X,O,O,X,O,X
TZLJSIO,O,O,O,X,X,O,X,X,O,X,O,X
TZLJSOI,O,O,O,X,X,O,X,X,O,X,O,X
TZLJOIS,O,X,O,X,X,O,X,X,O,X,O,X
TZLJOSI,O,X,O,X,X,O,X,X,O,X,O,X
TZLSIJO,O,O,O,X,X,X,X,O,X,X,O,X
TZLSIOJ,O,X,O,X,X,X,X,X,X,X,O,X
TZLSJIO,O,O,O,X,X,O,X,X,X,X,O,X
TZLSJOI,O,O,O,X,X,O,X,X,X,X,O,X
TZLSOIJ,O,X,X,X,X,X,X,X,X,X,O,X
TZLSOJI,O,O,O,X,X,X,X,X,X,X,O,X
TZLOIJS,O,X,X,X,X,X,X,O,X,X,O,X
TZLOISJ,O,X,X,X,X,X,X,X,X,X,O,X
TZLOJIS,O,X,X,X,X,O,X,X,X,X,O,X
TZLOJSI,O,X,X,X,X,O,X,X,X,X,O,X
TZLOSIJ,O,X,X,X,X,X,X,X,X,X,O,X
TZLOSJI,O,X,X,X,X,X,X,X,X,X,O,X
TZJILSO,O,X,O,X,X,O,X,O,O,X,O,X
TZJILOS,O,X,O,X,X,O,X,O,O,X,O,X
TZJISLO,X,X,O,X,X,O,X,O,O,X,O,X
TZJISOL,X,X,O,X,X,O,X,O,O,X,O,X
TZJIOLS,O,X,O,X,X,O,X,O,O,X,O,X
TZJIOSL,X,X,O,X,X,O,X,O,O,X,O,X
TZJLISO,O,O,O,X,X,O,X,O,O,X,O,X
TZJLIOS,O,X,O,X,X,O,X,O,O,X,O,X
TZJLSIO,O,O,O,X,X,O,X,X,O,X,O,X
TZJLSOI,O,O,O,X,X,O,X,O,O,X,O,X
TZJLOIS,O,X,O,X,X,O,X,O,O,X,O,X
TZJLOSI,O,X,O,X,X,O,X,O,O,X,O,X
TZJSILO,X,O,O,X,X,O,X,X,O,X,O,O
TZJSIOL,X,O,O,X,X,O,X,X,O,X,O,O
TZJSLIO,O,O,O,X,X,O,X,X,O,X,O,O
TZJSLOI,O,O,O,X,X,O,X,O,O,X,O,O
TZJSOIL,X,O,O,X,X,X,X,X,O,X,O,O
TZJSOLI,O,O,O,X,X,X,X,O,O,X,X,O
TZJOILS,O,O,O,X,X,O,X,O,O,X,O,X
TZJOISL,X,O,O,X,X,O,X,O,O,X,O,X
TZJOLIS,O,O,O,X,X,O,X,O,O,X,O,X
TZJOLSI,O,O,O,X,X,O,X,O,O,X,O,X
TZJOSIL,X,O,O,X,X,X,X,X,O,X,O,X
TZJOSLI,O,O,O,X,X,X,X,O,O,X,X,X
TZSILJO,X,O,O,X,X,O,X,O,X,X,O,X
TZSILOJ,X,X,O,X,X,O,X,X,X,X,O,X
TZSIJLO,X,O,O,X,X,O,X,O,X,X,O,X
TZSIJOL,X,O,O,X,X,O,X,O,X,X,O,X
TZSIOLJ,X,O,O,X,X,O,X,X,X,X,O,X
TZSIOJL,X,O,O,X,X,O,X,X,X,X,O,X
TZSLIJO,O,O,O,X,X,O,X,O,X,X,O,X
TZSLIOJ,O,X,O,X,X,O,X,X,X,X,O,X
TZSLJIO,O,O,O,X,X,O,X,X,X,X,O,X
TZSLJOI,O,O,O,X,X,O,X,X,X,X,O,X
TZSLOIJ,O,O,X,X,X,X,X,X,X,X,O,X
TZSLOJI,O,O,O,X,X,O,X,X,X,X,O,X
TZSJILO,X,O,O,X,X,O,X,X,O,X,O,O
TZSJIOL,X,O,O,X,X,O,X,X,O,X,O,O
TZSJLIO,O,O,O,X,X,O,X,X,O,X,O,O
TZSJLOI,O,O,O,X,X,O,X,X,O,X,O,O
TZSJOIL,X,O,O,X,X,O,X,X,O,X,O,O
TZSJOLI,O,O,O,X,X,O,X,X,O,X,O,O
TZSOILJ,X,O,O,X,X,O,X,X,X,X,O,X
TZSOIJL,X,O,O,X,X,O,X,X,X,X,O,X
TZSOLIJ,O,O,X,X,X,O,X,X,X,X,O,X
TZSOLJI,O,O,O,X,X,O,X,X,X,X,O,X
TZSOJIL,X,O,O,X,X,O,X,X,X,X,O,X
TZSOJLI,O,O,O,X,X,O,X,X,X,X,O,X
TZOILJS,O,O,X,X,X,O,X,O,X,X,O,X
TZOILSJ,O,O,X,X,X,O,X,X,X,X,O,X
TZOIJLS,O,O,O,X,X,O,X,O,X,X,O,X
TZOIJSL,O,O,O,X,X,O,X,O,X,X,O,X
TZOISLJ,O,O,O,X,X,O,X,X,X,X,X,X
TZOISJL,O,O,O,X,X,O,X,X,X,X,O,X
TZOLIJS,O,O,X,X,X,O,X,O,X,X,O,X
TZOLISJ,O,O,X,X,X,O,X,X,X,X,O,X
TZOLJIS,O,O,X,X,X,O,X,X,X,X,O,X
TZOLJSI,O,O,X,X,X,O,X,X,X,X,O,X
TZOLSIJ,O,O,X,X,X,O,X,X,X,X,O,X
TZOLSJI,O,O,X,X,X,O,X,X,X,X,O,X
TZOJILS,O,O,O,X,X,O,X,X,O,X,O,X
TZOJISL,X,O,O,X,X,O,X,X,O,X,O,X
TZOJLIS,O,O,O,X,X,O,X,X,O,X,O,X
TZOJLSI,O,O,O,X,X,O,X,X,O,X,O,X
TZOJSIL,X,O,O,X,X,X,X,X,O,X,O,X
TZOJSLI,O,O,O,X,X,O,X,X,O,X,X,X
TZOSILJ,X,O,O,X,X,O,X,X,X,X,X,X
TZOSIJL,X,O,O,X,X,O,X,X,X,X,O,X
TZOSLIJ,O,O,X,X,X,O,X,X,X,X,X,X
TZOSLJI,O,O,O,X,X,O,X,X,X,X,X,X
TZOSJIL,X,O,O,X,X,O,X,X,X,X,O,X
TZOSJLI,O,O,O,X,X,O,X,X,X,X,X,X
TOILJSZ,O,O,X,O,X,X,X,O,X,X,X,X
TOILJZS,O,O,X,O,X,O,X,O,X,X,O,X
TOILSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOILSZJ,O,O,X,O,X,O,X,X,X,X,O,X
TOILZJS,O,O,X,O,X,O,X,O,X,X,O,X
TOILZSJ,O,O,X,O,X,O,X,X,X,X,O,X
TOIJLSZ,O,O,X,O,X,X,X,O,X,X,X,X
TOIJLZS,O,O,X,O,X,O,X,O,X,X,X,X
TOIJSLZ,X,O,X,O,X,X,X,O,X,X,X,X
TOIJSZL,X,O,X,O,X,X,X,O,X,X,X,X
TOIJZLS,O,O,X,O,X,O,X,O,X,X,O,X
TOIJZSL,O,O,X,O,X,O,X,O,X,X,O,X
TOISLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOISLZJ,O,O,O,X,X,O,X,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X,X,X,X,X
TOISZLJ,O,O,O,X,X,O,X,X,X,X,X,X
TOISZJL,O,O,O,X,X,O,X,X,X,X,O,X
TOIZLJS,O,O,X,O,X,O,X,O,X,X,O,X
TOIZLSJ,O,O,X,O,X,O,X,X,X,X,O,X
TOIZJLS,O,O,O,O,X,O,X,O,X,X,O,X
TOIZJSL,O,O,O,O,X,O,X,O,X,X,O,X
TOIZSLJ,O,O,O,O,X,O,X,X,X,X,X,X
TOIZSJL,O,O,O,X,X,O,X,X,X,X,O,X
TOLIJSZ,O,O,X,O,X,X,X,O,X,X,X,X
TOLIJZS,O,O,X,O,X,X,X,O,X,X,O,X
TOLISJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOLISZJ,O,O,X,O,X,X,X,X,X,X,O,X
TOLIZJS,O,O,X,O,X,O,X,O,X,X,O,X
TOLIZSJ,O,O,X,O,X,X,X,X,X,X,O,X
TOLJISZ,O,O,X,X,X,X,O,X,X,X,X,X
TOLJIZS,O,O,X,X,X,X,X,X,X,X,O,X
TOLJSIZ,O,O,X,O,X,X,O,X,X,X,X,X
TOLJSZI,O,O,X,O,X,X,O,X,X,X,X,X
TOLJZIS,O,O,X,O,X,O,X,X,X,X,O,X
TOLJZSI,O,O,X,O,X,O,X,X,X,X,O,X
TOLSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,X,O,X,X,X,X,X,X,O,X
TOLSJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X,X,X,X,X
TOLSZIJ,O,O,X,O,X,X,X,X,X,X,O,X
TOLSZJI,O,O,X,O,X,O,X,X,X,X,O,X
TOLZIJS,O,O,X,O,X,O,X,O,X,X,O,X
TOLZISJ,O,O,X,O,X,O,X,X,X,X,O,X
TOLZJIS,O,O,X,O,X,O,X,X,X,X,O,X
TOLZJSI,O,O,X,O,X,O,X,X,X,X,O,X
TOLZSIJ,O,O,X,O,X,O,X,X,X,X,O,X
TOLZSJI,O,O,X,O,X,O,X,X,X,X,O,X
TOJILSZ,O,O,X,O,X,X,O,X,X,O,X,X
TOJILZS,O,O,X,O,X,X,X,X,X,O,X,X
TOJISLZ,X,O,X,O,X,X,O,X,X,O,X,X
TOJISZL,X,O,X,O,X,X,O,X,X,O,X,X
TOJIZLS,O,O,X,O,X,X,X,X,O,X,O,X
TOJIZSL,O,O,X,O,X,X,O,X,O,X,O,X
TOJLISZ,O,O,X,O,X,X,O,X,X,O,X,X
TOJLIZS,O,O,X,O,X,X,X,X,X,O,X,X
TOJLSIZ,O,O,X,X,X,X,O,X,X,O,X,X
TOJLSZI,O,O,X,X,X,X,O,X,X,O,X,X
TOJLZIS,O,O,X,O,X,O,X,X,O,O,X,X
TOJLZSI,O,O,X,X,X,O,X,X,O,O,X,X
TOJSILZ,X,O,X,O,X,X,O,X,X,O,X,X
TOJSIZL,X,O,X,O,X,X,O,X,X,O,X,X
TOJSLIZ,X,O,X,X,X,X,O,X,X,O,X,X
TOJSLZI,X,O,X,X,X,X,O,X,X,O,X,X
TOJSZIL,X,O,X,O,X,X,O,X,O,O,X,X
TOJSZLI,X,O,X,X,X,X,O,X,O,O,X,X
TOJZILS,O,O,X,O,X,O,X,X,O,X,O,X
TOJZISL,X,O,X,O,X,X,O,X,O,X,O,X
TOJZLIS,O,O,X,O,X,O,X,X,O,O,O,X
TOJZLSI,O,O,X,X,X,O,X,X,O,O,X,X
TOJZSIL,X,O,X,O,X,X,O,X,O,O,O,X
TOJZSLI,O,O,X,X,X,O,O,X,O,O,X,X
TOSILJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSILZJ,O,O,O,X,X,X,X,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TOSIJZL,X,O,X,X,X,X,X,X,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X,X,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X,X,X,O,X
TOSLIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSLJZI,O,O,X,X,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X,X,X,X,X
TOSLZJI,O,O,O,X,X,O,X,X,X,X,X,X
TOSJILZ,X,O,X,X,X,X,X,X,X,X,X,X
TOSJIZL,X,O,X,X,X,X,X,X,X,X,X,X
TOSJLIZ,X,O,X,X,X,X,X,X,X,X,X,X
TOSJLZI,X,O,X,X,X,X,X,X,X,X,X,X
TOSJZIL,X,O,X,X,X,X,X,X,X,X,X,X
TOSJZLI,X,O,X,X,X,X,X,X,X,X,X,X
TOSZILJ,X,O,O,X,X,X,X,X,X,X,X,X
TOSZIJL,X,O,O,X,X,X,X,X,X,X,O,X
TOSZLIJ,O,O,X,X,X,X,X,X,X,X,X,X
TOSZLJI,O,O,O,X,X,O,X,X,X,X,X,X
TOSZJIL,X,O,O,X,X,X,X,X,X,X,O,X
TOSZJLI,O,O,O,X,X,O,X,X,X,X,X,X
TOZILJS,O,O,X,O,X,O,X,O,X,X,O,X
TOZILSJ,O,O,X,O,X,O,X,X,X,X,O,X
TOZIJLS,O,O,O,O,X,O,X,O,X,X,O,X
TOZIJSL,O,O,O,O,X,O,X,O,X,X,O,X
TOZISLJ,O,O,O,O,X,O,X,X,X,X,X,X
TOZISJL,O,O,O,X,X,O,X,X,X,X,O,X
TOZLIJS,O,O,X,O,X,O,X,O,X,X,O,X
TOZLISJ,O,O,X,O,X,O,X,X,X,X,O,X
TOZLJIS,O,O,X,O,X,O,X,X,X,X,O,X
TOZLJSI,O,O,X,O,X,O,X,X,X,X,O,X
TOZLSIJ,O,O,X,O,X,O,X,X,X,X,O,X
TOZLSJI,O,O,X,O,X,O,X,X,X,X,O,X
TOZJILS,O,O,O,O,X,O,X,X,O,X,O,X
TOZJISL,X,O,O,O,X,O,X,X,O,X,O,X
TOZJLIS,O,O,O,O,X,O,X,X,O,X,O,X
TOZJLSI,O,O,O,O,X,O,X,X,O,X,O,X
TOZJSIL,X,O,O,O,X,X,X,X,O,X,O,X
TOZJSLI,O,O,O,X,X,O,X,X,O,X,X,X
TOZSILJ,X,O,O,X,X,O,X,X,X,X,X,X
TOZSIJL,X,O,O,X,X,O,X,X,X,X,O,X
TOZSLIJ,O,O,X,O,X,O,X,X,X,X,X,X
TOZSLJI,O,O,O,O,X,O,X,X,X,X,X,X
TOZSJIL,X,O,O,X,X,O,X,X,X,X,O,X
TOZSJLI,O,O,O,X,X,O,X,X,X,X,X,X
ITLJSZO,O,O,X,X,X,X,X,O,X,X,X,X
ITLJSOZ,O,O,X,X,X,X,X,O,X,X,X,X
ITLJZSO,O,O,X,X,X,O,X,O,X,X,O,X
ITLJZOS,O,X,X,X,X,O,X,O,X,X,O,X
ITLJOSZ,O,O,X,X,X,X,X,O,X,X,X,X
ITLJOZS,O,X,X,X,X,X,X,O,X,X,O,X
ITLSJZO,O,O,O,X,X,X,X,O,X,X,X,X
ITLSJOZ,O,O,X,X,X,X,X,O,X,X,X,X
ITLSZJO,O,O,O,X,X,O,X,O,X,X,O,X
ITLSZOJ,O,O,O,X,X,X,X,X,X,X,O,X
ITLSOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,O,X,X,X,X,X,X,X,O,X
ITLZJSO,O,O,O,X,X,O,X,O,X,X,O,X
ITLZJOS,O,X,O,X,X,O,X,O,X,X,O,X
ITLZSJO,O,O,O,X,X,O,X,O,X,X,O,X
ITLZSOJ,O,O,O,X,X,X,X,X,X,X,O,X
ITLZOJS,O,X,X,X,X,O,X,O,X,X,O,X
ITLZOSJ,O,X,X,X,X,O,X,X,X,X,O,X
ITLOJSZ,O,O,X,X,X,X,X,O,X,X,X,X
ITLOJZS,O,X,X,X,X,O,X,O,X,X,O,X
ITLOSJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,O,X,X,X,X,O,X
ITLOZJS,O,X,X,X,X,O,X,O,X,X,O,X
ITLOZSJ,O,X,X,X,X,O,X,X,X,X,O,X
ITJLSZO,O,O,X,X,X,X,X,O,X,X,X,X
ITJLSOZ,O,O,X,X,X,X,X,O,X,X,X,X
ITJLZSO,O,O,X,X,X,O,X,O,X,X,O,X
ITJLZOS,O,X,X,X,X,O,X,O,X,X,O,X
ITJLOSZ,O,O,X,X,X,X,X,O,X,X,X,X
ITJLOZS,O,X,X,X,X,X,X,O,X,X,O,X
ITJSLZO,X,O,O,X,X,X,X,O,X,X,X,X
ITJSLOZ,X,X,X,X,X,X,X,O,X,X,X,X
ITJSZLO,X,O,O,X,X,X,X,O,X,X,X,X
ITJSZOL,X,O,O,X,X,X,X,O,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITJSOZL,X,O,X,X,X,X,X,O,X,X,X,X
ITJZLSO,O,X,O,X,X,O,X,O,O,X,O,X
ITJZLOS,O,X,O,X,X,O,X,O,O,X,O,X
ITJZSLO,O,X,O,X,X,O,X,O,O,X,O,X
ITJZSOL,O,X,O,X,X,O,X,O,O,X,O,X
ITJZOLS,O,X,O,X,X,O,X,O,O,X,O,X
ITJZOSL,O,X,O,X,X,O,X,O,O,X,O,X
ITJOLSZ,O,O,X,X,X,X,X,O,X,X,X,X
ITJOLZS,O,O,X,X,X,O,X,O,X,X,X,X
ITJOSLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X,O,X,X,X,X
ITJOZLS,O,O,X,X,X,O,X,O,O,X,O,X
ITJOZSL,O,O,X,X,X,O,X,O,O,X,O,X
ITSLJZO,O,O,O,X,X,X,X,O,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,O,X,X,X,X
ITSLZJO,O,O,O,X,X,O,X,O,X,X,O,X
ITSLZOJ,O,X,O,X,X,X,X,X,X,X,O,X
ITSLOJZ,O,X,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,O,X,X,X,X,X,X,X,O,X
ITSJLZO,X,O,O,X,X,X,X,O,X,X,X,X
ITSJLOZ,X,X,X,X,X,X,X,O,X,X,X,X
ITSJZLO,X,O,O,X,X,X,X,O,X,X,X,X
ITSJZOL,X,O,O,X,X,X,X,O,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,O,X,X,X,X
ITSZLJO,O,O,O,X,X,O,X,O,X,X,O,X
ITSZLOJ,O,X,O,X,X,X,X,X,X,X,O,X
ITSZJLO,O,O,O,X,X,O,X,O,X,X,O,X
ITSZJOL,O,O,O,X,X,O,X,O,X,X,O,X
ITSZOLJ,O,O,O,X,X,O,X,X,X,X,X,X
ITSZOJL,O,O,O,X,X,O,X,X,X,X,O,X
ITSOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,O,O,X,X,O,X,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,O,O,X,X,O,X,X,X,X,X,X
ITSOZJL,O,O,O,X,X,O,X,X,X,X,O,X
ITZLJSO,O,X,O,X,X,O,X,O,X,X,O,X
ITZLJOS,O,X,O,X,X,O,X,O,X,X,O,X
ITZLSJO,O,X,O,X,X,O,X,O,X,X,O,X
ITZLSOJ,O,X,O,X,X,X,X,X,X,X,O,X
ITZLOJS,O,X,X,X,X,O,X,O,X,X,O,X
ITZLOSJ,O,X,X,X,X,O,X,X,X,X,O,X
ITZJLSO,O,X,O,X,X,O,X,O,O,X,O,X
ITZJLOS,O,X,O,X,X,O,X,O,O,X,O,X
ITZJSLO,O,X,O,X,X,O,X,O,O,X,O,X
ITZJSOL,O,X,O,X,X,O,X,O,O,X,O,X
ITZJOLS,O,X,O,X,X,O,X,O,O,X,O,X
ITZJOSL,O,X,O,X,X,O,X,O,O,X,O,X
ITZSLJO,O,X,O,X,X,O,X,O,X,X,O,X
ITZSLOJ,O,X,O,X,X,X,X,X,X,X,O,X
ITZSJLO,O,X,O,X,X,O,X,O,X,X,O,X
ITZSJOL,O,X,O,X,X,O,X,O,X,X,O,X
ITZSOLJ,O,X,O,X,X,O,X,X,X,X,X,X
ITZSOJL,O,X,O,X,X,O,X,X,X,X,O,X
ITZOLJS,O,X,X,X,X,O,X,O,X,X,O,X
ITZOLSJ,O,X,X,X,X,O,X,X,X,X,O,X
ITZOJLS,O,X,O,X,X,O,X,O,X,X,O,X
ITZOJSL,O,X,O,X,X,O,X,O,X,X,O,X
