sequence,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBKmBWn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBOmBCn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBuhBigBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBRcBGhBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcB6mBTiBml?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcBylB+mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFmcBxgBSnBXgBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFRcB0fBfmB6mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBigBGiBzhBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcBFgB8lB+mBTi?BfqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBxhBUiBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFzbBGiB0fBRmB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFRcBzgBGiB0fB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBzcB2lBSnBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcB8lBGiBzkB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBUdBxmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFTcB/iBWlBlmBRq?BcqB,v115@6gC8HeC8GeC8EeF8AeG8Jex6IvhFTcB/iB6kB0lBlm?BOqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFUdBClBxmB/mB1q?BOqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhF0fBRhBSnBzgB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFCcB/iB0fBRmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je2/IvhFzbBViBUgBfqBxr?BSwB
ISTOJZL,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O
ISTOZLJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,O,X,X,O,X
ISTOZJL,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,O
ISLTJZO,O,O,O,X,O,X,X,O,O,O,X,X,X,O,X,O,O,X,O,X,O,X
ISLTJOZ,O,O,O,X,O,X,X,X,O,X,X,X,O,O,X,O,O,O,O,X,X,O
ISLTZJO,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,O,X,O,O,X,O,X
ISLTZOJ,X,O,O,X,O,X,X,O,O,O,X,X,X,O,X,O,X,O,O,X,O,X
ISLTOJZ,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X,O,O,O,O,X,X,O
ISLTOZJ,O,O,O,X,O,X,X,O,O,O,X,X,X,O,X,O,X,O,O,X,O,X
ISLJTZO,O,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X
ISLJTOZ,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,O,O,X,X,O
ISLJZTO,O,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X
ISLJZOT,O,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X
ISLJOTZ,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,O
ISLJOZT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
ISLZTJO,X,O,O,X,X,X,X,O,O,O,X,X,X,X,O,O,X,O,O,X,O,X
ISLZTOJ,X,O,O,X,O,X,X,O,X,O,X,X,X,O,O,O,X,O,O,X,O,X
ISLZJTO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,O,O,X,O,X
ISLZJOT,O,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X
ISLZOTJ,X,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,O,X
ISLZOJT,X,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X
ISLOTJZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,O
ISLOTZJ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,O,X
ISLOJTZ,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O
ISLOJZT,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
ISLOZTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X
ISLOZJT,X,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
ISJTLZO,O,O,O,X,X,O,X,X,O,O,X,X,X,O,O,O,O,X,X,X,O,X
ISJTLOZ,O,X,O,X,X,O,X,X,O,O,X,O,O,O,O,O,O,X,X,X,X,O
ISJTZLO,O,O,O,X,X,O,X,O,O,O,X,X,X,O,O,O,O,X,X,X,O,X
ISJTZOL,O,O,O,X,X,O,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,O
ISJTOLZ,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,O
ISJTOZL,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O
ISJLTZO,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
ISJLTOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O
ISJLZTO,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
ISJLZOT,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
ISJLOTZ,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O
ISJLOZT,O,X,X,X,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
ISJZTLO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,X
ISJZTOL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,O
ISJZLTO,O,O,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISJZLOT,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ISJZOTL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
ISJZOLT,O,X,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ISJOTLZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O
ISJOTZL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
ISJOLTZ,X,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O
ISJOLZT,X,X,O,X,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
ISJOZTL,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O
ISJOZLT,O,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ISZTLJO,O,O,O,X,O,O,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X
ISZTLOJ,X,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O,X
ISZTJLO,O,O,O,X,O,O,X,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X
ISZTJOL,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O
ISZTOLJ,O,O,O,X,O,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X
ISZTOJL,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O
ISZLTJO,X,O,O,X,O,O,X,O,O,O,X,X,X,X,O,O,X,O,O,X,O,X
ISZLTOJ,X,O,O,X,O,O,X,X,X,O,X,X,X,O,O,O,X,O,O,X,O,X
ISZLJTO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,O,X,O,X
ISZLJOT,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X
ISZLOTJ,X,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,O,X,O,X
ISZLOJT,X,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X
ISZJTLO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
ISZJTOL,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O
ISZJLTO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZJLOT,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ISZJOTL,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ISZJOLT,O,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
ISZOTLJ,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X
ISZOTJL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
ISZOLTJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X
ISZOLJT,X,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X
ISZOJTL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZOJLT,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
ISOTLJZ,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X,O,O,X,X,X,X,O
ISOTLZJ,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X
ISOTJLZ,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O
ISOTJZL,O,O,O,X,O,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O
ISOTZLJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X
ISOTZJL,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,O
ISOLTJZ,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O
ISOLTZJ,X,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X
ISOLJTZ,X,X,O,X,O,O,X,O,X,O,O,X,X,O,O,X,X,X,O,X,X,O
ISOLJZT,O,X,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
ISOLZTJ,X,O,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
ISOLZJT,X,O,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
ISOJTLZ,X,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,O
ISOJTZL,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O
ISOJLTZ,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O
ISOJLZT,X,X,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ISOJZTL,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
ISOJZLT,O,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X
ISOZTJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O
ISOZLTJ,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X
ISOZLJT,X,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X
ISOZJTL,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ISOZJLT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X
IZTLJSO,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTLSJO,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZTLSOJ,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZTLOJS,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTJLSO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTJLOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJSLO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTJSOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTJOLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTSLJO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTSLOJ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTSJLO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTSJOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTSOLJ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTSOJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTOLJS,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOJLS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTOSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTOSJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZLTJSO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IZLTJOS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLTSJO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
IZLTSOJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
IZLTOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLJTSO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLJTOS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLJSTO,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X
IZLJSOT,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZLJOTS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZLJOST,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZLSTJO,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X
IZLSTOJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
IZLSJTO,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X
IZLSJOT,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IZLSOJT,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZLOTJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLOJTS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZLOJST,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZLOSTJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IZLOSJT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJTLSO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJTLOS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSLO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJTSOL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJTOLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZJLTSO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJLTOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJLSTO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IZJLSOT,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJLOTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZJSTLO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IZJSTOL,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
IZJSLTO,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IZJSOTL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZJSOLT,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZJOTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJOLTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZJOSTL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X
IZSTLOJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X
IZSTJLO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
IZSTJOL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O
IZSTOLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X
IZSTOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O
IZSLTJO,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,O,X,O,X
IZSLTOJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,O,X
IZSLJTO,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
IZSLJOT,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSLOTJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X
IZSLOJT,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSJTLO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
IZSJTOL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O
IZSJLTO,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IZSJOTL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O
IZSJOLT,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZSOTLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
IZSOTJL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
IZSOLTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSOLJT,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSOJTL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSOJLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTLJS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTJLS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOTSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOTSJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOLTJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOLJTS,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZOLSTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOLSJT,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOJTLS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOJLTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOJSTL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZOSTJL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOSLTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOSLJT,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOSJTL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOSJLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O
IOTLJZS,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O
IOTLSZJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTLZJS,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTJLSZ,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTJLZS,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
IOTJSZL,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
IOTJZLS,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
IOTSLJZ,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O
IOTSLZJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
IOTSJZL,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
IOTSZLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTSZJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOTZLJS,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTZJLS,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOTZSLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTZSJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOLTJSZ,X,X,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O
IOLTJZS,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O
