sequence,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBXdBulBziBim?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBXdBqlB2mBzi?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhF6gBxcBmhBziBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBOiBChBziBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBChBmiBTiBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Jex6IvhFTcBGgBiiB0iBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFmbBzcBfjBqlBxm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBKiBfjBGhBzl?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Jel6IvhFTdBxgB8nBXhBas?BWwB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFlbBXhBZnBznBSw?BGsB
TSOLIJZ,O,O,O,O,O,O,X,O,X,X
TSOLIZJ,O,O,O,O,O,X,X,O,X,X
TSOLJIZ,O,O,O,O,O,O,X,O,X,X
TSOLJZI,O,O,O,O,O,O,X,O,X,X
TSOLZIJ,O,O,O,O,O,X,X,O,X,X
TSOLZJI,O,O,O,O,O,O,X,O,X,X
TSOJILZ,O,O,O,O,X,O,X,O,X,X
TSOJIZL,O,O,O,O,X,O,X,O,X,X
TSOJLIZ,O,O,O,O,O,O,X,O,X,X
TSOJLZI,O,O,O,O,O,O,X,O,X,X
TSOJZIL,O,O,O,O,X,O,X,O,X,X
TSOJZLI,O,O,O,O,O,O,X,O,X,X
TSOZILJ,O,O,O,O,O,X,X,O,X,X
TSOZIJL,O,O,O,O,X,X,X,O,X,X
TSOZLIJ,O,O,O,O,O,X,X,O,X,X
TSOZLJI,O,O,O,O,O,O,X,O,X,X
TSOZJIL,O,O,O,O,X,O,X,O,X,X
TSOZJLI,O,O,O,O,O,O,X,O,X,X
TZILJSO,O,O,O,O,X,O,X,X,X,X
TZILJOS,O,O,O,O,X,X,X,X,O,X
TZILSJO,O,O,X,O,O,X,X,X,X,X
TZILSOJ,O,O,X,O,O,X,X,X,O,X
TZILOJS,O,O,O,O,X,X,X,X,O,X
TZILOSJ,O,O,O,X,X,X,X,X,O,X
TZIJLSO,O,O,O,O,X,O,X,X,X,X
TZIJLOS,O,O,O,O,X,X,X,X,O,X
TZIJSLO,O,X,O,O,O,X,X,O,X,X
TZIJSOL,O,X,X,O,X,X,X,X,X,X
TZIJOLS,O,O,O,O,X,X,X,X,O,X
TZIJOSL,O,O,X,O,X,X,X,X,X,X
TZISLJO,O,O,O,O,O,X,X,O,X,X
TZISLOJ,O,O,O,O,O,X,X,O,O,X
TZISJLO,O,X,O,O,O,X,X,O,X,X
TZISJOL,O,X,O,O,X,X,X,X,X,X
TZISOLJ,O,O,O,O,O,X,X,O,O,X
TZISOJL,O,O,O,O,X,X,X,O,X,X
TZIOLJS,O,O,O,O,X,X,X,X,O,X
TZIOLSJ,O,O,O,X,X,X,X,X,O,X
TZIOJLS,O,O,O,O,X,X,X,X,O,X
TZIOJSL,O,O,O,O,X,X,X,O,X,X
TZIOSLJ,O,O,O,O,O,X,X,O,O,X
TZIOSJL,O,O,O,O,X,X,X,O,X,X
TZLIJSO,O,O,O,O,X,O,X,X,X,X
TZLIJOS,O,O,O,O,X,X,X,X,O,X
TZLISJO,O,O,X,O,O,X,X,X,X,X
TZLISOJ,O,O,X,O,O,X,X,X,O,X
TZLIOJS,O,O,O,O,X,X,X,X,O,X
TZLIOSJ,O,O,O,X,X,X,X,X,O,X
TZLJISO,O,O,O,O,X,O,X,X,X,X
TZLJIOS,O,O,O,O,X,X,X,X,O,X
TZLJSIO,O,O,O,O,O,O,O,O,X,X
TZLJSOI,O,O,X,O,O,O,X,O,X,X
TZLJOIS,O,O,O,X,X,X,X,X,O,X
TZLJOSI,O,O,O,X,X,X,X,X,X,X
TZLSIJO,O,O,O,O,O,X,O,O,X,X
TZLSIOJ,O,O,O,O,O,X,O,O,O,O
TZLSJIO,O,O,O,O,O,O,O,O,X,X
TZLSJOI,O,O,O,O,O,O,X,O,X,O
TZLSOIJ,O,O,O,O,O,X,X,O,O,O
TZLSOJI,O,O,O,O,O,O,X,O,X,O
TZLOIJS,O,O,O,O,X,X,X,X,O,X
TZLOISJ,O,O,O,X,X,X,X,X,O,O
TZLOJIS,O,O,O,O,X,X,X,X,O,X
TZLOJSI,O,O,O,O,X,X,X,O,X,X
TZLOSIJ,O,O,O,O,X,X,X,O,O,O
TZLOSJI,O,O,O,O,X,X,X,O,X,O
TZJILSO,O,O,O,O,X,O,X,X,X,X
TZJILOS,O,O,O,O,X,X,X,X,O,X
TZJISLO,O,X,O,O,O,X,X,O,X,X
TZJISOL,O,X,X,O,X,X,X,X,X,X
TZJIOLS,O,O,O,O,X,X,X,X,O,X
TZJIOSL,O,O,X,O,X,X,X,X,X,X
TZJLISO,O,O,O,O,X,O,X,X,X,X
TZJLIOS,O,O,O,O,X,X,X,X,O,X
TZJLSIO,O,O,O,O,O,O,O,O,X,X
TZJLSOI,O,O,X,O,O,O,X,O,X,X
TZJLOIS,O,O,O,X,X,X,X,X,O,X
TZJLOSI,O,O,O,X,X,X,X,X,X,X
TZJSILO,O,X,O,O,O,X,X,O,X,X
TZJSIOL,O,X,O,O,X,X,X,X,X,X
TZJSLIO,O,O,O,O,O,X,O,O,X,X
TZJSLOI,O,O,O,O,O,X,X,O,X,X
TZJSOIL,O,X,O,O,X,X,X,O,X,X
TZJSOLI,O,X,O,O,O,X,X,O,X,X
TZJOILS,O,O,O,O,X,X,X,X,O,X
TZJOISL,O,O,O,O,X,X,X,O,X,X
TZJOLIS,O,O,O,O,X,X,X,X,O,X
TZJOLSI,O,O,O,O,X,X,X,O,X,X
TZJOSIL,O,O,O,O,X,X,X,O,X,X
TZJOSLI,O,O,O,O,O,X,X,O,X,X
TZSILJO,O,O,O,O,O,X,O,O,X,X
TZSILOJ,O,O,O,O,O,X,O,O,O,X
TZSIJLO,O,X,O,O,O,X,X,O,X,X
TZSIJOL,O,X,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,O,O,O,X,O,O,O,X
TZSIOJL,O,O,O,O,X,X,X,O,X,X
TZSLIJO,O,O,O,O,O,X,O,O,X,X
TZSLIOJ,O,O,O,O,O,X,O,O,O,X
TZSLJIO,O,O,O,O,O,O,O,O,X,X
TZSLJOI,O,O,O,O,O,O,X,O,X,X
TZSLOIJ,O,O,O,O,O,X,X,O,O,X
TZSLOJI,O,O,O,O,O,O,X,O,X,X
TZSJILO,O,X,O,O,O,O,X,O,X,X
TZSJIOL,O,X,O,O,X,O,X,X,X,X
TZSJLIO,O,X,O,O,O,O,O,O,X,X
TZSJLOI,O,X,O,O,O,O,X,O,X,X
TZSJOIL,O,X,O,O,X,O,X,O,X,X
TZSJOLI,O,X,O,O,O,O,X,O,X,X
TZSOILJ,O,O,O,O,O,X,X,O,O,X
TZSOIJL,O,O,O,O,X,X,X,O,X,X
TZSOLIJ,O,O,O,O,O,X,X,O,O,X
TZSOLJI,O,O,O,O,O,O,X,O,X,X
TZSOJIL,O,O,O,O,X,O,X,O,X,X
TZSOJLI,O,O,O,O,O,O,X,O,X,X
TZOILJS,O,O,O,O,X,X,X,X,O,X
TZOILSJ,O,O,O,X,X,X,X,X,O,O
TZOIJLS,O,O,O,O,X,X,X,X,O,X
TZOIJSL,O,O,O,O,X,X,X,O,X,X
TZOISLJ,O,O,O,O,O,X,X,O,O,X
TZOISJL,O,O,O,O,X,X,X,O,X,X
TZOLIJS,O,O,O,O,X,X,X,X,O,X
TZOLISJ,O,O,O,X,X,X,X,X,O,O
TZOLJIS,O,O,O,O,X,X,X,X,O,X
TZOLJSI,O,O,O,O,X,X,X,O,X,X
TZOLSIJ,O,O,O,O,X,X,X,O,O,O
TZOLSJI,O,O,O,O,X,X,X,O,X,O
TZOJILS,O,O,O,O,X,X,X,X,O,X
TZOJISL,O,O,O,O,X,X,X,O,X,X
TZOJLIS,O,O,O,O,X,X,X,X,O,X
TZOJLSI,O,O,O,O,X,X,X,O,X,X
TZOJSIL,O,O,O,O,X,X,X,O,X,X
TZOJSLI,O,O,O,O,O,X,X,O,X,X
TZOSILJ,O,O,O,O,O,X,X,O,O,X
TZOSIJL,O,O,O,O,X,X,X,O,X,X
TZOSLIJ,O,O,O,O,O,X,X,O,O,X
TZOSLJI,O,O,O,O,O,X,X,O,X,X
TZOSJIL,O,O,O,O,X,X,X,O,X,X
TZOSJLI,O,O,O,O,O,X,X,O,X,X
TOILJSZ,O,O,X,X,X,O,X,X,X,X
TOILJZS,O,O,O,X,X,X,X,X,X,X
TOILSJZ,O,O,O,X,X,X,X,X,X,O
TOILSZJ,O,O,O,X,X,X,X,X,X,O
TOILZJS,O,O,O,X,X,X,X,X,O,X
TOILZSJ,O,O,O,X,X,X,X,X,O,O
TOIJLSZ,O,O,X,X,X,O,X,X,X,X
TOIJLZS,O,O,O,X,X,X,X,X,X,X
TOIJSLZ,O,O,O,O,X,X,X,O,X,X
TOIJSZL,O,X,O,O,X,X,X,O,X,X
TOIJZLS,O,X,O,O,X,X,X,X,X,X
TOIJZSL,O,X,O,O,X,X,X,O,X,X
TOISLJZ,O,O,O,O,X,X,X,O,X,X
TOISLZJ,O,O,O,O,X,X,X,O,X,X
TOISJLZ,O,O,O,O,X,X,X,O,X,X
TOISJZL,O,O,O,O,X,X,X,O,X,X
TOISZLJ,O,O,O,O,X,X,X,O,X,X
TOISZJL,O,O,O,O,X,X,X,O,X,X
TOIZLJS,O,O,O,O,X,X,X,X,O,X
TOIZLSJ,O,O,O,X,X,X,X,X,O,O
TOIZJLS,O,O,O,O,X,X,X,X,O,X
TOIZJSL,O,O,O,O,X,X,X,O,X,X
TOIZSLJ,O,O,O,O,X,X,X,O,O,X
TOIZSJL,O,O,O,O,X,X,X,O,X,X
TOLIJSZ,O,O,X,X,X,O,X,X,X,X
TOLIJZS,O,O,O,X,X,X,X,X,X,X
TOLISJZ,O,O,O,X,X,X,X,X,X,O
TOLISZJ,O,O,O,X,X,X,X,X,X,O
TOLIZJS,O,O,O,X,X,X,X,X,O,X
TOLIZSJ,O,O,O,X,X,X,X,X,O,O
TOLJISZ,O,O,X,X,X,O,X,X,X,X
TOLJIZS,O,O,O,X,X,X,X,X,X,X
TOLJSIZ,O,O,X,O,X,O,X,O,X,X
TOLJSZI,O,O,X,O,X,O,X,O,X,X
TOLJZIS,O,O,O,O,X,X,X,X,X,X
TOLJZSI,O,O,O,O,X,X,X,O,X,X
TOLSIJZ,O,O,O,O,X,O,X,O,X,O
TOLSIZJ,O,O,O,O,X,X,X,O,X,O
TOLSJIZ,O,O,O,O,X,O,X,O,X,O
TOLSJZI,O,O,O,O,X,O,X,O,X,O
TOLSZIJ,O,O,O,O,X,X,X,O,X,O
TOLSZJI,O,O,O,O,X,O,X,O,X,O
TOLZIJS,O,O,O,O,X,X,X,X,O,X
TOLZISJ,O,O,O,X,X,X,X,X,O,O
TOLZJIS,O,O,O,O,X,X,X,X,O,X
TOLZJSI,O,O,O,O,X,X,X,O,X,X
TOLZSIJ,O,O,O,O,X,X,X,O,O,O
TOLZSJI,O,O,O,O,X,X,X,O,X,O
TOJILSZ,O,O,X,X,X,O,X,X,X,X
TOJILZS,O,O,O,X,X,X,X,X,X,X
TOJISLZ,O,O,O,O,X,X,X,O,X,X
TOJISZL,O,X,O,O,X,X,X,O,X,X
TOJIZLS,O,X,O,O,X,X,X,X,X,X
TOJIZSL,O,X,O,O,X,X,X,O,X,X
TOJLISZ,O,O,X,X,X,O,X,X,X,X
TOJLIZS,O,O,O,X,X,X,X,X,X,X
TOJLSIZ,O,O,X,O,X,O,X,O,X,X
TOJLSZI,O,O,X,O,X,O,X,O,X,X
TOJLZIS,O,O,O,O,X,X,X,X,X,X
TOJLZSI,O,O,O,O,X,X,X,O,X,X
TOJSILZ,O,O,O,O,X,X,X,O,X,X
TOJSIZL,O,O,O,O,X,X,X,O,X,X
TOJSLIZ,O,O,O,O,O,X,X,O,X,X
TOJSLZI,O,O,O,O,O,X,X,O,X,X
TOJSZIL,O,O,O,O,X,X,X,O,X,X
TOJSZLI,O,O,O,O,O,X,X,O,X,X
TOJZILS,O,O,O,O,X,X,X,X,X,X
TOJZISL,O,O,O,O,X,X,X,O,X,X
TOJZLIS,O,O,O,O,X,X,X,X,X,X
TOJZLSI,O,O,O,O,X,X,X,O,X,X
TOJZSIL,O,O,O,O,X,X,X,O,X,X
TOJZSLI,O,O,O,O,O,X,X,O,X,X
TOSILJZ,O,O,O,O,X,O,O,O,X,X
TOSILZJ,O,O,O,O,X,X,O,O,X,X
TOSIJLZ,O,O,O,O,X,O,O,O,X,X
TOSIJZL,O,O,O,O,X,O,X,O,X,X
TOSIZLJ,O,O,O,O,X,X,O,O,X,X
TOSIZJL,O,O,O,O,X,X,X,O,X,X
TOSLIJZ,O,O,O,O,O,O,X,O,X,X
TOSLIZJ,O,O,O,O,O,X,X,O,X,X
TOSLJIZ,O,O,O,O,O,O,X,O,X,X
TOSLJZI,O,O,O,O,O,O,X,O,X,X
TOSLZIJ,O,O,O,O,O,X,X,O,X,X
TOSLZJI,O,O,O,O,O,O,X,O,X,X
TOSJILZ,O,O,O,O,X,O,X,O,X,X
TOSJIZL,O,O,O,O,X,O,X,O,X,X
TOSJLIZ,O,O,O,O,O,O,X,O,X,X
TOSJLZI,O,O,O,O,O,O,X,O,X,X
TOSJZIL,O,O,O,O,X,O,X,O,X,X
TOSJZLI,O,O,O,O,O,O,X,O,X,X
TOSZILJ,O,O,O,O,O,X,X,O,X,X
TOSZIJL,O,O,O,O,X,X,X,O,X,X
TOSZLIJ,O,O,O,O,O,X,X,O,X,X
TOSZLJI,O,O,O,O,O,O,X,O,X,X
TOSZJIL,O,O,O,O,X,O,X,O,X,X
TOSZJLI,O,O,O,O,O,O,X,O,X,X
TOZILJS,O,O,O,O,X,X,X,X,O,X
TOZILSJ,O,O,O,X,X,X,X,X,O,O
TOZIJLS,O,O,O,O,X,X,X,X,O,X
TOZIJSL,O,O,O,O,X,X,X,O,X,X
TOZISLJ,O,O,O,O,O,X,X,O,O,X
TOZISJL,O,O,O,O,X,X,X,O,X,X
TOZLIJS,O,O,O,O,X,X,X,X,O,X
TOZLISJ,O,O,O,X,X,X,X,X,O,O
TOZLJIS,O,O,O,O,X,X,X,X,O,X
TOZLJSI,O,O,O,O,X,X,X,O,X,X
TOZLSIJ,O,O,O,O,X,X,X,O,O,O
TOZLSJI,O,O,O,O,X,X,X,O,X,O
TOZJILS,O,O,O,O,X,X,X,X,O,X
TOZJISL,O,O,O,O,X,X,X,O,X,X
TOZJLIS,O,O,O,O,X,X,X,X,O,X
TOZJLSI,O,O,O,O,X,X,X,O,X,X
TOZJSIL,O,O,O,O,X,X,X,O,X,X
TOZJSLI,O,O,O,O,O,X,X,O,X,X
TOZSILJ,O,O,O,O,O,X,X,O,O,X
TOZSIJL,O,O,O,O,X,X,X,O,X,X
TOZSLIJ,O,O,O,O,O,X,X,O,O,X
TOZSLJI,O,O,O,O,O,X,X,O,X,X
TOZSJIL,O,O,O,O,X,X,X,O,X,X
TOZSJLI,O,O,O,O,O,X,X,O,X,X
ITLJSZO,O,O,X,X,X,O,X,X,X,X
ITLJSOZ,O,O,X,X,X,O,X,X,X,X
ITLJZSO,O,O,X,X,X,O,X,X,X,X
ITLJZOS,O,O,X,X,X,X,X,X,O,X
ITLJOSZ,O,O,X,X,X,O,X,X,X,X
ITLJOZS,O,O,X,X,X,X,X,X,X,X
ITLSJZO,O,O,X,X,X,O,X,X,X,X
ITLSJOZ,O,O,X,X,X,O,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X,O,X
ITLSOJZ,X,O,X,X,X,O,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,X,X
ITLZJSO,O,O,X,X,X,O,X,X,X,X
ITLZJOS,O,O,X,X,X,X,X,X,O,X
ITLZSJO,O,O,X,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X,X,O,X
ITLZOJS,X,O,X,X,X,X,X,X,O,X
ITLZOSJ,O,O,X,X,X,X,X,X,O,X
ITLOJSZ,X,O,X,X,X,O,X,X,X,X
ITLOJZS,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,X,X,X,X
ITLOZJS,X,O,X,X,X,X,X,X,O,X
ITLOZSJ,X,O,X,X,X,X,X,X,O,X
ITJLSZO,O,O,X,X,X,O,X,X,X,X
ITJLSOZ,O,O,X,X,X,O,X,X,X,X
ITJLZSO,O,O,O,X,X,O,X,X,X,X
ITJLZOS,O,O,O,X,X,X,X,X,O,X
ITJLOSZ,O,O,X,X,X,O,X,X,X,X
ITJLOZS,O,O,X,X,X,X,X,X,X,X
ITJSLZO,O,O,X,O,O,O,X,O,X,X
ITJSLOZ,O,O,X,O,O,O,X,O,X,X
ITJSZLO,O,X,O,O,O,O,X,O,X,X
ITJSZOL,O,X,X,O,X,O,X,X,X,X
ITJSOLZ,O,X,X,X,X,O,X,X,X,X
ITJSOZL,O,X,X,X,X,O,X,X,X,X
ITJZLSO,O,X,O,O,X,O,X,X,X,X
ITJZLOS,O,X,O,O,X,X,X,X,O,X
ITJZSLO,O,X,O,O,O,X,X,O,X,X
ITJZSOL,O,X,X,O,X,X,X,X,X,X
ITJZOLS,O,X,O,O,X,X,X,X,O,X
ITJZOSL,O,X,X,O,X,X,X,X,X,X
ITJOLSZ,O,X,X,X,X,O,X,X,X,X
ITJOLZS,O,X,X,X,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,X,X,X,X,X,X,X,X
ITJOZLS,O,X,O,X,X,X,X,X,X,X
ITJOZSL,O,X,X,X,X,X,X,X,X,X
ITSLJZO,X,X,O,O,O,O,O,O,X,X
ITSLJOZ,X,X,O,O,O,O,O,O,X,X
ITSLZJO,X,X,O,O,O,X,O,O,X,X
ITSLZOJ,X,X,O,O,O,X,O,O,O,X
ITSLOJZ,X,X,O,O,O,O,O,O,X,X
ITSLOZJ,X,X,O,O,O,X,O,O,X,X
ITSJLZO,X,X,O,O,O,O,O,O,X,X
ITSJLOZ,X,X,O,O,O,O,O,O,X,X
ITSJZLO,X,X,O,O,O,O,X,O,X,X
ITSJZOL,X,X,O,O,X,O,X,X,X,X
ITSJOLZ,X,X,O,X,X,O,O,X,X,X
ITSJOZL,X,X,O,X,X,O,X,X,X,X
ITSZLJO,X,X,O,O,O,X,O,O,X,X
ITSZLOJ,X,X,O,O,O,X,O,O,O,X
ITSZJLO,X,X,O,O,O,X,X,O,X,X
ITSZJOL,X,X,O,O,X,X,X,X,X,X
ITSZOLJ,X,X,O,O,O,X,O,O,O,X
ITSZOJL,X,X,O,O,X,X,X,O,X,X
ITSOLJZ,X,X,O,O,X,O,O,O,X,X
ITSOLZJ,X,X,O,O,X,X,O,O,X,X
ITSOJLZ,X,X,O,O,X,O,O,O,X,X
ITSOJZL,X,X,O,O,X,O,X,O,X,X
ITSOZLJ,X,X,O,O,X,X,O,O,X,X
ITSOZJL,X,X,O,O,X,X,X,O,X,X
ITZLJSO,O,O,O,O,X,O,X,X,X,X
ITZLJOS,O,O,O,O,X,X,X,X,O,X
ITZLSJO,O,O,X,O,O,X,X,X,X,X
ITZLSOJ,O,O,X,O,O,X,X,X,O,X
ITZLOJS,O,O,O,O,X,X,X,X,O,X
ITZLOSJ,O,O,O,X,X,X,X,X,O,X
ITZJLSO,O,O,O,O,X,O,X,X,X,X
ITZJLOS,O,O,O,O,X,X,X,X,O,X
ITZJSLO,O,X,O,O,O,X,X,O,X,X
ITZJSOL,O,X,X,O,X,X,X,X,X,X
ITZJOLS,O,O,O,O,X,X,X,X,O,X
ITZJOSL,O,O,X,O,X,X,X,X,X,X
ITZSLJO,O,O,O,O,O,X,X,O,X,X
ITZSLOJ,O,O,O,O,O,X,X,O,O,X
ITZSJLO,O,X,O,O,O,X,X,O,X,X
ITZSJOL,O,X,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,O,O,O,X,X,O,O,X
ITZSOJL,O,O,O,O,X,X,X,O,X,X
ITZOLJS,O,O,O,O,X,X,X,X,O,X
ITZOLSJ,O,O,O,X,X,X,X,X,O,X
ITZOJLS,O,O,O,O,X,X,X,X,O,X
ITZOJSL,O,O,O,O,X,X,X,O,X,X
ITZOSLJ,O,O,O,O,O,X,X,O,O,X
ITZOSJL,O,O,O,O,X,X,X,O,X,X
ITOLJSZ,O,O,X,X,X,O,X,X,X,X
ITOLJZS,O,O,O,X,X,X,X,X,X,X
ITOLSJZ,O,O,O,X,X,X,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X,X,X
ITOLZJS,O,O,O,X,X,X,X,X,O,X
ITOLZSJ,O,O,O,X,X,X,X,X,O,X
ITOJLSZ,O,O,X,X,X,O,X,X,X,X
ITOJLZS,O,O,O,X,X,X,X,X,X,X
ITOJSLZ,O,O,O,O,X,X,X,O,X,X
ITOJSZL,O,X,O,O,X,X,X,O,X,X
ITOJZLS,O,X,O,O,X,X,X,X,X,X
ITOJZSL,O,X,O,O,X,X,X,O,X,X
ITOSLJZ,O,O,O,O,X,X,X,O,X,X
ITOSLZJ,O,O,O,O,X,X,X,O,X,X
ITOSJLZ,O,O,O,O,X,X,X,O,X,X
ITOSJZL,O,O,O,O,X,X,X,O,X,X
ITOSZLJ,O,O,O,O,X,X,X,O,X,X
ITOSZJL,O,O,O,O,X,X,X,O,X,X
ITOZLJS,O,O,O,O,X,X,X,X,O,X
ITOZLSJ,O,O,O,X,X,X,X,X,O,X
ITOZJLS,O,O,O,O,X,X,X,X,O,X
ITOZJSL,O,O,O,O,X,X,X,O,X,X
ITOZSLJ,O,O,O,O,X,X,X,O,O,X
ITOZSJL,O,O,O,O,X,X,X,O,X,X
ILTJSZO,X,O,X,X,X,O,X,X,X,X
ILTJSOZ,X,O,X,X,X,O,X,X,X,X
ILTJZSO,X,O,X,X,X,O,X,X,X,X
ILTJZOS,X,O,X,X,X,X,X,X,O,X
ILTJOSZ,X,O,X,X,X,O,X,X,X,X
ILTJOZS,X,O,X,X,X,X,X,X,X,X
ILTSJZO,X,O,X,X,X,O,X,X,X,X
ILTSJOZ,X,O,X,X,X,O,X,X,X,X
ILTSZJO,X,O,X,X,X,X,X,X,X,X
ILTSZOJ,X,O,X,X,X,X,X,X,O,X
ILTSOJZ,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,X,X,X,X
ILTZJSO,X,O,X,X,X,O,X,X,X,X
ILTZJOS,X,O,X,X,X,X,X,X,O,X
ILTZSJO,X,O,X,X,X,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,X,X,X,O,X
ILTZOJS,X,O,X,X,X,X,X,X,O,X
ILTZOSJ,X,O,X,X,X,X,X,X,O,X
ILTOJSZ,X,O,X,X,X,O,X,X,X,X
ILTOJZS,X,O,X,X,X,X,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,X,X,X,X
ILTOZJS,X,O,X,X,X,X,X,X,O,X
ILTOZSJ,X,O,X,X,X,X,X,X,O,X
ILJTSZO,O,O,X,X,X,O,X,X,X,X
ILJTSOZ,X,O,X,X,X,O,X,X,X,X
ILJTZSO,O,O,X,X,X,O,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,X,O,X
ILJTOSZ,X,O,X,X,X,O,X,X,X,X
ILJTOZS,X,O,X,X,X,X,X,X,X,X
ILJSTZO,O,O,X,X,X,O,O,X,X,X
ILJSTOZ,X,X,X,X,X,O,O,X,X,X
ILJSZTO,O,O,X,X,X,X,O,X,X,X
ILJSZOT,O,O,X,X,X,X,O,X,X,X
ILJSOTZ,X,X,X,X,X,O,O,X,X,X
ILJSOZT,O,O,X,X,X,X,O,X,X,X
ILJZTSO,O,O,X,X,X,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X,X,O,X
ILJZSTO,O,O,X,X,X,X,O,X,X,X
ILJZSOT,O,O,X,X,X,X,O,X,X,X
ILJZOTS,X,O,X,X,X,X,X,X,O,X
ILJZOST,O,O,X,X,X,X,X,X,X,X
ILJOTSZ,X,O,X,X,X,X,X,X,X,X
ILJOTZS,X,O,X,X,X,X,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,X,X,X,X
ILJOSZT,O,O,X,X,X,X,X,X,X,X
ILJOZTS,X,O,X,X,X,X,X,X,X,X
ILJOZST,O,O,X,X,X,X,X,X,X,X
ILSTJZO,X,O,X,X,X,X,O,X,X,X
ILSTJOZ,X,O,X,X,X,X,O,X,X,X
ILSTZJO,O,O,X,X,X,X,O,X,X,X
ILSTZOJ,O,O,X,X,X,X,O,X,O,O
ILSTOJZ,X,O,X,X,X,X,O,X,X,O
ILSTOZJ,X,O,X,X,X,X,O,X,X,O
ILSJTZO,O,O,X,X,X,X,O,X,X,X
ILSJTOZ,X,X,X,X,X,X,O,X,X,X
ILSJZTO,O,O,X,X,X,X,O,X,X,X
ILSJZOT,O,O,X,X,X,X,O,X,X,X
ILSJOTZ,X,X,X,X,X,X,O,X,X,X
ILSJOZT,O,O,X,X,X,X,O,X,X,X
ILSZTJO,O,O,X,X,X,X,O,X,X,X
ILSZTOJ,O,O,X,X,X,X,O,X,O,O
ILSZJTO,O,O,X,X,X,X,O,X,X,X
ILSZJOT,O,O,X,X,X,X,O,X,X,X
ILSZOTJ,O,O,X,X,X,X,O,X,O,O
ILSZOJT,O,O,X,X,X,X,O,X,X,O
ILSOTJZ,X,X,X,X,X,X,O,X,X,O
ILSOTZJ,X,O,X,X,X,X,O,X,X,O
ILSOJTZ,X,O,X,X,X,X,O,X,X,O
ILSOJZT,X,O,X,X,X,X,O,X,X,O
ILSOZTJ,O,O,X,X,X,X,O,X,X,O
ILSOZJT,O,O,X,X,X,X,O,X,X,O
ILZTJSO,X,O,X,X,X,X,X,X,X,X
ILZTJOS,X,O,X,X,X,X,X,X,O,X
ILZTSJO,O,O,X,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,X,O,X
ILZTOJS,X,O,X,X,X,X,X,X,O,X
ILZTOSJ,X,O,X,X,X,X,X,X,O,X
ILZJTSO,O,O,X,X,X,X,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X,X,O,X
ILZJSTO,O,O,X,X,X,X,O,X,X,X
ILZJSOT,O,O,X,X,X,X,O,X,X,X
ILZJOTS,X,O,X,X,X,X,X,X,O,X
ILZJOST,O,O,X,X,X,X,X,X,X,X
ILZSTJO,O,O,X,X,X,X,O,X,X,X
ILZSTOJ,O,O,X,X,X,X,O,X,O,O
ILZSJTO,O,O,X,X,X,X,O,X,X,X
ILZSJOT,O,O,X,X,X,X,O,X,X,X
ILZSOTJ,O,O,X,X,X,X,O,X,O,O
ILZSOJT,O,O,X,X,X,X,O,X,X,O
ILZOTJS,X,O,X,X,X,X,X,X,O,X
ILZOTSJ,X,O,X,X,X,X,X,X,O,O
ILZOJTS,X,O,X,X,X,X,X,X,O,X
ILZOJST,X,O,X,X,X,X,X,X,X,O
ILZOSTJ,O,O,X,X,X,X,X,X,O,O
ILZOSJT,O,O,X,X,X,X,X,X,X,O
ILOTJSZ,X,O,X,X,X,X,X,X,X,X
ILOTJZS,X,O,X,X,X,X,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,X,X,O
ILOTSZJ,X,O,X,X,X,X,X,X,X,O
ILOTZJS,X,O,X,X,X,X,X,X,O,X
