sequence,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBidB?5jBziB3mBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSiB?TeB3mBGoBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBzdB?+jBFnB3mBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBxdB?/nB1rBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSjB?FnBToB3mBusB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB1rB?xnB/nBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFXdB5nB?6tBOtBzrBFrB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB5jB?3mBznBinBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBWnB?TjBXnBFmBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBumB?CjB/sBTtBFrB
TIOZLJS,O,X,O,X,X,O,X,X,X,X
TIOZLSJ,O,X,X,X,O,O,O,X,X,X
TIOZJLS,O,O,X,X,X,O,X,X,X,X
TIOZJSL,O,O,X,O,X,O,X,X,X,X
TIOZSLJ,O,X,X,O,O,O,O,O,X,X
TIOZSJL,O,X,X,O,O,O,X,O,X,X
TLIJSZO,X,O,O,X,X,O,X,X,X,X
TLIJSOZ,X,O,O,X,X,O,X,X,X,X
TLIJZSO,X,O,O,X,X,O,X,X,X,X
TLIJZOS,O,O,O,X,X,O,X,X,X,X
TLIJOSZ,O,O,O,X,X,O,X,X,X,X
TLIJOZS,O,O,O,X,X,O,X,X,X,X
TLISJZO,X,X,O,X,X,O,X,X,X,X
TLISJOZ,X,X,O,X,X,O,X,X,X,X
TLISZJO,X,X,O,X,X,O,X,X,X,X
TLISZOJ,X,X,X,X,X,O,X,X,X,X
TLISOJZ,X,X,X,X,X,O,X,X,X,X
TLISOZJ,X,X,X,X,X,O,X,X,X,X
TLIZJSO,X,O,O,X,X,O,X,X,X,X
TLIZJOS,O,O,O,X,X,O,X,X,X,X
TLIZSJO,X,X,O,X,X,O,X,X,X,X
TLIZSOJ,X,X,X,X,X,O,X,X,X,X
TLIZOJS,O,X,O,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,O,O,X,X,X
TLIOJSZ,O,X,O,X,X,O,X,X,X,X
TLIOJZS,O,X,O,X,X,O,X,X,X,X
TLIOSJZ,O,X,X,X,X,O,X,X,X,X
TLIOSZJ,O,X,X,X,X,O,O,X,X,X
TLIOZJS,O,X,O,X,X,O,X,X,X,X
TLIOZSJ,O,X,X,X,X,O,O,X,X,X
TLJISZO,X,O,O,X,X,O,X,X,X,X
TLJISOZ,X,O,O,X,X,O,X,X,X,X
TLJIZSO,X,O,O,X,X,O,X,X,X,X
TLJIZOS,O,O,O,X,X,O,X,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,X,X,X
TLJIOZS,O,O,O,X,X,O,X,X,X,X
