sequence,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBRdBSjBzhB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?SAJvhFWiBxdBXjBzfBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?C7IvhFRdBcjBXgBzhB+nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?WAJvhFRdBcjBCiBXgBTnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?G7IvhFRdBcjBzfBfnB6nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?C7IvhFGdBTeBXgBRnBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?G7IvhFCdBzfBxiBXjBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBzcBSjBRnB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?WAJvhFSiBTeBXgBRnBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBqhBxdBXjBTnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?z8IvhFGeBUlBRnBClB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?SCJvhFTeBFgBfqBRsBGqBUsB
TSIOZJL,O,X,X,X,O,O,X,O,X,O,X,X
TSLIJZO,O,O,O,X,O,O,X,X,X,O,X,X
TSLIJOZ,X,O,O,X,X,O,X,X,X,X,X,O
TSLIZJO,O,O,O,X,O,O,X,O,X,O,X,X
TSLIZOJ,O,O,O,X,O,O,X,O,X,O,X,O
TSLIOJZ,O,O,O,X,O,O,X,X,X,X,X,O
TSLIOZJ,O,X,X,X,O,O,X,O,X,O,X,O
TSLJIZO,O,O,O,X,O,O,X,X,X,O,X,X
TSLJIOZ,X,O,O,X,X,O,X,X,X,X,X,X
TSLJZIO,O,O,O,O,O,X,X,X,X,O,X,X
TSLJZOI,O,O,O,O,O,X,X,X,X,O,X,X
TSLJOIZ,O,O,O,X,O,O,X,X,X,X,X,X
TSLJOZI,O,O,O,X,O,X,X,X,X,X,X,X
TSLZIJO,O,O,O,O,O,O,X,O,X,O,X,X
TSLZIOJ,O,O,O,X,O,O,X,O,X,O,X,X
TSLZJIO,O,O,O,O,O,X,X,O,X,O,X,X
TSLZJOI,O,O,O,O,O,X,X,X,X,O,X,X
TSLZOIJ,O,O,O,X,O,O,X,X,X,O,X,X
TSLZOJI,O,O,O,X,O,X,X,X,X,O,X,X
TSLOIJZ,O,O,O,X,O,O,X,X,X,X,X,O
TSLOIZJ,O,X,X,X,O,O,X,X,X,O,X,O
TSLOJIZ,O,O,O,X,O,O,X,X,X,X,X,X
TSLOJZI,O,O,O,X,O,X,X,X,X,X,X,X
TSLOZIJ,O,O,O,X,O,O,X,X,X,O,X,X
TSLOZJI,O,O,O,X,O,X,X,X,X,O,X,X
TSJILZO,X,O,O,X,O,O,X,X,X,O,X,X
TSJILOZ,X,O,O,X,X,O,X,X,O,X,X,O
TSJIZLO,X,O,O,X,O,O,X,X,X,O,X,X
TSJIZOL,X,X,O,X,O,O,X,X,X,O,X,X
TSJIOLZ,X,O,O,X,X,O,X,X,O,X,X,O
TSJIOZL,X,X,O,X,X,O,X,X,X,X,X,X
TSJLIZO,O,O,O,X,O,O,X,X,X,O,X,X
TSJLIOZ,X,O,O,X,X,O,X,X,X,X,X,X
TSJLZIO,O,O,O,O,O,X,X,X,X,O,X,X
TSJLZOI,O,O,O,O,O,X,X,X,X,O,X,X
TSJLOIZ,O,O,O,X,O,O,X,X,X,X,X,X
TSJLOZI,O,O,O,X,O,X,X,X,X,X,X,X
TSJZILO,O,O,O,X,O,X,X,X,X,O,X,X
TSJZIOL,O,O,O,X,O,X,X,X,X,O,X,X
TSJZLIO,O,O,O,O,O,X,X,X,X,O,X,X
TSJZLOI,O,O,O,O,O,X,X,X,X,O,X,X
TSJZOIL,O,O,O,X,O,X,X,X,X,O,X,X
TSJZOLI,O,O,O,O,O,X,X,X,X,O,X,X
TSJOILZ,O,O,O,X,O,O,X,X,O,X,X,O
TSJOIZL,O,X,O,X,O,O,X,X,X,X,X,X
TSJOLIZ,O,O,O,X,O,O,X,X,X,X,X,X
TSJOLZI,O,O,O,O,O,X,X,X,X,X,X,X
TSJOZIL,O,X,O,X,O,X,X,X,X,X,X,X
TSJOZLI,O,X,O,O,O,X,X,X,X,X,X,X
TSZILJO,O,O,O,X,O,O,X,O,X,O,X,X
TSZILOJ,O,O,O,X,O,O,O,O,X,O,X,O
TSZIJLO,O,O,O,X,O,O,X,O,X,O,X,X
TSZIJOL,O,O,O,X,O,O,X,O,X,O,X,X
TSZIOLJ,O,O,O,X,O,O,O,O,X,O,X,O
TSZIOJL,O,O,X,X,O,O,O,O,X,O,X,X
TSZLIJO,O,O,O,O,O,O,X,O,X,O,X,X
TSZLIOJ,O,O,O,X,O,O,O,O,X,O,X,X
TSZLJIO,O,O,O,O,O,X,X,O,X,O,X,X
TSZLJOI,O,O,O,O,O,X,X,X,X,O,X,X
TSZLOIJ,O,O,O,X,O,O,O,X,X,O,X,X
TSZLOJI,O,O,O,X,O,X,O,X,X,O,X,X
TSZJILO,O,O,O,X,O,X,X,O,X,O,X,X
TSZJIOL,O,O,O,X,O,X,X,O,X,O,X,X
TSZJLIO,O,O,O,O,O,X,X,O,X,O,X,X
TSZJLOI,O,O,O,O,O,X,X,X,X,O,X,X
TSZJOIL,O,O,O,X,O,X,X,X,X,O,X,X
TSZJOLI,O,O,O,O,O,X,X,X,X,O,X,X
TSZOILJ,O,O,O,X,O,O,O,X,X,O,X,O
TSZOIJL,O,O,X,X,O,O,O,X,X,O,X,X
TSZOLIJ,O,O,O,O,O,O,O,X,X,O,X,X
TSZOLJI,O,O,O,O,O,X,O,X,X,O,X,X
TSZOJIL,O,O,O,X,O,X,O,X,X,O,X,X
TSZOJLI,O,O,O,O,O,X,O,X,X,O,X,X
TSOILJZ,O,O,O,X,O,O,O,X,O,X,X,O
TSOILZJ,O,X,X,X,O,O,X,X,X,O,X,O
TSOIJLZ,O,O,O,X,O,O,O,X,O,X,X,O
TSOIJZL,O,X,O,X,O,O,X,X,X,X,X,X
TSOIZLJ,O,X,X,X,O,O,X,X,X,O,X,O
TSOIZJL,O,X,X,X,O,O,X,X,X,O,X,X
TSOLIJZ,O,O,O,X,O,O,X,X,X,X,X,O
TSOLIZJ,O,X,X,X,O,O,X,X,X,O,X,O
TSOLJIZ,O,O,O,X,O,O,X,X,X,X,X,X
TSOLJZI,O,O,O,O,O,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,O,O,O,X,X,X,O,X,X
TSOLZJI,O,O,O,O,O,X,X,X,X,O,X,X
TSOJILZ,O,O,O,X,O,O,O,X,O,X,X,O
TSOJIZL,O,X,O,X,O,O,X,X,X,X,X,X
TSOJLIZ,O,O,O,X,O,O,X,X,X,X,X,X
TSOJLZI,O,O,O,O,O,X,X,X,X,X,X,X
TSOJZIL,O,X,O,X,O,X,O,X,X,X,X,X
TSOJZLI,O,X,O,O,O,X,O,X,X,X,X,X
TSOZILJ,O,O,O,X,O,O,O,X,X,O,X,O
TSOZIJL,O,O,X,X,O,O,O,X,X,O,X,X
TSOZLIJ,O,O,O,O,O,O,O,X,X,O,X,X
TSOZLJI,O,O,O,O,O,X,O,X,X,O,X,X
TSOZJIL,O,O,O,X,O,X,O,X,X,O,X,X
TSOZJLI,O,O,O,O,O,X,O,X,X,O,X,X
TZILJSO,O,O,X,O,O,X,X,O,X,O,O,X
TZILJOS,O,X,X,O,O,X,O,O,O,X,X,X
TZILSJO,O,O,O,O,X,X,X,O,X,O,O,X
TZILSOJ,O,O,O,X,X,X,O,O,X,O,O,X
TZILOJS,O,X,X,O,O,X,O,O,O,X,X,X
TZILOSJ,O,X,X,X,X,X,O,O,X,X,X,X
TZIJLSO,O,O,O,O,O,X,X,O,X,O,O,X
TZIJLOS,O,X,X,O,O,X,O,O,O,X,X,X
TZIJSLO,O,O,O,X,O,O,X,O,X,O,O,X
TZIJSOL,O,O,O,X,O,O,X,O,X,O,O,X
TZIJOLS,O,X,O,O,O,X,O,O,O,X,X,X
TZIJOSL,O,X,O,X,O,O,O,O,X,X,X,X
TZISLJO,O,O,O,X,O,O,X,O,X,O,O,X
TZISLOJ,O,O,O,X,O,O,O,O,X,O,O,X
TZISJLO,O,O,O,X,O,O,X,O,X,O,O,X
TZISJOL,O,O,O,X,O,O,X,O,X,O,O,X
TZISOLJ,O,O,O,X,O,O,O,O,X,O,O,X
TZISOJL,O,O,X,X,O,O,O,O,X,O,O,X
TZIOLJS,O,X,X,O,O,X,O,O,O,X,X,X
TZIOLSJ,O,X,X,O,X,X,O,O,X,X,X,X
TZIOJLS,O,X,X,O,O,X,O,O,O,X,X,X
TZIOJSL,O,X,X,X,O,O,O,O,X,X,X,X
TZIOSLJ,O,X,O,X,O,O,O,O,X,X,X,X
TZIOSJL,O,X,X,X,O,O,O,O,X,X,X,X
TZLIJSO,O,O,X,O,O,X,X,O,X,O,X,X
TZLIJOS,O,X,X,O,O,X,O,O,X,X,X,X
TZLISJO,O,O,O,O,X,X,X,O,X,O,X,X
TZLISOJ,O,O,O,X,X,X,O,O,X,O,X,X
TZLIOJS,O,X,X,O,O,X,O,O,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,O,O,X,X,X,X
TZLJISO,O,O,O,O,O,X,X,O,X,O,X,X
TZLJIOS,O,X,X,O,O,X,O,O,X,X,X,X
TZLJSIO,O,O,O,O,O,X,X,O,X,O,X,X
TZLJSOI,O,O,O,O,O,X,X,X,X,O,X,X
TZLJOIS,O,X,O,O,X,X,O,O,X,X,X,X
TZLJOSI,O,O,O,O,X,X,O,X,X,O,X,X
TZLSIJO,O,O,O,O,O,X,X,O,X,O,X,X
TZLSIOJ,O,O,O,X,O,X,O,O,X,O,X,X
TZLSJIO,O,O,O,O,O,X,X,O,X,O,X,X
TZLSJOI,O,O,O,O,O,X,X,X,X,O,X,X
TZLSOIJ,O,O,O,X,O,X,O,X,X,O,X,X
TZLSOJI,O,O,O,X,O,X,O,X,X,O,X,X
TZLOIJS,O,X,X,O,O,X,O,O,X,X,X,X
TZLOISJ,O,X,X,O,X,X,O,O,X,X,X,X
TZLOJIS,O,X,X,O,O,X,O,O,X,X,X,X
TZLOJSI,O,O,X,O,O,X,O,X,X,O,X,X
TZLOSIJ,O,O,X,O,O,X,O,X,X,O,X,X
TZLOSJI,O,O,X,O,O,X,O,X,X,O,X,X
TZJILSO,O,O,O,O,O,X,X,O,X,O,O,X
TZJILOS,O,X,X,O,O,X,O,O,O,X,X,X
TZJISLO,O,O,O,X,O,X,X,O,X,O,O,X
TZJISOL,O,O,O,X,O,X,X,O,X,O,O,X
TZJIOLS,O,X,O,O,O,X,O,O,O,X,X,X
TZJIOSL,O,X,O,X,O,X,O,O,X,X,X,X
TZJLISO,O,O,O,O,O,X,X,O,X,O,X,X
TZJLIOS,O,X,X,O,O,X,O,O,X,X,X,X
TZJLSIO,O,O,O,O,O,X,X,O,X,O,X,X
TZJLSOI,O,O,O,O,O,X,X,X,X,O,X,X
TZJLOIS,O,X,O,O,X,X,O,O,X,X,X,X
TZJLOSI,O,O,O,O,X,X,O,X,X,O,X,X
TZJSILO,O,O,O,X,O,X,X,O,X,O,X,X
TZJSIOL,O,O,O,X,O,X,X,O,X,O,X,X
TZJSLIO,O,O,O,O,O,X,X,O,X,O,X,X
TZJSLOI,O,O,O,O,O,X,X,X,X,O,X,X
TZJSOIL,O,O,O,X,O,X,X,X,X,O,X,X
TZJSOLI,O,O,O,O,O,X,X,X,X,O,X,X
TZJOILS,O,X,O,O,O,X,O,O,O,X,X,X
TZJOISL,O,X,O,X,O,X,O,O,X,X,X,X
TZJOLIS,O,X,O,O,O,X,O,O,X,X,X,X
TZJOLSI,O,O,O,O,O,X,O,X,X,O,X,X
TZJOSIL,O,O,O,X,O,X,O,X,X,O,X,X
TZJOSLI,O,O,O,O,O,X,O,X,X,O,X,X
TZSILJO,O,O,O,X,O,O,X,O,X,O,X,X
TZSILOJ,O,O,O,X,O,O,O,O,X,O,X,X
TZSIJLO,O,O,O,X,O,O,X,O,X,O,X,X
TZSIJOL,O,O,O,X,O,O,X,O,X,O,X,X
TZSIOLJ,O,O,O,X,O,O,O,O,X,O,X,X
TZSIOJL,O,O,X,X,O,O,O,O,X,O,X,X
TZSLIJO,O,O,O,O,O,O,X,O,X,O,X,X
TZSLIOJ,O,O,O,X,O,O,O,O,X,O,X,X
TZSLJIO,O,O,O,O,O,X,X,O,X,O,X,X
TZSLJOI,O,O,O,O,O,X,X,X,X,O,X,X
TZSLOIJ,O,O,O,X,O,O,O,X,X,O,X,X
TZSLOJI,O,O,O,X,O,X,O,X,X,O,X,X
TZSJILO,O,O,O,X,O,X,X,O,X,O,X,X
TZSJIOL,O,O,O,X,O,X,X,O,X,O,X,X
TZSJLIO,O,O,O,O,O,X,X,O,X,O,X,X
TZSJLOI,O,O,O,O,O,X,X,X,X,O,X,X
TZSJOIL,O,O,O,X,O,X,X,X,X,O,X,X
TZSJOLI,O,O,O,O,O,X,X,X,X,O,X,X
TZSOILJ,O,O,O,X,O,O,O,X,X,O,X,X
TZSOIJL,O,O,X,X,O,O,O,X,X,O,X,X
TZSOLIJ,O,O,O,O,O,O,O,X,X,O,X,X
TZSOLJI,O,O,O,O,O,X,O,X,X,O,X,X
TZSOJIL,O,O,O,X,O,X,O,X,X,O,X,X
TZSOJLI,O,O,O,O,O,X,O,X,X,O,X,X
TZOILJS,O,X,X,O,O,X,O,O,O,X,X,X
TZOILSJ,O,X,X,O,X,X,O,O,X,X,X,X
TZOIJLS,O,X,X,O,O,X,O,O,O,X,X,X
TZOIJSL,O,X,X,X,O,O,O,O,X,X,X,X
TZOISLJ,O,X,O,X,O,O,O,O,X,X,X,X
TZOISJL,O,X,X,X,O,O,O,O,X,X,X,X
TZOLIJS,O,X,X,O,O,X,O,O,X,X,X,X
TZOLISJ,O,X,X,O,X,X,O,O,X,X,X,X
TZOLJIS,O,X,X,O,O,X,O,O,X,X,X,X
TZOLJSI,O,O,X,O,O,X,O,X,X,O,X,X
TZOLSIJ,O,O,X,O,O,X,O,X,X,O,X,X
TZOLSJI,O,O,X,O,O,X,O,X,X,O,X,X
TZOJILS,O,X,O,O,O,X,O,O,O,X,X,X
TZOJISL,O,X,O,X,O,X,O,O,X,X,X,X
TZOJLIS,O,X,O,O,O,X,O,O,X,X,X,X
TZOJLSI,O,O,O,O,O,X,O,X,X,O,X,X
TZOJSIL,O,O,O,X,O,X,O,X,X,O,X,X
TZOJSLI,O,O,O,O,O,X,O,X,X,O,X,X
TZOSILJ,O,O,O,X,O,O,O,X,X,O,X,X
TZOSIJL,O,O,X,X,O,O,O,X,X,O,X,X
TZOSLIJ,O,O,O,O,O,O,O,X,X,O,X,X
TZOSLJI,O,O,O,O,O,X,O,X,X,O,X,X
TZOSJIL,O,O,O,X,O,X,O,X,X,O,X,X
TZOSJLI,O,O,O,O,O,X,O,X,X,O,X,X
TOILJSZ,X,X,X,X,X,O,O,X,O,X,X,X
TOILJZS,O,X,X,O,X,X,O,O,O,X,X,X
TOILSJZ,X,X,X,X,X,O,O,X,O,X,X,O
TOILSZJ,O,X,X,X,X,O,X,O,X,X,X,O
TOILZJS,O,X,X,O,X,X,O,O,O,X,X,X
TOILZSJ,O,X,X,O,X,X,X,O,X,X,X,X
TOIJLSZ,X,X,X,X,X,O,O,X,O,X,X,X
TOIJLZS,O,X,X,O,X,X,O,O,O,X,X,X
TOIJSLZ,X,X,O,X,O,O,O,X,O,X,X,X
TOIJSZL,X,X,O,X,O,O,X,X,X,X,X,X
TOIJZLS,O,X,O,O,O,X,O,O,O,X,X,X
TOIJZSL,O,X,O,X,O,O,O,O,X,X,X,X
TOISLJZ,X,X,O,X,O,O,O,X,O,X,X,O
TOISLZJ,O,X,X,X,O,O,X,O,X,X,X,O
TOISJLZ,X,X,O,X,O,O,O,X,O,X,X,O
TOISJZL,X,X,O,X,O,O,X,X,X,X,X,X
TOISZLJ,O,X,X,X,O,O,X,O,X,X,X,O
TOISZJL,O,X,X,X,O,O,X,O,X,X,X,X
TOIZLJS,O,X,X,O,O,X,O,O,O,X,X,X
TOIZLSJ,O,X,X,O,X,X,O,O,X,X,X,X
TOIZJLS,O,X,X,O,O,X,O,O,O,X,X,X
TOIZJSL,O,X,X,X,O,O,O,O,X,X,X,X
TOIZSLJ,O,X,X,X,O,O,O,O,X,X,X,X
TOIZSJL,O,X,X,X,O,O,O,O,X,X,X,X
TOLIJSZ,X,X,X,X,X,O,O,X,O,X,X,X
TOLIJZS,O,X,X,O,X,X,O,O,O,X,X,X
TOLISJZ,X,X,X,X,X,O,O,X,O,X,X,X
TOLISZJ,O,X,X,X,X,O,X,O,X,X,X,X
TOLIZJS,O,X,X,O,X,X,O,O,O,X,X,X
TOLIZSJ,O,X,X,O,X,X,X,O,X,X,X,X
TOLJISZ,X,X,X,X,X,X,O,X,O,X,X,X
TOLJIZS,O,X,X,O,X,X,O,X,O,X,X,X
TOLJSIZ,X,X,O,X,O,X,X,X,X,X,X,X
TOLJSZI,X,X,O,O,O,X,X,X,X,X,X,X
TOLJZIS,O,X,O,O,O,X,O,X,X,X,X,X
TOLJZSI,O,X,O,O,O,X,O,X,X,X,X,X
TOLSIJZ,O,O,O,X,O,O,X,X,X,X,X,X
TOLSIZJ,O,X,X,X,O,O,X,X,X,O,X,X
TOLSJIZ,O,O,O,X,O,O,X,X,X,X,X,X
TOLSJZI,O,O,O,O,O,X,X,X,X,X,X,X
TOLSZIJ,O,O,X,O,O,O,X,X,X,O,X,X
TOLSZJI,O,O,O,O,O,X,X,X,X,O,X,X
TOLZIJS,O,X,X,O,O,X,O,O,X,X,X,X
TOLZISJ,O,X,X,O,X,X,O,O,X,X,X,X
TOLZJIS,O,X,X,O,O,X,O,O,X,X,X,X
TOLZJSI,O,O,X,O,O,X,O,X,X,O,X,X
TOLZSIJ,O,O,X,O,O,X,O,X,X,O,X,X
TOLZSJI,O,O,X,O,O,X,O,X,X,O,X,X
TOJILSZ,X,X,X,X,X,O,O,X,O,X,X,X
TOJILZS,O,X,X,O,X,X,O,X,O,X,X,X
TOJISLZ,X,X,O,X,O,O,O,X,O,X,X,X
TOJISZL,X,X,O,X,O,O,X,X,X,X,X,X
TOJIZLS,O,X,O,O,O,X,O,X,O,X,X,X
TOJIZSL,O,X,O,X,O,O,O,X,X,X,X,X
TOJLISZ,X,X,X,X,X,X,O,X,O,X,X,X
TOJLIZS,O,X,X,O,X,X,O,X,O,X,X,X
TOJLSIZ,X,X,O,X,O,X,X,X,X,X,X,X
TOJLSZI,X,X,O,O,O,X,X,X,X,X,X,X
TOJLZIS,O,X,O,O,O,X,O,X,X,X,X,X
TOJLZSI,O,X,O,O,O,X,O,X,X,X,X,X
TOJSILZ,X,X,O,X,O,O,O,X,O,X,X,X
TOJSIZL,X,X,O,X,O,O,X,X,X,X,X,X
TOJSLIZ,X,X,O,X,O,O,X,X,X,X,X,X
TOJSLZI,X,X,O,O,O,X,X,X,X,X,X,X
TOJSZIL,X,X,O,X,O,X,O,X,X,X,X,X
TOJSZLI,X,X,O,O,O,X,O,X,X,X,X,X
TOJZILS,O,X,O,O,O,X,O,X,O,X,X,X
TOJZISL,O,X,O,X,O,X,O,X,X,X,X,X
TOJZLIS,O,X,O,O,O,X,O,X,X,X,X,X
TOJZLSI,O,X,O,O,O,X,O,X,X,X,X,X
TOJZSIL,O,X,O,X,O,X,O,X,X,X,X,X
TOJZSLI,O,X,O,O,O,X,O,X,X,X,X,X
TOSILJZ,O,O,O,X,O,O,O,X,O,X,X,O
TOSILZJ,O,X,X,X,O,O,X,X,X,O,X,O
TOSIJLZ,O,O,O,X,O,O,O,X,O,X,X,O
TOSIJZL,O,X,O,X,O,O,X,X,X,X,X,X
TOSIZLJ,O,X,X,X,O,O,X,X,X,O,X,O
TOSIZJL,O,X,X,X,O,O,X,X,X,O,X,X
TOSLIJZ,O,O,O,X,O,O,X,X,X,X,X,O
TOSLIZJ,O,X,X,X,O,O,X,X,X,O,X,O
TOSLJIZ,O,O,O,X,O,O,X,X,X,X,X,X
TOSLJZI,O,O,O,O,O,X,X,X,X,X,X,X
TOSLZIJ,O,O,O,O,O,O,X,X,X,O,X,X
TOSLZJI,O,O,O,O,O,X,X,X,X,O,X,X
TOSJILZ,O,O,O,X,O,O,O,X,O,X,X,O
TOSJIZL,O,X,O,X,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,O,X,O,O,X,X,X,X,X,X
TOSJLZI,O,O,O,O,O,X,X,X,X,X,X,X
TOSJZIL,O,X,O,X,O,X,O,X,X,X,X,X
TOSJZLI,O,X,O,O,O,X,O,X,X,X,X,X
TOSZILJ,O,O,O,X,O,O,O,X,X,O,X,O
TOSZIJL,O,O,X,X,O,O,O,X,X,O,X,X
TOSZLIJ,O,O,O,O,O,O,O,X,X,O,X,X
TOSZLJI,O,O,O,O,O,X,O,X,X,O,X,X
TOSZJIL,O,O,O,X,O,X,O,X,X,O,X,X
TOSZJLI,O,O,O,O,O,X,O,X,X,O,X,X
TOZILJS,O,X,X,O,O,X,O,O,O,X,X,X
TOZILSJ,O,X,X,O,X,X,O,O,X,X,X,X
TOZIJLS,O,X,X,O,O,X,O,O,O,X,X,X
TOZIJSL,O,X,X,X,O,O,O,O,X,X,X,X
TOZISLJ,O,X,O,X,O,O,O,O,X,X,X,X
TOZISJL,O,X,X,X,O,O,O,O,X,X,X,X
TOZLIJS,O,X,X,O,O,X,O,O,X,X,X,X
TOZLISJ,O,X,X,O,X,X,O,O,X,X,X,X
TOZLJIS,O,X,X,O,O,X,O,O,X,X,X,X
TOZLJSI,O,O,X,O,O,X,O,X,X,O,X,X
TOZLSIJ,O,O,X,O,O,X,O,X,X,O,X,X
TOZLSJI,O,O,X,O,O,X,O,X,X,O,X,X
TOZJILS,O,X,O,O,O,X,O,O,O,X,X,X
TOZJISL,O,X,O,X,O,X,O,O,X,X,X,X
TOZJLIS,O,X,O,O,O,X,O,O,X,X,X,X
TOZJLSI,O,O,O,O,O,X,O,X,X,O,X,X
TOZJSIL,O,O,O,X,O,X,O,X,X,O,X,X
TOZJSLI,O,O,O,O,O,X,O,X,X,O,X,X
TOZSILJ,O,O,O,X,O,O,O,X,X,O,X,X
TOZSIJL,O,O,X,X,O,O,O,X,X,O,X,X
TOZSLIJ,O,O,O,O,O,O,O,X,X,O,X,X
TOZSLJI,O,O,O,O,O,X,O,X,X,O,X,X
TOZSJIL,O,O,O,X,O,X,O,X,X,O,X,X
TOZSJLI,O,O,O,O,O,X,O,X,X,O,X,X
ITLJSZO,X,X,X,X,X,O,X,X,X,X,X,X
ITLJSOZ,X,X,X,X,X,O,X,X,O,X,X,X
ITLJZSO,O,X,X,O,X,X,X,O,X,X,X,X
ITLJZOS,O,X,X,O,X,X,X,O,O,X,X,X
ITLJOSZ,X,X,X,X,X,O,O,X,O,X,X,X
ITLJOZS,X,X,X,X,X,X,O,O,O,X,X,X
ITLSJZO,O,O,X,X,X,O,X,X,X,O,X,X
ITLSJOZ,X,O,X,X,X,O,X,X,O,X,X,O
ITLSZJO,O,O,X,X,X,O,X,O,X,O,X,X
ITLSZOJ,O,O,X,X,X,O,X,O,X,O,X,O
ITLSOJZ,O,O,X,X,X,O,O,X,O,X,X,O
ITLSOZJ,O,X,X,X,X,O,X,O,X,O,X,O
ITLZJSO,O,O,X,O,X,X,X,O,X,O,X,X
ITLZJOS,O,X,X,O,X,X,X,O,O,X,X,X
ITLZSJO,O,O,X,O,X,X,X,O,X,O,X,X
ITLZSOJ,O,O,X,X,X,X,X,O,X,O,X,X
ITLZOJS,O,X,X,O,X,X,O,O,O,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,O,X,X,X,X
ITLOJSZ,X,X,X,X,X,O,O,X,O,X,X,X
ITLOJZS,O,X,X,X,X,X,O,O,O,X,X,X
ITLOSJZ,X,X,X,X,X,O,O,X,O,X,X,O
ITLOSZJ,O,X,X,X,X,O,X,O,X,X,X,O
ITLOZJS,O,X,X,X,X,X,O,O,O,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,O,X,X,X,X
ITJLSZO,X,X,X,X,X,O,X,X,X,X,X,X
ITJLSOZ,X,X,X,X,X,O,X,X,O,X,X,X
ITJLZSO,X,X,X,O,X,X,X,O,X,X,X,X
ITJLZOS,X,X,X,O,X,X,X,O,O,X,X,X
ITJLOSZ,X,X,X,X,X,O,O,X,O,X,X,X
ITJLOZS,X,X,X,X,X,X,O,O,O,X,X,X
ITJSLZO,X,X,O,X,O,O,X,X,X,X,X,X
ITJSLOZ,X,X,O,X,X,O,X,X,O,X,X,X
ITJSZLO,X,X,O,X,O,O,X,X,X,X,X,X
ITJSZOL,X,X,O,X,O,O,X,X,X,X,X,X
ITJSOLZ,X,X,O,X,X,O,X,X,O,X,X,X
ITJSOZL,X,X,O,X,X,O,X,X,X,X,X,X
ITJZLSO,X,X,O,O,O,X,X,O,X,X,O,X
ITJZLOS,X,X,X,O,O,X,X,O,O,X,X,X
ITJZSLO,X,X,O,X,O,O,X,O,X,X,O,X
ITJZSOL,X,X,O,X,O,O,X,O,X,X,O,X
ITJZOLS,X,X,O,O,O,X,X,O,O,X,X,X
ITJZOSL,X,X,O,X,O,O,X,O,X,X,X,X
ITJOLSZ,X,X,X,X,X,O,O,X,O,X,X,X
ITJOLZS,X,X,X,O,X,X,O,O,O,X,X,X
ITJOSLZ,X,X,O,X,X,O,O,X,O,X,X,X
ITJOSZL,X,X,O,X,X,O,X,X,X,X,X,X
ITJOZLS,X,X,O,O,X,X,O,O,O,X,X,X
ITJOZSL,X,X,O,X,X,O,X,O,X,X,X,X
ITSLJZO,O,O,O,X,O,O,X,X,X,O,X,X
ITSLJOZ,X,O,O,X,X,O,X,X,O,X,X,O
ITSLZJO,O,O,O,X,O,O,X,O,X,O,X,X
ITSLZOJ,O,O,O,X,O,O,X,O,X,O,X,O
ITSLOJZ,O,O,O,X,O,O,O,X,O,X,X,O
ITSLOZJ,O,X,X,X,O,O,X,O,X,O,X,O
ITSJLZO,X,O,O,X,O,O,X,X,X,O,X,X
ITSJLOZ,X,O,O,X,X,O,X,X,O,X,X,O
ITSJZLO,X,O,O,X,O,O,X,X,X,O,X,X
ITSJZOL,X,X,O,X,O,O,X,X,X,O,X,X
ITSJOLZ,X,O,O,X,X,O,X,X,O,X,X,O
ITSJOZL,X,X,O,X,X,O,X,X,X,X,X,X
ITSZLJO,O,O,O,X,O,O,X,O,X,O,X,X
ITSZLOJ,O,O,O,X,O,O,X,O,X,O,X,O
ITSZJLO,O,O,O,X,O,O,X,O,X,O,X,X
ITSZJOL,O,O,O,X,O,O,X,O,X,O,X,X
ITSZOLJ,O,O,O,X,O,O,X,O,X,O,X,O
ITSZOJL,O,O,X,X,O,O,X,O,X,O,X,X
ITSOLJZ,O,O,O,X,O,O,O,X,O,X,X,O
ITSOLZJ,O,X,X,X,O,O,X,O,X,O,X,O
ITSOJLZ,O,O,O,X,O,O,O,X,O,X,X,O
ITSOJZL,O,X,O,X,O,O,X,X,X,X,X,X
ITSOZLJ,O,X,X,X,O,O,X,O,X,O,X,O
ITSOZJL,O,X,X,X,O,O,X,O,X,O,X,X
