sequence,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBmiB5oBKsBft?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBZnBGjBqsB/t?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NeRBJvhF3iBcoBTlBOrBFs?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB/nBaoB5oBFr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBOnBXjBStBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBOsBXoBFr?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFZnBGjBTlBcrBqs?B/tB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFmiB5oBTlBftBir?BUsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBinB+tBFr?B3sB,v115@9gC8GeB8HeB8HeD8AeA8Ne3AJvhFziB5oBlmBUnBmq?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF/nBaoB5oBTlBcr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB+oB3nBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB5oBFrBms?B3sB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB2nB5oB3nBFr?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF5oBTlBcrBinB3s?BmsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB5oBinBFrB3s?BmsB
ISZJLOT,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
ISZJOTL,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
ISZJOLT,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZOTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
ISZOLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
ISZOLJT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISZOJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISZOJLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOTLJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOTJLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOTZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOLTJZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ISOLJTZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ISOLZTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ISOLZJT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ISOJTLZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISOJTZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
ISOJZTL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
ISOJZLT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
ISOZTLJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ISOZTJL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O
ISOZLTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ISOZLJT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ISOZJTL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
ISOZJLT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IZTLJSO,O,O,X,O,O,O,O,X,X,X,O,O,O,O,X,X
IZTLJOS,O,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X
IZTLSJO,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,O
IZTLSOJ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O
IZTLOJS,O,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X
IZTLOSJ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O
IZTJLSO,O,O,X,O,O,O,O,X,X,X,O,O,O,O,X,X
IZTJLOS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
IZTJSLO,O,X,X,O,O,X,X,X,O,X,O,O,O,X,X,O
IZTJSOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
IZTJOLS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
IZTJOSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
IZTSLJO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZTSLOJ,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O
IZTSJLO,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,O
IZTSJOL,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O
IZTSOLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZTSOJL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,O
IZTOLJS,O,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X
IZTOLSJ,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,O
IZTOJLS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
IZTOJSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
IZTOSLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZTOSJL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,O
IZLTJSO,O,O,X,O,O,O,O,X,X,X,O,O,O,O,X,X
IZLTJOS,O,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X
IZLTSJO,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,O
IZLTSOJ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O
IZLTOJS,O,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X
IZLTOSJ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O
IZLJTSO,O,O,X,O,O,O,O,X,X,O,O,O,O,O,X,X
IZLJTOS,O,O,X,O,O,O,X,X,X,O,X,O,O,O,X,X
IZLJSTO,O,O,X,O,O,O,O,X,X,O,O,O,O,O,X,X
IZLJSOT,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X
IZLJOTS,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X
IZLJOST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLSTJO,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,O
IZLSTOJ,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,O
IZLSJTO,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,O
IZLSJOT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O
IZLSOJT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOTJS,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X
IZLOTSJ,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X
IZLOJTS,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X
IZLOJST,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,O,O,O,O,X,X,O,O,O,O,O,X,X
IZJTLOS,O,O,X,O,O,O,X,X,O,O,X,O,O,O,X,X
IZJTSLO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
IZJTSOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
IZJTOLS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
IZJTOSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
IZJLTSO,O,O,X,O,O,O,O,X,X,O,O,O,O,O,X,X
IZJLTOS,O,O,X,O,O,O,X,X,O,O,X,O,O,O,X,X
IZJLSTO,O,O,X,O,O,O,O,X,O,O,O,O,O,O,X,X
IZJLSOT,O,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X
IZJLOTS,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X
IZJLOST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJSTLO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
IZJSTOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
IZJSLTO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
IZJSLOT,O,X,X,O,O,X,X,X,O,O,O,O,X,X,X,X
IZJSOTL,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
IZJSOLT,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
IZJOTLS,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X
IZJOTSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X
IZJOLTS,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZJOLST,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZJOSTL,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
IZJOSLT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
IZSTLJO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSTLOJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSTJLO,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,O
IZSTJOL,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O
IZSTOLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZSTOJL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,O
IZSLTJO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
IZSLTOJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSLJTO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
IZSLJOT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,O
IZSLOJT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IZSJTLO,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,O
IZSJTOL,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O
IZSJLTO,O,O,X,O,O,X,O,O,X,X,O,O,O,X,X,O
IZSJLOT,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
IZSJOTL,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
IZSJOLT,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSOTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IZSOLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IZSOLJT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZSOJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZSOJLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTLJS,O,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X
IZOTLSJ,O,O,X,X,O,X,O,O,X,X,X,X,X,O,O,O
IZOTJLS,O,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X
IZOTJSL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,O
IZOTSLJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,O
IZOTSJL,X,X,X,O,O,X,X,O,X,X,O,O,O,X,O,O
IZOLTJS,O,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X
IZOLTSJ,O,O,X,X,O,X,O,O,X,X,X,X,X,O,O,X
IZOLJTS,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X
IZOLJST,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZOLSTJ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZOLSJT,O,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZOJTLS,X,X,X,O,O,X,O,X,X,X,O,O,O,X,X,X
IZOJTSL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X
IZOJLTS,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IZOJLST,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZOJSTL,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IZOJSLT,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IZOSTLJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IZOSTJL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O
IZOSLTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IZOSLJT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOSJTL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZOSJLT,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOTLJSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTLSZJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTLZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTJLSZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTJSZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTJZLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTJZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOTSLZJ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X
IOTSJLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOTZLJS,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTZJLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTZJSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTZSLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZSJL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOLTJSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLTSZJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLTZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLJTZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOLJSZT,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X
IOLJZTS,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X
IOLJZST,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
IOLSJTZ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLSJZT,O,O,O,X,O,X,O,O,X,O,X,X,X,X,O,X
IOLSZTJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOLSZJT,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOLZTJS,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X
IOLZTSJ,O,O,O,X,O,X,O,O,X,O,X,X,X,O,O,X
IOLZJTS,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X
IOLZJST,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IOLZSTJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOLZSJT,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOJTLSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJTLZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOJTSZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJTZLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJLTZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLSTZ,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOJLSZT,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X
IOJLZTS,X,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X
IOJLZST,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IOJSTLZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOJSTZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJSLTZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOJSLZT,X,X,O,O,X,X,X,O,X,O,O,O,X,X,O,X
IOJSZTL,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X
IOJSZLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X
IOJZTLS,X,X,O,O,O,X,O,X,X,X,O,O,O,X,X,X
IOJZTSL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X
IOJZLTS,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IOJZLST,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJZSTL,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IOJZSLT,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IOSTLJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
IOSTJLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOSLTJZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOSLJTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOSLZTJ,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O
IOSLZJT,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOSJTLZ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSJTZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOSJLZT,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X
IOSJZTL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOSJZLT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOSZTLJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IOSZTJL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O
IOSZLTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IOSZLJT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOSZJTL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOSZJLT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZTLJS,O,O,O,O,O,X,O,X,X,X,O,O,O,O,X,X
IOZTLSJ,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,O
IOZTJLS,O,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X
IOZTJSL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,O
IOZTSLJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,O
IOZTSJL,X,X,X,O,O,X,O,O,X,X,O,O,O,X,O,O
IOZLTJS,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X
IOZLTSJ,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,X
IOZLJTS,X,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X
IOZLJST,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
IOZLSTJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOZLSJT,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
IOZJTLS,X,X,O,O,O,X,O,X,X,X,O,O,O,X,X,X
IOZJTSL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X
IOZJLTS,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IOZJLST,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
IOZJSTL,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IOZJSLT,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IOZSTLJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IOZSTJL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O
IOZSLTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IOZSLJT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOZSJTL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZSJLT,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
LTIJSZO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTIJZSO,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIJZOS,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIJOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISJZO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTISJOZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTISZJO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTISOJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIZJSO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIZJOS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIZSJO,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
LTIZSOJ,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
LTIZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIZOSJ,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
LTIOJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOJZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTIOSZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIOZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJISZO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJIZSO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LTJIZOS,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIZO,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJSZIO,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTJSZOI,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZISO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LTJZIOS,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LTJZSIO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LTJZSOI,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LTJZOIS,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LTJZOSI,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
LTJOISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSIJZO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTSIZJO,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSIOJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTSIOZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X
