sequence,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFVhBUdBGeBynBTm?BXsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhF3dBcjBFhBGnBim?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhBXiB8nBim?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFlcBGeBamBXiB8n?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFciBTeB6rB3nBFm?BmrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhB8mBziBim?BXsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhF3dBcjB6rBTnBFm?BmrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFTeBFhB0iBasB/r?BGsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhBziB3mBKn?B0rB
TZIOJSL,O,O,O,O,X,X,X,X,X
TZIOSLJ,O,X,O,O,X,X,O,O,X
TZIOSJL,O,O,O,O,X,X,X,X,X
TZLIJSO,O,O,O,O,X,X,X,X,X
TZLIJOS,O,X,X,O,X,X,X,O,X
TZLISJO,O,O,O,O,X,X,X,X,X
TZLISOJ,X,X,X,O,X,X,X,O,X
TZLIOJS,O,O,X,O,X,X,O,O,X
TZLIOSJ,X,X,X,O,X,X,O,O,X
TZLJISO,O,O,O,O,X,X,X,X,X
TZLJIOS,O,X,X,O,X,X,X,O,X
TZLJSIO,O,O,O,O,X,X,X,X,X
TZLJSOI,X,O,O,O,X,X,X,X,X
TZLJOIS,O,X,X,O,X,X,X,O,X
TZLJOSI,X,X,X,O,X,X,X,O,X
TZLSIJO,O,O,O,O,X,X,X,X,X
TZLSIOJ,X,X,X,O,X,X,X,O,X
TZLSJIO,O,O,O,O,X,X,X,X,X
TZLSJOI,X,O,O,O,X,X,X,X,X
TZLSOIJ,X,X,X,O,X,X,X,O,X
TZLSOJI,X,X,X,O,X,X,X,O,X
TZLOIJS,O,O,X,O,X,X,O,O,X
TZLOISJ,X,X,X,O,X,X,O,O,X
TZLOJIS,O,O,X,O,X,X,O,O,X
TZLOJSI,X,O,X,O,X,X,O,O,X
TZLOSIJ,X,X,X,O,X,X,O,O,X
TZLOSJI,X,X,X,O,X,X,O,O,X
TZJILSO,O,O,O,O,X,X,X,X,X
TZJILOS,O,X,X,O,X,X,X,X,X
TZJISLO,O,O,O,O,X,X,X,X,X
TZJISOL,O,O,O,O,X,X,X,X,X
TZJIOLS,O,O,O,X,X,X,X,O,X
TZJIOSL,X,O,O,O,X,X,X,X,X
TZJLISO,O,O,O,O,X,X,X,X,X
TZJLIOS,O,X,X,O,X,X,X,X,X
TZJLSIO,O,O,O,O,X,X,X,X,X
TZJLSOI,X,O,O,O,X,X,X,X,X
TZJLOIS,O,X,X,O,X,X,X,X,X
TZJLOSI,X,X,X,O,X,X,X,X,X
TZJSILO,O,O,O,O,X,X,X,X,X
TZJSIOL,O,O,O,O,X,X,X,X,X
TZJSLIO,O,O,O,O,X,X,X,X,X
TZJSLOI,O,O,O,O,X,X,X,X,X
TZJSOIL,O,O,O,O,X,X,X,X,X
TZJSOLI,X,O,O,X,X,X,X,X,X
TZJOILS,O,O,O,X,X,X,X,O,X
TZJOISL,X,O,O,O,X,X,X,X,X
TZJOLIS,X,O,O,O,X,X,X,O,X
TZJOLSI,X,O,O,O,X,X,X,O,X
TZJOSIL,X,O,O,O,X,X,X,X,X
TZJOSLI,X,O,O,O,X,X,X,X,X
TZSILJO,O,O,O,O,X,X,X,X,X
TZSILOJ,O,X,X,X,X,X,X,X,X
TZSIJLO,O,O,O,O,X,X,X,X,X
TZSIJOL,O,O,O,O,X,X,X,X,X
TZSIOLJ,O,X,X,X,X,X,O,O,O
TZSIOJL,O,O,O,O,X,X,X,X,O
TZSLIJO,O,O,O,O,X,X,X,X,X
TZSLIOJ,O,X,X,O,X,X,X,X,X
TZSLJIO,O,O,O,O,X,X,X,X,X
TZSLJOI,O,O,O,O,X,X,X,X,X
TZSLOIJ,O,X,X,O,X,X,X,X,X
TZSLOJI,O,X,X,O,X,X,X,X,X
TZSJILO,O,O,O,O,X,X,X,X,X
TZSJIOL,O,O,O,O,X,X,X,X,X
TZSJLIO,O,O,O,O,X,X,X,X,X
TZSJLOI,O,O,O,O,X,X,X,X,X
TZSJOIL,O,O,O,O,X,X,X,X,X
TZSJOLI,X,O,O,X,X,X,X,X,X
TZSOILJ,O,X,X,X,X,X,O,O,O
TZSOIJL,O,O,O,O,X,X,X,X,O
TZSOLIJ,O,X,X,X,X,X,O,O,O
TZSOLJI,O,X,X,X,X,X,O,O,O
TZSOJIL,O,O,O,O,X,X,X,X,O
TZSOJLI,X,O,O,X,X,X,X,X,O
TZOILJS,O,O,O,X,X,X,O,O,X
TZOILSJ,O,X,O,X,X,X,O,O,X
TZOIJLS,O,O,O,X,X,X,X,O,X
TZOIJSL,O,O,O,O,X,X,X,X,X
TZOISLJ,O,X,O,O,X,X,O,O,X
TZOISJL,O,O,O,O,X,X,X,X,X
TZOLIJS,O,O,O,O,X,X,O,O,X
TZOLISJ,O,X,O,O,X,X,O,O,X
TZOLJIS,O,O,O,O,X,X,O,O,X
TZOLJSI,O,O,O,O,X,X,O,O,X
TZOLSIJ,O,X,O,O,X,X,O,O,X
TZOLSJI,O,X,O,O,X,X,O,O,X
TZOJILS,O,O,O,X,X,X,X,O,X
TZOJISL,O,O,O,O,X,X,X,X,X
TZOJLIS,O,O,O,O,X,X,X,O,X
TZOJLSI,O,O,O,O,X,X,X,O,X
TZOJSIL,O,O,O,O,X,X,X,X,X
TZOJSLI,X,O,O,O,X,X,X,X,X
TZOSILJ,O,X,O,O,X,X,O,O,X
TZOSIJL,O,O,O,O,X,X,X,X,X
TZOSLIJ,O,X,O,O,X,X,O,O,X
TZOSLJI,O,X,O,O,X,X,O,O,X
TZOSJIL,O,O,O,O,X,X,X,X,X
TZOSJLI,X,O,O,O,X,X,X,X,X
TOILJSZ,O,X,X,X,X,X,X,X,X
TOILJZS,O,X,X,X,X,X,X,X,X
TOILSJZ,O,X,X,X,X,X,X,X,X
TOILSZJ,O,X,X,X,O,X,X,X,X
TOILZJS,O,O,O,X,X,X,O,O,X
TOILZSJ,O,X,O,X,X,X,O,O,X
TOIJLSZ,O,X,X,X,X,X,X,X,X
TOIJLZS,O,O,X,X,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,X,X,X,O
TOIJSZL,O,O,X,X,X,O,X,X,O
TOIJZLS,O,O,O,X,X,X,X,O,X
TOIJZSL,O,O,O,O,X,X,X,X,X
TOISLJZ,O,X,X,X,X,X,X,X,O
TOISLZJ,O,X,X,O,O,X,X,X,O
TOISJLZ,O,X,X,X,X,X,X,X,O
TOISJZL,O,X,X,O,X,O,X,X,O
TOISZLJ,O,X,O,O,O,O,X,O,O
TOISZJL,O,O,O,O,X,O,X,X,O
TOIZLJS,O,O,O,X,X,X,O,O,X
TOIZLSJ,O,X,O,X,X,X,O,O,X
TOIZJLS,O,O,O,X,X,X,X,O,X
TOIZJSL,O,O,O,O,X,X,X,X,X
TOIZSLJ,O,X,O,O,X,X,O,O,X
TOIZSJL,O,O,O,O,X,X,X,X,X
TOLIJSZ,O,X,X,O,X,X,X,X,X
TOLIJZS,O,X,X,O,X,X,X,X,X
TOLISJZ,O,X,X,O,X,X,X,X,X
TOLISZJ,O,X,X,O,O,X,X,X,X
TOLIZJS,O,O,O,O,X,X,O,O,X
TOLIZSJ,O,X,O,O,X,X,O,O,X
TOLJISZ,O,X,X,O,X,X,X,X,X
TOLJIZS,O,X,X,O,X,X,X,X,X
TOLJSIZ,O,X,X,O,X,X,X,X,X
TOLJSZI,O,X,X,O,X,X,X,X,X
TOLJZIS,O,X,X,O,X,X,X,X,X
TOLJZSI,O,X,X,O,X,X,X,X,X
TOLSIJZ,O,X,X,O,X,X,X,X,X
TOLSIZJ,O,X,X,O,O,X,X,X,X
TOLSJIZ,O,X,X,O,X,X,X,X,X
TOLSJZI,O,X,X,O,X,X,X,X,X
TOLSZIJ,O,X,X,O,O,X,X,X,X
TOLSZJI,O,X,X,O,O,X,X,X,X
TOLZIJS,O,O,O,O,X,X,O,O,X
TOLZISJ,O,X,O,O,X,X,O,O,X
TOLZJIS,O,O,O,O,X,X,O,O,X
TOLZJSI,O,O,O,O,X,X,O,O,X
TOLZSIJ,O,X,O,O,X,X,O,O,X
TOLZSJI,O,X,O,O,X,X,O,O,X
TOJILSZ,O,X,X,X,X,X,X,X,X
TOJILZS,O,O,X,X,X,X,X,X,X
TOJISLZ,O,X,X,X,X,X,X,X,O
TOJISZL,O,O,X,X,X,O,X,X,O
TOJIZLS,O,O,O,X,X,X,X,O,X
TOJIZSL,O,O,O,O,X,X,X,X,X
TOJLISZ,O,X,X,O,X,X,X,X,X
TOJLIZS,O,O,X,O,X,X,X,X,X
TOJLSIZ,O,X,X,O,X,X,X,X,X
TOJLSZI,O,X,X,X,X,X,X,X,X
TOJLZIS,O,O,X,O,X,X,X,X,X
TOJLZSI,O,O,X,O,X,X,X,X,X
TOJSILZ,O,X,X,X,X,X,X,X,O
TOJSIZL,O,O,X,X,X,O,X,X,O
TOJSLIZ,O,X,X,X,X,X,X,X,O
TOJSLZI,O,X,X,X,X,X,X,X,O
TOJSZIL,O,O,X,X,X,O,X,X,O
TOJSZLI,X,O,X,X,X,O,X,X,O
TOJZILS,O,O,O,X,X,X,X,O,X
TOJZISL,O,O,O,O,X,X,X,X,X
TOJZLIS,O,O,O,O,X,X,X,O,X
TOJZLSI,O,O,O,O,X,X,X,O,X
TOJZSIL,O,O,O,O,X,X,X,X,X
TOJZSLI,X,O,O,O,X,X,X,X,X
TOSILJZ,O,X,X,X,X,X,X,X,O
TOSILZJ,O,X,X,O,O,X,X,X,O
TOSIJLZ,O,X,X,X,X,X,X,X,O
TOSIJZL,O,X,X,O,X,O,X,X,O
TOSIZLJ,O,X,O,O,O,O,X,O,O
TOSIZJL,O,O,O,O,X,O,X,X,O
TOSLIJZ,O,X,X,O,X,X,X,X,O
TOSLIZJ,O,X,X,O,O,X,X,X,O
TOSLJIZ,O,X,X,O,X,X,X,X,O
TOSLJZI,O,X,X,O,X,X,X,X,O
TOSLZIJ,O,X,X,O,O,X,X,X,O
TOSLZJI,O,X,X,O,O,X,X,X,O
TOSJILZ,O,X,X,X,X,X,X,X,O
TOSJIZL,O,X,X,O,X,O,X,X,O
TOSJLIZ,O,X,X,X,X,X,X,X,O
TOSJLZI,O,X,X,X,X,X,X,X,O
TOSJZIL,O,X,X,O,X,O,X,X,O
TOSJZLI,X,X,X,O,X,O,X,X,O
TOSZILJ,O,X,O,O,O,O,X,O,O
TOSZIJL,O,O,O,O,X,O,X,X,O
TOSZLIJ,O,X,O,O,O,O,X,O,O
TOSZLJI,O,X,O,O,O,O,X,O,O
TOSZJIL,O,O,O,O,X,O,X,X,O
TOSZJLI,X,O,O,O,X,O,X,X,O
TOZILJS,O,O,O,X,X,X,O,O,X
TOZILSJ,O,X,O,X,X,X,O,O,X
TOZIJLS,O,O,O,X,X,X,X,O,X
TOZIJSL,O,O,O,O,X,X,X,X,X
TOZISLJ,O,X,O,O,X,X,O,O,X
TOZISJL,O,O,O,O,X,X,X,X,X
TOZLIJS,O,O,O,O,X,X,O,O,X
TOZLISJ,O,X,O,O,X,X,O,O,X
TOZLJIS,O,O,O,O,X,X,O,O,X
TOZLJSI,O,O,O,O,X,X,O,O,X
TOZLSIJ,O,X,O,O,X,X,O,O,X
TOZLSJI,O,X,O,O,X,X,O,O,X
TOZJILS,O,O,O,X,X,X,X,O,X
TOZJISL,O,O,O,O,X,X,X,X,X
TOZJLIS,O,O,O,O,X,X,X,O,X
TOZJLSI,O,O,O,O,X,X,X,O,X
TOZJSIL,O,O,O,O,X,X,X,X,X
TOZJSLI,X,O,O,O,X,X,X,X,X
TOZSILJ,O,X,O,O,X,X,O,O,X
TOZSIJL,O,O,O,O,X,X,X,X,X
TOZSLIJ,O,X,O,O,X,X,O,O,X
TOZSLJI,O,X,O,O,X,X,O,O,X
TOZSJIL,O,O,O,O,X,X,X,X,X
TOZSJLI,X,O,O,O,X,X,X,X,X
ITLJSZO,O,X,X,O,X,X,X,X,X
ITLJSOZ,O,X,X,O,X,X,X,X,X
ITLJZSO,O,O,O,O,X,X,X,X,X
ITLJZOS,O,X,X,O,X,X,X,O,X
ITLJOSZ,O,X,X,O,X,X,X,X,X
ITLJOZS,O,X,X,O,X,X,X,X,X
ITLSJZO,O,X,X,O,X,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,X,X,X
ITLSZJO,O,X,X,O,O,X,X,X,X
ITLSZOJ,O,X,X,X,O,X,X,O,X
ITLSOJZ,O,X,X,O,X,X,X,X,O
ITLSOZJ,O,X,X,O,O,X,X,X,O
ITLZJSO,O,O,O,O,X,X,X,X,X
ITLZJOS,O,X,X,O,X,X,X,O,X
ITLZSJO,O,O,O,O,X,X,X,X,X
ITLZSOJ,X,X,X,O,X,X,X,O,X
ITLZOJS,O,O,X,O,X,X,O,O,X
ITLZOSJ,X,X,X,O,X,X,O,O,X
ITLOJSZ,O,X,X,O,X,X,X,X,X
ITLOJZS,O,X,X,O,X,X,X,X,X
ITLOSJZ,O,X,X,O,X,X,X,X,X
ITLOSZJ,O,X,X,O,O,X,X,X,X
ITLOZJS,O,O,O,O,X,X,O,O,X
ITLOZSJ,O,X,O,O,X,X,O,O,X
ITJLSZO,O,X,X,O,X,X,X,X,X
ITJLSOZ,O,X,X,O,X,X,X,X,X
ITJLZSO,O,O,O,O,X,X,X,X,X
ITJLZOS,O,X,X,O,X,X,X,O,X
ITJLOSZ,O,X,X,O,X,X,X,X,X
ITJLOZS,O,X,X,O,X,X,X,X,X
ITJSLZO,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X,X,X,X
ITJSZLO,O,O,O,X,X,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,X,X,X,X,O
ITJSOZL,O,X,X,X,X,O,X,X,O
ITJZLSO,O,O,O,O,X,X,X,X,X
ITJZLOS,O,X,X,O,X,X,X,X,X
ITJZSLO,O,O,O,O,X,X,X,X,X
ITJZSOL,O,O,O,O,X,X,X,X,X
ITJZOLS,O,O,O,X,X,X,X,O,X
ITJZOSL,X,O,O,O,X,X,X,X,X
ITJOLSZ,O,X,X,X,X,X,X,X,X
ITJOLZS,O,X,X,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,X,X,X,O
ITJOSZL,O,X,X,X,X,O,X,X,O
ITJOZLS,O,O,O,X,X,X,X,O,X
ITJOZSL,O,O,O,O,X,X,X,X,X
ITSLJZO,O,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,X
ITSLZJO,O,X,X,X,O,X,X,X,X
ITSLZOJ,O,X,X,X,O,X,X,O,X
ITSLOJZ,O,X,X,X,X,X,X,X,O
ITSLOZJ,O,X,X,X,O,X,X,X,O
ITSJLZO,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,X,X
ITSJZLO,O,O,O,X,X,X,X,X,X
ITSJZOL,O,O,O,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,X,X,X,O
ITSJOZL,O,X,X,X,X,O,X,X,O
ITSZLJO,O,O,O,X,O,X,X,X,X
ITSZLOJ,O,X,X,X,O,O,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X,X
ITSZJOL,O,O,O,X,X,O,X,X,X
ITSZOLJ,O,X,X,X,O,O,X,O,O
ITSZOJL,O,O,O,X,X,O,X,X,O
ITSOLJZ,O,X,X,X,X,X,X,X,O
ITSOLZJ,O,X,X,X,O,X,X,X,O
ITSOJLZ,O,X,X,X,X,X,X,X,O
ITSOJZL,O,X,X,X,X,O,X,X,O
ITSOZLJ,O,X,O,X,O,O,X,O,O
ITSOZJL,O,O,O,X,X,O,X,X,O
ITZLJSO,O,O,O,O,X,X,X,X,X
ITZLJOS,O,X,X,O,X,X,X,O,X
ITZLSJO,O,O,O,O,X,X,X,X,X
ITZLSOJ,X,X,X,O,X,X,X,O,X
ITZLOJS,O,O,X,O,X,X,O,O,X
ITZLOSJ,X,X,X,O,X,X,O,O,X
ITZJLSO,O,O,O,O,X,X,X,X,X
ITZJLOS,O,X,X,O,X,X,X,X,X
ITZJSLO,O,O,O,O,X,X,X,X,X
ITZJSOL,O,O,O,O,X,X,X,X,X
ITZJOLS,O,O,O,X,X,X,X,O,X
ITZJOSL,X,O,O,O,X,X,X,X,X
ITZSLJO,O,O,O,O,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X,X,X,X
ITZSJLO,O,O,O,O,X,X,X,X,X
ITZSJOL,O,O,O,O,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X,O,O,O
ITZSOJL,O,O,O,O,X,X,X,X,O
ITZOLJS,O,O,O,X,X,X,O,O,X
ITZOLSJ,O,X,O,X,X,X,O,O,X
ITZOJLS,O,O,O,X,X,X,X,O,X
ITZOJSL,O,O,O,O,X,X,X,X,X
ITZOSLJ,O,X,O,O,X,X,O,O,X
ITZOSJL,O,O,O,O,X,X,X,X,X
ITOLJSZ,O,X,X,X,X,X,X,X,X
ITOLJZS,O,X,X,X,X,X,X,X,X
ITOLSJZ,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,X,O,X,X,X,X
ITOLZJS,O,O,O,X,X,X,O,O,X
ITOLZSJ,O,X,O,X,X,X,O,O,X
ITOJLSZ,O,X,X,X,X,X,X,X,X
ITOJLZS,O,O,X,X,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,X,X,O
ITOJSZL,O,O,X,X,X,O,X,X,O
ITOJZLS,O,O,O,X,X,X,X,O,X
ITOJZSL,O,O,O,O,X,X,X,X,X
ITOSLJZ,O,X,X,X,X,X,X,X,O
ITOSLZJ,O,X,X,O,O,X,X,X,O
ITOSJLZ,O,X,X,X,X,X,X,X,O
ITOSJZL,O,X,X,O,X,O,X,X,O
ITOSZLJ,O,X,O,O,O,O,X,O,O
ITOSZJL,O,O,O,O,X,O,X,X,O
ITOZLJS,O,O,O,X,X,X,O,O,X
ITOZLSJ,O,X,O,X,X,X,O,O,X
ITOZJLS,O,O,O,X,X,X,X,O,X
ITOZJSL,O,O,O,O,X,X,X,X,X
ITOZSLJ,O,X,O,O,X,X,O,O,X
ITOZSJL,O,O,O,O,X,X,X,X,X
ILTJSZO,O,X,X,O,X,X,X,X,X
ILTJSOZ,O,X,X,O,X,X,X,X,X
ILTJZSO,O,O,O,O,X,X,X,X,X
ILTJZOS,O,X,X,O,X,X,X,O,X
ILTJOSZ,O,X,X,O,X,X,X,X,X
ILTJOZS,O,X,X,O,X,X,X,X,X
ILTSJZO,O,X,X,O,X,X,X,X,X
ILTSJOZ,O,X,X,O,X,X,X,X,X
ILTSZJO,O,X,X,O,O,X,X,X,X
ILTSZOJ,O,X,X,X,O,X,X,O,X
ILTSOJZ,O,X,X,O,X,X,X,X,O
ILTSOZJ,O,X,X,O,O,X,X,X,O
ILTZJSO,O,O,O,O,X,X,X,X,X
ILTZJOS,O,X,X,O,X,X,X,O,X
ILTZSJO,O,O,O,O,X,X,X,X,X
ILTZSOJ,X,X,X,O,X,X,X,O,X
ILTZOJS,O,O,X,O,X,X,O,O,X
ILTZOSJ,X,X,X,O,X,X,O,O,X
ILTOJSZ,O,X,X,O,X,X,X,X,X
ILTOJZS,O,X,X,O,X,X,X,X,X
ILTOSJZ,O,X,X,O,X,X,X,X,X
ILTOSZJ,O,X,X,O,O,X,X,X,X
ILTOZJS,O,O,O,O,X,X,O,O,X
ILTOZSJ,O,X,O,O,X,X,O,O,X
ILJTSZO,O,X,X,O,X,X,X,X,X
ILJTSOZ,O,X,X,O,X,X,X,X,X
ILJTZSO,O,O,O,O,X,X,X,X,X
ILJTZOS,O,X,X,O,X,X,X,O,X
ILJTOSZ,O,X,X,O,X,X,X,X,X
ILJTOZS,O,X,X,O,X,X,X,X,X
ILJSTZO,O,X,X,O,X,X,X,X,X
ILJSTOZ,O,X,X,O,X,X,X,X,X
ILJSZTO,O,X,X,O,O,X,X,X,X
ILJSZOT,O,X,X,O,O,X,X,X,X
ILJSOTZ,O,X,X,O,X,X,X,X,X
ILJSOZT,O,X,X,O,O,O,X,X,X
ILJZTSO,O,O,O,O,X,X,X,X,X
ILJZTOS,O,X,X,O,X,X,X,O,X
ILJZSTO,O,O,O,O,X,X,X,X,X
ILJZSOT,O,X,X,O,X,X,X,X,X
ILJZOTS,O,X,O,O,X,X,O,O,X
ILJZOST,O,X,O,O,X,X,O,X,X
ILJOTSZ,O,X,X,O,X,X,X,X,X
ILJOTZS,O,X,X,O,X,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X,O
ILJOSZT,O,X,X,O,O,O,X,X,X
ILJOZTS,O,X,O,O,X,X,O,X,X
ILJOZST,O,X,O,O,X,X,O,X,X
ILSTJZO,O,X,X,O,X,X,X,X,X
ILSTJOZ,O,X,X,O,X,X,X,X,X
ILSTZJO,O,X,X,O,O,X,X,X,X
ILSTZOJ,O,X,X,X,O,X,X,O,X
ILSTOJZ,O,X,X,O,X,X,X,X,O
ILSTOZJ,O,X,X,O,O,X,X,X,O
ILSJTZO,O,X,X,O,X,X,X,X,X
ILSJTOZ,O,X,X,O,X,X,X,X,X
ILSJZTO,O,X,X,O,O,X,X,X,X
ILSJZOT,O,X,X,O,O,X,X,X,X
ILSJOTZ,O,X,X,O,X,X,X,X,X
ILSJOZT,O,X,X,O,O,O,X,X,X
ILSZTJO,O,X,X,O,O,X,X,X,X
ILSZTOJ,O,X,X,O,O,O,X,O,X
ILSZJTO,O,X,X,O,O,X,X,X,X
ILSZJOT,O,X,X,O,O,X,X,X,X
ILSZOTJ,O,X,X,O,O,O,O,O,X
ILSZOJT,O,X,X,O,O,O,O,X,X
ILSOTJZ,O,X,X,O,X,X,X,X,O
ILSOTZJ,O,X,X,O,O,X,X,X,O
ILSOJTZ,O,X,X,O,X,X,X,X,O
ILSOJZT,O,X,X,O,O,O,X,X,X
ILSOZTJ,O,X,X,O,O,O,O,X,X
ILSOZJT,O,X,X,O,O,O,O,X,X
ILZTJSO,O,O,O,O,X,X,X,X,X
ILZTJOS,O,X,X,O,X,X,X,O,X
ILZTSJO,O,O,O,O,X,X,X,X,X
ILZTSOJ,X,X,X,O,X,X,X,O,X
ILZTOJS,O,O,X,O,X,X,O,O,X
ILZTOSJ,X,X,X,O,X,X,O,O,X
ILZJTSO,O,O,O,O,X,X,X,X,X
ILZJTOS,O,X,X,O,X,X,X,O,X
ILZJSTO,O,O,O,O,X,X,X,X,X
ILZJSOT,O,X,X,O,X,X,X,X,X
ILZJOTS,O,X,O,O,X,X,O,O,X
ILZJOST,O,X,O,O,X,X,O,X,X
ILZSTJO,O,O,O,O,O,X,X,X,X
ILZSTOJ,O,X,X,O,O,X,X,O,X
ILZSJTO,O,O,O,O,O,X,X,X,X
ILZSJOT,O,X,X,O,O,X,X,X,X
ILZSOTJ,O,X,X,O,O,X,O,O,X
ILZSOJT,O,O,X,O,O,X,O,X,X
ILZOTJS,O,O,O,O,X,X,O,O,X
ILZOTSJ,O,X,O,O,X,X,O,O,X
ILZOJTS,O,O,O,O,X,X,O,O,X
ILZOJST,O,O,O,O,X,X,O,X,X
ILZOSTJ,O,X,O,O,O,X,O,O,X
ILZOSJT,O,O,O,O,O,X,O,X,X
ILOTJSZ,O,X,X,O,X,X,X,X,X
ILOTJZS,O,X,X,O,X,X,X,X,X
ILOTSJZ,O,X,X,O,X,X,X,X,X
ILOTSZJ,O,X,X,O,O,X,X,X,X
ILOTZJS,O,O,O,O,X,X,O,O,X
ILOTZSJ,O,X,O,O,X,X,O,O,X
ILOJTSZ,O,X,X,O,X,X,X,X,X
ILOJTZS,O,O,X,O,X,X,X,X,X
ILOJSTZ,O,X,X,O,X,X,X,X,O
ILOJSZT,O,X,X,O,O,O,X,X,X
ILOJZTS,O,O,O,O,X,X,O,X,X
ILOJZST,O,O,O,O,X,X,O,X,X
ILOSTJZ,O,X,X,O,X,X,X,X,O
ILOSTZJ,O,X,X,O,O,X,X,X,O
ILOSJTZ,O,X,X,O,X,X,X,X,O
ILOSJZT,O,X,X,O,O,O,X,X,X
ILOSZTJ,O,X,X,O,O,O,O,X,X
ILOSZJT,O,X,X,O,O,O,O,X,X
ILOZTJS,O,O,O,O,X,X,O,O,X
ILOZTSJ,O,X,O,O,X,X,O,O,X
ILOZJTS,O,O,O,O,X,X,O,O,X
ILOZJST,O,O,O,O,X,X,O,X,X
ILOZSTJ,O,X,O,O,O,X,O,O,X
ILOZSJT,O,O,O,O,O,X,O,X,X
IJTLSZO,O,X,X,O,X,X,X,X,X
IJTLSOZ,O,X,X,O,X,X,X,X,X
IJTLZSO,O,O,O,O,X,X,X,X,X
IJTLZOS,O,X,X,O,X,X,X,O,X
IJTLOSZ,O,X,X,O,X,X,X,X,X
IJTLOZS,O,X,X,O,X,X,X,X,X
IJTSLZO,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X,O
IJTSOZL,O,X,X,X,X,O,X,X,O
IJTZLSO,O,O,O,O,X,X,X,X,X
IJTZLOS,O,X,X,O,X,X,X,X,X
IJTZSLO,O,O,O,O,X,X,X,X,X
IJTZSOL,O,O,O,O,X,X,X,X,X
IJTZOLS,O,O,O,X,X,X,X,O,X
IJTZOSL,X,O,O,O,X,X,X,X,X
IJTOLSZ,O,X,X,X,X,X,X,X,X
IJTOLZS,O,X,X,X,X,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X,X,O
IJTOSZL,O,X,X,X,X,O,X,X,O
IJTOZLS,O,O,O,X,X,X,X,O,X
IJTOZSL,O,O,O,O,X,X,X,X,X
IJLTSZO,O,X,X,O,X,X,X,X,X
IJLTSOZ,O,X,X,O,X,X,X,X,X
IJLTZSO,O,O,O,O,X,X,X,X,X
IJLTZOS,O,X,X,O,X,X,X,O,X
IJLTOSZ,O,X,X,O,X,X,X,X,X
IJLTOZS,O,X,X,O,X,X,X,X,X
IJLSTZO,O,X,X,O,X,X,X,X,X
IJLSTOZ,O,X,X,O,X,X,X,X,X
IJLSZTO,O,X,X,O,O,X,X,X,X
IJLSZOT,O,X,X,O,O,X,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,X,X
IJLSOZT,O,X,X,O,O,O,X,X,X
IJLZTSO,O,O,O,O,X,X,X,X,X
IJLZTOS,O,X,X,O,X,X,X,O,X
IJLZSTO,O,O,O,O,X,X,X,X,X
IJLZSOT,O,X,X,O,X,X,X,X,X
IJLZOTS,O,X,O,O,X,X,O,O,X
IJLZOST,O,X,O,O,X,X,O,X,X
IJLOTSZ,O,X,X,O,X,X,X,X,X
IJLOTZS,O,X,X,O,X,X,X,X,X
IJLOSTZ,O,X,X,O,X,X,X,X,O
IJLOSZT,O,X,X,O,O,O,X,X,X
IJLOZTS,O,X,O,O,X,X,O,X,X
IJLOZST,O,X,O,O,X,X,O,X,X
IJSTLZO,O,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X,X
IJSTZOL,O,O,O,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,O
IJSTOZL,O,X,X,X,X,O,X,X,O
IJSLTZO,O,X,X,O,X,X,X,X,X
IJSLTOZ,O,X,X,O,X,X,X,X,X
IJSLZTO,O,X,X,O,O,X,X,X,X
