sequence,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBFhB0?iBqrB/sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigB0mBl?nBGsBXsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jex6IvhFXcBmfB0mBl?nBCsBTsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxgB0iBigBl?mBXsBGsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jei6IvhFRcBciBFgBT?hB3nBWxB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigBFiB0?mBusBXsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBXdBigB1?nBGsB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigBlmB3?nB8rB+sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBFhBRnB6?sBXnB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jex6IvhFmfBFhBXiB0?iB6rBTsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBRhBlmB3?nB6sB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBUhBF?iBCsB3sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBRhB1nB/?mBUnBSxB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT9IvhFxfB0hBmfBF?hBCsB3sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBFhB8?mB3nBSxB
IZLOTSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IZLOJTS,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IZLOJST,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IZLOSTJ,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IZLOSJT,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IZJTLSO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IZJTSLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJTOLS,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IZJTOSL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJLTSO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJLTOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJLSTO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJLSOT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJLOST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJSTLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJSOLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJOTLS,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IZJOTSL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJOLTS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJOLST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJOSTL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IZJOSLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZSTLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IZSJOLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZSOJLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOTLJS,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOTLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZOTJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLTJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLTSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLJTS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLJST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLSTJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLSJT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOJTLS,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJLTS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOJLST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOJSTL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOJSLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOSTLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOSJLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTLJSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
IOTLJZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTLZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
IOTJLZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
IOTJSZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
IOTJZLS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOTSLJZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IOTSLZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X
IOTSJZL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IOTSZLJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOTSZJL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOTZLJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTZJSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTZSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOLJSZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IOLJZTS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
IOLJZST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLSTJZ,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOLSTZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOLSJTZ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOLSJZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IOLSZTJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X
IOLSZJT,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X
IOLZTJS,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IOLZTSJ,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X
IOLZJTS,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X
IOLZJST,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X
IOLZSTJ,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IOLZSJT,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOJTLSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
IOJTLZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
IOJTSZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
IOJTZLS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOJLTSZ,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X
IOJLTZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJLSTZ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
IOJLSZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IOJLZTS,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X
IOJLZST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJSTLZ,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
IOJSTZL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSLZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O
IOJSZLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOJZTLS,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X
IOJZTSL,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJZLTS,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJZLST,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJZSTL,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IOJZSLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSTLJZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOSTLZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOSTJZL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOSTZLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOSJTZL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IOSJZLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSZTLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSZTJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSZLTJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSZLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSZJTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSZJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IOZTLJS,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZTLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZTJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZTSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZLTJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZLTSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZLJTS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZLJST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZLSTJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZLSJT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZJTLS,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZJTSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZJLTS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZJLST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZJSTL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZJSLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZSTLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZSJLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTIJSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
LTIJOZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTISJZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTISJOZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LTISZJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
LTISOJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
LTIZJSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
LTIZOSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
LTIOJSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
LTIOJZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIOZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTJIZSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTJIZOS,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
LTJIOZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTJSIZO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJSIOZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJSZIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJSZOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJSOIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTJSOZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
LTJZISO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTJZIOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTJZSIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTJZSOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTJZOIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTJZOSI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTJOISZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
LTJOIZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTJOSIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
LTJOSZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
LTJOZIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LTJOZSI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
LTSIJZO,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X
LTSIJOZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSIZJO,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTSIZOJ,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X
LTSIOJZ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
LTSIOZJ,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X
LTSJIZO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSJIOZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSJZIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSJZOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSJOIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSJOZI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSZIJO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LTSZIOJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
LTSZJIO,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LTSZJOI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LTSZOIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
LTSZOJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LTSOIJZ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
LTSOIZJ,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X
LTSOJIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSOJZI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LTSOZIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
LTSOZJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LTZIJSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZIJOS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZISJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZISOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTZIOJS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
LTZIOSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTZJISO,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZJIOS,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZJSIO,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
LTZJSOI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
LTZJOIS,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZJOSI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
LTZSIJO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LTZSIOJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
LTZSJIO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X
LTZSJOI,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X
LTZSOIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
LTZSOJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LTZOIJS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
LTZOISJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTZOJIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTZOJSI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
LTZOSIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
LTZOSJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LTOIJSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
LTOIJZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTOISJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOISZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOIZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTOJISZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
LTOJIZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
LTOJSZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
LTOJZIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LTOJZSI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
LTOSIJZ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
LTOSIZJ,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
LTOSJIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
LTOSJZI,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
LTOSZIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
LTOSZJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LTOZIJS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOZISJ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOZJIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOZJSI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
LTOZSIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
LTOZSJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LITJSZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJSOZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LITJZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LITJZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LITJOSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LITJOZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LITSJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITSZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSZOJ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LITSOJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITSOZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LITZJSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LITZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
LITZOSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
LITOJSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LITOJZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LITOSJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITOSZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LITOZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJTSZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJTSOZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LIJTZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
