sequence,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB0dB6jB2nBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFicBzdB+jBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF0cB6jBemBziBXi?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF2hBCeBTjBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFCeBmhBTjBXmBcs?BlrB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB6jBmiBXiBVr?BcsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF/hBGeBUjBVrBTn?BasB
TOILSJZ,X,X,O,O,X,O,X
TOILSZJ,X,X,X,X,X,O,O
TOILZJS,X,X,O,X,O,O,O
TOILZSJ,X,X,X,X,O,O,O
TOIJLSZ,O,X,O,X,X,O,X
TOIJLZS,O,O,O,X,X,O,X
TOIJSLZ,O,X,O,X,X,O,X
TOIJSZL,O,O,O,X,X,X,O
TOIJZLS,O,O,O,X,X,O,O
TOIJZSL,O,O,O,X,X,O,O
TOISLJZ,X,X,O,O,X,O,X
TOISLZJ,X,X,X,O,X,O,O
TOISJLZ,X,X,O,O,X,O,X
TOISJZL,X,X,O,O,X,X,O
TOISZLJ,X,X,X,O,O,O,O
TOISZJL,X,X,X,O,O,O,O
TOIZLJS,X,O,O,X,O,O,O
TOIZLSJ,X,X,X,X,O,O,O
TOIZJLS,X,O,O,X,O,O,O
TOIZJSL,X,O,O,X,X,O,O
TOIZSLJ,X,X,X,X,O,O,O
TOIZSJL,X,X,X,X,O,O,O
TOLIJSZ,O,X,O,X,X,O,X
TOLIJZS,O,X,O,X,X,O,X
TOLISJZ,X,X,O,O,X,O,X
TOLISZJ,X,X,X,X,X,O,O
TOLIZJS,X,X,O,X,O,O,O
TOLIZSJ,X,X,X,X,O,O,O
TOLJISZ,O,X,O,X,X,O,X
TOLJIZS,O,X,O,X,X,O,X
TOLJSIZ,O,X,O,X,X,O,X
TOLJSZI,O,X,O,X,X,O,X
TOLJZIS,O,X,O,X,X,O,X
TOLJZSI,O,X,O,X,X,O,X
TOLSIJZ,X,X,O,O,X,O,X
TOLSIZJ,X,X,X,X,X,O,O
TOLSJIZ,X,X,O,O,X,O,X
TOLSJZI,X,X,O,O,X,O,X
TOLSZIJ,X,X,X,X,X,O,O
TOLSZJI,X,X,X,X,X,O,O
TOLZIJS,X,X,O,X,O,O,O
TOLZISJ,X,X,X,X,O,O,O
TOLZJIS,X,X,O,X,O,O,O
TOLZJSI,X,X,O,X,O,O,O
TOLZSIJ,X,X,X,X,O,O,O
TOLZSJI,X,X,X,X,O,O,O
TOJILSZ,O,X,O,X,X,O,X
TOJILZS,O,O,O,X,X,O,X
TOJISLZ,O,X,O,X,X,O,X
TOJISZL,O,O,O,X,X,X,O
TOJIZLS,O,O,O,X,X,O,O
TOJIZSL,O,O,O,X,X,O,O
TOJLISZ,O,X,O,X,X,O,X
TOJLIZS,O,O,O,X,X,O,X
TOJLSIZ,O,X,O,X,X,O,X
TOJLSZI,O,X,O,X,X,O,X
TOJLZIS,O,O,O,X,X,O,X
TOJLZSI,O,O,O,X,X,O,X
TOJSILZ,O,X,O,X,X,O,X
TOJSIZL,O,O,O,X,X,X,O
TOJSLIZ,O,X,O,X,X,O,X
TOJSLZI,O,X,O,X,X,O,X
TOJSZIL,O,O,O,X,X,X,O
TOJSZLI,O,O,O,X,X,X,O
TOJZILS,O,O,O,X,X,O,O
TOJZISL,O,O,O,X,X,O,O
TOJZLIS,O,O,O,X,X,O,O
TOJZLSI,O,O,O,X,X,O,O
TOJZSIL,O,O,O,X,X,O,O
TOJZSLI,O,O,O,X,X,O,O
TOSILJZ,X,X,O,O,X,O,X
TOSILZJ,X,X,X,O,X,O,O
TOSIJLZ,X,X,O,O,X,O,X
TOSIJZL,X,X,O,O,X,X,O
TOSIZLJ,X,X,X,O,O,O,O
TOSIZJL,X,X,X,O,O,O,O
TOSLIJZ,X,X,O,O,X,O,X
TOSLIZJ,X,X,X,O,X,O,O
TOSLJIZ,X,X,O,O,X,O,X
TOSLJZI,X,X,O,O,X,O,X
TOSLZIJ,X,X,X,O,X,O,O
TOSLZJI,X,X,X,O,X,O,O
TOSJILZ,X,X,O,O,X,O,X
TOSJIZL,X,X,O,O,X,X,O
TOSJLIZ,X,X,O,O,X,O,X
TOSJLZI,X,X,O,O,X,O,X
TOSJZIL,X,X,O,O,X,X,O
TOSJZLI,X,X,O,O,X,X,O
TOSZILJ,X,X,X,O,O,O,O
TOSZIJL,X,X,X,O,O,O,O
TOSZLIJ,X,X,X,O,O,O,O
TOSZLJI,X,X,X,O,O,O,O
TOSZJIL,X,X,X,O,O,O,O
TOSZJLI,X,X,X,O,O,O,O
TOZILJS,X,O,O,X,O,O,O
TOZILSJ,X,X,X,X,O,O,O
TOZIJLS,X,O,O,X,O,O,O
TOZIJSL,X,O,O,X,X,O,O
TOZISLJ,X,X,X,X,O,O,O
TOZISJL,X,X,X,X,O,O,O
TOZLIJS,X,O,O,X,O,O,O
TOZLISJ,X,X,X,X,O,O,O
TOZLJIS,X,O,O,X,O,O,O
TOZLJSI,X,O,O,X,O,O,O
TOZLSIJ,X,X,X,X,O,O,O
TOZLSJI,X,X,X,X,O,O,O
TOZJILS,X,O,O,X,O,O,O
TOZJISL,X,O,O,X,X,O,O
TOZJLIS,X,O,O,X,O,O,O
TOZJLSI,X,O,O,X,O,O,O
TOZJSIL,X,O,O,X,X,O,O
TOZJSLI,X,O,O,X,X,O,O
TOZSILJ,X,X,X,X,O,O,O
TOZSIJL,X,X,X,X,O,O,O
TOZSLIJ,X,X,X,X,O,O,O
TOZSLJI,X,X,X,X,O,O,O
TOZSJIL,X,X,X,X,O,O,O
TOZSJLI,X,X,X,X,O,O,O
ITLJSZO,O,X,X,X,X,X,X
ITLJSOZ,O,X,O,X,X,O,X
ITLJZSO,O,O,X,X,X,O,X
ITLJZOS,O,O,O,X,X,O,X
ITLJOSZ,O,X,O,X,X,O,X
ITLJOZS,O,O,O,X,X,O,X
ITLSJZO,O,X,X,X,X,X,X
ITLSJOZ,O,X,O,X,X,O,X
ITLSZJO,O,X,X,X,X,O,X
ITLSZOJ,O,X,X,X,X,O,X
ITLSOJZ,O,X,O,X,X,O,X
ITLSOZJ,O,X,X,X,X,O,O
ITLZJSO,O,O,X,X,X,O,X
ITLZJOS,O,O,O,X,X,O,X
ITLZSJO,X,O,X,X,X,O,X
ITLZSOJ,X,X,X,X,X,O,X
ITLZOJS,X,O,O,X,X,O,X
ITLZOSJ,X,X,X,X,X,O,X
ITLOJSZ,O,X,O,X,X,O,X
ITLOJZS,O,X,O,X,X,O,X
ITLOSJZ,X,X,O,X,X,O,X
ITLOSZJ,X,X,X,X,X,O,O
ITLOZJS,X,X,O,X,X,O,O
ITLOZSJ,X,X,X,X,X,O,O
ITJLSZO,O,X,X,X,X,X,X
ITJLSOZ,O,X,O,X,X,O,X
ITJLZSO,O,O,X,X,X,O,X
ITJLZOS,O,O,O,X,X,O,X
ITJLOSZ,O,X,O,X,X,O,X
ITJLOZS,O,O,O,X,X,O,X
ITJSLZO,O,O,X,X,X,X,X
ITJSLOZ,O,O,O,X,X,O,X
ITJSZLO,O,O,X,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X
ITJSOLZ,O,O,O,X,X,O,X
ITJSOZL,O,O,O,X,X,X,O
ITJZLSO,O,O,X,X,X,O,X
ITJZLOS,O,O,O,X,X,O,X
ITJZSLO,O,O,X,X,X,O,X
ITJZSOL,O,O,O,X,X,O,X
ITJZOLS,O,O,O,X,X,O,X
ITJZOSL,O,O,O,X,X,O,X
ITJOLSZ,O,X,O,X,X,O,X
ITJOLZS,O,O,O,X,X,O,X
ITJOSLZ,O,O,O,X,X,O,X
ITJOSZL,O,O,O,X,X,X,O
ITJOZLS,O,O,O,X,X,O,O
ITJOZSL,O,O,O,X,X,O,O
ITSLJZO,O,O,X,X,X,X,X
ITSLJOZ,O,O,O,O,X,O,X
ITSLZJO,O,O,X,X,X,O,X
ITSLZOJ,O,O,X,X,X,O,X
ITSLOJZ,O,O,O,O,X,O,X
ITSLOZJ,O,O,X,O,X,O,O
ITSJLZO,O,O,X,X,X,X,X
ITSJLOZ,O,O,O,O,X,O,X
ITSJZLO,O,O,X,X,X,X,X
ITSJZOL,O,O,O,O,X,X,X
ITSJOLZ,O,O,O,O,X,O,X
ITSJOZL,O,O,O,O,X,X,O
ITSZLJO,O,O,X,X,X,O,X
ITSZLOJ,O,O,X,X,X,O,X
ITSZJLO,O,O,X,X,X,O,X
ITSZJOL,O,O,X,O,O,O,X
ITSZOLJ,O,O,X,O,O,O,O
ITSZOJL,O,O,X,O,O,O,O
ITSOLJZ,O,O,O,O,X,O,X
ITSOLZJ,O,O,X,O,X,O,O
ITSOJLZ,O,O,O,O,X,O,X
ITSOJZL,O,O,O,O,X,X,O
ITSOZLJ,O,O,X,O,O,O,O
ITSOZJL,O,O,X,O,O,O,O
ITZLJSO,O,O,X,X,X,O,X
ITZLJOS,O,O,O,X,X,O,X
ITZLSJO,X,O,X,X,X,O,X
ITZLSOJ,X,X,X,X,X,O,X
ITZLOJS,X,O,O,X,X,O,X
ITZLOSJ,X,X,X,X,X,O,X
ITZJLSO,O,O,X,X,X,O,X
ITZJLOS,O,O,O,X,X,O,X
ITZJSLO,O,O,X,X,X,O,X
ITZJSOL,O,O,O,X,X,O,X
ITZJOLS,O,O,O,X,O,O,O
ITZJOSL,O,O,O,X,X,O,O
ITZSLJO,X,O,X,X,X,O,X
ITZSLOJ,X,X,X,X,X,O,X
ITZSJLO,X,O,X,X,X,O,X
ITZSJOL,X,O,X,X,O,O,X
ITZSOLJ,X,X,X,X,O,O,O
ITZSOJL,X,X,X,X,O,O,O
ITZOLJS,X,O,O,X,O,O,O
ITZOLSJ,X,X,X,X,O,O,O
ITZOJLS,X,O,O,X,O,O,O
ITZOJSL,X,O,O,X,X,O,O
ITZOSLJ,X,X,X,X,O,O,O
ITZOSJL,X,X,X,X,O,O,O
ITOLJSZ,O,X,O,X,X,O,X
ITOLJZS,O,X,O,X,X,O,X
ITOLSJZ,X,X,O,O,X,O,X
ITOLSZJ,X,X,X,X,X,O,O
ITOLZJS,X,X,O,X,O,O,O
ITOLZSJ,X,X,X,X,O,O,O
ITOJLSZ,O,X,O,X,X,O,X
ITOJLZS,O,O,O,X,X,O,X
ITOJSLZ,O,X,O,X,X,O,X
ITOJSZL,O,O,O,X,X,X,O
ITOJZLS,O,O,O,X,X,O,O
ITOJZSL,O,O,O,X,X,O,O
ITOSLJZ,X,X,O,O,X,O,X
ITOSLZJ,X,X,X,O,X,O,O
ITOSJLZ,X,X,O,O,X,O,X
ITOSJZL,X,X,O,O,X,X,O
ITOSZLJ,X,X,X,O,O,O,O
ITOSZJL,X,X,X,O,O,O,O
ITOZLJS,X,O,O,X,O,O,O
ITOZLSJ,X,X,X,X,O,O,O
ITOZJLS,X,O,O,X,O,O,O
ITOZJSL,X,O,O,X,X,O,O
ITOZSLJ,X,X,X,X,O,O,O
ITOZSJL,X,X,X,X,O,O,O
ILTJSZO,O,X,X,X,X,X,X
ILTJSOZ,O,X,O,X,X,O,X
ILTJZSO,O,O,X,X,X,O,X
ILTJZOS,O,O,O,X,X,O,X
ILTJOSZ,O,X,O,X,X,O,X
ILTJOZS,O,O,O,X,X,O,X
ILTSJZO,O,X,X,X,X,X,X
ILTSJOZ,O,X,O,X,X,O,X
ILTSZJO,O,X,X,X,X,O,X
ILTSZOJ,O,X,X,X,X,O,X
ILTSOJZ,O,X,O,X,X,O,X
ILTSOZJ,O,X,X,X,X,O,O
ILTZJSO,O,O,X,X,X,O,X
ILTZJOS,O,O,O,X,X,O,X
ILTZSJO,X,O,X,X,X,O,X
ILTZSOJ,X,X,X,X,X,O,X
ILTZOJS,X,O,O,X,X,O,X
ILTZOSJ,X,X,X,X,X,O,X
ILTOJSZ,O,X,O,X,X,O,X
ILTOJZS,O,X,O,X,X,O,X
ILTOSJZ,X,X,O,X,X,O,X
ILTOSZJ,X,X,X,X,X,O,O
ILTOZJS,X,X,O,X,X,O,O
ILTOZSJ,X,X,X,X,X,O,O
ILJTSZO,O,X,X,X,X,X,X
ILJTSOZ,O,X,O,X,X,O,X
ILJTZSO,O,O,X,X,X,O,X
ILJTZOS,O,O,O,X,X,O,X
ILJTOSZ,O,X,O,X,X,O,X
ILJTOZS,O,O,O,X,X,O,X
ILJSTZO,O,O,X,X,X,X,X
ILJSTOZ,O,O,O,X,X,O,X
ILJSZTO,O,O,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,X
ILJSOTZ,O,O,O,X,X,X,X
ILJSOZT,O,O,O,X,X,X,X
ILJZTSO,O,X,X,X,X,X,X
ILJZTOS,O,X,O,X,X,O,X
ILJZSTO,O,X,X,X,X,X,X
ILJZSOT,O,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,X
ILJZOST,O,X,O,X,X,X,X
ILJOTSZ,O,X,O,X,X,O,X
ILJOTZS,O,O,O,X,X,O,X
ILJOSTZ,O,O,O,X,X,X,X
ILJOSZT,O,O,O,X,X,X,X
ILJOZTS,O,X,O,X,X,X,X
ILJOZST,O,X,O,X,X,X,X
ILSTJZO,O,O,X,X,X,X,X
ILSTJOZ,O,O,O,O,X,O,X
ILSTZJO,O,O,X,X,X,O,X
ILSTZOJ,O,O,X,X,X,O,X
ILSTOJZ,O,O,O,O,X,O,X
ILSTOZJ,O,O,X,O,X,O,X
ILSJTZO,O,O,X,X,X,X,X
ILSJTOZ,O,O,O,X,X,O,X
ILSJZTO,O,O,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,X
ILSJOTZ,O,O,O,O,X,X,X
ILSJOZT,O,O,O,O,X,X,X
ILSZTJO,O,O,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X
ILSZJOT,O,O,X,X,O,X,X
ILSZOTJ,O,X,X,X,O,X,X
ILSZOJT,O,O,X,X,O,X,X
ILSOTJZ,O,O,O,O,X,X,X
ILSOTZJ,O,O,X,O,X,X,X
ILSOJTZ,O,O,O,O,X,X,X
ILSOJZT,O,O,O,O,X,X,X
ILSOZTJ,O,X,X,X,O,X,X
ILSOZJT,O,O,X,O,O,X,X
ILZTJSO,O,X,X,X,X,O,X
ILZTJOS,O,X,O,X,X,O,X
ILZTSJO,X,X,X,X,X,O,X
ILZTSOJ,X,X,X,X,X,O,X
ILZTOJS,X,X,O,X,X,O,X
ILZTOSJ,X,X,X,X,X,O,X
ILZJTSO,O,X,X,X,X,X,X
ILZJTOS,O,X,O,X,X,O,X
ILZJSTO,O,X,X,X,X,X,X
ILZJSOT,O,X,X,X,X,X,X
ILZJOTS,O,X,O,X,O,X,O
ILZJOST,O,X,O,X,O,X,X
ILZSTJO,O,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X
ILZSJTO,O,X,X,X,X,X,X
ILZSJOT,O,X,X,X,O,X,X
ILZSOTJ,O,X,X,X,O,X,X
ILZSOJT,O,X,X,X,O,X,X
ILZOTJS,X,X,O,X,O,X,O
ILZOTSJ,X,X,X,X,O,X,O
ILZOJTS,X,X,O,X,O,X,O
ILZOJST,X,X,O,X,O,X,X
ILZOSTJ,X,X,X,X,O,X,X
ILZOSJT,X,X,X,X,O,X,X
ILOTJSZ,O,X,O,X,X,O,X
ILOTJZS,O,X,O,X,X,O,X
ILOTSJZ,X,X,O,O,X,O,X
ILOTSZJ,X,X,X,X,X,O,O
ILOTZJS,X,X,O,X,O,O,O
ILOTZSJ,X,X,X,X,O,O,O
ILOJTSZ,O,X,O,X,X,O,X
ILOJTZS,O,X,O,X,X,O,X
ILOJSTZ,O,X,O,O,X,X,X
ILOJSZT,O,X,O,O,X,X,X
ILOJZTS,O,X,O,X,O,X,X
ILOJZST,O,X,O,X,O,X,X
ILOSTJZ,O,X,O,O,X,X,X
ILOSTZJ,O,X,X,O,X,X,X
ILOSJTZ,O,X,O,O,X,X,X
ILOSJZT,O,X,O,O,X,X,X
ILOSZTJ,O,X,X,X,O,X,X
ILOSZJT,O,X,X,O,O,X,X
ILOZTJS,X,X,O,X,O,X,O
ILOZTSJ,X,X,X,X,O,X,O
ILOZJTS,X,X,O,X,O,X,O
ILOZJST,X,X,O,X,O,X,X
ILOZSTJ,X,X,X,X,O,X,X
ILOZSJT,X,X,X,O,O,X,X
IJTLSZO,O,X,X,X,X,X,X
IJTLSOZ,O,X,O,X,X,O,X
IJTLZSO,O,O,X,X,X,O,X
IJTLZOS,O,O,O,X,X,O,X
IJTLOSZ,O,X,O,X,X,O,X
IJTLOZS,O,O,O,X,X,O,X
IJTSLZO,O,O,X,X,X,X,X
IJTSLOZ,O,O,O,X,X,O,X
IJTSZLO,O,O,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X
IJTSOLZ,O,O,O,X,X,O,X
IJTSOZL,O,O,O,X,X,X,O
IJTZLSO,O,O,X,X,X,O,X
IJTZLOS,O,O,O,X,X,O,X
IJTZSLO,O,O,X,X,X,O,X
IJTZSOL,O,O,O,X,X,O,X
IJTZOLS,O,O,O,X,X,O,X
IJTZOSL,O,O,O,X,X,O,X
IJTOLSZ,O,X,O,X,X,O,X
IJTOLZS,O,O,O,X,X,O,X
IJTOSLZ,O,O,O,X,X,O,X
IJTOSZL,O,O,O,X,X,X,O
IJTOZLS,O,O,O,X,X,O,O
IJTOZSL,O,O,O,X,X,O,O
IJLTSZO,O,X,X,X,X,X,X
IJLTSOZ,O,X,O,X,X,O,X
IJLTZSO,O,O,X,X,X,O,X
IJLTZOS,O,O,O,X,X,O,X
IJLTOSZ,O,X,O,X,X,O,X
IJLTOZS,O,O,O,X,X,O,X
IJLSTZO,O,O,X,X,X,X,X
IJLSTOZ,O,O,O,X,X,O,X
IJLSZTO,O,O,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,X
IJLSOTZ,O,O,O,X,X,X,X
IJLSOZT,O,O,O,X,X,X,X
IJLZTSO,O,X,X,X,X,X,X
IJLZTOS,O,X,O,X,X,O,X
IJLZSTO,O,X,X,X,X,X,X
IJLZSOT,O,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,X
IJLZOST,O,X,O,X,X,X,X
IJLOTSZ,O,X,O,X,X,O,X
IJLOTZS,O,O,O,X,X,O,X
IJLOSTZ,O,O,O,X,X,X,X
IJLOSZT,O,O,O,X,X,X,X
IJLOZTS,O,X,O,X,X,X,X
IJLOZST,O,X,O,X,X,X,X
IJSTLZO,O,O,X,X,X,X,X
IJSTLOZ,O,O,O,O,X,O,X
IJSTZLO,O,O,X,X,X,X,X
IJSTZOL,O,O,O,O,X,X,X
IJSTOLZ,O,O,O,O,X,O,X
IJSTOZL,O,O,O,O,X,X,X
IJSLTZO,O,O,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,O,X
IJSLZTO,O,O,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X
IJSLOTZ,O,O,O,O,X,X,X
IJSLOZT,O,O,O,O,X,X,X
IJSZTLO,O,O,X,X,X,X,X
IJSZTOL,O,O,O,X,O,X,X
IJSZLTO,O,O,X,X,X,X,X
IJSZLOT,O,O,X,X,O,X,X
IJSZOTL,O,O,X,X,O,X,X
IJSZOLT,O,O,O,O,O,X,X
IJSOTLZ,O,O,O,O,X,X,X
IJSOTZL,O,O,O,O,X,X,X
IJSOLTZ,O,O,O,O,X,X,X
IJSOLZT,O,O,O,O,X,X,X
IJSOZTL,O,O,X,X,O,X,X
IJSOZLT,O,O,O,O,O,X,X
IJZTLSO,O,O,X,X,X,X,X
IJZTLOS,O,O,O,X,X,O,X
IJZTSLO,O,O,X,X,X,X,X
IJZTSOL,O,O,O,X,X,X,X
IJZTOLS,O,O,O,X,O,O,O
IJZTOSL,O,O,O,X,X,X,O
IJZLTSO,O,X,X,X,X,X,X
IJZLTOS,O,X,O,X,X,O,X
IJZLSTO,O,X,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X,X
IJZLOTS,O,X,O,X,O,X,O
IJZLOST,O,X,O,X,O,X,X
IJZSTLO,O,O,X,X,X,X,X
IJZSTOL,O,O,O,X,O,X,X
IJZSLTO,O,O,X,X,X,X,X
IJZSLOT,O,O,X,X,O,X,X
IJZSOTL,O,O,X,X,O,X,O
IJZSOLT,O,O,O,X,O,X,X
IJZOTLS,O,O,O,X,O,X,O
IJZOTSL,O,O,O,X,X,X,O
IJZOLTS,O,X,O,X,O,X,O
IJZOLST,O,X,O,X,O,X,X
IJZOSTL,O,X,X,X,O,X,O
IJZOSLT,O,O,O,X,O,X,X
IJOTLSZ,O,X,O,X,X,O,X
IJOTLZS,O,O,O,X,X,O,X
IJOTSLZ,O,O,O,X,X,O,X
IJOTSZL,O,O,O,X,X,X,O
IJOTZLS,O,O,O,X,X,O,O
IJOTZSL,O,O,O,X,X,X,O
IJOLTSZ,O,X,O,X,X,O,X
IJOLTZS,O,O,O,X,X,O,X
IJOLSTZ,O,O,O,O,X,X,X
IJOLSZT,O,O,O,O,X,X,X
IJOLZTS,O,X,O,X,O,X,X
IJOLZST,O,X,O,X,O,X,X
IJOSTLZ,O,O,O,O,X,X,X
IJOSTZL,O,O,O,O,X,X,X
IJOSLTZ,O,O,O,O,X,X,X
IJOSLZT,O,O,O,O,X,X,X
IJOSZTL,O,O,X,X,O,X,X
IJOSZLT,O,O,O,O,O,X,X
IJOZTLS,O,O,O,X,O,X,O
IJOZTSL,O,O,O,X,X,X,O
IJOZLTS,O,X,O,X,O,X,O
IJOZLST,O,X,O,X,O,X,X
IJOZSTL,O,X,X,X,O,X,O
IJOZSLT,O,O,O,X,O,X,X
ISTLJZO,O,O,X,X,X,X,X
ISTLJOZ,O,O,O,O,X,O,X
ISTLZJO,O,O,X,X,X,O,X
ISTLZOJ,O,O,X,X,X,O,X
ISTLOJZ,O,O,O,O,X,O,X
ISTLOZJ,O,O,X,O,X,O,O
ISTJLZO,O,O,X,X,X,X,X
ISTJLOZ,O,O,O,O,X,O,X
ISTJZLO,O,O,X,X,X,X,X
ISTJZOL,O,O,O,O,X,X,X
ISTJOLZ,O,O,O,O,X,O,X
ISTJOZL,O,O,O,O,X,X,O
ISTZLJO,O,O,X,X,X,O,X
ISTZLOJ,O,O,X,X,X,O,X
ISTZJLO,O,O,X,X,X,O,X
ISTZJOL,O,O,X,O,O,O,X
ISTZOLJ,O,O,X,O,O,O,O
ISTZOJL,O,O,X,O,O,O,O
ISTOLJZ,O,O,O,O,X,O,X
ISTOLZJ,O,O,X,O,X,O,O
ISTOJLZ,O,O,O,O,X,O,X
ISTOJZL,O,O,O,O,X,X,O
ISTOZLJ,O,O,X,O,O,O,O
ISTOZJL,O,O,X,O,O,O,O
ISLTJZO,O,O,X,X,X,X,X
ISLTJOZ,O,O,O,O,X,O,X
ISLTZJO,O,O,X,X,X,O,X
ISLTZOJ,O,O,X,X,X,O,X
ISLTOJZ,O,O,O,O,X,O,X
ISLTOZJ,O,O,X,O,X,O,X
ISLJTZO,O,O,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,O,X
ISLJZTO,O,O,X,X,X,X,X
ISLJZOT,O,O,X,X,X,X,X
ISLJOTZ,O,O,O,O,X,X,X
ISLJOZT,O,O,O,O,X,X,X
ISLZTJO,O,O,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,X,X
ISLZJTO,O,O,X,X,X,X,X
ISLZJOT,O,O,X,X,O,X,X
ISLZOTJ,O,X,X,X,O,X,X
ISLZOJT,O,O,X,X,O,X,X
ISLOTJZ,O,O,O,O,X,X,X
ISLOTZJ,O,O,X,O,X,X,X
ISLOJTZ,O,O,O,O,X,X,X
ISLOJZT,O,O,O,O,X,X,X
ISLOZTJ,O,X,X,X,O,X,X
ISLOZJT,O,O,X,O,O,X,X
ISJTLZO,O,O,X,X,X,X,X
ISJTLOZ,O,O,O,O,X,O,X
ISJTZLO,O,O,X,X,X,X,X
ISJTZOL,O,O,O,O,X,X,X
ISJTOLZ,O,O,O,O,X,O,X
ISJTOZL,O,O,O,O,X,X,X
ISJLTZO,O,O,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,O,X
ISJLZTO,O,O,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X
ISJLOTZ,O,O,O,O,X,X,X
ISJLOZT,O,O,O,O,X,X,X
ISJZTLO,O,O,X,X,X,X,X
ISJZTOL,O,O,O,X,O,X,X
ISJZLTO,O,O,X,X,X,X,X
ISJZLOT,O,O,X,X,O,X,X
ISJZOTL,O,O,X,X,O,X,X
ISJZOLT,O,O,O,O,O,X,X
ISJOTLZ,O,O,O,O,X,X,X
ISJOTZL,O,O,O,O,X,X,X
ISJOLTZ,O,O,O,O,X,X,X
ISJOLZT,O,O,O,O,X,X,X
ISJOZTL,O,O,X,X,O,X,X
ISJOZLT,O,O,O,O,O,X,X
ISZTLJO,O,O,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X
ISZTJOL,O,O,X,O,O,X,X
ISZTOLJ,O,O,X,O,O,X,X
ISZTOJL,O,O,X,O,O,X,X
ISZLTJO,O,O,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X
ISZLJTO,O,O,X,X,X,X,X
ISZLJOT,O,O,X,X,O,X,X
ISZLOTJ,O,X,X,X,O,X,X
ISZLOJT,O,O,X,X,O,X,X
ISZJTLO,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,O,X,X
ISZJLTO,O,O,X,X,X,X,X
ISZJLOT,O,O,X,X,O,X,X
ISZJOTL,O,O,X,X,O,X,O
ISZJOLT,O,O,X,O,O,X,X
ISZOTLJ,O,X,X,O,O,X,O
ISZOTJL,O,X,X,O,O,X,O
ISZOLTJ,O,X,X,X,O,X,X
ISZOLJT,O,O,X,O,O,X,X
ISZOJTL,O,O,X,X,O,X,O
ISZOJLT,O,O,X,O,O,X,X
ISOTLJZ,O,O,O,O,X,X,X
ISOTLZJ,O,O,X,O,X,X,O
ISOTJLZ,O,O,O,O,X,X,X
ISOTJZL,O,O,O,O,X,X,O
ISOTZLJ,O,O,X,O,O,X,O
ISOTZJL,O,O,X,O,O,X,O
ISOLTJZ,O,O,O,O,X,X,X
ISOLTZJ,O,O,X,O,X,X,X
ISOLJTZ,O,O,O,O,X,X,X
ISOLJZT,O,O,O,O,X,X,X
ISOLZTJ,O,X,X,X,O,X,X
ISOLZJT,O,O,X,O,O,X,X
ISOJTLZ,O,O,O,O,X,X,X
ISOJTZL,O,O,O,O,X,X,X
ISOJLTZ,O,O,O,O,X,X,X
ISOJLZT,O,O,O,O,X,X,X
ISOJZTL,O,O,X,X,O,X,X
ISOJZLT,O,O,O,O,O,X,X
ISOZTLJ,O,X,X,O,O,X,O
ISOZTJL,O,X,X,O,O,X,O
ISOZLTJ,O,X,X,X,O,X,X
ISOZLJT,O,O,X,O,O,X,X
ISOZJTL,O,O,X,X,O,X,O
ISOZJLT,O,O,X,O,O,X,X
IZTLJSO,O,O,X,X,X,O,X
IZTLJOS,O,O,O,X,X,O,X
IZTLSJO,X,O,X,X,X,O,X
IZTLSOJ,X,X,X,X,X,O,X
IZTLOJS,X,O,O,X,X,O,X
IZTLOSJ,X,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,O,X
IZTJLOS,O,O,O,X,X,O,X
IZTJSLO,O,O,X,X,X,O,X
IZTJSOL,O,O,O,X,X,O,X
IZTJOLS,O,O,O,X,O,O,O
IZTJOSL,O,O,O,X,X,O,O
IZTSLJO,X,O,X,X,X,O,X
IZTSLOJ,X,X,X,X,X,O,X
