sequence,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex6IvhFXcBTdBifBW?nBFlB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeZ/IvhFUbBFcBXdBW?lBSnBzpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Je06IvhFxcBKkBGhBT?iBFlBXqB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex7IvhF6iBlfB3gBz?hB2pB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeZ/IvhFUcBGdBCgBV?nBXlBzpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeX7IvhFxcBKkBGhBT?iBFlB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeT6IvhFUcBGdBSlBV?nB/pBZlB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex7IvhFlfB3gBCiBT?iB2pB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeT6IvhFxbB8hB+iB/?pBFlBiqB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeU8IvhFxfBTiBCiB/?pBFlBmpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex6IvhFXcB8hB+iBK?kBFlBzpB
TSJZOIL,O,X,X,O,O,X,X,X,O,O,X
TSJZOLI,O,X,X,O,O,X,O,X,O,X,X
TSJOILZ,O,X,X,O,O,X,X,O,X,X,X
TSJOIZL,O,X,X,O,O,X,X,X,O,O,X
TSJOLIZ,O,X,X,O,O,X,O,O,X,X,X
TSJOLZI,O,X,X,O,O,X,O,O,O,X,X
TSJOZIL,O,X,X,O,O,X,X,X,O,O,X
TSJOZLI,O,X,X,O,O,X,O,X,O,X,X
TSZILJO,O,X,X,X,O,X,O,O,X,X,X
TSZILOJ,O,X,X,X,O,X,O,O,X,O,X
TSZIJLO,O,X,X,X,O,X,O,X,X,X,X
TSZIJOL,O,X,X,X,O,X,X,X,X,O,X
TSZIOLJ,X,X,X,O,O,X,X,X,X,O,X
TSZIOJL,O,X,X,X,O,X,X,X,X,O,X
TSZLIJO,O,X,X,X,O,X,O,O,X,X,X
TSZLIOJ,O,X,X,X,O,X,O,O,X,O,X
TSZLJIO,O,X,X,X,O,X,O,O,X,X,X
TSZLJOI,O,X,X,X,O,X,O,O,X,X,X
TSZLOIJ,O,X,X,X,O,X,O,O,X,O,X
TSZLOJI,O,X,X,X,O,X,O,O,X,X,X
TSZJILO,O,X,X,X,O,X,O,X,O,X,X
TSZJIOL,O,X,X,X,O,X,X,X,O,O,X
TSZJLIO,O,X,X,X,O,X,O,X,O,X,X
TSZJLOI,O,X,X,X,O,X,O,X,O,X,X
TSZJOIL,O,X,X,X,O,X,X,X,O,O,X
TSZJOLI,O,X,X,X,O,X,O,X,O,X,X
TSZOILJ,X,X,X,O,O,X,X,X,X,O,X
TSZOIJL,O,X,X,X,O,X,X,X,X,O,X
TSZOLIJ,O,X,X,O,O,X,O,X,X,O,X
TSZOLJI,O,X,X,O,O,X,O,X,X,X,X
TSZOJIL,O,X,X,X,O,X,X,X,O,O,X
TSZOJLI,O,X,X,X,O,X,O,X,O,X,X
TSOILJZ,X,O,X,O,O,X,X,O,X,X,X
TSOILZJ,X,O,X,O,O,X,X,O,X,O,X
TSOIJLZ,O,O,X,O,O,X,X,X,X,X,X
TSOIJZL,O,O,X,O,O,X,X,X,O,O,X
TSOIZLJ,X,X,X,O,O,X,X,X,X,O,X
TSOIZJL,X,X,X,X,O,X,X,X,X,O,X
TSOLIJZ,O,O,X,O,O,X,O,O,X,X,X
TSOLIZJ,X,O,X,O,O,X,O,O,X,O,X
TSOLJIZ,O,O,X,O,O,X,O,O,X,X,X
TSOLJZI,O,O,X,O,O,X,O,O,O,X,X
TSOLZIJ,X,O,X,O,O,X,O,O,X,O,X
TSOLZJI,X,O,X,O,O,X,O,O,X,X,X
TSOJILZ,O,O,X,O,O,X,X,X,X,X,X
TSOJIZL,O,O,X,O,O,X,X,X,O,O,X
TSOJLIZ,O,O,X,O,O,X,O,X,X,X,X
TSOJLZI,O,O,X,O,O,X,O,X,O,X,X
TSOJZIL,O,O,X,O,O,X,X,X,O,O,X
TSOJZLI,O,O,X,O,O,X,O,X,O,X,X
TSOZILJ,X,X,X,O,O,X,X,X,X,O,X
TSOZIJL,X,X,X,X,O,X,X,X,X,O,X
TSOZLIJ,X,X,X,O,O,X,O,X,X,O,X
TSOZLJI,X,X,X,O,O,X,O,X,X,X,X
TSOZJIL,X,X,X,X,O,X,X,X,O,O,X
TSOZJLI,X,X,X,X,O,X,O,X,O,X,X
TZILJSO,O,O,X,X,O,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X,X,X,X
TZILSJO,O,O,X,X,O,X,X,X,X,X,X
TZILSOJ,O,O,X,X,O,X,X,X,X,X,X
TZILOJS,O,O,X,X,X,X,X,X,X,X,X
TZILOSJ,O,O,X,X,X,X,X,X,X,X,X
TZIJLSO,O,O,X,X,O,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,O,X,O,X,X,X,X
TZIJSOL,O,X,X,X,O,X,X,X,X,X,X
TZIJOLS,O,O,X,X,X,X,X,X,X,X,X
TZIJOSL,O,X,X,X,O,X,X,X,X,X,X
TZISLJO,O,X,X,X,O,X,O,X,X,X,X
TZISLOJ,O,X,X,X,O,X,O,X,X,X,X
TZISJLO,O,X,X,X,O,X,O,X,X,X,X
TZISJOL,O,X,X,X,O,X,X,X,X,X,X
TZISOLJ,X,X,X,X,O,X,X,X,X,X,X
TZISOJL,O,X,X,X,O,X,X,X,X,X,X
TZIOLJS,X,O,X,X,X,X,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X,X,X,X,X
TZIOJSL,X,O,X,X,O,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,O,X,X,X,X,X,X
TZIOSJL,X,X,X,X,O,X,X,X,X,X,X
TZLIJSO,O,O,X,X,O,X,X,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X,X,X,X,X
TZLISJO,O,O,X,X,O,X,X,X,X,X,X
TZLISOJ,O,O,X,X,O,X,X,X,X,X,X
TZLIOJS,O,O,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,O,X,X,X,X,X,X,X,X,X
TZLJISO,O,O,X,X,O,X,X,X,X,X,X
TZLJIOS,O,O,X,X,X,X,X,X,X,X,X
TZLJSIO,O,O,X,X,O,X,O,X,X,X,X
TZLJSOI,O,O,X,X,O,X,O,X,X,X,X
TZLJOIS,O,O,X,X,X,X,X,X,X,X,X
TZLJOSI,O,O,X,X,X,X,X,X,X,X,X
TZLSIJO,O,O,X,X,O,X,O,X,X,X,X
TZLSIOJ,O,O,X,X,O,X,O,X,X,X,X
TZLSJIO,O,O,X,X,O,X,O,X,X,X,X
TZLSJOI,O,O,X,X,O,X,O,X,X,X,X
TZLSOIJ,O,O,X,X,O,X,O,X,X,X,X
TZLSOJI,O,O,X,X,O,X,O,X,X,X,X
TZLOIJS,O,O,X,X,X,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X,X,X,X
TZLOJIS,O,O,X,X,X,X,X,X,X,X,X
TZLOJSI,O,O,X,X,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,X,X,X,X,X
TZLOSJI,O,O,X,X,X,X,X,X,X,X,X
TZJILSO,O,O,X,X,O,X,X,X,X,X,X
TZJILOS,O,O,X,X,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,O,X,O,X,X,X,X
TZJISOL,O,X,X,X,O,X,X,X,X,X,X
TZJIOLS,O,O,X,X,X,X,X,X,X,X,X
TZJIOSL,O,X,X,X,O,X,X,X,X,X,X
TZJLISO,O,O,X,X,O,X,X,X,X,X,X
TZJLIOS,O,O,X,X,X,X,X,X,X,X,X
TZJLSIO,O,O,X,X,O,X,O,X,X,X,X
TZJLSOI,O,O,X,X,O,X,O,X,X,X,X
TZJLOIS,O,O,X,X,X,X,X,X,X,X,X
TZJLOSI,O,O,X,X,X,X,X,X,X,X,X
TZJSILO,O,O,X,X,O,X,O,X,X,X,X
TZJSIOL,O,X,X,X,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,O,X,O,X,X,X,X
TZJSLOI,O,O,X,X,O,X,O,X,X,X,X
TZJSOIL,O,X,X,X,O,X,X,X,X,X,X
TZJSOLI,O,X,X,X,O,X,O,X,X,X,X
TZJOILS,O,O,X,X,X,X,X,X,X,X,X
TZJOISL,O,X,X,X,O,X,X,X,X,X,X
TZJOLIS,O,O,X,X,X,X,X,X,X,X,X
TZJOLSI,O,O,X,X,X,X,X,X,X,X,X
TZJOSIL,O,X,X,X,O,X,X,X,X,X,X
TZJOSLI,O,X,X,X,O,X,O,X,X,X,X
TZSILJO,O,X,X,X,O,X,O,X,X,X,X
TZSILOJ,O,X,X,X,O,X,O,X,X,O,X
TZSIJLO,O,X,X,X,O,X,O,X,X,X,X
TZSIJOL,O,X,X,X,O,X,X,X,X,O,X
TZSIOLJ,X,X,X,X,O,X,X,X,X,O,X
TZSIOJL,O,X,X,X,O,X,X,X,X,O,X
TZSLIJO,O,X,X,X,O,X,O,X,X,X,X
TZSLIOJ,O,X,X,X,O,X,O,X,X,O,X
TZSLJIO,O,X,X,X,O,X,O,X,X,X,X
TZSLJOI,O,X,X,X,O,X,O,X,X,X,X
TZSLOIJ,O,X,X,X,O,X,O,X,X,O,X
TZSLOJI,O,X,X,X,O,X,O,X,X,X,X
TZSJILO,O,X,X,X,O,X,O,X,X,X,X
TZSJIOL,O,X,X,X,O,X,X,X,X,O,X
TZSJLIO,O,X,X,X,O,X,O,X,X,X,X
TZSJLOI,O,X,X,X,O,X,O,X,X,X,X
TZSJOIL,O,X,X,X,O,X,X,X,X,O,X
TZSJOLI,O,X,X,X,O,X,O,X,X,X,X
TZSOILJ,X,X,X,X,O,X,X,X,X,O,X
TZSOIJL,O,X,X,X,O,X,X,X,X,O,X
TZSOLIJ,O,X,X,X,O,X,O,X,X,O,X
TZSOLJI,O,X,X,X,O,X,O,X,X,X,X
TZSOJIL,O,X,X,X,O,X,X,X,X,O,X
TZSOJLI,O,X,X,X,O,X,O,X,X,X,X
TZOILJS,X,O,X,X,X,X,X,X,X,X,X
TZOILSJ,X,O,X,X,X,X,X,X,X,X,X
TZOIJLS,X,O,X,X,X,X,X,X,X,X,X
TZOIJSL,X,O,X,X,O,X,X,X,X,X,X
TZOISLJ,X,X,X,X,O,X,X,X,X,X,X
TZOISJL,X,X,X,X,O,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X,X,X,X
TZOLISJ,O,O,X,X,X,X,X,X,X,X,X
TZOLJIS,O,O,X,X,X,X,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,X,X,X,X,X
TZOJISL,O,O,X,X,O,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X,X,X,X
TZOJSIL,O,O,X,X,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,O,X,O,X,X,X,X
TZOSILJ,X,X,X,X,O,X,X,X,X,O,X
TZOSIJL,O,X,X,X,O,X,X,X,X,O,X
TZOSLIJ,O,X,X,X,O,X,O,X,X,O,X
TZOSLJI,O,X,X,X,O,X,O,X,X,X,X
TZOSJIL,O,X,X,X,O,X,X,X,X,O,X
TZOSJLI,O,X,X,X,O,X,O,X,X,X,X
TOILJSZ,X,O,O,O,X,O,X,X,X,X,X
TOILJZS,X,O,O,X,X,O,X,X,X,X,X
TOILSJZ,X,O,O,O,X,O,X,X,X,X,X
TOILSZJ,X,O,O,O,X,X,X,X,X,X,X
TOILZJS,X,O,O,X,X,O,X,X,X,X,X
TOILZSJ,X,O,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,O,O,O,X,O,X,X,X,X,X
TOIJLZS,X,O,O,X,X,O,X,X,X,X,X
TOIJSLZ,X,O,X,O,O,X,X,X,X,X,X
TOIJSZL,X,O,X,O,O,X,X,X,X,X,X
TOIJZLS,X,O,X,X,X,X,X,X,X,X,X
TOIJZSL,X,O,X,X,O,X,X,X,X,X,X
TOISLJZ,X,O,X,O,O,X,X,X,X,X,X
TOISLZJ,X,O,X,O,O,X,X,X,X,X,X
TOISJLZ,X,O,X,O,O,X,X,X,X,X,X
TOISJZL,X,O,X,O,O,X,X,X,X,X,X
TOISZLJ,X,X,X,O,O,X,X,X,X,X,X
TOISZJL,X,X,X,X,O,X,X,X,X,X,X
TOIZLJS,X,O,X,X,X,X,X,X,X,X,X
TOIZLSJ,X,O,X,X,X,X,X,X,X,X,X
TOIZJLS,X,O,X,X,X,X,X,X,X,X,X
TOIZJSL,X,O,X,X,O,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,O,X,X,X,X,X,X
TOIZSJL,X,X,X,X,O,X,X,X,X,X,X
TOLIJSZ,O,O,O,O,X,O,X,X,X,X,X
TOLIJZS,O,O,O,X,X,O,X,X,X,X,X
TOLISJZ,O,O,O,O,X,O,X,X,X,X,X
TOLISZJ,X,O,O,O,X,X,X,X,X,X,X
TOLIZJS,X,O,O,X,X,O,X,X,X,X,X
TOLIZSJ,X,O,O,X,X,X,X,X,X,X,X
TOLJISZ,O,O,O,O,X,O,X,X,X,X,X
TOLJIZS,O,O,O,X,X,O,X,X,X,X,X
TOLJSIZ,O,O,O,O,X,O,X,X,X,X,X
TOLJSZI,O,O,O,O,X,O,X,X,X,X,X
TOLJZIS,O,O,O,X,X,O,X,X,X,X,X
TOLJZSI,O,O,O,O,X,O,X,X,X,X,X
TOLSIJZ,O,O,O,O,X,O,X,X,X,X,X
TOLSIZJ,X,O,O,O,X,X,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,O,X,X,X,X,X
TOLSJZI,O,O,O,O,X,O,X,X,X,X,X
TOLSZIJ,X,O,O,O,X,X,X,X,X,X,X
TOLSZJI,X,O,O,O,X,O,X,X,X,X,X
TOLZIJS,X,O,O,X,X,O,X,X,X,X,X
TOLZISJ,X,O,O,X,X,X,X,X,X,X,X
TOLZJIS,X,O,O,X,X,O,X,X,X,X,X
TOLZJSI,X,O,O,X,X,O,X,X,X,X,X
TOLZSIJ,X,O,O,X,X,X,X,X,X,X,X
TOLZSJI,X,O,O,X,X,O,X,X,X,X,X
TOJILSZ,O,O,O,O,X,O,X,X,X,X,X
TOJILZS,O,O,O,X,X,O,X,X,X,X,X
TOJISLZ,O,O,X,O,O,X,X,X,X,X,X
TOJISZL,O,O,X,O,O,X,X,X,X,X,X
TOJIZLS,X,O,X,X,X,X,X,X,X,X,X
TOJIZSL,X,O,X,X,O,X,X,X,X,X,X
TOJLISZ,O,O,O,O,X,O,X,X,X,X,X
TOJLIZS,O,O,O,X,X,O,X,X,X,X,X
TOJLSIZ,O,O,O,O,X,O,X,X,X,X,X
TOJLSZI,O,O,O,O,X,O,X,X,X,X,X
TOJLZIS,O,O,O,X,X,O,X,X,X,X,X
TOJLZSI,O,O,O,O,X,O,X,X,X,X,X
TOJSILZ,O,O,X,O,O,X,X,X,X,X,X
TOJSIZL,O,O,X,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,O,O,X,O,X,X,X,X
TOJSLZI,O,O,X,O,O,X,O,X,X,X,X
TOJSZIL,O,O,X,O,O,X,X,X,X,X,X
TOJSZLI,O,O,X,O,O,X,O,X,X,X,X
TOJZILS,X,O,X,X,X,X,X,X,X,X,X
TOJZISL,X,O,X,X,O,X,X,X,X,X,X
TOJZLIS,O,O,X,X,X,X,X,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X,X,X,X
TOJZSIL,O,O,X,O,O,X,X,X,X,X,X
TOJZSLI,O,O,X,O,O,X,O,X,X,X,X
TOSILJZ,X,O,X,O,O,X,X,X,X,X,X
TOSILZJ,X,O,X,O,O,X,X,X,X,O,X
TOSIJLZ,O,O,X,O,O,X,X,X,X,X,X
TOSIJZL,O,O,X,O,O,X,X,X,X,O,X
TOSIZLJ,X,X,X,O,O,X,X,X,X,O,X
TOSIZJL,X,X,X,X,O,X,X,X,X,O,X
TOSLIJZ,O,O,X,O,O,X,O,X,X,X,X
TOSLIZJ,X,O,X,O,O,X,O,X,X,O,X
TOSLJIZ,O,O,X,O,O,X,O,X,X,X,X
TOSLJZI,O,O,X,O,O,X,O,X,X,X,X
TOSLZIJ,X,O,X,O,O,X,O,X,X,O,X
TOSLZJI,X,O,X,O,O,X,O,X,X,X,X
TOSJILZ,O,O,X,O,O,X,X,X,X,X,X
TOSJIZL,O,O,X,O,O,X,X,X,X,O,X
TOSJLIZ,O,O,X,O,O,X,O,X,X,X,X
TOSJLZI,O,O,X,O,O,X,O,X,X,X,X
TOSJZIL,O,O,X,O,O,X,X,X,X,O,X
TOSJZLI,O,O,X,O,O,X,O,X,X,X,X
TOSZILJ,X,X,X,O,O,X,X,X,X,O,X
TOSZIJL,X,X,X,X,O,X,X,X,X,O,X
TOSZLIJ,X,X,X,O,O,X,O,X,X,O,X
TOSZLJI,X,X,X,O,O,X,O,X,X,X,X
TOSZJIL,X,X,X,X,O,X,X,X,X,O,X
TOSZJLI,X,X,X,X,O,X,O,X,X,X,X
TOZILJS,X,O,X,X,X,X,X,X,X,X,X
TOZILSJ,X,O,X,X,X,X,X,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X,X,X,X,X
TOZIJSL,X,O,X,X,O,X,X,X,X,X,X
TOZISLJ,X,X,X,X,O,X,X,X,X,X,X
TOZISJL,X,X,X,X,O,X,X,X,X,X,X
TOZLIJS,X,O,X,X,X,X,X,X,X,X,X
TOZLISJ,X,O,X,X,X,X,X,X,X,X,X
TOZLJIS,X,O,X,X,X,X,X,X,X,X,X
TOZLJSI,X,O,X,X,X,X,X,X,X,X,X
TOZLSIJ,X,O,X,X,X,X,X,X,X,X,X
TOZLSJI,X,O,X,X,X,X,X,X,X,X,X
TOZJILS,X,O,X,X,X,X,X,X,X,X,X
TOZJISL,X,O,X,X,O,X,X,X,X,X,X
TOZJLIS,X,O,X,X,X,X,X,X,X,X,X
TOZJLSI,X,O,X,X,X,X,X,X,X,X,X
TOZJSIL,X,O,X,X,O,X,X,X,X,X,X
TOZJSLI,X,O,X,X,O,X,O,X,X,X,X
TOZSILJ,X,X,X,X,O,X,X,X,X,O,X
TOZSIJL,X,X,X,X,O,X,X,X,X,O,X
TOZSLIJ,X,X,X,X,O,X,O,X,X,O,X
TOZSLJI,X,X,X,X,O,X,O,X,X,X,X
TOZSJIL,X,X,X,X,O,X,X,X,X,O,X
TOZSJLI,X,X,X,X,O,X,O,X,X,X,X
ITLJSZO,O,O,X,X,O,X,X,X,X,X,X
ITLJSOZ,O,O,X,X,O,X,X,X,X,X,X
ITLJZSO,O,O,X,X,O,X,X,X,X,X,X
ITLJZOS,O,O,X,X,X,X,X,X,X,X,X
ITLJOSZ,O,O,X,X,X,X,X,X,X,X,X
ITLJOZS,O,O,X,X,X,X,X,X,X,X,X
ITLSJZO,O,O,X,X,O,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,O,X,X,X,X,X,X
ITLSZJO,O,O,X,X,O,X,X,X,X,X,X
ITLSZOJ,X,O,X,X,O,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,O,X,X,X,X,X,X
ITLSOZJ,X,O,X,X,O,X,X,X,X,X,X
ITLZJSO,O,O,X,X,O,X,X,X,X,X,X
ITLZJOS,O,O,X,X,X,X,X,X,X,X,X
ITLZSJO,O,O,X,X,O,X,X,X,X,X,X
ITLZSOJ,X,O,X,X,O,X,X,X,X,X,X
ITLZOJS,X,O,X,X,X,X,X,X,X,X,X
ITLZOSJ,X,O,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,X,X,X,X,X,X
ITLOJZS,O,O,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,O,X,X,X,X,X,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,X,X,X,X,X
ITLOZJS,X,O,X,X,X,X,X,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,X,X,X,X,X
ITJLSZO,O,O,X,X,O,X,X,X,X,X,X
ITJLSOZ,O,O,X,X,O,X,X,X,X,X,X
ITJLZSO,O,O,X,X,O,X,X,X,X,X,X
ITJLZOS,O,O,X,X,X,X,X,X,X,X,X
ITJLOSZ,O,O,X,X,X,X,X,X,X,X,X
ITJLOZS,O,O,X,X,X,X,X,X,X,X,X
ITJSLZO,O,O,X,X,O,X,O,X,X,X,X
ITJSLOZ,O,O,X,X,O,X,O,X,X,X,X
ITJSZLO,X,O,X,X,O,X,O,X,X,X,X
ITJSZOL,O,X,X,X,O,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,O,X,X,X,X,X,X
ITJSOZL,O,X,X,X,O,X,X,X,X,X,X
ITJZLSO,X,O,X,X,O,X,X,X,X,X,X
ITJZLOS,X,O,X,X,X,X,X,X,X,X,X
ITJZSLO,X,O,X,X,O,X,O,X,X,X,X
ITJZSOL,X,X,X,X,O,X,X,X,X,X,X
ITJZOLS,X,O,X,X,X,X,X,X,X,X,X
ITJZOSL,X,X,X,X,O,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,X,X,X,X,X,X,X
ITJOLZS,O,O,X,X,X,X,X,X,X,X,X
ITJOSLZ,O,O,X,X,O,X,X,X,X,X,X
ITJOSZL,O,O,X,X,O,X,X,X,X,X,X
ITJOZLS,X,O,X,X,X,X,X,X,X,X,X
ITJOZSL,X,O,X,X,O,X,X,X,X,X,X
ITSLJZO,O,O,X,X,O,X,O,X,X,X,X
ITSLJOZ,O,O,X,X,O,X,O,X,X,X,X
ITSLZJO,O,O,X,X,O,X,O,X,X,X,X
ITSLZOJ,X,O,X,X,O,X,O,X,X,X,X
ITSLOJZ,O,O,X,X,O,X,O,X,X,X,X
ITSLOZJ,X,O,X,X,O,X,O,X,X,X,X
ITSJLZO,O,O,X,X,O,X,O,X,X,X,X
ITSJLOZ,O,O,X,X,O,X,O,X,X,X,X
ITSJZLO,X,O,X,X,O,X,O,X,X,X,X
ITSJZOL,O,X,X,X,O,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,O,X,X,X,X,X,X
ITSJOZL,O,X,X,X,O,X,X,X,X,X,X
ITSZLJO,X,X,X,X,O,X,O,X,X,X,X
ITSZLOJ,X,X,X,X,O,X,O,X,X,X,X
ITSZJLO,X,X,X,X,O,X,O,X,X,X,X
ITSZJOL,O,X,X,X,O,X,X,X,X,X,X
ITSZOLJ,X,X,X,X,O,X,X,X,X,X,X
ITSZOJL,X,X,X,X,O,X,X,X,X,X,X
ITSOLJZ,X,O,X,X,O,X,X,X,X,X,X
ITSOLZJ,X,O,X,X,O,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,O,X,X,X,X,X,X
ITSOJZL,O,O,X,X,O,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,X,X,X,X,X,X
ITSOZJL,X,X,X,X,O,X,X,X,X,X,X
ITZLJSO,X,O,X,X,O,X,X,X,X,X,X
ITZLJOS,X,O,X,X,X,X,X,X,X,X,X
ITZLSJO,X,O,X,X,O,X,X,X,X,X,X
ITZLSOJ,X,O,X,X,O,X,X,X,X,X,X
ITZLOJS,X,O,X,X,X,X,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,X,X,X,X
ITZJLSO,X,O,X,X,O,X,X,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X,X,X,X,X
ITZJSLO,X,O,X,X,O,X,O,X,X,X,X
ITZJSOL,X,X,X,X,O,X,X,X,X,X,X
ITZJOLS,X,O,X,X,X,X,X,X,X,X,X
ITZJOSL,X,X,X,X,O,X,X,X,X,X,X
ITZSLJO,X,X,X,X,O,X,O,X,X,X,X
ITZSLOJ,X,X,X,X,O,X,O,X,X,X,X
ITZSJLO,X,X,X,X,O,X,O,X,X,X,X
ITZSJOL,X,X,X,X,O,X,X,X,X,X,X
ITZSOLJ,X,X,X,X,O,X,X,X,X,X,X
ITZSOJL,X,X,X,X,O,X,X,X,X,X,X
ITZOLJS,X,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X,X,X,X,X
ITZOJSL,X,O,X,X,O,X,X,X,X,X,X
ITZOSLJ,X,X,X,X,O,X,X,X,X,X,X
ITZOSJL,X,X,X,X,O,X,X,X,X,X,X
ITOLJSZ,X,O,X,X,X,X,X,X,X,X,X
ITOLJZS,X,O,X,X,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X,X,X,X,X
ITOLZJS,X,O,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,O,X,X,X,X,X,X
ITOJSZL,X,O,X,X,O,X,X,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,O,X,X,X,X,X,X
ITOSLJZ,X,O,X,X,O,X,X,X,X,X,X
ITOSLZJ,X,O,X,X,O,X,X,X,X,X,X
ITOSJLZ,X,O,X,X,O,X,X,X,X,X,X
ITOSJZL,X,O,X,X,O,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,O,X,X,X,X,X,X
ITOSZJL,X,X,X,X,O,X,X,X,X,X,X
ITOZLJS,X,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X,X,X,X,X
ITOZJSL,X,O,X,X,O,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,O,X,X,X,X,X,X
ITOZSJL,X,X,X,X,O,X,X,X,X,X,X
ILTJSZO,X,O,X,X,O,X,X,O,X,X,O
ILTJSOZ,X,O,X,X,O,O,X,O,X,X,X
ILTJZSO,X,O,X,X,O,X,X,X,X,X,O
ILTJZOS,X,O,O,X,X,X,X,X,X,X,O
ILTJOSZ,X,O,O,X,X,O,X,X,X,X,X
ILTJOZS,X,O,O,X,X,O,X,X,X,X,O
ILTSJZO,X,O,X,X,O,X,X,O,X,X,O
ILTSJOZ,X,O,X,X,O,O,X,O,X,X,X
ILTSZJO,X,O,X,X,O,X,X,O,X,X,X
ILTSZOJ,X,O,X,X,O,X,X,O,X,X,X
ILTSOJZ,X,O,X,X,O,O,X,O,X,X,X
ILTSOZJ,X,O,X,X,O,X,X,O,X,X,X
ILTZJSO,X,O,X,X,O,X,X,X,X,X,O
ILTZJOS,X,O,O,X,X,X,X,X,X,X,O
ILTZSJO,X,O,X,X,O,X,X,X,X,X,X
ILTZSOJ,X,O,X,X,O,X,X,X,X,X,X
ILTZOJS,X,O,O,X,X,X,X,X,X,X,X
ILTZOSJ,X,O,O,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,O,X,X,O,X,X,X,X,X
ILTOJZS,X,O,O,X,X,O,X,X,X,X,O
ILTOSJZ,X,O,O,X,X,O,X,X,X,X,X
ILTOSZJ,X,O,O,X,X,X,X,X,X,X,X
ILTOZJS,X,O,O,X,X,O,X,X,X,X,X
ILTOZSJ,X,O,O,X,X,X,X,X,X,X,X
ILJTSZO,X,O,X,X,X,X,X,O,X,X,O
ILJTSOZ,X,O,X,X,X,O,X,O,X,X,X
ILJTZSO,X,O,X,X,X,X,X,X,X,X,O
