sequence,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFagBRcBulBF?iB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUdBFhBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFUbBRcB6mBO?nBllBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeT6IvhF2gBRcBFiBC?lB0mBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhF0fB6lB/mBF?iBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jei6IvhFRcB3gBFiBW?qB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFRbBUdBFhBS?qBzmBeqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jey/IvhF5gB/mBFiB0?fBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUhBFiBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFVhBUdB6kB2?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex/IvhF/mBFiB0fB6?lBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeKBJvhFxfBFiBGlBX?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeR8IvhFFiBGlB0mB/?kBilBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFygBFiBxlBu?pBcqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2AJvhF6kBFiBxlB3?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jem6IvhF5gBicB0fB1?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFlcB0fB6lB2?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFFiBfqBxlB8?lBzmBCqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhF5gBOhBViB8?pBzmBaqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFFiBxlB8lBe?qBCqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeU9IvhF6kBZlBXhBz?mBulBlpB
IJLTOZS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLSTZO,O,O,O,X,X,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X
IJLSTOZ,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJLSZTO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLSZOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLSOZT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLZTOS,X,O,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLZSTO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLZSOT,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLZOTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJLZOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJLOSTZ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJLOSZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJLOZTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLOZST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSTLZO,O,O,O,X,X,O,X,O,O,X,O,O,X,O,O,X,X,O,X,O,X
IJSTLOZ,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X
IJSTZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJSTOLZ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSTOZL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
IJSLTZO,O,O,O,X,X,O,X,O,O,X,X,O,X,O,O,X,X,O,X,X,X
IJSLTOZ,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IJSLZTO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSLZOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSLOZT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJSZTOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJSZLTO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSZLOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSZOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOTZL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IJSOLTZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOLZT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,X,X,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,X
IJZTLOS,O,O,X,X,X,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,X
IJZTSLO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
IJZTSOL,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IJZTOLS,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
IJZTOSL,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IJZLTSO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IJZLTOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IJZLSTO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZLSOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZLOTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZLOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZSTLO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZSTOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJZSLTO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZSLOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJZSOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
IJZOTSL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IJZOLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJZOSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJOTLZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X
IJOTSLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IJOTZLS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
IJOTZSL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
IJOLTSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
IJOLSTZ,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O
IJOLSZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOLZTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJOLZST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IJOSTLZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSTZL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSLTZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSLZT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOSZTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZTLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
IJOZTSL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
IJOZLTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IJOZLST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IJOZSTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IJOZSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTLJZO,O,O,O,O,X,X,X,O,O,X,O,O,X,O,O,X,X,O,X,O,X
ISTLJOZ,O,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
ISTLZJO,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
ISTLZOJ,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ISTLOJZ,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ISTLOZJ,X,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X
ISTJLZO,O,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X
ISTJLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISTJZLO,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
ISTJZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISTJOLZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISTJOZL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ISTZLJO,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
ISTZLOJ,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X
ISTZJOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
ISTZOLJ,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ISTZOJL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X
ISTOLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X
ISTOJLZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ISTOZLJ,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ISTOZJL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X
ISLTJZO,O,O,O,O,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,O,X
ISLTJOZ,O,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
ISLTZJO,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,O,X
ISLTZOJ,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
ISLTOJZ,O,O,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ISLTOZJ,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ISLJTZO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X
ISLJTOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
ISLJZTO,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLJZOT,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISLZJTO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ISLOTZJ,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ISLOJTZ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISLOJZT,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISLOZTJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISLOZJT,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJTLZO,O,O,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,O,X
ISJTLOZ,O,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
ISJTZLO,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X
ISJTZOL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
ISJTOLZ,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJTOZL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X
ISJLTZO,O,O,O,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X
ISJLTOZ,O,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
ISJLZTO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJLZOT,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ISJZTOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJZLTO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJOLTZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
ISZTLOJ,O,O,X,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X
ISZTJOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
ISZTOLJ,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
ISZTOJL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X
ISZLTJO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZLTOJ,O,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZLJTO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ISZLOJT,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
ISZJTOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ISZJLTO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZJOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZOTJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZOLTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZOLJT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZOJLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
ISOTLZJ,X,O,X,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,O
ISOTJLZ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X
ISOTZLJ,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,O
ISOTZJL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X
ISOLTJZ,X,O,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
ISOLTZJ,X,O,X,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
ISOLJTZ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOLJZT,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOLZTJ,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOLZJT,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOJTLZ,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
ISOJLTZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOJLZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISOJZTL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOZTLJ,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,O
ISOZTJL,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X
ISOZLTJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
ISOZLJT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOZJTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISOZJLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTLJSO,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
IZTLJOS,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
IZTLSJO,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IZTLSOJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IZTLOJS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZTJLSO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
IZTJLOS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
IZTJSLO,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
IZTJSOL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZTJOLS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
IZTJOSL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZTSLJO,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
IZTSLOJ,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IZTSJLO,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IZTSJOL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZTSOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTSOJL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZTOLJS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTOLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTOJLS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IZTOJSL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IZTOSLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTOSJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLTJSO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IZLTJOS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IZLTSJO,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IZLTSOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IZLTOJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLTOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IZLJTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IZLJSTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJOTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSTJO,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLSTOJ,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLSJTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSJOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSOTJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
