sequence,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFXcBViBClBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFXcBViBGlBKrBzm?BUqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBzkB+qBim?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFViB3gBThBWqB8r?ByvB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFViBamB0hBzkB+q?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFlcBUhBOnBfqB6q?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFFhBXiBClBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBClB2rBTq?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBfqB6qBmm?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFVhBUdBzkB+qBim?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFFhBXiBGlByrBUq?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex7IvhF3gBFiB6kBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8JeeBJvhFUdBfnBaqB5lBlk?BTrB,v115@6gF8EeC8FeD8FeE8DeD8JeUBJvhFFiB5lBzkBimB3r?BmpB,v115@6gF8EeC8FeD8FeE8DeD8Je07IvhFFiB6kBxlB2rBTq?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jei8IvhFWmBFiB0fBRqB3r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Je8AJvhFFiB6kBOlBXmBzm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8Jem7IvhFSlBFiBXmB0kBzm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8JezAJvhFFiB0fBSrBXlBmm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8JezAJvhFFiBXgBSrB0kBmm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8Jem7IvhFclBFiB6kBXmBzm?BxvB
ILJOTSZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ILJOTZS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZTS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTJZO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ILSTJOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ILSTZJO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSTZOJ,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ILSTOJZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
ILSTOZJ,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X
ILSJTZO,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ILSJTOZ,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ILSJZTO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ILSJZOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ILSJOZT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSZTOJ,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ILSZJTO,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ILSZJOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
ILSOTZJ,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
ILSOJTZ,X,X,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
ILSOJZT,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ILSOZJT,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ILZTJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZTSJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZTOJS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZTOSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ILZJTSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILZJTOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZJSTO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ILZJSOT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZSTJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ILZSTOJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZSJTO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ILZSJOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZSOJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZOTSJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ILZOJTS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOJST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOTJSZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ILOTJZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ILOTSJZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ILOTSZJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ILOTZJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ILOTZSJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ILOJTSZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ILOJTZS,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ILOJSTZ,X,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ILOSTZJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ILOSJTZ,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOSJZT,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOSZJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILOZTJS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ILOZTSJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ILOZJTS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOZJST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSZO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTLOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJTLOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJTSLZO,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IJTSLOZ,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IJTSZLO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJTSZOL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJTSOLZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTSOZL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTZLSO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTZLOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTZSLO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJTZSOL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJTZOLS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTZOSL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTOZSL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLTSZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTZSO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLTZOS,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLTOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJLSTZO,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLSZTO,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLSZOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLSOZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTOS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZSTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJLZSOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLOTZS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOZTS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IJSTLOZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IJSTZLO,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IJSTZOL,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJSTOLZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IJSTOZL,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
IJSLTOZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IJSLZTO,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IJSLZOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IJSLOZT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
IJSZTOL,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
IJSZLTO,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IJSZLOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IJSZOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IJSOTZL,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSOLZT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSOZLT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZTSLO,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IJZTSOL,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IJZTOLS,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZTOSL,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IJZLTSO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZLTOS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLSTO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IJZLSOT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IJZSTOL,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IJZSLTO,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
IJZSLOT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IJZSOLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZOLTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IJZOSLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOTZLS,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOTZSL,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLTZS,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSTZL,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSLTZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSLZT,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSZLT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZTSL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZLTS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJOZSLT,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTLJZO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ISTLJOZ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ISTLZJO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
ISTLZOJ,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ISTLOJZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
ISTLOZJ,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X
ISTJLZO,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ISTJLOZ,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ISTJZLO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ISTJZOL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTJOLZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISTJOZL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTZLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ISTZJOL,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISTOLJZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTOLZJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
ISTOZJL,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISLTJZO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ISLTJOZ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ISLTZJO,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
ISLTZOJ,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ISLTOJZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
ISLTOZJ,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X
ISLJTZO,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ISLJTOZ,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ISLJZTO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ISLJZOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ISLJOZT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
ISLZTOJ,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ISLZJTO,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ISLZJOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X
ISLOTZJ,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
ISLOJTZ,X,X,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
ISLOJZT,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ISJTLOZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ISJTZLO,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ISJTZOL,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJTOLZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISJTOZL,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ISJLTOZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ISJLZTO,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ISJLZOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
