sequence,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxcBTeB?GiBllBasBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxcBTeB?CiBllBOsBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeX8IvhF6iBTeB?+mBZnBllB0qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhF6iBTeB?+mBZnBllBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGdBTeB?ZmBUiB6qBfsB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jem7IvhFRdBSjB?1lBUiBfsBzqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxdBzhB?CjBllBmrBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeX8IvhFxdBzhB?CjBllBmrB0qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeT8IvhFGeB3iB?llBcrBZnB6qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGeBylB?RiBUiBfsBzqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je5BJvhFTeBylB?cnBfrBOsBlqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGeB3iB?xlB0mBzqBasB
TSLJZIO,O,O,X,X,O,O,X,X,X,O,X,X
TSLJZOI,O,O,X,X,O,O,O,X,X,X,X,X
TSLJOIZ,O,O,O,X,O,O,O,O,X,O,X,X
TSLJOZI,O,O,X,X,O,O,O,O,X,X,X,X
TSLZIJO,O,O,X,X,O,O,X,X,X,O,X,X
TSLZIOJ,O,O,X,X,O,O,X,X,X,X,X,X
TSLZJIO,O,O,X,X,O,O,X,X,X,O,X,X
TSLZJOI,O,O,X,X,O,O,O,X,X,X,X,X
TSLZOIJ,O,O,X,X,O,O,X,X,X,X,X,X
TSLZOJI,O,O,X,X,O,O,X,X,X,X,X,X
TSLOIJZ,O,O,X,X,O,O,X,X,X,O,X,X
TSLOIZJ,O,O,X,X,O,X,X,X,X,X,X,X
TSLOJIZ,O,O,O,X,O,O,X,X,X,O,X,X
TSLOJZI,O,O,X,X,O,O,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,O,O,X,X,X,X,X,X
TSLOZJI,O,O,X,X,O,O,X,X,X,X,X,X
TSJILZO,O,O,O,O,X,O,X,X,X,O,X,X
TSJILOZ,O,O,O,O,X,O,X,X,X,O,X,X
TSJIZLO,O,O,O,O,O,O,X,X,X,X,X,X
TSJIZOL,O,O,O,O,O,O,X,X,X,X,X,X
TSJIOLZ,O,O,O,O,X,X,X,O,X,O,X,O
TSJIOZL,O,O,O,O,O,X,X,X,X,X,X,O
TSJLIZO,O,O,O,X,X,O,X,X,X,O,X,X
TSJLIOZ,O,O,O,X,X,O,X,X,X,O,X,X
TSJLZIO,O,O,X,X,X,O,X,X,X,O,X,X
TSJLZOI,O,O,X,X,X,O,O,X,X,X,X,X
TSJLOIZ,O,O,O,X,X,O,O,O,X,O,X,X
TSJLOZI,O,O,X,X,X,O,O,O,X,X,X,X
TSJZILO,O,O,O,O,X,O,X,X,O,X,X,X
TSJZIOL,O,O,O,O,O,O,X,X,O,X,X,X
TSJZLIO,O,O,X,X,X,O,X,X,O,X,X,X
TSJZLOI,O,O,X,X,O,O,O,X,O,X,X,X
TSJZOIL,O,O,O,O,O,O,X,X,O,X,X,X
TSJZOLI,O,O,X,X,O,O,O,O,O,X,X,X
TSJOILZ,O,O,O,O,X,X,X,O,X,O,X,O
TSJOIZL,O,O,O,O,O,X,X,X,X,X,X,O
TSJOLIZ,O,O,O,X,X,O,O,O,X,O,X,O
TSJOLZI,O,O,X,X,X,O,O,O,X,O,X,X
TSJOZIL,O,O,O,O,O,O,X,X,X,X,X,O
TSJOZLI,O,O,X,X,O,O,O,O,X,X,X,X
TSZILJO,O,O,X,X,O,O,X,X,O,X,X,X
TSZILOJ,O,O,X,X,O,O,X,X,O,X,X,X
TSZIJLO,O,O,X,X,O,O,X,X,O,X,X,X
TSZIJOL,O,O,X,X,O,O,X,X,O,X,X,X
TSZIOLJ,O,O,X,X,O,O,X,X,O,X,X,X
TSZIOJL,O,O,X,X,O,O,X,X,O,X,X,X
TSZLIJO,O,O,X,X,O,O,X,X,O,X,X,X
TSZLIOJ,O,O,X,X,O,O,X,X,O,X,X,X
TSZLJIO,O,O,X,X,O,O,X,X,O,X,X,X
TSZLJOI,O,O,X,X,O,O,O,X,O,X,X,X
TSZLOIJ,O,O,X,X,O,O,X,X,O,X,X,X
TSZLOJI,O,O,X,X,O,O,X,X,O,X,X,X
TSZJILO,O,O,O,O,O,O,X,X,O,X,X,X
TSZJIOL,O,O,O,O,O,O,X,X,O,X,X,X
TSZJLIO,O,O,X,X,O,O,X,X,O,X,X,X
TSZJLOI,O,O,X,X,O,O,O,X,O,X,X,X
TSZJOIL,O,O,O,O,O,O,X,X,O,X,X,X
TSZJOLI,O,O,X,X,O,O,O,O,O,X,X,X
TSZOILJ,O,O,X,X,O,O,X,X,O,X,X,X
TSZOIJL,O,O,X,X,O,O,X,X,O,X,X,X
TSZOLIJ,O,O,X,X,O,O,X,X,O,X,X,X
TSZOLJI,O,O,X,X,O,O,X,X,O,X,X,X
TSZOJIL,O,O,O,O,O,O,X,X,O,X,X,X
TSZOJLI,O,O,X,X,O,O,X,X,O,X,X,X
TSOILJZ,O,O,X,X,X,X,X,X,X,O,X,O
TSOILZJ,O,O,X,X,O,X,X,X,X,O,X,O
TSOIJLZ,O,O,O,X,X,X,X,X,X,O,X,O
TSOIJZL,O,O,O,X,O,X,X,X,X,X,X,O
TSOIZLJ,O,O,X,X,O,X,X,X,X,X,X,O
TSOIZJL,O,O,X,X,O,X,X,X,X,X,X,O
TSOLIJZ,O,O,X,X,O,O,X,X,X,O,X,O
TSOLIZJ,O,O,X,X,O,X,X,X,X,O,X,O
TSOLJIZ,O,O,O,X,O,O,X,X,X,O,X,O
TSOLJZI,O,O,X,X,O,O,X,X,X,O,X,X
TSOLZIJ,O,O,X,X,O,O,X,X,X,O,X,X
TSOLZJI,O,O,X,X,O,O,X,X,X,O,X,X
TSOJILZ,O,O,O,O,X,X,X,O,X,O,X,O
TSOJIZL,O,O,O,O,O,X,X,X,X,X,X,O
TSOJLIZ,O,O,O,X,X,O,X,O,X,O,X,O
TSOJLZI,O,O,X,X,X,O,X,O,X,O,X,X
TSOJZIL,O,O,O,O,O,O,X,X,X,X,X,O
TSOJZLI,O,O,X,X,O,O,X,O,X,X,X,X
TSOZILJ,O,O,X,X,O,O,X,X,X,X,X,O
TSOZIJL,O,O,X,X,O,O,X,X,X,X,X,O
TSOZLIJ,O,O,X,X,O,O,X,X,X,X,X,X
TSOZLJI,O,O,X,X,O,O,X,X,X,X,X,X
TSOZJIL,O,O,O,O,O,O,X,X,X,X,X,O
TSOZJLI,O,O,X,X,O,O,X,X,X,X,X,X
TZILJSO,O,X,X,X,X,X,X,X,X,X,X,X
TZILJOS,O,X,X,X,X,X,O,X,X,X,X,X
TZILSJO,X,X,X,X,X,X,X,X,X,X,O,X
TZILSOJ,O,X,X,X,X,X,X,X,X,X,O,X
TZILOJS,O,O,X,X,X,X,X,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X,X,X,X,X,O,X
TZIJLSO,X,O,X,O,X,X,X,X,X,X,X,X
TZIJLOS,O,O,X,O,X,X,O,X,X,X,X,X
TZIJSLO,X,O,X,O,X,X,X,X,O,X,X,X
TZIJSOL,O,O,X,O,X,X,X,X,O,X,X,X
TZIJOLS,O,O,X,O,X,X,O,X,X,X,X,X
TZIJOSL,O,O,X,O,X,X,X,X,X,X,X,X
TZISLJO,X,X,X,X,O,X,X,X,O,X,X,X
TZISLOJ,O,X,X,X,O,X,X,X,O,X,X,X
TZISJLO,X,X,X,X,O,X,X,X,O,X,X,X
TZISJOL,X,X,X,X,O,X,X,X,O,X,X,X
TZISOLJ,O,X,X,X,O,X,X,X,O,X,X,X
TZISOJL,O,O,X,X,O,X,X,X,O,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X,X,X,X,X,O,X
TZIOJLS,O,O,X,O,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,O,X,X,O,X,X,X,O,X,X,X
TZIOSJL,O,O,X,X,O,X,X,X,O,X,X,X
TZLIJSO,O,X,X,X,X,O,X,X,X,O,X,X
TZLIJOS,O,X,X,X,X,X,O,X,X,X,X,X
TZLISJO,X,X,X,X,O,X,X,X,X,X,O,X
TZLISOJ,O,X,X,X,O,X,X,X,X,X,O,X
TZLIOJS,O,O,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,X,O,X,X,X,X,X,O,X
TZLJISO,O,O,X,O,X,O,X,X,X,O,X,X
TZLJIOS,O,O,X,O,X,X,O,X,X,X,X,X
TZLJSIO,O,O,X,X,X,O,X,X,O,O,X,X
TZLJSOI,O,O,X,X,X,O,O,X,O,X,X,X
TZLJOIS,O,O,X,O,X,X,O,O,X,X,X,X
TZLJOSI,O,O,X,X,X,X,O,O,X,X,X,X
TZLSIJO,X,X,X,X,O,O,X,X,O,O,X,X
TZLSIOJ,O,X,X,X,O,O,X,X,O,X,X,X
TZLSJIO,O,X,X,X,O,O,X,X,O,O,X,X
TZLSJOI,O,X,X,X,O,O,O,X,O,X,X,X
TZLSOIJ,O,X,X,X,O,O,X,X,O,X,X,X
TZLSOJI,O,X,X,X,O,O,X,X,O,X,X,X
TZLOIJS,O,O,X,X,X,X,X,X,X,X,X,X
TZLOISJ,O,X,X,X,O,X,X,X,X,X,O,X
TZLOJIS,O,O,X,O,X,X,O,X,X,X,X,X
TZLOJSI,O,O,X,X,X,X,O,X,X,X,X,X
TZLOSIJ,O,X,X,X,O,X,X,X,O,X,X,X
TZLOSJI,O,X,X,X,O,X,X,X,O,X,X,X
TZJILSO,X,O,O,O,X,X,X,X,X,X,X,X
TZJILOS,O,O,O,O,X,X,O,X,X,X,X,X
TZJISLO,X,O,O,O,X,X,X,X,O,X,X,X
TZJISOL,O,O,O,O,X,X,X,X,O,X,X,X
TZJIOLS,O,O,O,O,X,X,O,X,X,X,X,X
TZJIOSL,O,O,O,O,X,X,X,X,X,X,X,X
TZJLISO,O,O,X,O,X,O,X,X,X,O,X,X
TZJLIOS,O,O,X,O,X,X,O,X,X,X,X,X
TZJLSIO,O,O,X,X,X,O,X,X,O,O,X,X
TZJLSOI,O,O,X,X,X,O,O,X,O,X,X,X
TZJLOIS,O,O,X,O,X,X,O,O,X,X,X,X
TZJLOSI,O,O,X,X,X,X,O,O,X,X,X,X
TZJSILO,X,O,O,O,X,O,X,X,O,X,X,X
TZJSIOL,O,O,O,O,X,O,X,X,O,X,X,X
TZJSLIO,X,O,X,X,X,O,X,X,O,X,X,X
TZJSLOI,X,O,X,X,X,O,O,X,O,X,X,X
TZJSOIL,O,O,O,O,X,O,X,X,O,X,X,X
TZJSOLI,O,O,X,X,X,O,O,O,O,X,X,X
TZJOILS,O,O,O,O,X,X,O,X,X,X,X,X
TZJOISL,O,O,O,O,X,X,X,X,X,X,X,O
TZJOLIS,O,O,X,O,X,X,O,O,X,O,X,X
TZJOLSI,O,O,X,X,X,X,O,O,X,O,X,X
TZJOSIL,O,O,O,O,X,X,X,X,O,X,X,O
TZJOSLI,O,O,X,X,X,X,O,O,O,X,X,X
TZSILJO,X,X,X,X,O,O,X,X,O,X,X,X
TZSILOJ,O,O,X,X,O,O,X,X,O,X,X,X
TZSIJLO,X,X,X,X,O,O,X,X,O,X,X,X
TZSIJOL,X,X,X,X,O,O,X,X,O,X,X,X
TZSIOLJ,O,O,X,X,O,O,X,X,O,X,X,X
TZSIOJL,O,O,X,X,O,O,X,X,O,X,X,X
TZSLIJO,X,X,X,X,X,O,X,X,O,X,X,X
TZSLIOJ,O,O,X,X,X,O,X,X,O,X,X,X
TZSLJIO,O,X,X,X,X,O,X,X,O,X,X,X
TZSLJOI,O,X,X,X,O,O,O,X,O,X,X,X
TZSLOIJ,O,O,X,X,X,O,X,X,O,X,X,X
TZSLOJI,O,O,X,X,O,O,X,X,O,X,X,X
TZSJILO,X,O,O,O,X,O,X,X,O,X,X,X
TZSJIOL,O,O,O,O,O,O,X,X,O,X,X,X
TZSJLIO,X,O,X,X,X,O,X,X,O,X,X,X
TZSJLOI,X,O,X,X,O,O,O,X,O,X,X,X
TZSJOIL,O,O,O,O,O,O,X,X,O,X,X,X
TZSJOLI,O,O,X,X,O,O,O,O,O,X,X,X
TZSOILJ,O,O,X,X,O,O,X,X,O,X,X,X
TZSOIJL,O,O,X,X,O,O,X,X,O,X,X,X
TZSOLIJ,O,O,X,X,X,O,X,X,O,X,X,X
TZSOLJI,O,O,X,X,O,O,X,X,O,X,X,X
TZSOJIL,O,O,O,O,O,O,X,X,O,X,X,X
TZSOJLI,O,O,X,X,O,O,X,X,O,X,X,X
TZOILJS,O,O,X,X,X,X,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X,X,X,X,X,O,X
TZOIJLS,O,O,X,O,X,X,X,X,X,X,X,X
TZOIJSL,O,O,X,O,X,X,X,X,X,X,X,O
TZOISLJ,O,O,X,X,O,X,X,X,O,X,X,O
TZOISJL,O,O,X,X,O,X,X,X,O,X,X,O
TZOLIJS,O,O,X,X,X,X,X,X,X,O,X,X
TZOLISJ,O,X,X,X,O,X,X,X,X,X,O,X
TZOLJIS,O,O,X,O,X,X,O,X,X,O,X,X
TZOLJSI,O,O,X,X,X,X,O,X,X,O,X,X
TZOLSIJ,O,X,X,X,O,X,X,X,O,O,X,X
TZOLSJI,O,X,X,X,O,X,X,X,O,O,X,X
TZOJILS,O,O,O,O,X,X,O,X,X,X,X,X
TZOJISL,O,O,O,O,X,X,X,X,X,X,X,O
TZOJLIS,O,O,X,O,X,X,O,X,X,O,X,X
TZOJLSI,O,O,X,X,X,X,O,X,X,O,X,X
TZOJSIL,O,O,O,O,X,X,X,X,O,X,X,O
TZOJSLI,O,O,X,X,X,X,O,X,O,X,X,X
TZOSILJ,O,O,X,X,O,X,X,X,O,X,X,O
TZOSIJL,O,O,X,X,O,X,X,X,O,X,X,O
TZOSLIJ,O,O,X,X,X,X,X,X,O,X,X,X
TZOSLJI,O,O,X,X,O,X,X,X,O,X,X,X
TZOSJIL,O,O,O,O,O,X,X,X,O,X,X,O
TZOSJLI,O,O,X,X,O,X,X,X,O,X,X,X
TOILJSZ,O,X,O,O,O,O,X,X,X,O,X,O
TOILJZS,O,X,O,O,X,O,X,X,X,O,X,X
TOILSJZ,X,X,X,X,O,O,X,X,X,O,X,O
TOILSZJ,X,X,X,X,O,O,X,X,X,O,X,O
TOILZJS,O,X,X,X,X,O,X,X,X,O,X,X
TOILZSJ,O,X,X,X,O,X,X,X,X,X,O,X
TOIJLSZ,X,O,O,O,X,O,X,X,X,O,X,O
TOIJLZS,O,O,O,O,X,O,X,X,X,O,X,X
TOIJSLZ,X,X,O,O,X,O,X,X,X,X,X,O
TOIJSZL,O,X,O,O,O,O,X,X,X,X,X,O
TOIJZLS,O,O,O,O,X,X,X,X,X,X,X,X
TOIJZSL,O,O,O,O,X,X,X,X,X,X,X,O
TOISLJZ,X,X,X,X,X,O,X,X,X,X,X,O
TOISLZJ,X,X,X,X,O,O,X,X,X,X,X,O
TOISJLZ,X,X,O,X,X,O,X,X,X,X,X,O
TOISJZL,X,X,O,X,O,O,X,X,X,X,X,O
TOISZLJ,X,X,X,X,O,O,X,X,X,X,X,O
TOISZJL,X,X,X,X,O,O,X,X,X,X,X,O
TOIZLJS,O,O,X,X,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,X,X,X,X,X,X,O,X
TOIZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TOIZJSL,O,O,X,O,X,X,X,X,X,X,X,O
TOIZSLJ,O,X,X,X,O,X,X,X,X,X,X,O
TOIZSJL,O,O,X,X,O,X,X,X,X,X,X,O
TOLIJSZ,O,X,O,O,O,O,X,X,X,O,X,O
TOLIJZS,O,X,O,O,X,O,X,X,X,O,X,X
TOLISJZ,X,X,X,X,O,O,X,X,X,O,X,O
TOLISZJ,X,X,X,X,O,O,X,X,X,O,X,O
TOLIZJS,O,X,X,X,X,O,X,X,X,O,X,X
TOLIZSJ,O,X,X,X,O,X,X,X,X,X,O,X
TOLJISZ,O,O,O,O,O,O,O,O,X,O,X,O
TOLJIZS,O,O,O,O,X,O,O,O,X,O,X,X
TOLJSIZ,O,O,O,X,O,O,O,O,X,O,X,O
TOLJSZI,O,O,X,X,O,O,O,O,X,O,X,X
TOLJZIS,O,O,X,O,X,O,O,O,X,O,X,X
TOLJZSI,O,O,X,X,X,O,O,O,X,O,X,X
TOLSIJZ,O,X,X,X,O,O,X,X,X,O,X,O
TOLSIZJ,O,X,X,X,O,O,X,X,X,O,X,O
TOLSJIZ,O,X,O,X,O,O,X,X,X,O,X,O
TOLSJZI,O,X,X,X,O,O,X,X,X,O,X,X
TOLSZIJ,O,X,X,X,O,O,X,X,X,O,X,X
TOLSZJI,O,X,X,X,O,O,X,X,X,O,X,X
TOLZIJS,O,O,X,X,X,O,X,X,X,O,X,X
TOLZISJ,O,X,X,X,O,X,X,X,X,X,O,X
TOLZJIS,O,O,X,O,X,O,O,X,X,O,X,X
TOLZJSI,O,O,X,X,X,O,O,X,X,O,X,X
TOLZSIJ,O,X,X,X,O,O,X,X,X,O,X,X
TOLZSJI,O,X,X,X,O,O,X,X,X,O,X,X
TOJILSZ,O,O,O,O,X,O,O,O,X,O,X,O
TOJILZS,O,O,O,O,X,O,O,O,X,O,X,X
TOJISLZ,X,X,O,O,X,O,X,O,X,X,X,O
TOJISZL,O,X,O,O,O,O,X,X,X,X,X,O
TOJIZLS,O,O,O,O,X,X,O,X,X,X,X,X
TOJIZSL,O,O,O,O,X,X,X,X,X,X,X,O
TOJLISZ,O,O,O,O,O,O,O,O,X,O,X,O
TOJLIZS,O,O,O,O,X,O,O,O,X,O,X,X
TOJLSIZ,O,O,O,X,O,O,O,O,X,O,X,O
TOJLSZI,O,O,X,X,O,O,O,O,X,O,X,X
TOJLZIS,O,O,X,O,X,O,O,O,X,O,X,X
TOJLZSI,O,O,X,X,X,O,O,O,X,O,X,X
TOJSILZ,O,O,O,O,X,O,X,O,X,O,X,O
TOJSIZL,O,O,O,O,O,O,X,X,X,X,X,O
TOJSLIZ,O,O,O,X,X,O,O,O,X,O,X,O
TOJSLZI,O,O,X,X,X,O,O,O,X,O,X,X
TOJSZIL,O,O,O,O,O,O,X,X,X,X,X,O
TOJSZLI,O,O,X,X,O,O,O,O,X,X,X,X
TOJZILS,O,O,O,O,X,X,O,X,X,X,X,X
TOJZISL,O,O,O,O,X,X,X,X,X,X,X,O
TOJZLIS,O,O,X,O,X,O,O,O,X,O,X,X
TOJZLSI,O,O,X,X,X,O,O,O,X,O,X,X
TOJZSIL,O,O,O,O,X,O,X,X,X,X,X,O
TOJZSLI,O,O,X,X,X,O,O,O,X,X,X,X
TOSILJZ,O,O,X,X,X,O,X,X,X,O,X,O
TOSILZJ,O,O,X,X,O,O,X,X,X,O,X,O
TOSIJLZ,O,O,O,X,X,O,X,X,X,O,X,O
TOSIJZL,O,O,O,X,O,O,X,X,X,X,X,O
TOSIZLJ,O,O,X,X,O,O,X,X,X,X,X,O
TOSIZJL,O,O,X,X,O,O,X,X,X,X,X,O
TOSLIJZ,O,O,X,X,O,O,X,X,X,O,X,O
TOSLIZJ,O,O,X,X,O,O,X,X,X,O,X,O
TOSLJIZ,O,O,O,X,O,O,X,X,X,O,X,O
TOSLJZI,O,O,X,X,O,O,X,X,X,O,X,X
TOSLZIJ,O,O,X,X,O,O,X,X,X,O,X,X
TOSLZJI,O,O,X,X,O,O,X,X,X,O,X,X
TOSJILZ,O,O,O,O,X,O,X,O,X,O,X,O
TOSJIZL,O,O,O,O,O,O,X,X,X,X,X,O
TOSJLIZ,O,O,O,X,X,O,X,O,X,O,X,O
TOSJLZI,O,O,X,X,X,O,X,O,X,O,X,X
TOSJZIL,O,O,O,O,O,O,X,X,X,X,X,O
TOSJZLI,O,O,X,X,O,O,X,O,X,X,X,X
TOSZILJ,O,O,X,X,O,O,X,X,X,X,X,O
TOSZIJL,O,O,X,X,O,O,X,X,X,X,X,O
TOSZLIJ,O,O,X,X,O,O,X,X,X,X,X,X
TOSZLJI,O,O,X,X,O,O,X,X,X,X,X,X
TOSZJIL,O,O,O,O,O,O,X,X,X,X,X,O
TOSZJLI,O,O,X,X,O,O,X,X,X,X,X,X
TOZILJS,O,O,X,X,X,X,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X,X,X,X,X,O,X
TOZIJLS,O,O,X,O,X,X,X,X,X,X,X,X
TOZIJSL,O,O,X,O,X,X,X,X,X,X,X,O
TOZISLJ,O,O,X,X,O,X,X,X,X,X,X,O
TOZISJL,O,O,X,X,O,X,X,X,X,X,X,O
TOZLIJS,O,O,X,X,X,O,X,X,X,O,X,X
TOZLISJ,O,X,X,X,O,X,X,X,X,X,O,X
TOZLJIS,O,O,X,O,X,O,O,X,X,O,X,X
TOZLJSI,O,O,X,X,X,O,O,X,X,O,X,X
TOZLSIJ,O,X,X,X,O,O,X,X,X,O,X,X
TOZLSJI,O,X,X,X,O,O,X,X,X,O,X,X
TOZJILS,O,O,O,O,X,X,O,X,X,X,X,X
TOZJISL,O,O,O,O,X,X,X,X,X,X,X,O
TOZJLIS,O,O,X,O,X,O,O,X,X,O,X,X
TOZJLSI,O,O,X,X,X,O,O,X,X,O,X,X
TOZJSIL,O,O,O,O,X,O,X,X,X,X,X,O
TOZJSLI,O,O,X,X,X,O,O,X,X,X,X,X
TOZSILJ,O,O,X,X,O,O,X,X,X,X,X,O
TOZSIJL,O,O,X,X,O,O,X,X,X,X,X,O
TOZSLIJ,O,O,X,X,X,O,X,X,X,X,X,X
TOZSLJI,O,O,X,X,O,O,X,X,X,X,X,X
TOZSJIL,O,O,O,O,O,O,X,X,X,X,X,O
TOZSJLI,O,O,X,X,O,O,X,X,X,X,X,X
ITLJSZO,O,X,O,O,O,O,X,X,X,O,X,X
ITLJSOZ,O,X,O,O,O,O,X,X,X,O,X,X
ITLJZSO,O,X,O,O,X,O,X,X,X,O,X,X
ITLJZOS,O,X,O,O,X,X,O,X,X,X,X,X
ITLJOSZ,O,X,O,O,O,O,O,O,X,O,X,X
ITLJOZS,O,X,O,O,X,X,O,O,X,X,X,X
ITLSJZO,X,X,X,X,O,O,X,X,X,O,X,X
ITLSJOZ,X,X,X,X,O,O,X,X,X,O,X,X
ITLSZJO,X,X,X,X,O,O,X,X,X,O,X,X
ITLSZOJ,X,X,X,X,O,O,X,X,X,X,X,X
ITLSOJZ,X,X,X,X,O,O,X,X,X,O,X,X
ITLSOZJ,X,X,X,X,O,X,X,X,X,X,X,X
ITLZJSO,O,X,X,X,X,O,X,X,X,O,X,X
ITLZJOS,O,X,X,X,X,X,O,X,X,X,X,X
ITLZSJO,X,X,X,X,O,X,X,X,X,X,O,X
ITLZSOJ,O,X,X,X,O,X,X,X,X,X,O,X
ITLZOJS,O,X,X,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,O,X,X,X,X,X,O,X
ITLOJSZ,O,X,O,O,O,O,X,X,X,O,X,X
ITLOJZS,O,X,O,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,X,X,X,O,X,X,X,X,X,X,X
ITLOSZJ,X,X,X,X,O,X,X,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,O,X,X,X,X,X,O,X
ITJLSZO,X,O,O,O,X,O,X,X,X,O,X,X
ITJLSOZ,X,O,O,O,X,O,X,X,X,O,X,X
ITJLZSO,X,O,O,O,X,O,X,X,X,O,X,X
ITJLZOS,O,O,O,O,X,X,O,X,X,X,X,X
ITJLOSZ,X,O,O,O,X,O,O,O,X,O,X,X
ITJLOZS,O,O,O,O,X,X,O,O,X,X,X,X
ITJSLZO,X,X,O,O,X,O,X,X,X,O,X,X
ITJSLOZ,X,X,O,O,X,O,X,X,X,O,X,X
ITJSZLO,X,X,O,O,O,O,X,X,X,X,X,X
ITJSZOL,O,X,O,O,O,O,X,X,X,X,X,X
ITJSOLZ,X,X,O,O,X,X,X,O,X,O,X,O
ITJSOZL,O,X,O,O,O,X,X,X,X,X,X,O
ITJZLSO,X,O,O,O,X,X,X,X,X,X,X,X
ITJZLOS,O,O,O,O,X,X,O,X,X,X,X,X
ITJZSLO,X,O,O,O,X,X,X,X,X,X,X,X
ITJZSOL,O,O,O,O,X,X,X,X,X,X,X,X
ITJZOLS,O,O,O,O,X,X,O,X,X,X,X,X
ITJZOSL,O,O,O,O,X,X,X,X,X,X,X,X
ITJOLSZ,X,O,O,O,X,X,O,O,X,O,X,O
ITJOLZS,O,O,O,O,X,X,O,O,X,O,X,X
ITJOSLZ,X,X,O,O,X,X,X,O,X,X,X,O
ITJOSZL,O,X,O,O,O,X,X,X,X,X,X,O
ITJOZLS,O,O,O,O,X,X,O,X,X,X,X,X
ITJOZSL,O,O,O,O,X,X,X,X,X,X,X,O
ITSLJZO,X,X,X,X,X,O,X,X,X,O,X,X
ITSLJOZ,X,X,X,X,X,O,X,X,X,O,X,X
ITSLZJO,X,X,X,X,O,O,X,X,X,O,X,X
ITSLZOJ,X,X,X,X,O,O,X,X,X,X,X,X
ITSLOJZ,X,X,X,X,X,O,X,X,X,O,X,X
ITSLOZJ,X,X,X,X,O,X,X,X,X,X,X,X
ITSJLZO,X,X,O,X,X,O,X,X,X,O,X,X
ITSJLOZ,X,X,O,X,X,O,X,X,X,O,X,X
ITSJZLO,X,X,O,X,O,O,X,X,X,X,X,X
ITSJZOL,X,X,O,X,O,O,X,X,X,X,X,X
ITSJOLZ,X,X,O,X,X,X,X,O,X,O,X,O
ITSJOZL,X,X,O,X,O,X,X,X,X,X,X,O
ITSZLJO,X,X,X,X,O,O,X,X,X,X,X,X
ITSZLOJ,X,X,X,X,O,O,X,X,X,X,X,X
ITSZJLO,X,X,X,X,O,O,X,X,X,X,X,X
ITSZJOL,X,X,X,X,O,O,X,X,X,X,X,X
ITSZOLJ,X,X,X,X,O,O,X,X,X,X,X,X
ITSZOJL,X,X,X,X,O,O,X,X,X,X,X,X
ITSOLJZ,X,X,X,X,X,X,X,X,X,O,X,O
ITSOLZJ,X,X,X,X,O,X,X,X,X,O,X,O
ITSOJLZ,X,X,O,X,X,X,X,X,X,O,X,O
ITSOJZL,X,X,O,X,O,X,X,X,X,X,X,O
ITSOZLJ,X,X,X,X,O,X,X,X,X,X,X,O
ITSOZJL,X,X,X,X,O,X,X,X,X,X,X,O
ITZLJSO,O,X,X,X,X,X,X,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X,O,X,X,X,X,X
ITZLSJO,X,X,X,X,X,X,X,X,X,X,O,X
ITZLSOJ,O,X,X,X,X,X,X,X,X,X,O,X
ITZLOJS,O,O,X,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,X,X,X,X,O,X
ITZJLSO,X,O,X,O,X,X,X,X,X,X,X,X
ITZJLOS,O,O,X,O,X,X,O,X,X,X,X,X
ITZJSLO,X,O,X,O,X,X,X,X,X,X,X,X
ITZJSOL,O,O,X,O,X,X,X,X,X,X,X,X
ITZJOLS,O,O,X,O,X,X,O,X,X,X,X,X
ITZJOSL,O,O,X,O,X,X,X,X,X,X,X,X
ITZSLJO,X,X,X,X,O,X,X,X,X,X,X,X
ITZSLOJ,O,X,X,X,O,X,X,X,X,X,X,X
