sequence,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFRcBCeBUiBT?jBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFzdB+jBRhBU?iBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB6jBemBF?iB8nBfsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhF/hBGdB6jBZ?nB8sBVwB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFTdB6jB8nBR?rBfsBFrB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex8IvhFXeBmgBzhBS?oB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeyAJvhFGdBTeB3hBx?nB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex7IvhFXdB6jB2mBz?iB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB8iB+jBy?mBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFFdBTeBXmBx?nBGmBcsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFUeBxhBmhBS?oBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeOCJvhFXeBxgBSoBT?hB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei9IvhF+jBxgB3iBT?hB0lBFsB
TSIJZLO,O,O,X,O,X,X,O,X,X,O,X,X,O
TSIJZOL,O,O,X,O,X,X,O,X,X,O,O,X,X
TSIJOLZ,O,O,X,X,X,X,O,X,X,O,X,X,O
TSIJOZL,O,O,X,O,X,X,O,X,X,O,O,X,X
TSIZLJO,O,O,X,O,X,X,O,X,X,O,X,X,X
TSIZLOJ,O,X,X,O,X,X,O,X,X,O,O,X,X
TSIZJLO,O,O,X,O,X,X,O,X,X,O,X,X,X
TSIZJOL,O,O,X,O,X,X,O,X,X,O,O,X,X
TSIZOLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
TSIZOJL,O,X,X,O,X,X,O,X,X,O,O,X,X
TSIOLJZ,O,O,X,X,X,X,O,X,X,O,X,X,X
TSIOLZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
TSIOJLZ,O,O,X,X,X,X,O,X,X,O,X,X,X
TSIOJZL,O,O,X,O,X,X,O,X,X,O,O,X,X
TSIOZLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
TSIOZJL,O,X,X,O,X,X,O,X,X,O,O,X,X
TSLIJZO,X,O,X,X,X,X,O,X,X,O,X,O,X
TSLIJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
TSLIZJO,X,O,X,O,X,X,O,X,X,O,X,O,X
TSLIZOJ,X,X,X,O,X,X,O,X,X,O,O,X,X
TSLIOJZ,X,O,X,X,X,O,O,X,X,O,X,O,X
TSLIOZJ,X,X,X,O,X,O,O,X,X,O,O,X,X
TSLJIZO,O,O,X,X,X,X,O,O,X,X,X,O,X
TSLJIOZ,O,O,O,X,X,O,O,O,X,X,X,O,X
TSLJZIO,O,O,O,O,X,X,O,O,O,X,X,O,X
TSLJZOI,O,O,O,O,X,O,X,X,O,X,X,X,X
TSLJOIZ,O,O,O,X,X,O,O,O,X,X,X,O,X
TSLJOZI,O,O,O,O,X,O,X,X,O,X,X,X,X
TSLZIJO,O,O,X,O,X,X,O,X,X,X,X,O,X
TSLZIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSLZJIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TSLZJOI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLZOIJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TSLZOJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TSLOIJZ,O,O,X,X,X,O,O,O,X,X,X,O,X
TSLOIZJ,X,X,X,O,X,O,O,O,X,X,O,X,X
TSLOJIZ,O,O,O,X,X,O,O,O,X,X,X,O,X
TSLOJZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TSLOZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TSLOZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TSJILZO,O,O,X,X,X,X,O,O,X,X,X,O,O
TSJILOZ,O,O,O,X,X,X,O,O,X,X,X,O,O
TSJIZLO,O,O,O,O,X,X,O,O,X,X,X,X,O
TSJIZOL,O,O,O,O,X,X,O,O,X,X,O,X,X
TSJIOLZ,O,O,O,X,X,O,O,O,X,X,X,X,O
TSJIOZL,O,O,O,O,X,X,O,O,X,X,O,X,X
TSJLIZO,O,O,X,X,X,X,O,O,X,X,X,O,O
TSJLIOZ,O,O,O,X,X,O,O,O,X,X,X,O,O
TSJLZIO,O,O,O,O,X,X,O,O,O,X,X,O,O
TSJLZOI,O,O,O,O,X,O,X,X,O,X,X,X,X
TSJLOIZ,O,O,O,X,X,O,O,O,X,X,X,O,O
TSJLOZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TSJZILO,O,O,O,O,X,X,O,O,X,X,X,X,O
TSJZIOL,O,O,O,O,X,X,O,O,O,X,X,X,X
TSJZLIO,O,O,O,O,X,X,O,O,O,X,X,X,O
TSJZLOI,O,O,O,O,X,X,X,X,O,X,X,X,X
TSJZOIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TSJZOLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TSJOILZ,O,O,O,X,X,O,O,O,X,X,X,X,O
TSJOIZL,O,O,O,O,X,X,O,O,X,X,O,X,X
TSJOLIZ,O,O,O,X,X,O,O,O,X,X,X,X,O
TSJOLZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TSJOZIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TSJOZLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TSZILJO,O,O,X,O,X,X,O,X,X,X,X,X,X
TSZILOJ,O,X,X,O,X,X,O,X,X,X,O,X,X
TSZIJLO,O,O,X,O,X,X,O,X,X,X,X,X,X
TSZIJOL,O,O,X,O,X,X,O,X,X,X,O,X,X
TSZIOLJ,O,X,X,O,X,X,O,X,X,X,O,X,X
TSZIOJL,O,X,X,O,X,X,O,X,X,X,O,X,X
TSZLIJO,O,O,X,O,X,X,O,X,X,X,X,X,X
TSZLIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSZLJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZLJOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZLOIJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZLOJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZJILO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZJIOL,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZJLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZJLOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZJOIL,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZJOLI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZOILJ,O,X,X,O,X,X,X,X,X,X,O,X,X
TSZOIJL,O,X,X,O,X,X,X,X,X,X,O,X,X
TSZOLIJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZOLJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOJIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOJLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOILJZ,O,O,X,X,X,O,O,O,X,X,X,X,X
TSOILZJ,X,X,X,O,X,O,O,O,X,X,O,X,X
TSOIJLZ,O,O,X,X,X,O,O,O,X,X,X,X,X
TSOIJZL,O,O,X,O,X,X,O,O,X,X,O,X,X
TSOIZLJ,O,X,X,O,X,X,O,O,X,X,O,X,X
TSOIZJL,O,X,X,O,X,X,O,X,X,X,O,X,X
TSOLIJZ,O,O,X,X,X,O,O,O,X,X,X,X,X
TSOLIZJ,X,X,X,O,X,O,O,O,X,X,O,X,X
TSOLJIZ,O,O,O,X,X,O,O,O,X,X,X,X,X
TSOLJZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TSOLZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TSOLZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TSOJILZ,O,O,O,X,X,O,O,O,X,X,X,X,X
TSOJIZL,O,O,O,O,X,X,O,O,X,X,O,X,X
TSOJLIZ,O,O,O,X,X,O,O,O,X,X,X,X,X
TSOJLZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TSOJZIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TSOJZLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TSOZILJ,O,X,X,O,X,X,X,O,X,X,O,X,X
TSOZIJL,O,X,X,O,X,X,X,X,X,X,O,X,X
TSOZLIJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSOZLJI,O,X,O,O,X,X,X,O,X,X,X,X,X
TSOZJIL,O,X,O,O,X,X,X,O,X,X,X,X,X
TSOZJLI,O,X,O,O,X,X,X,O,X,X,X,X,X
TZILJSO,O,X,X,O,O,X,X,X,X,X,X,O,X
TZILJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZILSJO,O,X,X,O,O,X,X,X,X,X,X,O,X
TZILSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TZILOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZILOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIJLSO,O,X,X,O,O,X,X,X,X,X,X,O,X
TZIJLOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZIJSLO,O,X,X,O,O,X,O,X,X,X,X,X,O
TZIJSOL,O,X,X,O,O,X,O,X,X,X,X,X,X
TZIJOLS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZIJOSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TZISLJO,O,X,X,O,O,X,O,X,X,X,X,X,X
TZISLOJ,O,X,X,O,O,X,O,X,X,X,X,X,X
TZISJLO,O,X,X,O,O,X,O,X,X,X,X,X,X
TZISJOL,O,X,X,O,O,X,O,X,X,X,X,X,X
TZISOLJ,O,X,X,O,O,X,O,X,X,X,X,X,X
TZISOJL,O,X,X,O,O,X,O,X,X,X,X,X,X
TZIOLJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIOJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TZIOSLJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TZIOSJL,O,X,X,O,X,X,O,X,X,X,X,X,X
TZLIJSO,O,X,X,O,O,X,X,X,X,X,X,O,X
TZLIJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLISJO,O,X,X,O,O,X,X,X,X,X,X,O,X
TZLISOJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TZLIOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TZLJISO,O,X,X,O,O,X,X,O,O,X,X,O,X
TZLJIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TZLJSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
TZLJSOI,O,X,O,O,X,O,X,X,O,X,X,X,X
TZLJOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
TZLJOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
TZLSIJO,O,X,X,O,X,X,O,X,X,X,X,O,X
TZLSIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TZLSJIO,O,X,O,O,X,X,O,X,X,X,X,O,X
TZLSJOI,O,X,O,O,X,O,X,X,X,X,X,X,X
TZLSOIJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TZLSOJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TZLOIJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TZLOISJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TZLOJIS,O,X,O,O,X,O,X,O,O,X,X,X,X
TZLOJSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TZLOSIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TZLOSJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TZJILSO,O,X,X,O,O,X,X,O,O,X,X,O,X
TZJILOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TZJISLO,O,X,X,O,O,X,X,O,X,X,X,X,O
TZJISOL,O,X,X,O,O,X,X,O,O,X,X,X,X
TZJIOLS,O,O,O,O,X,O,X,O,O,X,X,X,X
TZJIOSL,O,X,X,O,X,X,X,O,O,X,X,X,X
TZJLISO,O,X,X,O,O,X,X,O,O,X,X,O,X
TZJLIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TZJLSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
TZJLSOI,O,X,O,O,X,O,X,X,O,X,X,X,X
TZJLOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
TZJLOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
TZJSILO,O,O,O,O,X,X,X,O,X,X,X,X,O
TZJSIOL,O,O,O,O,X,X,X,O,O,X,X,X,X
TZJSLIO,O,O,O,O,X,X,X,O,O,X,X,X,O
TZJSLOI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZJSOIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TZJSOLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TZJOILS,O,O,O,O,X,O,X,O,O,X,X,X,X
TZJOISL,O,X,X,O,X,X,X,O,O,X,X,X,X
TZJOLIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TZJOLSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TZJOSIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TZJOSLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TZSILJO,O,O,X,O,X,X,O,X,X,X,X,X,X
TZSILOJ,O,X,X,O,X,X,O,X,X,X,O,X,X
TZSIJLO,O,O,X,O,X,X,O,X,X,X,X,X,X
TZSIJOL,O,O,X,O,X,X,O,X,X,X,O,X,X
TZSIOLJ,O,X,X,O,X,X,O,X,X,X,O,X,X
TZSIOJL,O,X,X,O,X,X,O,X,X,X,O,X,X
TZSLIJO,O,O,X,O,X,X,O,X,X,X,X,X,X
TZSLIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TZSLJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSLJOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSLOIJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TZSLOJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSJILO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSJIOL,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSJLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSJLOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSJOIL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSJOLI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSOILJ,O,X,X,O,X,X,X,X,X,X,O,X,X
TZSOIJL,O,X,X,O,X,X,X,X,X,X,O,X,X
TZSOLIJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TZSOLJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSOJIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSOJLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOILJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TZOILSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TZOIJLS,O,X,X,O,X,O,X,X,X,X,X,X,X
TZOIJSL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZOISLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TZOISJL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZOLIJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TZOLISJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TZOLJIS,O,X,O,O,X,O,X,O,O,X,X,X,X
TZOLJSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TZOLSIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TZOLSJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TZOJILS,O,X,O,O,X,O,X,O,O,X,X,X,X
TZOJISL,O,X,X,O,X,X,X,O,O,X,X,X,X
TZOJLIS,O,X,O,O,X,O,X,O,O,X,X,X,X
TZOJLSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TZOJSIL,O,X,O,O,X,X,X,O,O,X,X,X,X
TZOJSLI,O,X,O,O,X,X,X,O,O,X,X,X,X
TZOSILJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TZOSIJL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZOSLIJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TZOSLJI,O,X,O,O,X,X,X,O,X,X,X,X,X
TZOSJIL,O,X,O,O,X,X,X,O,X,X,X,X,X
TZOSJLI,O,X,O,O,X,X,X,O,X,X,X,X,X
TOILJSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
TOILJZS,O,O,X,X,X,O,X,O,O,X,X,X,X
TOILSJZ,O,X,X,X,X,O,O,O,X,X,X,O,X
TOILSZJ,X,X,X,O,X,O,O,O,X,X,X,X,X
TOILZJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TOILZSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TOIJLSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
TOIJLZS,O,O,X,X,X,O,X,O,O,X,X,X,X
TOIJSLZ,O,O,X,X,X,O,O,O,X,X,X,X,O
TOIJSZL,X,X,X,O,X,X,O,O,X,X,X,X,X
TOIJZLS,O,O,X,O,X,O,X,O,O,X,X,X,X
TOIJZSL,O,X,X,O,X,X,O,O,O,X,X,X,X
TOISLJZ,O,X,X,X,X,O,O,O,X,X,X,X,X
TOISLZJ,X,X,X,O,X,O,O,O,X,X,X,X,X
TOISJLZ,O,X,X,X,X,O,O,O,X,X,X,X,X
TOISJZL,O,X,X,O,X,X,O,O,X,X,X,X,X
TOISZLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
TOISZJL,O,X,X,O,X,X,O,X,X,X,X,X,X
TOIZLJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TOIZJLS,O,X,X,O,X,O,X,X,X,X,X,X,X
TOIZJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TOIZSLJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TOIZSJL,O,X,X,O,X,X,O,X,X,X,X,X,X
TOLIJSZ,O,O,X,X,X,O,X,O,X,X,X,O,X
TOLIJZS,O,O,X,X,X,O,X,O,O,X,X,X,X
TOLISJZ,O,X,X,X,X,O,X,O,X,X,X,O,X
TOLISZJ,X,X,X,O,X,O,X,O,X,X,X,X,X
TOLIZJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TOLIZSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TOLJISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TOLJIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TOLJSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TOLJSZI,O,X,O,O,X,O,X,O,O,X,X,X,X
TOLJZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TOLJZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TOLSIJZ,O,X,X,X,X,O,O,O,X,X,X,O,X
TOLSIZJ,X,X,X,O,X,O,O,O,X,X,X,X,X
TOLSJIZ,O,X,O,X,X,O,O,O,X,X,X,O,X
TOLSJZI,O,X,O,O,X,O,X,O,O,X,X,X,X
TOLSZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TOLSZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TOLZIJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TOLZISJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TOLZJIS,O,X,O,O,X,O,X,O,O,X,X,X,X
TOLZJSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TOLZSIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TOLZSJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TOJILSZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TOJILZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TOJISLZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TOJISZL,X,O,O,O,X,X,X,O,X,X,X,X,X
TOJIZLS,O,O,O,O,X,O,X,O,O,X,X,X,X
TOJIZSL,O,X,X,O,X,X,X,O,O,X,X,X,X
TOJLISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TOJLIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TOJLSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TOJLSZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TOJLZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TOJLZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TOJSILZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TOJSIZL,O,O,O,O,X,X,X,O,X,X,X,X,X
TOJSLIZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TOJSLZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TOJSZIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TOJSZLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TOJZILS,O,O,O,O,X,O,X,O,O,X,X,X,X
TOJZISL,O,X,X,O,X,X,X,O,O,X,X,X,X
TOJZLIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TOJZLSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TOJZSIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TOJZSLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TOSILJZ,O,O,X,X,X,O,O,O,X,X,X,X,X
TOSILZJ,X,X,X,O,X,O,O,O,X,X,O,X,X
TOSIJLZ,O,O,X,X,X,O,O,O,X,X,X,X,X
TOSIJZL,O,O,X,O,X,X,O,O,X,X,O,X,X
TOSIZLJ,O,X,X,O,X,X,O,O,X,X,O,X,X
TOSIZJL,O,X,X,O,X,X,O,X,X,X,O,X,X
TOSLIJZ,O,O,X,X,X,O,O,O,X,X,X,X,X
TOSLIZJ,X,X,X,O,X,O,O,O,X,X,O,X,X
TOSLJIZ,O,O,O,X,X,O,O,O,X,X,X,X,X
TOSLJZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TOSLZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TOSLZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TOSJILZ,O,O,O,X,X,O,O,O,X,X,X,X,X
TOSJIZL,O,O,O,O,X,X,O,O,X,X,O,X,X
TOSJLIZ,O,O,O,X,X,O,O,O,X,X,X,X,X
TOSJLZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TOSJZIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TOSZILJ,O,X,X,O,X,X,X,O,X,X,O,X,X
TOSZIJL,O,X,X,O,X,X,X,X,X,X,O,X,X
TOSZLIJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TOSZLJI,O,X,O,O,X,X,X,O,X,X,X,X,X
TOSZJIL,O,X,O,O,X,X,X,O,X,X,X,X,X
TOSZJLI,O,X,O,O,X,X,X,O,X,X,X,X,X
TOZILJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TOZILSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TOZIJLS,O,X,X,O,X,O,X,X,X,X,X,X,X
TOZIJSL,O,X,X,O,X,X,X,X,X,X,X,X,X
TOZISLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOZISJL,O,X,X,O,X,X,X,X,X,X,X,X,X
TOZLIJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TOZLISJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TOZLJIS,O,X,O,O,X,O,X,O,O,X,X,X,X
TOZLJSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TOZLSIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TOZLSJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TOZJILS,O,X,O,O,X,O,X,O,O,X,X,X,X
TOZJISL,O,X,X,O,X,X,X,O,O,X,X,X,X
TOZJLIS,O,X,O,O,X,O,X,O,O,X,X,X,X
TOZJLSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TOZJSIL,O,X,O,O,X,X,X,O,O,X,X,X,X
TOZJSLI,O,X,O,O,X,X,X,O,O,X,X,X,X
TOZSILJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TOZSIJL,O,X,X,O,X,X,X,X,X,X,X,X,X
TOZSLIJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TOZSLJI,O,X,O,O,X,X,X,O,X,X,X,X,X
TOZSJIL,O,X,O,O,X,X,X,O,X,X,X,X,X
TOZSJLI,O,X,O,O,X,X,X,O,X,X,X,X,X
ITLJSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
ITLJSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
ITLJZSO,X,X,X,X,O,X,X,O,O,X,X,O,X
ITLJZOS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITLJOSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
ITLJOZS,X,O,X,X,X,O,X,X,O,X,X,X,X
ITLSJZO,X,X,X,X,X,X,O,X,X,O,X,O,X
ITLSJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
ITLSZJO,X,X,X,O,X,X,O,X,X,O,X,O,X
ITLSZOJ,X,X,X,O,X,X,O,X,X,O,X,X,X
ITLSOJZ,X,X,X,X,X,O,O,X,X,O,X,O,X
ITLSOZJ,X,X,X,O,X,O,O,X,X,O,X,X,X
ITLZJSO,X,X,X,O,O,X,X,X,X,X,X,O,X
ITLZJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
ITLZSJO,X,X,X,O,O,X,X,X,X,X,X,O,X
ITLZSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ITLZOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
ITLZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
ITLOJZS,X,O,X,X,X,O,X,O,O,X,X,X,X
ITLOSJZ,X,X,X,X,X,O,O,O,X,O,X,O,X
ITLOSZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
ITLOZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
ITLOZSJ,X,X,X,O,X,O,X,X,X,X,X,X,X
ITJLSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
ITJLSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
ITJLZSO,O,X,X,X,O,X,X,O,O,X,X,O,X
ITJLZOS,O,O,X,X,X,X,X,X,O,X,X,X,X
ITJLOSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
ITJLOZS,O,O,X,X,X,O,X,O,O,X,X,X,X
ITJSLZO,X,O,X,X,X,X,O,O,X,X,X,O,O
ITJSLOZ,X,O,X,X,X,X,O,O,X,X,X,O,O
ITJSZLO,O,O,X,O,X,X,O,O,X,X,X,X,O
ITJSZOL,O,O,X,O,X,X,O,O,X,X,X,X,X
ITJSOLZ,O,O,X,X,X,O,O,O,X,X,X,X,O
ITJSOZL,X,O,X,O,X,X,O,O,X,X,X,X,X
ITJZLSO,O,X,X,O,O,X,X,O,O,X,X,O,X
