sequence,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?SlBziB0pBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jei6IvhF+gBxdB?3fBziB0pBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je06IvhF6gBxdB?2kBziBlpB3qB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhF6iBOjB?clBTkB3qBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhFWgBXeB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhFWgB0dB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhFXeBOkB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?qlBziBlpBUqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je//IvhFFbBxdB?ziB2pB0lBSvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhF0dBOkB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je6AJvhFxdBlfB?ziBOkB8pB3qB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je6CJvhFOjBxfB?clBTkB3qBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jei6IvhFxdBWlB?ziB/pBlqBcqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex9IvhFOkBXgB?ziBqlBUqBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeX+IvhFxfBmfB?0iBTkB1qBSvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeX+IvhFxfBOkB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je09IvhFxfBOkB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex9IvhFVlBziB?2pBqlB/pBUqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhF0dBzfB?qlBXjBFlBWvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?ziB1pB0lBSvB
IOTZSLJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
IOTZSJL,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O
IOLTJSZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOLJTZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
IOLJSTZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
IOLJZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJZST,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X
IOLSTJZ,X,X,O,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IOLSJZT,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLSZJT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLZTJS,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IOLZTSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IOLZJTS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLZJST,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
IOLZSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOJTLZS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJTSLZ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
IOJTSZL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJTZLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJTZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
IOJLSTZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
IOJLZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
IOJSTLZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X
IOJSTZL,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJSLTZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJSLZT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOJSZLT,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
IOJZTSL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOJZLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJZLST,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
IOJZSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOJZSLT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSTLJZ,O,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
IOSTLZJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSTJLZ,X,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
IOSTJZL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IOSLTJZ,X,X,O,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IOSLJZT,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLZJT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X
IOSJTZL,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSJLZT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOSJZLT,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IOSZTLJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
IOSZTJL,O,O,O,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O
IOSZLTJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSZLJT,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOSZJTL,O,X,X,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOSZJLT,O,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IOZTLJS,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IOZTLSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IOZTJLS,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IOZTJSL,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOZTSLJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOZTSJL,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
IOZLTJS,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IOZLTSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
IOZLJTS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLJST,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
IOZLSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZJTLS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
IOZJTSL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOZJLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZJLST,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
IOZJSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZSTLJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
IOZSTJL,O,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O
IOZSLTJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTIJSZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIJSOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIJZSO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIJZOS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
LTIJOSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X
LTISJZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTISJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTISZJO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
LTISZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
LTISOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
LTISOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LTIZJSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIZJOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
LTIZSJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
LTIZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LTIZOJS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIOJSZ,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIOZJS,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJISZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJISOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJIZSO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJIZOS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTJIOSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSIZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJSIOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJSZIO,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJSOZI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJZIOS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTJZSIO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJOIZS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJOSZI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOZSI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIJZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSIJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSIZJO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
LTSIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
LTSIOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
LTSIOZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LTSJIZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSJIOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSJZIO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTSJOZI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSZIJO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
LTSZIOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LTSZJIO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LTSOJIZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTSOJZI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSOZIJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZIJOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
LTZISJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
LTZISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LTZIOJS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZJISO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZJIOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTZJSIO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOSI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
LTZSIOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LTZSJIO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTZOISJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZOJIS,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSJI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTOIJZS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOISJZ,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X
LTOISZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LTOIZJS,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTOIZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOJISZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTOJIZS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTOJSZI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJZIS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
LTOSIZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LTOSJIZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTOSJZI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTOSZIJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZJI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTOZISJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOZJIS,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSJI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITJSZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LITJSOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITJZSO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LITJZOS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
LITJOSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X
LITSJZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LITSJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITSZJO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
LITSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LITSOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITSOZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LITZJSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LITZJOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
LITZSJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
LITZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LITZOJS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LITZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LITOJSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITOJZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITOSJZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITOSZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LITOZJS,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LITOZSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LIJTSZO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJTZSO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJTZOS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LIJTOSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTOZS,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
LIJSTZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJSTOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LIJSZTO,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LIJSZOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
LIJSOTZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LIJSOZT,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X
LIJZTSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LIJZTOS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
LIJZSTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LIJZSOT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LIJZOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LIJZOST,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LIJOTSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJOSTZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOSZT,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LIJOZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJOZST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
